"event_type","organization_name","facility_name","direction","city","county","state","create_time","close_time","event_description","responding_organization_id","latitude","longitude"
"incident","MTA - Metro-North Railroad","Wassaic Branch",,"from Wassaic","Dutchess","NY","2020-04-22T14:48:36.000",,"Due to Earlier equipment problems Wassaic Branch from Wassaic Station (Wassaic) the 2:15 PM train (#9942) to Southeast is operating 25 to 30 minutes late. Please listen for announcements at your station.","MTA - Metro-North Railroad","41.814832","-73.562341"
"incident","MTA NYC Transit Subway","J Line","Manhattan bound","between Brooklyn","Kings","NY","2020-04-22T14:47:41.000",,"Due to Signal problems at Broadway Junction, Manhattan Bound J Line between Broadway Junction (Brooklyn) and Chauncey Street Station (Brooklyn) trains are moving at slower speeds","MTA NYC Transit Subway","40.676948","-73.900398"
"incident","MTA NYC Transit Subway","N Line","Both directions","between Brooklyn","Kings","NY","2020-04-22T14:44:26.000",,"Due to Brakes in emergency at 86th Street Station, both directions N Line service suspended between Kings Highway Station (Brooklyn) and 86th Street Station (Brooklyn)","MTA NYC Transit Subway","40.785255","-73.969367"
"signal problem","New York State Department of Transportation Traffic Management Center - Albany","NY 9R","Both directions","at Colonie","Albany","NY","2020-04-22T14:43:44.000",,"Signal problem on NY 9R both directions at Loudon Road; US 9 (Colonie) Traffic Signal light on flash","New York State Department of Transportation Traffic Management Center - Albany","42.762599","-73.755798"
"delays","New York State Department of Transportation (Region 11)","I-278","Westbound","between New York","Kings","NY","2020-04-22T14:38:43.000",,"Delays on I-278 westbound between Division Avenue (New York) and Exit 28A - Old Fulton Street; Cadman Plaza West (New York)","New York State Department of Transportation (Region 11)","40.707099","-73.957801"
"crash","New York State Department of Transportation Traffic Management Center - Albany","I-787","Northbound","just past Albany","Albany","NY","2020-04-22T14:13:12.000",,"Crash on I-787 northbound just past Exit 1 southbound ramp to I-87 Thruway Interchange 23 (Albany) right shoulder closed","New York State Department of Transportation Traffic Management Center - Albany","42.6328","-73.7687"
"construction","New Jersey Department of Transportation - Traffic Operations Center South","I-295","Both directions","ramps from Mount Laurel Twp","Burlington","NJ","2020-04-22T14:06:25.000",,"Construction, construction on I-295 both directions ramps from Exit 43 - CR 838/Creek Rd (Mount Laurel Twp) ramp closed and detoured until 4:00 P.M. use caution","New Jersey Department of Transportation - Traffic Operations Center South","39.991911","-74.877543"
"construction","New Jersey DOT - Statewide Traffic Management Center","NJ 10","Both directions","Roxbury Twp","Morris","NJ","2020-04-22T14:03:24.000",,"Construction, emergency repairs on NJ 10 both directions Eyland Pl (Roxbury Twp) 1 of 2 lanes closed for repairs until 10:00 P.M. on April 24, 2020","New Jersey DOT - Statewide Traffic Management Center","40.862662","-74.632359"
"crash","New York State Thruway-State Wide Operations Center - Albany","I-87 - NYS Thruway","Southbound","between Chestnut Ridge","Rockland","NY","2020-04-22T14:02:11.000",,"Crash on I-87 - NYS Thruway southbound between Exit 14A (I-87) - Garden State Parkway Connection NJ and Exit 14 (I-87) - Spring Valley (Rte 59) starting 1:59 PM, 04/22/2020 until further notice. [CARS CAD-201130163]","New York State Thruway-State Wide Operations Center - Albany","41.101291","-74.031531"
"roadwork","Connecticut Department of Transportation-Newington-Highway Operations Center","S9S","Southbound","at Haddam","Middlesex","CT","2020-04-22T13:58:28.000",,"Road Work on RT9 Southbound between Exits 10 and 5 (8.0 miles) in effect today until 4:00 pm. The left lane is closed. Reported Wednesday, April 22 at 1:53 pm.","Connecticut Department of Transportation-Newington-Highway Operations Center","41.480858","-72.560647"
"utility work","New Jersey Department of Transportation - Traffic Operations Center South","NJ 71","Southbound","at West Long Branch","Monmouth","NJ","2020-04-22T13:56:52.000",,"Utility work on NJ 71 southbound at Parker Rd (West Long Branch) , Friday April 24th, 2020, 09:00 AM thru 01:00 PM, right lane closed","New Jersey Department of Transportation - Traffic Operations Center South","40.290308","-74.025916"
"construction","New Jersey DOT - Statewide Traffic Management Center","I-78","Westbound","between Newark","Essex","NJ","2020-04-22T13:46:28.000",,"Milling and paving operations on I-78 westbound between Exit 57 - US 1&9/NJ 21 (Newark) and Exit 54 - Winans Ave/Paine Ave (Irvington Twp) Ramp to exit 55 closed and detoured., Wednesday April 22nd, 2020 thru Thursday April 23rd, 2020, 07:00 PM thru 06:00 AM, right lane and exit ramp closed local lanes","New Jersey DOT - Statewide Traffic Management Center","40.710934","-74.176579"
"street sweeping","New Jersey DOT - Statewide Traffic Management Center","NJ 3","Both directions","between Clifton","Passaic","NJ","2020-04-22T13:45:22.000",,"Street sweeping on NJ 3 both directions between US 46 (Clifton) and NJ 495 (North Bergen Twp) , Thursday April 23rd, 2020 thru Saturday April 25th, 2020 Thursday/ Friday, 09:00 PM thru 05:00 AM, 1 lane closed","New Jersey DOT - Statewide Traffic Management Center","40.871118","-74.1897"
"road maintenance operations","New Jersey DOT - Statewide Traffic Management Center","US 22","Both directions","between Watchung","Somerset","NJ","2020-04-22T13:42:14.000",,"Road maintenance operations on US 22 both directions between Terrill Rd (Watchung) and I-78 (Newark) , Wednesday April 22nd, 2020 thru Thursday April 23rd, 2020, 09:00 PM thru 05:00 AM, 1 lane closed","New Jersey DOT - Statewide Traffic Management Center","40.645883","-74.409803"
"construction","New Jersey DOT - Statewide Traffic Management Center","NJ 10","Both directions","Roxbury Twp","Morris","NJ","2020-04-22T13:40:31.000",,"Emergency repairs and utility work on NJ 10 both directions Eyland Pl (Roxbury Twp) , Continuous Wednesday April 22nd, 2020 2:00 PM thru Friday April 24th, 2020 10:00 PM 1 of 2 lanes closed for repairs","New Jersey DOT - Statewide Traffic Management Center","40.862662","-74.632359"
"utility work","New Jersey Department of Transportation - Traffic Operations Center South","US 322","Westbound","Monroe Twp","Gloucester","NJ","2020-04-22T13:30:38.000",,"Utility work on US 322 westbound East of CR 555/Tuckahoe Rd (Monroe Twp) , Thursday April 23rd, 2020, 08:00 AM thru 12:00 PM, right shoulder closed for repairs","New Jersey Department of Transportation - Traffic Operations Center South","39.68795","-75.006858"
"tree trimming","New Jersey Department of Transportation - Traffic Operations Center South","US 206","Southbound","approaching Lawrence Twp","Mercer","NJ","2020-04-22T13:27:19.000",,"Tree trimming on US 206 southbound approaching Cold Soil Rd (Lawrence Twp) , Thursday April 23rd, 2020, 09:00 AM thru 02:00 PM, alternate lanes closed intermittently","New Jersey Department of Transportation - Traffic Operations Center South","40.301179","-74.726378"
"utility work","New Jersey DOT - Statewide Traffic Management Center","US 22","Westbound","area of Hillside Twp","Union","NJ","2020-04-22T13:26:31.000",,"Utility work on US 22 westbound area of Bloy St (Hillside Twp) , Thursday April 23rd, 2020, 09:00 AM thru 02:00 PM, right shoulder closed for repairs","New Jersey DOT - Statewide Traffic Management Center","40.699139","-74.238927"
"utility work","New Jersey DOT - Statewide Traffic Management Center","NJ 440","Northbound","area of Jersey City","Hudson","NJ","2020-04-22T13:21:36.000",,"Utility work on NJ 440 northbound area of CR 602/Danforth Av (Jersey City) , Thursday April 23rd, 2020, 08:00 AM thru 02:00 PM, right shoulder closed for repairs","New Jersey DOT - Statewide Traffic Management Center","40.705081","-74.100433"
"roadwork","Niagra International Transportation Technology Coaliition","US 219","Southbound","at Orchard Park","Erie","NY","2020-04-22T13:16:25.000",,"Roadwork on US 219 southbound at Exit - US 20A; Ramp (Orchard Park), Thursday April 30th, 2020, 09:00 AM thru 12:00 PM lane closures","Niagra International Transportation Technology Coaliition","42.759","-78.7635"
"roadwork","Niagra International Transportation Technology Coaliition","NY 179","Westbound","at Hamburg","Erie","NY","2020-04-22T13:13:15.000",,"Roadwork on NY 179 westbound at Milestrip Road (Hamburg), Thursday April 30th, 2020 thru Thursday April 30th, 2020, 12:00 PM thru 01:30 PM lane closures","Niagra International Transportation Technology Coaliition","42.789798","-78.837303"
"planned","NYSDOT","Route 62","Southbound",,,"NY","2020-04-22T13:13:03.000",,"Road work beyond Route 425 to beyond Lockport Avenue (0.2 miles) in effect today until 5:00 pm. Reported at 1:11 pm.","NYSDOT","43.05135","-78.82674"
"roadwork","Niagra International Transportation Technology Coaliition","NY 5","Westbound","at Lackawanna","Erie","NY","2020-04-22T13:12:49.000",,"Roadwork on NY 5 westbound at Ridge Road (Lackawanna), Thursday April 30th, 2020, 01:30 PM thru 03:00 PM lane closures","Niagra International Transportation Technology Coaliition","42.825","-78.8498"
"construction","MTA NYC Transit Bus","Various SIM S53, S79-SBS, S93-Ltd, SIM1, SIM3 and SIM33 Buses",,,,"NY","2020-04-22T13:11:47.000",,"Due to Construction( Construction) Various SIM S53, S79-SBS, S93-Ltd, SIM1, SIM3 and SIM33 Buses are running with delays due to paving on the Verrazano Bridge. Allow additional travel time.","MTA NYC Transit Bus","40.60627","-74.046076"
"roadwork","Niagra International Transportation Technology Coaliition","NY 179","Eastbound","Hamburg","Erie","NY","2020-04-22T13:10:31.000",,"Roadwork on NY 179 eastbound START ROUTE NY 179 Milestrip Highway; at NY 5 Lake Shore Road (Hamburg) to Exit - Milestrip Road (Hamburg), Wednesday April 29th, 2020 thru Wednesday April 29th, 2020, 12:00 PM thru 01:30 PM lane closures","Niagra International Transportation Technology Coaliition","42.79","-78.845001"
"roadwork","Niagra International Transportation Technology Coaliition","NY 5","Westbound","Hamburg","Erie","NY","2020-04-22T13:09:21.000",,"Roadwork on NY 5 westbound Connection to Route 75 (Hamburg) to Route 179 Milestrip Road (Hamburg), Wednesday April 29th, 2020, 09:00 AM thru 12:00 PM lane closures","Niagra International Transportation Technology Coaliition","42.7763","-78.8603"
"roadwork","Niagra International Transportation Technology Coaliition","NY 5","Eastbound","Buffalo","Erie","NY","2020-04-22T13:06:25.000",,"Roadwork on NY 5 eastbound Tifft Street (Buffalo), Wednesday April 29th, 2020, 01:30 PM thru 03:00 PM lane closures","Niagra International Transportation Technology Coaliition","42.8372","-78.8556"
"roadwork","Connecticut Department of Transportation-Newington-Highway Operations Center","I395N","Northbound","at Plainfield","Windham","CT","2020-04-22T13:05:04.000",,"Road Work on I-395 Northbound between Exits 29 and 32 (2.7 miles) in effect today until 3:30 pm. The left lane is closed. Reported Wednesday, April 22 at 7:31 am.","Connecticut Department of Transportation-Newington-Highway Operations Center","41.681833","-71.908105"
"high winds","New York State Bridge Authority","Kingston-Rhinecliff Bridge","Both directions","Kingston","Ulster","NY","2020-04-22T13:02:49.000",,"High winds on Kingston-Rhinecliff Bridge both directions Ulster County Side (Kingston) to Dutchess County Side (Rhinecliff) Use caution.","New York State Bridge Authority","41.98031","-73.95391"
"construction","New York State Department of Transportation Region 4","I-490","Both directions","under Chili","Monroe","NY","2020-04-22T13:01:21.000",,"Construction, bridge work on I-490 both directions under Paul Road; CR 168 (Chili) alternate lanes closures until 5:00 P.M. bridge washing","New York State Department of Transportation Region 4","43.107498","-77.780502"
"construction","New Jersey DOT - Statewide Traffic Management Center","NJ 36","Southbound","Hazlet Twp","Monmouth","NJ","2020-04-22T12:53:23.000",,"Construction on NJ 36 southbound North of Poole Av (Hazlet Twp) Not currently scheduled","New Jersey DOT - Statewide Traffic Management Center","40.431955","-74.183419"
"tree trimming","New Jersey Department of Transportation - Traffic Operations Center South","US 9","Southbound","Bass River Twp","Burlington","NJ","2020-04-22T12:52:26.000",,"Tree trimming on US 9 southbound In the vicinity of Garden State Parkway South Entrance (Bass River Twp) , Thursday April 23rd, 2020, 07:30 AM thru 03:30 PM, right shoulder closed","New Jersey Department of Transportation - Traffic Operations Center South","39.580264","-74.455306"
"construction","New Jersey Department of Transportation - Traffic Operations Center South","NJ 70","Both directions","Pemberton Twp","Burlington","NJ","2020-04-22T12:51:52.000",,"Construction, roadwork on NJ 70 both directions West of CR 530/Lakehurst Rd (Pemberton Twp) to East of CR 539/CR 530/Whiting New Egypt Rd (Manchester Twp) alternate lanes closed intermittently until 5:00 A.M.","New Jersey Department of Transportation - Traffic Operations Center South","39.936185","-74.522609"
"incident","New Jersey DOT - Statewide Traffic Management Center","NJ 23","Northbound","West Milford Twp","Passaic","NJ","2020-04-22T12:48:37.000",,"Crash investigation on NJ 23 northbound North of Canistear Rd (West Milford Twp) all lanes closed","New Jersey DOT - Statewide Traffic Management Center","41.081763","-74.494414"
"construction","New York State Thruway-State Wide Operations Center - Albany","I-90 - NYS Thruway","Westbound","from Cheektowaga","Erie","NY","2020-04-22T12:41:31.000",,"Road maintenance operations, left lane closed on I-90 - NYS Thruway westbound from after Exit 49 (I-90) - Depew (Rte 78) to before Williamsville Toll Barrier until 5:00 PM, 04/22/2020. [CARS CAD-201130140]","New York State Thruway-State Wide Operations Center - Albany","42.950887","-78.70787"
"construction","New York State Thruway-State Wide Operations Center - Albany","I-90 - NYS Thruway","Eastbound","from Amherst","Erie","NY","2020-04-22T12:38:14.000",,"Road maintenance operations, left lane closed on I-90 - NYS Thruway eastbound from after Williamsville Toll Barrier to before Exit 49 (I-90) - Depew (Rte 78) until 5:00 PM, 04/22/2020. [CARS CAD-201130139]","New York State Thruway-State Wide Operations Center - Albany","42.950872","-78.727662"
"downed pole","New York State Department of Transportation (Region 11)","I-278","Westbound","at New York","Kings","NY","2020-04-22T12:34:22.000",,"Downed pole on I-278 westbound at Exit 28A - Old Fulton Street; Cadman Plaza West (New York) right and center lanes closed until further notice","New York State Department of Transportation (Region 11)","40.701","-73.994499"
"construction","MTA NYC Transit Bus","BX1, BX2 Bus","Southbound","at Bronx","Bronx","NY","2020-04-22T12:28:58.000",,"Due to Construction( Construction), southbound BX1, BX2 Bus at Grand Concourse: Mount Eden Avenue (Bronx) buses on detour.","MTA NYC Transit Bus","40.84288","-73.91201"
"roadwork","New York State Department of Transportation Region 4","NY 96","Both directions","from Pittsford","Monroe","NY","2020-04-22T12:24:14.000",,"Roadwork on NY 96 both directions from Garnsey Road (Pittsford) to Marsh Road (Pittsford) Cleaning drainage pipes and drainage structures., Friday April 24th, 2020, 07:00 AM thru 04:00 PM alternate lanes closed","New York State Department of Transportation Region 4","43.0531","-77.465715"
"roadwork","Connecticut Department of Transportation Bridgeport-Operations","I91N","Northbound","at New Haven","New Haven","CT","2020-04-22T12:05:41.000",,"Road Work on I-91 Northbound between Exits 6 and 8 (1.2 miles) in effect today until 4:57 pm. The right lane is closed. Reported Wednesday, April 22 at 12:00 pm.","Connecticut Department of Transportation Bridgeport-Operations","41.316212","-72.905493"
"roadwork","New Jersey Turnpike Authority","Garden State Parkway","Southbound","Elmwood Park","Bergen","NJ","2020-04-22T11:56:18.000",,"Roadwork on Garden State Parkway southbound North of Exit 157 - US 46 (Elmwood Park) to South of Exit 156 - US 46 (Clifton) left lane closed to traffic","New Jersey Turnpike Authority","40.894257","-74.119209"
"tree trimming","New York State Department of Transportation (Region 8)","US 44","Both directions","between Washington","Dutchess","NY","2020-04-22T11:40:32.000",,"Tree trimming on US 44 both directions between NY 343; NY 82 (Washington) and Stanford Road (Washington) 2019088284, Tuesday April 28th, 2020 thru Friday May 1st, 2020, Tuesday/Wednesday/Thursday/Friday, 09:00 AM thru 03:00 PM alternate lanes closure, Monday May 4th, 2020 thru Friday May 8th, 2020, Monday thru Friday, 09:00 AM thru 03:00 PM alternate lanes closure, Monday May 11th, 2020 thru Friday May 15th, 2020, Monday thru Friday, 09:00 AM thru 03:00 PM alternate lanes closure, Monday May 18th, 2020 thru Thursday May 21st, 2020, Monday/Tuesday/Wednesday/Thursday, 09:00 AM thru 03:00 PM alternate lanes closure, Tuesday May 26th, 2020, 10:00 AM thru 03:00 PM alternate lanes closure, Wednesday May 27th, 2020 thru Thursday May 28th, 2020, Wednesday/Thursday, 09:00 AM thru 03:00 PM alternate lanes closure","New York State Department of Transportation (Region 8)","41.775901","-73.701896"
"culvert repairs","New York State Department of Transportation (Region 8)","US 6","Westbound","between Cortlandt","Westchester","NY","2020-04-22T11:37:20.000",,"Culvert repairs on US 6 westbound between Bear Mountain State Parkway (Cortlandt) and Roa Hook Road; US 6 (Cortlandt) D037940, Monday April 27th, 2020 thru Friday May 1st, 2020, Monday thru Friday, 09:30 AM thru 03:30 PM right lane closures","New York State Department of Transportation (Region 8)","41.296646","-73.934115"
"utility work","New Jersey Department of Transportation - Traffic Operations Center South","NJ 66","Both directions","Neptune Twp","Monmouth","NJ","2020-04-22T11:21:19.000",,"Utility work on NJ 66 both directions West of Jumping Brook Rd (Neptune Twp) to CR 16/Asbury Av (Neptune Twp) , Thursday April 23rd, 2020 thru Friday May 1st, 2020, Monday thru Friday, 09:00 AM thru 03:30 PM, right lane and shoulder closed","New Jersey Department of Transportation - Traffic Operations Center South","40.222415","-74.08735"
"tree trimming","New York State Department of Transportation (Region 8)","Sprain Brook State Parkway","Northbound","between Greenburgh","Westchester","NY","2020-04-22T11:01:24.000",,"Tree trimming on Sprain Brook State Parkway northbound between Exit - Jackson Avenue (Greenburgh) and Dobbs Ferry Road; NY 100B (Greenburgh) Res 8-9 RW, Thursday April 23rd, 2020 thru Friday April 24th, 2020 Thursday/ Friday, 09:00 AM thru 03:00 PM, right shoulder closure, Monday April 27th, 2020 thru Friday May 1st, 2020, Monday thru Friday, 09:00 AM thru 02:30 PM, right shoulder closure","New York State Department of Transportation (Region 8)","40.984798","-73.838699"
"roadwork","New Jersey Department of Transportation - Traffic Operations Center South","NJ 42","Both directions","at Deptford Twp","Gloucester","NJ","2020-04-22T10:44:30.000",,"Roadwork on NJ 42 both directions at Exit 12 - CR 544/Clements Bridge Rd (Deptford Twp) , Monday April 20th, 2020 thru Friday April 24th, 2020 Monday/ Tuesday/ Wednesday/ Thursday, 08:00 PM thru 06:00 AM, right lane closed","New Jersey Department of Transportation - Traffic Operations Center South","39.837015","-75.091881"
"construction","Port Authority New York/New Jersey","Holland Tunnel","Eastbound",,"New York","NY","2020-04-22T10:38:26.000",,"Construction on Holland Tunnel eastbound (New York) by Jersey City DOT on 12th Street between Erie Street and Manilla Boulivard with the 2 left lanes closed until 5 AM","Port Authority New York/New Jersey","40.727518","-74.021061"
"construction","New Jersey Department of Transportation - Traffic Operations Center South","I-295","Northbound","ramp to Mount Laurel Twp","Burlington","NJ","2020-04-22T10:36:14.000",,"Construction on I-295 northbound ramp to Exit 43 - CR 838/Creek Rd (Mount Laurel Twp) use caution, Wednesday April 22nd, 2020 thru Saturday April 25th, 2020 Wednesday/ Thursday/ Friday, 09:00 PM thru 06:00 AM, exit ramp closed and detoured","New Jersey Department of Transportation - Traffic Operations Center South","39.991911","-74.877543"
"construction","New Jersey Department of Transportation - Traffic Operations Center South","I-295","Southbound","ramp to Mount Laurel Twp","Burlington","NJ","2020-04-22T10:27:02.000",,"Construction on I-295 southbound ramp to Exit 43 - CR 838/Creek Rd (Mount Laurel Twp) use caution, Wednesday April 22nd, 2020, 08:00 AM thru 04:00 PM, exit ramp closed and detoured","New Jersey Department of Transportation - Traffic Operations Center South","39.991911","-74.877543"
"construction","New Jersey Department of Transportation - Traffic Operations Center South","I-295","Northbound","ramps from Westampton Twp","Burlington","NJ","2020-04-22T10:21:26.000",,"Construction, milling on I-295 northbound ramps from Exit 45 - Mount Holly Rd/Rancocas Rd (Westampton Twp) ramp closed and detoured until 4:00 P.M.","New Jersey Department of Transportation - Traffic Operations Center South","40.00963","-74.850902"
"roadwork","Connecticut Department of Transportation Bridgeport-Operations","I95N","Northbound","at Milford","New Haven","CT","2020-04-22T10:19:21.000",,"Road Work on I-95 Northbound between Exits 39B and 40 (0.6 miles) in effect today until 4:00 pm. The right and center lanes are closed. Reported Wednesday, April 22 at 10:13 am.","Connecticut Department of Transportation Bridgeport-Operations","41.233999","-73.041358"
"construction","New Jersey Department of Transportation - Traffic Operations Center South","I-195","Both directions","between Jackson Twp","Ocean","NJ","2020-04-22T10:19:21.000",,"Construction, sign work on I-195 both directions between Exit 16 - CR 537/Great Adventure (Jackson Twp) and Exit 28 - US 9 (Howell Twp) moving operation until 5:00 P.M.","New Jersey Department of Transportation - Traffic Operations Center South","40.160472","-74.425201"
"roadwork","New York State Department of Transportation Traffic Management Center - Albany","I-87 Northway","Northbound","Malta","Saratoga","NY","2020-04-22T10:16:54.000",,"Roadwork on I-87 Northway northbound Exit 12; NY 67 (Malta) to Saratoga-Warren County Line (Queensbury) pothole repair, Friday April 24th, 2020, 07:00 AM thru 02:30 PM right lane closed","New York State Department of Transportation Traffic Management Center - Albany","43.049445","-73.769794"
"construction","New Jersey DOT - Statewide Traffic Management Center","NJ 38","Westbound","at Mount Laurel Twp","Burlington","NJ","2020-04-22T10:16:54.000",,"Construction, bridge work on NJ 38 westbound at New Jersey Turnpike (Mount Laurel Twp) left lane closed until 4:00 P.M.","New Jersey DOT - Statewide Traffic Management Center","39.96777","-74.905776"
"construction","New Jersey Department of Transportation - Traffic Operations Center South","US 1","Both directions","West Windsor Twp","Mercer","NJ","2020-04-22T10:04:24.000",,"Construction, construction on US 1 both directions South of Meadow Rd (West Windsor Twp) right lane closed until 7:00 A.M. on May 21, 2020 use caution","New Jersey Department of Transportation - Traffic Operations Center South","40.307313","-74.667244"
"construction","New York State Thruway-State Wide Operations Center - Albany","I-90 - Berkshire Connector","Eastbound","from Canaan","Columbia","NY","2020-04-22T09:55:37.000",,"Road maintenance operations, right lane closed on I-90 - Berkshire Connector eastbound from Canaan Toll Barrier to before Exit B3 - Austerlitz - New Lebanon (Rte 22) until 5:00 PM, 04/22/2020. [CARS CAD-201130106]","New York State Thruway-State Wide Operations Center - Albany","42.3977","-73.504052"
"construction","New York State Thruway-State Wide Operations Center - Albany","I-90 - NYS Thruway","Eastbound","from Le Roy","Genesee","NY","2020-04-22T09:52:36.000",,"Road maintenance operations, right lane closed on I-90 - NYS Thruway eastbound from after Exit 47 (I-90) - Rochester - LeRoy (I-490 - Rte 19) to before Exit 46 (I-90) - Rochester - Corning (I-390) until 5:30 PM, 04/22/2020. [CARS CAD-201130104]","New York State Thruway-State Wide Operations Center - Albany","43.030075","-77.874517"
"bridge work, deck work","New Jersey DOT - Statewide Traffic Management Center","I-80","Westbound","Mount Olive Twp","Morris","NJ","2020-04-22T09:40:23.000",,"Bridge work and deck work on I-80 westbound West of Exit 25 - US 206 (Mount Olive Twp) , Wednesday April 22nd, 2020, 09:00 AM thru 04:00 PM, right lane closed for repairs","New Jersey DOT - Statewide Traffic Management Center","40.907132","-74.726367"
"gas main repairs","New York State Department of Transportation (Region 8)","US 9","Northbound","between Tarrytown","Westchester","NY","2020-04-22T09:36:30.000",,"Gas main repairs on US 9 northbound between Benedict Avenue; CR 15 (Tarrytown) and Franklin Street (Tarrytown) SIMCO RW Not currently scheduled","New York State Department of Transportation (Region 8)","41.071998","-73.860099"
"construction","New York State Department of Transportation (Region 8)","US 9","Southbound","between Rhinebeck","Dutchess","NY","2020-04-22T09:28:31.000",,"Construction, utility work on US 9 southbound between Montgomery Street (Rhinebeck) and East Market Street; NY 308; West Market Street (Rhinebeck) center lane closures until 4:30 P.M. 20200883347","New York State Department of Transportation (Region 8)","41.926917","-73.912584"
"roadwork","New Jersey Turnpike Authority","New Jersey Turnpike - Pennsylvania Ext.","Eastbound","between Florence Twp","Burlington","NJ","2020-04-22T09:22:48.000",,"Roadwork on New Jersey Turnpike - Pennsylvania Ext. Eastbound between East of Delaware River Bridge (Florence Twp) and US 130 (Florence Twp) 1 left lane closed until 8:00 P.M.","New Jersey Turnpike Authority","40.112506","-74.814454"
"construction","New York State Thruway-State Wide Operations Center - Albany","I-87 - NYS Thruway","Southbound","from Albany","Albany","NY","2020-04-22T09:19:21.000",,"Road maintenance operations, left lane closed on I-87 - NYS Thruway southbound from after Exit 23 (I-87) - Albany Downtown (I-787 - Rte 9W) to before Exit 22 (I-87) - Selkirk (Rte 396) until 6:00 PM, 04/22/2020. [CARS CAD-201130093]","New York State Thruway-State Wide Operations Center - Albany","42.617756","-73.781739"
"construction","New York State Department of Transportation (Region 11)","Grand Central Parkway","Eastbound","between New York","Queens","NY","2020-04-22T09:18:59.000",,"Construction, construction on Grand Central Parkway eastbound between Union Turnpike (New York) and Jackie Robinson Parkway (New York) right lane closed until 4:00 P.M.","New York State Department of Transportation (Region 11)","40.7164","-73.827903"
