Site Number,Region,Owner,"Ownership, Full Name",Site Name,Property Manager,DEC Brochure Site Number,Longitude,Latitude,Location,NYS Municipal Boundaries,New York Zip Codes,Counties
15,Three: Great Lakes Plain,DEC,City of Buffalo,Tifft Nature Preserve,Buffalo Museum of Science,W-04,-78.856838103,42.84448464,"(42.84448464, -78.856838103)",300,34,2041
16,Three: Great Lakes Plain,DEC,NYS Parks,Niagara River Corridor,same,W-05,-79.075993057,43.079624654,"(43.079624654, -79.075993057)",,,
17,Three: Great Lakes Plain,DEC,NYS DEC,Tillman Road Wildlife Management Area,same,W-06,-78.605402317,42.960723131,"(42.960723131, -78.605402317)",297,495,2041
18,Three: Great Lakes Plain,DEC,NYS DEC & The Town of Greece,Braddock Bay Fish & Wildlife Management Area,same,W-13,-77.678938558,43.294400308,"(43.294400308, -77.678938558)",548,1670,2093
19,Three: Great Lakes Plain,DEC,US F&W Service & NYS DEC,Iroquois NWR & Tonawanda & Oak Orchard WMA's,same,W-07,-78.419847549,43.107983907,"(43.107983907, -78.419847549)",797,488,2086
20,Three: Great Lakes Plain,DEC,Monroe County Parks Dept. & Mendon Ponds Nature Ce,Mendon Ponds Park,Mendon Ponds Nature Center,W-12,-77.577341838,43.035113755,"(43.035113755, -77.577341838)",539,237,2093
21,Three: Great Lakes Plain,DEC,NYS Parks,Letchworth State Park,same,W-10,-77.883062439,42.740520322,"(42.740520322, -77.883062439)",743,321,2091
22,Three: Great Lakes Plain,DEC,NYS DEC,Conesus Inlet Fish & Wildlife Management Area,same,W-11,-77.71233377,42.713452264,"(42.713452264, -77.71233377)",746,227,2091
23,Three: Great Lakes Plain,DEC,US Dept of Agriculture Forest Service,Finger Lakes National Forest,same,W-15,-76.871954466,42.501238785,"(42.501238785, -76.871954466)",645,1780,2143
24,Three: Great Lakes Plain,DEC,US Fish & Wildlife Service,Montezuma National Wildlife Refuge,same,W-16,-76.749835098,42.958983975,"(42.958983975, -76.749835098)",576,689,2144
25,Three: Great Lakes Plain,DEC,Cornell Labratory of Ornithology,Sapsucker Woods Sanctuary,same,W-18,-76.451796835,42.47766397,"(42.47766397, -76.451796835)",708,1786,2181
26,Three: Great Lakes Plain,DEC,Lime Hollow Nature Center & US F&W Service,Lime Hollow Nature Center,same,W-22,-76.244260259,42.552420807,"(42.552420807, -76.244260259)",777,362,620
27,Three: Great Lakes Plain,DEC,Onondaga County,Beaver Lake Nature Center,same,W-24,-76.402172733,43.180859276,"(43.180859276, -76.402172733)",697,346,2132
28,Three: Great Lakes Plain,DEC,NYS Parks,Fair Haven Beach State Park,same,W-17,-76.699818108,43.33746253,"(43.33746253, -76.699818108)",68,693,618
29,Three: Great Lakes Plain,DEC,NYS Parks,Green Lakes State Park,same,W-23,-75.972227211,43.059271932,"(43.059271932, -75.972227211)",696,621,2132
30,Three: Great Lakes Plain,DEC,Onondaga Audobon Society,Derby Hill Bird Observatory,same,W-25,-76.237576675,43.523291631,"(43.523291631, -76.237576675)",244,658,2135
31,Three: Great Lakes Plain,DEC,NYS Parks,Selkirk Shores State Park,same,W-26,-76.197895963,43.555084712,"(43.555084712, -76.197895963)",235,683,2135
32,Three: Great Lakes Plain,DEC,NYS DEC,Lakeview WMA,same,W-28,-76.201076092,43.719837784,"(43.719837784, -76.201076092)",853,1584,2089
33,Three: Great Lakes Plain,DEC,NYS Parks,Wellesley Island State Park,same,W-30,-76.020592639,44.327297084,"(44.327297084, -76.020592639)",847,1523,2089
34,Three: Great Lakes Plain,DEC,NYS DEC,Perch River WMA,same,W-29,-75.924460488,44.105855279,"(44.105855279, -75.924460488)",847,1580,2089
35,Three: Great Lakes Plain,DEC,NYS DEC,Upper & Lower Lakes WMA,North Country Conservation Education Association,NE-03,-75.247299407,44.580281905,"(44.580281905, -75.247299407)",339,1478,2140
36,Three: Great Lakes Plain,DEC,NYS DEC,Wilson Hill WMA,same,NE-02,-75.01158925,44.927412803,"(44.927412803, -75.01158925)",324,1585,2140
37,Three: Great Lakes Plain,DEC,NYS Parks,Robert Moses State Park,same,NE-01,-74.847515559,44.984811848,"(44.984811848, -74.847515559)",321,1585,2140
38,Four: Adirondacks,DEC,The Adirondack Nature Conservancy,Silver Lake Bog Preserve,same,NE-07,-73.868710557,44.517568371,"(44.517568371, -73.868710557)",12,206,2038
39,Four: Adirondacks,DEC,NYS APA,Paul Smiths Adirondack Visitor Interpretive Center (VIC),same,NE-08,-74.268308164,44.45473409,"(44.45473409, -74.268308164)",191,292,621
40,Four: Adirondacks,DEC,NYS Parks,Point Au Roche State Park,same,NE-04,-73.410986237,44.778998329,"(44.778998329, -73.410986237)",13,202,2038
41,Four: Adirondacks,DEC,NYS DEC,Ausable Marsh WMA,same,NE-05,-73.438368906,44.578865838,"(44.578865838, -73.438368906)",5,,2038
42,Four: Adirondacks,DEC,NYS DEC,Poke-O-Moonshine Campground,same,NE-06,-73.502941639,44.40329631,"(44.40329631, -73.502941639)",454,273,2084
43,Four: Adirondacks,DEC,NYS APA,Newcomb Adirondack Visitor Interpretive Center (VIC),same,NE-09,-74.181924968,43.972893906,"(43.972893906, -74.181924968)",438,134,2084
44,Four: Adirondacks,DEC,NYS DEC,Salmon River Fish Hatchery,same,W-27,-75.99818602,43.509190773,"(43.509190773, -75.99818602)",252,762,2135
45,Five: Hudson Valley,DEC,NYS DEC,Utica Marsh Wildlife Interpretive Area,same,NE-11,-75.233989318,43.115841539,"(43.115841539, -75.233989318)",984,1465,625
46,Five: Hudson Valley,DEC,NYS Parks,Schoharie Crossing State Historic Park,same,NE-13,-74.278648662,42.939947557,"(42.939947557, -74.278648662)",493,1218,624
47,Five: Hudson Valley,DEC,NYS DEC,Featherstonhaugh State Forest,same,none,-74.116613701,42.811811337,"(42.811811337, -74.116613701)",109,1179,2142
48,Five: Hudson Valley,DEC,National Park Service,Saratoga National Historical Park,same,NE-14,-73.609414113,43.000936922,"(43.000936922, -73.609414113)",993,1415,2141
49,Five: Hudson Valley,DEC,Pember Library and Museum of Natural History,Pember Museum & Hebron Nature Preserve,same,NE-10,-73.263844115,43.411872507,"(43.411872507, -73.263844115)",725,94,2184
50,Five: Hudson Valley,DEC,Albany Pine Bush Commission,Albany Pine Bush Preserve,same,NE-15,-73.866592708,42.716872577,"(42.716872577, -73.866592708)",814,42,2030
51,Five: Hudson Valley,DEC,NYS DEC,Five Rivers Environmental Education Center,same,NE-16,-73.892852819,42.610076796,"(42.610076796, -73.892852819)",830,1180,2030
52,Five: Hudson Valley,DEC,Audobon Society of New York State,Hollyhock Hollow Sanctuary,same,NE-17,-73.869764105,42.540877359,"(42.540877359, -73.869764105)",837,1192,2030
53,Five: Hudson Valley,DEC,NYS DEC,Stony Kill Farm Environmental Education Center,same,SE-04,-73.944234706,41.546191728,"(41.546191728, -73.944234706)",596,1018,2040
54,Five: Hudson Valley,DEC,Palisades Interstate Park Commission,Iona Island National Estuarine Sanctuary and Research Reserv,same,SE-05,-73.97961988,41.306437239,"(41.306437239, -73.97961988)",528,1652,628
55,Five: Hudson Valley,DEC,Westchester County,Ward Pound Ridge Reservation,same,SE-06,-73.597715236,41.270427974,"(41.270427974, -73.597715236)",972,1205,2185
56,Five: Hudson Valley,DEC,Westchester County,Rye Marshlands Conservancy,same,SE-07,-73.704226243,40.958436488,"(40.958436488, -73.704226243)",953,1342,2185
57,Six: New York City,DEC,City of New York Dept. of Parks and Recreation,Pelham Bay Park - Bronx,Urban Park Rangers,SE-08,-73.78585585,40.869870375,"(40.869870375, -73.78585585)",307,677,
58,Six: New York City,DEC,City of New York Dept. of Parks and Recreation,Central Park - Manhattan,Urban Park Rangers,SE-09,-73.970187486,40.776810688,"(40.776810688, -73.970187486)",749,,2095
59,Six: New York City,DEC,City of New York Dept. of Parks and Recreation,Alley Pond Park - Queens,Urban Park Rangers,SE-11,-73.749877647,40.767323925,"(40.767323925, -73.749877647)",196,833,2137
60,Six: New York City,DEC,City of New York Dept. of Parks and Recreation,Forest Park - Queens,Urban Park Rangers,SE-10,-73.835729426,40.710933383,"(40.710933383, -73.835729426)",196,1165,2137
61,Six: New York City,DEC,City of New York Dept. of Parks and Recreation,Prospect Park - Brooklyn,Urban Park Rangers,SE-14,-73.96218651,40.655350003,"(40.655350003, -73.96218651)",894,,2090
62,Six: New York City,DEC,City of New York Dept. of Parks and Recreation,High Rock Park - Staten Island,Urban Park Rangers,SE-13,-74.124758605,40.584969756,"(40.584969756, -74.124758605)",585,609,2139
63,Six: New York City,DEC,NYS Parks,Clay Pit Ponds State Park Preserve,same,SE-12,-74.231308915,40.539305645,"(40.539305645, -74.231308915)",585,612,2139
64,Six: New York City,DEC,National Park Service,Jamaica Bay National Wildlife Refuge,same,SE-15,-73.831603792,40.63816186,"(40.63816186, -73.831603792)",196,,2137
65,Seven: Coastal Lowlands,DEC,Nassau County Dept. of Recreation and Parks,Tackapausha Museum & Preserve,same,SE-16,-73.483287567,40.667690277,"(40.667690277, -73.483287567)",62,1424,2094
66,Seven: Coastal Lowlands,DEC,NYS Parks,Jones Beach State Park,same,SE-17,-73.512784091,40.597624272,"(40.597624272, -73.512784091)",62,1433,2094
67,Seven: Coastal Lowlands,DEC,NYS Parks,Robert Moses State Park,same,SE-18,-73.278380665,40.624378477,"(40.624378477, -73.278380665)",1023,1033,2179
68,Seven: Coastal Lowlands,DEC,National Park Service - US Dept. of the Interior,Fire Island National Seashore,same,SE-20,-72.867311379,40.733523639,"(40.733523639, -72.867311379)",1022,1634,2179
69,Seven: Coastal Lowlands,DEC,NYS Parks,Caleb Smith State Park Preserve,same,SE-19,-73.224866805,40.852218185,"(40.852218185, -73.224866805)",1014,1427,2179
70,Seven: Coastal Lowlands,DEC,NYS DEC,Ridge Environmental Conservation Area/Randall Pond Nature Tr,same,SE-21,-72.891876273,40.896887093,"(40.896887093, -72.891876273)",1022,1644,2179
71,Seven: Coastal Lowlands,DEC,NYS DEC,Quogue Wildlife Refuge and Study Center,same,SE-22,-72.614998966,40.83459187,"(40.83459187, -72.614998966)",1013,1642,2179
72,Seven: Coastal Lowlands,DEC,Dept. of the Interior - US Fish & Wildlife Service,Morton National Wildlife Refuge,same,SE-23,-72.369829239,40.987251696,"(40.987251696, -72.369829239)",1013,1646,2179
73,Seven: Coastal Lowlands,DEC,The Nature Conservancy,Mashomack Preserve,same,SE-24,-72.324378619,41.062227144,"(41.062227144, -72.324378619)",1016,1647,2179
74,Seven: Coastal Lowlands,DEC,various,Seal Haul-Out Sites,same,SE-26,-72.106387461,41.039253209,"(41.039253209, -72.106387461)",1021,,
75,Seven: Coastal Lowlands,DEC,NYS Parks,Montauk Point State Park,same,SE-27,-71.859927475,41.071635612,"(41.071635612, -71.859927475)",1021,1637,
76,Seven: Coastal Lowlands,DEC,Coastal Researdh & Education Society of Long Islan,Montauk Point Whale Watch,Riverhead Foundation for Marine Research & Preservation,SE-25,-71.956379985,41.047954416,"(41.047954416, -71.956379985)",1021,1637,2179
