"name","category","region","county","facility_url","x","y","location"
"Fair Haven Beach","State Park","4","Cayuga","https://parks.ny.gov/parks/12/details.aspx","-76.69131068","43.34170812","(43.34170812, -76.69131068)"
"Fillmore Glen","State Park","4","Cayuga","https://parks.ny.gov/parks/157/details.aspx","-76.38800625","42.69096898","(42.69096898, -76.38800625)"
"Four Mile Creek","State Park","1","Niagara","https://parks.ny.gov/parks/6/details.aspx","-78.99746851","43.27437645","(43.27437645, -78.99746851)"
"Gilbert Lake","State Park","5","Otsego","https://parks.ny.gov/parks/19/details.aspx","-75.13246312","42.586584","(42.586584, -75.13246312)"
"Glimmerglass","State Park","5","Otsego","https://parks.ny.gov/parks/28/details.aspx","-74.86868392","42.79362617","(42.79362617, -74.86868392)"
"Golden Hill","State Park","1","Niagara","https://parks.ny.gov/parks/143/details.aspx","-78.48015886","43.36946168","(43.36946168, -78.48015886)"
"Grass Point","State Park","10","Jefferson","https://parks.ny.gov/parks/139/details.aspx","-75.99593007","44.28176681","(44.28176681, -75.99593007)"
"Green Lakes","State Park","5","Onondaga","https://parks.ny.gov/parks/172/details.aspx","-75.9818848","43.04697832","(43.04697832, -75.9818848)"
"Hamlin Beach","State Park","3","Monroe","https://parks.ny.gov/parks/20/details.aspx","-77.95509767","43.3600913","(43.3600913, -77.95509767)"
"Harriman","State Park","8","Rock/Orange","https://parks.ny.gov/parks/145/details.aspx","-74.10169996","41.23733048","(41.23733048, -74.10169996)"
"Heckscher","State Park","9","Suffolk","https://parks.ny.gov/parks/136/details.aspx","-73.16492238","40.70866151","(40.70866151, -73.16492238)"
"Higley Flow","State Park","10","St. Lawrence","https://parks.ny.gov/parks/58/details.aspx","-74.91464273","44.49829863","(44.49829863, -74.91464273)"
"Hither Hills","State Park","9","Suffolk","https://parks.ny.gov/parks/122/details.aspx","-72.02131304","41.01605601","(41.01605601, -72.02131304)"
"Hudson River Islands","State Park","11","Columbia/Greene","https://parks.ny.gov/parks/98/details.aspx","-73.7783764","42.32888525","(42.32888525, -73.7783764)"
"Jacques Cartier","State Park","10","St. Lawrence","https://parks.ny.gov/parks/114/details.aspx","-75.6805192","44.55484146","(44.55484146, -75.6805192)"
"John Boyd Thacher","State Park","11","Albany","https://parks.ny.gov/parks/128/details.aspx","-74.01470616","42.65546552","(42.65546552, -74.01470616)"
"Keewaydin","State Park","10","Jefferson","https://parks.ny.gov/parks/24/details.aspx","-75.92971103","44.32343021","(44.32343021, -75.92971103)"
"Keuka Lake","State Park","4","Yates","https://parks.ny.gov/parks/67/details.aspx","-77.12858336","42.58218255","(42.58218255, -77.12858336)"
"Kring Point","State Park","10","Jefferson","https://parks.ny.gov/parks/14/details.aspx","-75.85615854","44.37718875","(44.37718875, -75.85615854)"
"Lake Erie","State Park","2","Chautauqua","https://parks.ny.gov/parks/129/details.aspx","-79.43141787","42.42289079","(42.42289079, -79.43141787)"
"Lake Taghkanic","State Park","7","Columbia","https://parks.ny.gov/parks/38/details.aspx","-73.70588782","42.09288182","(42.09288182, -73.70588782)"
"Sampson","State Park","4","Seneca","https://parks.ny.gov/parks/154/details.aspx","-76.9013257","42.72549002","(42.72549002, -76.9013257)"
"Schodack Island","State Park","11","Alb/Rens","https://parks.ny.gov/parks/146/details.aspx","-73.77652044","42.49059902","(42.49059902, -73.77652044)"
"Selkirk Shores","State Park","5","Oswego","https://parks.ny.gov/parks/84/details.aspx","-76.19844002","43.55566201","(43.55566201, -76.19844002)"
"Southwick Beach","State Park","10","Jefferson","https://parks.ny.gov/parks/36/details.aspx","-76.20460033","43.76329127","(43.76329127, -76.20460033)"
"Stony Brook","State Park","4","Steuben","https://parks.ny.gov/parks/118/details.aspx","-77.69296639","42.51855953","(42.51855953, -77.69296639)"
"Taconic","State Park","7","Dutchess","https://parks.ny.gov/parks/83/details.aspx","-73.51743928","42.07786386","(42.07786386, -73.51743928)"
"Taughannock Falls","State Park","4","Tompkins","https://parks.ny.gov/parks/62/details.aspx","-76.60976708","42.54073824","(42.54073824, -76.60976708)"
"Verona Beach","State Park","5","Oneida","https://parks.ny.gov/parks/102/details.aspx","-75.71658659","43.17800825","(43.17800825, -75.71658659)"
"Watkins Glen","State Park","4","Schuyler","https://parks.ny.gov/parks/142/details.aspx","-76.90013376","42.36753974","(42.36753974, -76.90013376)"
"Wellesley Island","State Park","10","Jefferson","https://parks.ny.gov/parks/52/details.aspx","-76.01544821","44.329238","(44.329238, -76.01544821)"
"Westcott Beach","State Park","10","Jefferson","https://parks.ny.gov/parks/90/details.aspx","-76.11801703","43.89698048","(43.89698048, -76.11801703)"
"Whetstone Gulf","State Park","10","Lewis","https://parks.ny.gov/parks/92/details.aspx","-75.47741546","43.69850757","(43.69850757, -75.47741546)"
"Wildwood","State Park","9","Suffolk","https://parks.ny.gov/parks/68/details.aspx","-72.79457341","40.96049996","(40.96049996, -72.79457341)"
