"sample_id","org_id","capture_event","capture_loc","latitude","longitude","site_id","project_id","org_hg_id","bdate","year","band_number","tissuecollected","analysis_tissue","analysis_tissue_wgt_g","analysis_tissue_moist","chem_value","chem_units","chemical_type","ww_dw_fw","convert_chem_value_fishadj","final_chem_standardized","final_convertedtissue","steps_reasonnotconverted","pcode","rmk","rmk_desc","limit","limit_desc","method","lab_code","lab_abbrev","duplicate1","hg_comments"
"NY001-050684NYT051T-43.98643-74.23667-07192007-C6739-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07192007-C6739","NY001-050684NYT051T-43.98643-74.23667-07192007","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","AA80751","2007-07-19T00:00:00.000","2007","2281-67803","Blood","Blood",,,"0.1185","ppm","THg","ww",,"0.1185","Blood","Value Maintained",,"No",,,,,,"EPA",,
"NY001-050684NYT051T-43.98643-74.23667-07192007-C6740-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07192007-C6740","NY001-050684NYT051T-43.98643-74.23667-07192007","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","AA80752","2007-07-19T00:00:00.000","2007","2281-67804","Blood","Blood",,,"0.1037","ppm","THg","ww",,"0.1037","Blood","Value Maintained",,"No",,,,,,"EPA",,
"NY001-050684NYT051T-43.98643-74.23667-07202006-C0937-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07202006-C0937","NY001-050684NYT051T-43.98643-74.23667-07202006","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","T7016-020","2006-07-20T00:00:00.000","2006","2410-81021","Blood","Blood",,,"0.0637","ppm","THg","ww",,"0.0637","Blood","Value Maintained",,"No",,,,,,"Texas A&M",,
"NY001-050684NYT051T-43.98643-74.23667-07202006-C0938-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07202006-C0938","NY001-050684NYT051T-43.98643-74.23667-07202006","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","T7016-021","2006-07-20T00:00:00.000","2006","2440-09583","Blood","Blood",,,"0.0618","ppm","THg","ww",,"0.0618","Blood","Value Maintained",,"No",,,,,,"Texas A&M",,
"NY001-050684NYT051T-43.98643-74.23667-07202006-C2370-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07202006-C2370","NY001-050684NYT051T-43.98643-74.23667-07202006","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","T7007-026","2006-07-20T00:00:00.000","2006","2251-71213","Blood","Blood",,,"0.0442","ppm","THg","ww",,"0.0442","Blood","Value Maintained",,"No",,,,,,"Texas A&M",,
"NY001-050684NYT051T-43.98643-74.23667-07202006-C2371-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07202006-C2371","NY001-050684NYT051T-43.98643-74.23667-07202006","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","T7007-027","2006-07-20T00:00:00.000","2006","2251-71214","Blood","Blood",,,"0.0591","ppm","THg","ww",,"0.0591","Blood","Value Maintained",,"No",,,,,,"Texas A&M",,
"NY001-050684NYT051T-43.98643-74.23667-07202006-C2372-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07202006-C2372","NY001-050684NYT051T-43.98643-74.23667-07202006","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","T7007-028","2006-07-20T00:00:00.000","2006","2251-71218","Blood","Blood",,,"0.0701","ppm","THg","ww",,"0.0701","Blood","Value Maintained",,"No",,,,,,"Texas A&M",,
"NY001-050684NYT051T-43.98643-74.23667-07202006-C2373-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07202006-C2373","NY001-050684NYT051T-43.98643-74.23667-07202006","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","T7007-029","2006-07-20T00:00:00.000","2006","2251-71219","Blood","Blood",,,"0.088","ppm","THg","ww",,"0.088","Blood","Value Maintained",,"No",,,,,,"Texas A&M",,
"NY001-050684NYT051T-43.98643-74.23667-07202006-C2374-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07202006-C2374","NY001-050684NYT051T-43.98643-74.23667-07202006","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","T7007-030","2006-07-20T00:00:00.000","2006","2251-71220","Blood","Blood",,,"0.0716","ppm","THg","ww",,"0.0716","Blood","Value Maintained",,"No",,,,,,"Texas A&M",,
"NY001-050684NYT051T-43.98643-74.23667-07202006-C2375-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07202006-C2375","NY001-050684NYT051T-43.98643-74.23667-07202006","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","T7007-031","2006-07-20T00:00:00.000","2006","2251-71222","Blood","Blood",,,"0.0877","ppm","THg","ww",,"0.0877","Blood","Value Maintained",,"No",,,,,,"Texas A&M",,
"NY001-050684NYT051T-43.98643-74.23667-07202006-C2376-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07202006-C2376","NY001-050684NYT051T-43.98643-74.23667-07202006","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","T7007-032","2006-07-20T00:00:00.000","2006","2251-71223","Blood","Blood",,,"0.101","ppm","THg","ww",,"0.101","Blood","Value Maintained",,"No",,,,,,"Texas A&M",,
"NY001-050684NYT051T-43.98643-74.23667-07202006-C4582-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07202006-C4582","NY001-050684NYT051T-43.98643-74.23667-07202006","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","T7016-022","2006-07-20T00:00:00.000","2006","1921-69129","Blood","Blood",,,"0.156","ppm","THg","ww",,"0.156","Blood","Value Maintained",,"No",,,,,,"Texas A&M",,
"NY001-050684NYT051T-43.98643-74.23667-07202006-C4583-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07202006-C4583","NY001-050684NYT051T-43.98643-74.23667-07202006","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","T7016-023","2006-07-20T00:00:00.000","2006","1921-69130","Blood","Blood",,,"0.11","ppm","THg","ww",,"0.11","Blood","Value Maintained",,"No",,,,,,"Texas A&M",,
"NY001-050684NYT051T-43.98643-74.23667-07202006-C4584-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07202006-C4584","NY001-050684NYT051T-43.98643-74.23667-07202006","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","T7016-024","2006-07-20T00:00:00.000","2006","1921-69131","Blood","Blood",,,"0.105","ppm","THg","ww",,"0.105","Blood","Value Maintained",,"No",,,,,,"Texas A&M",,
"NY001-050684NYT051T-43.98643-74.23667-07202006-C6734-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07202006-C6734","NY001-050684NYT051T-43.98643-74.23667-07202006","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","T7007-033","2006-07-20T00:00:00.000","2006","2251-71221","Blood","Blood",,,"0.0604","ppm","THg","ww",,"0.0604","Blood","Value Maintained",,"No",,,,,,"Texas A&M",,
"NY001-050684NYT051T-43.98643-74.23667-07202006-C6735-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07202006-C6735","NY001-050684NYT051T-43.98643-74.23667-07202006","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","T7007-034","2006-07-20T00:00:00.000","2006","2251-71224","Blood","Blood",,,"0.0758","ppm","THg","ww",,"0.0758","Blood","Value Maintained",,"No",,,,,,"Texas A&M",,
"NY001-050684NYT051T-43.98643-74.23667-07202006-C6736-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07202006-C6736","NY001-050684NYT051T-43.98643-74.23667-07202006","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","T7007-035","2006-07-20T00:00:00.000","2006","2251-71225","Blood","Blood",,,"0.11","ppm","THg","ww",,"0.11","Blood","Value Maintained",,"No",,,,,,"Texas A&M",,
"NY001-050684NYT051T-43.98643-74.23667-07202006-C6737-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07202006-C6737","NY001-050684NYT051T-43.98643-74.23667-07202006","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","T7007-036","2006-07-20T00:00:00.000","2006","2251-71226","Blood","Blood",,,"0.0755","ppm","THg","ww",,"0.0755","Blood","Value Maintained",,"No",,,,,,"Texas A&M",,
"NY001-050684NYT051T-43.98643-74.23667-07202007-C4585-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07202007-C4585","NY001-050684NYT051T-43.98643-74.23667-07202007","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","AA80744","2007-07-20T00:00:00.000","2007","1601-37326","Blood","Blood",,,"0.1631","ppm","THg","ww",,"0.1631","Blood","Value Maintained",,"No",,,,,,"EPA",,
"NY001-050684NYT051T-43.98643-74.23667-07202007-C4586-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07202007-C4586","NY001-050684NYT051T-43.98643-74.23667-07202007","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","AA80745","2007-07-20T00:00:00.000","2007","1601-37327","Blood","Blood",,,"0.2012","ppm","THg","ww",,"0.2012","Blood","Value Maintained",,"No",,,,,,"EPA",,
"NY001-050684NYT051T-43.98643-74.23667-07202007-C4587-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07202007-C4587","NY001-050684NYT051T-43.98643-74.23667-07202007","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","AA80746","2007-07-20T00:00:00.000","2007","1601-37328","Blood","Blood",,,"0.1757","ppm","THg","ww",,"0.1757","Blood","Value Maintained",,"No",,,,,,"EPA",,
"NY001-050684NYT051T-43.98643-74.23667-07202007-C4589-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07202007-C4589","NY001-050684NYT051T-43.98643-74.23667-07202007","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","AA80747","2007-07-20T00:00:00.000","2007","1601-37330","Blood","Blood",,,"0.1244","ppm","THg","ww",,"0.1244","Blood","Value Maintained",,"No",,,,,,"EPA",,
"NY001-050684NYT051T-43.98643-74.23667-07202007-C6738-BlTHg","NY001-050684NYT051T-43.98643-74.23667-07202007-C6738","NY001-050684NYT051T-43.98643-74.23667-07202007","NY001-050684NYT051T-43.98643-74.23667","43.98643","-74.23667","NY001-050684NYT051T","NY001","AA80750","2007-07-20T00:00:00.000","2007","2251-71224","Blood","Blood",,,"0.0707","ppm","THg","ww",,"0.0707","Blood","Value Maintained",,"No",,,,,,"EPA",,
"NY001-050684NYT354-43.99292-74.24447-06292016-C1006-TlFeTHg","NY001-050684NYT354-43.99292-74.24447-06292016-C1006","NY001-050684NYT354-43.99292-74.24447-06292016","NY001-050684NYT354-43.99292-74.24447","43.99292","-74.24447","NY001-050684NYT354","NY001","B7150021","2016-06-29T00:00:00.000","2016","2690-82488","Feather","Tail Feather",,,"1.786","ppm","THg","fw",,"0.27321","Blood","ln(Blood) = 0.5348* ln(Songbird Tail Feather) - 1.6077",,,,,,,,"BRI",,
"NY001-050684NYT354-43.99378-74.24557-06272017-C3908-BlTHg","NY001-050684NYT354-43.99378-74.24557-06272017-C3908","NY001-050684NYT354-43.99378-74.24557-06272017","NY001-050684NYT354-43.99378-74.24557","43.99378","-74.24557","NY001-050684NYT354","NY001","B7BD0011","2017-06-27T00:00:00.000","2017","2750-13069","Blood","Blood","0.0162",,"0.236","ppm","THg","ww",,"0.236","Blood","Value Maintained",,,,,,,,"BRI",,
"NY001-050684NYT354-43.99378-74.24557-06272017-C3908-TlFeTHg","NY001-050684NYT354-43.99378-74.24557-06272017-C3908","NY001-050684NYT354-43.99378-74.24557-06272017","NY001-050684NYT354-43.99378-74.24557","43.99378","-74.24557","NY001-050684NYT354","NY001","B7BR0010","2017-06-27T00:00:00.000","2017","2750-13069","Feather","Tail Feather",,,"2.034","ppm","THg","fw",,,,"Have higher priority tissue",,,,,,,,,,
"NY001-050684NYT354-43.99378-74.24557-06292016-C0763-BlTHg","NY001-050684NYT354-43.99378-74.24557-06292016-C0763","NY001-050684NYT354-43.99378-74.24557-06292016","NY001-050684NYT354-43.99378-74.24557","43.99378","-74.24557","NY001-050684NYT354","NY001","B6AR0584","2016-06-29T00:00:00.000","2016","2690-82489","Blood","Blood","0.0179",,"0.211","ppm","THg","ww",,"0.211","Blood","Value Maintained",,,,,,,,"BRI",,
"NY001-050684NYT354-43.99378-74.24557-06292016-C0763-TlFeTHg","NY001-050684NYT354-43.99378-74.24557-06292016-C0763","NY001-050684NYT354-43.99378-74.24557-06292016","NY001-050684NYT354-43.99378-74.24557","43.99378","-74.24557","NY001-050684NYT354","NY001","B7150022","2016-06-29T00:00:00.000","2016","2690-82489","Feather","Tail Feather",,,"0.753","ppm","THg","fw",,,,"Have higher priority tissue",,,,,,,,"BRI",,
"NY001-050684NYT354-43.99403-74.24377-06272017-C1096-BlTHg","NY001-050684NYT354-43.99403-74.24377-06272017-C1096","NY001-050684NYT354-43.99403-74.24377-06272017","NY001-050684NYT354-43.99403-74.24377","43.99403","-74.24377","NY001-050684NYT354","NY001","B7BD0014","2017-06-27T00:00:00.000","2017","2770-73528","Blood","Blood","0.0135",,"0.165","ppm","THg","ww",,"0.165","Blood","Value Maintained",,,,,,,,"BRI",,
"NY001-050684NYT354-43.99403-74.24377-06272017-C1096-TlFeTHg","NY001-050684NYT354-43.99403-74.24377-06272017-C1096","NY001-050684NYT354-43.99403-74.24377-06272017","NY001-050684NYT354-43.99403-74.24377","43.99403","-74.24377","NY001-050684NYT354","NY001","B7BR0012","2017-06-27T00:00:00.000","2017","2770-73528","Feather","Tail Feather",,,"0.312","ppm","THg","fw",,,,"Have higher priority tissue",,,,,,,,,,
"NY001-050684NYT354-43.99403-74.24377-06292016-C3907-BlTHg","NY001-050684NYT354-43.99403-74.24377-06292016-C3907","NY001-050684NYT354-43.99403-74.24377-06292016","NY001-050684NYT354-43.99403-74.24377","43.99403","-74.24377","NY001-050684NYT354","NY001","B6AR0585","2016-06-29T00:00:00.000","2016","2690-82490","Blood","Blood","0.0139",,"0.313","ppm","THg","ww",,"0.313","Blood","Value Maintained",,,,,,,,"BRI",,
"NY001-050684NYT354-43.99403-74.24377-06292016-C3907-TlFeTHg","NY001-050684NYT354-43.99403-74.24377-06292016-C3907","NY001-050684NYT354-43.99403-74.24377-06292016","NY001-050684NYT354-43.99403-74.24377","43.99403","-74.24377","NY001-050684NYT354","NY001","B7150023","2016-06-29T00:00:00.000","2016","2690-82490","Feather","Tail Feather",,,"0.907","ppm","THg","fw",,,,"Have higher priority tissue",,,,,,,,"BRI",,
"NY001-050684NYT354-43.99403-74.24377-06292016-C4835-BlTHg","NY001-050684NYT354-43.99403-74.24377-06292016-C4835","NY001-050684NYT354-43.99403-74.24377-06292016","NY001-050684NYT354-43.99403-74.24377","43.99403","-74.24377","NY001-050684NYT354","NY001","B6AR0583","2016-06-29T00:00:00.000","2016","2511-30865","Blood","Blood","0.0165",,"0.237","ppm","THg","ww",,"0.237","Blood","Value Maintained",,,,,,,,"BRI",,
"NY001-050684NYT354-43.99403-74.24377-06292016-C4835-FlFeTHg","NY001-050684NYT354-43.99403-74.24377-06292016-C4835","NY001-050684NYT354-43.99403-74.24377-06292016","NY001-050684NYT354-43.99403-74.24377","43.99403","-74.24377","NY001-050684NYT354","NY001","B8250028","2016-06-29T00:00:00.000","2016","2511-30865","Feather","Flank Feather",,,"0.509","ppm","THg","fw",,,,"Have higher priority tissue",,,,,,,,"BRI",,
"NY001-050684NYT354-43.99403-74.24377-06292016-C4835-TlFeTHg","NY001-050684NYT354-43.99403-74.24377-06292016-C4835","NY001-050684NYT354-43.99403-74.24377-06292016","NY001-050684NYT354-43.99403-74.24377","43.99403","-74.24377","NY001-050684NYT354","NY001","B7150010","2016-06-29T00:00:00.000","2016","2511-30865","Feather","Tail Feather",,,"0.487","ppm","THg","fw",,,,"Have higher priority tissue",,,,,,,,"BRI",,
"NY001-050684NYT354-43.99403-74.24377-06292016-C6846-BlTHg","NY001-050684NYT354-43.99403-74.24377-06292016-C6846","NY001-050684NYT354-43.99403-74.24377-06292016","NY001-050684NYT354-43.99403-74.24377","43.99403","-74.24377","NY001-050684NYT354","NY001","B6AR0582","2016-06-29T00:00:00.000","2016","1871-11488","Blood","Blood","0.0211",,"0.135","ppm","THg","ww",,"0.135","Blood","Value Maintained",,,,,,,,"BRI",,
"NY001-050684NYT354-43.99403-74.24377-06292016-C6846-TlFeTHg","NY001-050684NYT354-43.99403-74.24377-06292016-C6846","NY001-050684NYT354-43.99403-74.24377-06292016","NY001-050684NYT354-43.99403-74.24377","43.99403","-74.24377","NY001-050684NYT354","NY001","B7150008","2016-06-29T00:00:00.000","2016","1871-11488","Feather","Tail Feather",,,"0.676","ppm","THg","fw",,,,"Have higher priority tissue",,,,,,,,"BRI",,
"NY001-050684NYT354-43.99511-74.24442-06112015-C0575-BlTHg","NY001-050684NYT354-43.99511-74.24442-06112015-C0575","NY001-050684NYT354-43.99511-74.24442-06112015","NY001-050684NYT354-43.99511-74.24442","43.99511","-74.24442","NY001-050684NYT354","NY001","B5BC0023","2015-06-11T00:00:00.000","2015","2700-26246","Blood","Blood","0.0168",,"0.046","ppm","THg","ww",,"0.046","Blood","Value Maintained",,,,,,,,"BRI",,
"NY001-050684NYT354-43.99511-74.24442-06112015-C0575-FlFeTHg","NY001-050684NYT354-43.99511-74.24442-06112015-C0575","NY001-050684NYT354-43.99511-74.24442-06112015","NY001-050684NYT354-43.99511-74.24442","43.99511","-74.24442","NY001-050684NYT354","NY001","B5BN0020","2015-06-11T00:00:00.000","2015","2700-26246","Feather","Flank Feather",,,"0.616","ppm","THg","fw",,,,"Have higher priority tissue",,,,,,,,"BRI",,
"NY001-050684NYT354-43.99511-74.24442-06112015-C0575-TlFeTHg","NY001-050684NYT354-43.99511-74.24442-06112015-C0575","NY001-050684NYT354-43.99511-74.24442-06112015","NY001-050684NYT354-43.99511-74.24442","43.99511","-74.24442","NY001-050684NYT354","NY001","B5BU0017","2015-06-11T00:00:00.000","2015","2700-26246","Feather","Tail Feather",,,"0.781","ppm","THg","fw",,,,"Have higher priority tissue",,,,,,,,"BRI",,
"NY001-050684NYT354-43.99511-74.24442-06112015-C0576-BlTHg","NY001-050684NYT354-43.99511-74.24442-06112015-C0576","NY001-050684NYT354-43.99511-74.24442-06112015","NY001-050684NYT354-43.99511-74.24442","43.99511","-74.24442","NY001-050684NYT354","NY001","B5BC0024","2015-06-11T00:00:00.000","2015","2700-26247","Blood","Blood","0.0228",,"0.106","ppm","THg","ww",,"0.106","Blood","Value Maintained",,,,,,,,"BRI",,
"NY001-050684NYT354-43.99511-74.24442-06112015-C0576-FlFeTHg","NY001-050684NYT354-43.99511-74.24442-06112015-C0576","NY001-050684NYT354-43.99511-74.24442-06112015","NY001-050684NYT354-43.99511-74.24442","43.99511","-74.24442","NY001-050684NYT354","NY001","B5BN0021","2015-06-11T00:00:00.000","2015","2700-26247","Feather","Flank Feather",,,"2.369","ppm","THg","fw",,,,"Have higher priority tissue",,,,,,,,"BRI",,
"NY001-050684NYT354-43.99511-74.24442-06112015-C0576-TlFeTHg","NY001-050684NYT354-43.99511-74.24442-06112015-C0576","NY001-050684NYT354-43.99511-74.24442-06112015","NY001-050684NYT354-43.99511-74.24442","43.99511","-74.24442","NY001-050684NYT354","NY001","B5BU0018","2015-06-11T00:00:00.000","2015","2700-26247","Feather","Tail Feather",,,"1.721","ppm","THg","fw",,,,"Have higher priority tissue",,,,,,,,"BRI",,
"NY001-050684NYT354-43.99511-74.24442-06112015-C0577-BlTHg","NY001-050684NYT354-43.99511-74.24442-06112015-C0577","NY001-050684NYT354-43.99511-74.24442-06112015","NY001-050684NYT354-43.99511-74.24442","43.99511","-74.24442","NY001-050684NYT354","NY001","B5BC0025","2015-06-11T00:00:00.000","2015","2700-26248","Blood","Blood","0.0182",,"0.076","ppm","THg","ww",,"0.076","Blood","Value Maintained",,,,,,,,"BRI",,
"NY001-050684NYT354-43.99511-74.24442-06112015-C0577-FlFeTHg","NY001-050684NYT354-43.99511-74.24442-06112015-C0577","NY001-050684NYT354-43.99511-74.24442-06112015","NY001-050684NYT354-43.99511-74.24442","43.99511","-74.24442","NY001-050684NYT354","NY001","B5BN0022","2015-06-11T00:00:00.000","2015","2700-26248","Feather","Flank Feather",,,"1.332","ppm","THg","fw",,,,"Have higher priority tissue",,,,,,,,"BRI",,
"NY001-050684NYT354-43.99511-74.24442-06112015-C0577-TlFeTHg","NY001-050684NYT354-43.99511-74.24442-06112015-C0577","NY001-050684NYT354-43.99511-74.24442-06112015","NY001-050684NYT354-43.99511-74.24442","43.99511","-74.24442","NY001-050684NYT354","NY001","B5BU0019","2015-06-11T00:00:00.000","2015","2700-26248","Feather","Tail Feather",,,"2.207","ppm","THg","fw",,,,"Have higher priority tissue",,,,,,,,"BRI",,
"NY001-050684NYT354-43.99511-74.24442-06112015-C1095-FlFeTHg","NY001-050684NYT354-43.99511-74.24442-06112015-C1095","NY001-050684NYT354-43.99511-74.24442-06112015","NY001-050684NYT354-43.99511-74.24442","43.99511","-74.24442","NY001-050684NYT354","NY001","B5BN0018","2015-06-11T00:00:00.000","2015","2670-35617","Feather","Flank Feather",,,"0.746","ppm","THg","fw",,"0.15409","Blood","Eagles-Smith Conversion",,,,,,,,"BRI",,
"NY001-050684NYT354-43.99511-74.24442-06112015-C1095-TlFeTHg","NY001-050684NYT354-43.99511-74.24442-06112015-C1095","NY001-050684NYT354-43.99511-74.24442-06112015","NY001-050684NYT354-43.99511-74.24442","43.99511","-74.24442","NY001-050684NYT354","NY001","B5BU0015","2015-06-11T00:00:00.000","2015","2670-35617","Feather","Tail Feather",,,"0.288","ppm","THg","fw",,"0.10296","Blood","ln(Blood) = 0.5348* ln(Songbird Tail Feather) - 1.6077",,,,,,,,"BRI",,
