"service_date","month","year","call_center","percentage_of_calls_answered","average_answer_speed"
"2020-06-01T00:00:00.000","6","2020","Transit Control","0.9523","29"
"2020-05-01T00:00:00.000","5","2020","Overall","0.9813","20"
"2020-05-01T00:00:00.000","5","2020","Reservations","0.9835","23"
"2020-05-01T00:00:00.000","5","2020","Transit Control","0.977","13"
"2020-04-01T00:00:00.000","4","2020","Overall","0.9766","10"
"2020-04-01T00:00:00.000","4","2020","Reservations","0.9779","10"
"2020-04-01T00:00:00.000","4","2020","Transit Control","0.9746","9"
"2020-03-01T00:00:00.000","3","2020","Overall","0.98","29"
"2020-03-01T00:00:00.000","3","2020","Reservations","0.98","36"
"2020-03-01T00:00:00.000","3","2020","Transit Control","0.98","16"
"2020-02-01T00:00:00.000","2","2020","Overall","0.9704","47"
"2020-02-01T00:00:00.000","2","2020","Reservations","0.973","59"
"2020-02-01T00:00:00.000","2","2020","Transit Control","0.9651","24"
"2020-01-01T00:00:00.000","1","2020","Transit Control","0.9723","20"
"2020-01-01T00:00:00.000","1","2020","Overall","0.9774","36"
"2020-01-01T00:00:00.000","1","2020","Reservations","0.9799","43"
"2019-12-01T00:00:00.000","12","2019","Overall","0.9476","82"
"2019-12-01T00:00:00.000","12","2019","Reservations","0.9572","96"
"2019-12-01T00:00:00.000","12","2019","Transit Control","0.9303","56"
"2019-11-01T00:00:00.000","11","2019","Overall","0.9609","51"
"2019-11-01T00:00:00.000","11","2019","Reservations","0.9672","59"
"2019-11-01T00:00:00.000","11","2019","Transit Control","0.9497","42"
"2019-10-01T00:00:00.000","10","2019","Reservations","0.9654","74"
"2019-10-01T00:00:00.000","10","2019","Overall","0.9572","63"
"2019-10-01T00:00:00.000","10","2019","Transit Control","0.9416","42"
"2019-09-01T00:00:00.000","9","2019","Overall","0.9356","87"
"2019-09-01T00:00:00.000","9","2019","Transit Control","0.9049","69"
"2019-09-01T00:00:00.000","9","2019","Reservations","0.9525","97"
"2019-08-19T00:00:00.000","8","2019","Transit Control","0.9727","19"
"2019-08-19T00:00:00.000","8","2019","Reservations","0.9791","35"
"2019-08-19T00:00:00.000","8","2019","Overall","0.9768","30"
"2019-07-19T00:00:00.000","7","2019","Transit Control","0.964","27"
"2019-07-19T00:00:00.000","7","2019","Reservations","0.9782","37"
"2019-07-19T00:00:00.000","7","2019","Overall","0.9731","34"
"2019-06-01T00:00:00.000","6","2019","Transit Control","0.9315","55"
"2019-06-01T00:00:00.000","6","2019","Reservations","0.9555","78"
"2019-06-01T00:00:00.000","6","2019","Overall","0.9463","70"
"2019-05-01T00:00:00.000","5","2019","Transit Control","0.9225","60"
"2019-05-01T00:00:00.000","5","2019","Reservations","0.9484","92"
"2019-05-01T00:00:00.000","5","2019","Overall","0.9384","80"
"2019-04-01T00:00:00.000","4","2019","Transit Control","0.8993","74"
"2019-04-01T00:00:00.000","4","2019","Reservations","0.9184","144"
"2019-04-01T00:00:00.000","4","2019","Overall","0.912","121"
"2019-03-01T00:00:00.000","3","2019","Transit Control","0.937","49"
"2019-03-01T00:00:00.000","3","2019","Reservations","0.9528","18"
"2019-03-01T00:00:00.000","3","2019","Overall","0.9477","69"
"2019-02-01T00:00:00.000","2","2019","Transit Control","0.9621","26"
"2019-02-01T00:00:00.000","2","2019","Reservations","0.9722","41"
"2019-02-01T00:00:00.000","2","2019","Overall","0.9693","37"
"2019-01-01T00:00:00.000","1","2019","Transit Control","0.9796","12"
"2019-01-01T00:00:00.000","1","2019","Reservations","0.9863","22"
"2019-01-01T00:00:00.000","1","2019","Overall","0.9845","19"
"2018-12-01T00:00:00.000","12","2018","Transit Control","0.9621","30"
"2018-12-01T00:00:00.000","12","2018","Reservations","0.9722","51"
"2018-12-01T00:00:00.000","12","2018","Overall","0.9691","45"
"2018-11-01T00:00:00.000","11","2018","Transit Control","0.9324","54"
"2018-11-01T00:00:00.000","11","2018","Reservations","0.9659","56"
"2018-11-01T00:00:00.000","11","2018","Overall","0.9553","55"
"2018-10-01T00:00:00.000","10","2018","Transit Control","0.9343","46"
"2018-10-01T00:00:00.000","10","2018","Reservations","0.9503","75"
"2018-10-01T00:00:00.000","10","2018","Overall","0.9452","66"
"2018-09-01T00:00:00.000","9","2018","Transit Control","0.9676","22"
"2018-09-01T00:00:00.000","9","2018","Reservations","0.98","26"
"2018-09-01T00:00:00.000","9","2018","Overall","0.976","25"
"2018-08-01T00:00:00.000","8","2018","Transit Control","0.9729","17"
"2018-08-01T00:00:00.000","8","2018","Reservations","0.9897","14"
"2018-08-01T00:00:00.000","8","2018","Overall","0.9843","15"
"2018-07-01T00:00:00.000","7","2018","Transit Control","0.9608","28"
"2018-07-01T00:00:00.000","7","2018","Reservations","0.9767","34"
"2018-07-01T00:00:00.000","7","2018","Overall","0.9716","32"
"2018-06-01T00:00:00.000","6","2018","Transit Control","0.9297","50"
"2018-06-01T00:00:00.000","6","2018","Reservations","0.9553","68"
"2018-06-01T00:00:00.000","6","2018","Overall","0.9465","62"
"2018-05-01T00:00:00.000","5","2018","Transit Control","0.9297","45"
"2018-05-01T00:00:00.000","5","2018","Reservations","0.9563","65"
"2018-05-01T00:00:00.000","5","2018","Overall","0.9468","58"
"2018-04-01T00:00:00.000","4","2018","Transit Control","0.9474","36"
"2018-04-01T00:00:00.000","4","2018","Reservations","0.9556","64"
"2018-04-01T00:00:00.000","4","2018","Overall","0.9525","53"
"2018-03-01T00:00:00.000","3","2018","Transit Control","0.9276","45"
"2018-03-01T00:00:00.000","3","2018","Reservations","0.9458","73"
"2018-03-01T00:00:00.000","3","2018","Overall","0.9387","62"
"2018-02-01T00:00:00.000","2","2018","Transit Control","0.9832","21"
"2018-02-01T00:00:00.000","2","2018","Reservations","0.9755","15"
"2018-02-01T00:00:00.000","2","2018","Overall","0.9802","19"
"2018-01-01T00:00:00.000","1","2018","Transit Control","0.970329487","20.0205437"
"2018-01-01T00:00:00.000","1","2018","Reservations","0.979256426","27.47985848"
"2018-01-01T00:00:00.000","1","2018","Overall","0.9756","25"
"2017-12-01T00:00:00.000","12","2017","Transit Control","0.952021919","31.96061659"
"2017-12-01T00:00:00.000","12","2017","Reservations","0.972828843","39.48304272"
"2017-12-01T00:00:00.000","12","2017","Overall","0.9642","36"
"2017-11-01T00:00:00.000","11","2017","Transit Control","0.942191007","41"
"2017-11-01T00:00:00.000","11","2017","Reservations","0.955521112","61"
"2017-11-01T00:00:00.000","11","2017","Overall","0.95","55"
"2017-10-01T00:00:00.000","10","2017","Transit Control","0.948910065","32"
"2017-10-01T00:00:00.000","10","2017","Reservations","0.959600699","54"
"2017-10-01T00:00:00.000","10","2017","Overall","0.9553","45"
"2017-09-01T00:00:00.000","9","2017","Transit Control","0.9509","29"
"2017-09-01T00:00:00.000","9","2017","Reservations","0.9604","45"
"2017-09-01T00:00:00.000","9","2017","Overall","0.9566","38"
"2017-08-01T00:00:00.000","8","2017","Transit Control","0.9548","25"
"2017-08-01T00:00:00.000","8","2017","Reservations","0.9651","42"
"2017-08-01T00:00:00.000","8","2017","Overall","0.9611","36"
"2017-07-01T00:00:00.000","7","2017","Transit Control","0.9756","14"
"2017-07-01T00:00:00.000","7","2017","Reservations","0.9789","25"
"2017-07-01T00:00:00.000","7","2017","Overall","0.9776","21"
"2017-06-01T00:00:00.000","6","2017","Transit Control","0.9711","18"
"2017-06-01T00:00:00.000","6","2017","Reservations","0.9843","20"
"2017-06-01T00:00:00.000","6","2017","Overall","0.9785","19"
"2017-05-01T00:00:00.000","5","2017","Transit Control","0.9489","32"
"2017-05-01T00:00:00.000","5","2017","Reservations","0.9765","30"
"2017-05-01T00:00:00.000","5","2017","Overall","0.9642","31"
"2017-04-01T00:00:00.000","4","2017","Transit Control","0.9551","25"
"2017-04-01T00:00:00.000","4","2017","Reservations","0.9817","21"
"2017-04-01T00:00:00.000","4","2017","Overall","0.9703","22"
"2017-03-01T00:00:00.000","3","2017","Transit Control","0.9597","23"
"2017-03-01T00:00:00.000","3","2017","Reservations","0.9726","34"
"2017-03-01T00:00:00.000","3","2017","Overall","0.9669","29"
"2017-02-01T00:00:00.000","2","2017","Transit Control","0.9643","19"
"2017-02-01T00:00:00.000","2","2017","Reservations","0.9776","29"
"2017-02-01T00:00:00.000","2","2017","Overall","0.9721","25"
"2017-01-01T00:00:00.000","1","2017","Transit Control","0.9857","8"
"2017-01-01T00:00:00.000","1","2017","Reservations","0.9919","9"
"2017-01-01T00:00:00.000","1","2017","Overall","0.9893","9"
"2016-12-01T00:00:00.000","12","2016","Transit Control","0.9526","28"
"2016-12-01T00:00:00.000","12","2016","Reservations","0.9716","46"
"2016-12-01T00:00:00.000","12","2016","Overall","0.9632","38"
"2016-11-01T00:00:00.000","11","2016","Transit Control","0.9607","25"
"2016-11-01T00:00:00.000","11","2016","Reservations","0.9756","36"
"2016-11-01T00:00:00.000","11","2016","Overall","0.9691","31"
"2016-10-01T00:00:00.000","10","2016","Transit Control","0.9769","14"
"2016-10-01T00:00:00.000","10","2016","Reservations","0.9815","27"
"2016-10-01T00:00:00.000","10","2016","Overall","0.9796","22"
