"milepost","type","exit","description","route","route_id","latitude","longitude","location"
"17.83","Toll Barrier","TB-CTB","Canaan Toll Barrier (Begin/End of ticketed system)","Berkshire Connector","B","42.39806","-73.50483","(42.39806, -73.50483)"
"194.1","Interchange","29","Canajoharie - Sharon Springs - NY Route 10","I-90 - NYS Thruway","ML","42.90697","-74.56224","(42.90697, -74.56224)"
"347.13","Interchange","44","Canandaigua - Victor - NY Route 332","I-90 - NYS Thruway","ML","42.9957","-77.3684","(42.9957, -77.3684)"
"261.5","Interchange","34","Canastota - Oneida - Chittenango - NY Route 13","I-90 - NYS Thruway","ML","43.0926","-75.7472","(43.0926, -75.7472)"
"113.89","Interchange","21","Catskill - Cairo - NY Route 23","I-87 - NYS Thruway","ML","42.25013","-73.88444","(42.25013, -73.88444)"
"420.93","Interchange","50A","Cleveland Drive (No Westbound Exit)","I-90 - NYS Thruway","ML","42.94412","-78.76637","(42.94412, -78.76637)"
"2.37","Interchange","13","Conner Street - Baychester Avenue","I-95 - New England Thruway","NE","40.88389","-73.8258","(40.88389, -73.8258)"
"124.53","Interchange","21B","Coxsackie - Ravena - US Route 9W - NY Route 81","I-87 - NYS Thruway","ML","42.39365","-73.82495","(42.39365, -73.82495)"
"2.18","Interchange","4","Cross County Parkway - Mile Square Road","I-87 - NYS Thruway","ML","40.93086","-73.85683","(40.93086, -73.85683)"
"417.27","Interchange","49","Depew - Lockport - NY Route 78","I-90 - NYS Thruway","ML","42.95065","-78.70493","(42.95065, -78.70493)"
"467.74","Interchange","59","Dunkirk - Fredonia - NY Route 60","I-90 - NYS Thruway","ML","42.4621","-79.3058","(42.4621, -79.3058)"
"444.87","Interchange","57A","Eden - Angola","I-90 - NYS Thruway","ML","42.65908","-78.9609","(42.65908, -78.9609)"
"11.8","Interchange","8A","Elmsford - NY Route 119 - Saw Mill River Parkway North (No Northbound Exit)","I-87 - NYS Thruway","ML","41.05769","-73.83732","(41.05769, -73.83732)"
"0.8","Interchange","2","Elmsford - Saw Mill River Road (NY Route 9A) (No Eastbound Exit)","I-287 - Cross Westchester Expressway","CW","41.05815","-73.81714","(41.05815, -73.81714)"
"4.65","Interchange","6","Elm Street","I-190 - Niagara Thruway","N","42.87715","-78.87169","(42.87715, -78.87169)"
"6.58","Interchange","9","Fort Erie Canada - Porter Avenue - Peace Bridge","I-190 - Niagara Thruway","N","42.89847","-78.89786","(42.89847, -78.89786)"
"182.17","Interchange","28","Fultonville - Fonda - NY Route 30A","I-90 - NYS Thruway","ML","42.94476","-74.35976","(42.94476, -74.35976)"
"327.1","Interchange","42","Geneva - Lyons - NY Route 14","I-90 - NYS Thruway","ML","42.95489","-76.98206","(42.95489, -76.98206)"
"19.32","Interchange","20B","Grand Island Boulevard (NY Route 324) - Long Road (No Northbound Exit)","I-190 - Niagara Thruway","N","43.04873","-78.99056","(43.04873, -78.99056)"
"15.35","Interchange","18A","Grand Island Boulevard (NY Route 324 West) (No Southbound Exit)","I-190 - Niagara Thruway","N","43.00369","-78.9455","(43.00369, -78.9455)"
"0.55","Interchange","10","Gun Hill Road (No Southbound Exit)","I-95 - New England Thruway","NE","40.86229","-73.82929","(40.86229, -73.82929)"
"0.48","Interchange","1","Hall Place - McLean Avenue","I-87 - NYS Thruway","ML","40.9121","-73.87535","(40.9121, -73.87535)"
"436.22","Interchange","57","Hamburg - East Aurora - NY Route 75","I-90 - NYS Thruway","ML","42.74377","-78.84037","(42.74377, -78.84037)"
"3.95","Interchange","5","Hamburg Street - Louisiana Street","I-190 - Niagara Thruway","N","42.87339","-78.85764","(42.87339, -78.85764)"
"45.2","Toll Barrier","TB","Harriman Toll Barrier","I-87 - NYS Thruway","ML","41.31387","-74.12813","(41.31387, -74.12813)"
"45.2","Interchange","16","Harriman - US Route 6 - NY Route 17","I-87 - NYS Thruway","ML","41.31065","-74.12265","(41.31065, -74.12265)"
"1.87","Interchange","4","Hartsdale - Knollwood Road (NY Route 100A)","I-287 - Cross Westchester Expressway","CW","41.0472","-73.80384","(41.0472, -73.80384)"
"219.7","Interchange","30","Herkimer - Mohawk - NY Route 28","I-90 - NYS Thruway","ML","43.01778","-74.98931","(43.01778, -74.98931)"
"7.55","Interchange","9","Hutchinson River Parkway - Merritt Parkway - Whitestone Bridge","I-287 - Cross Westchester Expressway","CW","41.0141","-73.717","(41.0141, -73.717)"
"0.5","Interchange","9","Hutchinson River Parkway North","I-95 - New England Thruway","NE","40.86045","-73.82773","(40.86045, -73.82773)"
"2.96","Interchange","14","Hutchinson River Parkway South - Whitestone Bridge (No Northbound Exit)","I-95 - New England Thruway","NE","40.8867","-73.81524","(40.8867, -73.81524)"
"91.37","Interchange","19","Kingston - NY Route 28 – Kingston-Rhinecliff Bridge","I-87 - NYS Thruway","ML","41.94764","-74.02749","(41.94764, -74.02749)"
"5.2","Interchange","7","Lackawanna - Buffalo Skyway (NY Route 5 West) - 
Church Street","I-190 - Niagara Thruway","N","42.88129","-78.88052","(42.88129, -78.88052)"
"430.51","Toll Barrier","TB-LAC","Lackawanna Toll Barrier (Begin/End of ticketed system)","I-90 - NYS Thruway","ML","42.81319","-78.79485","(42.81319, -78.79485)"
"7.01","Interchange","17","Larchmont - Chatsworth Avenue (No Southbound Exit)","I-95 - New England Thruway","NE","40.92955","-73.7655","(40.92955, -73.7655)"
"210.62","Interchange","29A","Little Falls - Dolgeville - NY Route 169","I-90 - NYS Thruway","ML","43.01657","-74.81745","(43.01657, -74.81745)"
"18.83","Interchange","20","Long Road (No Southbound Exit)","I-190 - Niagara Thruway","N","43.0484","-78.99046","(43.0484, -78.99046)"
"9.14","Interchange","18A","Mamaroneck - Fenimore Road (No Southbound Exit)	- Mamaroneck - Mamaroneck Avenue East (No Northbound Exit)","I-95 - New England Thruway","NE","40.95185","-73.74556","(40.95185, -73.74556)"
"340.15","Interchange","43","Manchester - Palmyra - NY Route 21","I-90 - NYS Thruway","ML","42.97874","-77.23343","(42.97874, -77.23343)"
"1.77","Interchange","3","Mile Square Road (No Southbound Exit)","I-87 - NYS Thruway","ML","40.9251","-73.8585","(40.9251, -73.8585)"
"60.1","Interchange","17","Newburgh - Scranton- I-84 - NY Routes 17K & 300","I-87 - NYS Thruway","ML","41.50947","-74.07446","(41.50947, -74.07446)"
"23.53","Interchange","14A","New Jersey – Garden State Parkway","I-87 - NYS Thruway","ML","41.09768","-74.03997","(41.09768, -74.03997)"
"30.17","Interchange","15","New Jersey - I-287 - NJ Route 17 South","I-87 - NYS Thruway","ML","41.12133","-74.16283","(41.12133, -74.16283)"
"76.01","Interchange","18","New Paltz - Poughkeepsie - NY Route 299","I-87 - NYS Thruway","ML","41.73551","-74.0657","(41.73551, -74.0657)"
"6.04","Interchange","16","New Rochelle - North Avenue - Cedar Street","I-95 - New England Thruway","NE","40.91707","-73.7812","(40.91707, -73.7812)"
"4.63","Interchange","15","New Rochelle - The Pelhams – US Route 1","I-95 - New England Thruway","NE","40.90039","-73.79564","(40.90039, -73.79564)"
"6.94","Toll Barrier","TB","New Rochelle Toll Barrier (Northbound Toll Only)","I-95 - New England Thruway","NE","40.92684","-73.76993","(40.92684, -73.76993)"
"1.22","Interchange","3","New York City - Taconic State Parkway - Sprain Brook Parkway","I-287 - Cross Westchester Expressway","CW","41.055","-73.81026","(41.055, -73.81026)"
"10.39","Interchange","12","New York - I-95 South","I-287 - Cross Westchester Expressway","CW","40.99193","-73.67729","(40.99193, -73.67729)"
"420.34","Interchange","50","Niagara Falls - I-290","I-90 - NYS Thruway","ML","42.94892","-78.76393","(42.94892, -78.76393)"
"5.86","Interchange","8","Niagara Street (NY Route 266)","I-190 - Niagara Thruway","N","42.89008","-78.88949","(42.89008, -78.88949)"
"20.22","Toll Barrier","TB","North Grand Island Bridge - Niagara Toll Barrier (Southbound Toll Only)","I-190 - Niagara Thruway","N","43.0614","-78.99065","(43.0614, -78.99065)"
"4.06","Interchange","7","North White Plains - Central Westchester Parkway North - Taconic State Parkway (No Eastbound Exit)","I-287 - Cross Westchester Expressway","CW","41.04456","-73.76461","(41.04456, -73.76461)"
"17.63","Interchange","11","Nyack - South Nyack - US Route 9W","I-87 - NYS Thruway","ML","41.09071","-73.92879","(41.09071, -73.92879)"
"16.49","Interchange","10","Nyack - South Nyack - US Route 9W (No Southbound Exit)","I-87 - NYS Thruway","ML","41.08199","-73.92317","(41.08199, -73.92317)"
"12.36","Interchange","15","NY Route 324 - Sheridan Drive - Kenmore Avenue","I-190 - Niagara Thruway","N","42.97368","-78.91174","(42.97368, -78.91174)"
"10.27","Interchange","14","Ontario Street - Vulcan Street","I-190 - Niagara Thruway","N","42.9438","-78.90802","(42.9438, -78.90802)"
"401.72","Interchange","48A","Pembroke - Medina - NY Route 77","I-90 - NYS Thruway","ML","43.00281","-78.41385","(43.00281, -78.41385)"
"14.03","Interchange","22","Port Chester - Rye - Midland Avenue (No Southbound Exit)","I-95 - New England Thruway","NE","40.9875","-73.67277","(40.9875, -73.67277)"
"10.27","Interchange","11","Port Chester - Rye - US Route 1 (No Westbound Exit)","I-287 - Cross Westchester Expressway","CW","40.99357","-73.67815","(40.99357, -73.67815)"
"8.7","Interchange","10","Purchase - Port Chester - NY Routes 120 & 120A - Bowman Avenue - Webb Avenue","I-287 - Cross Westchester Expressway","CW","41.00841","-73.69776","(41.00841, -73.69776)"
"494.92","Interchange","61","Ripley - Shortman Road","I-90 - NYS Thruway","ML","42.26208","-79.74435","(42.26208, -79.74435)"
"494.51","Toll Barrier","TB-RIP","Ripley Toll Barrier (Begin/End of ticketed system)","I-90 - NYS Thruway","ML","42.2658","-79.73815","(42.2658, -79.73815)"
"21.07","Interchange","21","Robert Moses Parkway - Buffalo Avenue (NY Route 384) (No Southbound Exit)","I-190 - Niagara Thruway","N","43.07412","-78.99077","(43.07412, -78.99077)"
"362.44","Interchange","46","Rochester - Corning - I-390","I-90 - NYS Thruway","ML","43.04775","-77.65387","(43.04775, -77.65387)"
"378.56","Interchange","47","Rochester - LeRoy - I-490 - NY Route 19","I-90 - NYS Thruway","ML","43.02896","-77.96674","(43.02896, -77.96674)"
"350.99","Interchange","45","Rochester - Victor - I-490","I-90 - NYS Thruway","ML","43.00922","-77.43991","(43.00922, -77.43991)"
"12.48","Interchange","19","Rye - Harrison - Playland Parkway","I-95 - New England Thruway","NE","40.97686","-73.69899","(40.97686, -73.69899)"
"13.39","Interchange","20","Rye - US Route 1 South (No Southbound Exit)","I-95 - New England Thruway","NE","40.9874","-73.68029","(40.9874, -73.68029)"
"101.25","Interchange","20","Saugerties - Woodstock - NY Route 32","I-87 - NYS Thruway","ML","42.08306","-73.97328","(42.08306, -73.97328)"
"10.33","Interchange","7A","Saw Mill River Parkway - Taconic State Parkway","I-87 - NYS Thruway","ML","41.04259","-73.83608","(41.04259, -73.83608)"
"8.69","Interchange","11","Scajaquada Expressway (NY Route 198)","I-190 - Niagara Thruway","N","42.9282","-78.89862","(42.9282, -78.89862)"
"158.82","Interchange","25A","Schenectady - Binghamton - I-88 - NY Route 7","I-90 - NYS Thruway","ML","42.79035","-74.01592","(42.79035, -74.01592)"
"153.83","Interchange","25","Schenectady - I-890 - NY Routes 7 & 146","I-90 - NYS Thruway","ML","42.754","-73.93361","(42.754, -73.93361)"
"162.22","Interchange","26","Schenectady - Scotia - I-890 - NY Routes 5 & 5S","I-90 - NYS Thruway","ML","42.83812","-74.0126","(42.83812, -74.0126)"
"1.48","Exit","GSP","Schoolhouse Road - Chestnut Ridge (No Northbound Exit)","Garden State Parkway Connector","ML","41.07341","-74.05202","(41.07341, -74.05202)"
"134.93","Interchange","22","Selkirk - NY Routes 144 & 396","I-87 - NYS Thruway","ML","42.53415","-73.78411","(42.53415, -73.78411)"
"2.41","Interchange","3","Seneca Street (NY Route 16) (No Northbound Exit)","I-190 - Niagara Thruway","N","42.86801","-78.82775","(42.86801, -78.82775)"
"455.54","Interchange","58","Silver Creek - Irving - NY Routes 5, 20 & 438","I-90 - NYS Thruway","ML","42.55092","-79.10812","(42.55092, -79.10812)"
"31.35","Interchange","15A","Sloatsburg - Suffern - NY Routes 17 North & 59","I-87 - NYS Thruway","ML","41.13408","-74.16819","(41.13408, -74.16819)"
"3.14","Interchange","4","Smith Street - Fillmore Avenue","I-190 - Niagara Thruway","N","42.87089","-78.84536","(42.87089, -78.84536)"
"14.26","Toll Barrier","TB-GIB","South Grand Island Bridge - Tonawanda Toll Barrier 
(Northbound Toll Only)","I-190 - Niagara Thruway","N","42.99428","-78.92945","(42.99428, -78.92945)"
"0.7","Interchange","1","South Ogden Street - Dingens Street","I-190 - Niagara Thruway","N","42.87632","-78.80161","(42.87632, -78.80161)"
"22.8","Interchange","14","Spring Valley - Nanuet - NY Route 59","I-87 - NYS Thruway","ML","41.10272","-74.02769","(41.10272, -74.02769)"
"24.31","Toll Barrier","TB","Spring Valley Toll Barrier (Northbound Toll For Commercial Vehicles Only)","I-87 - NYS Thruway","ML","41.0983","-74.05449","(41.0983, -74.05449)"
"429.47","Interchange","55","Springville - Orchard Park - Lackawanna - West Seneca - US Route 219 - Ridge Road","I-90 - NYS Thruway","ML","42.82744","-78.79094","(42.82744, -78.79094)"
"5.14","Interchange","6A","Stew Leonard Drive","I-87 - NYS Thruway","ML","40.9667","-73.8608","(40.9667, -73.8608)"
"276.58","Interchange","34A","Syracuse - Chittenango - Oswego - I-481","I-90 - NYS Thruway","ML","43.09475","-76.04353","(43.09475, -76.04353)"
"278.93","Interchange","35","Syracuse - East Syracuse - NY Route 298","I-90 - NYS Thruway","ML","43.09278","-76.08985","(43.09278, -76.08985)"
"289.53","Interchange","39","Syracuse - Fulton - I-690 - NY Route 690","I-90 - NYS Thruway","ML","43.1073","-76.2872","(43.1073, -76.2872)"
"285.95","Interchange","38","Syracuse - Liverpool - County Route 57","I-90 - NYS Thruway","ML","43.11717","-76.21867","(43.11717, -76.21867)"
"283.79","Interchange","37","Syracuse - Liverpool - Electronics Parkway","I-90 - NYS Thruway","ML","43.10206","-76.18139","(43.10206, -76.18139)"
"15.09","Interchange","B2","Taconic State Parkway - NY Route 295","Berkshire Connector","B","42.42027","-73.54834","(42.42027, -73.54834)"
"13.07","Toll Barrier","TB","Tappan Zee Bridge Toll Barrier (Southbound Toll Only)","I-87 - NYS Thruway","ML","41.06506","-73.8647","(41.06506, -73.8647)"
"0.17","Interchange","1","Tarrytown - Saw Mill River Parkway - NY Route 119 (No Eastbound Exit)","I-287 - Cross Westchester Expressway","CW","41.05902","-73.82964","(41.05902, -73.82964)"
"12.65","Interchange","9","Tarrytown - Sleepy Hollow - US Route 9","I-87 - NYS Thruway","ML","41.06267","-73.86195","(41.06267, -73.86195)"
"13.33","Interchange","16","Tonawanda - Rochester - Youngmann Memorial Highway (I-290 East) - I-190","I-190 - Niagara Thruway","N","42.98669","-78.91446","(42.98669, -78.91446)"
"14.2","Interchange","17","Tonawandas - River Road (NY Route 266)","I-190 - Niagara Thruway","N","42.99377","-78.92849","(42.99377, -78.92849)"
"232.85","Interchange","31","Utica - I-790 - NY Routes 8 & 12","I-90 - NYS Thruway","ML","43.11198","-75.20499","(43.11198, -75.20499)"
"252.71","Interchange","33","Verona - Rome - Oneida - NY Route 365","I-90 - NYS Thruway","ML","43.12375","-75.5823","(43.12375, -75.5823)"
"320.41","Interchange","41","Waterloo - Clyde - NY Route 414","I-90 - NYS Thruway","ML","42.96744","-76.85294","(42.96744, -76.85294)"
"282.93","Interchange","36","Watertown - Binghamton - I-81","I-90 - NYS Thruway","ML","43.09458","-76.16788","(43.09458, -76.16788)"
"304.19","Interchange","40","Weedsport - Auburn - NY Route 34","I-90 - NYS Thruway","ML","43.06112","-76.56474","(43.06112, -76.56474)"
"485","Interchange","60","Westfield - Mayville - NY Route 394","I-90 - NYS Thruway","ML","42.33869","-79.58345","(42.33869, -79.58345)"
"243.37","Interchange","32","Westmoreland - Rome - NY Route 233","I-90 - NYS Thruway","ML","43.12388","-75.40102","(43.12388, -75.40102)"
"18.76","Interchange","12","West Nyack - NY Route 303 - Palisades Center Drive","I-87 - NYS Thruway","ML","41.09957","-73.95094","(41.09957, -73.95094)"
"19.69","Interchange","20A","West River Parkway (No Northbound Exit)","I-190 - Niagara Thruway","N","43.05369","-78.99054","(43.05369, -78.99054)"
"427.94","Interchange","54","West Seneca - East Aurora - NY Routes 400 & 16","I-90 - NYS Thruway","ML","42.8491","-78.79061","(42.8491, -78.79061)"
"17.27","Interchange","19","Whitehaven Road","I-190 - Niagara Thruway","N","43.0214","-78.97432","(43.0214, -78.97432)"
"2.7","Interchange","5","White Plains - Central Park Avenue (NY Route 100)(No Southbound Exit)","I-87 - NYS Thruway","ML","40.93833","-73.85564","(40.93833, -73.85564)"
"2.6","Interchange","5","White Plains - Hillside Avenue (NY Route 100) - 
Tarrytown-White Plains Road (NY Route 119)","I-287 - Cross Westchester Expressway","CW","41.04468","-73.79043","(41.04468, -73.79043)"
"10.04","Interchange","18B","White Plains - Mamaroneck Avenue","I-95 - New England Thruway","NE","40.96228","-73.73532","(40.96228, -73.73532)"
"3.78","Interchange","6","White Plains - North White Plains - Broadway (NY Route 22)","I-287 - Cross Westchester Expressway","CW","41.04579","-73.7695","(41.04579, -73.7695)"
"13.91","Interchange","21","White Plains - Port Chester - Cross Westchester Expressway (I-287) - US Route 1 North - Tappan Zee Bridge","I-95 - New England Thruway","NE","40.98778","-73.67749","(40.98778, -73.67749)"
"11.31","Interchange","8","White Plains - Rye - Cross Westchester Expressway (I-287)","I-87 - NYS Thruway","ML","41.05656","-73.83533","(41.05656, -73.83533)"
"419.69","Toll Barrier","TB-WMS","Williamsville Toll Barrier (Begin/End of ticketed system)","I-90 - NYS Thruway","ML","42.95203","-78.75245","(42.95203, -78.75245)"
"45.03","Toll Barrier","TB-WTB","Woodbury Toll Barrier (Begin/End of ticketed system)","I-87 - NYS Thruway","ML","41.30912","-74.12521","(41.30912, -74.12521)"
"0.92","Interchange","2","Yonkers Avenue - Raceway (No Southbound Exit)","I-87 - NYS Thruway","ML","40.92149","-73.86309","(40.92149, -73.86309)"
"5.47","Toll Barrier","TB","Yonkers Toll Barrier","I-87 - NYS Thruway","ML","40.97557","-73.85861","(40.97557, -73.85861)"
