"area","year","month","laborforce","employed","unemployed","unemployment_rate"
"New York State","2017","9","9891300","9446500","444800","4.5"
"New York State","2017","10","9830900","9399400","431400","4.4"
"New York State","2017","11","9785400","9360300","425100","4.3"
"New York State","2017","12","9754200","9330300","423900","4.3"
"New York State","2016","1","9521300","9022300","499000","5.2"
"New York State","2016","2","9536300","9031100","505200","5.3"
"New York State","2016","3","9564000","9080800","483200","5.1"
"New York State","2016","4","9499700","9059300","440400","4.6"
"New York State","2016","5","9492200","9077100","415100","4.4"
"New York State","2016","6","9575800","9119500","456300","4.8"
"New York State","2016","7","9620300","9129600","490600","5.1"
"New York State","2016","8","9580800","9095600","485100","5.1"
"New York State","2016","9","9519800","9051500","468300","4.9"
"New York State","2016","10","9506500","9043600","462900","4.9"
"New York State","2016","11","9457600","9027700","429900","4.5"
"New York State","2016","12","9449900","9016100","433800","4.6"
"New York State","2015","1","9504500","8908800","595600","6.3"
"New York State","2015","2","9499500","8911200","588300","6.2"
"New York State","2015","3","9515200","8981700","533600","5.6"
"New York State","2015","4","9520800","9021500","499300","5.2"
"New York State","2015","5","9566700","9062300","504400","5.3"
"New York State","2015","6","9619800","9116000","503800","5.2"
"New York State","2015","7","9640500","9123600","516800","5.4"
"New York State","2015","8","9587000","9102800","484200","5.1"
"New York State","2015","9","9478700","9034700","444100","4.7"
"New York State","2015","10","9514000","9069600","444300","4.7"
"New York State","2015","11","9483300","9040400","443000","4.7"
"New York State","2015","12","9508200","9059300","448900","4.7"
"New York State","2014","1","9528500","8827200","701300","7.4"
"New York State","2014","2","9535100","8817700","717300","7.5"
"New York State","2014","3","9556200","8888700","667500","7"
"New York State","2014","4","9461100","8892100","569000","6"
"New York State","2014","5","9501500","8918200","583300","6.1"
"New York State","2014","6","9604600","9013500","591100","6.2"
"New York State","2014","7","9629700","9009200","620600","6.4"
"New York State","2014","8","9566600","8968900","597700","6.2"
"New York State","2014","9","9463600","8922100","541500","5.7"
"New York State","2014","10","9517500","8981600","535900","5.6"
"New York State","2014","11","9466200","8929800","536400","5.7"
"New York State","2014","12","9452200","8934900","517300","5.5"
"New York State","2013","1","9632200","8751100","881100","9.1"
"New York State","2013","2","9596900","8748800","848100","8.8"
"New York State","2013","3","9574300","8800000","774300","8.1"
"New York State","2013","4","9584700","8862300","722400","7.5"
"New York State","2013","5","9638300","8899300","739000","7.7"
"New York State","2013","6","9754800","8977800","777000","8"
"New York State","2013","7","9789200","9007300","781800","8"
"New York State","2013","8","9720500","8962400","758100","7.8"
"New York State","2013","9","9624500","8906100","718400","7.5"
"New York State","2013","10","9603400","8886500","716900","7.5"
"New York State","2013","11","9561800","8895000","666800","7"
"New York State","2013","12","9514800","8872800","642000","6.7"
"New York State","2012","1","9502400","8632200","870200","9.2"
"New York State","2012","2","9543100","8650800","892300","9.4"
"New York State","2012","3","9556500","8709900","846600","8.9"
"New York State","2012","4","9519900","8732700","787200","8.3"
"New York State","2012","5","9579800","8766300","813500","8.5"
"New York State","2012","6","9692700","8841200","851400","8.8"
"New York State","2012","7","9729300","8847600","881700","9.1"
"New York State","2012","8","9649500","8804400","845100","8.8"
"New York State","2012","9","9598500","8813200","785200","8.2"
"New York State","2012","10","9663100","8867800","795300","8.2"
"New York State","2012","11","9581200","8815600","765600","8"
"New York State","2012","12","9615100","8819200","795900","8.3"
"New York State","2011","1","9533400","8677500","855900","9"
"New York State","2011","2","9509400","8666500","842900","8.9"
"New York State","2011","3","9511500","8721400","790100","8.3"
"New York State","2011","4","9479900","8732700","747200","7.9"
"New York State","2011","5","9507600","8755800","751800","7.9"
"New York State","2011","6","9578800","8789800","789000","8.2"
"New York State","2011","7","9605600","8793700","812000","8.5"
"New York State","2011","8","9607800","8803800","804000","8.4"
"New York State","2011","9","9531800","8739200","792600","8.3"
"New York State","2011","10","9558000","8766200","791800","8.3"
"New York State","2011","11","9503800","8728000","775700","8.2"
"New York State","2011","12","9525400","8725400","800100","8.4"
"New York State","2010","1","9602500","8678500","924000","9.6"
"New York State","2010","2","9615700","8694100","921600","9.6"
"New York State","2010","3","9630500","8746500","884000","9.2"
"New York State","2010","4","9671900","8837300","834700","8.6"
"New York State","2010","5","9636200","8830700","805400","8.4"
"New York State","2010","6","9725700","8896000","829700","8.5"
"New York State","2010","7","9739000","8887900","851100","8.7"
"New York State","2010","8","9713000","8877700","835300","8.6"
"New York State","2010","9","9596300","8795200","801200","8.3"
"New York State","2010","10","9584000","8793100","790800","8.3"
"New York State","2010","11","9533100","8727400","805600","8.5"
"New York State","2010","12","9515800","8722900","792900","8.3"
"New York State","2009","1","9663400","8923000","740400","7.7"
"New York State","2009","2","9689400","8890700","798600","8.2"
"New York State","2009","3","9633000","8845400","787600","8.2"
"New York State","2009","4","9624300","8871500","752800","7.8"
"New York State","2009","5","9628900","8852700","776200","8.1"
"New York State","2009","6","9765000","8935100","829900","8.5"
"New York State","2009","7","9805900","8961700","844200","8.6"
"New York State","2009","8","9747800","8906700","841100","8.6"
"New York State","2009","9","9608600","8780600","828100","8.6"
"New York State","2009","10","9635400","8793300","842100","8.7"
"New York State","2009","11","9596300","8769200","827100","8.6"
"New York State","2009","12","9570100","8716900","853100","8.9"
"New York State","2008","1","9553200","9042200","511000","5.3"
"New York State","2008","2","9535400","9029000","506300","5.3"
"New York State","2008","3","9538500","9059700","478800","5"
"New York State","2008","4","9541000","9110000","431100","4.5"
"New York State","2008","5","9577000","9111200","465700","4.9"
"New York State","2008","6","9725800","9233800","492000","5.1"
"New York State","2008","7","9775500","9247000","528500","5.4"
"New York State","2008","8","9741200","9196300","544900","5.6"
"New York State","2008","9","9656400","9122700","533600","5.5"
"New York State","2008","10","9708200","9164200","544000","5.6"
"New York State","2008","11","9663600","9092900","570700","5.9"
"New York State","2008","12","9677400","9046200","631200","6.5"
"New York State","2007","1","9470200","9008200","462100","4.9"
"New York State","2007","2","9454400","9001200","453200","4.8"
"New York State","2007","3","9453300","9050200","403200","4.3"
"New York State","2007","4","9405900","9024300","381600","4.1"
"New York State","2007","5","9436100","9052700","383400","4.1"
"New York State","2007","6","9586100","9170000","416100","4.3"
"New York State","2007","7","9641400","9183600","457900","4.7"
"New York State","2007","8","9570300","9141400","428900","4.5"
"New York State","2007","9","9499900","9087000","412900","4.3"
"New York State","2007","10","9521300","9109800","411500","4.3"
"New York State","2007","11","9541700","9126600","415100","4.3"
"New York State","2007","12","9551600","9104500","447100","4.7"
"New York State","2006","1","9476300","8994300","482000","5.1"
"New York State","2006","2","9506100","8998500","507600","5.3"
"New York State","2006","3","9495100","9027900","467200","4.9"
"New York State","2006","4","9473500","9041900","431600","4.6"
"New York State","2006","5","9502800","9089900","412900","4.3"
"New York State","2006","6","9618900","9191900","427000","4.4"
"New York State","2006","7","9645600","9179800","465800","4.8"
"New York State","2006","8","9598500","9171700","426800","4.4"
"New York State","2006","9","9447200","9051600","395600","4.2"
"New York State","2006","10","9500600","9129800","370800","3.9"
"New York State","2006","11","9478700","9092000","386700","4.1"
"New York State","2006","12","9501200","9122300","378900","4"
"New York State","2005","1","9343500","8815100","528400","5.7"
"New York State","2005","2","9367300","8831100","536200","5.7"
"New York State","2005","3","9335000","8872700","462300","5"
"New York State","2005","4","9370500","8923500","447000","4.8"
"New York State","2005","5","9402600","8957400","445100","4.7"
"New York State","2005","6","9513600","9055000","458600","4.8"
"New York State","2005","7","9591500","9106400","485100","5.1"
"New York State","2005","8","9557600","9110500","447100","4.7"
"New York State","2005","9","9479800","9017100","462700","4.9"
"New York State","2005","10","9524300","9081700","442600","4.6"
"New York State","2005","11","9478900","9007800","471000","5"
"New York State","2005","12","9501400","9055900","445400","4.7"
"New York State","2004","1","9264400","8615100","649300","7"
"New York State","2004","2","9253000","8629300","623700","6.7"
"New York State","2004","3","9301500","8682400","619100","6.7"
"New York State","2004","4","9251100","8706400","544700","5.9"
"New York State","2004","5","9274900","8756800","518100","5.6"
"New York State","2004","6","9431100","8875100","556000","5.9"
"New York State","2004","7","9528100","8970600","557500","5.9"
"New York State","2004","8","9469400","8954600","514800","5.4"
"New York State","2004","9","9340800","8850000","490800","5.3"
"New York State","2004","10","9389800","8911000","478800","5.1"
"New York State","2004","11","9410200","8929900","480300","5.1"
"New York State","2004","12","9404700","8911300","493400","5.2"
"New York State","2003","1","9303600","8653200","650400","7"
"New York State","2003","2","9312100","8674500","637700","6.8"
"New York State","2003","3","9271100","8671400","599800","6.5"
"New York State","2003","4","9265100","8691900","573100","6.2"
"New York State","2003","5","9235600","8672100","563500","6.1"
"New York State","2003","6","9388000","8776300","611700","6.5"
"New York State","2003","7","9363700","8755900","607800","6.5"
"New York State","2003","8","9326100","8736800","589300","6.3"
"New York State","2003","9","9198800","8620600","578200","6.3"
"New York State","2003","10","9244900","8674600","570400","6.2"
"New York State","2003","11","9266000","8683900","582100","6.3"
"New York State","2003","12","9230600","8668300","562300","6.1"
"New York State","2002","1","9174800","8548500","626200","6.8"
"New York State","2002","2","9256800","8626100","630800","6.8"
"New York State","2002","3","9249600","8636900","612800","6.6"
"New York State","2002","4","9236400","8661300","575200","6.2"
"New York State","2002","5","9256200","8706500","549700","5.9"
"New York State","2002","6","9366800","8800000","566800","6.1"
"New York State","2002","7","9402900","8821400","581600","6.2"
"New York State","2002","8","9405000","8848500","556400","5.9"
"New York State","2002","9","9292300","8762600","529700","5.7"
"New York State","2002","10","9319200","8779900","539300","5.8"
"New York State","2002","11","9268100","8697400","570700","6.2"
"New York State","2002","12","9309000","8729800","579300","6.2"
"New York State","2001","1","9115600","8672500","443100","4.9"
"New York State","2001","2","9102800","8664900","437900","4.8"
"New York State","2001","3","9106000","8691200","414800","4.6"
"New York State","2001","4","9041700","8657600","384100","4.2"
"New York State","2001","5","9039300","8670400","368800","4.1"
"New York State","2001","6","9135700","8733600","402100","4.4"
"New York State","2001","7","9219900","8790500","429400","4.7"
"New York State","2001","8","9161900","8705900","456000","5"
"New York State","2001","9","9086900","8630600","456300","5"
"New York State","2001","10","9153300","8665000","488300","5.3"
"New York State","2001","11","9158600","8636500","522100","5.7"
"New York State","2001","12","9196800","8647800","549000","6"
"New York State","2000","1","9120300","8635300","485000","5.3"
"New York State","2000","2","9154000","8672500","481500","5.3"
"New York State","2000","3","9159900","8703000","456900","5"
"New York State","2000","4","9125400","8730200","395200","4.3"
"New York State","2000","5","9108000","8710900","397100","4.4"
"New York State","2000","6","9220600","8827100","393600","4.3"
"New York State","2000","7","9224000","8805900","418100","4.5"
"New York State","2000","8","9198500","8787700","410800","4.5"
"New York State","2000","9","9051700","8665700","386000","4.3"
"New York State","2000","10","9091300","8716500","374800","4.1"
"New York State","2000","11","9094200","8710200","384100","4.2"
"New York State","2000","12","9138500","8765500","373000","4.1"
"New York State","1999","1","9056600","8527200","529400","5.8"
"New York State","1999","2","9083200","8534000","549200","6"
"New York State","1999","3","9068400","8568400","500000","5.5"
"New York State","1999","4","9016300","8548100","468200","5.2"
"New York State","1999","5","9061100","8616400","444700","4.9"
"New York State","1999","6","9199700","8722300","477400","5.2"
"New York State","1999","7","9270500","8768300","502200","5.4"
"New York State","1999","8","9208000","8745600","462500","5"
"New York State","1999","9","9080700","8620200","460500","5.1"
"New York State","1999","10","9114900","8680100","434800","4.8"
"New York State","1999","11","9102000","8676200","425800","4.7"
"New York State","1999","12","9120000","8706700","413400","4.5"
"New York State","1998","1","9019500","8417100","602400","6.7"
"New York State","1998","2","9044200","8449500","594700","6.6"
"New York State","1998","3","9059400","8484000","575400","6.4"
"New York State","1998","4","8974500","8489000","485500","5.4"
"New York State","1998","5","9029000","8550400","478600","5.3"
"New York State","1998","6","9146700","8659800","486900","5.3"
"New York State","1998","7","9221000","8704800","516100","5.6"
"New York State","1998","8","9146500","8664700","481800","5.3"
"New York State","1998","9","9042100","8561400","480700","5.3"
"New York State","1998","10","9069400","8594500","474900","5.2"
"New York State","1998","11","9073500","8607500","466000","5.1"
"New York State","1998","12","9069900","8609500","460500","5.1"
"New York State","1997","1","8870500","8229600","640900","7.2"
"New York State","1997","2","8903800","8264500","639300","7.2"
"New York State","1997","3","8976200","8348800","627400","7"
"New York State","1997","4","8927100","8355100","572100","6.4"
"New York State","1997","5","8999000","8436300","562700","6.3"
"New York State","1997","6","9126600","8541100","585500","6.4"
"New York State","1997","7","9223400","8620000","603400","6.5"
"New York State","1997","8","9167700","8593400","574300","6.3"
"New York State","1997","9","9022500","8459500","563000","6.2"
"New York State","1997","10","9033000","8499700","533300","5.9"
"New York State","1997","11","9030500","8514300","516200","5.7"
"New York State","1997","12","9032900","8513000","520000","5.8"
"New York State","1996","1","8601900","8004100","597800","6.9"
"New York State","1996","2","8649400","8059200","590200","6.8"
"New York State","1996","3","8709800","8118500","591200","6.8"
"New York State","1996","4","8678400","8128200","550200","6.3"
"New York State","1996","5","8747700","8199000","548700","6.3"
"New York State","1996","6","8848700","8319800","528800","6"
"New York State","1996","7","8991000","8413300","577700","6.4"
"New York State","1996","8","8914200","8395700","518500","5.8"
"New York State","1996","9","8794800","8288100","506800","5.8"
"New York State","1996","10","8857200","8348700","508500","5.7"
"New York State","1996","11","8853600","8322600","531100","6"
"New York State","1996","12","8857800","8319700","538100","6.1"
"New York State","1995","1","8611900","8012100","599900","7"
"New York State","1995","2","8630500","8051700","578700","6.7"
"New York State","1995","3","8638400","8075800","562600","6.5"
"New York State","1995","4","8613300","8061400","551900","6.4"
"New York State","1995","5","8607300","8073900","533400","6.2"
"New York State","1995","6","8729900","8193000","536900","6.2"
"New York State","1995","7","8863400","8287900","575500","6.5"
"New York State","1995","8","8778100","8219700","558300","6.4"
"New York State","1995","9","8630400","8089100","541300","6.3"
"New York State","1995","10","8659300","8139700","519600","6"
"New York State","1995","11","8639100","8120700","518300","6"
"New York State","1995","12","8619200","8097500","521700","6.1"
"New York State","1994","1","8684500","7955800","728700","8.4"
"New York State","1994","2","8683600","7966200","717400","8.3"
"New York State","1994","3","8666300","7984800","681500","7.9"
"New York State","1994","4","8608800","7983800","625000","7.3"
"New York State","1994","5","8635000","8056100","578900","6.7"
"New York State","1994","6","8761000","8165200","595800","6.8"
"New York State","1994","7","8852900","8236800","616100","7"
"New York State","1994","8","8792400","8209600","582800","6.6"
"New York State","1994","9","8611400","8067500","544000","6.3"
"New York State","1994","10","8668500","8131800","536700","6.2"
"New York State","1994","11","8655800","8136800","519000","6"
"New York State","1994","12","8632500","8136500","496000","5.7"
"New York State","1993","1","8709600","7899900","809600","9.3"
"New York State","1993","2","8726100","7935400","790700","9.1"
"New York State","1993","3","8705200","7981000","724200","8.3"
"New York State","1993","4","8642500","7969800","672700","7.8"
"New York State","1993","5","8709900","8034500","675400","7.8"
"New York State","1993","6","8859200","8164500","694700","7.8"
"New York State","1993","7","8922800","8224400","698300","7.8"
"New York State","1993","8","8841500","8174200","667300","7.5"
"New York State","1993","9","8637900","7994600","643300","7.4"
"New York State","1993","10","8690700","8034600","656100","7.5"
"New York State","1993","11","8679000","8038900","640100","7.4"
"New York State","1993","12","8660800","8023500","637300","7.4"
"New York State","1992","1","8664800","7880200","784600","9.1"
"New York State","1992","2","8662800","7853600","809200","9.3"
"New York State","1992","3","8678200","7907100","771100","8.9"
"New York State","1992","4","8656400","7941300","715100","8.3"
"New York State","1992","5","8695200","7954800","740400","8.5"
"New York State","1992","6","8892600","8102400","790200","8.9"
"New York State","1992","7","8970000","8168200","801800","8.9"
"New York State","1992","8","8901100","8132100","769000","8.6"
"New York State","1992","9","8729700","7970300","759400","8.7"
"New York State","1992","10","8698600","7977200","721400","8.3"
"New York State","1992","11","8734200","8000700","733500","8.4"
"New York State","1992","12","8739500","8007100","732400","8.4"
"New York State","1991","1","8702300","8084200","618100","7.1"
"New York State","1991","2","8713800","8066100","647700","7.4"
"New York State","1991","3","8718900","8069100","649800","7.5"
"New York State","1991","4","8714500","8104800","609700","7"
"New York State","1991","5","8723500","8085300","638300","7.3"
"New York State","1991","6","8890600","8249600","640900","7.2"
"New York State","1991","7","8940300","8286700","653600","7.3"
"New York State","1991","8","8832000","8194700","637300","7.2"
"New York State","1991","9","8701800","8077600","624200","7.2"
"New York State","1991","10","8700700","8075900","624800","7.2"
"New York State","1991","11","8665300","8023700","641600","7.4"
"New York State","1991","12","8642100","7965800","676300","7.8"
"New York State","1990","1","8781800","8276200","505500","5.8"
"New York State","1990","2","8786300","8282600","503700","5.7"
"New York State","1990","3","8788100","8320300","467800","5.3"
"New York State","1990","4","8761900","8323000","438800","5"
"New York State","1990","5","8822000","8387400","434600","4.9"
"New York State","1990","6","8971400","8550200","421200","4.7"
"New York State","1990","7","9045900","8583600","462300","5.1"
"New York State","1990","8","8958400","8507200","451300","5"
"New York State","1990","9","8786400","8318700","467800","5.3"
"New York State","1990","10","8793300","8322500","470700","5.4"
"New York State","1990","11","8751200","8254200","497000","5.7"
"New York State","1990","12","8730500","8217100","513400","5.9"
"New York State","1989","1","8597200","8139700","457500","5.3"
"New York State","1989","2","8568600","8129200","439400","5.1"
"New York State","1989","3","8564900","8166600","398300","4.6"
"New York State","1989","4","8581100","8181800","399300","4.7"
"New York State","1989","5","8603600","8207000","396600","4.6"
"New York State","1989","6","8780300","8370400","409900","4.7"
"New York State","1989","7","8867000","8440600","426400","4.8"
"New York State","1989","8","8803800","8395300","408500","4.6"
"New York State","1989","9","8621900","8203600","418200","4.9"
"New York State","1989","10","8702000","8279100","422900","4.9"
"New York State","1989","11","8745000","8294100","451000","5.2"
"New York State","1989","12","8719300","8284500","434800","5"
"New York State","1988","1","8479400","8063400","416000","4.9"
"New York State","1988","2","8457100","8062800","394300","4.7"
"New York State","1988","3","8447300","8080100","367200","4.3"
"New York State","1988","4","8413700","8101300","312300","3.7"
"New York State","1988","5","8425300","8093600","331700","3.9"
"New York State","1988","6","8623200","8295000","328200","3.8"
"New York State","1988","7","8739500","8371100","368400","4.2"
"New York State","1988","8","8712000","8350400","361500","4.1"
"New York State","1988","9","8526200","8168000","358200","4.2"
"New York State","1988","10","8578600","8221300","357200","4.2"
"New York State","1988","11","8590700","8222900","367800","4.3"
"New York State","1988","12","8576500","8202700","373800","4.4"
"New York State","1987","1","8393600","7887000","506600","6"
"New York State","1987","2","8385900","7901400","484600","5.8"
"New York State","1987","3","8407200","7952500","454700","5.4"
"New York State","1987","4","8356300","7963700","392500","4.7"
"New York State","1987","5","8419300","8027700","391600","4.7"
"New York State","1987","6","8560100","8168800","391400","4.6"
"New York State","1987","7","8684400","8279400","405000","4.7"
"New York State","1987","8","8652600","8271800","380800","4.4"
"New York State","1987","9","8426900","8056800","370100","4.4"
"New York State","1987","10","8511900","8127100","384800","4.5"
"New York State","1987","11","8524000","8139700","384300","4.5"
"New York State","1987","12","8496900","8140400","356400","4.2"
"New York State","1986","1","8352100","7782300","569800","6.8"
"New York State","1986","2","8342100","7730100","612000","7.3"
"New York State","1986","3","8370000","7783700","586200","7"
"New York State","1986","4","8327400","7783500","543900","6.5"
"New York State","1986","5","8358600","7814400","544200","6.5"
"New York State","1986","6","8542300","8008100","534200","6.3"
"New York State","1986","7","8645800","8103500","542400","6.3"
"New York State","1986","8","8567600","8071900","495600","5.8"
"New York State","1986","9","8400500","7914000","486500","5.8"
"New York State","1986","10","8421800","7953700","468100","5.6"
"New York State","1986","11","8407300","7949400","457900","5.4"
"New York State","1986","12","8382400","7953100","429400","5.1"
"New York State","1985","1","8130200","7506200","623900","7.7"
"New York State","1985","2","8100800","7504400","596500","7.4"
"New York State","1985","3","8155000","7574200","580800","7.1"
"New York State","1985","4","8173800","7628900","544900","6.7"
"New York State","1985","5","8216700","7679300","537400","6.5"
"New York State","1985","6","8359900","7811300","548600","6.6"
"New York State","1985","7","8517300","7957800","559500","6.6"
"New York State","1985","8","8471000","7951100","519900","6.1"
"New York State","1985","9","8333000","7808700","524300","6.3"
"New York State","1985","10","8387600","7858700","528900","6.3"
"New York State","1985","11","8378800","7859400","519400","6.2"
"New York State","1985","12","8360300","7843500","516800","6.2"
"New York State","1984","1","7983500","7315200","668400","8.4"
"New York State","1984","2","8003800","7351400","652400","8.2"
"New York State","1984","3","8032300","7411900","620400","7.7"
"New York State","1984","4","7996800","7428100","568800","7.1"
"New York State","1984","5","8043400","7490400","553000","6.9"
"New York State","1984","6","8188200","7621100","567100","6.9"
"New York State","1984","7","8342400","7720300","622100","7.5"
"New York State","1984","8","8260300","7665000","595300","7.2"
"New York State","1984","9","8065200","7506800","558300","6.9"
"New York State","1984","10","8099200","7544400","554900","6.9"
"New York State","1984","11","8092300","7559200","533200","6.6"
"New York State","1984","12","8112400","7579000","533400","6.6"
"New York State","1983","1","7949500","7133000","816500","10.3"
"New York State","1983","2","7939300","7127000","812300","10.2"
"New York State","1983","3","7963400","7175400","788100","9.9"
"New York State","1983","4","7936400","7207800","728600","9.2"
"New York State","1983","5","7929400","7211800","717600","9"
"New York State","1983","6","8173100","7425600","747500","9.1"
"New York State","1983","7","8307300","7581700","725600","8.7"
"New York State","1983","8","8297900","7589300","708500","8.5"
"New York State","1983","9","8069700","7403200","666500","8.3"
"New York State","1983","10","8047100","7411600","635500","7.9"
"New York State","1983","11","8069400","7441400","627900","7.8"
"New York State","1983","12","8036500","7428200","608300","7.6"
"New York State","1982","1","7938400","7238500","699900","8.8"
"New York State","1982","2","7946500","7238900","707700","8.9"
"New York State","1982","3","7968600","7276700","691900","8.7"
"New York State","1982","4","7916700","7265400","651300","8.2"
"New York State","1982","5","7971000","7319100","651900","8.2"
"New York State","1982","6","8067000","7394400","672700","8.3"
"New York State","1982","7","8200100","7493000","707100","8.6"
"New York State","1982","8","8137900","7459500","678400","8.3"
"New York State","1982","9","7930200","7248900","681300","8.6"
"New York State","1982","10","7964700","7258200","706600","8.9"
"New York State","1982","11","7968600","7225500","743100","9.3"
"New York State","1982","12","7955300","7213300","742000","9.3"
"New York State","1981","1","7968100","7297800","670300","8.4"
"New York State","1981","2","7979400","7314200","665200","8.3"
"New York State","1981","3","7997100","7354600","642500","8"
"New York State","1981","4","7984000","7403800","580100","7.3"
"New York State","1981","5","7994000","7404500","589500","7.4"
"New York State","1981","6","8076300","7473800","602500","7.5"
"New York State","1981","7","8195900","7592200","603700","7.4"
"New York State","1981","8","8137500","7565200","572300","7"
"New York State","1981","9","7909600","7349100","560400","7.1"
"New York State","1981","10","7974700","7401300","573400","7.2"
"New York State","1981","11","7959600","7357800","601800","7.6"
"New York State","1981","12","7939300","7317300","622000","7.8"
"New York State","1980","1","7975100","7348100","627000","7.9"
"New York State","1980","2","7972800","7359800","613000","7.7"
"New York State","1980","3","7931100","7354700","576400","7.3"
"New York State","1980","4","7878600","7313000","565600","7.2"
"New York State","1980","5","7898500","7306700","591800","7.5"
"New York State","1980","6","8023400","7426700","596700","7.4"
"New York State","1980","7","8177900","7535800","642100","7.9"
"New York State","1980","8","8102500","7502800","599700","7.4"
"New York State","1980","9","7894600","7324700","569900","7.2"
"New York State","1980","10","7964200","7386500","577700","7.3"
"New York State","1980","11","7963800","7381600","582200","7.3"
"New York State","1980","12","7936900","7371300","565600","7.1"
"New York State","1979","1","7914600","7304300","610300","7.7"
"New York State","1979","2","7918400","7312200","606200","7.7"
"New York State","1979","3","7941400","7353100","588300","7.4"
"New York State","1979","4","7879700","7346900","532800","6.8"
"New York State","1979","5","7860700","7348400","512400","6.5"
"New York State","1979","6","8048200","7497100","551100","6.8"
"New York State","1979","7","8197900","7622900","575000","7"
"New York State","1979","8","8164000","7577900","586100","7.2"
"New York State","1979","9","7981600","7413500","568000","7.1"
"New York State","1979","10","8015200","7445500","569700","7.1"
"New York State","1979","11","8007000","7450800","556200","6.9"
"New York State","1979","12","8018900","7472400","546600","6.8"
"New York State","1978","1","7726800","7043400","683400","8.8"
"New York State","1978","2","7684600","7022900","661600","8.6"
"New York State","1978","3","7717000","7076100","640900","8.3"
"New York State","1978","4","7738700","7152800","585900","7.6"
"New York State","1978","5","7741500","7159600","581900","7.5"
"New York State","1978","6","7915900","7324500","591400","7.5"
"New York State","1978","7","8035100","7402600","632600","7.9"
"New York State","1978","8","8011000","7420400","590600","7.4"
"New York State","1978","9","7837800","7240900","596900","7.6"
"New York State","1978","10","7897000","7327100","569900","7.2"
"New York State","1978","11","7915500","7348900","566600","7.2"
"New York State","1978","12","7935100","7376200","558900","7"
"New York State","1977","1","7612600","6798600","814000","10.7"
"New York State","1977","2","7666600","6829400","837200","10.9"
"New York State","1977","3","7655000","6878700","776200","10.1"
"New York State","1977","4","7631700","6937100","694600","9.1"
