Campground,County,URL,Y,X,Location,NYS Municipal Boundaries,New York Zip Codes,Counties
Eagle Point Campground,WARREN,http://www.dec.ny.gov/outdoor/24463.html,43.747823,-73.795196,"(43.747823, -73.795196)",825,141,2183
Golden Beach Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24468.html,43.808106,-74.601659,"(43.808106, -74.601659)",870,1306,622
Sacandaga Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24495.html,43.357606,-74.284456,"(43.357606, -74.284456)",862,20,622
Beaverkill Campground,SULLIVAN,http://www.dec.ny.gov/outdoor/24455.html,41.977219,-74.839592,"(41.977219, -74.839592)",651,1093,2180
Nicks Lake Campground,HERKIMER,http://www.dec.ny.gov/outdoor/24485.html,43.685045,-74.97958,"(43.685045, -74.97958)",666,1279,2088
Northampton Beach Campground,FULTON,http://www.dec.ny.gov/outdoor/24486.html,43.183891,-74.176576,"(43.183891, -74.176576)",381,1291,2085
Taylor Pond Campground,CLINTON,http://www.dec.ny.gov/outdoor/24498.html,44.494307,-73.828578,"(44.494307, -73.828578)",12,206,2038
Lake Durant Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24473.html,43.836349,-74.395049,"(43.836349, -74.395049)",867,790,622
Lewey Lake Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24475.html,43.655755,-74.386678,"(43.655755, -74.386678)",865,1287,622
Sharp Bridge Campground,ESSEX,http://www.dec.ny.gov/outdoor/24497.html,44.042406,-73.671944,"(44.042406, -73.671944)",429,136,2084
Luzerne Campground,WARREN,http://www.dec.ny.gov/outdoor/24480.html,43.36032,-73.816673,"(43.36032, -73.816673)",819,129,2183
Forked Lake Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24467.html,43.908561,-74.53502,"(43.908561, -74.53502)",870,130,622
Bear Spring Mountain Campground,DELAWARE,http://www.dec.ny.gov/outdoor/24454.html,42.119063,-75.068586,"(42.119063, -75.068586)",555,467,2039
Crown Point Campground,ESSEX,http://www.dec.ny.gov/outdoor/24461.html,44.02605,-73.421172,"(44.02605, -73.421172)",453,220,2084
Rogers Rock Campground,WARREN,http://www.dec.ny.gov/outdoor/24493.html,43.799164,-73.475481,"(43.799164, -73.475481)",823,98,2183
Brown Tract Pond Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24456.html,43.809152,-74.701188,"(43.809152, -74.701188)",866,1362,622
Paradox Lake Campground,ESSEX,http://www.dec.ny.gov/outdoor/24488.html,43.888763,-73.681417,"(43.888763, -73.681417)",427,139,2084
Woodland Valley Campground,ULSTER,http://www.dec.ny.gov/outdoor/24501.html,42.035049,-74.3595,"(42.035049, -74.3595)",410,257,2182
Lake Eaton Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24464.html,43.98883,-74.461964,"(43.98883, -74.461964)",864,130,622
Kenneth L. Wilson Campground,ULSTER,http://www.dec.ny.gov/outdoor/24472.html,42.025082,-74.217026,"(42.025082, -74.217026)",406,251,2182
Mongaup Pond Campground,SULLIVAN,http://www.dec.ny.gov/outdoor/24484.html,41.964619,-74.686534,"(41.964619, -74.686534)",651,1063,2180
Fish Creek Pond Campground,FRANKLIN,http://www.dec.ny.gov/outdoor/24466.html,44.299762,-74.369329,"(44.299762, -74.369329)",179,303,621
Scaroon Manor Campground,WARREN,http://www.dec.ny.gov/outdoor/72082.html,43.767804,-73.788039,"(43.767804, -73.788039)",825,141,2183
Rollins Pond Campground,FRANKLIN,http://www.dec.ny.gov/outdoor/24494.html,44.306115,-74.404067,"(44.306115, -74.404067)",179,303,621
Little Sand Point Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24479.html,43.414236,-74.555059,"(43.414236, -74.555059)",870,1306,622
Limekiln Lake Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24476.html,43.720064,-74.804826,"(43.720064, -74.804826)",866,565,622
Devil'S Tombstone Campground,GREENE,http://www.dec.ny.gov/outdoor/24462.html,42.152974,-74.206624,"(42.152974, -74.206624)",755,121,2087
Point Comfort Campground,"HAMILTON, FULTON, HERKIMER",http://www.dec.ny.gov/outdoor/24489.html,43.401759,-74.575983,"(43.401759, -74.575983)",870,1306,622
Moffitt Beach Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24483.html,43.490116,-74.410399,"(43.490116, -74.410399)",865,1287,622
Lake George Battleground Campground,WARREN,http://www.dec.ny.gov/outdoor/24453.html,43.416346,-73.70927,"(43.416346, -73.70927)",820,128,2183
Buck Pond Campground,FRANKLIN,http://www.dec.ny.gov/outdoor/24457.html,44.501034,-74.112157,"(44.501034, -74.112157)",184,307,621
Wilmington Notch Campground,ESSEX,http://www.dec.ny.gov/outdoor/24500.html,44.349386,-73.863022,"(44.349386, -73.863022)",417,340,2084
Indian Lake Islands Campground,HAMILTON,http://www.dec.ny.gov/outdoor/24471.html,43.64828,-74.388577,"(43.64828, -74.388577)",865,1287,622
