"lat1","long1","college_of_institution_type","campus","address","address_2","city","state","zip","county","institution_level","institution_type","enrollment_as_of","undergrad_enrollment","graduate_enrollment","program_1","program_2","program_3","program_4","program_5","campus_website","georeference"
"42.2176323","-73.818367","Columbia-Greene","COLUMBIA-GREENE COMMUNITY COLLEGE","4400 ROUTE 23",,"HUDSON","NY","12534","Columbia","2-year","Community Colleges","Fall 2018","1578","0","Individual Studies","Liberal Arts And Science-Math/Science","Nursing","Criminal Justice","Bus--Business Administration","http://www.sunycgcc.edu","POINT (-73.818367 42.2176323)"
"42.8150826","-73.9524078","Schenectady County","SCHENECTADY COUNTY COMMUNITY COLLEGE","78 WASHINGTON AVE",,"SCHENECTADY","NY","12305","Schenectady","2-year","Community Colleges","Fall 2018","5231","0","Business: Business Administration","Hotel Technology, Culinary Arts","Criminal Justice","Liberal Arts & Sciences: Humanities & Social Science","Health Studies","http://www.sunysccc.edu","POINT (-73.9524078 42.8150826)"
"42.0898132","-75.9698486","Binghamton","STATE UNIVERSITY OF NEW YORK AT BINGHAMTON","4400 VESTAL PKWY E","P.O. Box 6000","BINGHAMTON","NY","13901","Broome","4-year","Doctoral Degree Granting Institutions","Fall 2018","14021","3747","Business Administration","Economics","Computer Science","Accounting","Biological Sciences","http://www.binghamton.edu","POINT (-75.9698486 42.0898132)"
"44.6631737","-74.9790192","Potsdam","STATE UNIVERSITY COLLEGE AT POTSDAM","44 PIERREPONT AVE",,"POTSDAM","NY","13676","St. Lawrence","4-year","Comprehensive Colleges","Fall 2018","3298","223","Business Administration","Music Education","Psychology","Biology","Childhood/Early Childhood Education","http://www.potsdam.edu","POINT (-74.9790192 44.6631737)"
"42.8819122","-78.8731613","Erie","ERIE COMMUNITY COLLEGE-CITY CAMPUS","121 ELLICOTT ST",,"BUFFALO","NY","14203","Erie","2-year","Community Colleges","Fall 2018","10529","0","Lib Arts & Sci-General Studies","Business: Business Administration","Liberal Arts & Sciences - General Studies","Criminal Justice","Nursing","http://www.ecc.edu","POINT (-78.8731613 42.8819122)"
"40.7528114","-73.4278793","Farmingdale","STATE UNIVERSITY OF NEW YORK COLLEGE OF TECHNOLOGY AT FARMINGDALE","2350 BROADHOLLOW RD",,"FARMINGDALE","NY","11735","Suffolk","4-year","Technology Colleges","Fall 2018","9916","54","Business Management","Science, Technology, & Society","Liberal Arts & Science","Computer Programming & Information Systems","Criminal Justice: Law Enforcement Technology","http://www.farmingdale.edu","POINT (-73.4278793 40.7528114)"
"43.0342941","-76.1362228","Envir Sci & Forestry","STATE UNIVERSITY OF NEW YORK COLLEGE OF ENVIRONMENTAL SCIENCE AND FORESTRY AT SYRACUSE","1 FORESTRY DR",,"SYRACUSE","NY","13210","Onondaga","4-year","Doctoral Degree Granting Institutions","Fall 2018","1825","395","Environmental Resources Engineering","Environmental Science","Environmental Biology","Conservation Biology","Environmental Studies","http://www.esf.edu","POINT (-76.1362228 43.0342941)"
"40.7985573","-73.5742111","Old Westbury","STATE UNIVERSITY COLLEGE AT OLD WESTBURY","PO BOX 210",,"OLD WESTBURY","NY","11568","Nassau","4-year","Comprehensive Colleges","Fall 2018","4784","303","Psychology","Biological Sciences","Accounting","Criminology","Business Administration","http://www.oldwestbury.edu","POINT (-73.5742111 40.7985573)"
"42.467598","-75.0663681","Oneonta","STATE UNIVERSITY COLLEGE AT ONEONTA","108 RAVINE PKWY",,"ONEONTA","NY","13820","Otsego","4-year","Comprehensive Colleges","Fall 2018","6046","497","Business Economics","Biology","Psychology","Communication Studies","Early Childhood/Childhood Education","http://www.oneonta.edu","POINT (-75.0663681 42.467598)"
"42.1678047","-75.8884735","Broome","BROOME COMMUNITY COLLEGE","UPPER FRONT ST","PO BOX 1017","BINGHAMTON","NY","13902","Broome","2-year","Community Colleges","Fall 2018","6507","0","Individual Studies","Liberal Arts And Sciences","Bus--Business Administration","Human Services","Criminal Justice-Police","http://www.sunybroome.edu/","POINT (-75.8884735 42.1678047)"
