"year_of_birth","sex","city","state","zip","residence_county","license_class","status","privilege","year_of_expiration"
"1951",,"CANANDAIGUA","NY","14424","ONTARIO","D","VALID","FULL","2029"
"1957",,"NIVERVILLE","NY","12130","COLUMBIA","D","VALID","FULL","2028"
"1965",,"SPRINGVILLE","NY","14141","ERIE","N","VALID","FULL","2025"
"1969",,"SOUTH RICHMOND HILL","NY","11419","QUEENS","A","SURRENDERED","FULL","2023"
"1988",,"BROOKLYN","NY","11220","KINGS","D","VALID","FULL","2026"
"1993",,"ALBANY","NY","12208","ALBANY","D","VALID","FULL","2027"
"1944",,"BRONX","NY","10465","BRONX","ID ONLY","SURRENDERED","FULL","2029"
"1986",,"MENDON","MA","01756","OUT-OF-STATE","D","VALID","FULL","2022"
"1969",,"ELLENVILLE","NY","12428","ULSTER","ID ONLY","SURRENDERED","FULL","2022"
"1982",,"SPARKILL","NY","10976","ROCKLAND","D","VALID","FULL","2022"
"1988",,"MACHIAS","NY","14101","CATTARAUGUS","D","SUSPENDED","FULL","2022"
"1981",,"BARRINGTON","RI","02806","OUT-OF-STATE","D","SURRENDERED","FULL","2022"
"1946",,"CLAYTON","NY","13624","JEFFERSON","D","VALID","FULL","2030"
"2001",,"KEENE","NY","12942","ESSEX","D","VALID","FULL","2022"
"1958",,"BRONX","NY","10468","BRONX","D","VALID","FULL","2025"
"1963",,"COLONIE","NY","12205","ALBANY","ID ONLY","NONE","NONE","2023"
"1982",,"CADYVILLE","NY","12918","CLINTON","D","VALID","FULL","2027"
"1974",,"EAST ELMHURST","NY","11370","QUEENS","D","VALID","FULL","2026"
"1947",,"GALWAY","NY","12074","SARATOGA","ID ONLY","SUSPENDED","FULL","2023"
"1945",,"SAINT JAMES","NY","11780","SUFFOLK","D","VALID","FULL","2028"
"1969",,"FISHKILL","NY","12524","DUTCHESS","D","VALID","FULL","2025"
"1959",,"ENDICOTT","NY","13760","BROOME","D","VALID","FULL","2027"
"1963",,"BROOKLYN","NY","11233","KINGS","D","VALID","FULL","2027"
"1981",,"TROY","NY","12180","RENSSELAER","D","VALID","FULL","2027"
"2004",,"BUFFALO","NY","14213","ERIE","D","VALID","FULL","2025"
"1978",,"ATLANTA","NY","14808","STEUBEN","D","VALID","FULL","2028"
"1998",,"GLOVERSVILLE","NY","12078","FULTON","D","VALID","FULL","2027"
"1972",,"STEPHENTOWN","NY","12168","RENSSELAER","D","VALID","FULL","2027"
"1954",,"CHAUMONT","NY","13622","JEFFERSON","DM","VALID","FULL","2026"
"1965",,"LYONS","NY","14489","WAYNE","D","VALID","FULL","2025"
"1940",,"BROOKLYN","NY","11215","KINGS","ID ONLY","NONE","NONE","2027"
"1933",,"WESTPORT","NY","12993","ESSEX","D","VALID","FULL","2028"
"1962",,"SOUTHAMPTON","NY","11968","SUFFOLK","D","VALID","FULL","2026"
"1985",,"AUSTIN","TX","78726","OUT-OF-STATE","D","VALID","FULL","2022"
"2000",,"ROSLYN","NY","11576","NASSAU","D","VALID","FULL","2022"
"1936",,"SOUTHAMPTON","NY","11968","SUFFOLK","D","VALID","FULL","2027"
"2004",,"NEWBURGH","NY","12550","ORANGE","DJ","VALID","FULL","2025"
"1979",,"SHENOROCK","NY","10587","WESTCHESTER","D PERMIT","VALID","FULL","2025"
"1968",,"NEW YORK","NY","10069","NEW YORK","D","VALID","FULL","2023"
"1965",,"BROOKLYN","NY","11210","KINGS","D","VALID","FULL","2027"
"1985",,"KEUKA PARK","NY","14478","YATES","D","VALID","FULL","2030"
"1938",,"BRASHER FALLS","NY","13613","ST. LAWRENCE","DM","VALID","FULL","2028"
"1943",,"BEAVER FALS","NY","13305","LEWIS","D","VALID","FULL","2027"
"1977",,"GREENWOOD LAKE","NY","10925","ORANGE","D","SURRENDERED","FULL","2027"
"1966",,"MADISON","NY","13402","MADISON","D","VALID","FULL","2025"
"1952",,"PLATTEKILL","NY","12568","ULSTER","ID ONLY","SUSPENDED","FULL","2026"
"1986",,"CLEVELAND","NY","13042","OSWEGO","D","VALID","FULL","2023"
"1968",,"POUND RIDGE","NY","10576","WESTCHESTER","D","VALID","FULL","2028"
"1968",,"CLAYVILLE","NY","13322","ONEIDA","D","VALID","FULL","2026"
"1962",,"SMITHTOWN","NY","11787","SUFFOLK","D","VALID","FULL","2025"
"1951",,"BRONX","NY","10464","BRONX","ID ONLY","SURRENDERED","FULL","2027"
"1950",,"NASSAU","NY","12123","RENSSELAER","D","VALID","FULL","2029"
"1981",,"HUNTINGTN STA","NY","11746","SUFFOLK","D","VALID","FULL","2026"
"1973",,"BELFAST","NY","14711","ALLEGANY","D","VALID","FULL","2027"
"1973",,"OGDENSBURG","NY","13669","ST. LAWRENCE","D","VALID","FULL","2030"
"1962",,"BRONX","NY","10457","BRONX","E","VALID","FULL","2029"
"1988",,"GREAT NECK","NY","11021","NASSAU","D","VALID","FULL","2025"
"1945",,"RIFTON","NY","12407","ULSTER","D","VALID","FULL","2025"
"1947",,"LOWVILLE","NY","13367","LEWIS","D","VALID","FULL","2026"
"1989",,"PATERSON","NJ","07501","OUT-OF-STATE","ID ONLY","SURRENDERED","FULL","2030"
"1956",,"PORTVILLE","NY","14770","ALLEGANY","D","VALID","FULL","2026"
"1940",,"MIDDLETOWN","NY","10940","ORANGE","D","VALID","FULL","2027"
"1999",,"S JAMESPORT","NY","11970","SUFFOLK","D","VALID","FULL","2028"
"1985",,"LIMA","NY","14485","LIVINGSTON","D","VALID","FULL","2024"
"1972",,"FORT HUNTER","NY","12069","MONTGOMERY","D","VALID","FULL","2026"
"1965",,"NEWBURGH","NY","12550","ORANGE","D PERMIT","VALID","FULL","2024"
"1988",,"ALBANY","NY","12202","ALBANY","D","VALID","FULL","2026"
"1995",,"WESTBURY","NY","11590","NASSAU","D","VALID","FULL","2025"
"1972",,"NIAGARA FALLS","NY","14303","NIAGARA","D","VALID","FULL","2028"
"1973",,"CORONA","NY","11368","QUEENS","D","VALID","FULL","2026"
"1976",,"AUBURN","NY","13021","CAYUGA","D","VALID","FULL","2024"
"1954",,"LINDENHURST","NY","11757","SUFFOLK","B","VALID","FULL","2027"
"1966",,"RENSSELAER FALLS","NY","13680","ST. LAWRENCE","AM","VALID","FULL","2022"
"1980",,"BRONX","NY","10458","BRONX","ID ONLY","REVOKED","NONE","2026"
"1986",,"BROOKLYN","NY","11223","KINGS","A","VALID","FULL","2030"
"1946",,"BATAVIA","NY","14020","GENESEE","D","VALID","FULL","2026"
"1968",,"NEW YORK","NY","10013","NEW YORK","D","VALID","FULL","2029"
"1992",,"NEW YORK","NY","10031","NEW YORK","ID ONLY","SUSPENDED","FULL","2023"
"1984",,"NEW YORK","NY","10031","NEW YORK","D","VALID","FULL","2030"
"1987",,"NEW YORK","NY","10013","NEW YORK","D","VALID","FULL","2025"
"1994",,"PLATTSBURGH","NY","12901","CLINTON","D","SUSPENDED","FULL","2023"
"1996",,"BROOKLYN","NY","11220","KINGS","ID ONLY","NONE","NONE","2025"
"1928",,"COMMACK","NY","11725","SUFFOLK","D","VALID","FULL","2027"
"1948",,"NIAGARA FALLS","NY","14301","NIAGARA","DM","VALID","FULL","2026"
"1972",,"MACEDON","NY","14502","WAYNE","D","VALID","FULL","2029"
"1933",,"MONTAUK","NY","11954","SUFFOLK","D","VALID","FULL","2025"
"1969",,"BROOKLYN","NY","11214","KINGS","ID ONLY","NONE","NONE","2023"
"1986",,"AUSTIN","TX","78750","OUT-OF-STATE","D","SURRENDERED","FULL","2022"
"1981",,"BRISTOL","TN","37620","OUT-OF-STATE","D","SURRENDERED","FULL","2022"
"1993",,"SEATTLE","WA","98112","OUT-OF-STATE","D","SURRENDERED","FULL","2022"
"1993",,"STAMFORD","CT","06907","OUT-OF-STATE","D","SURRENDERED","FULL","2022"
"1990",,"BROOKLYN","NY","11207","KINGS","D PERMIT","SUSPENDED","FULL","2022"
"1990",,"KEW GARDENS","NY","11415","QUEENS","D","SUSPENDED","FULL","2026"
"1994",,"FLUSHING","NY","11358","QUEENS","ID ONLY","NONE","NONE","2022"
"1991",,"BROOKLYN","NY","11237","KINGS","D","VALID","FULL","2022"
"1988",,"OVERLAND PARK","KS","66212","OUT-OF-STATE","D","SURRENDERED","FULL","2022"
"1957",,"RICHMOND HILL","NY","11418","QUEENS","D","VALID","FULL","2026"
"1986",,"PORTLAND","OR","97223","OUT-OF-STATE","D","SURRENDERED","FULL","2022"
"1986",,"WARWICK","RI","02886","OUT-OF-STATE","D","VALID","FULL","2022"
"1994",,"JBER","AK","99505","OUT-OF-STATE","D","VALID","FULL","2022"
"1996",,"ROCHESTER","NY","14607","MONROE","D","VALID","FULL","2022"
"1982",,"NEW SMYRNA BEACH","FL","32168","OUT-OF-STATE","D","VALID","FULL","2022"
"1976",,"BROOKLYN","NY","11221","KINGS","B","VALID","FULL","2027"
"1975",,"BROOKLYN","NY","11233","KINGS","D","VALID","FULL","2028"
"1992",,"S OZONE PARK","NY","11420","QUEENS","E","VALID","FULL","2029"
"1970",,"NEW YORK","NY","10010","NEW YORK","D","VALID","FULL","2022"
"1995",,"MAPLE GROVE","MN","55369","OUT-OF-STATE","D","SURRENDERED","FULL","2022"
"1977",,"BRONX","NY","10455","BRONX","ID ONLY","REVOKED","FULL","2022"
"1956",,"STANFORDVILLE","NY","12581","DUTCHESS","D","VALID","FULL","2027"
"1964",,"OLD CHATHAM","NY","12136","COLUMBIA","DM","VALID","FULL","2027"
"1972",,"SOUTH OZONE PARK","NY","11420","QUEENS","D PERMIT","VALID","FULL","2025"
"1986",,"TONAWANDA","NY","14150","ERIE","D","VALID","FULL","2022"
"1981",,"BROOKLYN","NY","11223","KINGS","ID ONLY","NONE","NONE","2022"
"1949",,"CRAGSMOOR","NY","12420","ULSTER","DM","VALID","FULL","2025"
"1956",,"BINGHAMTON","NY","13905","BROOME","D","VALID","FULL","2026"
"1967",,"PLATTEKILL","NY","12568","ULSTER","E","VALID","FULL","2026"
"1973",,"SHIRLEY","NY","11967","SUFFOLK","ID ONLY","REVOKED","FULL","2024"
"1969",,"MELVILLE","NY","11747","SUFFOLK","D","VALID","FULL","2023"
"1964",,"NEW YORK","NY","10019","NEW YORK","D","VALID","FULL","2024"
"1963",,"PHOENICIA","NY","12464","ULSTER","ID ONLY","SURRENDERED","FULL","2029"
"1965",,"CASTILE","NY","14427","WYOMING","D","VALID","FULL","2025"
"1985",,"MUMFORD","NY","14511","MONROE","D","VALID","FULL","2030"
"1955",,"CHITTENANGO","NY","13037","ONONDAGA","D","VALID","FULL","2027"
"1963",,"GREENVILLE","NY","12083","GREENE","DM","VALID","FULL","2025"
"1993",,"HEMPSTEAD","NY","11520","NASSAU","ID ONLY","SUSPENDED","FULL","2023"
"1931",,"SCHENECTADY","NY","12303","ALBANY","D","VALID","FULL","2028"
"1987",,"LOCH SHELDRAKE","NY","12759","SULLIVAN","E","VALID","FULL","2024"
"1985",,"BROOKLYN","NY","11205","KINGS","D","VALID","FULL","2023"
"1972",,"NEW YORK","NY","10010","NEW YORK","D","VALID","FULL","2029"
"1932",,"STATEN ISLAND","NY","10304","RICHMOND","D","VALID","FULL","2028"
"1953",,"BROOKLYN","NY","11216","KINGS","D","VALID","FULL","2027"
"1958",,"STATEN ISLAND","NY","10310","RICHMOND","D","VALID","FULL","2027"
"1965",,"JAMESPORT","NY","11947","SUFFOLK","AM","VALID","FULL","2026"
"2001",,"BLUFFTON","SC","29910","OUT-OF-STATE","D","SURRENDERED","FULL","2022"
"1929",,"CHAPEL HILL","NC","27517","OUT-OF-STATE","ID ONLY","NONE","NONE","2022"
"1998",,"ALPHARETTA","GA","30005","OUT-OF-STATE","D PERMIT","VALID","FULL","2023"
"1990",,"BROOKLYN","NY","11226","KINGS","ID ONLY","NONE","NONE","2024"
"1984",,"ASHEVILLE","NC","28806","OUT-OF-STATE","D","VALID","FULL","2022"
"1975",,"MARLBORO","NJ","07746","OUT-OF-STATE","E","SURRENDERED","FULL","2022"
"1981",,"BINGHAMTON","NY","13903","BROOME","D","SURRENDERED","FULL","2029"
"1985",,"BROOKLYN","NY","11236","KINGS","D","VALID","FULL","2025"
"1992",,"LAURENS","NY","13796","OTSEGO","D","VALID","FULL","2029"
"1981",,"CRESSKILL","NJ","07626","OUT-OF-STATE","D","SURRENDERED","FULL","2022"
"1991",,"TAMIMENT","PA","18371","OUT-OF-STATE","D","VALID","FULL","2022"
"1931",,"HAGAMAN","NY","12086","MONTGOMERY","ID ONLY","SURRENDERED","FULL","2022"
"1951",,"WHITESTONE","NY","11357","QUEENS","D","VALID","FULL","2026"
"1972",,"WELLSVILLE","NY","14895","ALLEGANY","D","VALID","FULL","2028"
"1954",,"POUGHKEEPSIE","NY","12601","DUTCHESS","D","VALID","FULL","2027"
"1975",,"ELMHURST","NY","11373","QUEENS","D","VALID","RESTRICTED","2027"
"1971",,"MIDDLETOWN","NY","10941","ORANGE","D","VALID","FULL","2026"
"1960",,"CHEEKTOWAGA","NY","14227","ERIE","DM","VALID","FULL","2026"
"1992",,"PARLIN","NJ","08859","OUT-OF-STATE","D PERMIT","VALID","FULL","2024"
"1974",,"WINTER GARDEN","FL","34787","OUT-OF-STATE","DM","VALID","FULL","2022"
"1991",,"NEWARK","NJ","07102","OUT-OF-STATE","ID ONLY","NONE","NONE","2022"
"1986",,"WYANDANCH","NY","11798","SUFFOLK","D","VALID","FULL","2022"
"1988",,"LIVERPOOL","NY","13088","ONONDAGA","D PERMIT","VALID","FULL","2022"
"1993",,"SYRACUSE","NY","13204","ONONDAGA","DM","VALID","FULL","2022"
"1965",,"BROOKLYN","NY","11232","KINGS","D","VALID","FULL","2028"
"1989",,"BAY SHORE","NY","11706","SUFFOLK","E","VALID","FULL","2027"
"1925",,"WATERTOWN","NY","13601","JEFFERSON","ID ONLY","NONE","NONE","2026"
"1998",,"BRONX","NY","10460","BRONX","D PERMIT","VALID","FULL","2025"
"1994",,"ELMONT","NY","11003","NASSAU","E","VALID","FULL","2023"
"1998",,"NIAGARA FALLS","NY","14304","NIAGARA","D","VALID","FULL","2027"
"1977",,"NEW YORK","NY","10023","NEW YORK","D","VALID","FULL","2024"
"1985",,"FARMINGVILLE","NY","11738","SUFFOLK","E","VALID","FULL","2026"
"1979",,"NEW YORK","NY","10002","NEW YORK","ID ONLY","SURRENDERED","FULL","2024"
"1981",,"RICHMONDVILLE","NY","12149","SCHOHARIE","ID ONLY","NONE","NONE","2028"
"1974",,"BRONX","NY","10469","BRONX","E","SUSPENDED","FULL","2025"
"1965",,"NEW YORK","NY","10028","NEW YORK","D","VALID","FULL","2028"
"1983",,"LOCKPORT","NY","14094","NIAGARA","D","VALID","FULL","2022"
"1969",,"GLENMONT","NY","12077","ALBANY","D","VALID","FULL","2027"
"1964",,"ELMIRA","NY","14904","CHEMUNG","D","VALID","FULL","2025"
"2009",,"BUFFALO","NY","14211","ERIE","ID ONLY","NONE","NONE","2023"
"1954",,"JAMAICA","NY","11432","QUEENS","DM","VALID","FULL","2027"
"1994",,"BROWNVILLE","NY","13615","JEFFERSON","D","VALID","FULL","2023"
"1993",,"MANCHESTER","CT","06042","OUT-OF-STATE","ID ONLY","SURRENDERED","FULL","2022"
"1959",,"BRONX","NY","10466","BRONX","ID ONLY","SUSPENDED","FULL","2030"
"1994",,"FLUSHING","NY","11355","QUEENS","D","VALID","FULL","2024"
"1997",,"ILION","NY","13357","HERKIMER","D","VALID","FULL","2026"
"1960",,"BRONX","NY","10454","BRONX","D","VALID","FULL","2028"
"1977",,"BROOKLYN","NY","11216","KINGS","ID ONLY","NONE","NONE","2026"
"1967",,"JAMAICA","NY","11432","QUEENS","ID ONLY","NONE","NONE","2029"
"2003",,"OAKLAND GARDENS","NY","11364","QUEENS","ID ONLY","NONE","NONE","2026"
"1995",,"W HEMPSTEAD","NY","11552","NASSAU","D","VALID","FULL","2024"
"1928",,"FARMINGTON","NY","14425","ONTARIO","D","VALID","FULL","2025"
"1974",,"HUNTINGTON","NY","11743","SUFFOLK","D","VALID","FULL","2025"
"1992",,"WHITE PLAINS","NY","10605","WESTCHESTER","D","VALID","FULL","2024"
"1995",,"BRONX","NY","10473","BRONX","D PERMIT","VALID","FULL","2025"
"1942",,"ELMHURST","NY","11373","QUEENS","ID ONLY","NONE","NONE","2028"
"1965",,"WILLISTON PARK","NY","11596","NASSAU","D","VALID","FULL","2028"
"1981",,"GRANITE SPGS","NY","10527","WESTCHESTER","D","REVOKED","FULL","2026"
"1944",,"BALLSTON LAKE","NY","12019","SARATOGA","D","VALID","FULL","2026"
"1978",,"CLARKSVILLE","NY","14727","ALLEGANY","E","VALID","FULL","2025"
"1990",,"KINGSTON","NY","12401","ULSTER","D","VALID","FULL","2027"
"1987",,"BUFFALO","NY","14214","ERIE","D","VALID","FULL","2022"
"1989",,"BUFFALO","NY","14211","ERIE","ID ONLY","SUSPENDED","FULL","2022"
"1985",,"OLD BRIDGE","NJ","08857","OUT-OF-STATE","D","SURRENDERED","FULL","2022"
"1992",,"WEST BABYLON","NY","11704","SUFFOLK","D","VALID","FULL","2026"
"1986",,"BRONX","NY","10457","BRONX","D","VALID","FULL","2029"
"1971",,"MALVERNE","NY","11565","NASSAU","D","VALID","FULL","2029"
"1998",,"HEMPSTEAD","NY","11550","NASSAU","D","VALID","FULL","2029"
"1988",,"POUGHKEEPSIE","NY","12603","DUTCHESS","D","VALID","FULL","2025"
"1936",,"FLUSHING","NY","11354","QUEENS","ID ONLY","NONE","NONE","2025"
"1985",,"NYACK","NY","10960","ROCKLAND","D","VALID","FULL","2023"
"1987",,"BRONX","NY","10456","BRONX","D PERMIT","VALID","FULL","2026"
"1984",,"OSSINING","NY","10562","WESTCHESTER","D","VALID","FULL","2025"
"1986",,"JOHNSON CITY","NY","13790","BROOME","BM","VALID","FULL","2030"
"1992",,"BRONX","NY","10460","BRONX","D PERMIT","VALID","FULL","2026"
"1979",,"NIAGARA FALLS","NY","14304","NIAGARA","D","VALID","FULL","2027"
"1992",,"S OZONE PARK","NY","11420","QUEENS","D","VALID","FULL","2023"
"1979",,"NORWICH","NY","13815","CHENANGO","D","VALID","FULL","2023"
"1999",,"PLEASANTVILLE","NY","10570","WESTCHESTER","D","VALID","FULL","2028"
"1974",,"EAST ELMHURST","NY","11370","QUEENS","D","VALID","FULL","2029"
"1971",,"GARDEN CITY","NY","11530","NASSAU","D","VALID","FULL","2029"
"1989",,"BROOKLYN","NY","11222","KINGS","D","VALID","FULL","2024"
"1989",,"NEW YORK","NY","10019","NEW YORK","D","VALID","FULL","2029"
"1974",,"YONKERS","NY","10701","WESTCHESTER","D","VALID","FULL","2028"
"2004",,"NEW YORK","NY","10029","NEW YORK","ID ONLY","NONE","NONE","2030"
"1997",,"BROOKLYN","NY","11217","KINGS","D PERMIT","VALID","FULL","2023"
"1958",,"CAIRO","NY","12413","GREENE","NM","VALID","FULL","2027"
"1967",,"SHIRLEY","NY","11967","SUFFOLK","D","VALID","FULL","2026"
"1992",,"DEPEW","NY","14043","ERIE","D","VALID","FULL","2030"
"1965",,"FRANKLIN SQUARE","NY","11010","NASSAU","D","SURRENDERED","FULL","2027"
"1961",,"BRONX","NY","10463","BRONX","D","VALID","FULL","2027"
"1995",,"BROOKLYN","NY","11237","KINGS","D","VALID","FULL","2026"
"1980",,"QUEENS VILLAGE","NY","11427","QUEENS","D","VALID","FULL","2027"
"2006",,"PITTSFORD","NY","14534","MONROE","DJ PERMIT","VALID","FULL","2027"
"1971",,"RUSHVILLE","NY","14544","YATES","AM","VALID","FULL","2025"
"2000",,"HUNTINGTON","NY","11743","SUFFOLK","D","VALID","FULL","2029"
"1939",,"NEW YORK","NY","10031","NEW YORK","D","VALID","FULL","2027"
"1999",,"FLUSHING","NY","11354","QUEENS","D","VALID","FULL","2030"
"1944",,"NEWBURGH","NY","12550","ORANGE","D","VALID","FULL","2026"
"1985",,"RIVERHEAD","NY","11901","SUFFOLK","D","VALID","FULL","2026"
"1957",,"BROOKLYN","NY","11223","KINGS","D","VALID","FULL","2023"
"1958",,"BRONX","NY","10469","BRONX","D PERMIT","VALID","FULL","2027"
"1985",,"BAINBRIDGE","NY","13733","CHENANGO","D","VALID","FULL","2030"
"1990",,"BROOKLYN","NY","11232","KINGS","D","VALID","FULL","2022"
"1998",,"RANSOMVILLE","NY","14131","NIAGARA","D PERMIT","VALID","FULL","2023"
"1993",,"AUBURN","NY","13021","CAYUGA","ID ONLY","SURRENDERED","FULL","2025"
"1955",,"YONKERS","NY","10705","WESTCHESTER","D","VALID","FULL","2027"
"1986",,"INWOOD","NY","11096","NASSAU","D","VALID","FULL","2023"
"1955",,"MIDDLETOWN","NY","10940","ORANGE","DM","VALID","FULL","2026"
"1972",,"BRONX","NY","10465","BRONX","E","VALID","FULL","2026"
"1997",,"BROOKLYN","NY","11237","KINGS","D","VALID","FULL","2026"
"1947",,"NEW YORK","NY","10033","NEW YORK","ID ONLY","NONE","NONE","2023"
"1970",,"STATEN ISLAND","NY","10306","RICHMOND","D","VALID","FULL","2025"
"1939",,"LINLITHGO","NY","12526","COLUMBIA","D","VALID","FULL","2027"
"1982",,"JORDAN","NY","13080","ONONDAGA","D","VALID","FULL","2029"
"1942",,"PINE PLAINS","NY","12567","DUTCHESS","D","VALID","FULL","2027"
"1953",,"FLEISCHMANNS","NY","12430","DELAWARE","D","VALID","FULL","2023"
"1969",,"BROOKLYN","NY","11217","KINGS","D","VALID","FULL","2024"
"1992",,"STUYVESANT","NY","12173","COLUMBIA","D","VALID","FULL","2029"
"1948",,"LOUDONVILLE","NY","12211","ALBANY","D","VALID","FULL","2027"
"1957",,"STATEN ISLAND","NY","10314","RICHMOND","A","VALID","FULL","2027"
"1981",,"BROOKLYN","NY","11235","KINGS","D","VALID","FULL","2026"
"1979",,"MONTICELLO","NY","12701","SULLIVAN","ID ONLY","SUSPENDED","FULL","2027"
"1965",,"BEAVER FALLS","NY","13305","LEWIS","D","VALID","FULL","2026"
"1932",,"STAMFORD","NY","12167","DELAWARE","ID ONLY","SURRENDERED","FULL","2026"
"1984",,"GOWANDA","NY","14070","ERIE","D","VALID","FULL","2027"
"1980",,"YOUNGSVILLE","NY","12791","SULLIVAN","B","VALID","FULL","2030"
"1965",,"FLUSHING","NY","11355","QUEENS","D","VALID","FULL","2026"
"1962",,"JAMAICA","NY","11434","QUEENS","D","VALID","FULL","2022"
"1962",,"BRONX","NY","10469","BRONX","D","VALID","FULL","2030"
"1974",,"WEBSTER","NY","14580","MONROE","D","VALID","FULL","2029"
"2005",,"FARMINGTON","NY","14425","ONTARIO","DJ PERMIT","VALID","FULL","2026"
"1993",,"EAST PATCHOGUE","NY","11772","SUFFOLK","D","VALID","FULL","2026"
"1946",,"BREWERTON","NY","13029","ONONDAGA","D","VALID","FULL","2026"
"1968",,"NEW YORK","NY","10002","NEW YORK","ID ONLY","NONE","NONE","2027"
"1960",,"BROOKLYN","NY","11204","KINGS","ID ONLY","NONE","NONE","2025"
"1991",,"HUNTINGTN STA","NY","11746","SUFFOLK","ID ONLY","NONE","NONE","2025"
"1987",,"BROOKLYN","NY","11216","KINGS","D","SUSPENDED","FULL","2025"
"1978",,"BROOKLYN","NY","11219","KINGS","D","VALID","FULL","2025"
"1998",,"FAIRPORT","NY","14450","MONROE","D","VALID","FULL","2027"
"1963",,"JAMESTOWN","NY","14701","CHAUTAUQUA","D PERMIT","REVOKED","FULL","2024"
"1965",,"MONSEY","NY","10952","ROCKLAND","D","VALID","FULL","2027"
"2002",,"REGO PARK","NY","11374","QUEENS","D PERMIT","VALID","FULL","2026"
"1994",,"BRONX","NY","10468","BRONX","D","VALID","FULL","2023"
"1962",,"VALLEY STREAM","NY","11580","NASSAU","D","VALID","FULL","2026"
"1993",,"COHOES","NY","12047","ALBANY","D","VALID","FULL","2022"
