"dec_well_number","well_location","street_name","town","county","dec_region","well_depth_feet_bgs","depth_to_bedrock_feet_bgs","depth_to_groundwater_feet","cased_depth_feet_bgs","screened","yield_test_average_discharge","driller_registration_number","latitude","longitude","georeference"
"EX1441","1447 County Rd 10, Westport","Co Rd 10","Lewis","Essex","5","520",,,"84","N","0.75","NYRD10037",,,
"EX1491","Black Point Rd, Ticonderoga","Black Point Rd","Ticonderoga","Essex","5","705","54","2","60","N","0.5","NYRD10030",,,
"EX1796","154 St Rt 9","St Rt 9","Schroon","Essex","5","503","39","20","58","N","6","NYRD10030",,,
"EX396","Rt 9n","Rt 9n","Crown Point","Essex","5","305","30","20","28","N","5","NYRD10181",,,
"EX856","1953 South Rd, Moriah","South Rd","Moriah","Essex","5","305",,"25","20","N","6","NYRD10030",,,
"EX998","286 St Rt 9n, Ticonderoga","St Rt 9n","Ticonderoga","Essex","5","505",,"15","59","N","3","NYRD10030",,,
"F1272","West Rd","West Rd","Moira","Franklin","5","85","58","7","60.29999924","N","70","NYRD10033",,,
"F1334","9108 St Rt 3, Vermontville","St Rt 3","Franklin","Franklin","5","280","189",,"191","N","18","NYRD10037",,,
"F1947","17 Co Rt 18, Lake Clear","Co Rt 18","Harrietstown","Franklin","5","741","237",,"238","N",,"NYRD10037",,,
"F745","N/A","N/A","Bombay","Franklin","5","44",,"7",,"N",,"NYRD10213","44.95316667","-74.672","POINT (-74.672 44.95316667)"
"FU1049","Rt 29, Dolgeville","Rt 29","Oppenheim","Fulton","5","253",,,"251","N","20","NYRD10101",,,
"FU1199","Rt 331, St Johnsville","Rt 331","Oppenheim","Fulton","5","98",,,"34","N","12","NYRD10101",,,
"FU1474","114 Apple Ln, Broadalbin","Apple Ln","Broadalbin","Fulton","5","60","50","60","58","N","6","NYRD10830",,,
"FU1549","131 Delaney Rd","Delaney Rd","Mayfield","Fulton","5","113",,,"111","N","7","NYRD10101",,,
"FU1792","139 Haydens Haven Ln","Haydens Haven Ln","Northampton","Fulton","5","142","52","5","52.5","N","15","NYRD10002",,,
"FU1829","Rt 107, Perth","Rt 107","Perth","Fulton","5","109","64","21","63","N","7.5","NYRD10101",,,
"FU1969","Hegal Rd, Johnstown","Hegal Rd","Johnstown","Fulton","5","132","80",,"79","N","8","NYRD10101",,,
"G1205","Rt 23b, Cairo","Rt 23b","Cairo","Greene","4","120",,"42","20","N","10","NYRD10054",,,
"G1608","Rt 23, Cairo","Rt 23","Cairo","Greene","4","320",,,"42","N",,"NYRD10124",,,
"G1912","Sky Hill Rd, Windham","Sky Hill Rd","Windham","Greene","4","507",,"40","50","N","3","NYRD10016",,,
"G2293","Rt 145","Rt 145","Durham","Greene","4","567",,"15","40","N","5","NYRD10076",,,
"G2344","20 Banta Rd, Cairo","Banta Rd","Cairo","Greene","4","400",,,"21","N",,"NYRD10124",,,
"G2515","Vinning Rd, Windham","Vinning Rd","Windham","Greene","4","260",,"108","34","N","15","NYRD10054",,,
"G2578","Co Rt 13","Co Rt 13","Lexington","Greene","4","170",,,"44","N","10","NYRD10020",,,
"G2602","Dorso Ave","Dorso Ave","Durham","Greene","4","700",,,"18","N","1.5","NYRD10124",,,
"G2759","165 Mill St","Mill St","Windham","Greene","4","500",,,"58","N","5","NYRD10124",,,
"G3041","Rt 42, Westkill","Rt 42","Lexington","Greene","4","220","150",,"153","N","15","NYRD10016",,,
"G3766","2343 Rt 23c, Jewett","Rt 23c","Jewett","Greene","4","200","107",,"118","N","30","NYRD10016",,,
"G3955","Overlook Dr, Hunter","Overlook Dr","Hunter","Greene","4","500","145",,"158","N","5","NYRD10016",,,
"GS1124","Rt 77, Basom","Rt 77","Alabama","Genesee","8",,"25",,"25","N","50","NYRD10009",,,
"GS1291","Moag Rd, Pavilion","Moag Rd","Pavilion","Genesee","8","80","54","10","54","N","1","NYRD10009",,,
"GS390","Rt 98, Elba","Rt 98","Elba","Genesee","8","150",,,"47.20000076","N","30","NYRD10009",,,
"GS421","Rt 98","Rt 98","Elba","Genesee","8","40","28",,"31","N","300","NYRD10009",,,
"GS747","Lot 1, Ellicott Street Rd","Ellicott St Rd","Batavia","Genesee","8","96","64","62","64","N","1","NYRD10274",,,
"H358","Rt 30, Wells","Rt 30","Wells","Hamilton","5","340",,,"22","N","1.5","NYRD10002",,,
"HE1103","Creek Rd","Creek Rd","Mohawk","Herkimer","6","180",,,"50","N",,"NYRD10062",,,
"HE1819","Avery Rd, Ilion","Avery Rd","Frankfort","Herkimer","6","80","5","70","18.5","N","7","NYRD10062",,,
"HE1895","247 Beacon Rd","Beacon Rd","Herkimer","Herkimer","6","70","3","20","18.5","N","5","NYRD10062",,,
"HE2066","Castle Rd, Fairfield","Castle Rd","Fairfield","Herkimer","6","150","16",,"19","N","0.5","NYRD10101",,,
"HE2144","279 Frog City Rd, Fort Plain","Frog Coty Rd","Stark","Herkimer","6","160","3",,"20","N","0","NYRD10062",,,
"HE2282","472 Brockway Rd, Frankfort","Crockway Rd","Frankfort","Herkimer","6","70","8","8","18.5","N","8","NYRD10062",,,
"HE2870","Davis Rd, Little Falls","Davis Rd","Fairfield","Herkimer","6","150","15","6","19","N","2.5","NYRD10101",,,
"HE826","Bebu Rd, Ilion","Bebu Rd","Ilion","Herkimer","6","180",,"160","20","N","12","NYRD10062",,,
"HE877","674 St Hwy 29a , Salisbury Center","St Hwy 29a","Salisbury","Herkimer","6","90",,"84","63","N","10","NYRD10101",,,
"J2013","Heart Rd, Depauville","Heart Rd","Clayton","Jefferson","6","230","3","60","20","N","6","NYRD10470",,,
"J2025","7858 Us Rt 11, Adams","Us Rt 11","Adams","Jefferson","6","240","228","60","228","N","30","NYRD10470",,,
"J2602","27096 St Rt 37, Watertown","St Rt 37","Pamelia","Jefferson","6","150","10","130","18","N",,"NYRD10478",,,
"J530","County Rt 23","Co Rt 23","Antwerp","Jefferson","6","85",,"80","28","N","5","NYRD10406",,,
"J803","Rt 179","Rt 179","Lyme","Jefferson","6","65","7","9","19","N","7","NYRD10432",,,
"LV1017","Presbyterian Rd","Presbyterian Rd","Mount Morris","Livingston","8",,,,"27","N",,"NYRD10070",,,
"LV1121","Tabor Corners Rd","Tabor Corners Rd","Springwater","Livingston","8",,,,,"N","5","NYRD10792",,,
"LV1694","1987 Rt 20a, Leicester","Rt 20a","Leicester","Livingston","8","62","20","37","18","N","4","NYRD10009",,,
"LV1728","10 Depot Rd, Dansville","Depot Rd","North Dansville","Livingston","8","200","2",,"50","N","20","NYRD10024",,,
"LV980","Rt 15, Consesus","Rt 15","Conesus","Livingston","8","150",,"50","30","N","2","NYRD10256",,,
"M1492","Goff And Nl Butler","North Butler Rd","Smithfield","Madison","7",,,,,"N",,"NYRD10006",,,
"M1657","546 W Cottage Lane","West Cottage Ln","De Ruyter","Madison","7","90","-999","10","80","N","10","NYRD10821",,,
"M2347","439 Frank Rd, Lake Marine","Frank Rd","Madison","Madison","7","200","28","8","25.5","N","10","NYRD10013",,,
"MO1462","Root Rd","Root Rd","Sweden","Monroe","8","30",,,"6","N","1.5","NYRD10009",,,
"MO1948","4287 Clover St, Honeoye Falls","Clover St","Honeoye Falls","Monroe","8","103",,,"100","N",,"NYRD10070",,,
"MT1524","Rt 30a, Glen","Rt 30a","Glen","Montgomery","4","74","8",,"19","N","6","NYRD10101",,,
"MT792","St Rt 5, Florida","St Rt 5","Florida","Montgomery","4","246",,"40","246","N","25","NYRD10030",,,
"O10237","4 Abbe Ct, Goshen, Lot 2","Abbe Ct","Goshen","Orange","3","300","5","62","48.5","N","20","NYRD10012",,,
"O10378","Sands Rd, Wallkill","Sand Rd","Wallkill","Orange","3","240","28","0","48","N","10","NYRD10252",,,
"O11218","911 Rt 32, Highland Mills","Rt 32","Woodbury","Orange","3","686","30","18","39","N","50","NYRD10239",,,
"O11615","320 Mount Airy Rd, New Windsor, Well 2","Mount Airy Rd","New Windsor","Orange","3","305",,,"110","N","30","NYRD10151",,,
"O2461","Charlotte Ln","Charlotte Ln","Mount Hope","Orange","3","240",,"15","45","N",,"NYRD10012",,,
"O2568","Dosen Rd","Dosen Rd","Wallkill","Orange","3","135","25","10","35","N","30","NYRD10151",,,
"O2657","Mt View Estates Lot 10","Eskew Ct","Crawford","Orange","3","125",,"115","40","N","20","NYRD10109",,,
"O4314","Chester St","Chester St","Chester","Orange","3","355",,"100","40","N","8","NYRD10137",,,
"O4560","Richardson Ct","Richardson Ct","Crawford","Orange","3","120",,"6","40","N","12","NYRD10252",,,
"O5413","17 Duby Ln, Newburgh","Duby Ln","Newburgh","Orange","3","350",,"40","60","N","5","NYRD10239",,,
"O5494","Libolt Rd, Wallkill","Libolt Rd","Wallkill","Orange","3","240",,,"50","N","20","NYRD10252",,,
"O5760","Co Rt 1, Lot 12","Co Rt 1","Minisink","Orange","3","155",,"30","40","N","25","NYRD10137",,,
"O5807","Amelia Estates, Bullville Rd, Lot 8","Bullville Rd","Crawford","Orange","3","160",,,"66","N","7.5","NYRD10252",,,
"O5842","Mallory Ln, Crawford","Mallory Ln","Crawford","Orange","3","208",,,"40","N","11","NYRD10252",,,
"O5972","Wood Rd","Wood Rd","Minisink","Orange","3","360",,,"40","N","5","NYRD10365",,,
"O6911","Mountain Rd, Well 2","Mountain Rd","Greenville","Orange","3","520",,"8","40","N","20","NYRD10365",,,
"O6962","83 Mine Rd, Fort Montgomery","Mine Rd","Highlands","Orange","3","690",,"86","39","N","5","NYRD10239",,,
"O8905","911 Rt 17a, Greenwood Lake","Rt 17a","Warwick","Orange","3","220","8","18","18.5","N","20","NYRD10365",,,
"O9015","Hill Top Trail","Hilltop Trail","Goshen","Orange","3","500","8","10","38.5","N","7","NYRD10252",,,
"OE1621","Boody Hill Rd","Boody Hill Rd","Steuben","Oneida","6","324",,,"20","N",,"NYRD10013",,,
"OE1778","Larson Rd, Cassville","Larson Rd","Paris","Oneida","6","180",,"60","45","N","5","NYRD10062",,,
"OE1850","Rt 46","Rt 46","Verona","Oneida","6","72",,"9","10","N","1","NYRD10424",,,
"OE2190","Lake Rd,forestpoint","Lake Rd","Forestport","Oneida","6","160",,"31","20","N",,"NYRD10219",,,
"OE2511","N/A","N/A","Lee","Oneida","6","84",,"32","84","N",,"NYRD10098","43.3015","-75.4535","POINT (-75.4535 43.3015)"
"OE3208","Ball Rd, Frankfort","Ball Rd","Frankfort","Herkimer","6","110","60","100","58","Y","15","NYRD10062",,,
"OE3246","Clark Rd,","Clark Rd","Bridgewater","Oneida","6","70","47","11","45","N","8","NYRD10101",,,
"OE3442","W Ava Rd","West Ava Rd","Ava","Oneida","6","220","105","50","103","N",,"NYRD10013",,,
"OG1281","Stevens Rd","Stevens Rd","Edmeston","Otsego","4","128",,,"74.5","N","15","NYRD10020",,,
"OG1652","Buck Rd, Fly Creek","Buck Rd","Otsego","Otsego","4","251",,,"114.5","N","6","NYRD10159",,,
"OG1678","Mill Creek Rd, Otego","Mill Creek Rd","Otego","Otsego","4",,,,"231","N","15","NYRD10067",,,
"OG1868","Co Rt 29","Co Rt 29","Pittsfield","Otsego","4","260","80","22","88.5","N","6","NYRD10067",,,
"OG2155","150 Blood Mills Rd, Mount Vision","Blood Mills Rd","Laurens","Otsego","4","162","162",,"158.5","N","10","NYRD10067",,,
"OG2265","98 Lake Rd, Milford","Lake Rd","Milford","Otsego","4","220","160",,"178","N","8","NYRD10067",,,
"OG2306","185 Buck Rd, Fly Creek","Buck Rd","Otsego","Otsego","4","220","115",,"120","N","10","NYRD10067",,,
"OG2718","200 Maples Rd, Hartwick","Maples Rd","Hartwick","Otsego","4","280","239",,"243","N","20","NYRD10067",,,
"OG2980","2274 St Hwy 166, Cooperstown","St Hwy 166","Middlefield","Otsego","4","84","-999",,"82","N","20","NYRD10067",,,
"OT1936","Co Rt 32","Co Rt 32","Bristol","Ontario","8","122",,,"73.5","N","1.799999952","NYRD10248",,,
"OT2046","Rice Rd","Rice Rd","East Bloomfield","Ontario","8","88","-999",,"84","Y","5","NYRD10024",,,
"OT2157","Devel Rd","Devel Rd","Canandaigua","Ontario","8","198",,"40","56","N","5","NYRD10180",,,
"OT2198","Co Rd 1","Co Rd 1","Gorham","Ontario","8","105","35","101","33","N","10","NYRD10180",,,
"OT2326","4230 Allens Hill Rd, Honeoye","Allens Hill Rd","Richmond","Ontario","8","90","60",,"58.70000076","N","6","NYRD10248",,,
"OT2906","4425 Allens Hills Rd, Hemlock","Allens Hills Rd","Richmond","Ontario","8","80","24","36","78","N","8","NYRD10009",,,
"OW2275","1000 Co Rt 23a, Constantia","Co Rt 23a","Constantia","Oswego","7","48","-999","15","38","Y","10","NYRD10142",,,
"OW2431","32 Silk Rd, Fulton","Silk Rd","Volney","Oswego","7","50","47",,,"N","200","NYRD10235",,,
"OW2446","5256 St Rt 49, Palermo","St Rt 49","Palermo","Oswego","7","35","25",,,"N","30","NYRD10235",,,
"OW2628","478 Towsley Rd, Pulaski","Towsley Rd","Pulaski","Oswego","7","50","22","0","21.29999924","N","150","NYRD10230",,,
"OW686","Co Rt 30","Co Rt 30","Williamstown","Oswego","7","50","35","18","35","N","20","NYRD10465",,,
"P2649","Slokan Rd, Mahopac","Slokan Rd","Carmel","Putnam","3","600",,,"40","N","6","NYRD10261",,,
"P2692","Pine Dr, Brewster","Pine Dr","Brewster","Putnam","3","305",,,"110","N","12","NYRD01695",,,
"P2709","Lot 6, Sagamore Dr, S Sagamore Estate, Kent","Sagamore Dr","Kent","Putnam","3","645",,,"40","N","3","NYRD01695",,,
"RE1405","Parker Rd, W Sand Lake","Parker Rd","Sand Lake","Rensselaer","4","502",,"80","200","N",,"NYRD10005",,,
"RE1972","Miller Rd","Miller Rd","Schodack","Rensselaer","4","360","15","51","39","N","5","NYRD10055",,,
"RE2410","Ny Rt 40 And Mahr Rd, Melrose","St Rt 40","Schaghticoke","Rensselaer","4","86",,"10","40","N","8","NYRD10017",,,
"RE2803","Lot 8 Bittig Rd","Bittig Rd","Sand Lake","Rensselaer","4","380",,"20",,"N","8","NYRD10055",,,
"RE3000","County Rt 50, Nassau","Co Rt 50","Nassau","Rensselaer","4","502",,"66","158","N","8","NYRD10005",,,
"RE3218","Rt 40","Rt 40","Schaghticoke","Rensselaer","4","103",,"20","38","N","10","NYRD10017",,,
"RE3482","3232 Rt 150","Rt 150","Schodack","Rensselaer","4","200",,"20","38.5","N","6","NYRD10001",,,
"RE6400","Rt 22, Berlin","Rt 22","Berlin","Rensselaer","4","45",,"19","41","Y","30","NYRD10055",,,
"SA1740","West Mountain Rd","West Mountain Rd","Corinth","Saratoga","5","260","26","0","33","N","30","NYRD10002",,,
"SA1799","Rt 9n","Rt 9n","Corinth","Saratoga","5","420","146",,"144","N","2","NYRD10119",,,
"SA2143","West Milton Rd","West Milton Rd","Milton","Saratoga","5","320",,,"166","N","15","NYRD10002",,,
"SA2291","South Shore Rd","South Shore Rd","Edinburg","Saratoga","5","107","-999","0","107","N","20","NYRD10002",,,
"SA4245","S Shore Rd, Day","South Shore Rd","Day","Saratoga","5","260",,,"20","N","20","NYRD10119",,,
"SA4753","Lot 53, Cuyler St, Day","Cuyler St","Day","Saratoga","5","285","32","30","40","N","20","NYRD10030",,,
"SA5232","15 State St","State St","Hadley","Saratoga","5","300",,"63","120","N",,"NYRD10253",,,
"SA7708","557 Colebrook Rd, Gansevoort","Colebrook Rd","Wilton","Saratoga","5","60","-999",,"48.5","Y","4","NYRD10119",,,
"SA7991","Backwoods Rd, Corinth","Backwoods Rd","Corinth","Saratoga","5","402","13","0","17.5","N","3.5","NYRD10002",,,
"SA8333","19 Schuyler Way, North Gansevoort","Schuyler Way","Northumberland","Saratoga","5","420","83",,"82","N","7","NYRD10119",,,
"SA8376","Cowles Rd, Corinth","Cowles Rd","Corinth","Saratoga","5","136","-999",,"134.5","N","15","NYRD10119",,,
"SA9105","203 Parker Rd, Hadley","Parker Rd","Hadley","Saratoga","5","300","14",,"18","N","20","NYRD10119",,,
"SA9480","146 Ernst Rd, Wilton","Ernst Rd","Wilton","Saratoga","5","220",,,"32","N","20","NYRD10119",,,
"SB2192","Co Rt 8","Co Rt 8","Rathbone","Steuben","8","240",,"140","38","N","8","NYRD10773",,,
"SB2403","Hornby Rd","Hornby Rd","Corning","Steuben","8",,,,"102","N",,"NYRD10827",,,
"SB2724","Ellison Rd, Lot 16","Ellison Rd","Corning","Steuben","8","171","60","40","18.5","N","15","NYRD10330",,,
"SB2780","8680 Co Rt 16","Co Rt 16","Bath","Steuben","8",,,,,"N",,"NYRD10070",,,
"SB3710","10304 Co Rd 76, Pulteney","Co Rd 76","Pulteney","Steuben","8","140","15",,"19.5","N","6","NYRD10024",,,
"SN1044","Rt 159, Mariaville","Rt 159","Duanesburg","Schenectady","4","139",,"19","20","N","7","NYRD10027",,,
"SO1297","Dyer Rd","Dyer Rd","Jefferson","Schoharie","4","195",,,"74","N","20","NYRD10020",,,
"SO1470","Todd Rd","Todd Rd","Gilboa","Schoharie","4","300",,,"124","N","5","NYRD10020",,,
"SO1593","Hubbard Rd, Gilboa","Hubbard Rd","Gilboa","Schoharie","4","507",,,"40","N","4","NYRD10016",,,
"SO1669","Brown Mills Ln","Brown Mills Ln","Cobleskill","Schoharie","4","192",,,"192","N","12","NYRD10020",,,
"SO1772","Cornell Rd, Gilboa","Cornell Rd","Gilboa","Schoharie","4","407",,"15","38","N","15","NYRD10016",,,
"SO1862","Ridge Rd","Ridge Rd","Middleburgh","Schoharie","4","427","31",,"40","N","12","NYRD10016",,,
"SO902","Moxley St","Moxley St","Jefferson","Schoharie","4","85",,,"58","N","20","NYRD10020",,,
"SO986","Sanitarium Rd, Esperance","Sanitarium Rd","Esperance","Schoharie","4","169",,"14","40","N","20","NYRD10027",,,
"ST1838","Co Rt 47","Co Rt 47","Stockholm","St Lawrence","6","100","54","4","54","N",,"NYRD10093",,,
"ST2044","Sh 56","St Hwy 56","Colton","St Lawrence","6","183","18","25","20.5","N","8","NYRD10093",,,
"ST2473","Co Rt 27","Co Rt 27","Canton","St Lawrence","6","127","32","9","34","N","12","NYRD10093",,,
"ST3282","Haig Rd, Massena","Haig Rd","Massena","St Lawrence","6","78",,"1","58.5","N","15","NYRD10093",,,
"ST4249","3504 Co Rt 27, Russell","Co Rt 27","Clare","St Lawrence","6","130","11",,"16","N","5","NYRD10131",,,
"ST4339","Scotch Bush Rd","Scotch Bush Rd","Oswegatchie","St Lawrence","6","73","25","0","25","N","20","NYRD10237",,,
"SV1107","Shirely Ln","Shirley Ln","Mamakating","Sullivan","3","217",,,"70","N","6","NYRD10252",,,
"SV1557","244 Rt 62, Wurtsboro","Rt 62","Mamakating","Sullivan","3","220",,"90","40","N","15","NYRD10490",,,
"SV2102","Elbert Rd, Mamakating","Elbert Rd","Mamakating","Sullivan","3","520",,,"38.5","N","20","NYRD10252",,,
"SV2242","Finkle Rd, Mamakating","Finkle Rd","Mamakating","Sullivan","3","220",,,"178.5","N","10","NYRD10252",,,
"SV2530","Holmes Rd, Thompson","Holmes Rd","Thompson","Sullivan","3","480",,,"48","N","20","NYRD10252",,,
"SV2671","43 Serenity Drive","Serenity Dr","Delaware","Sullivan","3","500",,,"48.5","N","15","NYRD10252",,,
"SV3248","270 Budd Rd","Budd Rd","Fallsburg","Sullivan","3","500","40","45","48","N","7","NYRD10252",,,
"SV3462","Molls Brook Rd","Molls Brook Rd","Neversink","Sullivan","3","305","13","40","21","N","10","NYRD10151",,,
"SV3842","Cantrell Rd","Cantrell Rd","Thompson","Sullivan","3","500","30","50","48.5","N","15","NYRD10252",,,
"SV4274","35 Hilltop Tr, Wurtsboro","Hilltop Tr","Mamakating","Sullivan","3","345",,,"40","N","7","NYRD10111",,,
"SY1672","Rt 14, Monterey","Rt 14","Orange","Schuyler","8","60","53","55","51","N","10","NYRD10384",,,
"SY1734","Crout Ln, Watkins Glen","Crout Ln","Dix","Schuyler","8","45","-999","41","41","N","8","NYRD10079",,,
"SY1916","3009 Pearl St, Beaver Dams","Pearl St","Dix","Schuyler","8","190",,"30",,"N","1","NYRD10330",,,
"SY2095","3596 Lamoka Lake Rd, Bradford","Lamoka Lake Rd","Tyrone","Schuyler","8","60","-999",,"56","N","20","NYRD10024",,,
"TM1343","1375 Level Green Rd, Brooktondale","Level Green Rd","Caroline","Tompkins","7","170",,"38","20","N","8","NYRD10150",,,
"TM1444","Comfort Rd Ithaca 1-1-24 2","Comfort Rd","Ithaca","Tompkins","7","201",,,"30","N","4","NYRD10307",,,
"TM1525","Hollister Rd/hurd Rd","Hollister Rd","Ithaca","Tompkins","7","87",,,"38","N","7","NYRD10489",,,
"TM3312","Peruville Rd, Freeville","Peruville Rd","Freeville","Tompkins","7","56","30",,"29","Y","20","NYRD10235",,,
"TM3618","557 Scofield Rd, Groton","Scofield Rd","Groton","Tompkins","7","100","29","20","27.5","N","7","NYRD10080",,,
"TM3773","Slaterville Rd, Ithaca","Slaterville Rd","Caroline","Tompkins","7","240","22",,"20.5","N","1.5","NYRD10080",,,
"TM3912","Caswell Rd, Lot 18, Freeville","Caswell Rd","Freeville","Tompkins","7","300","223",,"223","N","3","NYRD10967",,,
"TM3940","723 Iradell Rd, Trumansburg","Iradell Rd","Enfield","Tompkins","7","60","16",,"18","N","10","NYRD10024",,,
"U10071","55 West Shore Dr, Esopus","West Shore Dr","Esopus","Ulster","3","280","30","41","40","N","5","NYRD01695",,,
"U2766","Mack's Lane, Lloyd","Macks Ln","Lloyd","Ulster","3","310",,,"40","N","10","NYRD10252",,,
"U2870","Lewis Hollow Rd, Woodstock","Lewis Hollow Rd","Woodstock","Ulster","3","200",,,"20","N",,"NYRD10273",,,
"U3258","Jones Rd, T/0 Shawangunk, Walker Valley","Jones Rd","Shawangunk","Ulster","3","220",,,"180","N","80","NYRD10252",,,
"U3294","Kelder Rd, Olive Bridge","Kelder Rd","Saugerties","Ulster","3","380",,"180","101","N",,"NYRD10124",,,
"U3614","Rt 44/55","Rt 44/55","Gardiner","Ulster","3","140",,,"40","N","15","NYRD10252",,,
"U3726","Rt 32, Esopus","Rt 32","Esopus","Ulster","3","180",,,"40","N","7","NYRD10252",,,
"U3875","Rt 208, New Paltz","Rt 208","New Paltz","Ulster","3","235","32",,"39","N","11","NYRD10252",,,
