"fiscal_year","region","type","amount"
"2018-2019","Statewide","Batteries Recycled, Tons","28.44"
"2018-2019","Statewide","Comingled Materials Recycled, Tons","47.34"
"2018-2019","Statewide","Concrete, Stone and Asphalt Recycled, Tons","3.49"
"2018-2019","Statewide","Corrugated Cardboard Recycled, Tons","280.83"
"2018-2019","Statewide","Electronic Equipment Recycled, Tons","4.1"
"2018-2019","Statewide","Ferrous/ Non-Ferrous Scrap Metals Recycled, Tons","378.81"
"2018-2019","Statewide","Fluorescent Bulbs and Ballasts Recycled, Tons","0.12"
"2018-2019","Statewide","Mixed Office Paper Recycled, Tons","763.94"
"2018-2019","Statewide","Overall Waste Stream Reduction, Percentage","7.02"
"2018-2019","Statewide","Percentage of Waste Stream Recycled","51.51"
"2018-2019","Region - Capital","Region Total, Recycled, Tons","1355.65"
"2018-2019","Region - Downstate","Region Total, Recycled, Tons","196.04"
"2018-2019","Region - Upstate","Region Total, Recycled, Tons","94.96"
"2018-2019","Region - Capital","Region Total, Waste, Tons","1278"
"2018-2019","Region - Downstate","Region Total, Waste, Tons","139.13"
"2018-2019","Region - Upstate","Region Total, Waste, Tons","132.67"
"2018-2019","Statewide","Single Stream Recyclables Recycled, Tons","139.58"
"2018-2019","Statewide","Total Tonnage of Recycled Material","1646.65"
"2018-2019","Statewide","Total Tonnage of Waste Material","1549.8"
"2017-2018","Statewide","Batteries Recycled, Tons","0.03"
"2017-2018","Statewide","Comingled Materials Recycled, Tons","3.9"
"2017-2018","Statewide","Concrete, Stone and Asphalt Recycled, Tons","104.95"
"2017-2018","Statewide","Corrugated Cardboard Recycled, Tons","238.72"
"2017-2018","Statewide","Electronic Equipment Recycled, Tons","12.66"
"2017-2018","Statewide","Ferrous/ Non-Ferrous Scrap Metals Recycled, Tons","179.84"
"2017-2018","Statewide","Fluorescent Bulbs and Ballasts Recycled, Tons","1.13"
"2017-2018","Statewide","Mixed Office Paper Recycled, Tons","748.92"
"2017-2018","Statewide","Oil/ Oil Filters Recycled, Tons","15.84"
"2017-2018","Statewide","Overall Waste Stream Reduction, Percentage","2.18"
"2017-2018","Statewide","Percentage of Waste Stream Recycled","46.14"
"2017-2018","Region - Capital","Region Total, Recycled, Tons","1235.42"
"2017-2018","Region - Downstate","Region Total, Recycled, Tons","106.23"
"2017-2018","Region - Upstate","Region Total, Recycled, Tons","86.51"
"2017-2018","Region - Capital","Region Total, Waste, Tons","1433.67"
"2017-2018","Region - Downstate","Region Total, Waste, Tons","115.08"
"2017-2018","Region - Upstate","Region Total, Waste, Tons","118.13"
"2017-2018","Statewide","Single Stream Recyclables Recycled, Tons","98.27"
"2017-2018","Statewide","Total Tonnage of Recycled Material","1428.16"
"2017-2018","Statewide","Total Tonnage of Waste Material","1666.88"
"2017-2018","Statewide","Wood Recycled, Tons","23.9"
"2016-2017","Statewide","Batteries Recycled, Tons","7.38"
"2016-2017","Statewide","Comingled Materials Recycled, Tons","17.24"
"2016-2017","Statewide","Concrete, Stone and Asphalt Recycled, Tons","338.29"
"2016-2017","Statewide","Corrugated Cardboard Recycled, Tons","203.21"
"2016-2017","Statewide","Electronic Equipment Recycled, Tons","14.29"
"2016-2017","Statewide","Ferrous/ Non-Ferrous Scrap Metals Recycled, Tons","371.48"
"2016-2017","Statewide","Fluorescent Bulbs and Ballasts Recycled, Tons","6.39"
"2016-2017","Statewide","Mixed Office Paper Recycled, Tons","1196.2"
"2016-2017","Statewide","Overall Waste Stream Reduction, Percentage","21.59"
"2016-2017","Statewide","Percentage of Waste Stream Recycled","57.82"
"2016-2017","Region - Capital","Region Total, Recycled, Tons","2102.68"
"2016-2017","Region - Downstate","Region Total, Recycled, Tons","165.49"
"2016-2017","Region - Upstate","Region Total, Recycled, Tons","67.6"
"2016-2017","Region - Capital","Region Total, Waste, Tons","1410.55"
"2016-2017","Region - Downstate","Region Total, Waste, Tons","171.49"
"2016-2017","Region - Upstate","Region Total, Waste, Tons","122.07"
"2016-2017","Statewide","Single Stream Recyclables Recycled, Tons","122.66"
"2016-2017","Statewide","Total Tonnage of Recycled Material","2335.55"
"2016-2017","Statewide","Total Tonnage of Waste Material","1704.11"
"2016-2017","Statewide","Wood Recycled, Tons","58.41"
"2015-2016","Statewide","Batteries Recycled, Tons","1.99"
"2015-2016","Statewide","Comingled Materials Recycled, Tons","22.85"
"2015-2016","Statewide","Concrete, Stone and Asphalt Recycled, Tons","408.52"
"2015-2016","Statewide","Corrugated Cardboard Recycled, Tons","149.85"
"2015-2016","Statewide","Electronic Equipment Recycled, Tons","15.22"
"2015-2016","Statewide","Ferrous/ Non-Ferrous Scrap Metals Recycled, Tons","518.22"
"2015-2016","Statewide","Fluorescent Bulbs and Ballasts Recycled, Tons","4.61"
"2015-2016","Statewide","Mixed Office Paper Recycled, Tons","989.57"
"2015-2016","Statewide","Overall Waste Stream Reduction, Percentage","9.06"
"2015-2016","Statewide","Paint Recycled, Tons","0.5"
"2015-2016","Statewide","Percentage of Waste Stream Recycled","57.5"
"2015-2016","Region - Capital","Region Total, Recycled, Tons","2050.52"
"2015-2016","Region - Downstate","Region Total, Recycled, Tons","351.22"
"2015-2016","Region - Upstate","Region Total, Recycled, Tons","538.23"
"2015-2016","Region - Capital","Region Total, Waste, Tons","274.32"
"2015-2016","Region - Downstate","Region Total, Waste, Tons","219.24"
"2015-2016","Region - Upstate","Region Total, Waste, Tons","1679.87"
"2015-2016","Statewide","Single Stream Recyclables Recycled, Tons","664.04"
"2015-2016","Statewide","Total Tonnage of Recycled Material","2939.96"
"2015-2016","Statewide","Total Tonnage of Waste Material","2173.43"
"2015-2016","Statewide","Wood Recycled, Tons","73.78"
"2015-2016","Statewide","Yard Waste Recycled, Tons","90.82"
"2014-2015","Statewide","Batteries Recycled, Tons","2"
"2014-2015","Statewide","Comingled Materials Recycled, Tons","13"
"2014-2015","Statewide","Corrugated Cardboard Recycled, Tons","205"
"2014-2015","Statewide","Electronic Equipment Recycled, Tons","14"
"2014-2015","Statewide","Ferrous/ Non-Ferrous Scrap Metals Recycled, Tons","909"
"2014-2015","Statewide","Fluorescent Bulbs and Ballasts Recycled, Tons","4"
"2014-2015","Statewide","Mixed Office Paper Recycled, Tons","1320"
"2014-2015","Statewide","Oil/ Oil Filters Recycled, Tons","8"
"2014-2015","Statewide","Overall Waste Stream Reduction, Percentage","1"
"2014-2015","Statewide","Percentage of Waste Stream Recycled","58"
"2014-2015","Region - Capital","Region Total, Recycled, Tons","2895.24"
"2014-2015","Region - Downstate","Region Total, Recycled, Tons","308.11"
"2014-2015","Region - Upstate","Region Total, Recycled, Tons","98.65"
"2014-2015","Region - Capital","Region Total, Waste, Tons","2057.24"
"2014-2015","Region - Downstate","Region Total, Waste, Tons","218.08"
"2014-2015","Region - Upstate","Region Total, Waste, Tons","114.68"
"2014-2015","Statewide","Single Stream Recyclables Recycled, Tons","581"
"2014-2015","Statewide","Total Tonnage of Recycled Material","3302"
"2014-2015","Statewide","Total Tonnage of Waste Material","2390"
"2014-2015","Statewide","Wood Recycled, Tons","98"
"2014-2015","Statewide","Yard Waste Recycled, Tons","148"
"2013-2014","Statewide","Batteries Recycled, Tons","4"
"2013-2014","Statewide","Comingled Materials Recycled, Tons","9"
"2013-2014","Statewide","Concrete, Stone and Asphalt Recycled, Tons","10"
"2013-2014","Statewide","Corrugated Cardboard Recycled, Tons","238"
"2013-2014","Statewide","Electronic Equipment Recycled, Tons","32"
"2013-2014","Statewide","Ferrous/ Non-Ferrous Scrap Metals Recycled, Tons","545"
"2013-2014","Statewide","Fluorescent Bulbs and Ballasts Recycled, Tons","5"
"2013-2014","Statewide","Mixed Office Paper Recycled, Tons","1248"
"2013-2014","Statewide","Oil/ Oil Filters Recycled, Tons","7"
"2013-2014","Statewide","Overall Waste Stream Reduction, Percentage","11.6"
"2013-2014","Statewide","Paint Recycled, Tons","0"
"2013-2014","Statewide","Percentage of Waste Stream Recycled","52"
"2013-2014","Region - Capital","Region Total, Recycled, Tons","2538.79"
"2013-2014","Region - Downstate","Region Total, Recycled, Tons","360.92"
"2013-2014","Region - Upstate","Region Total, Recycled, Tons","105.29"
"2013-2014","Region - Capital","Region Total, Waste, Tons","2393.13"
"2013-2014","Region - Downstate","Region Total, Waste, Tons","237.45"
"2013-2014","Region - Upstate","Region Total, Waste, Tons","113.42"
"2013-2014","Statewide","Single Stream Recyclables Recycled, Tons","620"
"2013-2014","Statewide","Total Tonnage of Recycled Material","3005"
"2013-2014","Statewide","Total Tonnage of Waste Material","2744"
"2013-2014","Statewide","Used Tires Recycled, Tons","0"
"2013-2014","Statewide","Wood Recycled, Tons","89"
"2013-2014","Statewide","Yard Waste Recycled, Tons","198"
"2012-2013","Statewide","Batteries Recycled, Tons","1"
"2012-2013","Statewide","Comingled Materials Recycled, Tons","14"
"2012-2013","Statewide","Concrete, Stone and Asphalt Recycled, Tons","10"
"2012-2013","Statewide","Corrugated Cardboard Recycled, Tons","225"
"2012-2013","Statewide","Electronic Equipment Recycled, Tons","26"
"2012-2013","Statewide","Ferrous/ Non-Ferrous Scrap Metals Recycled, Tons","514"
"2012-2013","Statewide","Fluorescent Bulbs and Ballasts Recycled, Tons","8"
"2012-2013","Statewide","Mixed Office Paper Recycled, Tons","1659"
"2012-2013","Statewide","Oil/ Oil Filters Recycled, Tons","5"
"2012-2013","Statewide","Overall Waste Stream Reduction, Percentage","-13"
"2012-2013","Statewide","Paint Recycled, Tons","1"
"2012-2013","Statewide","Percentage of Waste Stream Recycled","58"
"2012-2013","Region - Capital","Region Total, Recycled, Tons","3252"
"2012-2013","Region - Downstate","Region Total, Recycled, Tons","390.33"
"2012-2013","Region - Upstate","Region Total, Recycled, Tons","113.58"
"2012-2013","Region - Capital","Region Total, Waste, Tons","2113.25"
"2012-2013","Region - Downstate","Region Total, Waste, Tons","202.63"
"2012-2013","Region - Upstate","Region Total, Waste, Tons","128.16"
"2012-2013","Statewide","Single Stream Recyclables Recycled, Tons","583"
"2012-2013","Statewide","Total Tonnage of Recycled Material","3783"
"2012-2013","Statewide","Total Tonnage of Waste Material","2290"
"2012-2013","Statewide","Used Tires Recycled, Tons","1"
"2012-2013","Statewide","Wood Recycled, Tons","84"
"2012-2013","Statewide","Yard Waste Recycled, Tons","652"
"2011-2012","Statewide","Batteries Recycled, Tons","8"
"2011-2012","Statewide","Comingled Materials Recycled, Tons","13"
"2011-2012","Statewide","Concrete, Stone and Asphalt Recycled, Tons","324"
"2011-2012","Statewide","Corrugated Cardboard Recycled, Tons","252"
"2011-2012","Statewide","Electronic Equipment Recycled, Tons","3"
"2011-2012","Statewide","Ferrous/ Non-Ferrous Scrap Metals Recycled, Tons","250"
"2011-2012","Statewide","Fluorescent Bulbs and Ballasts Recycled, Tons","4"
"2011-2012","Statewide","Mixed Office Paper Recycled, Tons","1711"
"2011-2012","Statewide","Oil/ Oil Filters Recycled, Tons","0.2"
"2011-2012","Statewide","Overall Waste Stream Reduction, Percentage","-11"
"2011-2012","Statewide","Percentage of Waste Stream Recycled","58"
"2011-2012","Region - Capital","Region Total, Recycled, Tons","2877.12"
"2011-2012","Region - Downstate","Region Total, Recycled, Tons","368.07"
"2011-2012","Region - Upstate","Region Total, Recycled, Tons","143.38"
"2011-2012","Region - Capital","Region Total, Waste, Tons","2113.25"
"2011-2012","Region - Downstate","Region Total, Waste, Tons","181.76"
"2011-2012","Region - Upstate","Region Total, Waste, Tons","115.23"
"2011-2012","Statewide","Single Stream Recyclables Recycled, Tons","129"
"2011-2012","Statewide","Total Tonnage of Waste Material","2410"
"2011-2012","Statewide","Total Tonnage of Recycled Material","3389"
"2011-2012","Statewide","Wood Recycled, Tons","54"
"2011-2012","Statewide","Yard Waste Recycled, Tons","641"
"2010-2011","Statewide","Batteries Recycled, Tons","4"
"2010-2011","Statewide","Comingled Materials Recycled, Tons","16"
"2010-2011","Statewide","Concrete, Stone and Asphalt Recycled, Tons","53"
"2010-2011","Statewide","Corrugated Cardboard Recycled, Tons","206"
"2010-2011","Statewide","Electronic Equipment Recycled, Tons","10"
"2010-2011","Statewide","Ferrous/ Non-Ferrous Scrap Metals Recycled, Tons","169"
"2010-2011","Statewide","Fluorescent Bulbs and Ballasts Recycled, Tons","3"
"2010-2011","Statewide","Mixed Office Paper Recycled, Tons","1583"
"2010-2011","Statewide","Oil/ Oil Filters Recycled, Tons","2"
"2010-2011","Statewide","Overall Waste Stream Reduction, Percentage","18.3"
"2010-2011","Statewide","Percentage of Waste Stream Recycled","47"
"2010-2011","Region - Capital","Region Total, Recycled, Tons","1961.56"
"2010-2011","Region - Downstate","Region Total, Recycled, Tons","326.15"
"2010-2011","Region - Upstate","Region Total, Recycled, Tons","157.4"
"2010-2011","Region - Capital","Region Total, Waste, Tons","2429.16"
"2010-2011","Region - Downstate","Region Total, Waste, Tons","197.58"
"2010-2011","Region - Upstate","Region Total, Waste, Tons","126.83"
"2010-2011","Statewide","Sheetrock Recycled, Tons","6"
"2010-2011","Statewide","Total Tonnage of Recycled Material","2445"
"2010-2011","Statewide","Total Tonnage of Waste Material","2754"
"2010-2011","Statewide","Wood Recycled, Tons","34"
"2010-2011","Statewide","Yard Waste Recycled, Tons","359"
"2009-2010","Statewide","Batteries Recycled, Tons","3"
"2009-2010","Statewide","Comingled Materials Recycled, Tons","14"
"2009-2010","Statewide","Concrete, Stone and Asphalt Recycled, Tons","558"
"2009-2010","Statewide","Corrugated Cardboard Recycled, Tons","251"
"2009-2010","Statewide","Electronic Equipment Recycled, Tons","12"
"2009-2010","Statewide","Ferrous/ Non-Ferrous Scrap Metals Recycled, Tons","252"
"2009-2010","Statewide","Fluorescent Bulbs and Ballasts Recycled, Tons","5"
"2009-2010","Statewide","Mixed Office Paper Recycled, Tons","1808"
"2009-2010","Statewide","Oil/ Oil Filters Recycled, Tons","1"
"2009-2010","Statewide","Overall Waste Stream Reduction, Percentage","18.3"
"2009-2010","Statewide","Percentage of Waste Stream Recycled","52"
"2009-2010","Region - Capital","Region Total, Recycled, Tons","2876.35"
"2009-2010","Region - Downstate","Region Total, Recycled, Tons","263.09"
"2009-2010","Region - Upstate","Region Total, Recycled, Tons","155.92"
"2009-2010","Region - Capital","Region Total, Waste, Tons","2679.54"
"2009-2010","Region - Downstate","Region Total, Waste, Tons","226.39"
"2009-2010","Region - Upstate","Region Total, Waste, Tons","163.33"
"2009-2010","Statewide","Total Tonnage of Recycled Material","3295"
"2009-2010","Statewide","Total Tonnage of Waste Material","3069"
"2009-2010","Statewide","Used Tires Recycled, Tons","2"
"2009-2010","Statewide","Wood Recycled, Tons","22"
"2009-2010","Statewide","Yard Waste Recycled, Tons","367"
"2008-2009","Statewide","Batteries Recycled, Tons","2"
"2008-2009","Statewide","Carpet Recycling, Tons","9"
"2008-2009","Statewide","Comingled Materials Recycled, Tons","21"
"2008-2009","Statewide","Concrete, Stone and Asphalt Recycled, Tons","863"
"2008-2009","Statewide","Corrugated Cardboard Recycled, Tons","355"
"2008-2009","Statewide","Electronic Equipment Recycled, Tons","4"
"2008-2009","Statewide","Ferrous/ Non-Ferrous Scrap Metals Recycled, Tons","470"
"2008-2009","Statewide","Fluorescent Bulbs and Ballasts Recycled, Tons","1"
"2008-2009","Statewide","Mixed Office Paper Recycled, Tons","2424"
"2008-2009","Statewide","Oil/ Oil Filters Recycled, Tons","4"
"2008-2009","Statewide","Overall Waste Stream Reduction, Percentage","4.3"
"2008-2009","Statewide","Percentage of Waste Stream Recycled","57"
"2008-2009","Region - Capital","Region Total, Recycled, Tons","4188.88"
"2008-2009","Region - Downstate","Region Total, Recycled, Tons","289.4"
"2008-2009","Region - Upstate","Region Total, Recycled, Tons","200.41"
"2008-2009","Region - Capital","Region Total, Waste, Tons","3004.78"
"2008-2009","Region - Downstate","Region Total, Waste, Tons","290.42"
"2008-2009","Region - Upstate","Region Total, Waste, Tons","220.68"
"2008-2009","Statewide","Total Tonnage of Recycled Material","4679"
"2008-2009","Statewide","Total Tonnage of Waste Material","3516"
"2008-2009","Statewide","Used Tires Recycled, Tons","1"
"2008-2009","Statewide","Wood Recycled, Tons","57"
"2008-2009","Statewide","Yard Waste Recycled, Tons","468"
