"schoolid","county","agency","streetaddress1","streetaddress2","city","state","zip","fireams_training","georeference"
"411056","Queens","Vicado Guards Training School","148-07 Hillside Ave., 1st. Flr.",,"Jamaica","NY","11435","no","POINT (-73.808656 40.706097)"
"280948","Monroe","Intercept Security, Inc.","1900 Empire Blvd",,"Webster","NY","14580","no","POINT (-77.502944 43.191693)"
"280169","Monroe","Wilmorite Security, LLC","1265 Scottsville Rd",,"Rochester","NY","14624","no","POINT (-77.659316 43.117347)"
"521486","Suffolk","Longwood Senior High School","100 Longwood Rd",,"Middle Island","NY","11953","no","POINT (-72.926242 40.866102)"
"301970","Nassau","Cablevision Systems Corporation","1111 Stewart Avenue",,"Bethpage","NY","11714","no","POINT (-73.493718 40.76202)"
"30691","Bronx","School For Asset Protection","2804 Third Avenue",,"Bronx","NY","10455","no","POINT (-73.91887 40.815402)"
"522373","Suffolk","Wilson & Associates Security","1 Sheldon Way",,"Westhampton Beach","NY","11978","no",
"32348","Bronx","Anpu Security Services","3379 Capuchin Way",,"Bronx","NY","10467","no","POINT (-73.863761 40.874527)"
"342311","Onondaga","Public Service Leadership Academy","227 Magnolia Street",,"Syracuse","NY","13204","no","POINT (-76.174154 43.043584)"
"361628","Orange","Newburgh Free Academy","301 Robinson Ave # 202",,"Newburgh","NY","12550","no","POINT (-74.020242 41.511948)"
"412237","Queens","New York City Transit Consol Revenue Fac.","46-25 Metropolitan Avenue",,"Ridgewood","NY","11385","yes","POINT (-73.922945 40.713947)"
"570513","Warren","Glens Falls Hospital","100 Park St.",,"Glens Falls","NY","12801","no","POINT (-73.646299 43.307257)"
"312285","Bronx","NYC Hospital Police Academy","1400 Pelham Pkwy S",,"Bronx","NY","10461","no","POINT (-73.847249 40.857455)"
"31902","Bronx","Blackhawk Security School","2650 Morris Ave","Ste. 1","Bronx","NY","10468","no","POINT (-73.896564 40.86673)"
"310708","New York","Silver Screen Security Training School","c/o Eastern Security",,"New York","NY","10271","no",
"521833","Suffolk","Aegis Security & Patrol Inc.","1707 Old Country Rd",,"Riverhead","NY","11901","no","POINT (-72.701005 40.924531)"
"42349","Broome","UHS, Inc","10-42 Mitchell Ave",,"Binghamton","NY","13903","no","POINT (-75.914075 42.086413)"
"10149","Albany","St. Peter's Health Partners","315 South Manning Blvd.",,"Albany","NY","12208","no","POINT (-73.803815 42.657766)"
"301968","Nassau","BSI Security Training Inc","2946 Hempstead Tpke  Suite 201",,"Levittown","NY","11756","yes","POINT (-73.526665 40.724558)"
"461354","Saratoga","Saratoga Hospital","211 Church St.",,"Saratoga Springs","NY","12866","yes","POINT (-73.797121 43.084761)"
"232230","Jefferson","ICU Security & Private Investigations","34 Public Square Suite 6",,"Watertown","NY","13601","no","POINT (-75.909461 43.974454)"
"241205","Kings","High Tech Security Training Center","1266 Bedford Ave",,"Brooklyn","NY","11216","no","POINT (-73.953309 40.680338)"
"420019","Rensselaer","Hudson Valley Community College","80 Vandenburgh Ave",,"Troy","NY","12180","no","POINT (-73.687977 42.696283)"
"432165","Rockland","CJ Security Services Inc","143 Main Street 2nd Floor",,"Nanuet","NY","10954","no","POINT (-74.012777 41.09234)"
"300058","Nassau","Nassau Community College SG Trn Sch","1 Education Drive",,"East Garden City","NY","11530","no","POINT (-73.592524 40.729923)"
"280208","Monroe","Monroe Community College","1190 Scottsville Rd.",,"Rochester","NY","14624","no","POINT (-77.654486 43.119394)"
"302099","Nassau","Interstate Security & Investigation, Inc.","313 Post Ave",,"Westbury","NY","11590","no","POINT (-73.58786 40.760367)"
"720768","Baltimore","Special Response Corporation","14804 York Rd.",,"Sparks","MD","21152","no","POINT (-76.645416 39.529811)"
"531481","Sullivan","EEA Security Svces, Sec Guard Trn Ctr LLC","15 Sullivan Ave. Unit 4",,"Liberty","NY","12754","no","POINT (-74.728978 41.785629)"
"31729","Bronx","United Security Training Center","369 E. 149th St., 3rd Fl.",,"Bronx","NY","10455","no","POINT (-73.918788 40.816451)"
"152357","Erie","Final Stop Advanced Training Ctr","2180 Elmwood Ave",,"Buffalo","NY","14216","no","POINT (-78.878399 42.956482)"
"340113","Onondaga","Morris Protective Service Training School","1723 Burnet Ave.",,"Syracuse","NY","13206","no","POINT (-76.11199 43.056876)"
"522292","Suffolk","West Babylon School District","10 Farmingdale Rd",,"West Babylon","NY","11704","no","POINT (-73.344956 40.704345)"
"412201","Queens","S.C.I. Security Training LLC","39-05 63rd St",,"Woodside","NY","11377","no","POINT (-73.900915 40.746239)"
"280653","Monroe","Highland Hospital","1000 South Ave",,"Rochester","NY","14620","no","POINT (-77.607295 43.136451)"
"311907","New York","Global Security Group Inc.","421 7th Ave 4th Fl",,"New York","NY","10001","yes","POINT (-73.990996 40.750469)"
"341624","Onondaga","Security Innovations","157 Chaffee Avenue",,"Syracuse","NY","13207","yes","POINT (-76.155188 42.997628)"
,"Cayuga","Onondaga BOCES","1879 West Genesee Street Road",,"Auburn","NY","13021","no","POINT (-76.615842 42.917627)"
"411818","Queens","Continuum Security Consultants Inc","152 32 Rockaway Blvd, Ste # 200/201",,"Jamaica","NY","11434","no",
"140279","Dutchess","Vassar Brothers Medical Center","Security Department",,"Poughkeepsie","NY","12601","yes",
"310177","New York","T&M USA LLC","230 Park Ave., Ste. # 440",,"New York","NY","10169","no","POINT (-73.988371 40.73754)"
"32291","Bronx","DCW Training Academy","4563 White Plains Road",,"Bronx","NY","10470","no","POINT (-73.851763 40.901692)"
"312332","New York","ASNY Security","1441 Broadway",,"New York","NY","10018","no","POINT (-73.986695 40.754917)"
"282217","Monroe","Rochester Police Department","185 Exchange Blvd",,"Rochester","NY","14614","no","POINT (-77.611017 43.151726)"
"302327","Nassau","A & R Solutions","431 North Main St",,"Freeport","NY","11520","no","POINT (-73.58807 40.671038)"
"591642","Wayne","Marshall Farms Security","5800 Lake Bluff Road",,"North Rose","NY","14516","yes","POINT (-76.907459 43.215485)"
"242270","Queens","Norelia Professional Security Training","140-27 248th St.",,"Rosedale","NY","11422","no","POINT (-73.73443 40.662756)"
"471199","Schenectady","Ellis Medicine","1101 Nott St.",,"Schenectady","NY","12308","no","POINT (-73.917988 42.819574)"
"410049","Nassau","Summit Security Services, Inc.","390 RXR Plaza W Tower, Lobby Level",,"Uniondale","NY","11556","no",
"310934","New York","Rockefeller University","Rockefeller University",,"New York","NY","10021","no",
"200743","Greene","Ski Windham Operating Corp.","19 Resort Dr",,"Windham","NY","12496","no","POINT (-74.255668 42.299322)"
"312226","New York","Mount Sinai Beth Israel Medical Center","281 First Avenue",,"New York","NY","10003","no","POINT (-73.9816 40.732665)"
"242372","Kings","Castillo Security Guard Training, Ltd","511-74th St.",,"Brooklyn","NY","11209","no","POINT (-73.979578 40.685694)"
"442069","Richmond","Adequate Security Services, Inc.","78 Beach St",,"Staten Island","NY","10304","no","POINT (-74.078705 40.628401)"
"150942","Erie","Buffalo & Erie County Public Library","1 Lafayette Square",,"Buffalo","NY","14203","no","POINT (-78.87459 42.885805)"
"441933","Richmond","Neighborhood Change","871 Castleton Ave",,"Staten Island","NY","10310","no","POINT (-74.111488 40.634736)"
"281889","Monroe","C.I.S. Training Academy","4651 Babcock Street, NE suite 18-238",,"Palm Bay","FL","32905","yes","POINT (-80.621705 28.036803)"
"521517","Suffolk","Firearms Tactics & Trng Inc","427 W. Main Street, Ste 1",,"Patchogue","NY","11772","yes","POINT (-73.028385 40.761809)"
"381361","Onondaga","Chestnut Street Security, Inc.","221 Kinne St.",,"East Syracuse","NY","13057","no","POINT (-76.076848 43.068108)"
"80179","Chemung","Arnot Ogden Medical Center","600 Roe Avenue",,"Elmira","NY","14838","no","POINT (-76.826745 42.099234)"
"311596","New York","Classic Security Training School","318 West 39th Street, 8th Floor",,"New York","NY","10018","no","POINT (-73.992316 40.755808)"
"351353","Ontario","CAE Security Training","300 Pulteney St.",,"Geneva","NY","14456","no","POINT (-76.985317 42.859689)"
"241741","Kings","Public Safety Security Training Academy","864 East New York Ave",,"Brooklyn","NY","11203","no","POINT (-73.934143 40.662598)"
"521874","Suffolk","Eastern Suffolk BOCES","750 Waverly Ave",,"Holtsville","NY","11742","no","POINT (-73.043251 40.7922)"
"150087","Erie","Erie 1 BOCES","355 Harlem Rd.",,"West Seneca","NY","14224","no","POINT (-78.787875 42.851671)"
"241267","Kings","Pulson Security Training Institute","40 4th Ave,   Floor 1",,"Brooklyn","NY","11217","no","POINT (-73.979011 40.683496)"
"561602","Suffolk","Strategic Security Corp.","367 Veterans Memorial Highway",,"Commack","NY","11725","yes","POINT (-73.259719 40.832657)"
"241405","Kings","AWICS","962 East 3lst Street",,"Brooklyn","NY","11210-3832","no","POINT (-73.974452 40.627805)"
"242253","New York","New York Career Training & Advancement Inc","115 West 30th St",,"New York","NY","10001","no","POINT (-73.990628 40.747694)"
"551819","Tompkins","Ithaca College Public Safety","953 Danby Road",,"Ithaca","NY","14850","no","POINT (-76.501063 42.421687)"
"10780","Albany","Albany, Schoharie, Schenectady, Saratoga BOCES","900 Watervliet-Shaker",,"Albany","NY","12205","no","POINT (-73.823302 42.73884)"
"310591","New York","Times Square Alliance","1560 Broadway Ste 1001",,"New York","NY","10036","no","POINT (-73.985224 40.759016)"
"412040","Queens","Big Apple Learning Center","168-47 Hillside Avenue #2 Floor",,"Jamaica","NY","11432","no","POINT (-73.793196 40.710696)"
"142315","Dutchess","Hudson Valley Protection, LLC","7 Carolina Drive",,"Rhinebeck","NY","12572","no","POINT (-73.901738 41.919877)"
"302257","Nassau","SJR Security Consultants","2005 Merrick Road #323",,"Merrick","NY","11566","yes","POINT (-73.549594 40.656249)"
"390845","Otsego","National Baseball Hall of Fame & Museum Inc","25 Main Street",,"Cooperstown","NY","13326","no","POINT (-74.922882 42.700168)"
"340339","Onondaga","Syracuse University Dept of Public Safety","Dept. of Public Safety",,"Syracuse","NY","13244","no",
"310813","New York","International Protective Service Academy","481 8th Avenue",,"New York","NY","10001","no","POINT (-73.993188 40.752578)"
"11681","Albany","Keeplock Security Svcs","1019 DiBella Dr",,"Schenectady","NY","12303","yes","POINT (-73.931671 42.737133)"
"312274","New York","NYC Parks & Recreation","1234 Fifth Avenue Rm 223",,"New York","NY","10029","no","POINT (-73.951794 40.793349)"
"72261","Chautauqua","Cassadaga Job Corps Academy","8115 Glasgow Road",,"Cassadaga","NY","14718","no","POINT (-79.330071 42.352595)"
"451619","St. Lawrence","Clarkson University","10 Clarkson Avenue",,"Potsdam","NY","13699","no","POINT (-74.994043 44.666931)"
"412309","Kings","B & H Security Training, Inc.","2329 Norstrand Ave",,"Brooklyn","NY","11210","no","POINT (-73.947083 40.627874)"
"572293","Warren","Word of Life Fellowship","4200 Glendale Rd",,"Pottersville","NY","12860","no","POINT (-73.812294 43.72952)"
"270561","Oneida","BOCES Consortium of Continuing Education","P.O. Box 168",,"Verona","NY","13478-0168","no",
"152339","Erie","Buffalo Educational Opportunity Ctr","555 Ellicott St",,"Buffalo","NY","14213","no","POINT (-78.869327 42.893978)"
"302362","Nassau","Red Dragon Security Training","606 Johnson Ave",,"Bohemia","NY","11756","no","POINT (-73.095694 40.778618)"
"451071","St. Lawrence","St. Lawrence University Security & Safety","Security & Safety Dept",,"Canton","NY","13617","no",
"242125","New York","Center Security Training","225 Broadway",,"New York","NY","10007","no","POINT (-74.008232 40.711837)"
"311366","Rockland","Shadow Firearms & Tactics Academy","137 Sneden Place West  Ste 137",,"Spring Valley","NY","10977","yes","POINT (-74.042751 41.123612)"
"291492","Fulton","Orion Security Training School","505 South Market St",,"Johnstown","NY","12095","no","POINT (-74.37223 42.99832)"
"301737","Queens","Sykes Group","36-46 37th St",,"Long Island City","NY","11101","yes","POINT (-73.925941 40.753129)"
"361393","Orange","Orange County Community College","Continuing Ed Dept",,"Middletown","NY","10940","no",
"311632","New York","SUNY College of Optometry","NYS University Police",,"New York","NY","10036","no",
"411494","Richmond","ALS Security Academy","433 Virginia Ave",,"Staten Island","NY","10305","no","POINT (-74.078584 40.607708)"
"30436","Bronx","CDC Security Corporation Training Center","1403 Grand Concourse,","2D, Comm. Rm.","Bronx","NY","10452","no","POINT (-73.91387 40.83887)"
"30364","Bronx","Olinville Security School","3356 White Plains Rd.",,"Bronx","NY","10467","yes","POINT (-73.867117 40.874553)"
"282331","Monroe","On Target Firearms, Inc","750 Basket Rd",,"Webster","NY","14580","yes","POINT (-77.387319 43.224542)"
"521187","Suffolk","Center Moriches UFSD","529 Main St.",,"Center Moriches","NY","11934","no","POINT (-72.798768 40.800428)"
"361597","Orange","DMDI Security Training","10 South Plank Rd.",,"Newburgh","NY","12550","yes","POINT (-74.047688 41.51133)"
"302297","Delaware","SWFT Group LLC","Capt. James Small Firing Range",,"Delhi","NY","11357","yes",
"532265","Sullivan","Upscale Security School","96 Lake Louise Road",,"Rock Hill","NY","12775","no",
"302114","Nassau","Long Island Security Academy","1393 Jerusalem Ave",,"Merrick","NY","11566","no","POINT (-73.568616 40.693543)"
"521524","Suffolk","Peconic Security Services","75 Tyler St",,"Flanders","NY","11901","no","POINT (-72.626871 40.903865)"
,"Tompkins","Tompkins","555 Warren Road",,"Ithaca","NY","14850","no","POINT (-76.466544 42.475644)"
,"Oneida","Munson-Williams","310 Genesee St",,"Utica","NY","13502","no","POINT (-75.241192 43.096605)"
"442361","Bergen","4 Bridges Tactical Group","1 Pennington Ave.",,"Waldwick","NY","10308","yes",
"240545","Kings","Sunset Park Security Training School","6310 5th Ave., 1st Flr.",,"Brooklyn","NY","11220","yes","POINT (-74.018153 40.637573)"
"282120","Monroe","Rochester Security Training Center","3000 Mt Read Blvd # 204",,"Rochester","NY","14616","no","POINT (-77.659111 43.211818)"
"30477","Bronx","J & O Security Guard Training School","4557 White Plains Rd",,"Bronx","NY","10470","no","POINT (-73.851922 40.901446)"
"152216","Erie","Executive Investigation & Security Trng","1660 Kensington Ave",,"Cheektowaga","NY","14215","no","POINT (-78.795436 42.945361)"
"311009","New York","Harvard Protection Services Academy","59 Maiden Lane,",,"New York","NY","10038","no","POINT (-74.008478 40.708501)"
"312051","New York","Radiant Training & Consulting School","566 Seventh Avenue, Suite 602",,"New York","NY","10018","no","POINT (-73.987665 40.755072)"
"322310","Nassau","New York Security Guard Training","559 Parkway Drive",,"Elmont","NY","11003","no","POINT (-73.726466 40.697968)"
"431581","Rockland","RGA Investigations, Inc.","254 South Main Street, Suite 102",,"New City","NY","10956","yes","POINT (-73.990573 41.14007)"
"101586","Clinton","DRP Training Service","664 O'Neil Rd",,"West Chazy","NY","12992","no","POINT (-73.519219 44.80564)"
"560039","Ulster","Ulster Co. Law Enforcement Trng Academy","380 Boulevard",,"Kingston","NY","12401","no","POINT (-74.018226 41.913123)"
"150860","Erie","Security Weapons & Training Inst.","659 Ridge Road",,"Lackawanna","NY","14218","yes","POINT (-78.827115 42.82575)"
"410032","Queens","Security Training Institute","90-24 161st St",,"Jamaica","NY","11432","no","POINT (-73.799005 40.704775)"
"412334","Queens","Rochdale Village Public Safety","169-65 137th Ave",,"Jamaica","NY","11434","no","POINT (-73.773931 40.672036)"
"340021","Onondaga","Onondaga Community College","4585 W. Seneca Tpke.",,"Syracuse","NY","13215","no","POINT (-76.195328 43.001013)"
"312369","New York","DHS Security Guard School","33 Beaver St.",,"New York","NY","10004","no","POINT (-74.011528 40.704985)"
"31456","Queens","CUNY Public Safety Academy","92-31 Union Hall Street",,"Jamaica","NY","11433","no","POINT (-73.797588 40.703762)"
"280999","Monroe","Monroe 2  Orleans BOCES Career & Tech Ed","3589 Big Ridge Road",,"Spencerport","NY","14559","no","POINT (-77.790124 43.195121)"
"522301","Suffolk","Lakeview Security & Investigations, Inc.","5835 Route 25",,"Calverton","NY","11933","no",
"10816","Albany","New York State Police Security Services","Executive Services Detail",,"Albany","NY","12242","no",
"300001","Nassau","Hofstra University","117 Hofstra Info Ctr.",,"Hempstead","NY","11901","no",
"521961","Suffolk","Advanced Security Training","79 West Main St",,"Smithtown","NY","11787","yes","POINT (-73.197697 40.855055)"
,"Cattaraugus","Allegany BOCES","1825 Windfall Rd.",,"Olean","NY","14760","no","POINT (-78.405337 42.094275)"
"442337","Richmond","Safe Campus","162 Covington Circle",,"Staten Island","NY","10312","no","POINT (-74.20207 40.546494)"
"282240","Monroe","The Museum Security Academy","1 Manhattan Square Drive",,"Rochester","NY","14607","no","POINT (-77.602698 43.153129)"
"261408","Livingston","Genesee Valley BOCES","27 Lackawanna Avenue",,"Mt. Morris","NY","14510","no","POINT (-77.873529 42.729982)"
"530318","Sullivan","Delaware Valley Job Corps","9368 State Rt 97",,"Callicoon","NY","12723","no","POINT (-75.060197 41.771109)"
"230413","Jefferson","Bohlen Technical Center","20104 NYS Route 3",,"Watertown","NY","13601","no",
"411985","Queens","Securit Training Academy","2518 Francis Lewis Blvd",,"Flushing","NY","11358","no","POINT (-73.797634 40.774114)"
"312288","New York","Security Industry Specialists, Inc","601 W. 26th St",,"New York","CA","90230","no","POINT (-118.409531 33.89542)"
"242298","Kings","Guardian Group Services","44 Court Street - Room 820",,"Brooklyn","NY","11201","no","POINT (-73.990915 40.692678)"
"310825","New York","Excel Security Guard School","505 Eight Avenue",,"New York","NY","10018-6505","no","POINT (-73.992858 40.753037)"
"412272","Queens","Vera Security & Training Academy","147-04 Rockaway Blvd",,"Jamaica","NY","11436","no","POINT (-73.79065 40.673409)"
"142354","Dutchess","TS SCI","515 Haight Avenue",,"Poughkeepsie","NY","12603","no","POINT (-73.899171 41.694826)"
"301733","Nassau","Mattimore Armed Sec. Training","30 Pine Pl",,"Lindenhurst","NY","11757","yes","POINT (-73.34993 40.672887)"
"300390","Nassau","Town of Hempstead Dept of Public Safety","200 North Franklin St.",,"Hempstead","NY","11550","no","POINT (-73.629158 40.712928)"
"150147","Erie","Kaleida Health","Security Department",,"Buffalo","NY","14203","no",
"522280","Suffolk","Central Islip Union Free School District","Alfano Administration Building",,"Central Islip","NY","11722","no",
"280182","Monroe","Wegmans Food Markets Inc","1500 Brooks Ave",,"Rochester","NY","14603","yes","POINT (-77.676815 43.130703)"
"10839","Albany","Siena College","515 Loudon Road",,"Loudonville","NY","12211","no","POINT (-73.755335 42.717915)"
"241592","Kings","Lasi Security Guard Training School","822 Utica Ave., 2 F",,"Brooklyn","NY","11203","no","POINT (-73.930524 40.653035)"
"242229","Bronx","S & S Security Training and Services, LLC","281 East Burnside Ave",,"Bronx","NY","11233","no","POINT (-73.90169 40.850988)"
"460452","Saratoga","Saratoga Casino Hotel","342 Jefferson St.",,"Saratoga Springs","NY","12866","yes","POINT (-73.778652 43.061685)"
"242287","Kings","RJS Security Training School","767-769 Rogers Avenue",,"Brooklyn","NY","11226","no","POINT (-73.952624 40.652113)"
"140148","Dutchess","Dutchess Community College","53 Pendell Road, Browne Hall","Rm. # 118","Poughkeepsie","NY","12601","no","POINT (-73.904236 41.722292)"
"242358","Kings","Knight Security Training","217 Boerum Street",,"Brooklyn","NY","11206","no","POINT (-73.939063 40.706262)"
"421317","Rensselaer","Emma Willard School","285 Pawling Avenue",,"Troy","NY","12180","no","POINT (-73.66511 42.71118)"
"310185","New York","Metropolitan Museum of Art","1000 5th Ave.",,"New York","NY","10028","no","POINT (-73.962688 40.778406)"
"190193","Genesee","Genesee Community College","One College Road, Rm. # T 112",,"Batavia","NY","14020-9704","no",
"312214","New York","New York Law School","185 West Broadway - Room EM100",,"New York","NY","10013-2921","no","POINT (-74.007161 40.718123)"
"10037","Albany","College of Saint Rose","432 Western Ave.",,"Albany","NY","12203-1490","no","POINT (-73.786425 42.664782)"
"242093","New York","Win Security & Safety Training","One State Street Plaza",,"New York","NY","10004","no",
"432363","Rockland","North Rockland Central School District","106 Hammond Rd",,"Thiells","NY","10984","no","POINT (-74.016343 41.215204)"
"300363","Nassau","Security and Safety Training","10 Michele Terrace",,"Massapequa Park","NY","11762","no","POINT (-73.445706 40.668135)"
"412338","Queens","AG Training Group Inc","65-52 160 Street - Suite 2F",,"Flushing","NY","11365","no","POINT (-73.808875 40.735278)"
"522268","Suffolk","Front Line Training Center","1520 Ocean Avenue Suite B",,"Bohemia","NY","11716","no","POINT (-73.120527 40.781819)"
"362289","Orange","Foley Security Consulting","3 Snoop St",,"Monroe","NY","10950","yes","POINT (-74.164675 41.313953)"
"520742","Suffolk","Suffolk Co Police Academy SG School","502 Wicks Rd.",,"Brentwood","NY","11717","yes","POINT (-73.268805 40.803004)"
"532124","Sullivan","Watch Dawg Investigations & Security","140 Kortright Road",,"Bethel","NY","12734","yes","POINT (-74.757532 41.701386)"
"562071","Ulster","Alert Security Training School","130 North Front Street Suite #2",,"Kingston","NY","12401","yes","POINT (-74.024148 41.935037)"
"282266","Monroe","SRT Training Academy","1425 Mt Read Blvd",,"Rochester","NY","14606","yes","POINT (-77.659597 43.179594)"
"31901","Bronx","Hunts Point Public Safety","NYC Terminal Produce Market Room 8B",,"Bronx","NY","10474","yes",
"30337","Bronx","Monroe College","2501  Jerome Ave Room 201",,"Bronx","NY","10468","no","POINT (-73.900167 40.863922)"
"281222","Monroe","Enterprise Security Consulting and Training","875 E. Main St.",,"Rochester","NY","14605","no","POINT (-77.589201 43.160978)"
"312374","New York","Tiger Security Inc.","1216 Broadway",,"New York","NY","11209","no","POINT (-73.988491 40.746632)"
"30659","Bronx","The New York Botanical Gardens","2900 Southern Blvd. P101",,"Bronx","NY","10458","no","POINT (-73.880923 40.861377)"
"282330","Monroe","Roberts Wesleyan College","2301 Westside Dr.",,"Rochester","NY","14624","no","POINT (-77.798734 43.126874)"
"342366","Onondaga","BMD Security Training, Inc.","499 S Warren St.",,"Syracuse","NY","13202","no","POINT (-76.150806 43.045944)"
"100720","Clinton","Champlain Valley Ed Svcs CV TEC","518 Rugar St.",,"Plattsburgh","NY","12901","no","POINT (-73.509351 44.685689)"
