"violation_charged_code","violation_description","violation_year","violation_month","violation_dow","age_at_violation","gender","state_of_license","police_agency","court","source"
"1225C2A","OPERATING MV MOBILE PHONE","2018","1","SUNDAY","55","M","NEW YORK","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"1225C2A","OPERATING MV MOBILE PHONE","2018","1","SUNDAY","31","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","54","F","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1229C3U","NO BELT OPER TAXI","2018","1","SUNDAY","45","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","38","M","NEW YORK","NYC POLICE DEPT","BROOKLYN SOUTH TVB","TVB"
"403A1","FLD YIELD PEDEST NYC","2018","1","SUNDAY","51","F","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1163AS","IMPROPER SIGNAL","2018","1","SUNDAY","50","M","FLORIDA","NYC POLICE DEPT","BRONX TVB","TVB"
"1225D","OPER MV WHILE USING PORTABLE ELEC DEV","2018","1","SUNDAY","53","M","NEW YORK","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"1229C3U","NO BELT OPER TAXI","2018","1","SUNDAY","58","M","NEW YORK","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","57","M","NEW YORK","NYC POLICE DEPT","MANHATTAN NORTH TVB","TVB"
"1180D12","SPEED IN ZONE 11-30","2018","1","SUNDAY","44","F","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","51","M","NEW YORK","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"1229C3A","NO LAP/SHOULDER HARNESS OR DJ VIO","2018","1","SUNDAY","31","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"3191U","OPERATING W/O INSURANCE","2018","1","SUNDAY","51","M","NEW YORK","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"1229C3A","NO LAP/SHOULDER HARNESS OR DJ VIO","2018","1","SUNDAY","39","F","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1225D","OPER MV WHILE USING PORTABLE ELEC DEV","2018","1","SUNDAY","22","M","NEW YORK","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"403A1","FLD YIELD PEDEST NYC","2018","1","SUNDAY","55","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1163AT","IMPROPER TURN","2018","1","SUNDAY","44","F","NEW YORK","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","62","M","NEW YORK","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"1111D1N","NYC REDLIGHT","2018","1","SUNDAY","22","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1225D","OPER MV WHILE USING PORTABLE ELEC DEV","2018","1","SUNDAY","26","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1229C3A","NO LAP/SHOULDER HARNESS OR DJ VIO","2018","1","SUNDAY","45","F","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1180D12","SPEED IN ZONE 11-30","2018","1","SUNDAY","56","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1128A","MOVED FROM LANE UNSAFELY/WEAVING","2018","1","SUNDAY","44","F","NEW YORK","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"1225D","OPER MV WHILE USING PORTABLE ELEC DEV","2018","1","SUNDAY","26","F","PENNSYLVANIA","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"1225D","OPER MV WHILE USING PORTABLE ELEC DEV","2018","1","SUNDAY","35","F","NEW YORK","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"1111D1N","NYC REDLIGHT","2018","1","SUNDAY","68","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","28","M","NEW YORK","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"1180D12","SPEED IN ZONE 11-30","2018","1","SUNDAY","45","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1225C2A","OPERATING MV MOBILE PHONE","2018","1","SUNDAY","67","F","NEW YORK","NYC POLICE DEPT","BROOKLYN SOUTH TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","68","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","36","F","NEW YORK","NYC POLICE DEPT","RICHMOND TVB","TVB"
"1234D","BIKE/SKATE FAIL STOP","2018","1","SUNDAY","19","M","NEW YORK","NYC POLICE DEPT","BROOKLYN SOUTH TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","32","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1163AT","IMPROPER TURN","2018","1","SUNDAY","61","M","NEW YORK","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"1180D12","SPEED IN ZONE 11-30","2018","1","SUNDAY","28","F","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1127AB","DROVE WRONG DIRECTION BICYCLE","2018","1","SUNDAY","27","M","NEW YORK","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"403A1","FLD YIELD PEDEST NYC","2018","1","SUNDAY","57","F","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1163AT","IMPROPER TURN","2018","2","TUESDAY","42","M","NEW JERSEY","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"1180D12","SPEED IN ZONE 11-30","2018","1","SUNDAY","36","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1229C3A","NO LAP/SHOULDER HARNESS OR DJ VIO","2018","1","SUNDAY","49","F","UNKNOWN","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"1225C2A","OPERATING MV MOBILE PHONE","2018","1","SUNDAY","46","F","MASSACHUSETTS","NYC POLICE DEPT","BRONX TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","33","M","UNKNOWN","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","6","THURSDAY","46","M","NEW YORK","NYC POLICE DEPT","RICHMOND TVB","TVB"
"1111D1N","NYC REDLIGHT","2018","1","SUNDAY","73","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","60","F","NEW YORK","NYC POLICE DEPT","RICHMOND TVB","TVB"
"1172A","FLD TO STOP AT STOP SIGN","2018","1","SUNDAY","18","M","NEW YORK","NYC POLICE DEPT","BROOKLYN SOUTH TVB","TVB"
"5091G","UNLICENSED GT 60DAYS","2018","1","SUNDAY","33","M","UNKNOWN","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"1111D1N","NYC REDLIGHT","2018","1","SUNDAY","34","M","NEW YORK","NYC POLICE DEPT","BROOKLYN SOUTH TVB","TVB"
"1180D12","SPEED IN ZONE 11-30","2018","1","SUNDAY","55","F","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1231","RULES ROAD VIO BICY","2018","1","SUNDAY","38","M","UNKNOWN","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"5091G","UNLICENSED GT 60DAYS","2018","1","SUNDAY","73","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","43","M","NEW YORK","NYC POLICE DEPT","BROOKLYN SOUTH TVB","TVB"
"5091","UNLICENSED OPERATOR","2018","1","SUNDAY","60","F","NEW YORK","NYC POLICE DEPT","RICHMOND TVB","TVB"
"1231","RULES ROAD VIO BICY","2018","1","SUNDAY","38","M","NEW YORK","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"1225C2A","OPERATING MV MOBILE PHONE","2018","1","SUNDAY","33","M","MARYLAND","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","2","WEDNESDAY","42","F","VIRGINIA","NYC POLICE DEPT","BRONX TVB","TVB"
"1163AS","IMPROPER SIGNAL","2018","1","SUNDAY","43","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"4011U","IMPROPR REGIS/CLASS","2018","1","SUNDAY","43","M","NEW YORK","NYC POLICE DEPT","BROOKLYN SOUTH TVB","TVB"
"1225C2A","OPERATING MV MOBILE PHONE","2018","1","SUNDAY","52","F","NEW YORK","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"1164B","FAILED TO SIGNAL AS REQUIRED","2018","1","SUNDAY","50","M","NEW YORK","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"414A2","NO CMV ON PKWAY NYC","2018","1","SUNDAY","43","M","NEW YORK","NYC POLICE DEPT","BROOKLYN SOUTH TVB","TVB"
"1229C3A","NO LAP/SHOULDER HARNESS OR DJ VIO","2018","1","SUNDAY","47","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"5091G","UNLICENSED GT 60DAYS","2018","1","SUNDAY","33","M","MARYLAND","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"4011A","UNREGISTERED MOTOR VEHICLE","2018","1","SUNDAY","32","M","NEW YORK","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"403A1","FLD YIELD PEDEST NYC","2018","1","SUNDAY","41","M","NEW JERSEY","NYC POLICE DEPT","BRONX TVB","TVB"
"403A1","FLD YIELD PEDEST NYC","2018","1","SUNDAY","29","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1180D12","SPEED IN ZONE 11-30","2018","1","SUNDAY","24","F","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"5091","UNLICENSED OPERATOR","2018","1","SUNDAY","18","M","NEW YORK","NYC POLICE DEPT","BROOKLYN SOUTH TVB","TVB"
"403A1","FLD YIELD PEDEST NYC","2018","1","SUNDAY","48","F","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","27","M","NEW YORK","NYC POLICE DEPT","BROOKLYN NORTH TVB","TVB"
"3191U","OPERATING W/O INSURANCE","2018","1","SUNDAY","18","M","NEW YORK","NYC POLICE DEPT","BROOKLYN SOUTH TVB","TVB"
"1163AS","IMPROPER SIGNAL","2018","1","SUNDAY","53","M","NEW YORK","NYC POLICE DEPT","BROOKLYN SOUTH TVB","TVB"
"1229C3A","NO LAP/SHOULDER HARNESS OR DJ VIO","2018","1","SUNDAY","36","M","NEW YORK","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"306B","UNINSPECTED MOTOR VEHICLE","2018","1","SUNDAY","32","M","NEW YORK","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"403A1","FLD YIELD PEDEST NYC","2018","1","SUNDAY","49","M","NEW YORK","NYC POLICE DEPT","MANHATTAN SOUTH TVB","TVB"
"5091G","UNLICENSED GT 60DAYS","2018","1","SUNDAY","70","M","UNKNOWN","NYC POLICE DEPT","RICHMOND TVB","TVB"
"1229C3A","NO LAP/SHOULDER HARNESS OR DJ VIO","2018","1","SUNDAY","27","F","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1180D12","SPEED IN ZONE 11-30","2018","1","SUNDAY","59","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","35","M","PENNSYLVANIA","NYC POLICE DEPT","BROOKLYN SOUTH TVB","TVB"
"1111D1N","NYC REDLIGHT","2018","1","SUNDAY","32","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1163AS","IMPROPER SIGNAL","2018","1","SUNDAY","44","M","NEW JERSEY","NYC POLICE DEPT","BRONX TVB","TVB"
"1111D1N","NYC REDLIGHT","2018","1","SUNDAY","47","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"4011U","IMPROPR REGIS/CLASS","2018","1","SUNDAY","35","M","PENNSYLVANIA","NYC POLICE DEPT","BROOKLYN SOUTH TVB","TVB"
"1111D1N","NYC REDLIGHT","2018","1","SUNDAY","57","M","NEW JERSEY","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"414A2","NO CMV ON PKWAY NYC","2018","1","SUNDAY","35","M","PENNSYLVANIA","NYC POLICE DEPT","BROOKLYN SOUTH TVB","TVB"
"1225C2A","OPERATING MV MOBILE PHONE","2018","1","SUNDAY","47","F","NEW YORK","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"1140A","FLD TO YLD RT-OF-WAY AT INTERSECTION","2018","1","SUNDAY","32","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"403A1","FLD YIELD PEDEST NYC","2018","1","SUNDAY","67","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1163AT","IMPROPER TURN","2018","1","SUNDAY","41","F","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","2","WEDNESDAY","53","M","NORTH CAROLINA","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"1111D1N","NYC REDLIGHT","2018","1","SUNDAY","50","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1225C2A","OPERATING MV MOBILE PHONE","2018","1","SUNDAY","23","M","NEW JERSEY","NYC POLICE DEPT","BRONX TVB","TVB"
"1180D12","SPEED IN ZONE 11-30","2018","1","SUNDAY","72","F","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1111D1N","NYC REDLIGHT","2018","1","SUNDAY","81","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1225C2A","OPERATING MV MOBILE PHONE","2018","1","SUNDAY","24","M","NEW YORK","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"1180D12","SPEED IN ZONE 11-30","2018","1","SUNDAY","41","F","CONNECTICUT","NYC POLICE DEPT","BRONX TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","62","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1225C2A","OPERATING MV MOBILE PHONE","2018","1","SUNDAY","57","M","PENNSYLVANIA","NYC POLICE DEPT","BROOKLYN SOUTH TVB","TVB"
"1180D11","SPEED IN ZONE 1-10","2018","1","SUNDAY","40","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1163AT","IMPROPER TURN","2018","1","SUNDAY","54","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1172A","FLD TO STOP AT STOP SIGN","2018","1","SUNDAY","35","M","MARYLAND","NYC POLICE DEPT","BRONX TVB","TVB"
"1160A","IMPROPER RIGHT TURN","2018","1","SUNDAY","30","F","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1225D","OPER MV WHILE USING PORTABLE ELEC DEV","2018","1","SUNDAY","38","M","NEW YORK","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"1229C3","NO SEAT BELT ADULT","2018","1","SUNDAY","28","M","NEW JERSEY","NYC POLICE DEPT","BRONX TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","59","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1127A","DRIVING/WRONG DIRECTION ON ONE-WAY STREET","2018","1","WEDNESDAY","30","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","50","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","47","M","NEW YORK","NYC POLICE DEPT","BROOKLYN NORTH TVB","TVB"
"1111D1N","NYC REDLIGHT","2018","1","SUNDAY","27","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1111D1N","NYC REDLIGHT","2018","1","SUNDAY","52","F","MARYLAND","NYC POLICE DEPT","QUEENS SOUTH TVB","TVB"
"1225D","OPER MV WHILE USING PORTABLE ELEC DEV","2018","1","SUNDAY","49","F","NEW YORK","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"1180D12","SPEED IN ZONE 11-30","2018","1","SUNDAY","36","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1225D","OPER MV WHILE USING PORTABLE ELEC DEV","2018","1","SUNDAY","51","M","NEW YORK","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"1122A","PASSED VEHICLE ON RIGHT","2018","1","SUNDAY","29","M","NEW YORK","NYC POLICE DEPT","BROOKLYN SOUTH TVB","TVB"
"1110AB","DISOB TRAFFIC DEVICE BICYCLE","2018","1","SUNDAY","58","M","NEW JERSEY","NYC POLICE DEPT","MANHATTAN NORTH TVB","TVB"
"1225D","OPER MV WHILE USING PORTABLE ELEC DEV","2018","1","SUNDAY","53","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","50","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1129A","FOLLOWING TOO CLOSELY","2018","1","SUNDAY","25","F","NEW YORK","NYC POLICE DEPT","BROOKLYN SOUTH TVB","TVB"
"1225C2A","OPERATING MV MOBILE PHONE","2018","1","SUNDAY","35","M","NEW YORK","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"1111D1N","NYC REDLIGHT","2018","1","SUNDAY","21","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1110AB","DISOB TRAFFIC DEVICE BICYCLE","2018","1","SUNDAY","58","M","NEW JERSEY","NYC POLICE DEPT","MANHATTAN NORTH TVB","TVB"
"403A1","FLD YIELD PEDEST NYC","2018","1","SUNDAY","43","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1180D12","SPEED IN ZONE 11-30","2018","1","SUNDAY","39","F","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1225C2A","OPERATING MV MOBILE PHONE","2018","1","SUNDAY","59","M","UNKNOWN","NYC POLICE DEPT","RICHMOND TVB","TVB"
"1110AB","DISOB TRAFFIC DEVICE BICYCLE","2018","1","SUNDAY","58","M","NEW JERSEY","NYC POLICE DEPT","MANHATTAN NORTH TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","56","M","UNKNOWN","NYC POLICE DEPT","BROOKLYN SOUTH TVB","TVB"
"5091G","UNLICENSED GT 60DAYS","2018","1","SUNDAY","59","M","UNKNOWN","NYC POLICE DEPT","RICHMOND TVB","TVB"
"1229C3A","NO LAP/SHOULDER HARNESS OR DJ VIO","2018","1","SUNDAY","44","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"37540B","INADEQUATE OR NO STOP LAMPS","2018","1","SUNDAY","52","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1180D12","SPEED IN ZONE 11-30","2018","1","SUNDAY","24","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"403A1","FLD YIELD PEDEST NYC","2018","1","SUNDAY","64","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"37512A2","SIDEWINGS/SIDEWINDOWS/NON/TRANSPARENT","2018","1","SATURDAY","21","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","42","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1180D12","SPEED IN ZONE 11-30","2018","1","SUNDAY","34","F","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1180D12","SPEED IN ZONE 11-30","2018","1","SUNDAY","26","M","UNKNOWN","NYC POLICE DEPT","BRONX TVB","TVB"
"1225C2A","OPERATING MV MOBILE PHONE","2018","1","MONDAY","37","M","NEW YORK","NYC POLICE DEPT","BROOKLYN SOUTH TVB","TVB"
"5091G","UNLICENSED GT 60DAYS","2018","1","SUNDAY","26","M","UNKNOWN","NYC POLICE DEPT","BRONX TVB","TVB"
"1225C2A","OPERATING MV MOBILE PHONE","2018","1","SUNDAY","33","F","KANSAS","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"4011A","UNREGISTERED MOTOR VEHICLE","2018","1","SUNDAY","52","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","45","F","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1172A","FLD TO STOP AT STOP SIGN","2018","1","SUNDAY","55","F","NEW YORK","NYC POLICE DEPT","RICHMOND TVB","TVB"
"403A1","FLD YIELD PEDEST NYC","2018","1","SUNDAY","51","M","UNKNOWN","NYC POLICE DEPT","BRONX TVB","TVB"
"1229C3A","NO LAP/SHOULDER HARNESS OR DJ VIO","2018","1","SUNDAY","58","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1180D12","SPEED IN ZONE 11-30","2018","1","SUNDAY","42","F","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1225D","OPER MV WHILE USING PORTABLE ELEC DEV","2018","1","SUNDAY","60","M","NEW YORK","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"403A1","FLD YIELD PEDEST NYC","2018","1","SUNDAY","34","F","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1225C2A","OPERATING MV MOBILE PHONE","2018","1","SUNDAY","36","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1180D12","SPEED IN ZONE 11-30","2018","1","SUNDAY","35","M","NEW YORK","NYC POLICE DEPT","BRONX TVB","TVB"
"1180D12","SPEED IN ZONE 11-30","2018","1","SUNDAY","24","M","NEW YORK","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"1111D1C","NYC BIKE/SKATE RDLGT","2018","1","SUNDAY","26","M","NEW YORK","NYC POLICE DEPT","MANHATTAN NORTH TVB","TVB"
"1180D12","SPEED IN ZONE 11-30","2018","1","SUNDAY","27","M","NEW YORK","NYC POLICE DEPT","QUEENS NORTH TVB","TVB"
"1110A","DISOBEYED TRAFFIC DEVICE","2018","1","SUNDAY","32","F","NEW YORK","NYC POLICE DEPT","QUEENS SOUTH TVB","TVB"
