"year","month","month_code","district_code","district","total_temporary_assistance_cases","total_temporary_assistance_recipients","total_temporary_assistance_children","total_temporary_assistance_adults","total_temporary_assistance_expenditures","family_assistance_federally_participating_cases","family_assistance_federally_participating_recipients","family_assistance_federally_participating_children","family_assistance_federally_participating_adults","family_assistance_federally_participating_expenditures","safety_net_assistance_cases","safety_net_assistance_recipients","safety_net_assistance_children","safety_net_assistance_adults","safety_net_assistance_expenditures","federally_participating_temporary_assistance_for_needy_families_cases","federally_participating_temporary_assistance_for_needy_families_recipients","federally_participating_temporary_assistance_for_needy_families_expenditures","federally_non_participating_cases","federally_non_participating_recipients","federally_non_participating_expenditures","safety_net_assistance_federally_participating_cases","safety_net_assistance_federally_participating_recipients","safety_net_assistance_federally_participating_children","safety_net_assistance_federally_participating_adults","safety_net_assistance_federally_participating_expenditures","safety_net_federally_non_participating_cases","safety_net_federally_non_participating_recipients","safety_net_federally_non_participating_children","safety_net_federally_non_participating_adults","safety_net_federally_non_participating_expenditures","maintenance_of_effort_cases","maintenance_of_effort_recipients","maintenance_of_effort_children","maintenance_of_effort_adults","maintenance_of_effort_expenditures","non_maintenance_of_effort_cases","non_maintenance_of_effort_recipients","non_maintenance_of_effort_children","non_maintenance_of_effort_adults","non_maintenance_of_effort_expenditures"
"2022","June","6","26","Monroe","6915","12574","7083","5491","4161816","2774","6062","4776","1286","1764040","4141","6512","2307","4205","2397776","2864","6328","1822490","4051","6246","2339326","90","266","166","100","58450","4051","6246","2141","4105","2339326","692","2439","1729","710","504008","3359","3807","412","3395","1835318"
"2022","June","6","27","Montgomery","280","503","305","198","160728","134","266","221","45","61827","146","237","84","153","98901","139","280","64267","141","223","96461","5","14","8","6","2440","141","223","76","147","96461","29","88","57","31","15406","112","135","19","116","81055"
"2022","June","6","28","Nassau","2899","4683","2149","2534","3541702","799","1675","1352","323","971595","2100","3008","797","2211","2570107","803","1686","983367","2096","2997","2558335","4","11","7","4","11772","2096","2997","790","2207","2558335","260","890","624","266","549294","1836","2107","166","1941","2009041"
"2022","June","6","29","Niagara","1413","2267","1309","958","723664","634","1226","1020","206","332568","779","1041","289","752","391096","644","1254","335803","769","1013","387861","10","28","18","10","3235","769","1013","271","742","387861","74","253","181","72","49554","695","760","90","670","338307"
"2022","June","6","30","Oneida","2288","4212","2261","1951","1401357","866","2065","1579","486","505350","1422","2147","682","1465","896007","873","2087","510704","1415","2125","890653","7","22","15","7","5354","1415","2125","667","1458","890653","173","669","483","186","110043","1242","1456","184","1272","780610"
"2022","June","6","31","Onondaga","4471","8677","4952","3725","3229668","1752","4090","3161","929","1150085","2719","4587","1791","2796","2079583","1753","4094","1150717","2718","4583","2078951","1","4","3","1","632","2718","4583","1788","2795","2078951","438","1669","1211","458","307633","2280","2914","577","2337","1771318"
"2022","June","6","32","Ontario","684","1096","578","518","520298","287","577","461","116","186781","397","519","117","402","333517","288","579","189862","396","517","330436","1","2","1","1","3081","396","517","116","401","330436","20","76","54","22","17212","376","441","62","379","313224"
"2022","June","6","33","Orange","1296","2223","1197","1026","1269761","482","999","808","191","477232","814","1224","389","835","792529","491","1025","501792","805","1198","767969","9","26","15","11","24560","805","1198","374","824","767969","118","396","275","121","118011","687","802","99","703","649958"
"2022","June","6","34","Orleans","460","753","383","370","247451","179","378","285","93","110816","281","375","98","277","136635","183","387","113373","277","366","134078","4","9","5","4","2557","277","366","93","273","134078","21","68","45","23","16643","256","298","48","250","117435"
"2022","June","6","35","Oswego","1128","2084","1183","901","659922","496","1126","882","244","289642","632","958","301","657","370280","514","1176","300694","614","908","359228","18","50","27","23","11052","614","908","274","634","359228","61","224","156","68","41972","553","684","118","566","317256"
"2022","June","6","36","Otsego","228","308","115","193","290572","61","121","100","21","49881","167","187","15","172","240691","62","122","50677","166","186","239895","1","1","0","1","796","166","186","15","171","239895","2","8","6","2","1497","164","178","9","169","238398"
"2022","June","6","37","Putnam","59","83","54","29","36402","33","52","46","6","20466","26","31","8","23","15936","34","53","20649","25","30","15753","1","1","0","1","183","25","30","8","22","15753","1","5","4","1","406","24","25","4","21","15347"
"2022","June","6","38","Rensselaer","784","1725","1160","565","597085","444","992","775","217","287205","340","733","385","348","309880","448","1000","293680","336","725","303405","4","8","3","5","6475","336","725","382","343","303405","104","401","292","109","75209","232","324","90","234","228196"
"2022","June","6","39","Rockland","605","1043","561","482","523093","232","520","418","102","254182","373","523","143","380","268911","237","533","276413","368","510","246680","5","13","8","5","22231","368","510","135","375","246680","23","89","63","26","11456","345","421","72","349","235224"
"2022","June","6","40","St. Lawrence","644","1043","546","497","342413","255","488","388","100","131295","389","555","158","397","211118","255","488","131295","389","555","211118","0","0","0","0","0","389","555","158","397","211118","56","184","126","58","31842","333","371","32","339","179276"
"2022","June","6","41","Saratoga","335","443","243","200","214285","141","231","208","23","68730","194","212","35","177","145555","143","235","69882","192","208","144403","2","4","2","2","1152","192","208","33","175","144403","2","10","7","3","593","190","198","26","172","143810"
"2022","June","6","42","Schenectady","1258","2233","1305","928","885979","530","1133","935","198","365740","728","1100","370","730","520239","533","1137","366851","725","1096","519128","3","4","2","2","1111","725","1096","368","728","519128","103","369","263","106","91485","622","727","105","622","427643"
"2022","June","6","43","Schoharie","126","196","103","93","154088","61","118","94","24","60708","65","78","9","69","93380","61","118","60708","65","78","93380","0","0","0","0","0","65","78","9","69","93380","2","8","6","2","4596","63","70","3","67","88784"
"2022","June","6","44","Schuyler","97","143","81","62","54931","41","71","63","8","19937","56","72","18","54","34994","41","71","19937","56","72","34994","0","0","0","0","0","56","72","18","54","34994","3","9","6","3","2832","53","63","12","51","32162"
"2022","June","6","45","Seneca","202","354","192","162","177946","82","179","137","42","60579","120","175","55","120","117367","84","183","63046","118","171","114900","2","4","2","2","2467","118","171","53","118","114900","16","52","36","16","18620","102","119","17","102","96280"
"2022","June","6","46","Steuben","678","1008","500","508","464883","267","524","427","97","150827","411","484","73","411","314056","267","524","150827","411","484","314056","0","0","0","0","0","411","484","73","411","314056","22","70","46","24","14434","389","414","27","387","299622"
"2022","June","6","47","Suffolk","5210","8215","3760","4455","7819167","1457","3040","2449","591","2802945","3753","5175","1311","3864","5016222","1486","3138","2837294","3724","5077","4981873","29","98","66","32","34349","3724","5077","1245","3832","4981873","378","1342","933","409","1047083","3346","3735","312","3423","3934790"
"2022","June","6","48","Sullivan","467","769","428","341","247806","205","414","337","77","122152","262","355","91","264","125654","207","421","122533","260","348","125273","2","7","5","2","381","260","348","86","262","125273","24","76","51","25","13193","236","272","35","237","112080"
"2022","June","6","49","Tioga","229","342","254","88","114090","139","231","215","16","68695","90","111","39","72","45395","140","232","69467","89","110","44623","1","1","0","1","772","89","110","39","71","44623","8","21","13","8","3830","81","89","26","63","40793"
"2022","June","6","50","Tompkins","609","865","358","507","365369","180","354","271","83","108775","429","511","87","424","256594","188","374","113682","421","491","251687","8","20","11","9","4907","421","491","76","415","251687","21","60","37","23","13460","400","431","39","392","238227"
"2022","June","6","51","Ulster","784","1297","661","636","939501","297","621","483","138","393924","487","676","178","498","545577","307","643","410029","477","654","529472","10","22","10","12","16105","477","654","168","486","529472","55","179","119","60","75075","422","475","49","426","454397"
"2022","June","6","52","Warren","235","353","173","180","216780","95","194","155","39","68435","140","159","18","141","148345","96","197","69255","139","156","147525","1","3","2","1","820","139","156","16","140","147525","2","6","4","2","2343","137","150","12","138","145182"
"2022","June","6","53","Washington","293","454","244","210","195821","128","247","202","45","68685","165","207","42","165","127136","134","258","74101","159","196","121720","6","11","5","6","5416","159","196","37","159","121720","7","27","19","8","5919","152","169","18","151","115801"
"2022","June","6","54","Wayne","381","577","327","250","231689","177","328","279","49","121812","204","249","48","201","109877","183","348","123997","198","229","107692","6","20","12","8","2185","198","229","36","193","107692","9","34","24","10","8582","189","195","12","183","99110"
"2022","June","6","55","Westchester","4250","7568","3903","3665","5055464","1438","3324","2559","765","1859432","2812","4244","1344","2900","3196032","1442","3334","1866884","2808","4234","3188580","4","10","6","4","7452","2808","4234","1338","2896","3188580","582","1790","1199","591","948491","2226","2444","139","2305","2240089"
"2022","June","6","56","Wyoming","146","209","103","106","81577","57","110","92","18","30366","89","99","11","88","51211","59","114","31135","87","95","50442","2","4","2","2","769","87","95","9","86","50442","4","11","7","4","1975","83","84","2","82","48467"
"2022","June","6","57","Yates","121","194","112","82","79501","60","122","99","23","36785","61","72","13","59","42716","60","122","36785","61","72","42716","0","0","0","0","0","61","72","13","59","42716","3","10","8","2","1991","58","62","5","57","40725"
"2022","June","6","66","New York City","231489","417424","166439","250985","139437757","51234","121850","80188","41662","31000390","180255","295574","86251","209323","108437367","51258","121897","31015162","180231","295527","108422594","24","47","29","18","14772","180231","295527","86222","209305","108422594","31244","100991","60846","40145","22584862","148987","194536","25376","169160","85837732"
"2022","May","5","01","Albany","1542","2919","1701","1218","1705903","680","1435","1137","298","780589","862","1484","564","920","925314","681","1438","780982","861","1481","924921","1","3","2","1","393","861","1481","562","919","924921","116","435","317","118","238289","745","1046","245","801","686632"
"2022","May","5","02","Allegany","258","426","239","187","122134","124","255","202","53","60001","134","171","37","134","62133","125","256","62121","133","170","60013","1","1","0","1","2120","133","170","37","133","60013","10","31","21","10","7116","123","139","16","123","52897"
"2022","May","5","03","Broome","2292","3588","1842","1746","1526354","839","1615","1297","318","511880","1453","1973","545","1428","1014474","849","1644","523121","1443","1944","1003233","10","29","15","14","11241","1443","1944","530","1414","1003233","156","513","349","164","121065","1287","1431","181","1250","882168"
"2022","May","5","04","Cattaraugus","772","1179","564","615","412682","281","582","457","125","147237","491","597","107","490","265445","299","637","157485","473","542","255197","18","55","31","24","10248","473","542","76","466","255197","22","67","44","23","12951","451","475","32","443","242246"
"2022","May","5","05","Cayuga","655","1053","557","496","475646","256","553","440","113","167903","399","500","117","383","307743","266","582","176232","389","471","299414","10","29","18","11","8329","389","471","99","372","299414","27","79","50","29","21221","362","392","49","343","278193"
"2022","May","5","06","Chautauqua","1648","3197","1847","1350","935913","730","1726","1328","398","447035","918","1471","519","952","488878","739","1757","453261","909","1440","482652","9","31","19","12","6226","909","1440","500","940","482652","137","480","329","151","93668","772","960","171","789","388984"
"2022","May","5","07","Chemung","685","1074","668","406","418639","332","644","555","89","186000","353","430","113","317","232639","334","647","188710","351","427","229929","2","3","1","2","2710","351","427","112","315","229929","12","53","41","12","10050","339","374","71","303","219879"
"2022","May","5","08","Chenango","320","494","297","197","170297","173","321","269","52","87939","147","173","28","145","82358","177","333","88773","143","161","81524","4","12","6","6","834","143","161","22","139","81524","3","11","8","3","2232","140","150","14","136","79292"
"2022","May","5","09","Clinton","644","1005","544","461","371626","292","579","471","108","157346","352","426","73","353","214280","305","608","168056","339","397","203570","13","29","14","15","10710","339","397","59","338","203570","14","42","28","14","10009","325","355","31","324","193561"
"2022","May","5","10","Columbia","307","503","272","231","247595","122","256","208","48","83231","185","247","64","183","164364","127","273","88949","180","230","158646","5","17","11","6","5718","180","230","53","177","158646","16","56","41","15","14333","164","174","12","162","144313"
"2022","May","5","11","Cortland","358","520","248","272","241775","132","250","200","50","78660","226","270","48","222","163115","139","272","84628","219","248","157147","7","22","15","7","5968","219","248","33","215","157147","7","28","19","9","5856","212","220","14","206","151291"
"2022","May","5","12","Delaware","153","261","153","108","74482","78","165","131","34","41578","75","96","22","74","32904","79","167","42101","74","94","32381","1","2","1","1","523","74","94","21","73","32381","5","19","14","5","3260","69","75","7","68","29121"
"2022","May","5","13","Dutchess","834","1292","692","600","955619","338","682","558","124","334187","496","610","134","476","621432","349","716","358240","485","576","597379","11","34","20","14","24053","485","576","114","462","597379","31","102","70","32","51910","454","474","44","430","545469"
"2022","May","5","14","Erie","8287","16231","9114","7117","4270296","3195","7554","5766","1788","1858038","5092","8677","3348","5329","2412258","3236","7654","1879515","5051","8577","2390781","41","100","56","44","21477","5051","8577","3292","5285","2390781","839","3210","2335","875","556148","4212","5367","957","4410","1834633"
"2022","May","5","15","Essex","108","149","84","65","77804","51","91","80","11","23583","57","58","4","54","54221","51","91","23583","57","58","54221","0","0","0","0","0","57","58","4","54","54221","0","0","0","0","0","57","58","4","54","54221"
"2022","May","5","16","Franklin","383","568","235","333","177925","121","248","183","65","63448","262","320","52","268","114477","122","250","63760","261","318","114165","1","2","1","1","312","261","318","51","267","114165","12","44","32","12","9152","249","274","19","255","105013"
"2022","May","5","17","Fulton","228","348","185","163","153667","96","195","161","34","60665","132","153","24","129","93002","97","197","61149","131","151","92518","1","2","1","1","484","131","151","23","128","92518","5","17","11","6","4770","126","134","12","122","87748"
"2022","May","5","18","Genesee","224","351","176","175","111712","84","171","134","37","39330","140","180","42","138","72382","86","176","41255","138","175","70457","2","5","3","2","1925","138","175","39","136","70457","15","51","37","14","10983","123","124","2","122","59474"
"2022","May","5","19","Greene","205","344","195","149","150986","96","203","167","36","63455","109","141","28","113","87531","98","211","64782","107","133","86204","2","8","6","2","1327","107","133","22","111","86204","5","19","14","5","3437","102","114","8","106","82767"
"2022","May","5","20","Hamilton","9","12","3","9","3762","3","6","3","3","1192","6","6","0","6","2570","3","6","1192","6","6","2570","0","0","0","0","0","6","6","0","6","2570","0","0","0","0","0","6","6","0","6","2570"
"2022","May","5","21","Herkimer","361","580","320","260","239244","153","317","267","50","83887","208","263","53","210","155357","158","330","88230","203","250","151014","5","13","8","5","4343","203","250","45","205","151014","11","40","27","13","6790","192","210","18","192","144224"
"2022","May","5","22","Jefferson","759","1222","639","583","517352","295","603","489","114","163295","464","619","150","469","354057","303","622","166001","456","600","351351","8","19","10","9","2706","456","600","140","460","351351","41","137","93","44","25150","415","463","47","416","326201"
"2022","May","5","23","Lewis","71","116","80","36","38215","36","76","68","8","18913","35","40","12","28","19302","37","78","20539","34","38","17676","1","2","1","1","1626","34","38","11","27","17676","0","0","0","0","0","34","38","11","27","17676"
"2022","May","5","24","Livingston","353","544","256","288","208249","130","250","193","57","74052","223","294","63","231","134197","134","259","76665","219","285","131584","4","9","5","4","2613","219","285","58","227","131584","13","45","30","15","10379","206","240","28","212","121205"
"2022","May","5","25","Madison","228","352","217","135","167043","102","187","166","21","55933","126","165","51","114","111110","107","201","58419","121","151","108624","5","14","9","5","2486","121","151","42","109","108624","11","32","22","10","8502","110","119","20","99","100122"
"2022","May","5","26","Monroe","6883","12480","7051","5429","3878315","2793","6037","4758","1279","1697520","4090","6443","2293","4150","2180795","2874","6279","1746956","4009","6201","2131359","81","242","152","90","49436","4009","6201","2141","4060","2131359","689","2388","1687","701","474045","3320","3813","454","3359","1657314"
"2022","May","5","27","Montgomery","308","554","321","233","221181","135","276","226","50","84166","173","278","95","183","137015","138","284","85869","170","270","135312","3","8","4","4","1703","170","270","91","179","135312","31","102","67","35","21636","139","168","24","144","113676"
"2022","May","5","28","Nassau","2953","4725","2154","2571","4437304","797","1671","1358","313","1238735","2156","3054","796","2258","3198569","800","1679","1245783","2153","3046","3191521","3","8","5","3","7048","2153","3046","791","2255","3191521","257","878","618","260","654842","1896","2168","173","1995","2536679"
"2022","May","5","29","Niagara","1407","2234","1282","952","712090","632","1217","1013","204","322844","775","1017","269","748","389246","638","1234","325877","769","1000","386213","6","17","11","6","3033","769","1000","258","742","386213","68","246","175","71","35491","701","754","83","671","350722"
"2022","May","5","30","Oneida","2274","4223","2282","1941","1362583","858","2032","1553","479","523284","1416","2191","729","1462","839299","863","2048","530191","1411","2175","832392","5","16","11","5","6907","1411","2175","718","1457","832392","179","693","500","193","121178","1232","1482","218","1264","711214"
"2022","May","5","31","Onondaga","4686","8925","5005","3920","3260468","1767","4133","3200","933","1209715","2919","4792","1805","2987","2050753","1768","4137","1210347","2918","4788","2050121","1","4","3","1","632","2918","4788","1802","2986","2050121","442","1645","1188","457","366831","2476","3143","614","2529","1683290"
"2022","May","5","32","Ontario","692","1082","569","513","488238","289","584","473","111","188744","403","498","96","402","299494","290","586","189457","402","496","298781","1","2","1","1","713","402","496","95","401","298781","23","78","53","25","17377","379","418","42","376","281404"
"2022","May","5","33","Orange","1341","2303","1240","1063","1480950","498","1041","836","205","530137","843","1262","404","858","950813","506","1063","557239","835","1240","923711","8","22","12","10","27102","835","1240","392","848","923711","127","418","288","130","182853","708","822","104","718","740858"
"2022","May","5","34","Orleans","445","720","371","349","211824","174","361","273","88","97810","271","359","98","261","114014","178","370","100075","267","350","111749","4","9","5","4","2265","267","350","93","257","111749","20","65","45","20","10010","247","285","48","237","101739"
"2022","May","5","35","Oswego","1123","2022","1132","890","671652","498","1100","852","248","299222","625","922","280","642","372430","511","1131","306015","612","891","365637","13","31","15","16","6793","612","891","265","626","365637","65","225","152","73","48814","547","666","113","553","316823"
"2022","May","5","36","Otsego","154","228","110","118","75047","58","117","98","19","27504","96","111","12","99","47543","58","117","27504","96","111","47543","0","0","0","0","0","96","111","12","99","47543","1","4","3","1","97","95","107","9","98","47446"
"2022","May","5","37","Putnam","60","83","53","30","34758","33","51","45","6","17682","27","32","8","24","17076","34","52","17865","26","31","16893","1","1","0","1","183","26","31","8","23","16893","1","5","4","1","505","25","26","4","22","16388"
"2022","May","5","38","Rensselaer","729","1617","1101","516","470794","435","958","747","211","265335","294","659","354","305","205459","440","966","271677","289","651","199117","5","8","2","6","6342","289","651","352","299","199117","92","357","261","96","64635","197","294","91","203","134482"
"2022","May","5","39","Rockland","612","1046","556","490","545296","239","531","420","111","261454","373","515","136","379","283842","245","546","296487","367","500","248809","6","15","9","6","35033","367","500","127","373","248809","22","85","59","26","21955","345","415","68","347","226854"
"2022","May","5","40","St. Lawrence","641","1036","547","489","336614","261","500","398","102","132377","380","536","149","387","204237","261","500","132377","380","536","204237","0","0","0","0","0","380","536","149","387","204237","51","170","116","54","30639","329","366","33","333","173598"
"2022","May","5","41","Saratoga","310","415","241","174","184958","141","230","207","23","69555","169","185","34","151","115403","143","234","70707","167","181","114251","2","4","2","2","1152","167","181","32","149","114251","2","10","7","3","593","165","171","25","146","113658"
"2022","May","5","42","Schenectady","1229","2209","1309","900","881299","519","1099","916","183","341725","710","1110","393","717","539574","522","1103","343082","707","1106","538217","3","4","2","2","1357","707","1106","391","715","538217","104","383","275","108","114241","603","723","116","607","423976"
"2022","May","5","43","Schoharie","126","188","97","91","136187","59","107","87","20","44990","67","81","10","71","91197","60","110","45379","66","78","90808","1","3","1","2","389","66","78","9","69","90808","2","8","6","2","2449","64","70","3","67","88359"
"2022","May","5","44","Schuyler","112","157","81","76","65579","40","71","65","6","20318","72","86","16","70","45261","40","71","20318","72","86","45261","0","0","0","0","0","72","86","16","70","45261","3","9","6","3","2766","69","77","10","67","42495"
"2022","May","5","45","Seneca","206","345","181","164","137828","82","174","132","42","47816","124","171","49","122","90012","85","182","51023","121","163","86805","3","8","5","3","3207","121","163","44","119","86805","16","51","35","16","13511","105","112","9","103","73294"
"2022","May","5","46","Steuben","660","1010","518","492","470049","273","540","439","101","174927","387","470","79","391","295122","273","540","174927","387","470","295122","0","0","0","0","0","387","470","79","391","295122","19","64","42","22","12567","368","406","37","369","282555"
"2022","May","5","47","Suffolk","5019","8034","3765","4269","8639214","1470","3073","2472","601","3308358","3549","4961","1293","3668","5330856","1495","3147","3341117","3524","4887","5298097","25","74","48","26","32759","3524","4887","1245","3642","5298097","381","1341","928","413","1100681","3143","3546","317","3229","4197416"
"2022","May","5","48","Sullivan","476","796","450","346","245624","203","410","340","70","107038","273","386","110","276","138586","205","417","107580","271","379","138044","2","7","5","2","542","271","379","105","274","138044","30","95","63","32","22534","241","284","42","242","115510"
"2022","May","5","49","Tioga","229","348","256","92","147035","138","237","218","19","86261","91","111","38","73","60774","141","240","93495","88","108","53540","3","3","0","3","7234","88","108","38","70","53540","6","17","11","6","4196","82","91","27","64","49344"
"2022","May","5","50","Tompkins","593","836","346","490","411877","176","348","267","81","136647","417","488","79","409","275230","183","366","141038","410","470","270839","7","18","10","8","4391","410","470","69","401","270839","16","49","33","16","11473","394","421","36","385","259366"
"2022","May","5","51","Ulster","772","1269","656","613","988717","292","594","468","126","356738","480","675","188","487","631979","299","610","359675","473","659","629042","7","16","7","9","2937","473","659","181","478","629042","64","198","128","70","118254","409","461","53","408","510788"
"2022","May","5","52","Warren","211","320","164","156","164066","92","189","150","39","73897","119","131","14","117","90169","93","192","74394","118","128","89672","1","3","2","1","497","118","128","12","116","89672","2","6","4","2","2395","116","122","8","114","87277"
"2022","May","5","53","Washington","274","422","234","188","185216","126","235","195","40","75527","148","187","39","148","109689","132","246","80659","142","176","104557","6","11","5","6","5132","142","176","34","142","104557","7","24","17","7","6365","135","152","17","135","98192"
"2022","May","5","54","Wayne","364","565","331","234","190585","173","329","283","46","95303","191","236","48","188","95282","179","349","98522","185","216","92063","6","20","12","8","3219","185","216","36","180","92063","9","35","25","10","5375","176","181","11","170","86688"
"2022","May","5","55","Westchester","4179","7502","3905","3597","5170260","1428","3291","2543","748","1996394","2751","4211","1362","2849","3173866","1432","3302","1998356","2747","4200","3171904","4","11","7","4","1962","2747","4200","1355","2845","3171904","574","1785","1199","586","1004753","2173","2415","156","2259","2167151"
