"county","year","_3yraverage","_3yravgchange","source"
"Solano County","2003","68",,"StreetSaver"
"Solano County","2004","68","0","StreetSaver"
"Solano County","2005","67","-1","StreetSaver"
"Solano County","2006","67","0","StreetSaver"
"Solano County","2007","66","-1","StreetSaver"
"Solano County","2009","66","0","StreetSaver"
"Solano County","2010","66","0","StreetSaver"
"Solano County","2011","66","0","StreetSaver"
"Solano County","2012","66","0","StreetSaver"
"Solano County","2013","64","-2","StreetSaver"
"Solano County","2014","64","0","StreetSaver"
"Solano County","2015","65","1","StreetSaver"
"Solano County","2016","66","1","StreetSaver"
"Solano County","2017","67","1","StreetSaver"
"Sonoma County","2003","57",,"StreetSaver"
"Sonoma County","2004","57","0","StreetSaver"
"Sonoma County","2005","56","-1","StreetSaver"
"Sonoma County","2006","55","-1","StreetSaver"
"Sonoma County","2007","55","0","StreetSaver"
"Sonoma County","2009","55","0","StreetSaver"
"Sonoma County","2010","55","0","StreetSaver"
"Sonoma County","2011","55","0","StreetSaver"
"Sonoma County","2012","54","-1","StreetSaver"
"Sonoma County","2013","54","0","StreetSaver"
"Sonoma County","2014","54","0","StreetSaver"
"Sonoma County","2015","55","1","StreetSaver"
"Sonoma County","2016","55","0","StreetSaver"
"Sonoma County","2017","55","0","StreetSaver"
