"county","year","vmt","population","population_adj","vmtpc","source1","source2"
"Marin County","2003","7850710","247342","241166","32.6","Ct_HPMSLib","DOF"
"Marin County","2004","7902140","246990","240823","32.8","Ct_HPMSLib","DOF"
"Marin County","2005","8027930","246688","240529","33.4","Ct_HPMSLib","DOF"
"Marin County","2006","8010860","246969","240803","33.3","Ct_HPMSLib","DOF"
"Marin County","2007","7930420","248025","241832","32.8","Ct_HPMSLib","DOF"
"Marin County","2008","7710210","249546","243315","31.7","Ct_HPMSLib","DOF"
"Marin County","2009","7650670","250760","244499","31.3","Ct_HPMSLib","DOF"
"Marin County","2010","8129150","252409","246107","33.0","Ct_HPMSLib","DOF"
"Marin County","2011","7722620","253964","247623","31.2","Ct_HPMSLib","DOF"
"Marin County","2012","7400930","255812","249425","29.7","Ct_HPMSLib_revised","DOF"
"Marin County","2013","7404360","257228","250805","29.5","Ct_HPMSLib_revised","DOF"
"Marin County","2014","7575330","260294","253795","29.8","Ct_HPMSLib","DOF"
"Napa County","2001","3001230","125396","122770","24.4","Ct_HPMSLib","DOF"
"Napa County","2002","3210190","127064","124403","25.8","Ct_HPMSLib","DOF"
"Napa County","2003","3145870","128683","125988","25.0","Ct_HPMSLib","DOF"
"Napa County","2004","3151800","129814","127095","24.8","Ct_HPMSLib","DOF"
"Napa County","2005","3164680","130472","127739","24.8","Ct_HPMSLib","DOF"
"Napa County","2006","3150030","131330","128579","24.5","Ct_HPMSLib","DOF"
"Napa County","2007","3297730","132537","129761","25.4","Ct_HPMSLib","DOF"
"Napa County","2008","3197850","133969","131163","24.4","Ct_HPMSLib","DOF"
"Napa County","2009","3182810","135225","132393","24.0","Ct_HPMSLib","DOF"
"Napa County","2010","3181030","136484","133625","23.8","Ct_HPMSLib","DOF"
"Napa County","2011","2946680","136913","134045","22.0","Ct_HPMSLib","DOF"
"Napa County","2012","3172110","138074","135182","23.5","Ct_HPMSLib_revised","DOF"
"Napa County","2013","3210480","138844","135936","23.6","Ct_HPMSLib_revised","DOF"
"Napa County","2014","3310330","140254","137317","24.1","Ct_HPMSLib","DOF"
"San Francisco County","2001","9580510","780614","775414","12.4","Ct_HPMSLib","DOF"
"San Francisco County","2002","9993260","782765","777551","12.9","Ct_HPMSLib","DOF"
"San Francisco County","2003","9938430","782599","777386","12.8","Ct_HPMSLib","DOF"
"San Francisco County","2004","9856200","781308","776104","12.7","Ct_HPMSLib","DOF"
"San Francisco County","2005","9096870","780187","774990","11.7","Ct_HPMSLib","DOF"
"San Francisco County","2006","9442700","781295","776091","12.2","Ct_HPMSLib","DOF"
"San Francisco County","2007","9502530","787127","781884","12.2","Ct_HPMSLib","DOF"
"San Francisco County","2008","9293800","795002","789706","11.8","Ct_HPMSLib","DOF"
"San Francisco County","2009","8800370","800239","794909","11.1","Ct_HPMSLib","DOF"
"San Francisco County","2010","8796870","805235","799871","11.0","Ct_HPMSLib","DOF"
"San Francisco County","2011","8373400","815854","810420","10.3","Ct_HPMSLib","DOF"
"San Francisco County","2012","9009770","826103","820600","11.0","Ct_HPMSLib_revised","DOF"
"San Francisco County","2013","8991060","839564","833972","10.8","Ct_HPMSLib_revised","DOF"
"San Francisco County","2014","8812170","848186","842536","10.5","Ct_HPMSLib","DOF"
"San Mateo County","2001","18885220","707965","704462","26.8","Ct_HPMSLib","DOF"
"San Mateo County","2002","19974270","706213","702718","28.4","Ct_HPMSLib","DOF"
"San Mateo County","2003","19223030","704014","700530","27.4","Ct_HPMSLib","DOF"
"San Mateo County","2004","18748890","702254","698779","26.8","Ct_HPMSLib","DOF"
"San Mateo County","2005","18760410","700350","696884","26.9","Ct_HPMSLib","DOF"
"San Mateo County","2006","18269140","699347","695886","26.3","Ct_HPMSLib","DOF"
"San Mateo County","2007","18343970","701838","698365","26.3","Ct_HPMSLib","DOF"
"San Mateo County","2008","17820530","707820","704317","25.3","Ct_HPMSLib","DOF"
"San Mateo County","2009","17632700","713818","710286","24.8","Ct_HPMSLib","DOF"
"San Mateo County","2010","17400430","718451","714896","24.3","Ct_HPMSLib","DOF"
"San Mateo County","2011","19342190","726305","722711","26.8","Ct_HPMSLib","DOF"
"San Mateo County","2012","19342190","735256","731618","26.4","Ct_HPMSLib_revised","DOF"
"San Mateo County","2013","18680360","745626","741936","25.2","Ct_HPMSLib_revised","DOF"
"San Mateo County","2014","19079470","752145","748423","25.5","Ct_HPMSLib","DOF"
"Santa Clara County","2001","41444740","1690366","1681502","24.6","Ct_HPMSLib","DOF"
"Santa Clara County","2002","42674740","1693230","1684351","25.3","Ct_HPMSLib","DOF"
"Santa Clara County","2003","42213520","1693752","1684870","25.1","Ct_HPMSLib","DOF"
"Santa Clara County","2004","40619360","1695602","1686710","24.1","Ct_HPMSLib","DOF"
"Santa Clara County","2005","40849150","1698234","1689328","24.2","Ct_HPMSLib","DOF"
"Santa Clara County","2006","42180970","1706676","1697726","24.8","Ct_HPMSLib","DOF"
"Santa Clara County","2007","41853740","1725066","1716020","24.4","Ct_HPMSLib","DOF"
"Santa Clara County","2008","41160710","1747912","1738746","23.7","Ct_HPMSLib","DOF"
"Santa Clara County","2009","40695560","1767204","1757937","23.1","Ct_HPMSLib","DOF"
"Santa Clara County","2010","39402370","1781642","1772299","22.2","Ct_HPMSLib","DOF"
"Santa Clara County","2011","41250490","1803362","1793905","23.0","Ct_HPMSLib","DOF"
"Santa Clara County","2012","41478310","1828496","1818907","22.8","Ct_HPMSLib_revised","DOF"
"Santa Clara County","2013","41620420","1856194","1846460","22.5","Ct_HPMSLib_revised","DOF"
"Santa Clara County","2014","42835780","1879813","1869955","22.9","Ct_HPMSLib","DOF"
"Solano County","2001","11589180","399476","389881","29.7","Ct_HPMSLib","DOF"
"Solano County","2002","12237500","404895","395170","31.0","Ct_HPMSLib","DOF"
"Solano County","2003","12905600","407882","398085","32.4","Ct_HPMSLib","DOF"
"Solano County","2004","13109460","410164","400313","32.7","Ct_HPMSLib","DOF"
"Solano County","2005","13013970","410985","401114","32.4","Ct_HPMSLib","DOF"
"Solano County","2006","12697620","410964","401093","31.7","Ct_HPMSLib","DOF"
"Solano County","2007","12825540","411998","402103","31.9","Ct_HPMSLib","DOF"
"Solano County","2008","12158440","412908","402991","30.2","Ct_HPMSLib","DOF"
"Solano County","2009","12752400","412832","402916","31.7","Ct_HPMSLib","DOF"
"Solano County","2010","12554060","413344","403416","31.1","Ct_HPMSLib","DOF"
"Solano County","2011","12301950","413438","403508","30.5","Ct_HPMSLib","DOF"
"Solano County","2012","12236290","415862","405874","30.1","Ct_HPMSLib_revised","DOF"
"Solano County","2013","12311220","419057","408992","30.1","Ct_HPMSLib_revised","DOF"
"Solano County","2014","12741070","423003","412843","30.9","Ct_HPMSLib","DOF"
"Sonoma County","2001","10347220","462958","459237","22.5","Ct_HPMSLib","DOF"
"Sonoma County","2002","10807820","465726","461983","23.4","Ct_HPMSLib","DOF"
"Sonoma County","2003","10498560","467139","463384","22.7","Ct_HPMSLib","DOF"
"Sonoma County","2004","10659330","469103","465332","22.9","Ct_HPMSLib","DOF"
"Sonoma County","2005","10658140","469734","465958","22.9","Ct_HPMSLib","DOF"
"Sonoma County","2006","10616040","469751","465975","22.8","Ct_HPMSLib","DOF"
"Sonoma County","2007","11333870","471479","467689","24.2","Ct_HPMSLib","DOF"
"Sonoma County","2008","10983970","474819","471002","23.3","Ct_HPMSLib","DOF"
"Sonoma County","2009","10906840","478622","474775","23.0","Ct_HPMSLib","DOF"
"Sonoma County","2010","11183590","483878","479989","23.3","Ct_HPMSLib","DOF"
"Sonoma County","2011","10931740","485417","481515","22.7","Ct_HPMSLib","DOF"
"Sonoma County","2012","10698970","487487","483569","22.1","Ct_HPMSLib_revised","DOF"
"Sonoma County","2013","10899370","491650","487698","22.3","Ct_HPMSLib_revised","DOF"
"Sonoma County","2014","11461970","495253","491272","23.3","Ct_HPMSLib","DOF"
"Contra Costa County","2015","23507310","1111143","1102212","21.3","Ct_HPMSLib","DOF"
"Alameda County","2015","41698620","1610765","1597818","26.1","Ct_HPMSLib","DOF"
"Napa County","2015","3329610","140898","139765","23.8","Ct_HPMSLib","DOF"
"Marin County","2015","7563570","261798","259694","29.1","Ct_HPMSLib","DOF"
"Sonoma County","2015","11448570","499352","495338","23.1","Ct_HPMSLib","DOF"
"San Mateo County","2015","19531750","759155","753053","25.9","Ct_HPMSLib","DOF"
"San Francisco County","2015","8843860","857508","850615","10.4","Ct_HPMSLib","DOF"
"Solano County","2015","13153970","426704","423274","31.1","Ct_HPMSLib","DOF"
"Santa Clara County","2015","42893770","1903974","1888670","22.7","Ct_HPMSLib","DOF"
