"the_geom","objectid","businessaddress","businessname","city","ownername","permittype","state","suite","zip","locationx","locationy"
"POINT (-90.057682124005 29.963811018817)","3","609 FRENCHMEN ST","APPLE BARREL","NEW ORLEANS","ADLOFO'S RESTAURANT INC","8405 - Orchestras in Businesses/No Admission Charged","LA",,"70116","3684757.59573","534578.283717"
"POINT (-90.077782901246 29.942769763957)","122","1228 ORETHA CASTLE HALEY BLVD","THE RABBIT HOLE","NEW ORLEANS","1228 OC HALEY LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70113","3678476.97922","526856.60787"
"POINT (-90.057709893302 29.96409016215)","126","623 FRENCHMEN ST","THE SPOTTED CAT MUSIC CLUB","NEW ORLEANS","621-623 PROPERTIES LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70116","3684747.67317","534679.692678"
"POINT (-90.067445826614 29.956741440916)","60","423 BOURBON ST","HUSTLER'S BARELY LEGAL","NEW ORLEANS","SB ENTERTAINMENT INC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70130","3681694.54268","531973.238275"
"POINT (-90.065809301453 29.958569875479)","74","641 BOURBON ST","MAISON BOURBON JAZZ CLUB","NEW ORLEANS","MAISON BOURBON JAZZ CLUBLLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3682205.39298","532643.85306"
"POINT (-90.066727688252 29.957282059155)","127","516 BOURBON ST","THE SWAMP ON BOURBON","NEW ORLEANS","516 ENTERPRISES LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3681919.76808","532172.339779"
"POINT (-90.06691386211 29.957350237892)","92","511 BOURBON ST","RAZZOO","NEW ORLEANS","BOURBON NITE-LIFE LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3681860.54223","532196.480579"
"POINT (-90.065863145018 29.95850142781)","134","635 BOURBON ST","TICKLER'S AT MY BAR 635 BOURBON","NEW ORLEANS","635 BOURBON ST LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70116","3682188.61909","532618.774532"
"POINT (-90.060510635556 29.959172962573)","78","1000 DECATUR ST","MARKET CAFE","NEW ORLEANS","BON JOUR CAFE INC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70116","3683880.74709","532881.756228"
"POINT (-90.063580998587 29.961056190291)","66","941 BOURBON ST","LAFITTE'S BLACKSMITH SHOP","NEW ORLEANS","BLACKSMITH MANAGEMENT, INC.","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70116","3682900.95292","533555.780869"
"POINT (-90.076989294557 29.951922709288)","104","3829 CLEMATIS ST","SKINNY'S TAVERN & MARIE'S KITCHEN","NEW ORLEANS","J & M RESTAURANT CORP","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70122","3678691.8167","530187.70942"
"POINT (-90.066512307081 29.957536679603)","45","530 BOURBON ST","FUEGO","NEW ORLEANS","530 FUEGO BOURBON,LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3681986.9444","532265.683267"
"POINT (-90.055902060542 29.968886343782)","21","2227 ST CLAUDE AVE","CARNAVAL LOUNGE","NEW ORLEANS","ST CLAUDE ST PROJECT LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70117","3685300.63644","536430.138119"
"POINT (-90.066353090606 29.957716813013)","46","544 BOURBON ST","FUNKY 544","NEW ORLEANS","FUNKY 544, LLC.","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3682036.63554","532331.743875"
"POINT (-90.058264989923 29.961941836873)","6","1331 DECATUR ST","BALCONY MUSIC CLUB","NEW ORLEANS","LOWER DECATUR ENTERTAINMENT LLC","8405 - Orchestras in Businesses/No Admission Charged","LA",,"70116","3684580.60796","533896.526149"
"POINT (-90.057835335742 29.96240536559)","143","1407 DECATUR ST","VASO","NEW ORLEANS","VASO LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70116","3684714.77468","534066.596421"
"POINT (-90.078584122045 29.943891961326)","26","1201 S RAMPART ST","CENTRAL CITY BARBEQUE","NEW ORLEANS","CCBBQ,LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70113","3678218.76859","527261.900287"
"POINT (-90.064064797325 29.969805178782)","88","1328 SAINT BERNARD AVE","POOR BOYS","NEW ORLEANS","POOR BOYS ST BERNARD,LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70116","3682712.52284","536735.540615"
"POINT (-90.066977107802 29.96187540476)","50","834 N RAMPART ST","GRANDPRE'S","NEW ORLEANS","MP COOKIE LLC.","8405 - Orchestras in Businesses/No Admission Charged","LA","STE 1","70116","3681822.32975","533841.777285"
"POINT (-90.068809215521 29.954559606837)","121","727 IBERVILLE ST","THE PENTHOUSE CLUB","NEW ORLEANS","AMERICAN RESTAURANT, INC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70130","3681271.58133","531175.076226"
"POINT (-90.06817634301 29.955210999624)","56","730 BIENVILLE ST","HOTEL MAZARIN","NEW ORLEANS","NEW ORLEANS HOTEL COLLECTION LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3681469.36956","531414.158723"
"POINT (-90.115797723953 29.961369938513)","79","8126 EARHART BLVD","MID CITY RESTAURANT & LANES","NEW ORLEANS","YE OLDE MEMORIES , LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70118","3666366.00525","533490.421764"
"POINT (-90.076989294557 29.951922709288)","128","1236 N CLAIBORNE AVE","THE TREME HIDEAWAY","NEW ORLEANS","THE TREME HIDEWAY LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70116","3678691.8167","530187.70942"
"POINT (-90.055423361493 29.968930260519)","54","2239 ST CLAUDE AVE","HI HO LOUNGE","NEW ORLEANS","TIN MAN ENTERPRISES, LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70117","3685452.01986","536447.798023"
"POINT (-90.055079833781 29.968567048275)","61","2256 ST CLAUDE AVE","KAJUN VIEUX CARRE PUB","NEW ORLEANS","KAJUN VIEUX CARRE PUB   LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70117","3685562.25794","536316.933575"
"POINT (-90.068669979685 29.978721267013)","100","2169 AUBRY ST","SEAL'S CLASS ACT","NEW ORLEANS","SEALS CLASS ACT, LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70119","3681218.69948","539961.645642"
"POINT (-90.067698175201 29.95324505439)","73","125 CHARTRES ST","MAHOGANY JAZZ HALL","NEW ORLEANS","THE HAREM INC","8593 - Adult Entertainment/No Admission Charged","LA",,"70130","3681628.67983","530700.941122"
"POINT (-90.065928324209 29.942702292521)","120","907 S PETERS ST","THE HOWLIN' WOLF","NEW ORLEANS","CAT & DOG INC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70130","3682231.52719","526873.404542"
"POINT (-90.033182607586 29.959784206311)","5","600  POLAND AVE","BACCHANAL","NEW ORLEANS","BACCHANAL, LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70117","3692531.41104","533201.17978"
"POINT (-90.084247203174 30.003198153503)","103","4524 BANCROFT DR","SIDNEY'S SALOON","NEW ORLEANS","TAROB HOLDINGS,LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70122","3676190.22939","548808.307795"
"POINT (-90.067062822826 29.956928751155)","41","440 BOURBON ST","FAT CATZ MUSIC CLUB","NEW ORLEANS","FAT CATZ MUSIC CLUB INC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3681815.06805","532042.691203"
"POINT (-90.060249261674 29.959460656626)","49","1016 DECATUR ST","GAZEBO CAFE","NEW ORLEANS","GAZEBO CAFE, LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70116","3683962.34677","532987.291588"
"POINT (-90.076989294557 29.951922709288)","111","817 ST. LOUIS STREET","STARLIGHT LOUNGE","NEW ORLEANS","MS. CHOPSLEY, LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70112","3678691.8167","530187.70942"
"POINT (-90.063758244298 29.969316437724)","51","1300 ST BERNARD AVE","GREEN ROOM KUKHNYA","NEW ORLEANS","1300 HOOTS ON THE AVE LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70116","3682811.5492","536558.891399"
"POINT (-90.065903472564 29.953582884153)","22","239 DECATUR ST","CARRE RESTAURANT AND BAR","NEW ORLEANS","THE MUSE GROUP,LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3682195.63317","530830.069826"
"POINT (-90.073451004151 29.94937932082)","28","533 BARONNE ST","CIVIC THEATRE","NEW ORLEANS","CIVIC THEATRE OPERATING COMPANY LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70113","3679822.43957","529275.142273"
"POINT (-90.065140415821 29.959297045852)","44","733 BOURBON ST","FRITZEL'S EUROPEAN JAZZ PUB","NEW ORLEANS","FRITZEL'S OF BOURBON STREET, LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70116","3682414.26504","532910.622596"
"POINT (-90.068222497066 29.955876722013)","95","315 BOURBON ST","RICK'S CABARET","NEW ORLEANS","RCI ENTERTAINMENT LOUISIANA, INC","8593 - Adult Entertainment/No Admission Charged","LA",,"70130","3681452.08207","531656.078659"
"POINT (-90.104386464355 29.967760000049)","30","3940 TULANE AVE","CLUB PRESSURE","NEW ORLEANS","MALLET ENTERPRISES, INC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70119","3669954.30311","535852.667271"
"POINT (-90.066378347206 29.957947067483)","106","601 BOURBON ST","SLUSH OF NEW ORLEANS","NEW ORLEANS","CCRC 601 BOURBON,LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3682027.71234","532415.384515"
"POINT (-90.076989294557 29.951922709288)","15","217 BOURBON  ST","BOURBON STREET DRINKERY","NEW ORLEANS","217 BOURBON, LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3678691.8167","530187.70942"
"POINT (-90.052441842453 29.968696145549)","19","2372 ST CLAUDE AVE","CAFE ISTANBUL","NEW ORLEANS","AYDIN & PERKINS,LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA","140","70117","3686396.95228","536373.205191"
"POINT (-90.071030376898 29.95488864286)","123","921 CANAL ST","THE RITZ-CARLTON HOTEL","NEW ORLEANS","THE RITZ-CARLTON HOTEL C","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70112","3680566.91771","531286.97037"
"POINT (-90.066132250288 29.953264804577)","58","225 DECATUR ST","HOUSE OF BLUES RESTAURANT","NEW ORLEANS","HOUSE OF BLUES NEW ORLEANS RESTAURANT CORP.","8440 - Music for Entertainment,Dancing/Admission Charged","LA","SUITE B","70130","3682124.4678","530713.603522"
"POINT (-90.130681050238 29.94794944046)","70","8140 OAK ST","LIVE OAK CAFE","NEW ORLEANS","GOOD FOOD,GOOD TIMES,LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70118","3661704.61856","528560.438144"
"POINT (-90.066209404889 29.958164314955)","109","615 BOURBON ST","SPIRITS ON BOURBON","NEW ORLEANS","TURTLE BAY ON BOURBON, LLC","8405 - Orchestras in Businesses/No Admission Charged","LA",,"70130","3682080.33365","532494.975044"
"POINT (-90.054970095174 29.966832767709)","86","2317 BURGUNDY ST","PETER AND PAUL HOTEL","NEW ORLEANS","PETER AND PAUL MT LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70117","3685604.03804","535686.672647"
"POINT (-90.128000296928 29.940450826086)","87","733 CHEROKEE ST","PHILLIPS BAR & RESTAURANT","NEW ORLEANS","PHILLIPS BAR & RESTAURANT, INC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70118-5051","3662582.24192","525842.575293"
"POINT (-90.057474350924 29.972683443443)","71","1500 ELYSIAN FIELDS AVE","MADAME VIC'S LLC","NEW ORLEANS","MADAME VIC'S","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70117","3684787.45788","537805.358536"
"POINT (-90.065508244466 29.958902070797)","13","711 BOURBON ST","BOURBON HEAT","NEW ORLEANS","BOURBON HEAT LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70116","3682299.38447","532765.705988"
"POINT (-90.059606180972 29.968448530285)","112","1931 ST CLAUDE AVE","SWEET LORRAINE'S JAZZ CLUB","NEW ORLEANS","SWEET LORRAINE'S JAZZ CLUB LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70116","3684129.64098","536257.877191"
"POINT (-90.088813687171 29.929605952739)","116","3029 ST CHARLES AVE","THE ELMS MANSION","NEW ORLEANS","THE VAN BENTHUYSEN-ELMS MANSION","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70115","3675035.57947","522031.654074"
"POINT (-90.072159932624 29.948409584778)","2","600 CARONDELET ST","ACE HOTEL","NEW ORLEANS","ACE GROUP NEW ORLEANS LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70130","3680235.16879","528927.008512"
"POINT (-90.107880602909 29.934872398175)","48","4920 FRERET ST","GASA GASA","NEW ORLEANS","MOR YAY MUSIC, LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70115","3668975.90362","523881.63846"
"POINT (-90.090069861045 29.932116998301)","89","3000 DRYADES ST","PORTSIDE LOUNGE","NEW ORLEANS","PORTSIDE INVESTMENTS,LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70115","3674627.79604","522940.442427"
"POINT (-90.123568057604 29.941215470893)","115","1039 BROADWAY ST","THE BOOT","NEW ORLEANS","CJN, INC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70118","3663983.01044","526135.42227"
"POINT (-90.069525160203 29.954417633738)","52","125 BOURBON ST","HARD ROCK CAFE","NEW ORLEANS","HARD ROCK CAFE INTL. STP  INC ATTN: TAX DEPARTMENT","8405 - Orchestras in Businesses/No Admission Charged","LA",,"70130","3681045.44232","531120.948546"
"POINT (-90.075728141914 29.975550705906)","29","2441 BAYOU RD","CLUB CARIBBEAN","NEW ORLEANS","CLUB CARIBBEAN, LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70119","3678996.87918","538784.115529"
"POINT (-90.064697095506 29.959576046932)","82","800 BOURBON ST","OZ","NEW ORLEANS","800  ENTERPRISES LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70116","3682553.51528","533013.631428"
"POINT (-90.057876444806 29.963734961591)","20","606 FRENCHMEN ST","CAFE NEGRIL","NEW ORLEANS","CLUB NEGRIL LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70116","3684696.37628","534549.941445"
"POINT (-90.065280395225 29.95915276712)","141","721 BOURBON ST","TROPICAL ISLE BOURBON STREET","NEW ORLEANS","721 BOURBON INC","8405 - Orchestras in Businesses/No Admission Charged","LA",,"70116","3682370.52245","532857.666884"
"POINT (-90.059763589332 29.959985104923)","7","1104 DECATUR ST","BB KING'S BLUES CLUB","NEW ORLEANS","BSBC-NEW ORLEANS LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70116","3684114.01065","533179.709188"
"POINT (-90.076989294557 29.951922709288)","4","901-903 LOUISIANA AVE","ATCHAFALAYA","NEW ORLEANS","JAFFE REST LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70115","3678691.8167","530187.70942"
"POINT (-90.067925259824 29.956230160107)","39","339 BOURBON ST","FAMOUS DOOR","NEW ORLEANS","MBS MANAGEMENT LLC","8405 - Orchestras in Businesses/No Admission Charged","LA",,"70130","3681544.78351","531785.640835"
"POINT (-90.065208561042 29.959239352796)","47","727 BOURBON ST","FUNKY PIRATE","NEW ORLEANS","727, INCORPORATED","8405 - Orchestras in Businesses/No Admission Charged","LA",,"70116","3682392.91944","532889.404356"
"POINT (-90.06627177124 29.949800254419)","148","300 GRAVIER ST","WINDSOR COURT HOTEL","NEW ORLEANS","AIMBRIDGE CONCESSIONS, INC.","8405 - Orchestras in Businesses/No Admission Charged","LA",,"70130","3682094.21813","529453.277569"
"POINT (-90.067325315156 29.956876887864)","62","433 BOURBON ST","KAMA SUTRA CABARET","NEW ORLEANS","429 BOURBON HOSPITALITY LLC","8594 - Adult Entertainment/Admission Charged","LA",,"70130","3681732.15836","532022.913411"
"POINT (-90.069314710239 29.951134331405)","65","614 GRAVIER ST","LABARRE","NEW ORLEANS","614 GRAVIER,LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3681125.25352","529927.754177"
"POINT (-90.057801171846 29.962795487197)","75","508 FRENCHMEN ST","MAISON DE LA MUSIQUE","NEW ORLEANS","SHORELEAVE LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70116","3684724.01282","534208.579333"
"POINT (-90.067274211779 29.956931383372)","69","435 BOURBON ST","LITTLE TROPICAL ISLE","NEW ORLEANS","P & E LLC","8405 - Orchestras in Businesses/No Admission Charged","LA",,"70130","3681748.12117","532042.908803"
"POINT (-90.033607152656 29.961909286969)","144","800 LESSEPS ST","VAUGHANS LOUNGE","NEW ORLEANS","WOOD, LAURA B","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70117","3692388.21833","533972.410309"
"POINT (-90.059472070631 29.960598401358)","98","1135 DECATUR ST","SANTOS","NEW ORLEANS","1135 SAINT FQ","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70116","3684203.83746","533403.752772"
"POINT (-90.073301739977 29.948987394393)","145","550 BARONNE ST","VIRGIN HOTELS NEW ORLEANS","NEW ORLEANS","NEW ORLEANS BARONNE STREET HOTEL OPERATOR LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70113","3679871.27515","529133.143296"
"POINT (-90.072448040446 29.963600663097)","129","1600 BASIN ST","THE WELL","NEW ORLEANS","JUS US ENTERTAINMENT,LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70116","3680083.14523","534450.042117"
"POINT (-90.098099600274 29.983496495403)","91","900 CITY PARK AVE","RALPH'S ON THE PARK","NEW ORLEANS","900 CITY PARK AVENUE LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70119","3671883.13575","541596.47182"
"POINT (-90.063233957185 29.956002452179)","17","600 DECATUR ST","CAFE BEIGNET DECATUR","NEW ORLEANS","CAFE BEIGNET,LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA","STE:101B-103","70130","3683031.20853","531719.273731"
"POINT (-90.066220101166 29.957862410678)","139","600 BOURBON ST","TROP ISLE'S ORIG PAPA JOE'S   CAFE","NEW ORLEANS","TROP ISLE'S ORIG PAPA JOINC","8405 - Orchestras in Businesses/No Admission Charged","LA",,"70130","3682078.16098","532385.154115"
"POINT (-90.057464727736 29.961947790607)","131","437 ESPLANADE AVE","THE YARD ON FRENCHMEN","NEW ORLEANS","NOLA CANTINA, LLC.","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70118","3684833.97321","533901.511685"
"POINT (-90.066813570936 29.957198371394)","8","508 BOURBON ST","BIG DADDY'S","NEW ORLEANS","508 BOURBON LLC","8593 - Adult Entertainment/No Admission Charged","LA",,"70130","3681892.90984","532141.607555"
"POINT (-90.057830789342 29.963031946907)","1","520 FRENCHMEN ST","30 90","NEW ORLEANS","FRENCHMEN STREET ENTERTAINMENT LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70116","3684713.67772","534294.460485"
"POINT (-90.024469136365 30.02455410966)","101","7140 DOWNMAN RD","SEVEN","NEW ORLEANS","BUNDEE'S INC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70126","3695021.39734","556785.33513"
"POINT (-90.05741349635 29.961888753706)","38","435 ESPLANADE AVE","DRAGON'S DEN","NEW ORLEANS","435 ESPLANADE, LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70116","3684850.43394","533880.224389"
"POINT (-90.05789158742 29.964124278964)","107","626 FRENCHMEN ST","SNUG HARBOR JAZZ BISTRO OF LA","NEW ORLEANS","SNUG HARBOR JAZZ BISTRO OF LA LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70116","3684690.00578","534691.458118"
"POINT (-90.106264250239 29.920584573683)","68","4801 MAGAZINE ST","LE BON TEMP ROULE","NEW ORLEANS","LBTR, LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70115","3669543.4747","518691.538551"
"POINT (-90.072405077333 29.964693152863)","138","800 N CLAIBORNE AVE","TREME MARKET BRANCH","NEW ORLEANS","TREME MARKET BRANCH","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70116","3680092.37711","534847.461766"
"POINT (-90.076989294557 29.951922709288)","105","3829 CLEMATIS ST","SKINNY'S TAVERN & MARIE'S KITCHEN","NEW ORLEANS","J & M RESTAURANT CORP","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70122","3678691.8167","530187.70942"
"POINT (-90.057628258242 29.963254597879)","42","525 FRENCHMEN ST","FAVELA CHIC","NEW ORLEANS","FAVELA CHIC LLC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70116","3684776.90357","534376.138501"
"POINT (-90.0690453664 29.940719521492)","124","1102 CONSTANCE ST","THE RUSTY NAIL","NEW ORLEANS","SAKE, LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70130","3681252.33301","526141.49171"
"POINT (-90.052511510175 29.969920607101)","110","1200 ST ROCH AVE","ST ROCH TAVERN","NEW ORLEANS","SOLARIUM ENT INC","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70117","3686369.9174","536818.21812"
"POINT (-90.069764780214 29.944018760547)","43","869 MAGAZINE ST","FLAMINGO A GO GO","NEW ORLEANS","869 MAGAZINE, LLC.","8255 - Music for Entertainment,Dancing/No Admission Charged","LA",,"70130","3681011.26427","527338.701375"
"POINT (-90.04392826302 29.962930259628)","33","634 LOUISA ST","COUNTRY CLUB","NEW ORLEANS","COUNTRY CLUB INC.","8405 - Orchestras in Businesses/No Admission Charged","LA",,"70117","3689116.04143","534306.750789"
"POINT (-90.129407658554 29.949522327251)","130","8200 WILLOW ST","THE WILLOW","NEW ORLEANS","LUCKY TAB, LLC","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70118","3662101.86599","529136.635328"
"POINT (-90.083083176663 29.954376189627)","108","633 S ROMAN ST","SPADES","NEW ORLEANS","MIJO 3 ENTERPRISES","8440 - Music for Entertainment,Dancing/Admission Charged","LA",,"70112","3676752.35995","531058.779202"
