"the_geom","objectid","businessaddress","businessname","businessstartdate","businesstype","city","locationx","locationy","state","suite","zip"
"POINT (-90.051163594836 29.967776295863)","213","2532 N RAMPART ST","2532 N RAMPART STREET, LLC","2016-10-12","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3686805.40278","536043.240199","LA",,"70117"
"POINT (-90.063132726708 29.959981358947)","270","915 ROYAL ST","CORNSTALK HOTEL","1982-07-02","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3683047.22428","533166.505668","LA","001","70116"
"POINT (-90.076989294557 29.951922709288)","352","10020 I-10 SERVICE RD","QUALITY INN","2018-12-22","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3678691.8167","530187.70942","LA",,"70127"
"POINT (-90.074331791275 29.95643134643)","169","1300 CANAL ST","HOTEL VINACHE","2021-04-27","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3679515.34165","531836.453187","LA",,"70112"
"POINT (-90.075164747808 29.941778911262)","170","1210 CARONDELET ST","HOSTEEVA, LLC","2021-08-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3679310.09013","526505.392382","LA","APT B","70130"
"POINT (-90.072394720726 29.949763203769)","286","820 POYDRAS ST","DRURY INN NEW ORLEANS","2009-02-16","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3680155.40034","529418.415425","LA",,"70112"
"POINT (-90.068735244775 29.949815205142)","210","530 NATCHEZ ST","THE NATCHEZ NEW ORLEANS MT","2016-01-13","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3681314.0454","529450.096385","LA",,"70130"
"POINT (-90.072310244053 29.935318290793)","237","1441 MAGAZINE ST","TERRELL HOUSE","2004-03-26","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3680239.9588","524166.015356","LA",,"70130"
"POINT (-90.071414465823 29.937478601385)","23","1332 MAGAZINE ST","THE TOWNHOUSE","2016-01-08","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3680515.01647","524954.705533","LA",,"70130"
"POINT (-90.067216483252 29.958087296477)","272","828 TOULOUSE ST","OLIVIER HOUSE HOTEL","1983-12-10","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3681761.7565","532463.443396","LA",,"70112-3422"
"POINT (-90.041735588665 29.9623358285)","345","631 DESIRE ST","631 DESIRE LLC","2017-05-31","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3689812.743","534098.413637","LA",,"70117"
"POINT (-90.093971085683 29.927114539085)","78","3626 ST CHARLES AVE","HAMPTON INN NEW ORLEANS-ST.CHARLES AVE./GARDEN DIS","2022-02-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3673411.84174","521107.980217","LA",,"70115"
"POINT (-90.06859372777 29.95317636328)","316","623 CANAL ST","SONDER USA","2021-04-06","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3681345.36917","530672.83117","LA",,"70130"
"POINT (-90.055531003336 29.966721328857)","349","2233 BURGUNDY ST","WELCOME ABROAD LLC","2018-05-23","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3685426.8966","535644.168646","LA",,"70117"
"POINT (-90.074643014889 29.974160125824)","114","2257 BAYOU RD","BENACHI HOUSE","2017-05-18","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3679345.97474","538282.219913","LA",,"70119"
"POINT (-90.071031221943 29.952146463083)","188","226  CARONDELET ST","HAMPTON INN FRENCH QUARTER","2021-11-24","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3680577.63528","530289.810113","LA",,"70130"
"POINT (-90.087100591432 29.925409769097)","92","1221 HARMONY ST","MAISON LAFAYETTE","2000-02-08","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3675594.77537","520511.667768","LA",,"70115"
"POINT (-90.105011810141 29.968637975177)","158","4025 TULANE AVE","CRYSTAL INN","2019-02-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3669752.88622","536169.809799","LA",,"70119"
"POINT (-90.056185223 29.963710152976)","347","601 ELYSIAN FIELDS AVE","MAISON DES LUNES, LLC","2018-01-31","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3685231.96367","534546.884613","LA",,"70117"
"POINT (-90.067180212506 29.9485129285)","146","501 TCHOUPITOULAS ST","KIMPTON HOTEL RESTAURANT","2019-08-08","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3681811.71298","528981.979328","LA",,"70130"
"POINT (-90.070987854949 29.938929088365)","98","1212 MAGAZINE ST","THE GREEN HOUSE INN","2006-05-26","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3680644.31823","525483.642749","LA",,"70130"
"POINT (-90.073228679477 29.953510906255)","157","210 O'KEEFE AVE","MONARCH NEW ORLEANS, LP","2018-09-14","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3679876.32213","530778.312898","LA",,"70112"
"POINT (-90.063205079217 29.959863194197)","324","905 ROYAL ST","905 ROYAL HOTEL","1999-01-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3683024.79112","533123.2825","LA",,"70116"
"POINT (-89.989837336823 30.013715345256)","278","8310 CHEF MENTEUR HWY","ECONOMY INN","1996-11-25","4704 - TRAVELER ACCOMMODATION, ALL OTH","NEW ORLEANS","3706026.2442","552970.789591","LA",,"70126"
"POINT (-90.067190433414 29.946824521229)","73","632 TCHOUPITOULAS ST","CAMBRIA NEW ORLEANS DOWNTOWN","2017-08-24","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3681815.26069","528367.977216","LA",,"70130"
"POINT (-90.098877810743 29.924666104592)","328","4117 PERRIER ST","MAISON PERRIER","2004-08-10","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3671867.25467","520200.862968","LA",,"70115"
"POINT (-90.061449739849 29.965109174601)","308","1419 DAUPHINE ST","MAISON DUBOIS","2018-04-18","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3683559.42645","535037.079878","LA",,"70116"
"POINT (-90.067284209858 29.961011283063)","130","1024 ST ANN ST","MARIE LAVAEAU GUEST HOUSE","2011-07-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3681728.56309","533526.476036","LA",,"70116"
"POINT (-90.07011423342 29.95075658391)","311","360 ST CHARLES AVE","RESIDENCE INN BY MARRIOT","2019-07-08","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3680873.58472","529787.599297","LA",,"70130"
"POINT (-90.09112066284 29.944800185207)","117","2309 S CLAIBORNE AVE","MASON MOTEL INC","1993-05-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3674244.97697","527548.905535","LA",,"70125"
"POINT (-90.080124023729 29.94020551895)","226","1615 ORETHA CASTLE HALEY BLVD","1615 OCH","2020-09-08","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3677745.75694","525916.038077","LA",,"70113"
"POINT (-90.071341486204 29.953024746703)","121","817 COMMON ST","RENAISSANCE PERE MARQUETTE","2001-10-19","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3680475.86792","530608.104258","LA","B","70112"
"POINT (-90.066102056126 29.950853045913)","30","300 CANAL ST","DOUBLETREE HOTEL","2019-10-21","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3682143.72834","529836.705729","LA",,"70130"
"POINT (-90.066102056126 29.950853045913)","162","300 CANAL ST","DOUBLETREE NEW ORLEANS","2019-10-21","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3682143.72834","529836.705729","LA",,"70130"
"POINT (-90.074630526234 29.937899352946)","81","1525 PRYTANIA ST","PRYTANIA PARK HOTEL","1983-03-02","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3679494.77384","525096.502717","LA",,"70130"
"POINT (-90.066730877996 29.963584911196)","309","1129  ST PHILIP ST","NEW ORLEANS JAZZ QUARTERS","2018-03-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3681893.42293","534464.278789","LA",,"70116"
"POINT (-90.063132726708 29.959981358947)","303","915 ROYAL ST","THE CORNSTALK HOTEL","2017-09-06","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3683047.22428","533166.505668","LA",,"70116"
"POINT (-90.076989294557 29.951922709288)","346","2028-30 IBERVILLE ST","2028-30 IBERVILLE LLC","2017-12-04","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3678691.8167","530187.70942","LA",,"70112"
"POINT (-90.06303741383 29.960041277028)","62","919 ROYAL ST","ANDREW JACKSON HOTEL","2013-03-27","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3683077.16258","533188.62842","LA",,"70116"
"POINT (-90.066409495852 29.96809426232)","94","1333 ESPLANADE AVE","ANTEBELLUM GUEST HOUSE","2002-02-08","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3681977.05096","536105.172103","LA",,"70116"
"POINT (-90.068555741174 29.953650780475)","47","124 ROYAL ST","WYNDHAM NEW ORLEANS","2001-08-31","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3681355.49378","530845.47949","LA",,"70130"
"POINT (-90.06761791601 29.952493040037)","276","555 CANAL ST","NEW ORLEANS MARRIOTT HOTEL-[H/P]","1993-11-06","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3681657.1156","530427.761794","LA","A","70130"
"POINT (-90.074462750216 29.940925532513)","141","1225 ST CHARLES AVE","THE QUISBY","2016-11-17","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3679535.82018","526197.515134","LA",,"70130"
"POINT (-90.072633427814 29.952092287359)","220","317 BARONNE ST","NOPSI HOTEL","2018-11-06","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3680070.49019","530264.524289","LA",,"70112"
"POINT (-90.068410553748 29.959366089747)","115","1001 TOULOUSE ST","MAISON DUPUY HOTEL","2017-07-06","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3681378.5261","532924.284036","LA",,"70112"
"POINT (-90.065697388107 29.967126205934)","72","1244 ESPLANADE AVE","RATHB0NE MANSIONS","2017-08-11","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3682206.4084","535755.644103","LA",,"70116"
"POINT (-90.067736931761 29.954573486532)","1","214 ROYAL ST","MONTELEONE HOTEL","1968-01-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3681611.07157","531183.872066","LA","A","70130"
"POINT (-90.07249343416 29.952586815965)","217","225 BARONNE ST","ALOFT NEW ORLEANS DOWNTOWN","2017-04-26","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3680112.84251","530444.840962","LA",,"70112"
"POINT (-90.067841006151 29.957929592979)","55","509 DAUPHINE ST","AUDUBON COTTAGES","2011-10-05","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3681564.63752","532403.911875","LA",,"70116"
"POINT (-90.079078614122 29.935382875249)","280","2001 ST CHARLES AVE","ST CHARLES COACH HOUSE","1998-03-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3678096.03714","524165.972284","LA",,"70130"
"POINT (-90.058399631176 29.97040066542)","218","1242 FRENCHMEN ST","FRENCHMEN OASIS","2017-05-25","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3684503.75113","536971.994888","LA",,"70116"
"POINT (-90.072951839574 29.969166778903)","108","1100 N PRIEUR ST","THE TREME INN","2015-01-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3679901.36463","536472.335559","LA",,"70116"
"POINT (-89.973411541365 30.035524781272)","263","5801 READ BLVD","COUNTRY INN & SUITES,NEW ORLEANS I-10 EAST","2019-02-15","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3711130.32971","560962.831134","LA",,"70127"
"POINT (-90.026143605871 29.92265446943)","37","3350 NEVADA ST","EMANUEL & SHENA’S BED & BREAKFAST","2021-09-24","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3694914.26262","519724.881272","LA",,"70114"
"POINT (-90.052478534789 29.966743931656)","137","2466 BURGUNDY ST","MARIGNY JEWEL","2015-08-06","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3686393.27042","535663.178439","LA",,"70117"
"POINT (-90.079320617108 29.933304017081)","283","2127 PRYTANIA ST","MAGNOLIA MANSION HOTEL","2002-03-08","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3678027.66338","523409.185339","LA",,"70130"
"POINT (-90.072645383603 29.955258058112)","265","1028 CANAL ST","HI-NEW ORLEANS HOSTELLING INTERNATIONAL USA","2019-08-14","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3680054.03842","531415.673411","LA",,"70112"
"POINT (-90.067684365213 29.965381625879)","118","1317 URSULINES AVE","EMPRESS HOTEL","1996-02-18","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3681584.3053","535114.295366","LA",,"70116"
"POINT (-90.069902592915 29.942621917064)","168","1000 MAGAZINE ST","HIGGINS HOTEL & CONFERENCE CENTER","2020-12-23","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3680973.22095","526830.277182","LA",,"70130"
"POINT (-90.060206584225 29.966952941799)","70","1625 PAUGER ST","MARK & RON'S B&B","2016-08-29","8806 - .1(43) BED AND BREAKFAST 1 TO 2 ROOMS","NEW ORLEANS","3683945.58863","535711.913351","LA",,"70116"
"POINT (-90.076989294557 29.951922709288)","125","2111 ST. CHARLES AVE","EXTRA HOLIDAYS","2007-02-06","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3678691.8167","530187.70942","LA",,"70130"
"POINT (-90.065607684599 29.963926857581)","27","1101 N RAMPART ST","NEW ORLEANS COURTYARD HOTEL","2018-11-14","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3682247.68156","534592.556165","LA",,"70116"
"POINT (-89.997007796148 30.012493572035)","135","7700 CHEF MENTEUR HWY","JACKS MOTEL","2014-02-10","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3703762.2145","552499.971542","LA",,"70126"
"POINT (-90.076592487626 29.976939173897)","192","2545 BAYOU RD","2545 BAYOU ROAD","2022-04-22","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3678717.69806","539286.013066","LA",,"70119"
"POINT (-90.057884530043 29.969396371113)","161","2110 MARAIS ST","LE SHACKTEAU","2019-09-23","8806 - .1(43) BED AND BREAKFAST 1 TO 2 ROOMS","NEW ORLEANS","3684670.90044","536608.611079","LA",,"70116"
"POINT (-90.060797719504 29.963117058247)","279","717 BARRACKS ST","ROYAL BARRACKS GUEST HOUSE","1997-04-14","4702 - ROOMING & BOARDING HOUSES","NEW ORLEANS","3683773.91612","534314.965125","LA",,"70116"
"POINT (-90.071211187 29.95235800261)","66","221 CARONDELET ST","AC HOTEL NEW ORLEANS BOURBON/FRENCH QUARTER AREA","2015-08-20","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3680519.79951","530366.105858","LA",,"70130"
"POINT (-90.099045431693 29.929284005624)","329","1816 MARENGO ST","AIRYN MONET","2000-01-01","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3671796.07163","521879.528762","LA",,"70115"
"POINT (-90.079595636253 29.935081032745)","111","2031 SAINT CHARLES AVE","APARIUM HOTEL GROUP","2016-05-24","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3677933.48789","524054.419644","LA","STE #A","70130"
"POINT (-90.085443391513 29.966064105916)","357","2625 IBERVILLE ST","LUCKY INN","2022-02-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3675958.69275","535300.798278","LA",,"70119"
"POINT (-90.055085405833 29.964315737923)","338","625 MARIGNY ST","RIVER HOUSE NEW ORLEANS","2014-02-17","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3685577.73929","534770.980742","LA",,"70117"
"POINT (-90.066355594662 29.954500384619)","14","316 CHARTRES ST","W FRENCH QUARTER HOTEL","2013-04-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3682048.77532","531162.123394","LA",,"70130"
"POINT (-89.995554445643 30.012686018311)","99","7800 CHEF MENTEUR HWY","ROYAL PALMS MOTEL","2007-07-03","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3704221.34007","552575.31919","LA",,"70126"
"POINT (-90.068887454719 29.952715166542)","49","614 CANAL ST","JW MARRIOT NEW ORLEANS","2003-04-15","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3681254.20789","530504.096514","LA",,"70130"
"POINT (-90.064293532986 29.955276176225)","287","501 DECATUR ST","FRENCH MARKET INN","2011-05-16","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3682698.61692","531451.455555","LA",,"70130"
"POINT (-90.061966708277 29.96715665838)","143","1744 N RAMPART ST","CHEZ PALMIERS BED & BREAKFAST","2018-02-09","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3683387.4813","535779.804743","LA",,"70116"
"POINT (-89.962520002656 30.048633972021)","198","7051 BULLARD AVE","COMFORT SUITES","2002-01-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3714519.34565","565770.890339","LA",,"70128-2307"
"POINT (-90.064890944392 29.966608047453)","222","1206 ESPLANADE AVE","ESPLANADE GUEST HOUSE","2019-10-24","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3682463.8278","535570.047878","LA",,"70116"
"POINT (-90.062046621683 29.959956904195)","205","612 ST PHILIP ST","ST. PHILIP FRENCH QUARTER APARTMENTS","2011-08-22","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3683391.22671","533161.426756","LA",,"70116"
"POINT (-90.082634894897 29.934406902019)","5","2253 CARONDELET ST","MARQUETTE HOUSE HOTEL","1991-02-25","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3676973.57262","523798.761339","LA",,"70130"
"POINT (-90.066867052273 29.952389236063)","100","115 DECATUR ST","BLUEGREEN RESORTS MANAGEMENT","2008-07-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3681895.3037","530392.642114","LA",,"70130"
"POINT (-90.074994380213 29.939050827809)","77","1430 ST CHARLES AVE","SONDER USA","2021-11-29","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3679374.93954","525513.955069","LA",,"70130"
"POINT (-90.069719624619 29.957409242868)","275","337 BURGUNDY ST","DAUZAT HOUSE","1992-09-01","4702 - ROOMING & BOARDING HOUSES","NEW ORLEANS","3680971.86677","532208.128515","LA",,"70112"
"POINT (-90.065729264635 29.948295370012)","11","228 POYDRAS ST","HARRAH'S POYDRAS HOTEL","2006-09-17","2060 - CASINO HOTELS","NEW ORLEANS","3682272.06844","528907.947328","LA",,"70130"
"POINT (-89.923857602779 30.031871306081)","34","13552 CHEF MENTEUR HWY","RELAX INN","2021-06-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3726825.33881","559823.768925","LA",,"70129"
"POINT (-90.104023700944 29.94156635538)","136","3110 NAPOLEON AVE","MARCELIN'S ON NAPOLEON","2015-01-13","4703 - BED & BREAKFAST INNS","NEW ORLEANS","3670171.3483","526328.89491","LA",,"70125"
"POINT (-89.962052189661 30.048485634043)","52","7049 BULLARD AVE","HOLIDAY INN EXPRESS","2007-07-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3714667.98623","565718.719714","LA",,"70128"
"POINT (-90.074264422504 29.954517654569)","260","1111 TULANE AVE","HOSTEEVA CALIFORNIA BUILDING BY HOSTEEVA","2018-09-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3679544.32066","531140.798274","LA",,"70112"
"POINT (-90.06954853503 29.95238445141)","194","124 ST CHARLES AVE","COURTYARD BY MARRIOTT IMB-[H/P]","1995-09-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3681046.1949","530381.527042","LA",,"70130"
"POINT (-90.065966026079 29.941700424411)","127","1001 S PETERS ST","HG NEW ORLEANS CONVENTION CENTER","2010-11-17","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3682223.61666","526508.956862","LA",,"70130"
"POINT (-90.06627177124 29.949800254419)","54","300 GRAVIER ST","WINDSOR COURT HOTEL","2009-10-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3682094.21813","529453.277569","LA",,"70130"
"POINT (-90.055356312636 29.967739845506)","132","1001 MARIGNY ST","OLDE TOWN INN","2012-04-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3685478.07618","536015.155975","LA",,"70117"
"POINT (-90.070630707945 29.949076172895)","56","500 ST CHARLES AVE","BLAKE HOTEL NEW ORLEANS","2011-10-24","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3680716.76725","529174.737728","LA",,"70130"
"POINT (-90.071030376898 29.95488864286)","282","921 CANAL ST","THE RITZ CARLTON HOTEL CO LLC","2000-10-01","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3680566.91771","531286.97037","LA",,"70112"
"POINT (-90.066226258136 29.946592783879)","320","315 GIROD ST","MINT HOUSE LOUISIANA 01 LLC","2022-05-19","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3682121.52866","528287.084288","LA",,"70130"
"POINT (-90.063523391704 29.949411561302)","229","2 CANAL ST","TWO CANAL MASTER TENANT","2021-07-19","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3682966.11842","529321.569345","LA",,"70130"
"POINT (-90.074982527489 29.940166645069)","271","1319 ST CHARLES AVE","QUALITY INN MAISON ST CHARLES","1983-12-27","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3679374.23752","525919.747901","LA",,"70130"
"POINT (-90.060951362633 29.960008997148)","290","1024 CHARTRES ST","HOTEL PROVINCIAL","2011-09-20","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3683737.81845","533184.219076","LA",,"70116"
"POINT (-90.10366547808 29.977181748119)","216","4333 CANAL ST","HOSTEEVA","2017-04-19","4701 - HOTELS (EXC CASINO HOTELS) & MOTELS","NEW ORLEANS","3670145.81108","539281.230346","LA",,"70119"
