"nopd_item","type_","typetext","priority","initialtype","initialtypetext","initialpriority","mapx","mapy","timecreate","timedispatch","timearrive","timeclosed","disposition","dispositiontext","selfinitiated","beat","block_address","zip","policedistrict","location"
"A0001121","94F","FIREWORKS","1A","103F","FIGHT","2D","3676697","526433","2021-01-01T00:06:10.917","2021-01-01T02:51:34.220","2021-01-01T03:09:39.983","2021-01-01T03:22:54.997","GOA","GONE ON ARRIVAL","N","6H02","016XX S Liberty St","70113","6","POINT (-90.08341098 29.94165311)"
"A0001221","22A","AREA CHECK","1K","22A","AREA CHECK","1K","3674213","538978","2021-01-01T00:06:17.793","2021-01-01T00:06:17.793","2021-01-01T00:06:17.793","2021-01-01T00:35:25.480","NAT","Necessary Action Taken","Y","1M01","Orleans Ave & Moss St","70119","1","POINT (-90.09082173 29.97622419)"
"A0001321","20I","AUTO ACCIDENT WITH INJURY","2D","20I","AUTO ACCIDENT WITH INJURY","2D","3694351","534718","2021-01-01T00:06:45.273","2021-01-01T00:11:23.527","2021-01-01T01:13:38.757","2021-01-01T04:22:50.107","RTF","REPORT TO FOLLOW","N","5E02","St Claude Bridge Westbound","70117","5","POINT (-90.02737517 29.96389326)"
"A0001421","21","COMPLAINT OTHER","1J","67A","AUTO THEFT","1D","3679196","533661","2021-01-01T00:06:46.627","2021-01-01T01:18:54.570","2021-01-01T01:38:00.543","2021-01-01T02:27:55.680","NAT","Necessary Action Taken","N","1E05","004XX N Claiborne Ave","70112","1","POINT (-90.07527113 29.96145432)"
"A0001521","94F","FIREWORKS","2J","94","DISCHARGING FIREARM","2D","3683078","545248","2021-01-01T00:07:45.517","2021-01-01T00:08:31.877","2021-01-01T00:19:38.293","2021-01-01T00:24:35.167","NAT","Necessary Action Taken","N","3X02","039XX Pauger St","70122","3","POINT (-90.06260433 29.99319686)"
"A0001621","94F","FIREWORKS","1A","94F","FIREWORKS","2J","3690624","529487","2021-01-01T00:08:38.757","2021-01-01T00:40:52.470","2021-01-01T00:43:22.067","2021-01-01T00:48:00.223","GOA","GONE ON ARRIVAL","N","4H01","005XX Wagner St","70114","4","POINT (-90.03932994 29.94962773)"
"A0001721","94","DISCHARGING FIREARM","1A","94","DISCHARGING FIREARM","2D","3713837","556684","2021-01-01T00:09:39.133","2021-01-01T07:09:02.167",,"2021-01-01T07:09:11.103","NAT","Necessary Action Taken","N","7J03","048XX Sierra Madre Dr","70127","7","POINT (-89.96501315 30.0236682)"
"A0001821","55","AGGRAVATED CRIMINAL DAMAGE","1D","55","AGGRAVATED CRIMINAL DAMAGE","1D","3681873","549710","2021-01-01T00:09:43.523","2021-01-01T09:10:47.407","2021-01-01T09:17:30.067","2021-01-01T10:01:04.540","RTF","REPORT TO FOLLOW","N","3Q01","019XX Carnot St","70122","3","POINT (-90.06625458 30.00550248)"
"A0001921","103","DISTURBANCE (OTHER)","1C","103","DISTURBANCE (OTHER)","1C","3681671","531804","2021-01-01T00:10:33.543","2021-01-01T00:10:33.543","2021-01-01T00:10:33.543","2021-01-01T01:13:22.547","NAT","Necessary Action Taken","Y","8D05","007XX Conti St","70130","8","POINT (-90.06751956 29.95627369)"
"A0002021","94F","FIREWORKS","1A","94F","FIREWORKS","2J","3679658","545325","2021-01-01T00:12:09.070","2021-01-01T01:51:24.630",,"2021-01-01T01:51:39.437","GOA","GONE ON ARRIVAL","N","3M02","035XX Blk Paris Ave","70122","3","POINT (-90.0734053 29.99351053)"
"A0002121","94F","FIREWORKS","1A","103","DISTURBANCE (OTHER)","1C","3679257","550303","2021-01-01T00:12:18.037","2021-01-01T01:51:31.943",,"2021-01-01T01:51:42.530","GOA","GONE ON ARRIVAL","N","3M04","Mirabeau Ave & Paris Ave","70122","3","POINT (-90.0745011 30.00721235)"
"A0002221","94","DISCHARGING FIREARM","2D","94","DISCHARGING FIREARM","2D","3669326","537627","2021-01-01T00:12:26.567","2021-01-01T00:27:07.363",,"2021-01-01T01:46:45.607","GOA","GONE ON ARRIVAL","N","3D02","005XX S Hennessey St","70119","3","POINT (-90.106303 29.97265256)"
"A0002321","94F","FIREWORKS","1A","94F","FIREWORKS","2J","3686929","539447","2021-01-01T00:12:32.607","2021-01-01T00:12:56.050",,"2021-01-01T00:13:06.913","NAT","Necessary Action Taken","N","5G02","019XX Arts St","70117","5","POINT (-90.05064652 29.97712743)"
"A0002421","94","DISCHARGING FIREARM","2D","94","DISCHARGING FIREARM","2D","3714279","565759","2021-01-01T00:13:40.510","2021-01-01T06:05:39.617","2021-01-01T06:14:10.453","2021-01-01T06:37:32.010","GOA","GONE ON ARRIVAL","N","7I10","W Barrington Dr & Bullard Ave","70128","7","POINT (-89.96327306 30.0486055)"
"A0002521","94F","FIREWORKS","1A","94F","FIREWORKS","2J","3674845","532973","2021-01-01T00:14:47.457",,,"2021-01-01T03:03:18.390","VOI","VOID","N","1G02","025XX Gravier St","70119","1","POINT (-90.08903455 29.95969182)"
"A0002621","100I","HIT & RUN WITH INJURIES","2D","20I","AUTO ACCIDENT WITH INJURY","2D","3687272","544953","2021-01-01T00:15:24.663","2021-01-01T00:23:47.623","2021-01-01T00:23:50.437","2021-01-01T01:43:25.460","RTF","REPORT TO FOLLOW","N","3Y03","I-10 W & Franklin Ave","70122","3","POINT (-90.0493676 29.99225683)"
"A0002721","103","DISTURBANCE (OTHER)","1C","103","DISTURBANCE (OTHER)","1C","3695465","559392","2021-01-01T00:16:14.407","2021-01-01T07:08:13.033",,"2021-01-01T07:08:29.320","GOA","GONE ON ARRIVAL","N","7D02","078XX Shubert St","70126","7","POINT (-90.02296692 30.03170408)"
"A0002821","94","DISCHARGING FIREARM","2D","94","DISCHARGING FIREARM","2D","3715490","565624","2021-01-01T00:16:16.857","2021-01-01T05:25:19.527","2021-01-01T05:28:29.630","2021-01-01T05:37:33.963","GOA","GONE ON ARRIVAL","N","7I11","121XX N I-10 Service Rd","70128","7","POINT (-89.95945037 30.0481948)"
"A0002921","22A","AREA CHECK","1K","22A","AREA CHECK","1K","3680722","535741","2021-01-01T00:16:33.217","2021-01-01T00:16:33.217","2021-01-01T00:16:33.217","2021-01-01T00:38:32.417","NAT","Necessary Action Taken","Y","1F02","Ursulines Ave & N Claiborne Ave","70116","1","POINT (-90.07037715 29.96712705)"
"A0003021","103F","FIGHT","2D","103F","FIGHT","2D","3682366","532815","2021-01-01T00:16:42.480","2021-01-01T00:16:42.480","2021-01-01T00:16:42.480","2021-01-01T00:17:16.017","NAT","Necessary Action Taken","Y","8D06","Orleans Ave & Bourbon St","70116","8","POINT (-90.06528938 29.95903166)"
"A0003121","103F","FIGHT","2D","103F","FIGHT","2D","3682366","532815","2021-01-01T00:16:46.497","2021-01-01T00:16:46.497","2021-01-01T00:16:46.497","2021-01-01T00:17:07.310","DUP","DUPLICATE","Y","8D06","Orleans Ave & Bourbon St","70116","8","POINT (-90.06528938 29.95903166)"
"A0003221","22A","AREA CHECK","1K","22A","AREA CHECK","1K","3672799","540119","2021-01-01T00:18:20.740","2021-01-01T00:18:20.740","2021-01-01T00:18:20.740","2021-01-01T00:34:51.883","NAT","Necessary Action Taken","Y","1M01","Orleans Ave & N Carrollton Ave","70119","1","POINT (-90.09524991 29.97940255)"
"A0003321","103F","FIGHT","2D","103F","FIGHT","2D","3675692","522020","2021-01-01T00:18:32.220","2021-01-01T01:45:23.907","2021-01-01T01:49:07.173","2021-01-01T01:56:15.057","GOA","GONE ON ARRIVAL","N","6D02","015XX 6th St","70115","6","POINT (-90.0867337 29.92955006)"
"A0003421","94","DISCHARGING FIREARM","2D","94","DISCHARGING FIREARM","2D","3683458","545819","2021-01-01T00:18:50.693","2021-01-01T02:21:42.617","2021-01-01T02:27:08.767","2021-01-01T02:33:37.580","GOA","GONE ON ARRIVAL","N","3X02","Sere St & Touro St","70122","3","POINT (-90.06138413 29.99475484)"
"A0003521","103D","DOMESTIC DISTURBANCE","2C","911","SILENT 911 CALL","2F","3698855","524220","2021-01-01T00:19:10.100","2021-01-01T00:20:01.043","2021-01-01T00:28:16.963","2021-01-01T01:37:39.557","RTF","REPORT TO FOLLOW","N","4J02","017XX Holiday Dr","70114","4","POINT (-90.01353449 29.93488506)"
"A0003621","94","DISCHARGING FIREARM","2D","94","DISCHARGING FIREARM","2D","3694495","524979","2021-01-01T00:19:14.103","2021-01-01T00:20:47.843","2021-01-01T00:23:20.763","2021-01-01T00:26:56.207","GOA","GONE ON ARRIVAL","N","4I03","016XX Pace Blvd","70114","4","POINT (-90.02726929 29.93711075)"
"A0003721","35","SIMPLE BATTERY","1F","44","AGGRAVATED KIDNAPPING","2C","3675952","527481","2021-01-01T00:19:21.010","2021-01-01T00:29:49.893","2021-01-01T00:33:18.593","2021-01-01T02:43:44.070","RTF","REPORT TO FOLLOW","N","6J02","026XX Martin Luther King Jr Blvd","70113","6","POINT (-90.08572556 29.94455913)"
"A0003821","22A","AREA CHECK","1K","22A","AREA CHECK","1K","3669089","554657","2021-01-01T00:19:51.843","2021-01-01T00:19:51.843","2021-01-01T00:19:51.843","2021-01-01T01:05:59.283","NAT","Necessary Action Taken","Y","3F02","Robert E Lee Blvd & Canal Blvd","70124","3","POINT (-90.1064762 30.0194866)"
"A0003921","100","HIT & RUN","1A","100","HIT & RUN","1G","3689274","547310","2021-01-01T00:19:50.407","2021-01-01T02:18:37.193","2021-01-01T02:57:29.567","2021-01-01T04:19:53.323","RTF","REPORT TO FOLLOW","N","3U01","I-10 E","70126","3","POINT (-90.0429593 29.99867521)"
"A0004021","24","MEDICAL","2D","NOPD","INCIDENT REQUESTED BY ANOTHER AGENCY","2A","37369000","3513814","2021-01-01T00:20:00.247",,,"2021-01-01T02:16:34.357","VOI","VOID","N","6G03","011XX Baronne St","70113","6","POINT (0 0)"
"A0004121","22A","AREA CHECK","1K","22A","AREA CHECK","1K","0","0","2021-01-01T00:20:37.573","2021-01-01T00:20:37.573","2021-01-01T00:20:37.573","2021-01-01T00:45:11.800","NAT","Necessary Action Taken","Y","None","Louis Xiv & Kenilworth","None","0","POINT (0 0)"
"A0004221","103F","FIGHT","2D","103F","FIGHT","2D","3681920","533416","2021-01-01T00:21:24.043","2021-01-01T00:21:59.683","2021-01-01T00:23:39.980","2021-01-01T00:34:21.207","GOA","GONE ON ARRIVAL","N","8E01","Saint Ann St & Burgundy St","70116","8","POINT (-90.0666771 29.96069722)"
"A0004321","22A","AREA CHECK","1K","22A","AREA CHECK","1K","3682868","535366","2021-01-01T00:21:32.013","2021-01-01T00:21:32.013","2021-01-01T00:21:32.013","2021-01-01T01:09:34.940","NAT","Necessary Action Taken","Y","1A01","Esplanade Ave & N Rampart St","70116","1","POINT (-90.06361383 29.96602949)"
"A0004421","21","COMPLAINT OTHER","2A","NOPD","INCIDENT REQUESTED BY ANOTHER AGENCY","2A","3686579","526974","2021-01-01T00:21:38.067","2021-01-01T00:23:10.000","2021-01-01T00:28:50.530","2021-01-01T00:40:47.800","GOA","GONE ON ARRIVAL","N","4A01","012XX Teche St","70114","4","POINT (-90.05219018 29.94284271)"
"A0004521","64A","HOLD UP ALARM","2D","64A","HOLD UP ALARM","2D","3685413","550621","2021-01-01T00:22:02.447","2021-01-01T02:53:26.083","2021-01-01T03:02:09.923","2021-01-01T03:12:30.880","NAT","Necessary Action Taken","N","3T01","047XX Saint Roch Ave","70122","3","POINT (-90.05504147 30.00789929)"
"A0004621","22A","AREA CHECK","1K","22A","AREA CHECK","1K","3674480","539567","2021-01-01T00:22:12.720","2021-01-01T00:22:12.720","2021-01-01T00:22:12.720","2021-01-01T01:13:04.027","NAT","Necessary Action Taken","Y","1M01","Dumaine St & Moss St","70119","1","POINT (-90.08995893 29.97783468)"
"A0004721","94F","FIREWORKS","2J","94","DISCHARGING FIREARM","2D","3661565","531109","2021-01-01T00:22:13.437","2021-01-01T00:25:49.100",,"2021-01-01T00:26:06.583","NAT","Necessary Action Taken","N","2K02","Green St & Monroe St","70118","2","POINT (-90.1310295 29.95495697)"
"A0004821","22A","AREA CHECK","1K","22A","AREA CHECK","1K","3680813","533438","2021-01-01T00:22:18.893","2021-01-01T00:22:18.893","2021-01-01T00:22:18.893","2021-01-01T01:08:55.950","NAT","Necessary Action Taken","Y","1E03","Basin St & Crozat St","70112","1","POINT (-90.07017072 29.96079068)"
"A0004921","56","SIMPLE CRIMINAL DAMAGE","1F","94","DISCHARGING FIREARM","2D","3707698","565038","2021-01-01T00:22:26.020","2021-01-01T00:34:31.770","2021-01-03T07:52:52.780","2021-01-03T08:59:48.277","RTF","REPORT TO FOLLOW","N","7P07","077XX Symmes Ave","70127","7","POINT (-89.9841008 30.04683697)"
"A0005021","94","DISCHARGING FIREARM","2D","94","DISCHARGING FIREARM","2D","3688482","547042","2021-01-01T00:23:04.130","2021-01-01T00:24:47.793","2021-01-01T00:31:35.120","2021-01-01T00:50:15.697","GOA","GONE ON ARRIVAL","N","3U01","Lavender St & Peoples Ave","70122","3","POINT (-90.04547138 29.99796295)"
"A0005121","66","EXTORTION (THREATS)","2A","66","EXTORTION (THREATS)","1H","3696107","551598","2021-01-01T00:23:39.137","2021-01-01T01:47:58.793","2021-01-01T01:54:56.830","2021-01-01T02:04:02.720","GOA","GONE ON ARRIVAL","N","7A02","058XX Chef Menteur Hwy","70126","7","POINT (-90.02122008 30.01025396)"
"A0005221","94","DISCHARGING FIREARM","2D","94","DISCHARGING FIREARM","2D","3689436","537900","2021-01-01T00:24:05.393","2021-01-01T01:07:01.473","2021-01-01T01:17:31.183","2021-01-01T01:32:42.837","GOA","GONE ON ARRIVAL","N","5G04","016XX Clouet St","70117","5","POINT (-90.04278399 29.97279702)"
"A0005321","94F","FIREWORKS","1A","94F","FIREWORKS","2J","3684595","546725","2021-01-01T00:24:35.503","2021-01-01T06:25:46.567",,"2021-01-01T06:25:59.723","GOA","GONE ON ARRIVAL","N","3Y02","022XX Milton St","70122","3","POINT (-90.05776017 29.99721191)"
"A0005421","62A","BURGLAR ALARM, SILENT","1A","62A","BURGLAR ALARM, SILENT","2E","3673275","521056","2021-01-01T00:24:54.073",,,"2021-01-01T01:00:48.783","VOI","VOID","N","6P01","036XX Saint Charles Ave","70115","6","POINT (-90.09439864 29.92697276)"
"A0005521","94F","FIREWORKS","1A","94F","FIREWORKS","2J","3697119","522688","2021-01-01T00:25:48.397","2021-01-01T01:46:03.170","2021-01-01T01:47:19.833","2021-01-01T02:13:06.710","GOA","GONE ON ARRIVAL","N","4J01","021XX Springbrook Ln","70114","4","POINT (-90.0190698 29.93072797)"
"A0005621","94F","FIREWORKS","1A","94F","FIREWORKS","2J","3685751","537403","2021-01-01T00:26:15.807","2021-01-01T00:27:16.760",,"2021-01-01T00:34:14.213","NAT","Necessary Action Taken","N","5B03","013XX Mandeville St","70117","5","POINT (-90.05443947 29.971544)"
"A0005721","94","DISCHARGING FIREARM","2D","94","DISCHARGING FIREARM","2D","3683446","550454","2021-01-01T00:26:30.600","2021-01-01T02:11:47.480","2021-01-01T02:17:16.140","2021-01-01T02:21:19.350","GOA","GONE ON ARRIVAL","N","3Q01","048XX Blk Frenchmen St","70122","3","POINT (-90.06126021 30.00750042)"
"A0005821","94F","FIREWORKS","1A","94F","FIREWORKS","2J","3699303","536887","2021-01-01T00:26:46.013","2021-01-01T00:27:35.897",,"2021-01-01T00:34:18.697","NAT","Necessary Action Taken","N","5I04","019XX Lamanche St","70117","5","POINT (-90.0116584 29.96970081)"
"A0005921","TS","TRAFFIC STOP","1J","TS","TRAFFIC STOP","1J","3680043","534847","2021-01-01T00:27:00.810","2021-01-01T00:27:00.810","2021-01-01T00:27:00.810","2021-01-01T00:35:18.327","NAT","Necessary Action Taken","Y","1F02","N Claiborne Ave & Saint Ann St","70116","1","POINT (-90.07255299 29.96468851)"
"A0006021","100","HIT & RUN","1G","100","HIT & RUN","1G","3717851","556759","2021-01-01T00:27:01.847",,,"2021-01-01T01:33:59.663","VOI","VOID","N","7J04","047XX Friar Tuck Dr","70128","7","POINT (-89.952327 30.02374191)"
"A0006121","62A","BURGLAR ALARM, SILENT","2E","62A","BURGLAR ALARM, SILENT","2E","3716283","563915","2021-01-01T00:30:33.867","2021-01-01T04:42:05.050","2021-01-01T04:48:24.093","2021-01-01T04:57:17.123","NAT","Necessary Action Taken","N","7K01","060XX Bullard Ave","70128","7","POINT (-89.95700845 30.04346975)"
"A0006221","62ANR","BURGLAR ALARM, SILENT, FAR NO RESPONSE","0H","62ANR","BURGLAR ALARM, SILENT, FAR NO RESPONSE","0H","3716238","558286","2021-01-01T00:31:30.310",,,"2021-01-01T00:31:30.310","NAT","Necessary Action Taken","N","7J03","050XX Nottingham Dr","70127","7","POINT (-89.95736371 30.02799176)"
"A0006321","94F","FIREWORKS","2J","94","DISCHARGING FIREARM","2D","3681215","544849","2021-01-01T00:31:36.167","2021-01-01T00:32:41.787","2021-01-01T00:49:13.220","2021-01-01T00:52:01.687","NAT","Necessary Action Taken","N","3P01","Pleasure St & London Ave","70122","3","POINT (-90.06850373 29.99215676)"
"A0006421","94F","FIREWORKS","1A","94F","FIREWORKS","2J","3686918","535683","2021-01-01T00:32:12.907","2021-01-01T00:32:55.713",,"2021-01-01T00:34:27.713","NAT","Necessary Action Taken","N","5C01","Burgundy St & Franklin Ave","70117","5","POINT (-90.05081271 29.96677891)"
"A0006521","94F","FIREWORKS","1A","103","DISTURBANCE (OTHER)","1C","3673897","536268","2021-01-01T00:32:25.913","2021-01-01T03:07:34.997","2021-01-01T03:07:40.033","2021-01-01T03:14:06.387","GOA","GONE ON ARRIVAL","N","1M04","Canal St & N Lopez St","70119","1","POINT (-90.09191338 29.96878125)"
"A0006621","62A","BURGLAR ALARM, SILENT","2E","62A","BURGLAR ALARM, SILENT","2E","3697738","551511","2021-01-01T00:33:19.633","2021-01-01T04:28:35.060","2021-01-01T04:32:31.310","2021-01-01T04:38:44.153","NAT","Necessary Action Taken","N","7C01","062XX Chef Menteur Hwy","70126","7","POINT (-90.01606909 30.00996098)"
"A0006721","GATHER","PUBLIC GATHERING","1E","GATHER","PUBLIC GATHERING","1E","3669767","536450","2021-01-01T00:33:49.313","2021-01-01T03:14:15.363","2021-01-01T03:14:23.013","2021-01-01T03:18:18.653","GOA","GONE ON ARRIVAL","N","1L04","040XX Ulloa St","70119","1","POINT (-90.10495105 29.96940421)"
"A0006821","62A","BURGLAR ALARM, SILENT","1A","62A","BURGLAR ALARM, SILENT","2E","3665404","529462","2021-01-01T00:34:35.037","2021-01-01T01:14:31.543","2021-01-01T01:15:39.013","2021-01-01T01:25:25.593","NAT","Necessary Action Taken","N","2L05","074XX Panola St","70118","2","POINT (-90.11896383 29.95031766)"
"A0006921","94F","FIREWORKS","1A","37","AGGRAVATED ASSAULT","2E","3716351","566194","2021-01-01T00:35:03.560","2021-01-01T07:09:28.090",,"2021-01-01T07:09:37.510","GOA","GONE ON ARRIVAL","N","7K03","123XX N I-10 Service Rd","70128","7","POINT (-89.95670651 30.04973218)"
"A0007021","22A","AREA CHECK","1K","22A","AREA CHECK","1K","3673600","537400","2021-01-01T00:35:08.980","2021-01-01T00:35:08.980","2021-01-01T00:35:08.980","2021-01-01T00:51:08.400","NAT","Necessary Action Taken","Y","1M03","N Norman C Francis Pkwy & Bienville St","70119","1","POINT (-90.09281232 29.97190326)"
"A0007221","22A","AREA CHECK","1K","22A","AREA CHECK","1K","3671949","534924","2021-01-01T00:35:47.593","2021-01-01T00:35:47.593","2021-01-01T00:35:47.593","2021-01-01T01:08:16.990","NAT","Necessary Action Taken","Y","1K01","S Norman C Francis Pkwy & Tulane Ave","70119","1","POINT (-90.09811168 29.96514325)"
"A0007321","94","DISCHARGING FIREARM","2D","94","DISCHARGING FIREARM","2D","3695097","526045","2021-01-01T00:36:21.880","2021-01-01T00:36:57.600","2021-01-01T00:44:14.623","2021-01-01T00:49:43.097","GOA","GONE ON ARRIVAL","N","4I03","013XX Blk Southlawn Blvd","70114","4","POINT (-90.0253334 29.94002237)"
"A0007421","94","DISCHARGING FIREARM","1A","94","DISCHARGING FIREARM","2D","3678814","519339","2021-01-01T00:37:24.640","2021-01-01T02:51:03.170","2021-01-01T02:56:55.990","2021-01-01T03:01:03.180","GOA","GONE ON ARRIVAL","N","6A01","005XX 3rd St","70130","6","POINT (-90.07697204 29.92208325)"
"A0007521","22B","BUSINESS CHECK","1K","22B","BUSINESS CHECK","1K","3667597","534221","2021-01-01T00:37:26.063","2021-01-01T00:37:26.063","2021-01-01T00:37:26.063","2021-01-01T00:49:21.913","NAT","Necessary Action Taken","Y","2U04","034XX S Carrollton Ave","70125","2","POINT (-90.11187943 29.96333995)"
"A0007621","94","DISCHARGING FIREARM","2D","94","DISCHARGING FIREARM","2D","3678539","540338","2021-01-01T00:37:33.157","2021-01-01T00:38:37.057","2021-01-01T00:39:06.953","2021-01-01T00:42:50.583","GOA","GONE ON ARRIVAL","N","1C03","016XX Gentilly Blvd","70119","1","POINT (-90.07711239 29.97983356)"
"A0007721","94F","FIREWORKS","1A","94","DISCHARGING FIREARM","2D","3686494","539121","2021-01-01T00:37:58.130","2021-01-01T00:40:37.847",,"2021-01-01T00:41:07.970","NAT","Necessary Action Taken","N","5G02","018XX Saint Roch Ave","70117","5","POINT (-90.05203165 29.97624565)"
"A0007821","94F","FIREWORKS","1A","94","DISCHARGING FIREARM","2D","3692103","543418","2021-01-01T00:39:02.107","2021-01-01T00:43:22.250",,"2021-01-01T00:43:30.897","NAT","Necessary Action Taken","N","5Q02","030XX Blk Oliver White Ave","70126","5","POINT (-90.03416116 29.98788615)"
"A0007921","24","MEDICAL","2D","NOPD","INCIDENT REQUESTED BY ANOTHER AGENCY","2A","37369000","3513814","2021-01-01T00:39:32.643","2021-01-01T00:44:02.667","2021-01-01T00:56:22.227","2021-01-01T01:10:02.803","NAT","Necessary Action Taken","N","3Q02","018XX Wilton Dr","70122","3","POINT (0 0)"
"A0008021","21","COMPLAINT OTHER","1J","62R","RESIDENCE BURGLARY","1E","3714045","565676","2021-01-01T00:39:45.677","2021-01-01T00:42:11.487","2021-01-01T00:48:09.843","2021-01-01T00:59:33.020","NAT","Necessary Action Taken","N","7I10","118XX W Barrington Dr","70128","7","POINT (-89.96401695 30.0483859)"
"A0008121","22A","AREA CHECK","1K","22A","AREA CHECK","1K","3672102","541352","2021-01-01T00:40:32.680","2021-01-01T00:40:32.680","2021-01-01T00:40:32.680","2021-01-01T01:14:32.623","NAT","Necessary Action Taken","Y","3H02","Dumaine St & N Hennessey St","70119","3","POINT (-90.09740868 29.98281356)"
"A0008221","22A","AREA CHECK","1K","22A","AREA CHECK","1K","3669184","547213","2021-01-01T00:40:55.550","2021-01-01T00:40:55.550","2021-01-01T00:40:55.550","2021-01-01T01:15:34.253","NAT","Necessary Action Taken","Y","3I04","Memphis St & Polk St","70124","3","POINT (-90.10642637 29.99901634)"
"A0008321","103","DISTURBANCE (OTHER)","1C","103","DISTURBANCE (OTHER)","1C","3667472","548033","2021-01-01T00:41:22.860","2021-01-01T03:40:48.200",,"2021-01-01T03:40:55.083","GOA","GONE ON ARRIVAL","N","3E02","Colbert St & Germain St","70124","3","POINT (-90.11180848 30.00132016)"
"A0008421","34D","AGGRAVATED BATTERY DOMESTIC","2C","34D","AGGRAVATED BATTERY DOMESTIC","2C","3679807","530510","2021-01-01T00:41:56.997","2021-01-01T00:43:28.650","2021-01-01T00:48:31.610","2021-01-01T02:33:55.727","RTF","REPORT TO FOLLOW","N","8I01","003XX O'Keefe Ave","70112","8","POINT (-90.07344904 29.95277118)"
"A0008521","21P","LOST PROPERTY","0G","67","THEFT","1G","3681659","531955","2021-01-01T00:42:33.537","2021-01-01T03:00:54.437","2021-01-01T04:09:14.957","2021-01-01T05:00:17.310","RTF","REPORT TO FOLLOW","N","8D05","004XX Bourbon St","70112","8","POINT (-90.06755285 29.95668866)"
"A0008621","103","DISTURBANCE (OTHER)","1C","103","DISTURBANCE (OTHER)","1C","3671949","534924","2021-01-01T00:44:11.370","2021-01-01T03:18:24.090","2021-01-01T03:21:26.360","2021-01-01T03:34:33.450","GOA","GONE ON ARRIVAL","N","1K01","S Norman C Francis Pkwy & Tulane Ave","70119","1","POINT (-90.09811168 29.96514325)"
