"nopd_item","type_","typetext","priority","mapx","mapy","timecreate","timedispatch","timearrive","timeclosed","disposition","dispositiontext","block_address","zip","policedistrict","location"
"A0007013","21","COMPLAINT OTHER","1H","3682706.00000000","529434.00000000","2013-01-01T00:15:18.000","2013-01-01T00:15:22.000","2013-01-01T00:17:56.000","2013-01-01T01:49:56.000","GOA","GONE ON ARRIVAL","001XX Canal St","70130","8","(29.949723217771, -90.064335159881)"
"A0007113","62A","BURGLAR ALARM, SILEN","2C","3665572.00000000","549328.00000000","2013-01-01T00:15:51.000","2013-01-01T00:49:47.000","2013-01-01T01:01:23.000","2013-01-01T01:04:09.000","NAT","NECESSARY ACTION TAKEN","002XX 22nd St","70124","3","(30.004935701302, -90.117768882745)"
"A0007213","94F","FIREWORKS","1H","3724105.00000000","568938.00000000","2013-01-01T00:15:21.000","2013-01-01T02:38:26.000",,"2013-01-01T02:38:30.000","NAT","NECESSARY ACTION TAKEN","135XX Saint Marie Dr","70129","7","(30.0570179595, -89.932096123457)"
"A0007413","21","COMPLAINT OTHER","1H","3685298.00000000","539273.00000000","2013-01-01T00:16:37.000","2013-01-01T00:46:46.000","2013-01-01T00:55:39.000","2013-01-01T01:07:38.000","NAT","NECESSARY ACTION TAKEN","022XX N Prieur St","70117","5","(29.976697884471, -90.055804680595)"
"A0007513","21","COMPLAINT OTHER","2H","3680873.00000000","536269.00000000","2013-01-01T00:16:05.000","2013-01-01T00:18:29.000","2013-01-01T00:21:10.000","2013-01-01T00:25:38.000","GOA","GONE ON ARRIVAL","017XX Bayou Rd","70116","1","(29.968572835286, -90.069884813056)"
"A0007613","94","DISCHARGING FIREARM","2B","3692312.00000000","525433.00000000","2013-01-01T00:17:35.000","2013-01-01T00:19:17.000",,"2013-01-01T00:19:35.000","UNF","UNFOUNDED","Farragut St & Lawrence St","70114","4","(29.938425825602, -90.034147982929)"
"A0007713","107","SUSPICIOUS PERSON","2B","3699362.00000000","530277.00000000","2013-01-01T00:14:12.000","2013-01-01T00:52:12.000","2013-01-01T00:58:15.000","2013-01-01T00:58:24.000","GOA","GONE ON ARRIVAL","Alhambra St & Delery St","70117","5","(29.951523451855, -90.011714178222)"
"A0007813","94F","FIREWORKS","1H","3697216.00000000","532002.00000000","2013-01-01T00:18:25.000","2013-01-01T01:22:09.000","2013-01-01T01:27:25.000","2013-01-01T01:33:06.000","UNF","UNFOUNDED","Chartres St & Flood St","70117","5","(29.956334480155, -90.018427662483)"
"A0007913","94","DISCHARGING FIREARM","2B","3691711.00000000","555424.00000000","2013-01-01T00:20:15.000","2013-01-01T00:33:38.000","2013-01-01T00:37:22.000","2013-01-01T00:38:28.000","UNF","UNFOUNDED","Pauline Dr & Prentiss Ave","70126","3","(30.020909077477, -90.034972515469)"
"A0008013","62A","BURGLAR ALARM, SILEN","2C","3681297.00000000","536758.00000000","2013-01-01T00:21:01.000","2013-01-01T00:22:29.000",,"2013-01-01T00:23:34.000","NAT","NECESSARY ACTION TAKEN","014XX N Claiborne Ave","70116","1","(29.969904554964, -90.068528752927)"
"A0008113","94","DISCHARGING FIREARM","2B","3706156.00000000","559875.00000000","2013-01-01T00:21:10.000","2013-01-01T00:24:50.000","2013-01-01T00:37:56.000","2013-01-01T00:41:23.000","UNF","UNFOUNDED","069XX Bunker Hill Rd","70127","7","(30.032689629828, -89.989165893943)"
"A0008213","20","AUTO ACCIDENT","1C","3676976.00000000","530785.00000000","2013-01-01T00:21:05.000","2013-01-01T01:20:38.000","2013-01-01T01:24:38.000","2013-01-01T02:34:21.000","RTF","REPORT TO FOLLOW","S Claiborne Ave & Poydras St","70112","8","(29.953611263094, -90.082380831807)"
"A0008313","94","DISCHARGING FIREARM","2B","3688561.00000000","548811.00000000","2013-01-01T00:20:05.000","2013-01-01T00:27:05.000","2013-01-01T00:30:27.000","2013-01-01T00:33:27.000","UNF","UNFOUNDED","039XX Gentilly Blvd","70126","3","(30.002823527401, -90.045160483626)"
"A0008413","65P","SIMPLE ROBBERY PROPE","2B","3683068.00000000","531830.00000000","2013-01-01T00:23:19.000","2013-01-01T00:34:00.000","2013-01-01T00:55:11.000","2013-01-01T03:51:28.000","RTF","REPORT TO FOLLOW","006XX Decatur St","70130","8","(29.956300375853, -90.063108296726)"
"A0008513","94","DISCHARGING FIREARM","2B","3691734.00000000","525039.00000000","2013-01-01T00:23:45.000","2013-01-01T00:28:35.000","2013-01-01T00:34:53.000","2013-01-01T00:37:59.000","UNF","UNFOUNDED","017XX Numa St","70114","4","(29.937360467351, -90.03598686331)"
"A0008613","94","DISCHARGING FIREARM","2B","3691392.00000000","536180.00000000","2013-01-01T00:23:36.000","2013-01-01T00:32:27.000","2013-01-01T00:35:07.000","2013-01-01T00:37:15.000","UNF","UNFOUNDED","Pauline St & Urquhart St","70117","5","(29.968005000709, -90.036668550391)"
"A0008813","94F","FIREWORKS","2B","3685048.00000000","536655.00000000","2013-01-01T00:23:33.000","2013-01-01T00:37:24.000","2013-01-01T00:42:15.000","2013-01-01T00:52:03.000","NAT","NECESSARY ACTION TAKEN","022XX Marais St","70117","5","(29.969506959799, -90.056686380528)"
"A0008913","94F","FIREWORKS","1H","3677455.00000000","519293.00000000","2013-01-01T00:23:46.000","2013-01-01T00:27:41.000","2013-01-01T00:28:45.000","2013-01-01T00:30:42.000","NAT","NECESSARY ACTION TAKEN","6th St & Chippewa St","70115","6","(29.921997657302, -90.081264859886)"
"A0009013","94F","FIREWORKS","1H","3675327.00000000","517897.00000000","2013-01-01T00:23:15.000","2013-01-01T00:36:26.000",,"2013-01-01T00:40:19.000","NAT","NECESSARY ACTION TAKEN","007XX Delachaise St","70115","6","(29.918222871526, -90.088029961679)"
"A0009213","94","DISCHARGING FIREARM","1B","3675670.00000000","539191.00000000","2013-01-01T00:25:05.000","2013-01-01T00:31:26.000",,"2013-01-01T00:31:32.000","NAT","NECESSARY ACTION TAKEN","N Rendon St & Saint Philip St","70119","1","(29.976764061922, -90.086215749472)"
"A0009313","94","DISCHARGING FIREARM","2B","3684513.00000000","537011.00000000","2013-01-01T00:24:37.000","2013-01-01T00:44:06.000","2013-01-01T00:45:55.000","2013-01-01T00:49:25.000","UNF","UNFOUNDED","013XX Frenchmen St","70116","5","(29.970502215321, -90.058363442593)"
"A0009413","94F","FIREWORKS","1H","3690842.00000000","533953.00000000","2013-01-01T00:26:40.000","2013-01-01T01:13:18.000","2013-01-01T01:13:20.000","2013-01-01T01:22:00.000","UNF","UNFOUNDED","Pauline St & Royal St","70117","5","(29.96189863388, -90.038484939045)"
"A0009513","21","COMPLAINT OTHER","1H","3707735.00000000","553372.00000000","2013-01-01T00:27:44.000","2013-01-01T00:27:45.000","2013-01-01T00:53:30.000","2013-01-01T01:09:32.000","NATM","MUNICIPAL NECESSARY ACTION TAK","087XX Chef Menteur Hwy","70127","7","(30.014757889487, -89.984418085319)"
"A0009613","99","RECKLESS DRIVING","2D","3679854.00000000","534662.00000000","2013-01-01T00:27:11.000","2013-01-01T00:30:21.000",,"2013-01-01T00:31:09.000","GOA","GONE ON ARRIVAL","I-10 E & Orleans Ave","70116","1","(29.964184990285, -90.07315868304)"
"A0009713","103","DISTURBANCE (OTHER)","1C","3682369.00000000","529694.00000000","2013-01-01T00:28:14.000","2013-01-01T00:28:17.000","2013-01-01T00:28:28.000","2013-01-01T01:20:31.000","NAT","NECESSARY ACTION TAKEN","003XX Canal St","70130","8","(29.950448387993, -90.065390137763)"
"A0009813","94F","FIREWORKS","1H","3673900.00000000","534739.00000000","2013-01-01T00:29:05.000","2013-01-01T00:29:46.000",,"2013-01-01T00:29:48.000","NAT","NECESSARY ACTION TAKEN","029XX Banks St","70119","1","(29.964575421723, -90.091958303876)"
"A0009913","94","DISCHARGING FIREARM","2B","3702877.00000000","521545.00000000","2013-01-01T00:26:10.000","2013-01-01T00:31:35.000","2013-01-01T00:37:44.000","2013-01-01T00:40:23.000","UNF","UNFOUNDED","Anson St & Somerset Dr","70131","4","(29.927401574997, -90.000936200155)"
"A0010013","94F","FIREWORKS","1H","3668401.00000000","530042.00000000","2013-01-01T00:28:43.000","2013-01-01T00:40:55.000","2013-01-01T00:46:27.000","2013-01-01T00:52:30.000","UNF","UNFOUNDED","040XX Vincennes Pl","70125","2","(29.951822883559, -90.109482228402)"
