"nopd_item","type_","typetext","mapx","mapy","timecreate","timedispatch","timeclosed","disposition","dispositiontext","block_address","zip"
"A0129914","107","SUSPICIOUS PERSON","3696721","551525","2014-01-01T21:00:17.000",,"2014-01-01T21:14:54.000","NAT","Necessary Action Taken","060XX Chef Menteur Hwy","70126"
"A0131814","107","SUSPICIOUS PERSON","3682241","536739","2014-01-01T21:12:44.000","2014-01-01T21:12:44.000","2014-01-01T21:22:03.000","NAT","Necessary Action Taken","014XX Columbus St","70116"
"A0138814","107","SUSPICIOUS PERSON","3681133","531749","2014-01-01T22:23:49.000","2014-01-01T22:23:49.000","2014-01-01T22:52:51.000","NAT","Necessary Action Taken","003XX Dauphine St","70112"
"A0139414","107","SUSPICIOUS PERSON","3683235","535855","2014-01-01T22:33:29.000","2014-01-01T22:36:09.000","2014-01-01T22:45:51.000","NAT","Necessary Action Taken","St Bernard Ave & N Rampart St","70116"
"A0140214","107","SUSPICIOUS PERSON","3694976","557050","2014-01-01T22:47:05.000","2014-01-01T22:47:38.000","2014-01-01T23:22:25.000","NAT","Necessary Action Taken","072XX Downman Rd","70126"
"A0142614","107","SUSPICIOUS PERSON","3672614","534580","2014-01-01T23:05:40.000","2014-01-01T23:17:00.000","2014-01-01T23:26:58.000","UNF","UNFOUNDED","S Lopez St & Tulane Ave","70119"
"A0144814","107","SUSPICIOUS PERSON","3705019","552814","2014-01-01T23:19:30.000",,"2014-01-01T23:21:54.000","NAT","Necessary Action Taken","Chef Menteur Hwy & Werner Dr","70126"
"A0145414","107","SUSPICIOUS PERSON","3680810","533435","2014-01-01T23:26:44.000",,"2014-01-01T23:40:08.000","NAT","Necessary Action Taken","Basin St & Crozat St","70112"
"A0148014","107","SUSPICIOUS PERSON","3672614","534580","2014-01-01T23:47:33.000","2014-01-01T23:48:14.000","2014-01-01T23:59:07.000","GOA","GONE ON ARRIVAL","S Lopez St & Tulane Ave","70119"
"A0149114","107","SUSPICIOUS PERSON","3674836","518035","2014-01-01T23:58:36.000","2014-01-02T00:04:10.000","2014-01-02T00:19:47.000","NAT","Necessary Action Taken","007XX Aline St","70115"
"A0149314","107","SUSPICIOUS PERSON","3684236","536187","2014-01-02T00:00:19.000","2014-01-02T00:00:32.000","2014-01-02T01:03:55.000","NAT","Necessary Action Taken","Touro St & Saint Claude Ave","70116"
"A0150614","107","SUSPICIOUS PERSON","3690196","549205","2014-01-02T00:12:42.000",,"2014-01-02T00:20:58.000","NAT","Necessary Action Taken","Chef Menteur Hwy & Press Dr","70126"
"A0151514","107","SUSPICIOUS PERSON","3678254","519788","2014-01-02T00:18:53.000","2014-01-02T00:19:54.000","2014-01-02T00:32:32.000","NAT","Necessary Action Taken","026XX Chippewa St","70130"
"A0156414","67A","AUTO THEFT","3691602","549446","2014-01-02T01:09:13.000","2014-01-02T01:10:23.000","2014-01-02T03:35:07.000","RTF","REPORT TO FOLLOW","046XX Old Gentilly Rd","70126"
"A0156614","107","SUSPICIOUS PERSON","3683657","533910","2014-01-02T01:09:59.000",,"2014-01-02T01:43:11.000","NAT","Necessary Action Taken","007XX Governor Nicholls St","70116"
"A0161014","107","SUSPICIOUS PERSON","3699146","555688","2014-01-02T02:28:00.000","2014-01-02T02:29:07.000","2014-01-02T02:56:26.000","NAT","Necessary Action Taken","066XX Coveview Ct","70126"
"A0165914","107","SUSPICIOUS PERSON","3682310","530362","2014-01-02T03:44:31.000",,"2014-01-02T03:44:49.000","NAT","Necessary Action Taken","002XX N Peters St","70130"
"A0170114","107","SUSPICIOUS PERSON","3680505","530376","2014-01-02T05:25:10.000","2014-01-02T05:26:23.000","2014-01-02T06:48:05.000","NAT","Necessary Action Taken","002XX Carondelet St","70112"
"A0173114","107","SUSPICIOUS PERSON","3689788","551040","2014-01-02T06:36:21.000","2014-01-02T06:37:57.000","2014-01-02T06:57:32.000","GOA","GONE ON ARRIVAL","048XX Montegut Dr","70126"
"A0173514","20","AUTO ACCIDENT","3680608","530508","2014-01-02T06:40:10.000","2014-01-02T07:47:06.000","2014-01-02T08:06:39.000","UNF","UNFOUNDED","Common St & Carondelet St","70112"
"A0177114","107","SUSPICIOUS PERSON","3666908","540682","2014-01-02T07:48:44.000","2014-01-02T07:48:44.000","2014-01-02T07:59:17.000","NAT","Necessary Action Taken","I-10 E & City Park Ave","70124"
"A0177314","107","SUSPICIOUS PERSON","3681584","533675","2014-01-02T07:53:00.000",,"2014-01-02T08:07:17.000","NAT","Necessary Action Taken","008XX N Rampart St","70116"
"A0178714","107","SUSPICIOUS PERSON","3669986","518312","2014-01-02T08:13:45.000",,"2014-01-02T08:22:50.000","NAT","Necessary Action Taken","Valence St & Constance St","70115"
"A0180414","103","DISTURBANCE (OTHER)","3691602","549446","2014-01-02T08:38:59.000","2014-01-02T08:40:16.000","2014-01-02T09:14:28.000","NAT","Necessary Action Taken","046XX Old Gentilly Rd","70126"
"A0186014","107","SUSPICIOUS PERSON","3673538","523245","2014-01-02T09:41:44.000","2014-01-02T09:43:12.000","2014-01-02T10:30:06.000","NAT","Necessary Action Taken","021XX Louisiana Ave","70115"
"A0194014","107","SUSPICIOUS PERSON","3699068","531166","2014-01-02T10:58:49.000","2014-01-02T11:02:50.000","2014-01-02T11:54:51.000","NAT","Necessary Action Taken","005XX Saint Maurice Ave","70117"
"A0195314","107","SUSPICIOUS PERSON","3673359","528106","2014-01-02T11:11:26.000",,"2014-01-02T11:31:07.000","NAT","Necessary Action Taken","033XX 2nd St","70125"
"A0200414","107","SUSPICIOUS PERSON","3668831","537058","2014-01-02T11:56:35.000","2014-01-02T11:56:35.000","2014-01-02T12:03:50.000","NAT","Necessary Action Taken","043XX Ulloa St","70119"
"A0201514","107","SUSPICIOUS PERSON","3675513","527065","2014-01-02T12:09:13.000",,"2014-01-02T12:14:50.000","NAT","Necessary Action Taken","Magnolia St & Josephine St","70113"
"A0203514","107","SUSPICIOUS PERSON","3700185","535027","2014-01-02T12:20:33.000","2014-01-02T12:22:42.000","2014-01-02T12:47:48.000","NAT","Necessary Action Taken","Tupelo St & N Claiborne Ave","70117"
"A0206014","21","COMPLAINT OTHER","3671459","530731","2014-01-02T12:38:22.000","2014-01-02T12:43:42.000","2014-01-02T13:04:41.000","NAT","Necessary Action Taken","041XX Thalia St","70125"
"A0207114","107","SUSPICIOUS PERSON","3681292","521699","2014-01-02T12:47:09.000",,"2014-01-02T13:10:34.000","DUP","DUPLICATE","018XX Saint Thomas St","70130"
"A0211114","107","SUSPICIOUS PERSON","3680289","538248","2014-01-02T13:35:55.000","2014-01-02T13:36:37.000","2014-01-02T13:59:29.000","NAT","Necessary Action Taken","021XX Columbus St","70119"
"A0215814","107","SUSPICIOUS PERSON","3669772","528033","2014-01-02T14:29:03.000","2014-01-02T14:29:59.000","2014-01-02T14:41:17.000","GOA","GONE ON ARRIVAL","036XX Jena St","70125"
"A0215914","107","SUSPICIOUS PERSON","3674520","527889","2014-01-02T14:30:42.000","2014-01-02T14:31:16.000","2014-01-02T15:02:24.000","NAT","Necessary Action Taken","021XX S Claiborne Ave","70125"
"A0217514","107","SUSPICIOUS PERSON","3663469","533764","2014-01-02T14:55:26.000","2014-01-02T15:58:21.000","2014-01-02T16:12:55.000","GOA","GONE ON ARRIVAL","088XX Apple St","70118"
"A0218414","107","SUSPICIOUS PERSON","3708266","518035","2014-01-02T15:04:25.000","2014-01-02T15:38:06.000","2014-01-02T15:47:43.000","UNF","UNFOUNDED","Dickens Dr & Berkley Dr","70131"
"A0220414","72","FORGERY","3692196","529575","2014-01-02T15:24:20.000","2014-01-02T15:34:05.000","2014-01-02T19:41:49.000","RTF","REPORT TO FOLLOW","005XX O'Bannon St","70114"
"A0221414","107","SUSPICIOUS PERSON","3686850","536460","2014-01-02T15:32:18.000",,"2014-01-02T15:42:35.000","NAT","Necessary Action Taken","Saint Claude Ave & Music St","70117"
"A0227814","107","SUSPICIOUS PERSON","3683576","540353","2014-01-02T16:23:01.000","2014-01-02T16:23:11.000","2014-01-02T17:23:23.000","NAT","Necessary Action Taken","029XX Pauger St","70119"
"A0229314","107","SUSPICIOUS PERSON","3671135","535822","2014-01-02T16:31:37.000",,"2014-01-02T16:49:21.000","NAT","Necessary Action Taken","Dehemecourt St & S Telemachus St","70119"
"A0232314","107","SUSPICIOUS PERSON","3696453","527756","2014-01-02T16:56:11.000","2014-01-02T17:28:03.000","2014-01-02T18:05:35.000","UNF","UNFOUNDED","010XX Horace St","70114"
"A0234214","107","SUSPICIOUS PERSON","3669500","553753","2014-01-02T17:18:45.000","2014-01-02T17:20:06.000","2014-01-02T17:26:08.000","GOA","GONE ON ARRIVAL","069XX Vicksburg St","70124"
"A0235814","107","SUSPICIOUS PERSON","3701477","561727","2014-01-02T17:32:38.000","2014-01-02T17:34:47.000","2014-01-02T17:46:25.000","GOA","GONE ON ARRIVAL","078XX Primrose Dr","70126"
"A0239814","107","SUSPICIOUS PERSON","3663263","534006","2014-01-02T18:11:04.000","2014-01-02T18:12:52.000","2014-01-02T18:20:02.000","UNF","UNFOUNDED","Apple St & Gen Ogden St","70118"
"A0241214","107","SUSPICIOUS PERSON","3698552","531571","2014-01-02T18:23:14.000","2014-01-02T18:32:00.000","2014-01-02T18:47:09.000","GOA","GONE ON ARRIVAL","060XX Chartres St","70117"
"A0244814","107","SUSPICIOUS PERSON","3679820","531659","2014-01-02T18:54:19.000","2014-01-02T18:59:36.000","2014-01-02T19:28:29.000","NAT","Necessary Action Taken","Elk Pl & Canal St","70112"
"A0244914","107","SUSPICIOUS PERSON","3685444","556251","2014-01-02T18:55:22.000",,"2014-01-02T18:58:31.000","VOI","VOID","024XX Mexico St","70122"
"A0246914","107","SUSPICIOUS PERSON","3668282","553957","2014-01-02T19:18:34.000","2014-01-02T19:22:28.000","2014-01-02T19:43:11.000","UNF","UNFOUNDED","069XX Louisville St","70124"
"A0250614","107","SUSPICIOUS PERSON","3700292","558861","2014-01-02T19:50:08.000","2014-01-02T19:51:53.000","2014-01-02T20:03:26.000","NAT","Necessary Action Taken","072XX Spring Lake Dr","70126"
"A0259014","107","SUSPICIOUS PERSON","3719900","573498","2014-01-02T21:28:28.000","2014-01-02T21:28:28.000","2014-01-02T21:29:12.000","NAT","Necessary Action Taken","Curran Blvd & Buffalo Rd","70128"
"A0261514","107","SUSPICIOUS PERSON","3718179","572560","2014-01-02T21:48:31.000","2014-01-02T21:48:49.000","2014-01-02T22:32:43.000","NAT","Necessary Action Taken","140XX Wales St","70128"
"A0262414","107","SUSPICIOUS PERSON","3680508","535443","2014-01-02T21:58:35.000","2014-01-02T21:58:42.000","2014-01-02T22:17:36.000","NAT","Necessary Action Taken","Saint Philip St & N Claiborne Ave","70116"
"A0262914","107","SUSPICIOUS PERSON","3709724","554126","2014-01-02T22:03:55.000","2014-01-02T22:05:53.000","2014-01-02T22:19:52.000","UNF","UNFOUNDED","044XX Longfellow Dr","70127"
"A0263014","107","SUSPICIOUS PERSON","3667277","534146","2014-01-02T22:04:39.000",,"2014-01-02T22:29:11.000","NAT","Necessary Action Taken","Olive St & S Carrollton Ave",
"A0263314","107","SUSPICIOUS PERSON","3682256","537244","2014-01-02T22:11:11.000",,"2014-01-02T23:09:32.000","NAT","Necessary Action Taken","Laharpe St & N Robertson St",
"A0265114","107","SUSPICIOUS PERSON","3682100","531874","2014-01-02T22:31:02.000",,"2014-01-02T23:23:11.000","NAT","Necessary Action Taken","Saint Louis St & Royal St","70130"
"A0265314","107","SUSPICIOUS PERSON","3696287","551770","2014-01-02T22:33:31.000","2014-01-02T22:35:32.000","2014-01-02T22:59:15.000","UNF","UNFOUNDED","039XX Downman Rd","70126"
"A0265414","107","SUSPICIOUS PERSON","3684678","535196","2014-01-02T22:36:54.000",,"2014-01-02T23:05:34.000","NAT","Necessary Action Taken","008XX Frenchmen St","70116"
"A0265614","107","SUSPICIOUS PERSON","3692422","526680","2014-01-02T22:39:01.000","2014-01-02T22:40:17.000","2014-01-02T23:11:54.000","NAT","Necessary Action Taken","012XX Farragut St","70114"
"A0265914","107","SUSPICIOUS PERSON","3696711","520557","2014-01-02T22:43:40.000",,"2014-01-02T23:11:04.000","NAT","Necessary Action Taken","036XX Macarthur Blvd","70114"
"A0266314","107","SUSPICIOUS PERSON","3681351","536552","2014-01-02T22:48:59.000",,"2014-01-02T23:36:12.000","NAT","Necessary Action Taken","014XX N Claiborne Ave",
"A0266714","67A","AUTO THEFT","3679164","528845","2014-01-02T22:54:28.000","2014-01-02T22:55:24.000","2014-01-03T03:40:26.000","RTF","REPORT TO FOLLOW","007XX S Rampart St","70113"
"A0268314","107","SUSPICIOUS PERSON","3704637","561280","2014-01-02T23:10:17.000","2014-01-02T23:46:39.000","2014-01-03T00:21:39.000","GOA","GONE ON ARRIVAL","Claridge Ct & Morrison Rd","70127"
"A0278014","107","SUSPICIOUS PERSON","3669655","537028","2014-01-03T00:41:47.000","2014-01-03T00:43:36.000","2014-01-03T01:38:27.000","UNF","UNFOUNDED","041XX D'Hemecourt St","70119"
"A0279714","107","SUSPICIOUS PERSON","3668468","523694","2014-01-03T00:59:46.000","2014-01-03T01:23:02.000","2014-01-03T01:31:36.000","UNF","UNFOUNDED","022XX Soniat St","70115"
"A0285114","107","SUSPICIOUS PERSON","3678958","532905","2014-01-03T02:12:03.000",,"2014-01-03T03:54:09.000","NAT","Necessary Action Taken","016XX Iberville St","70112"
"A0289714","17R","WARR STOP WITH RELEASE","3681351","536552","2014-01-03T03:28:27.000","2014-01-03T03:28:43.000","2014-01-03T04:42:10.000","RTF","REPORT TO FOLLOW","Esplanade Ave & N Claiborne Ave",
"A0318414","107","SUSPICIOUS PERSON","3673684","533381","2014-01-03T10:45:13.000",,"2014-01-03T10:46:35.000","VOI","VOID","007XX S Broad St","70119"
"A0321614","107","SUSPICIOUS PERSON","3670270","551079","2014-01-03T11:23:41.000","2014-01-03T11:24:53.000","2014-01-03T11:48:18.000","NAT","Necessary Action Taken","065XX Marshall Foch St","70124"
"A0322514","107","SUSPICIOUS PERSON","3673788","527999","2014-01-03T11:34:23.000",,"2014-01-03T11:38:50.000","NAT","Necessary Action Taken","S Roman St & 1st St","70125"
"A0322714","107","SUSPICIOUS PERSON","3676111","526281","2014-01-03T11:35:22.000","2014-01-03T11:36:11.000","2014-01-03T11:55:43.000","UNF","UNFOUNDED","Josephine St & Lasalle St","70113"
"A0325414","107","SUSPICIOUS PERSON","3664232","534549","2014-01-03T12:05:43.000","2014-01-03T12:07:17.000","2014-01-03T12:12:08.000","NAT","Necessary Action Taken","Eagle St & Pritchard Pl","70118"
"A0326214","107","SUSPICIOUS PERSON","3666085","538018","2014-01-03T12:14:11.000","2014-01-03T12:14:42.000","2014-01-03T12:39:14.000","GOA","GONE ON ARRIVAL","039XX Hamilton St","70118"
"A0329914","107","SUSPICIOUS PERSON","3672551","528757","2014-01-03T12:55:37.000","2014-01-03T13:26:42.000","2014-01-03T14:15:58.000","NAT","Necessary Action Taken","3rd St & S Miro St","70125"
"A0330014","107","SUSPICIOUS PERSON","3665719","534620","2014-01-03T12:57:58.000",,"2014-01-03T14:02:21.000","NAT","Necessary Action Taken","Joliet St & Oleander St","70118"
"A0330614","107","SUSPICIOUS PERSON","3695910","523145","2014-01-03T13:05:40.000","2014-01-03T13:06:22.000","2014-01-03T13:14:18.000","UNF","UNFOUNDED","001XX Pinewood Ct","70114"
"A0351114","107","SUSPICIOUS PERSON","3668674","519644","2014-01-03T16:42:39.000","2014-01-03T16:43:28.000","2014-01-03T16:59:40.000","GOA","GONE ON ARRIVAL","Robert St & Coliseum St","70115"
"A0355514","107","SUSPICIOUS PERSON","3684046","533157","2014-01-03T17:25:02.000",,"2014-01-03T17:35:31.000","NAT","Necessary Action Taken","Decatur St & Ursulines Ave",
"A0359914","107","SUSPICIOUS PERSON","3675814","526051","2014-01-03T17:58:03.000","2014-01-03T17:59:31.000","2014-01-03T18:11:45.000","GOA","GONE ON ARRIVAL","La Salle St & Jackson Ave","70113"
"A0361514","107","SUSPICIOUS PERSON","3693787","525415","2014-01-03T18:09:21.000","2014-01-03T18:11:37.000","2014-01-03T18:34:27.000","UNF","UNFOUNDED","Lawrence St & Florence Ave","70114"
"A0364014","107","SUSPICIOUS PERSON","3688543","530745","2014-01-03T18:33:11.000","2014-01-03T18:33:55.000","2014-01-03T18:45:58.000","UNF","UNFOUNDED","Pacific Ave & Pelican Ave","70114"
"A0366614","107","SUSPICIOUS PERSON","3679762","528702","2014-01-03T19:01:33.000","2014-01-03T19:01:33.000","2014-01-03T19:14:31.000","NAT","Necessary Action Taken","007XX Baronne St","70113"
"A0367814","107","SUSPICIOUS PERSON","3688809","529875","2014-01-03T19:13:41.000","2014-01-03T19:16:48.000","2014-01-03T19:40:56.000","UNF","UNFOUNDED","Atlantic Ave & Eliza St","70114"
"A0371614","107","SUSPICIOUS PERSON","3687107","549972","2014-01-03T19:50:47.000","2014-01-03T19:53:46.000","2014-01-03T20:31:33.000","NAT","Necessary Action Taken","046XX De Montluzin St","70122"
"A0372114","107","SUSPICIOUS PERSON","3689456","535588","2014-01-03T19:55:07.000","2014-01-03T19:56:02.000","2014-01-03T20:10:58.000","NAT","Necessary Action Taken","010XX Louisa St","70117"
"A0374014","107","SUSPICIOUS PERSON","3669474","518683","2014-01-03T20:18:01.000","2014-01-03T20:20:38.000","2014-01-03T20:34:04.000","GOA","GONE ON ARRIVAL","048XX Magazine St","70115"
"A0374214","107","SUSPICIOUS PERSON","3680607","540387","2014-01-03T20:20:56.000","2014-01-03T20:22:20.000","2014-01-03T22:05:10.000","NAT","Necessary Action Taken","N Rocheblave St & Aubry St","70119"
"A0376414","107","SUSPICIOUS PERSON","3681996","536925","2014-01-03T20:43:07.000","2014-01-03T20:43:07.000","2014-01-03T22:05:38.000","RTF","REPORT TO FOLLOW","015XX Columbus St","70116"
"A0376514","107","SUSPICIOUS PERSON","3683674","532607","2014-01-03T20:43:51.000","2014-01-03T20:43:51.000","2014-01-03T20:55:36.000","NAT","Necessary Action Taken","009XX Decatur St","70116"
"A0378514","107","SUSPICIOUS PERSON","3699880","534534","2014-01-03T21:05:12.000","2014-01-03T21:11:35.000","2014-01-03T21:37:54.000","UNF","UNFOUNDED","014XX Tupelo St","70117"
"A0378814","107","SUSPICIOUS PERSON","3662796","531415","2014-01-03T21:10:08.000",,"2014-01-03T21:10:57.000","NAT","Necessary Action Taken","Spruce St & Joliet St","70118"
"A0379614","107","SUSPICIOUS PERSON","3681247","534880","2014-01-03T21:20:13.000",,"2014-01-03T21:27:46.000","NAT","Necessary Action Taken","Marais St & St Philip St","70116"
