"nopd_item","type","typetext","priority","mapx","mapy","timecreate","timedispatch","timearrive","timeclosed","disposition","dispositiontext","block_address","zip","policedistrict","location"
"A0001111","18","TRAFFIC  INCIDENT","1H","3683438.00000000","532300.00000000","2011-01-01T00:00:30.000","2011-01-01T00:00:30.000","2011-01-01T00:00:30.000","2011-01-01T00:01:56.000","NAT","NECESSARY ACTION TAKEN","008XX Decatur St","70116","8","(29.957581432135, -90.061923494642)"
"A0001211","21","COMPLAINT OTHER","1H","3674418.00000000","529683.00000000","2011-01-01T00:00:34.000","2011-01-01T00:00:37.000","2011-01-01T00:21:31.000","2011-01-01T01:15:36.000","NAT","NECESSARY ACTION TAKEN","012XX S Galvez St","70125","6","(29.950657669617, -90.090495675954)"
"A0001511","94","DISCHARGING FIREARMS","2B","3686127.00000000","540472.00000000","2011-01-01T00:00:46.000","2011-01-01T00:02:41.000","2011-01-01T00:06:52.000","2011-01-01T00:39:01.000","UNF","UNFOUNDED","N Miro St & St Roch Ave","70117","5","(29.979969272105, -90.053144138274)"
"A0001611","94F","FIREWORKS","1H","3706608.00000000","515293.00000000","2011-01-01T00:02:24.000","2011-01-01T00:02:27.000","2011-01-01T00:02:35.000","2011-01-01T00:11:20.000","NAT","NECESSARY ACTION TAKEN","043XX Maple Leaf Dr","70131","4","(29.910090925559, -89.989389942754)"
"A0001711","94","DISCHARGING FIREARMS","1B","3708567.00000000","564948.00000000","2011-01-01T00:01:12.000","2011-01-01T00:04:00.000",,"2011-01-01T00:19:08.000","UNF","UNFOUNDED","101XX Curran Blvd","70127","7","(30.046560373919, -89.981357850877)"
"A0001811","94","DISCHARGING FIREARMS","1B","3709662.00000000","567137.00000000","2011-01-01T00:01:09.000","2011-01-01T00:04:24.000",,"2011-01-01T00:42:11.000","UNF","UNFOUNDED","Hayne Blvd & Lehigh St","70127","7","(30.052543670931, -89.977815266778)"
"A0001911","107","SUSPICIOUS PERSON","2B","3682054.00000000","532371.00000000","2011-01-01T00:02:44.000","2011-01-01T00:02:46.000",,"2011-01-01T00:26:35.000","NAT","NECESSARY ACTION TAKEN","006XX Bourbon St","70112","8","(29.957818811076, -90.066291276708)"
"A0002011","18","TRAFFIC  INCIDENT","2H","3698927.00000000","557249.00000000","2011-01-01T00:02:26.000","2011-01-01T00:04:51.000","2011-01-01T00:13:53.000","2011-01-01T00:46:39.000","NAT","NECESSARY ACTION TAKEN","I-10 W & Morrison Exit","70126","7","(30.025700332709, -90.012105689342)"
"A0002111","94","DISCHARGING FIREARMS","2B","3705527.00000000","519094.00000000","2011-01-01T00:02:18.000","2011-01-01T00:03:38.000",,"2011-01-01T00:16:12.000","UNF","UNFOUNDED","Mac Arthur Blvd & Woodland Dr","70131","4","(29.920577182582, -89.992661405676)"
"A0002211","94","DISCHARGING FIREARMS","2B","3676541.00000000","527551.00000000","2011-01-01T00:02:55.000","2011-01-01T00:03:01.000","2011-01-01T00:07:17.000","2011-01-01T01:07:31.000","RTF","REPORT TO FOLLOW","025XX Thalia St","70113","6","(29.94473188968, -90.083865731667)"
"A0002311","94","DISCHARGING FIREARMS","2B","3692277.00000000","524680.00000000","2011-01-01T00:01:14.000","2011-01-01T00:05:21.000","2011-01-01T00:09:26.000","2011-01-01T01:08:20.000","UNF","UNFOUNDED","Farragut St & Shepard St","70114","4","(29.936356423819, -90.034285432529)"
"A0002411","21","COMPLAINT OTHER","1H","3680290.00000000","531293.00000000","2011-01-01T00:03:14.000","2011-01-01T00:03:26.000","2011-01-01T00:03:32.000","2011-01-01T02:55:31.000","NAT","NECESSARY ACTION TAKEN","Canal St & University Pl","70112","8","(29.954908192544, -90.071898955516)"
"A0002511","94","DISCHARGING FIREARMS","2B","3705072.00000000","555657.00000000","2011-01-01T00:03:04.000","2011-01-01T00:05:34.000",,"2011-01-01T00:19:09.000","UNF","UNFOUNDED","Eastview Dr & Hammond St","70126","7","(30.021126690685, -89.992747343802)"
"A0002611","94F","FIREWORKS","1H","3702793.00000000","557595.00000000","2011-01-01T00:02:56.000","2011-01-01T00:47:01.000",,"2011-01-01T00:48:34.000","NAT","NECESSARY ACTION TAKEN","N Coronet Ct & Parc Brittany Blv","70126","7","(30.026528560893, -89.999877026281)"
"A0002711","94F","FIREWORKS","1A","3703996.00000000","521732.00000000","2011-01-01T00:02:49.000","2011-01-01T00:26:26.000",,"2011-01-01T00:44:36.000","GOA","GONE ON ARRIVAL","025XX Eton St","70131","4","(29.927879934189, -89.997396940403)"
"A0002811","94","DISCHARGING FIREARMS","2B","3689496.00000000","545764.00000000","2011-01-01T00:03:20.000","2011-01-01T00:04:56.000",,"2011-01-01T00:22:35.000","UNF","UNFOUNDED","Almonaster Ave & Simmons Dr","70126","5","(29.994416448138, -90.042315153588)"
"A0002911","21","COMPLAINT OTHER","1H","3705400.00000000","514865.00000000","2011-01-01T00:04:27.000","2011-01-01T00:04:29.000","2011-01-01T00:04:33.000","2011-01-01T00:08:56.000","NAT","NECESSARY ACTION TAKEN","Gen De Gaulle Dr & LA 407","70131","4","(29.908952975784, -89.993218404741)"
"A0003011","94F","FIREWORKS","2B","3681284.00000000","521744.00000000","2011-01-01T00:04:15.000","2011-01-01T00:08:43.000",,"2011-01-01T00:08:54.000","NAT","NECESSARY ACTION TAKEN","Felicity St & St Thomas St","70130","6","(29.92862150306, -90.069092959248)"
"A0003111","94","DISCHARGING FIREARMS","2B","3696662.00000000","552722.00000000","2011-01-01T00:02:38.000","2011-01-01T00:12:02.000",,"2011-01-01T00:19:09.000","UNF","UNFOUNDED","060XX Airway St","70126","7","(30.013324412583, -90.019426768201)"
"A0003211","94","DISCHARGING FIREARMS","2B","3692882.00000000","535814.00000000","2011-01-01T00:04:02.000","2011-01-01T00:08:27.000","2011-01-01T00:08:49.000","2011-01-01T01:13:57.000","UNF","UNFOUNDED","Lesseps St & Urquhart St","70117","5","(29.96695218331, -90.031976224045)"
"A0003311","94F","FIREWORKS","1H","3678222.00000000","534361.00000000","2011-01-01T00:04:24.000","2011-01-01T00:06:25.000",,"2011-01-01T00:12:26.000","NAT","NECESSARY ACTION TAKEN","020XX Conti St","70112","1","(29.96340659368, -90.078322812583)"
"A0003411","56","SIMPLE CRIMINAL DAMA","1D","3684762.00000000","538521.00000000","2011-01-01T00:05:22.000","2011-01-01T00:05:29.000","2011-01-01T00:13:51.000","2011-01-01T00:23:09.000","RTF","REPORT TO FOLLOW","017XX Elysian Fields Ave","70116","5","(29.974646568533, -90.057523976801)"
"A0003511","21","COMPLAINT OTHER","1H","3682271.00000000","532658.00000000","2011-01-01T00:05:27.000","2011-01-01T00:05:30.000","2011-01-01T00:06:54.000","2011-01-01T00:13:30.000","NATM","MUNICIPAL NECESSARY ACTION TAK","007XX Bourbon St","70116","8","(29.95860136359, -90.065596026801)"
"A0003611","94","DISCHARGING FIREARMS","1B","3719638.00000000","574103.00000000","2011-01-01T00:05:05.000","2011-01-01T00:14:10.000","2011-01-01T00:59:30.000","2011-01-01T01:07:15.000","NAT","NECESSARY ACTION TAKEN","079XX Bass St","70128","7","(30.071368988737, -89.946017820253)"
"A0003711","94","DISCHARGING FIREARMS","2B","3685223.00000000","539006.00000000","2011-01-01T00:06:03.000","2011-01-01T00:12:47.000","2011-01-01T00:14:27.000","2011-01-01T00:17:12.000","UNF","UNFOUNDED","018XX Marigny St","70117","5","(29.975966027057, -90.056050953496)"
"A0003811","94","DISCHARGING FIREARMS","2B","3687058.00000000","551610.00000000","2011-01-01T00:06:19.000","2011-01-01T00:13:49.000","2011-01-01T00:16:58.000","2011-01-01T00:19:29.000","UNF","UNFOUNDED","De Montluzin St & Selma St","70122","3","(30.010566132146, -90.049809607587)"
"A0003911","103","DISTURBANCE (OTHER)","1C","3681838.00000000","532083.00000000","2011-01-01T00:06:21.000","2011-01-01T00:06:39.000","2011-01-01T00:28:53.000","2011-01-01T02:59:28.000","NAT","NECESSARY ACTION TAKEN","005XX Bourbon St","70112","8","(29.957033474755, -90.066983392922)"
"A0004011","94","DISCHARGING FIREARMS","2B","3686082.00000000","539355.00000000","2011-01-01T00:05:30.000","2011-01-01T00:08:47.000","2011-01-01T00:10:52.000","2011-01-01T00:12:40.000","UNF","UNFOUNDED","N Prieur St & St Roch Ave","70117","5","(29.976899297579, -90.053325676988)"
"A0004111","94","DISCHARGING FIREARMS","2B","3679970.00000000","538985.00000000","2011-01-01T00:06:32.000","2011-01-01T00:08:36.000",,"2011-01-01T00:08:40.000","UNF","UNFOUNDED","023XX Laharpe St","70119","1","(29.976068246935, -90.072642164922)"
"A0004211","94","DISCHARGING FIREARMS","2B","3680709.00000000","542201.00000000","2011-01-01T00:06:34.000","2011-01-01T00:10:00.000","2011-01-01T00:13:08.000","2011-01-01T01:40:45.000","UNF","UNFOUNDED","N Broad St & Republic St","70119","5","(29.984888749581, -90.070196220843)"
"A0004311","94","DISCHARGING FIREARMS","2B","3698990.00000000","556016.00000000","2011-01-01T00:06:31.000","2011-01-01T00:19:05.000",,"2011-01-01T00:19:10.000","UNF","UNFOUNDED","066XX Harbourview Dr","70126","7","(30.022308056504, -90.011951549017)"
"A0004411","21","COMPLAINT OTHER","1H","3663888.00000000","518794.00000000","2011-01-01T00:06:33.000","2011-01-01T01:43:17.000",,"2011-01-01T01:43:25.000","NAT","NECESSARY ACTION TAKEN","Patton St & Webster St","70118","2","(29.921026224943, -90.124107003692)"
"A0004511","21","COMPLAINT OTHER","1H","3680964.00000000","530937.00000000","2011-01-01T00:07:30.000","2011-01-01T00:07:33.000","2011-01-01T00:07:39.000","2011-01-01T00:13:55.000","NAT","NECESSARY ACTION TAKEN","001XX Bourbon St","70112","8","(29.953908893405, -90.069783115791)"
"A0004611","20","AUTO ACCIDENT","1C","3680242.00000000","526397.00000000","2011-01-01T00:05:57.000",,,"2011-01-01T00:48:57.000","DUP","DUPLICATE","Tchoupitoulas Exit & US90B E","70130","6","(29.941447286851, -90.072220670975)"
"A0004711","94","DISCHARGING FIREARMS","2B","3696078.00000000","519682.00000000","2011-01-01T00:07:39.000","2011-01-01T00:09:04.000","2011-01-01T00:12:03.000","2011-01-01T00:24:50.000","NAT","NECESSARY ACTION TAKEN","033XX Garden Oaks Dr","70114","4","(29.922494595541, -90.022466120318)"
"A0004811","63","PROWLER","2C","3680893.00000000","541142.00000000","2011-01-01T00:07:10.000","2011-01-01T00:26:37.000","2011-01-01T00:26:49.000","2011-01-01T01:33:18.000","GOA","GONE ON ARRIVAL","018XX N Dorgenois St","70119","5","(29.981971291261, -90.069651933474)"
"A0004911","94","DISCHARGING FIREARMS","1B","3683770.00000000","537325.00000000","2011-01-01T00:07:50.000","2011-01-01T00:13:04.000","2011-01-01T00:24:00.000","2011-01-01T00:30:19.000","UNF","UNFOUNDED","021XX Pauger St","70116","5","(29.971388317715, -90.060698904832)"
"A0005011","94","DISCHARGING FIREARMS","1B","3675107.00000000","518464.00000000","2011-01-01T00:08:20.000","2011-01-01T01:39:28.000",,"2011-01-01T01:39:32.000","UNF","UNFOUNDED","Annunciation St & Delachaise St","70115","6","(29.919788512442, -90.088704943821)"
"A0005111","94","DISCHARGING FIREARMS","1B","3671908.00000000","525957.00000000","2011-01-01T00:08:27.000","2011-01-01T00:30:43.000","2011-01-01T00:34:30.000","2011-01-01T00:38:40.000","UNF","UNFOUNDED","Amelia St & Delachaise St","70125","2","(29.940487009851, -90.098547765727)"
"A0005211","21","COMPLAINT OTHER","1H","3709745.00000000","554366.00000000","2011-01-01T00:09:09.000","2011-01-01T00:09:11.000",,"2011-01-01T00:25:03.000","NAT","NECESSARY ACTION TAKEN","045XX Longfellow Dr","70127","7","(30.017425787812, -89.978030372399)"
"A0005311","94","DISCHARGING FIREARMS","2B","3676636.00000000","518370.00000000","2011-01-01T00:08:57.000","2011-01-01T00:14:29.000","2011-01-01T00:19:10.000","2011-01-01T00:21:48.000","UNF","UNFOUNDED","Harmony St & St Thomas St","70115","6","(29.91948428692, -90.083881870954)"
"A0005411","94","DISCHARGING FIREARMS","1B","3670997.00000000","529572.00000000","2011-01-01T00:08:21.000","2011-01-01T00:15:57.000","2011-01-01T00:19:18.000","2011-01-01T00:28:35.000","UNF","UNFOUNDED","S Broad St & Louisiana Avenue Pk","70125","2","(29.950454041637, -90.101301233412)"
"A0005511","94","DISCHARGING FIREARMS","2B","3692795.00000000","535413.00000000","2011-01-01T00:09:42.000","2011-01-01T00:17:04.000",,"2011-01-01T00:46:19.000","UNF","UNFOUNDED","043XX Marais St","70117","5","(29.965852291411, -90.03226534822)"
"A0005611","94","DISCHARGING FIREARMS","1B","3704889.00000000","561408.00000000","2011-01-01T00:09:32.000","2011-01-01T00:39:11.000",,"2011-01-01T00:39:13.000","UNF","UNFOUNDED","Benson Ct & Morrison Rd","70127","7","(30.036945585138, -89.993113026594)"
"A0005711","21","COMPLAINT OTHER","2H","3686399.00000000","556037.00000000","2011-01-01T00:07:31.000","2011-01-01T00:19:25.000","2011-01-01T00:20:23.000","2011-01-01T00:22:57.000","NAT","NECESSARY ACTION TAKEN","062XX Franklin Ave","70122","3","(30.022759032916, -90.051735199692)"
"A0005811","52F","FIRE","1B","3671971.00000000","540564.00000000","2011-01-01T00:10:33.000","2011-01-01T00:10:36.000","2011-01-01T00:45:14.000","2011-01-01T00:49:14.000","NAT","NECESSARY ACTION TAKEN","042XX Orleans Ave","70119","3","(29.980649525702, -90.09785161849)"
"A0005911","103","DISTURBANCE (OTHER)","1C","37369000","3513814","2011-01-01T00:10:53.000","2011-01-01T00:10:53.000","2011-01-01T00:10:53.000","2011-01-01T00:42:46.000","NAT","NECESSARY ACTION TAKEN","Esplanade & Frenchmen St",,"0","(9.235500543E-7, -0.0000022929847665)"
"A0006011","21","COMPLAINT OTHER","2H","3679552.00000000","528218.00000000","2011-01-01T00:08:34.000","2011-01-01T00:12:38.000","2011-01-01T00:16:18.000","2011-01-01T00:25:06.000","UNF","UNFOUNDED","009XX Julia St","70113","8","(29.946475293622, -90.074335965427)"
"A0006111","24","AMBULANCE REQUEST","2B","3686747.00000000","540172.00000000","2011-01-01T00:10:44.000","2011-01-01T00:23:14.000","2011-01-01T00:46:09.000","2011-01-01T00:58:19.000","RTF","REPORT TO FOLLOW","024XX N Galvez St","70117","5","(29.979125316745, -90.051196528121)"
"A0006211","94","DISCHARGING FIREARMS","2B","3682988.00000000","555967.00000000","2011-01-01T00:11:01.000","2011-01-01T00:14:29.000",,"2011-01-01T00:22:59.000","NAT","NECESSARY ACTION TAKEN","062XX Vermillion Blvd","70122","3","(30.022671019698, -90.062515614605)"
"A0006311","24","AMBULANCE REQUEST","2B","3704263.00000000","563166.00000000","2011-01-01T00:10:26.000","2011-01-01T00:22:18.000","2011-01-01T00:30:17.000","2011-01-01T00:37:41.000","NAT","NECESSARY ACTION TAKEN","087XX Dinkins St","70127","7","(30.041799510529, -89.995026419976)"
"A0006511","94F","FIREWORKS","1A","3663497.00000000","532209.00000000","2011-01-01T00:11:38.000","2011-01-01T00:29:20.000","2011-01-01T00:49:26.000","2011-01-01T00:49:49.000","UNF","UNFOUNDED","023XX Joliet St","70118","2","(29.957924544097, -90.124894634994)"
"A0006611","94F","FIREWORKS","2H","3685780.00000000","547091.00000000","2011-01-01T00:12:59.000","2011-01-01T00:21:46.000",,"2011-01-01T00:21:52.000","NAT","NECESSARY ACTION TAKEN","024XX Jonquil St","70122","3","(29.998179820902, -90.054006696384)"
"A0006711","103","DISTURBANCE (OTHER)","1A","3678265.00000000","521601.00000000","2011-01-01T00:11:12.000","2011-01-01T00:35:26.000","2011-01-01T00:38:57.000","2011-01-01T00:43:01.000","NAT","NECESSARY ACTION TAKEN","023XX Magazine St","70130","6","(29.928319544831, -90.078628253482)"
"A0006811","103F","FIGHT","2B","3686828.00000000","535323.00000000","2011-01-01T00:13:14.000","2011-01-01T00:17:36.000","2011-01-01T00:24:41.000","2011-01-01T00:29:48.000","UNF","UNFOUNDED","Dauphine St & Franklin Ave","70117","5","(29.965789772464, -90.051112077719)"
"A0006911","21","COMPLAINT OTHER","1H","3682054.00000000","532371.00000000","2011-01-01T00:14:12.000","2011-01-01T00:14:21.000","2011-01-01T00:14:24.000","2011-01-01T00:59:11.000","NAT","NECESSARY ACTION TAKEN","006XX Bourbon St","70112","8","(29.957818811076, -90.066291276708)"
"A0007011","94","DISCHARGING FIREARMS","2B","3686993.00000000","547793.00000000","2011-01-01T00:13:22.000","2011-01-01T00:15:38.000","2011-01-01T00:19:15.000","2011-01-01T00:24:09.000","UNF","UNFOUNDED","Franklin Ave & Verbena St","70122","3","(30.00007277285, -90.050150015191)"
"A0007111","94F","FIREWORKS","2H","3689883.00000000","530242.00000000","2011-01-01T00:13:32.000","2011-01-01T00:18:04.000","2011-01-01T00:24:23.000","2011-01-01T00:31:55.000","NAT","NECESSARY ACTION TAKEN","004XX Le Boeuf St","70114","4","(29.951724433909, -90.041645403657)"
"A0007211","62A","BURGLAR ALARM, SILEN","2C","3681895.00000000","530381.00000000","2011-01-01T00:13:04.000","2011-01-01T00:15:12.000","2011-01-01T00:19:01.000","2011-01-01T00:21:14.000","NAT","NECESSARY ACTION TAKEN","001XX Decatur St","70130","8","(29.952351819645, -90.066862806628)"
"A0007311","94F","FIREWORKS","1H","3692792.00000000","543521.00000000","2011-01-01T00:14:24.000","2011-01-01T00:20:04.000","2011-01-01T00:26:38.000","2011-01-01T00:31:11.000","NAT","NECESSARY ACTION TAKEN","Desire Pkwy & Treasure St","70126","5","(29.988146489541, -90.031984024671)"
"A0007411","18","TRAFFIC  INCIDENT","2H","3698639.00000000","551779.00000000","2011-01-01T00:14:45.000","2011-01-01T00:20:00.000","2011-01-01T00:32:10.000","2011-01-01T00:41:23.000","UNF","UNFOUNDED","Chef Menteur Hwy & I-10 W","70126","7","(30.010669036117, -90.013214857469)"
"A0007511","94","DISCHARGING FIREARMS","1B","3703383.00000000","558617.00000000","2011-01-01T00:13:23.000","2011-01-01T00:50:54.000",,"2011-01-01T00:51:39.000","NAT","NECESSARY ACTION TAKEN","070XX Lawrence Rd","70126","7","(30.029319772219, -89.997975070514)"
"A0007611","94","DISCHARGING FIREARMS","2B","3705529.00000000","554393.00000000","2011-01-01T00:16:15.000","2011-01-01T00:22:35.000",,"2011-01-01T00:22:38.000","UNF","UNFOUNDED","Dodt Ave & Grant St","70126","7","(30.017636469222, -89.991350139964)"
"A0007711","21","COMPLAINT OTHER","1H","3681184.00000000","531226.00000000","2011-01-01T00:17:23.000","2011-01-01T00:17:25.000",,"2011-01-01T00:42:55.000","NAT","NECESSARY ACTION TAKEN","002XX Bourbon St","70112","8","(29.9546968731, -90.069078377994)"
"A0007811","94F","FIREWORKS","1H","3695628.00000000","525092.00000000","2011-01-01T00:16:51.000","2011-01-01T00:22:26.000","2011-01-01T00:47:36.000","2011-01-01T02:34:06.000","NAT","NECESSARY ACTION TAKEN","017XX Tita St","70114","4","(29.937384395414, -90.023691397439)"
"A0007911","94F","FIREWORKS","1H","3696066.00000000","552860.00000000","2011-01-01T00:17:31.000","2011-01-01T00:17:42.000","2011-01-01T00:25:41.000","2011-01-01T00:45:57.000","NAT","NECESSARY ACTION TAKEN","043XX Downman Rd","70126","3","(30.01372263885, -90.021304810509)"
"A0008011","94F","FIREWORKS","1H","3704557.00000000","554306.00000000","2011-01-01T00:16:21.000","2011-01-01T00:52:56.000",,"2011-01-01T00:53:05.000","NAT","NECESSARY ACTION TAKEN","046XX Bonita Dr","70126","7","(30.017428518223, -89.994424465979)"
"A0008111","94","DISCHARGING FIREARMS","1B","3683791.00000000","537316.00000000","2011-01-01T00:17:13.000","2011-01-01T00:29:40.000",,"2011-01-01T00:29:46.000","UNF","UNFOUNDED","Pauger St & N Villere St","70116","5","(29.9713629295, -90.060632899626)"
"A0008211","94","DISCHARGING FIREARMS","1B","3673631.00000000","518020.00000000","2011-01-01T00:17:12.000","2011-01-01T01:35:45.000",,"2011-01-01T01:36:16.000","NAT","NECESSARY ACTION TAKEN","038XX Annunciation St","70115","6","(29.918611655931, -90.093379127145)"
"A0008311","94","DISCHARGING FIREARMS","2B","3705469.00000000","563869.00000000","2011-01-01T00:17:49.000","2011-01-01T00:23:16.000",,"2011-01-01T00:23:19.000","UNF","UNFOUNDED","079XX Vanderkloot Ave","70127","7","(30.04369369635, -89.991189017839)"
"A0008411","94","DISCHARGING FIREARMS","2B","3680832.00000000","545244.00000000","2011-01-01T00:17:49.000","2011-01-01T00:19:43.000","2011-01-01T00:25:30.000","2011-01-01T00:28:32.000","UNF","UNFOUNDED","035XX Havana St","70122","3","(29.993252199997, -90.06970172108)"
"A0008511","62A","BURGLAR ALARM, SILEN","1C","3709941.00000000","562573.00000000","2011-01-01T00:19:07.000",,,"2011-01-01T00:28:20.000","VOI","VOID","071XX Hanover Rd","70127","7","(30.039985427614, -89.9771041774)"
"A0008611","94F","FIREWORKS","1H","3696783.00000000","553008.00000000","2011-01-01T00:19:24.000","2011-01-01T00:53:13.000",,"2011-01-01T00:53:14.000","NAT","NECESSARY ACTION TAKEN","Boeing St & Skyview Dr","70126","7","(30.014106989477, -90.019034109791)"
"A0008711","21","COMPLAINT OTHER","1H","3682370.00000000","532818.00000000","2011-01-01T00:20:15.000","2011-01-01T00:20:18.000",,"2011-01-01T03:07:53.000","NAT","NECESSARY ACTION TAKEN","Bourbon St & Orleans Ave","70116","8","(29.959038296891, -90.065277819758)"
"A0008811","94","DISCHARGING FIREARMS","1B","3705278.00000000","563748.00000000","2011-01-01T00:19:03.000","2011-01-01T00:39:18.000",,"2011-01-01T00:39:20.000","UNF","UNFOUNDED","Devine Ave & Dinkins St","70127","7","(30.043367144454, -89.991797132855)"
"A0008911","94F","FIREWORKS","1H","3702219.00000000","518226.00000000","2011-01-01T00:18:38.000","2011-01-01T00:29:22.000",,"2011-01-01T00:34:28.000","NAT","NECESSARY ACTION TAKEN","Berkley Dr & Herald St","70131","4","(29.918296491519, -90.003134957085)"
"A0009011","94","DISCHARGING FIREARMS","2B","3683010.00000000","529460.00000000","2011-01-01T00:20:01.000","2011-01-01T00:21:19.000","2011-01-01T00:23:22.000","2011-01-01T00:26:28.000","UNF","UNFOUNDED","X Canal St","70130","8","(29.949785448056, -90.06337438412)"
"A0009111","24","AMBULANCE REQUEST","1C","3681318.00000000","532025.00000000","2011-01-01T00:20:47.000","2011-01-01T00:20:50.000",,"2011-01-01T00:41:48.000","NAT","NECESSARY ACTION TAKEN","Conti St & Dauphine St","70112","8","(29.956889786205, -90.068627411369)"
"A0009211","18","TRAFFIC  INCIDENT","1H","3690072.00000000","525241.00000000","2011-01-01T00:20:51.000","2011-01-01T00:20:56.000",,"2011-01-01T00:35:43.000","NAT","NECESSARY ACTION TAKEN","L B Landry Ave & Mardi Gras Blvd","70114","4","(29.937967536065, -90.041226698508)"
"A0009311","103","DISTURBANCE (OTHER)","1A","3662348.00000000","526122.00000000","2011-01-01T00:20:15.000","2011-01-01T00:30:09.000",,"2011-01-01T00:45:58.000","NAT","NECESSARY ACTION TAKEN","Hillary St & Maple St","70118","2","(29.941220518884, -90.128724938374)"
"A0009411","94F","FIREWORKS","1H","3675183.00000000","518233.00000000","2011-01-01T00:20:41.000","2011-01-01T00:28:57.000","2011-01-01T00:41:48.000","2011-01-01T00:44:41.000","UNF","UNFOUNDED","007XX Delachaise St","70115","6","(29.919151066355, -90.088472970387)"
"A0009511","94","DISCHARGING FIREARMS","2B","3680252.00000000","537012.00000000","2011-01-01T00:20:32.000","2011-01-01T00:23:14.000","2011-01-01T00:25:13.000","2011-01-01T00:38:09.000","UNF","UNFOUNDED","Bayou Rd & N Prieur St","70116","1","(29.970634643403, -90.071820130732)"
"A0009611","94","DISCHARGING FIREARMS","2B","3690555.00000000","544023.00000000","2011-01-01T00:22:14.000","2011-01-01T00:30:09.000","2011-01-01T00:35:27.000","2011-01-01T00:37:09.000","UNF","UNFOUNDED","Abundance Ct & Treasure St","70126","5","(29.989596476581, -90.039032041346)"
"A0009711","94","DISCHARGING FIREARMS","2B","3693044.00000000","543458.00000000","2011-01-01T00:21:20.000","2011-01-01T00:28:27.000",,"2011-01-01T00:36:35.000","UNF","UNFOUNDED","Edith Weston Pl & Treasure St","70126","5","(29.98796539043, -90.03119030379)"
"A0009811","103","DISTURBANCE (OTHER)","1C","3676288.00000000","527306.00000000","2011-01-01T00:23:02.000",,,"2011-01-01T01:03:25.000","DUP","DUPLICATE","025XX Mlk Blvd","70113","6","(29.944065804043, -90.084672958615)"
"A0009911","94","DISCHARGING FIREARMS","2B","3732966.00000000","562321.00000000","2011-01-01T00:21:39.000","2011-01-01T00:24:52.000",,"2011-01-01T00:37:24.000","NAT","NECESSARY ACTION TAKEN","147XX Chef Menteur Hwy","70129","7","(30.038523088583, -89.904349104782)"
"A0010011","62A","BURGLAR ALARM, SILEN","2C","3698027.00000000","555267.00000000","2011-01-01T00:24:51.000","2011-01-01T00:27:28.000","2011-01-01T00:39:41.000","2011-01-01T00:43:00.000","NAT","NECESSARY ACTION TAKEN","065XX E Hermes St","70126","7","(30.020279091637, -90.015021604456)"
