"weber","bates","_3rd","language","_41_50"
"WEBER","FREMONT HS",,"Math","31.80"
"WEBER","GREEN Acres","3rd","Language","44.70"
"WEBER","GREEN Acres","3rd","Math","34.20"
"WEBER","GREEN Acres","4th","Language","27.00"
"WEBER","GREEN Acres","4th","Math","30.60"
"WEBER","GREEN Acres","4th","Science","29.00"
"WEBER","GREEN Acres","5th","Language","44.20"
"WEBER","GREEN Acres","5th","Math","48.80"
"WEBER","GREEN Acres","5th","Science","44.20"
"WEBER","GREEN Acres","6th","Language","36.70"
"WEBER","GREEN Acres","6th","Math","30.00"
"WEBER","GREEN Acres","6th","Science","33.30"
"WEBER","H Guy Child","3rd","Language","66.20"
"WEBER","H Guy Child","3rd","Math","55.40"
"WEBER","H Guy Child","4th","Language","39.50"
"WEBER","H Guy Child","4th","Math","37.00"
"WEBER","H Guy Child","4th","Science","46.90"
"WEBER","H Guy Child","5th","Language","29.80"
"WEBER","H Guy Child","5th","Math","42.10"
"WEBER","H Guy Child","5th","Science","43.90"
"WEBER","H Guy Child","6th","Language","21.50"
"WEBER","H Guy Child","6th","Math","32.30"
"WEBER","H Guy Child","6th","Science","32.30"
"WEBER","HOOPER","3rd","Language","45.60"
"WEBER","HOOPER","3rd","Math","40.20"
"WEBER","HOOPER","4th","Language","49.50"
"WEBER","HOOPER","4th","Math","51.60"
"WEBER","HOOPER","4th","Science","33.70"
"WEBER","HOOPER","5th","Language","42.40"
"WEBER","HOOPER","5th","Math","51.50"
"WEBER","HOOPER","5th","Science","49.50"
"WEBER","HOOPER","6th","Language","47.80"
"WEBER","HOOPER","6th","Math","47.30"
"WEBER","HOOPER","6th","Science","58.90"
"WEBER","KANESVILLE","3rd","Language","45.70"
"WEBER","KANESVILLE","3rd","Math","37.60"
"WEBER","KANESVILLE","4th","Language","44.70"
"WEBER","KANESVILLE","4th","Math","49.50"
"WEBER","KANESVILLE","4th","Science","43.80"
"WEBER","KANESVILLE","5th","Language","57.50"
"WEBER","KANESVILLE","5th","Math","57.90"
"WEBER","KANESVILLE","5th","Science","55.70"
"WEBER","KANESVILLE","6th","Language","51.90"
"WEBER","KANESVILLE","6th","Math","47.70"
"WEBER","KANESVILLE","6th","Science","47.70"
"WEBER","LAKEVIEW","3rd","Language","14.90"
"WEBER","LAKEVIEW","3rd","Math","17.80"
"WEBER","LAKEVIEW","4th","Language","26.30"
"WEBER","LAKEVIEW","4th","Math","29.30"
"WEBER","LAKEVIEW","4th","Science","37.90"
"WEBER","LAKEVIEW","5th","Language","13.20"
"WEBER","LAKEVIEW","5th","Math","17.10"
"WEBER","LAKEVIEW","5th","Science","27.10"
"WEBER","LAKEVIEW","6th","Language","18.90"
"WEBER","LAKEVIEW","6th","Math","17.60"
"WEBER","LAKEVIEW","6th","Science","26.70"
"WEBER","LOMOND View","3rd","Language","62.80"
"WEBER","LOMOND View","3rd","Math","55.00"
"WEBER","LOMOND View","4th","Language","58.00"
"WEBER","LOMOND View","4th","Math","67.50"
"WEBER","LOMOND View","4th","Science","68.70"
"WEBER","LOMOND View","5th","Language","61.00"
"WEBER","LOMOND View","5th","Math","60.50"
"WEBER","LOMOND View","5th","Science","70.70"
"WEBER","LOMOND View","6th","Language","52.60"
"WEBER","LOMOND View","6th","Math","43.20"
"WEBER","LOMOND View","6th","Science","50.50"
"WEBER","MAJESTIC","3rd","Language","37.50"
"WEBER","MAJESTIC","3rd","Math","38.20"
"WEBER","MAJESTIC","4th","Language","38.70"
"WEBER","MAJESTIC","4th","Math","33.60"
"WEBER","MAJESTIC","4th","Science","44.90"
"WEBER","MAJESTIC","5th","Language","32.80"
"WEBER","MAJESTIC","5th","Math","49.30"
"WEBER","MAJESTIC","5th","Science","43.30"
"WEBER","MAJESTIC","6th","Language","43.70"
"WEBER","MAJESTIC","6th","Math","39.70"
"WEBER","MAJESTIC","6th","Science","43.70"
"WEBER","MARLON Hills","3rd","Language","57.40"
"WEBER","MARLON Hills","3rd","Math","55.30"
"WEBER","MARLON Hills","4th","Language","40.00"
"WEBER","MARLON Hills","4th","Math","48.90"
"WEBER","MARLON Hills","4th","Science","22.20"
"WEBER","MARLON Hills","5th","Language","47.70"
"WEBER","MARLON Hills","5th","Math","44.60"
"WEBER","MARLON Hills","5th","Science","64.60"
"WEBER","MARLON Hills","6th","Language",
"WEBER","MARLON Hills","6th","Math",
"WEBER","MARLON","6th","Science",
"WEBER","MIDLAND","3rd","Language","34.00"
"WEBER","MIDLAND","3rd","Math","40.20"
"WEBER","MIDLAND","4th","Language","30.50"
"WEBER","MIDLAND","4th","Math","35.20"
"WEBER","MIDLAND","4th","Science","41.00"
"WEBER","MIDLAND","5th","Language","42.30"
"WEBER","MIDLAND","5th","Math","45.90"
"WEBER","MIDLAND","5th","Science","45.90"
"WEBER","MIDLAND","6th","Language","37.20"
"WEBER","MIDLAND","6th","Math","31.40"
"WEBER","MIDLAND","6th","Science","40.70"
"WEBER","MUNICIPAL","3rd","Language","26.20"
"WEBER","MUNICIPAL","3rd","Math","20.00"
"WEBER","MUNICIPAL","4th","Language","27.30"
"WEBER","MUNICIPAL","4th","Math","35.20"
"WEBER","MUNICIPAL","4th","Science","24.10"
"WEBER","MUNICIPAL","5th","Language","33.30"
"WEBER","MUNICIPAL","5th","Math","46.30"
"WEBER","MUNICIPAL","5th","Science","29.60"
"WEBER","MUNICIPAL","6th","Language","22.20"
"WEBER","MUNICIPAL","6th","Math","20.40"
"WEBER","MUNICIPAL","6th","Science","25.90"
"WEBER","NORTH Ogden JR","7th","Language","52.20"
"WEBER","NORTH Ogden JR","7th","Math","41.70"
"WEBER","NORTH Ogden JR","7th","Science","35.00"
"WEBER","NORTH Ogden JR","8th","Language","43.90"
"WEBER","NORTH Ogden JR","8th","Math","31.90"
"WEBER","NORTH Ogden JR","8th","Science","48.90"
"WEBER","NORTH Ogden JR","9th","Language","39.60"
"WEBER","NORTH Ogden JR",,"Biology",
"WEBER","NORTH Ogden JR",,"Science","31.80"
"WEBER","NORTH Ogden JR",,"Physics","40.20"
"WEBER","NORTH Ogden JR",,"Math I","47.30"
"WEBER","NORTH","3rd","Language","43.50"
"WEBER","NORTH","3rd","Math","47.80"
"WEBER","NORTH","4th","Language","38.50"
"WEBER","NORTH","4th","Math","45.10"
"WEBER","NORTH","4th","Science","35.20"
"WEBER","NORTH","5th","Language","25.30"
"WEBER","NORTH","5th","Math","29.50"
"WEBER","NORTH","5th","Science","43.20"
"WEBER","NORTH","6th","Language","27.80"
"WEBER","NORTH","6th","Math","20.00"
"WEBER","NORTH","6th","Science","30.00"
"WEBER","NORTH Park","3rd","Language","15.70"
"WEBER","NORTH Park","3rd","Math","5.80"
"WEBER","NORTH Park","4th","Language","37.00"
"WEBER","NORTH Park","4th","Math","60.90"
"WEBER","NORTH Park","4th","Science","43.50"
"WEBER","NORTH Park","5th","Language","26.10"
"WEBER","NORTH Park","5th","Math","41.30"
"WEBER","NORTH Park","5th","Science","47.80"
"WEBER","NORTH Park","6th","Language","38.10"
"WEBER","NORTH Park","6th","Math","20.90"
"WEBER","NORTH Park","6th","Science","30.20"
"WEBER","ORION JR","7th","Language","40.90"
"WEBER","ORION JR","7th","Math","47.20"
"WEBER","ORION JR","7th","Science","50.70"
"WEBER","ORION JR","8th","Language","43.80"
"WEBER","ORION JR","8th","Math","46.90"
"WEBER","ORION JR","8th","Science","55.00"
"WEBER","ORION JR","9th","Language","42.20"
"WEBER","ORION JR",,"Science","62.50"
"WEBER","ORION JR",,"Physics",
"WEBER","ORION JR",,"Math I","32.80"
"WEBER","PIONEER","3rd","Language","41.60"
"WEBER","PIONEER","3rd","Math","35.90"
"WEBER","PIONEER","4th","Language","25.50"
"WEBER","PIONEER","4th","Math","38.20"
"WEBER","PIONEER","4th","Science","41.80"
"WEBER","PIONEER","5th","Language","43.90"
"WEBER","PIONEER","5th","Math","47.70"
"WEBER","PIONEER","5th","Science","56.10"
"WEBER","PIONEER","6th","Language","30.10"
"WEBER","PIONEER","6th","Math","26.40"
"WEBER","PIONEER","6th","Science","37.00"
"WEBER","PLAIN City","3rd","Language","52.90"
"WEBER","PLAIN City","3rd","Math","53.90"
"WEBER","PLAIN City","4th","Language","46.60"
"WEBER","PLAIN City","4th","Math","48.50"
"WEBER","PLAIN City","4th","Science","41.70"
"WEBER","PLAIN City","5th","Language","44.20"
"WEBER","PLAIN City","5th","Math","54.40"
"WEBER","PLAIN City","5th","Science","50.90"
"WEBER","PLAIN City","6th","Language","50.90"
"WEBER","PLAIN City","6th","Math","49.10"
"WEBER","PLAIN City","6th","Science","58.90"
"WEBER","RIVERDALE","3rd","Language","32.90"
"WEBER","RIVERDALE","3rd","Math","25.40"
"WEBER","RIVERDALE","4th","Language","35.10"
"WEBER","RIVERDALE","4th","Math","28.80"
"WEBER","RIVERDALE","4th","Science","27.00"
"WEBER","RIVERDALE","5th","Language","36.50"
"WEBER","RIVERDALE","5th","Math","44.80"
"WEBER","RIVERDALE","5th","Science","45.80"
"WEBER","RIVERDALE","6th","Language","40.00"
"WEBER","RIVERDALE","6th","Math","42.00"
"WEBER","RIVERDALE","6th","Science","44.90"
"WEBER","ROCKY Mountain JR","7th","Language","36.80"
"WEBER","ROCKY Mountain JR","7th","Math","47.20"
"WEBER","ROCKY Mountain JR","7th","Science","29.10"
"WEBER","ROCKY Mountain JR","8th","Language","34.60"
"WEBER","ROCKY Mountain JR","8th","Math","37.40"
"WEBER","ROCKY Mountain JR","8th","Science","37.60"
"WEBER","ROCKY Mountain JR","9th","Language","30.60"
"WEBER","ROCKY Mountain JR",,"Science","38.10"
"WEBER","ROCKY Mountain JR",,"Physics","72.30"
"WEBER","ROCKY Mountain JR",,"Math I","37.40"
"WEBER","ROOSEVELT","3rd","Language","31.70"
"WEBER","ROOSEVELT","3rd","Math","26.70"
"WEBER","ROOSEVELT","4th","Language","36.90"
"WEBER","ROOSEVELT","4th","Math","45.90"
"WEBER","ROOSEVELT","4th","Science","35.30"
"WEBER","ROOSEVELT","5th","Language","19.60"
"WEBER","ROOSEVELT","5th","Math","32.10"
"WEBER","ROOSEVELT","5th","Science","28.10"
"WEBER","ROOSEVELT","6th","Language","35.70"
"WEBER","ROOSEVELT","6th","Math","33.30"
"WEBER","ROOSEVELT","6th","Science","29.00"
"WEBER","ROOSEVELT","7th","Math",
"WEBER","ROY HS","10th","Language","32.60"
"WEBER","ROY HS","11th","Language","32.40"
"WEBER","ROY HS",,"Biology","31.50"
"WEBER","ROY HS",,"Chemistry","29.70"
"WEBER","ROY HS",,"Science",
"WEBER","ROY HS",,"Physics","28.20"
"WEBER","ROY HS",,"Math I",
"WEBER","ROY HS",,"Math II","18.40"
"WEBER","ROY HS",,"Math III","17.70"
"WEBER","ROY JR","7th","Language","26.40"
"WEBER","ROY JR","7th","Math","20.70"
"WEBER","ROY JR","7th","Science","16.00"
"WEBER","ROY JR","8th","Language","23.20"
"WEBER","ROY JR","8th","Math","15.30"
"WEBER","ROY JR","8th","Science","22.60"
"WEBER","ROY JR","9th","Language","21.90"
"WEBER","ROY JR",,"Science","25.00"
"WEBER","ROY JR",,"Physics","16.90"
"WEBER","ROY JR",,"Math I","11.50"
"WEBER","ROY","3rd","Language","19.70"
"WEBER","ROY","3rd","Math","23.90"
"WEBER","ROY","4th","Language","24.20"
"WEBER","ROY","4th","Math","26.60"
"WEBER","ROY","4th","Science","25.00"
"WEBER","ROY","5th","Language","25.00"
"WEBER","ROY","5th","Math","27.50"
"WEBER","ROY","5th","Science","20.00"
"WEBER","ROY","6th","Language","13.00"
"WEBER","ROY","6th","Math","12.70"
"WEBER","ROY","6th","Science","18.30"
"WEBER","SAND Ridge JR","7th","Language","30.80"
"WEBER","SAND Ridge JR","7th","Math","32.70"
"WEBER","SAND Ridge JR","7th","Science","30.80"
"WEBER","SAND Ridge JR","8th","Language","24.50"
"WEBER","SAND Ridge JR","8th","Math","25.80"
"WEBER","SAND Ridge JR","8th","Science","46.20"
"WEBER","SAND Ridge JR","9th","Language","22.10"
"WEBER","SAND Ridge JR",,"Science","29.10"
"WEBER","SAND Ridge JR",,"Physics","55.70"
"WEBER","SAND Ridge JR",,"Math I","18.10"
"WEBER","SNOWCREST JR","7th","Language","46.90"
"WEBER","SNOWCREST JR","7th","Math","45.00"
"WEBER","SNOWCREST JR","7th","Science","42.30"
"WEBER","SNOWCREST JR","8th","Language","32.50"
"WEBER","SNOWCREST JR","8th","Math","37.10"
"WEBER","SNOWCREST JR","8th","Science","46.60"
"WEBER","SNOWCREST JR","9th","Language","46.80"
"WEBER","SNOWCREST JR",,"Science","49.40"
"WEBER","SNOWCREST JR",,"Physics",
"WEBER","SNOWCREST JR",,"Math I","35.80"
"WEBER","SOUTH Ogden JR","7th","Language","33.70"
"WEBER","SOUTH Ogden JR","7th","Math","35.60"
"WEBER","SOUTH Ogden JR","7th","Science","39.90"
"WEBER","SOUTH Ogden JR","8th","Language","29.00"
"WEBER","SOUTH Ogden JR","8th","Math","15.60"
"WEBER","SOUTH Ogden JR","8th","Science","41.10"
"WEBER","SOUTH Ogden JR","9th","Language","34.40"
"WEBER","SOUTH Ogden JR",,"Science","32.30"
"WEBER","SOUTH Ogden JR",,"Physics","37.50"
"WEBER","SOUTH Ogden JR",,"Math I","25.70"
"WEBER","SUMMIT View","7th","Language",
"WEBER","SUMMIT View","7th","Math",
"WEBER","SUMMIT View","7th","Science",
"WEBER","SUMMIT View","8th","Language",
"WEBER","SUMMIT View","9th","Language",
"WEBER","SUMMIT View",,"Science",
"WEBER","SUMMIT View",,"Math",
"WEBER","T H Bell JR","7th","Language","25.30"
"WEBER","T H Bell JR","7th","Math","24.30"
"WEBER","T H Bell JR","7th","Science","26.30"
"WEBER","T H Bell JR","8th","Language","25.80"
"WEBER","T H Bell JR","8th","Math","8.30"
"WEBER","T H Bell JR","8th","Science","22.80"
"WEBER","T H Bell JR","9th","Language","42.20"
"WEBER","T H Bell JR",,"Science","36.10"
"WEBER","T H Bell JR",,"Physics",
"WEBER","T H Bell JR",,"Math I","9.50"
"WEBER","TWO Rivers HS","10th","Language",
"WEBER","TWO Rivers HS","11th","Language",
"WEBER","TWO Rivers HS",,"Biology",
"WEBER","TWO Rivers HS",,"Physics",
"WEBER","WASHINGTON Terrace","5th","Math","15.40"
"WEBER","TWO Rivers HS",,"Math I",
"WEBER","TWO Rivers HS",,"Math II",
"WEBER","TWO Rivers HS",,"Math III",
"WEBER","UINTAH","3rd","Language","43.40"
"WEBER","UINTAH","3rd","Math","36.40"
"WEBER","UINTAH","4th","Language","40.90"
"WEBER","UINTAH","4th","Math","45.00"
"WEBER","UINTAH","4th","Science","32.70"
"WEBER","UINTAH","5th","Language","45.50"
"WEBER","UINTAH","5th","Math","43.40"
"WEBER","UINTAH","5th","Science","58.60"
"WEBER","UINTAH","6th","Language","42.70"
"WEBER","UINTAH","6th","Math","33.00"
"WEBER","UINTAH","6th","Science","56.30"
"WEBER","VALLEY","3rd","Language","45.50"
"WEBER","VALLEY","3rd","Math","40.70"
"WEBER","VALLEY","4th","Language","41.80"
"WEBER","VALLEY","4th","Math","51.60"
"WEBER","VALLEY","4th","Science","40.70"
"WEBER","VALLEY","5th","Language","43.40"
"WEBER","VALLEY","5th","Math","50.60"
"WEBER","VALLEY","5th","Science","53.00"
"WEBER","VALLEY","6th","Language","36.10"
"WEBER","VALLEY","6th","Math","27.80"
"WEBER","VALLEY","6th","Science","38.00"
"WEBER","VALLEY View","3rd","Language","30.60"
"WEBER","VALLEY View","3rd","Math","31.00"
"WEBER","VALLEY View","4th","Language","47.80"
"WEBER","VALLEY View","4th","Math","43.50"
"WEBER","VALLEY View","4th","Science","40.60"
"WEBER","VALLEY View","5th","Language","36.90"
"WEBER","VALLEY View","5th","Math","34.40"
"WEBER","VALLEY View","5th","Science","26.60"
"WEBER","VALLEY View","6th","Language","36.80"
"WEBER","VALLEY View","6th","Math","16.10"
"WEBER","VALLEY View","6th","Science","23.20"
"WEBER","WAHLQUIST JR","7th","Language","39.20"
"WEBER","WAHLQUIST JR","7th","Math","43.70"
"WEBER","WAHLQUIST JR","7th","Science","34.50"
"WEBER","WAHLQUIST JR","8th","Language","39.00"
"WEBER","WAHLQUIST JR","8th","Math","37.40"
"WEBER","WAHLQUIST JR","8th","Science","45.00"
"WEBER","WAHLQUIST JR","9th","Language","45.40"
"WEBER","WAHLQUIST JR",,"Science","53.20"
"WEBER","WAHLQUIST JR",,"Physics","43.70"
"WEBER","WAHLQUIST JR",,"Math I","43.00"
"WEBER","WAHLQUIST JR",,"Math II",
"WEBER","WASHINGTON Terrace","3rd","Language","48.00"
"WEBER","WASHINGTON Terrace","3rd","Math","40.00"
"WEBER","WASHINGTON Terrace","4th","Language","23.90"
"WEBER","WASHINGTON Terrace","4th","Math","25.40"
"WEBER","WASHINGTON Terrace","4th","Science","26.40"
"WEBER","WASHINGTON Terrace","5th","Language","17.20"
"WEBER","WASHINGTON Terrace","5th","Science","21.90"
"WEBER","WASHINGTON Terrace","6th","Language","28.60"
"WEBER","WASHINGTON Terrace","6th","Math","11.50"
"WEBER","WASHINGTON Terrace","6th","Science","26.90"
"WEBER","WEBER Basin Job Corps","10th","Language",
"WEBER","WEBER Basin Job Corps","11th","Language",
"WEBER","WEBER Basin Job Corps",,"Biology",
"WEBER","WEBER Basin Job Corps",,"Science",
"WEBER","WEBER Basin Job Corps",,"Physics",
"WEBER","WEBER HS","10th","Language","49.50"
"WEBER","WEBER HS","11th","Language","47.20"
"WEBER","WEBER HS",,"Biology","49.10"
"WEBER","WEBER HS",,"Chemistry","62.70"
"WEBER","WEBER HS",,"Science",
"WEBER","WEBER HS",,"Physics","51.80"
"WEBER","WEBER HS",,"Math I",
"WEBER","WEBER HS",,"Math II","39.80"
"WEBER","WEBER HS",,"Math III","23.20"
"WEBER","WEBER Online K-6","4th","Language",
"WEBER","WEBER Online K-6","4th","Math",
"WEBER","WEBER Online K-6","4th","Science",
"WEBER","WEBER Online K-6","5th","Language",
"WEBER","WEBER Online K-6","5th","Math",
"WEBER","WEBER Online K-6","5th","Science",
"WEBER","WEBER Online K-6","6th","Language",
"WEBER","WEBER Online K-6","6th","Math",
"WEBER","WEBER Online K-6","6th","Science",
"WEBER","WEST Haven","3rd","Language","38.50"
"WEBER","WEST Haven","3rd","Math","36.70"
"WEBER","WEST Haven","4th","Language","28.10"
"WEBER","WEST Haven","4th","Math","25.00"
"WEBER","WEST Haven","4th","Science","40.60"
"WEBER","WEST Haven","5th","Language","37.50"
"WEBER","WEST Haven","5th","Math","34.00"
"WEBER","WEST Haven","5th","Science","46.40"
"WEBER","WEST Haven","6th","Language","24.50"
"WEBER","WEST Haven","6th","Math","22.30"
"WEBER","WEST Haven","6th","Science","30.10"
"WEBER","WEST Weber","3rd","Language","34.70"
"WEBER","WEST Weber","3rd","Math","48.60"
"WEBER","WEST Weber","4th","Language","26.60"
"WEBER","WEST Weber","4th","Math","43.80"
"WEBER","WEST Weber","4th","Science","42.20"
"WEBER","WEST Weber","5th","Language","38.70"
"WEBER","WEST Weber","5th","Math","40.30"
"WEBER","WEST Weber","5th","Science","48.40"
"WEBER","WEST Weber","6th","Language","20.80"
"WEBER","WEST Weber","6th","Math","19.20"
"WEBER","WEST Weber","6th","Science","23.30"
