"department","division","position_title","city","gender","ethnicity","education","veteran_status","startyear","birthyear"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Norfolk","Male","Asian","Not Indicated","Not Indicated","2013","1992"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Virginia Beach","Male","Black","Not Indicated","Not Indicated","2009","1970"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Virginia Beach","Male","White","Not Indicated","Not Indicated","2009","1979"
"Human Services","Hum Svc Div of Social Services","Management Analyst III","Virginia Beach","Female","Asian","Not Indicated","Not Indicated","2012","1972"
"Clerk of the Circuit Court","Clerk of the Circuit Court","Supervising Deputy Clerk-CC","Norfolk","Male","White","Not Indicated","Not Indicated","2010","1959"
"Police","Police Administrative Svcs-Swn","Police Lieutenant","Chesapeake","Male","White","Some College","Not Indicated","2010","1982"
"Neighborhood Services","Neighborhood Devel - IMPACT","Citizen Service Advisor III","Norfolk","Female","Black","Some College","Not Indicated","2013","1983"
"General Services","Gen Srvs-PublicInfrastructure","Maintenance Supervisor II","Chesapeake","Male","Black","Not Indicated","Not Indicated","2012","1971"
"Public Works","PW Right of Way","GIS Specialist III","Norfolk","Male","White","Not Indicated","Not Indicated","2011","1966"
"Fire-Rescue","Fire-Rescue","Fire Lieutenant","Melfa","Male","White","Not Indicated","Not Indicated","2012","1991"
"Neighborhood Services","Dept of Neighborhood Dev - Div","Codes Specialist, Senior","Chesapeake","Male","White","HS Graduate or Equivalent","Not Indicated","2017","1958"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Norfolk","Female","Black","Not Indicated","Not Indicated","2011","1963"
"Neighborhood Services","Neighborhood Devel - IMPACT","Citizen Service Advisor III","Virginia Beach","Female","Black","HS Graduate or Equivalent","Not Indicated","2013","1981"
"General Services","Gen Srvs-PublicInfrastructure","Carpenter I","Norfolk","Male","White","HS Graduate or Equivalent","Not Indicated","2019","1978"
"Clerk of the Circuit Court","Clerk of the Circuit Court","Administrative Manager-CC","Norfolk","Female","White","Not Indicated","Not Indicated","2009","1964"
"Norfolk Community Services Board","NCSB-Management Info Systems","Management Analyst I","Norfolk","Female","White","Not Indicated","Not Indicated","2010","1981"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Sergeant)","Norfolk","Female","White","Associate Degree","Not Indicated","2013","1988"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Senior)","Hampton","Male","White","Associate Degree","Not Indicated","2015","1985"
"City Planning","Planning-Planning","Division Head","Norfolk","Female","White","Not Indicated","Not Indicated","2013","1964"
"Utilities","Utilities Water Distribution","Asst Supt of Utility Division","Suffolk","Male","White","Not Indicated","Not Indicated","2012","1965"
"Utilities","Utilities Water Distribution","Equipment Operator IV","Chesapeake","Male","Black","Not Indicated","Not Indicated","2010","1964"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Suffolk","Female","Black","Not Indicated","Not Indicated","2010","1975"
"Clerk of the Circuit Court","Clerk of the Circuit Court","Deputy Clerk II-CC","Norfolk","Male","Black","Some College","Not Indicated","2013","1990"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Virginia Beach","Male","White","Not Indicated","Not Indicated","2011","1971"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Virginia Beach","Female","Black","Not Indicated","Not Indicated","2011","1982"
"Neighborhood Services","Neighborhood Devel - IMPACT","Citizen Service Advisor III","Norfolk","Female","Black","Not Indicated","Not Indicated","2010","1964"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Elizabeth City","Male","White","Not Indicated","Not Indicated","2011","1979"
"Human Services","Hum Svc Juvenile Detention Ctr","Youth Detention Specialist I","Chesapeake","Female","Black","Not Indicated","Not Indicated","2012","1969"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Chesapeake","Female","White","Not Indicated","Not Indicated","2010","1986"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Portsmouth","Female","Black","Not Indicated","Not Indicated","2017","1987"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Chesapeake","Male","White","Not Indicated","Not Indicated","2010","1980"
"Transit","Transit - Transportation","Traffic Maintenance Tech III","Chesapeake","Male","Black","Not Indicated","Not Indicated","2008","1983"
,"Grantee Administration","Accounting Technician II","Norfolk","Female","White","Not Indicated","Not Indicated","2011","1978"
"Sheriff and Jail","Judicial - Sheriff and Jail","Education Programs Specialist","Virginia Beach","Male","White","Not Indicated","Not Indicated","2011","1984"
"Neighborhood Services","Neighborhood Development","Neighborhood Services Manager","Norfolk","Male","White","Not Indicated","Not Indicated","2010","1973"
"Transit","Transit - Transportation","Engineering Technician II","Chesapeake","Male","White","Not Indicated","Not Indicated","2010","1956"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Moyock","Male","White","Not Indicated","Not Indicated","2011","1970"
"Libraries","Branch Operations","Librarian II","Norfolk","Male","Black","Not Indicated","Not Indicated","2010","1982"
"Human Resources","Human Resources","Org Dev Analyst (HR only)","Chesapeake","Female","White","Not Indicated","Not Indicated","2011","1980"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Norfolk","Female","Black","Not Indicated","Not Indicated","2009","1974"
"Libraries","Collection and Support Service","Messenger/Driver","Norfolk","Male","Black","HS Graduate or Equivalent","Not Indicated","2011","1963"
"Neighborhood Services","Neighborhood Development","Division Head","Norfolk","Female","Black","Not Indicated","Not Indicated","2011","1976"
"Information Technology","Information Technology","Programmer/Analyst V","Chesapeake","Female","Asian","Bachelors Level Degree","Not Indicated","2017","1976"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Senior)","Portsmouth","Male","White","Not Indicated","Not Indicated","2010","1984"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Norfolk","Male","White","Some College","Not Indicated","2015","1986"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Currituck","Male","White","Not Indicated","Not Indicated","2011","1983"
"City Planning","Planning-Planning","City Planner II","Norfolk","Female","White","Masters Level Degree","Not Indicated","2019","1994"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Portsmouth","Female","Black","Not Indicated","Not Indicated","2010","1986"
"Transit","Transit - Transportation","Operations Manager","Chesapeake","Male","White","Not Indicated","Not Indicated","2010","1989"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Virginia Beach","Male","White","Associate Degree","Not Indicated","2019","1994"
"Public Works","PW Storm Water Mgmt","Equipment Operator III","Virginia Beach","Male","Black","HS Graduate or Equivalent","Not Indicated","2012","1968"
"Police","Police Field Operations-Guards","School Crossing Guard","Norfolk","Male","Black","HS Graduate or Equivalent","Not Indicated","2021","1962"
"Public Works","PW Waste Management","Refuse Collector III","Chesapeake","Male","Black","Not Indicated","Not Indicated","2010","1965"
"Parks and Recreation","RPOS - Landscape Services","Maintenance Supervisor II","Chesapeake","Male","White","Not Indicated","Not Indicated","2013","1982"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Chesapeake","Male","White","Not Indicated","Not Indicated","2013","1969"
"Police","Police Field Operations-Guards","School Crossing Guard","Norfolk","Male","Black","Not Indicated","Not Indicated","2012","1963"
"City Planning","Planning-Planning","Design & Rehab Consultant, Sr","Virginia Beach","Male","Black","Not Indicated","Not Indicated","2011","1968"
"Information Technology","Information Technology","Microcomputer Systems Analyst","Norfolk","Male","Black","Not Indicated","Not Indicated","2011","1983"
"Human Services","Hum Svc Juvenile Detention Ctr","Youth Detention Specialist III","Hampton","Female","Black","Not Indicated","Not Indicated","2012","1972"
"Public Works","PW Storm Water Mgmt","Design/Construction Prj Mgr Sr","Suffolk","Male","Asian","Not Indicated","Not Indicated","2009","1972"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Norfolk","Male","White","Not Indicated","Not Indicated","2013","1991"
"Emergency Preparedness and Response","EOC/911","Public Safety Telecomm II","Chesapeake","Female","Black","Not Indicated","Not Indicated","2012","1971"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Virginia Beach","Male","White","HS Graduate or Equivalent","Not Indicated","2012","1978"
"Human Services","Hum Svc Juvenile Detention Ctr","Youth Detention Specialist II","Chesapeake","Male","Black","Not Indicated","Not Indicated","2009","1969"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Chesapeake","Male","White","Not Indicated","Not Indicated","2012","1986"
"Police","Police Field Operations-Guards","School Crossing Guard","Norfolk","Female","White","Not Indicated","Not Indicated","2009","1967"
"Police","Police Field Operations-Sworn","Master Police Officer","Norfolk","Male","White","Not Indicated","Not Indicated","2010","1972"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Norfolk","Male","White","HS Graduate or Equivalent","Not Indicated","2018","1988"
"Sheriff and Jail","Judicial - Sheriff and Jail","Info Tech Systems Director","Virginia Beach","Male","White","Associate Degree","Not Indicated","2015","1987"
"Norfolk Community Services Board","NCSB-Drug Court","Case Manager III","Virginia Beach","Female","Black","Not Indicated","Not Indicated","2011","1974"
"Human Services","Hum Svc Div of Social Services","Data Quality Control Manager","Norfolk","Female","Black","Not Indicated","Not Indicated","2011","1967"
