"department","division","position_title","city","gender","ethnicity","education","veteran_status","startyear","birthyear"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","White","Some College","Veteran","2018","1986"
"Police","Police Investigative Svc-Sworn","Police Officer","Virginia Beach","Male","White","HS Graduate or Equivalent","Veteran","2021","1997"
"Fire-Rescue","Fire-Rescue","Firefighter Recruit","Virginia Beach","Male","White","Bachelors Level Degree","Veteran","2022","1985"
"Fire-Rescue","Fire-Rescue","Firefighter Recruit","Virginia Beach","Male","White","Some College","Veteran","2022","1993"
"Police","Police Field Operations-Sworn","Master Police Officer","Virginia Beach","Male","Black","Not Indicated","Veteran","2008","1985"
"Utilities","Utilities Water Distribution","Administrative Assistant I","Virginia Beach","Female","Black","Not Indicated","Veteran","2008","1973"
"Police","Police Field Operations-Sworn","Master Police Officer","Newport News","Male","Hispanic","Bachelors Level Degree","Veteran","2015","1985"
"Police","Police Field Operations-Sworn","Master Police Officer","Norfolk","Male","Hawaiian","Not Indicated","Veteran","2007","1980"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","White","Bachelors Level Degree","Veteran","2020","1988"
"Public Health","Public Health Vector Control","Refuse Inspector","Norfolk","Female","Black","Some College","Veteran","2014","1977"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Norfolk","Female","Black","Not Indicated","Veteran","2018","1987"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Norfolk","Male","Black","Not Indicated","Veteran","1994","1963"
"City Auditor","City Auditor","City Auditor","Norfolk","Female","Black","Masters Level Degree","Veteran","2013","1970"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Moyock","Male","Am. Indian","Some College","Veteran","2019","1992"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Norfolk","Male","Black","Not Indicated","Veteran","2008","1986"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Reston","Male","White","Bachelors Level Degree","Veteran","2018","1989"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","Hispanic","Some College","Veteran","2018","1990"
"Police","Police Administrative Svcs-Swn","Police Sergeant","Virginia Beach","Male","White","Not Indicated","Veteran","2002","1981"
"Police","Police Field Operations-Sworn","Master Police Officer","Norfolk","Male","White","Some College","Veteran","2013","1982"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","White","Some College","Veteran","2021","1990"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","White","Bachelors Level Degree","Veteran","2019","1992"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Chesapeake","Male","Black","HS Graduate or Equivalent","Veteran","2014","1971"
"Police","Police Field Operations-Sworn","Master Police Officer","Suffolk","Male","Black","HS Graduate or Equivalent","Veteran","2012","1987"
"Police","Police Investigative Svc-Sworn","Police Officer","Virginia Beach","Male","Black","Some College","Veteran","2015","1989"
"Fire-Rescue","Fire-Rescue","Firefighter Recruit","Virginia Beach","Female","White","Associate Degree","Veteran","2021","1991"
"Police","Police Administrative Svcs-Swn","Master Police Officer","Norfolk","Male","Asian","Not Indicated","Veteran","2005","1984"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Sergeant)","Portsmouth","Male","White","HS Graduate or Equivalent","Veteran","2015","1994"
"Police","Police Investigative Svc-Sworn","Police Officer","Norfolk","Male","Black","Some College","Veteran","2021","1992"
"Police","Police Field Operations-Sworn","Police Officer","Norfolk","Male","White","Some College","Veteran","2019","1990"
"Fire-Rescue","Fire-Rescue","Firefighter Recruit","Chesapeake","Male","White","HS Graduate or Equivalent","Veteran","2022","1993"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Norfolk","Male","White","Some College","Veteran","2006","1983"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Recruit)","Chesapeake","Male","Black","Associate Degree","Veteran","2021","1984"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist I","Hampton","Female","Black","Some College","Veteran","2018","1995"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Chesapeake","Male","White","Bachelors Level Degree","Veteran","2016","1988"
"Fleet Management","General Services - Fleet Mgmt","Automotive Repair Tech, Senior","Virginia Beach","Male","Asian","Some College","Veteran","2017","1992"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Norfolk","Male","Hispanic","Associate Degree","Veteran","2019","1978"
"Police","Police Investigative Svc-Sworn","Police Officer","Virginia Beach","Female","White","Bachelors Level Degree","Veteran","2019","1994"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Virginia Beach","Male","Black","Not Indicated","Veteran","2000","1967"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Portsmouth","Female","White","Some College","Veteran","2016","1994"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Norfolk","Female","White","Bachelors Level Degree","Veteran","2020","1991"
"Police","Police Field Operations-Sworn","Master Police Officer","Virginia Beach","Male","Black","Bachelors Level Degree","Veteran","2015","1989"
"Police","Police Field Operations-Sworn","Police Officer","Norfolk","Male","White","HS Graduate or Equivalent","Veteran","2017","1989"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Virginia Beach","Male","Black","Some College","Veteran","2017","1982"
"Commonwealths Attorney","Commonwealth's Attorney","Paralegal CWA","Norfolk","Male","White","Doctorate (Academic)","Veteran","2022","1996"
"Police","Police Field Operations-Sworn","Police Officer","Norfolk","Male","White","HS Graduate or Equivalent","Veteran","2019","1992"
"Human Resources","Human Resources","Emp Rel Anly I (HR only)","Norfolk","Female","White","Masters Level Degree","Veteran","2018","1990"
"Cultural Facilities, Arts and Entertainment","CulturalFaciities,Arts&Entrmnt","Office Manager","Virginia Beach","Female","Black","Masters Level Degree","Veteran","2007","1974"
"Police","Police Field Operations-Sworn","Police Sergeant","Virginia Beach","Female","Black","Bachelors Level Degree","Veteran","2013","1989"
"Police","Police Field Operations-Sworn","Police Recruit","Virginia Beach","Male","White","HS Graduate or Equivalent","Veteran","2022","2000"
"Police","Police Field Operations-Sworn","Police Officer","Norfolk","Male","Black","Associate Degree","Veteran","2017","1979"
"Parks and Recreation","Rec.Pks,OpenSpace-Special Srvs","Lifeguard","Norfolk","Male","White","Some College","Veteran","2015","1992"
"Police","Police Field Operations-Sworn","Police Officer","Chesapeake","Male","Black","HS Graduate or Equivalent","Veteran","2018","1997"
"Police","Police Administration - Sworn","Master Police Officer","Virginia Beach","Male","White","Bachelors Level Degree","Veteran","2016","1988"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Virginia Beach","Male","White","Not Indicated","Veteran","2004","1980"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Virginia Beach","Male","White","Masters Level Degree","Veteran","2020","1989"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Moyock","Male","White","Not Indicated","Veteran","2012","1979"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Newport News","Male","White","Bachelors Level Degree","Veteran","2018","1991"
"Police","Police Administrative Svcs-Swn","Police Officer","Virginia Beach","Male","White","HS Graduate or Equivalent","Veteran","2021","2001"
"Police","Police Investigative Svc-Sworn","Police Officer","Franklin","Male","White","Bachelors Level Degree","Veteran","2018","1996"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Norfolk","Male","White","Associate Degree","Veteran","2017","1986"
"Fire-Rescue","Fire-Rescue","Firefighter Recruit","Norfolk","Male","White","Bachelors Level Degree","Veteran","2022","1999"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Hampton","Female","Hispanic","HS Graduate or Equivalent","Veteran","2017","1983"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Recruit)","Norfolk","Female","Black","Bachelors Level Degree","Veteran","2009","1991"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Chesapeake","Male","White","Bachelors Level Degree","Veteran","2018","1988"
"General Services","General Services-Animal Care","Office Manager","Norfolk","Female","White","Some College","Veteran","2015","1988"
"Police","Police Administrative Svcs-Swn","Police Sergeant","Portsmouth","Male","Black","Not Indicated","Veteran","2008","1977"
"Police","Police Field Operations-Sworn","Police Officer","Suffolk","Male","Asian","Associate Degree","Veteran","2017","1996"
"Information Technology","Information Technology","Project Manager","Norfolk","Male","Black","Masters Level Degree","Veteran","2019","1976"
"Sheriff and Jail","Judicial - Sheriff and Jail","Records Clerk","Norfolk","Male","White","Technical School","Veteran","2019","1951"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","White","Bachelors Level Degree","Veteran","2018","1986"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Suffolk","Female","White","Some College","Veteran","2018","1989"
"Nauticus","Maritime Center- USS Wisconsin","Maritime Center Specialist II","Virginia Beach","Male","White","Associate Degree","Veteran","2016","1946"
"Police","Police Investigative Svc-Sworn","Master Police Officer","Virginia Beach","Male","White","Bachelors Level Degree","Veteran","2013","1976"
"Police","Police Field Operations-Guards","School Crossing Guard","Norfolk","Male","","Some College","Veteran","2021","1949"
"Economic Development","Development","Special Assistant","Norfolk","Male","Asian","Masters Level Degree","Veteran","2017","1965"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Chesapeake","Male","Black","Some College","Veteran","2018","1995"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Chesapeake","Male","White","Some College","Veteran","2011","1979"
"Police","Police Field Operations-Sworn","Police Officer","Virginia Beach","Male","Hispanic","Not Indicated","Veteran","2020","1994"
"Police","Police Field Operations-Guards","School Crossing Guard","Norfolk","Female","White","Associate Degree","Veteran","2019","1983"
"Norfolk Community Services Board","NCSB-Case Management","Case Manager III","Hampton","Female","Black","Masters Level Degree","Veteran","2019","1982"
"Information Technology","Information Technology","Application Dev Team Supv","Suffolk","Male","White","Masters Level Degree","Veteran","2018","1965"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Suffolk","Male","White","HS Graduate or Equivalent","Veteran","2019","1992"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Virginia Beach","Male","Black","Bachelors Level Degree","Veteran","2021","1987"
"Norfolk Community Services Board","NCSB-Case Management","Case Manager III","Norfolk","Male","Black","Bachelors Level Degree","Veteran","2021","1971"
"Human Services","Hum Svc Juvenile Detention Ctr","Youth Detention Specialist I","Portsmouth","Male","White","Bachelors Level Degree","Veteran","2016","1960"
"Police","Police Field Operations-Sworn","Police Officer","Poquoson","Male","White","Bachelors Level Degree","Veteran","2020","1989"
,"Grantee Administration","Fiscal Monitoring Spec II","Virginia Beach","Male","Black","Masters Level Degree","Veteran","2021","1985"
"Police","Police Field Operations-Sworn","Police Officer","Chesapeake","Male","White","Associate Degree","Veteran","2017","1990"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Senior)","Windsor","Male","Black","HS Graduate or Equivalent","Veteran","2014","1959"
"Commonwealths Attorney","Commonwealth's Attorney","Asst Commonwealth's Att I","Suffolk","Male","White","Bachelors Level Degree","Veteran","2022","1988"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Recruit)","Norfolk","Male","White","Some College","Veteran","2022","1988"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Portsmouth","Female","Black","Associate Degree","Veteran","2015","1969"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Virginia Beach","Male","White","Some College","Veteran","2018","1987"
"Information Technology","Information Technology","Network Engineer IV","Norfolk","Male","Hispanic","Bachelors Level Degree","Veteran","2007","1973"
"Human Services","Hum Svc Div of Social Services","Family Services Worker I","Chesapeake","Female","Black","Masters Level Degree","Veteran","2020","1987"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Suffolk","Female","White","Bachelors Level Degree","Veteran","2020","1987"
"Libraries","Branch Operations","Library Associate II","Elizabeth City","Female","White","Bachelors Level Degree","Veteran","2017","1971"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Virginia Beach","Male","White","Associate Degree","Veteran","2021","1986"
"City Real Estate Assessor","City Assessor","Real Estate Appraiser I","Norfolk","Male","White","Some College","Veteran","2020","1952"
"Human Services","Hum Svc Div of Social Services","Human Services Aide","Gloucester","Female","Black","Some College","Veteran","2021","1977"
"Police","Police Field Operations-Guards","School Crossing Guard","Norfolk","Female","Black","Associate Degree","Veteran","2015","1974"
"Nauticus","Maritime Center - Admin","Electronics Technician I","Chesapeake","Male","Black","Associate Degree","Veteran","2015","1956"
"Cemeteries","Cemetery Fund","Equipment Operator II","Norfolk","Male","White","Associate Degree","Veteran","2016","1958"
"City Manager","Executive City Manager","Chief of Staff","Norfolk","Male","White","Masters Level Degree","Veteran","2016","1981"
"City Planning","Planning - Bldg Constr","Permits Specialist,Senior","Norfolk","Male","NS","Associate Degree","Veteran","2017","1984"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Chesapeake","Male","Black","Some College","Veteran","2018","1970"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Sergeant)","Suffolk","Male","Black","Some College","Veteran","2006","1982"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Chesapeake","Male","Black","Some College","Veteran","2020","1982"
"Human Services","Hum Svc Div of Social Services","Family Services Worker II","Norfolk","Female","Black","Not Indicated","Veteran","2014","1979"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-P","Virginia Beach","Male","White","Some Graduate School","Veteran","2019","1983"
"General Services","General Services-Parking Fac","Maintenance Mechanic II","Virginia Beach","Male","Black","Some College","Veteran","2021","1968"
"Norfolk Community Services Board","NCSB - Housing & Homeless Serv","Administrative Assistant I","Norfolk","Female","Asian","Some College","Veteran","2021","1965"
"Nauticus","Maritime Center- USS Wisconsin","Visitor Services Specialist","Williamsburg","Male","White","Some College","Veteran","2019","1969"
"Sheriff and Jail","Sheriff Second Chances","Inmate Rehabilitation Coord","Virginia Beach","Male","White","Doctorate (Academic)","Veteran","2021","1973"
"Emergency Preparedness and Response","EOC/911","Public Safety Telecomm I","Virginia Beach","Female","Black","Masters Level Degree","Veteran","2015","1985"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Chesapeake","Male","Black","Associate Degree","Veteran","2018","1987"
"Housing and Community Development","Housing and Community Dev","Project Manager","Norfolk","Male","NS","Bachelors Level Degree","Veteran","2022","1985"
"Information Technology","Information Technology","Radio Comm Sys Analyst Sr","Suffolk","Male","Black","Associate Degree","Veteran","2016","1982"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist I","Chesapeake","Female","Black","Some College","Veteran","2020","1991"
"Police","Police Administrative Svcs-Swn","Police Recruit","Suffolk","Male","Hispanic","Some College","Veteran","2022","1994"
"Utilities","Utilities WasteWater","Equipment Operator II","Virginia Beach","Male","Black","HS Graduate or Equivalent","Veteran","2022","1965"
"Public Works","PW Storm Water Mgmt","Equipment Operator II","Norfolk","Male","Black","Some College","Veteran","2022","1962"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Senior)","Virginia Beach","Male","Black","HS Graduate or Equivalent","Veteran","2015","1992"
"Public Works","PW Waste Management","Refuse Collector I","Portsmouth","Male","Black","Associate Degree","Veteran","2022","1974"
"Police","Police Administrative Svcs-Swn","Police Recruit","Norfolk","Female","Black","HS Graduate or Equivalent","Veteran","2022","1993"
"Utilities","Utilities Engineering","Engineering Technician II","Norfolk","Male","White","Some College","Veteran","2022","1998"
"Police","Police Field Operations-Sworn","Police Recruit","Williamsburg","Male","White","HS Graduate or Equivalent","Veteran","2022","1999"
"Emergency Preparedness and Response","EOC/911","Public Safety Telecomm I","Virginia Beach","Female","White","Bachelors Level Degree","Veteran","2022","1996"
"Police","Police Administrative Svc-Civl","Software Analyst","Suffolk","Male","Black","HS Graduate or Equivalent","Veteran","2022","1965"
"General Services","General Services-Parking Fac","Electronics Technician II","Elizabeth City","Male","White","Some College","Veteran","2014","1983"
"Police","Police Field Operations-Sworn","Police Recruit","Norfolk","Male","Black","Some College","Veteran","2022","1994"
"Parks and Recreation","RPOS - Landscape Services","Park Ranger","Chesapeake","Male","White","Bachelors Level Degree","Veteran","2022","1994"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Hampton","Female","","Some College","Veteran","2020","1966"
"Parks and Recreation","RPOS - Landscape Services","Tree Trimmer II","Norfolk","Male","NS","Some College","Veteran","2021","1989"
"Public Works","PW Div of Streets & Bridges","Equipment Operator III","Norfolk","Male","Black","Some College","Veteran","2015","1960"
"Fire-Rescue","Fire-Rescue","Firefighter EMT - Advanced","Norfolk","Male","White","Some College","Veteran","2020","1995"
"Utilities","Utilities Water Production","Utility MaintenanceSupv, Sr","Norfolk","Male","Black","Technical School","Veteran","2018","1972"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Norfolk","Male","Hispanic","Bachelors Level Degree","Veteran","2017","1979"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Virginia Beach","Male","White","HS Graduate or Equivalent","Veteran","2017","1991"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Chesapeake","Male","White","Not Indicated","Veteran","2020","1960"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Virginia Beach","Male","White","Some College","Veteran","2019","1993"
"Police","Police Field Operations-Sworn","Master Police Officer","Virginia Beach","Male","Hispanic","Some College","Veteran","2013","1980"
"Norfolk Community Services Board","NCSB-Opoid Replacement Clinic","Licensed Practical Nurse","Virginia Beach","Female","Black","Technical School","Veteran","2022","1974"
"Fire-Rescue","Fire-Rescue","Firefighter Recruit","Chesapeake","Male","White","HS Graduate or Equivalent","Veteran","2022","1995"
"Police","Police Field Operations-Sworn","Police Officer","Virginia Beach","Male","Black","Bachelors Level Degree","Veteran","2017","1980"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Hampton","Female","Black","HS Graduate or Equivalent","Veteran","2014","1987"
"Norfolk Community Services Board","NCSB-Infant Development","Case Manager III","Virginia Beach","Female","Black","Bachelors Level Degree","Veteran","2022","1987"
"Norfolk Community Services Board","NCSB-Emergency Services","Clinician","Chesapeake","Male","Black","Doctorate (Professional)","Veteran","1989","1955"
"Fire-Rescue","Fire-Rescue","Firefighter Recruit","Viginia Beach","Male","White","HS Graduate or Equivalent","Veteran","2022","1997"
"City Planning","Planning-Planning","City Planner Associate","Norfolk","Female","White","Bachelors Level Degree","Veteran","2022","1990"
"Parks and Recreation","Rec,Parks,OpenSpace-Rec Center","Recreation Aide","Norfolk","Female","Black","HS Graduate or Equivalent","Veteran","2022","1960"
"Human Services","Hum Svc Div of Social Services","Self-Sufficiency Specialist II","Chesapeake","Female","Black","Bachelors Level Degree","Veteran","2022","1984"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Senior)","Franklin","Female","White","Some College","Veteran","2016","1993"
"Police","Police Field Operations-Sworn","Police Officer","Chesapeake","Male","White","HS Graduate or Equivalent","Veteran","2017","1990"
"Police","Police Field Operations-Sworn","Police Officer","Norfolk","Male","Black","Some College","Veteran","2016","1990"
"Police","Police Administration - Sworn","Police Officer","Norfolk","Male","Hispanic","Associate Degree","Veteran","2022","1992"
"General Services","Gen Srvs-PublicInfrastructure","Maintenance Mechanic I","Norfolk","Male","Black","Some College","Veteran","2022","1986"
"Norfolk Healthcare Consortium","Healthcare Administration","Benefits Specialist (HR only)","Virginia Beach","Female","White","Associate Degree","Veteran","2022","1973"
"General Services","General Services-Parking Fac","Meter Monitor","Chesapeake","Male","White","HS Graduate or Equivalent","Veteran","2022","1955"
"Police","Police Field Operations-Sworn","Police Officer","Toano","Male","White","HS Graduate or Equivalent","Veteran","2022","1998"
"Police","Police Administrative Svcs-Swn","Police Recruit","Virginia Beach","Male","NS","HS Graduate or Equivalent","Veteran","2022","1997"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Hampton","Male","White","Not Indicated","Veteran","2021","1995"
"Fire-Rescue","Fire-Rescue","Firefighter Recruit","Virginia Beach","Male","Hispanic","Some College","Not a Veteran","2022","2001"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Virginia Beach","Male","Black","Bachelors Level Degree","Not a Veteran","2018","1974"
"Human Services","Hum Svc Div of Social Services","Self-Sufficiency Specialist I","Norfolk","Female","Black","Masters Level Degree","Not a Veteran","2020","1985"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Senior)","Chesapeake","Male","White","Associate Degree","Not a Veteran","2006","1982"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Recruit)","Suffolk","Female","Black","HS Graduate or Equivalent","Not a Veteran","2022","2004"
"Public Works","PW Division of Design","Construction Inspector III","Virginia Beach","Female","White","Not Indicated","Not a Veteran","1997","1964"
"Public Works","PW Waste Management","Refuse Collector III","Norfolk","Male","Black","HS Graduate or Equivalent","Not a Veteran","2015","1995"
"Police","Police Field Operations-Civiln","Humane Officer I","Norfolk","Female","White","Bachelors Level Degree","Not a Veteran","2022","1997"
"Utilities","Utilities Water Distribution","Equipment Operator III","Norfolk","Male","Black","HS Graduate or Equivalent","Not a Veteran","2000","1969"
"Human Services","Hum Svc Div of Social Services","Accountant II","Norfolk","Female","Black","Masters Level Degree","Not a Veteran","2022","1972"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Suffolk","Female","Black","Some College","Not a Veteran","2015","1981"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Portsmouth","Female","Black","Associate Degree","Not a Veteran","2020","1971"
"Finance","Finance Purchasing","Procurement Specialist II","Chesapeake","Female","Black","Bachelors Level Degree","Not a Veteran","2021","1985"
"Human Services","Hum Svc Div of Social Services","Family Services Worker II","Norfolk","Female","Black","Bachelors Level Degree","Not a Veteran","2018","1993"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Hampton","Male","Black","Associate Degree","Not a Veteran","2020","1988"
"Cultural Facilities, Arts and Entertainment","CF-Cultural&Convention Center","Tour/Information Assistant","Norfolk","Female","Black","Some College","Not a Veteran","2022","1952"
"Sheriff and Jail","Judicial - Sheriff and Jail","Records Clerk","Chesapeake","Female","White","Associate Degree","Not a Veteran","2014","1962"
"Libraries","Branch Operations","Library Assistant II","Virginia Beach","Female","Black","Bachelors Level Degree","Not a Veteran","2022","1998"
"Sheriff and Jail","Judicial - Sheriff and Jail","Inmate Classif Specialist","Chesapeake","Female","Black","Not Indicated","Not a Veteran","1995","1968"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist I","Norfolk","Female","Black","Bachelors Level Degree","Not a Veteran","2008","1991"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Chesapeake","Female","Black","Bachelors Level Degree","Not a Veteran","2019","1979"
"Finance","Finance Retirement Bureau","Exec Mgr of Retirement Systems","Chesapeake","Female","White","Masters Level Degree","Not a Veteran","2012","1967"
"Libraries","Branch Operations","Library Associate  I","Suffolk","Female","Black","Some College","Not a Veteran","2022","2001"
"Human Services","Hum Svc Div of Social Services","Self-Sufficiency Specialist II","Newport News","Female","Black","Some College","Not a Veteran","2015","1973"
"Human Services","Hum Svc Div of Social Services","Family Services Worker II","Williamsburg","Female","White","Masters Level Degree","Not a Veteran","2020","1993"
"Public Works","PW Division of Design","Project Manager","Norfolk","Female","White","Bachelors Level Degree","Not a Veteran","2014","1964"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Norfolk","Female","White","Not Indicated","Not a Veteran","1998","1974"
"Cultural Facilities, Arts and Entertainment","CulturalFaciities,Arts&Entrmnt","Ticket Sales Supervisor","Norfolk","Female","Black","Bachelors Level Degree","Not a Veteran","2003","1979"
"Public Works","PW Div of Streets & Bridges","Equipment Operator IV","Norfolk","Male","Black","Not Indicated","Not a Veteran","1993","1955"
"Police","Police Investigative Svc-Sworn","Police Lieutenant","Chesapeake","Female","Black","Bachelors Level Degree","Not a Veteran","2003","1976"
"Human Services","Hum Svc Div of Social Services","Fiscal Monitoring Spec II","Norfolk","Female","White","Bachelors Level Degree","Not a Veteran","2021","1971"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff","Chesapeake","Female","Black","Bachelors Level Degree","Not a Veteran","2018","1994"
"City Planning","Planning - Bldg Constr","Codes Specialist, Senior","Chesapeake","Male","White","Some College","Not a Veteran","2022","1965"
"Finance","Finance City Controller","Collection Coord","Virginia Beach","Female","Hispanic","Associate Degree","Not a Veteran","2017","1990"
"Human Services","Hum Svc Div of Social Services","Family Services Associate","Chesapeake","Female","Black","Some College","Not a Veteran","2020","1976"
"Norfolk Community Services Board","NCSB-Opoid Replacement Clinic","Registered Nurse","Virginia Beach","Female","White","Associate Degree","Not a Veteran","2015","1949"
"City Planning","Planning-Planning","Zoning Inspector II","Chesapeake","Male","Black","HS Graduate or Equivalent","Not a Veteran","2022","1996"
"Human Resources","Human Resources","Human Resources Spec (HR only)","Chesapeake","Female","Asian","Bachelors Level Degree","Not a Veteran","2020","1984"
"Police","Police Administrative Svcs-Swn","Master Police Officer","Chesapeake","Male","White","Not Indicated","Not a Veteran","1994","1966"
"Public Works","PW Div of Streets & Bridges","Mason","Norfolk","Male","Black","HS Graduate or Equivalent","Not a Veteran","2022","1982"
"Fire-Rescue","Fire-Rescue","Firefighter EMT-I","Chesapeake","Male","White","Not Indicated","Not a Veteran","2013","1980"
"Human Services","Hum Svc Div of Social Services","Fiscal Monitoring Spec I","Va Beach","Female","White","Bachelors Level Degree","Not a Veteran","1988","1960"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Norfolk","Male","Black","Not Indicated","Not a Veteran","2002","1972"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Supervisor","Portsmouth","Female","Black","Some Graduate School","Not a Veteran","2014","1986"
"Human Services","Hum Svc Div of Social Services","Family Services Worker I","Chesapeake","Female","Black","Bachelors Level Degree","Not a Veteran","2022","1997"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Chesapeake","Female","Black","HS Graduate or Equivalent","Not a Veteran","2017","1955"
"Police","Police Field Operations-Sworn","Master Police Officer","Newport News","Male","White","Associate Degree","Not a Veteran","2016","1993"
"Sheriff and Jail","Judicial - Sheriff and Jail","Public Relations Assistant-SC","Virginia Beach","Female","White","Associate Degree","Not a Veteran","2016","1966"
"Public Works","PW Waste Management","Refuse Collector III","Norfolk","Male","Black","Technical School","Not a Veteran","2013","1991"
"Human Services","Hum Svc Div of Social Services","Benefit Programs Specialist II","Norfolk","Female","Black","Some College","Not a Veteran","2017","1973"
"Police","Police Field Operations-Sworn","Master Police Officer","Norfolk","Female","White","Bachelors Level Degree","Not a Veteran","2015","1991"
"City Planning","Planning - Bldg Constr","Building Commissioner","Norfolk","Male","Black","Not Indicated","Not a Veteran","1990","1966"
"Sheriff and Jail","Judicial - Sheriff and Jail","MicrocomputerSystemsAnalystSC","Norfolk","Male","Black","Bachelors Level Degree","Not a Veteran","2006","1988"
"Transit","Transit - Directors Office","Accountant III","Norfolk","Female","Black","Associate Degree","Not a Veteran","2012","1979"
"Sheriff and Jail","Judicial - Sheriff and Jail","Deputy Sheriff (Master)","Chesapeake","Female","White","Not Indicated","Not a Veteran","1999","1962"
"Libraries","Branch Operations","Library Associate  I","Virginia Beach","Female","White","Associate Degree","Not a Veteran","2015","1984"
