"full_name","pre_dir","type","street_name","street_suffix","post_dir","status"
"BUNKER HILL PARKWAY                     ",,,"BUNKER HILL                   ","PARKWAY   ",,"BASE      "
"C STREET                                ","  ","                ","C                             ","STREET    ","  ","BASE      "
"CEMETARY ROAD                           ",,,"CEMETARY                      ","ROAD      ",,"BASE      "
"COLD STORAGE ROAD                       ",,,"COLD STORAGE                  ","ROAD      ",,"BASE      "
"CORREGIDOR AVENUE                       ",,,"CORREGIDOR                    ","AVENUE    ",,"BASE      "
"CRUISER AVENUE                          ",,,"CRUISER                       ","AVENUE    ",,"BASE      "
"CHAPEL ROAD                             ",,,"CHAPEL                        ","ROAD      ",,"BASE      "
"D AVENUE                                ",,,"D                             ","AVENUE    ",,"BASE      "
"DALE AVENUE                             ",,,"DALE                          ","AVENUE    ",,"BASE      "
"DECATUR AVENUE                          ",,,"DECATUR                       ","AVENUE    ",,"BASE      "
"DEAD END ROAD                           ",,,"DEAD END                      ","ROAD      ",,"BASE      "
"DILLINGHAM BOULEVARD                    ",,,"DILLINGHAM                    ","BOULEVARD ",,"BASE      "
"E KNOX ROAD                             ","E ","                ","KNOX                          ","ROAD      ","  ","BASE      "
"DIVEN ARCH                              ",,,"DIVEN                         ","ARCH      ",,"BASE      "
"DIVEN LANE                              ","  ","                ","DIVEN                         ","LANE      ","  ","BASE"
"EAST C STREET                           ",,,"EAST C                        ","STREET    ",,"BASE      "
"EAST D STREET                           ",,,"EAST D                        ","STREET    ",,"BASE      "
"EAST INGRAM COURT                       ",,,"EAST INGRAM                   ","COURT     ",,"BASE      "
"EAST LAGOON AVENUE                      ",,,"EAST LAGOON                   ","AVENUE    ",,"BASE      "
"EAST MOREELL CIRCLE                     ",,,"EAST MOREELL                  ","CIRCLE    ",,"BASE      "
"ELLYSON STREET                          ",,,"ELLYSON                       ","STREET    ",,"BASE      "
"EILERS STREET                           ",,,"EILERS                        ","STREET    ",,"BASE      "
"ELEMENTARY DRIVE                        ",,,"ELEMENTARY                    ","DRIVE     ",,"BASE      "
"EMIRAU STREET                           ",,,"EMIRAU                        ","STREET    ",,"BASE      "
"ENIWETOK AVENUE                         ",,,"ENIWETOK                      ","AVENUE    ",,"BASE      "
"ESCORT AVENUE                           ",,,"ESCORT                        ","AVENUE    ",,"BASE      "
"FECHTELLER ROAD                         ",,,"FECHTELLER                    ","ROAD      ",,"BASE      "
"FLEET ROAD                              ",,,"FLEET                         ","ROAD      ",,"BASE      "
"FERRY ROAD                              ",,,"FERRY                         ","ROAD      ",,"BASE      "
"FORRESTAL DRIVE                         ",,,"FORRESTAL                     ","DRIVE     ",,"BASE      "
"FOX RUN ROAD                            ",,,"FOX RUN                       ","ROAD      ",,"BASE      "
"FRANKLIN STREET                         ",,,"FRANKLIN                      ","STREET    ",,"BASE      "
"FUZE ROW LANE                           ",,,"FUZE ROW                      ","LANE      ",,"BASE      "
"GILBERT STREET                          ",,,"GILBERT                       ","STREET    ",,"BASE      "
"GUADALCANAL ROAD                        ",,,"GUADALCANAL                   ","ROAD      ",,"BASE      "
"GUAM PARKWAY                            ","  ","                ","GUAM                          ","PARKWAY   ","  ","BASE"
"GUESTWICK CRESCENT                      ",,,"GUESTWICK                     ","CRESCENT  ",,"BASE      "
"GUNSTON HALL ROAD                       ",,,"GUNSTON HALL                  ","ROAD      ",,"BASE      "
"H STREET                                ",,,"H                             ","STREET    ",,"BASE      "
"HAMMOND AVENUE                          ",,,"HAMMOND                       ","AVENUE    ",,"BASE      "
"HELMICK STREET                          ",,,"HELMICK                       ","STREET    ",,"BASE      "
"HERMITAGE ROAD                          ",,,"HERMITAGE                     ","ROAD      ",,"BASE      "
"HETHERSETT ROAD                         ",,,"HETHERSETT                    ","ROAD      ",,"BASE      "
"HORNET STREET                           ",,,"HORNET                        ","STREET    ",,"BASE      "
"HUGHES DRIVE                            ",,,"HUGHES                        ","DRIVE     ",,"BASE      "
"HULL STREET                             ",,,"HULL                          ","STREET    ",,"BASE      "
"INGERSOL STREET                         ",,,"INGERSOL                      ","STREET    ",,"BASE      "
"INGRAM LOOP                             ",,,"INGRAM                        ","LOOP      ",,"BASE      "
"INGRAM STREET                           ",,,"INGRAM                        ","STREET    ",,"BASE      "
"IRONMONGER ROAD                         ",,,"IRONMONGER                    ","ROAD      ",,"BASE      "
"IWO JIMA CIRCLE                         ",,,"IWO JIMA                      ","CIRCLE    ",,"BASE      "
"IWO JIMA ROAD                           ",,,"IWO JIMA                      ","ROAD      ",,"BASE      "
"J STREET                                ",,,"J                             ","STREET    ",,"BASE      "
"INCHON ROAD                             ",,,"INCHON                        ","ROAD      ",,"BASE      "
"INCHON STREET                           ",,,"INCHON                        ","STREET    ",,"BASE      "
"K STREET                                ",,,"K                             ","STREET    ",,"BASE      "
"KING STREET                             ",,,"KING                          ","STREET    ",,"BASE      "
"KINGS LYNN DRIVE                        ",,,"KINGS LYNN                    ","DRIVE     ",,"BASE      "
"KEY POINT LANE                          ",,,"KEY POINT                     ","LANE      ",,"BASE      "
"KEY POINT ROAD                          ",,,"KEY POINT                     ","ROAD      ",,"BASE      "
"KISKA ROAD                              ",,,"KISKA                         ","ROAD      ",,"BASE      "
"LAMORE COUNTY ROAD                      ",,,"LAMORE COUNTY                 ","ROAD      ",,"BASE      "
"LEUTZE ROAD                             ",,,"LEUTZE                        ","ROAD      ",,"BASE      "
"LEYTE AVENUE                            ",,,"LEYTE                         ","AVENUE    ",,"BASE      "
"LINES DRIVE                             ",,,"LINES                         ","DRIVE     ",,"BASE      "
"LIPHERZ LOOP                            ",,,"LIPHERZ                       ","LOOP      ",,"BASE      "
"LUMBER LANE                             ",,,"LUMBER                        ","LANE      ",,"BASE      "
"MAGAZINE ROAD                           ",,,"MAGAZINE                      ","ROAD      ",,"BASE      "
"MALL DRIVE                              ",,,"MALL                          ","DRIVE     ",,"BASE      "
"MAIN STREET                             ",,,"MAIN                          ","STREET    ",,"BASE      "
"MASON CREEK BRIDGE                      ",,,"MASON CREEK                   ","BRIDGE    ",,"BASE      "
"MIDWAY DRIVE                            ",,,"MIDWAY                        ","DRIVE     ",,"BASE      "
"MINDORA STREET                          ",,,"MINDORA                       ","STREET    ",,"BASE      "
"MEREDITH STREET                         ",,,"MEREDITH                      ","STREET    ",,"BASE      "
"MITSCHER AVENUE                         ",,,"MITSCHER                      ","AVENUE    ",,"BASE      "
"MOFFETT AVENUE                          ",,,"MOFFETT                       ","AVENUE    ",,"BASE      "
"MONROVIA STREET                         ",,,"MONROVIA                      ","STREET    ",,"BASE      "
"MORRIS STREET                           ",,,"MORRIS                        ","STREET    ",,"BASE      "
"MOGADISHU STREET                        ",,,"MOGADISHU                     ","STREET    ",,"BASE      "
"MOREELL STREET                          ",,,"MOREELL                       ","STREET    ",,"BASE      "
"MOROTAI ROAD                            ",,,"MOROTAI                       ","ROAD      ",,"BASE      "
"N KNOX ROAD                             ","N ","                ","KNOX                          ","ROAD      ","  ","BASE      "
"NASHVILLE QUAY                          ","  ","                ","NASHVILLE                     ","QUAY      ","  ","BASE"
"NEW KISKA ROAD                          ",,,"NEW KISKA                     ","ROAD      ",,"BASE      "
"NOEMFOOR ROAD                           ",,,"NOEMFOOR                      ","ROAD      ",,"BASE      "
"NORFOLK CROSSING AVENUE                 ",,,"NORFOLK CROSSING              ","AVENUE    ",,"BASE      "
"NORMANDY LANDING                        ","  ","                ","NORMANDY                      ","LANDING   ","  ","BASE"
"NORTH ORIOLE DRIVE                      ",,,"NORTH ORIOLE                  ","DRIVE     ",,"BASE      "
"NORTH RODGERS AVENUE                    ",,,"NORTH RODGERS                 ","AVENUE    ",,"BASE      "
"NEW GEORGIA AVENUE                      ",,,"NEW GEORGIA                   ","AVENUE    ",,"BASE      "
"NORTH BRISTON COURT                     ",,,"NORTH BRISTON                 ","COURT     ",,"BASE      "
"OAK HILL ROAD                           ",,,"OAK HILL                      ","ROAD      ",,"BASE      "
"OKINAWA ROAD                            ",,,"OKINAWA                       ","ROAD      ",,"BASE      "
"OCONNER CRESCENT                        ",,,"OCONNER                       ","CRESCENT  ",,"BASE      "
"PARK PLACE                              ",,,"PARK                          ","PLACE     ",,"BASE      "
"PATROL ROAD                             ",,,"PATROL                        ","ROAD      ",,"BASE      "
"PEDDARS WAY                             ",,,"PEDDARS                       ","WAY       ",,"BASE      "
"PIERSEY STREET                          ",,,"PIERSEY                       ","STREET    ",,"BASE      "
"POCAHONTAS STREET                       ",,,"POCAHONTAS                    ","STREET    ",,"BASE      "
"PORT AU PRINCE AVENUE                   ",,,"PORT AU PRINCE                ","AVENUE    ",,"BASE      "
"PORTER ROAD                             ",,,"PORTER                        ","ROAD      ",,"BASE      "
"POWHATAN STREET                         ",,,"POWHATAN                      ","STREET    ",,"BASE      "
"PREBLE STREET                           ",,,"PREBLE                        ","STREET    ",,"BASE      "
"PRIORY PLACE                            ",,,"PRIORY                        ","PLACE     ",,"BASE      "
"PUSAN STREET                            ",,,"PUSAN                         ","STREET    ",,"BASE      "
"RAILHEAD ACCESS ROAD                    ",,,"RAILHEAD ACCESS               ","ROAD      ",,"BASE      "
"RED LABEL ROAD                          ",,,"RED LABEL                     ","ROAD      ",,"BASE      "
"RANGER AVENUE                           ",,,"RANGER                        ","AVENUE    ",,"BASE      "
"RODMAN AVENUE                           ",,,"RODMAN                        ","AVENUE    ",,"BASE      "
"ROYAL WINDSOR COURT                     ",,,"ROYAL WINDSOR                 ","COURT     ",,"BASE      "
"ROYAL WINDSOR LOOP                      ",,,"ROYAL WINDSOR                 ","LOOP      ",,"BASE      "
"S KNOX ROAD                             ","S ","                ","KNOX                          ","ROAD      ","  ","BASE      "
"SAIPAN BOULEVARD                        ","  ","                ","SAIPAN                        ","BOULEVARD ","  ","BASE"
"SARATOGA STREET                         ",,,"SARATOGA                      ","STREET    ",,"BASE      "
"SEA BEE AVENUE                          ",,,"SEA BEE                       ","AVENUE    ",,"BASE      "
"SIGONELLA AVENUE                        ",,,"SIGONELLA                     ","AVENUE    ",,"BASE      "
"SOUDA BAY AVENUE                        ",,,"SOUDA BAY                     ","AVENUE    ",,"BASE      "
"SHREVEPORT CRESCENT                     ","  ","                ","SHREVEPORT                    ","CRESCENT  ","  ","BASE"
"SOUTH BRISTON COURT                     ",,,"SOUTH BRISTON                 ","COURT     ",,"BASE      "
"SOUTH ORIOLE DRIVE                      ","  ","                ","SOUTH ORIOLE                  ","DRIVE     ","  ","BASE      "
"SOUTH RODGERS AVENUE                    ",,,"SOUTH RODGERS                 ","AVENUE    ",,"BASE      "
"SUMTER ROAD                             ",,,"SUMTER                        ","ROAD      ",,"BASE      "
"STALWART ROAD                           ",,,"STALWART                      ","ROAD      ",,"BASE      "
"STOWBRIDGE LANE                         ",,,"STOWBRIDGE                    ","LANE      ",,"BASE      "
"TARAWA COURT                            ",,,"TARAWA                        ","COURT     ",,"BASE      "
"TARAWA ROAD                             ",,,"TARAWA                        ","ROAD      ",,"BASE      "
"TAXIWAY DRIVE                           ",,,"TAXIWAY                       ","DRIVE     ",,"BASE      "
"TORGERSON ROAD                          ",,,"TORGERSON                     ","ROAD      ",,"BASE      "
"TORTUGA ROAD                            ",,,"TORTUGA                       ","ROAD      ",,"BASE      "
"TOWER STREET                            ",,,"TOWER                         ","STREET    ",,"BASE      "
"TRAILER COURT                           ",,,"TRAILER                       ","COURT     ",,"BASE      "
"TRUXTON STREET                          ",,,"TRUXTON                       ","STREET    ",,"BASE      "
"TOWWAY DRIVE                            ",,,"TOWWAY                        ","DRIVE     ",,"BASE      "
"WALSINGHAM WAY                          ",,,"WALSINGHAM                    ","WAY       ",,"BASE      "
"WAREHOUSE ROAD                          ",,,"WAREHOUSE                     ","ROAD      ",,"BASE      "
"WAREHOUSE STREET                        ",,,"WAREHOUSE                     ","STREET    ",,"BASE      "
"WEAPONS ROAD                            ",,,"WEAPONS                       ","ROAD      ",,"BASE      "
"WEST C STREET                           ",,,"WEST C                        ","STREET    ",,"BASE      "
"WEST D STREET                           ",,,"WEST D                        ","STREET    ",,"BASE      "
"WEST INGRAM COURT                       ",,,"WEST INGRAM                   ","COURT     ",,"BASE      "
"WEST PATROL ROAD                        ",,,"WEST PATROL                   ","ROAD      ",,"BASE      "
"WEST MOREELL CIRCLE                     ",,,"WEST MOREELL                  ","CIRCLE    ",,"BASE      "
"WHIDBEY ISLAND ROAD                     ",,,"WHIDBEY ISLAND                ","ROAD      ",,"BASE      "
"WONSAN STREET                           ",,,"WONSAN                        ","STREET    ",,"BASE      "
"WILHELMSHAVEN WAY                       ",,,"WILHELMSHAVEN                 ","WAY       ",,"BASE      "
"YALU STREET                             ",,,"YALU                          ","STREET    ",,"BASE      "
"YORKTOWN AVENUE                         ",,,"YORKTOWN                      ","AVENUE    ",,"BASE      "
"YORKTOWN CIRCLE                         ",,,"YORKTOWN                      ","CIRCLE    ",,"CITY      "
"YORKTOWN DRIVE                          ",,,"YORKTOWN                      ","DRIVE     ",,"CITY      "
"YUMA STREET                             ",,,"YUMA                          ","STREET    ",,"CITY"
"YORK STREET                             ",,,"YORK                          ","STREET    ",,"CITY      "
"YARMOUTH STREET                         ",,,"YARMOUTH                      ","STREET    ",,"CITY      "
"STAFFORD STREET                         ",,,"STAFFORD                      ","STREET    ",,"CITY      "
"WHEELING AVENUE                         ",,,"WHEELING                      ","AVENUE    ",,"CITY      "
"WILKIE ROAD                             ",,,"WILKIE                        ","ROAD      ",,"CITY      "
"WILLARD PLACE                           ",,,"WILLARD                       ","PLACE     ",,"CITY      "
"WILLBEN STREET                          ","  ","                ","WILLBEN                       ","STREET    ","  ","CITY      "
"WILLINGHAM STREET                       ",,,"WILLINGHAM                    ","STREET    ",,"CITY      "
"WILLOUGHBY AVENUE                       ",,,"WILLOUGHBY                    ","AVENUE    ",,"CITY      "
"WILLOW COURT                            ",,,"WILLOW                        ","COURT     ",,"CITY      "
"WILLOW GROVE COURT                      ",,,"WILLOW GROVE                  ","COURT     ",,"CITY      "
"WILLOW TERRACE                          ",,,"WILLOW                        ","TERRACE   ",,"CITY      "
"WILLOW WOOD DRIVE                       ",,,"WILLOW WOOD                   ","DRIVE     ",,"CITY      "
"WILMINGTON STREET                       ",,,"WILMINGTON                    ","STREET    ",,"CITY      "
"WILSON ROAD                             ",,,"WILSON                        ","ROAD      ",,"CITY      "
"WINBURNE LANE                           ",,,"WINBURNE                      ","LANE      ",,"CITY      "
"WOOD STREET                             ",,,"WOOD                          ","STREET    ",,"CITY      "
"WOODALL ROAD                            ",,,"WOODALL                       ","ROAD      ",,"CITY      "
"WOODBINE ROAD                           ",,,"WOODBINE                      ","ROAD      ",,"CITY      "
"WOODBURY AVENUE                         ",,,"WOODBURY                      ","AVENUE    ",,"CITY      "
"WOODCOCK STREET                         ",,,"WOODCOCK                      ","STREET    ",,"CITY      "
"WOODFIN AVENUE                          ",,,"WOODFIN                       ","AVENUE    ",,"CITY      "
"WOODFORD STREET                         ",,,"WOODFORD                      ","STREET    ",,"CITY      "
"WOODIS AVENUE                           ",,,"WOODIS                        ","AVENUE    ",,"CITY      "
"WOODLAND AVENUE                         ",,,"WOODLAND                      ","AVENUE    ",,"CITY      "
"WOODRIDGE DRIVE                         ",,,"WOODRIDGE                     ","DRIVE     ",,"CITY      "
"WOODROW AVENUE                          ",,,"WOODROW                       ","AVENUE    ",,"CITY      "
"WOODVIEW AVENUE                         ",,,"WOODVIEW                      ","AVENUE    ",,"CITY      "
"WOODWAY LANE                            ",,,"WOODWAY                       ","LANE      ",,"CITY      "
"WOODY COURT                             ",,,"WOODY                         ","COURT     ",,"CITY      "
"WOODY DRIVE                             ",,,"WOODY                         ","DRIVE     ",,"CITY      "
"WOOLSEY STREET                          ",,,"WOOLSEY                       ","STREET    ",,"CITY      "
"WORKWOOD ROAD                           ",,,"WORKWOOD                      ","ROAD      ",,"CITY      "
"WORONOCA AVENUE                         ",,,"WORONOCA                      ","AVENUE    ",,"CITY      "
"WORTH STREET                            ",,,"WORTH                         ","STREET    ",,"CITY      "
"WYNGATE DRIVE                           ",,,"WYNGATE                       ","DRIVE     ",,"CITY      "
"WYOMING AVENUE                          ",,,"WYOMING                       ","AVENUE    ",,"CITY      "
"WYTHE PLACE                             ",,,"WYTHE                         ","PLACE     ",,"CITY      "
"WINDERMERE AVENUE                       ",,,"WINDERMERE                    ","AVENUE    ",,"CITY      "
"WINDHAM ROAD                            ",,,"WINDHAM                       ","ROAD      ",,"CITY      "
"WINDSOR POINT ROAD                      ",,,"WINDSOR POINT                 ","ROAD      ",,"CITY      "
"WINGFIELD ROAD                          ",,,"WINGFIELD                     ","ROAD      ",,"CITY      "
"WINN LANE                               ",,,"WINN                          ","LANE      ",,"CITY      "
"WINSHIRE STREET                         ",,,"WINSHIRE                      ","STREET    ",,"CITY      "
"WINSTEAD COURT                          ",,,"WINSTEAD                      ","COURT     ",,"CITY      "
"WINSTEAD ROAD                           ",,,"WINSTEAD                      ","ROAD      ",,"CITY      "
"WINSTON STREET                          ",,,"WINSTON                       ","STREET    ",,"CITY      "
"WINTHROP STREET                         ",,,"WINTHROP                      ","STREET    ",,"CITY      "
"WINWARD ROAD                            ",,,"WINWARD                       ","ROAD      ",,"CITY      "
"WISE STREET                             ",,,"WISE                          ","STREET    ",,"CITY      "
"WISTERIA PLACE                          ",,,"WISTERIA                      ","PLACE     ",,"CITY      "
"WITHERS AVENUE                          ",,,"WITHERS                       ","AVENUE    ",,"CITY      "
"WOLCOTT AVENUE                          ",,,"WOLCOTT                       ","AVENUE    ",,"CITY      "
"WOLFE STREET                            ",,,"WOLFE                         ","STREET    ",,"CITY      "
"WOLFERTON LANE                          ",,,"WOLFERTON                     ","LANE      ",,"CITY      "
"WOLFERTON STREET                        ",,,"WOLFERTON                     ","STREET    ",,"CITY      "
"WHILE LANE                              ",,,"WHILE                         ","LANE      ",,"CITY      "
"WHIT AVENUE                             ",,,"WHIT                          ","AVENUE    ",,"CITY      "
"WHITAKER LANE                           ",,,"WHITAKER                      ","LANE      ",,"CITY      "
"WHITE CHAPEL ROAD                       ",,,"WHITE CHAPEL                  ","ROAD      ",,"CITY      "
"WHITE HALL DRIVE                        ",,,"WHITE HALL                    ","DRIVE     ",,"CITY      "
"WEST NORCHESTER MEWS                    ","  ","                ","WEST NORCHESTER               ","MEWS      ","  ","CITY      "
"WEST NORCOVA DRIVE                      ",,,"WEST NORCOVA                  ","DRIVE     ",,"CITY      "
"WEST PARK                               ",,,"WEST                          ","PARK      ",,"CITY      "
"WHITEHEAD AVENUE                        ",,,"WHITEHEAD                     ","AVENUE    ",,"CITY      "
"WHITEHORN DRIVE                         ",,,"WHITEHORN                     ","DRIVE     ",,"CITY      "
"WHITING STREET                          ",,,"WHITING                       ","STREET    ",,"CITY      "
"WHITNEY BOULEVARD                       ",,,"WHITNEY                       ","BOULEVARD ",,"CITY      "
"WHITTIER DRIVE                          ",,,"WHITTIER                      ","DRIVE     ",,"CITY      "
"WIDE STREET                             ",,,"WIDE                          ","STREET    ",,"CITY      "
"WIDGEON ROAD                            ",,,"WIDGEON                       ","ROAD      ",,"CITY      "
"WILBY STREET                            ",,,"WILBY                         ","STREET    ",,"CITY      "
"WILDWOOD DRIVE                          ",,,"WILDWOOD                      ","DRIVE     ",,"CITY      "
"WILEY DRIVE                             ",,,"WILEY                         ","DRIVE     ",,"CITY      "
"WEST RIVER ROAD                         ",,,"WEST RIVER                    ","ROAD      ",,"CITY      "
"WEST TANNERS CREEK DRIVE                ",,,"WEST TANNERS CREEK            ","DRIVE     ",,"CITY      "
"WESTCLIFF DRIVE                         ",,,"WESTCLIFF                     ","DRIVE     ",,"CITY      "
"WESTCOVE COURT                          ",,,"WESTCOVE                      ","COURT     ",,"CITY      "
"WESTMINSTER AVENUE                      ",,,"WESTMINSTER                   ","AVENUE    ",,"CITY      "
"WESTMORELAND AVENUE                     ",,,"WESTMORELAND                  ","AVENUE    ",,"CITY      "
"WESTOVER AVENUE                         ",,,"WESTOVER                      ","AVENUE    ",,"CITY      "
"WESTVIEW STREET                         ",,,"WESTVIEW                      ","STREET    ",,"CITY      "
"WESTWOOD TERRACE                        ",,,"WESTWOOD                      ","TERRACE   ",,"CITY      "
"WEYANOKE STREET                         ",,,"WEYANOKE                      ","STREET    ",,"CITY      "
"WHALEY AVENUE                           ",,,"WHALEY                        ","AVENUE    ",,"CITY      "
"WHALEY COURT                            ",,,"WHALEY                        ","COURT     ",,"CITY      "
"WHARTON AVENUE                          ",,,"WHARTON                       ","AVENUE    ",,"CITY      "
"WHARTON COURT                           ",,,"WHARTON                       ","COURT     ",,"CITY      "
"WEST KENMORE DRIVE                      ",,,"WEST KENMORE                  ","DRIVE     ",,"CITY      "
"WEST MCGINNIS CIRCLE                    ",,,"WEST MCGINNIS                 ","CIRCLE    ",,"CITY      "
"WEST DOVER CIRCLE                       ",,,"WEST DOVER                    ","CIRCLE    ",,"CITY      "
"WEST GLEN ROAD                          ",,,"WEST GLEN                     ","ROAD      ",,"CITY      "
"VIRGINIAN DRIVE                         ",,,"VIRGINIAN                     ","DRIVE     ",,"CITY      "
"VISTA STREET                            ",,,"VISTA                         ","STREET    ",,"CITY      "
"VIVIAN STREET                           ",,,"VIVIAN                        ","STREET    ",,"CITY      "
"VOSS STREET                             ",,,"VOSS                          ","STREET    ",,"CITY      "
"WESLEYAN DRIVE                          ",,,"WESLEYAN                      ","DRIVE     ",,"CITY      "
"WEST AVENUE                             ",,,"WEST                          ","AVENUE    ",,"CITY      "
"WEST AZALEA POINT ROAD                  ",,,"WEST AZALEA POINT             ","ROAD      ",,"CITY      "
"WEST BELVEDERE ROAD                     ",,,"WEST BELVEDERE                ","ROAD      ",,"CITY      "
"WEST BONNER DRIVE                       ",,,"WEST BONNER                   ","DRIVE     ",,"CITY      "
"WEBB COURT                              ",,,"WEBB                          ","COURT     ",,"CITY      "
"WEBSTER AVENUE                          ",,,"WEBSTER                       ","AVENUE    ",,"CITY      "
"WEBSTERS COURT                          ",,,"WEBSTERS                      ","COURT     ",,"CITY      "
"WEDGEFIELD AVENUE                       ",,,"WEDGEFIELD                    ","AVENUE    ",,"CITY      "
"WEDGEFIELD COURT                        ",,,"WEDGEFIELD                    ","COURT     ",,"CITY      "
"WEDGEWOOD DRIVE                         ",,,"WEDGEWOOD                     ","DRIVE     ",,"CITY      "
"WEEMS ROAD                              ",,,"WEEMS                         ","ROAD      ",,"CITY      "
"WEISS LANE                              ",,,"WEISS                         ","LANE      ",,"CITY      "
"WELAKA ROAD                             ",,,"WELAKA                        ","ROAD      ",,"CITY      "
"WELLINGTON COURT                        ",,,"WELLINGTON                    ","COURT     ",,"CITY      "
"WELLINGTON ROAD                         ",,,"WELLINGTON                    ","ROAD      ",,"CITY      "
"WELLINGTON STREET                       ",,,"WELLINGTON                    ","STREET    ",,"CITY      "
"WELLMAN STREET                          ",,,"WELLMAN                       ","STREET    ",,"CITY      "
"WELLS PARKWAY                           ",,,"WELLS                         ","PARKWAY   ",,"CITY      "
"WARNER CIRCLE                           ",,,"WARNER                        ","CIRCLE    ",,"CITY      "
"WARREN CRESCENT                         ",,,"WARREN                        ","CRESCENT  ",,"CITY      "
"WARREN STREET                           ",,,"WARREN                        ","STREET    ",,"CITY"
"WARRINGTON AVENUE                       ",,,"WARRINGTON                    ","AVENUE    ",,"CITY      "
"WARWICK AVENUE                          ",,,"WARWICK                       ","AVENUE    ",,"CITY      "
"WASHINGTON AVENUE                       ",,,"WASHINGTON                    ","AVENUE    ",,"CITY      "
"WASHINGTON PARK                         ",,,"WASHINGTON                    ","PARK      ",,"CITY      "
"WATER STREET                            ",,,"WATER                         ","STREET    ",,"CITY      "
"WATERSIDE DRIVE                         ",,,"WATERSIDE                     ","DRIVE     ",,"CITY      "
"WATERVIEW AVENUE                        ",,,"WATERVIEW                     ","AVENUE    ",,"CITY      "
"WATSON STREET                           ",,,"WATSON                        ","STREET    ",,"CITY      "
"WAUKESHA AVENUE                         ",,,"WAUKESHA                      ","AVENUE    ",,"CITY      "
"WAVERLY WAY                             ",,,"WAVERLY                       ","WAY       ",,"CITY      "
"WAYCROSS ROAD                           ",,,"WAYCROSS                      ","ROAD      ",,"CITY      "
"WAYLAND STREET                          ",,,"WAYLAND                       ","STREET    ",,"CITY      "
"WAYLON AVENUE                           ",,,"WAYLON                        ","AVENUE    ",,"CITY      "
"WAYMAN STREET                           ",,,"WAYMAN                        ","STREET    ",,"CITY      "
"WAYNE CIRCLE                            ",,,"WAYNE                         ","CIRCLE    ",,"CITY      "
