"area_type","area_name","period","soc_level","standard_occupational_classification","occupational_title","base_year_employment_estimate","projected_year_employment_estimate","numeric_change","percentage_change","exits","transfers","median_hourly_wage","total_job_openings","median_annual_wage","entry_level_education","work_experience","job_training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","2","15-0000","Computer and Mathematical Occupations","1070","1180","110","10.3","190","650","40.25","950","83708","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","15-1100","Computer Occupations","1030","1130","100","9.7","180","630","0.00","910","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","15-1121","Computer Systems Analysts","130","130","0","0.0","30","70","0.00","100","0","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","15-1132","Software Developers, Applications","150","190","40","26.7","20","100","0.00","160","0","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","15-1133","Software Developers, Systems Software","60","70","10","16.7","10","40","0.00","60","0","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","15-1142","Network and Computer Systems Administrators","120","120","0","0.0","20","60","0.00","80","0","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","15-1151","Computer User Support Specialists","340","370","30","8.8","60","220","0.00","310","0","Some college, no degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","15-1152","Computer Network Support Specialists","50","50","0","0.0","10","30","0.00","40","0","Associate's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","15-1199","Computer Occupations, All Other","100","120","20","20.0","20","60","0.00","100","0","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","2","17-0000","Architecture and Engineering Occupations","980","960","-20","-2.0","240","540","38.13","760","79305","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","17-1000","Architects, Surveyors, and Cartographers","60","50","-10","-16.7","10","30","0.00","30","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","17-2000","Engineers","630","630","0","0.0","130","310","0.00","440","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","17-2051","Civil Engineers","110","110","0","0.0","20","60","40.90","80","85056","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","17-2071","Electrical Engineers","160","140","-20","-12.5","30","70","0.00","80","0","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","17-2112","Industrial Engineers","80","90","10","12.5","20","40","46.41","70","96547","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","17-2141","Mechanical Engineers","140","150","10","7.1","30","70","40.23","110","83677","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","17-3000","Drafters, Engineering Technicians, and Mapping Technicians","300","280","-20","-6.7","100","200","0.00","280","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","17-3011","Architectural and Civil Drafters","90","90","0","0.0","30","60","24.77","90","51512","Associate's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","2","19-0000","Life, Physical, and Social Science Occupations","1050","1090","40","3.8","220","860","32.04","1120","66639","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","19-1000","Life Scientists","240","260","20","8.3","40","210","0.00","270","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","19-1042","Medical Scientists, Except Epidemiologists","70","90","20","28.6","10","60","48.95","90","101818","Doctoral or professional degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","19-2000","Physical Scientists","120","110","-10","-8.3","20","100","0.00","110","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","19-2041","Environmental Scientists and Specialists, Including Health","70","70","0","0.0","10","70","31.92","80","66404","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","19-3000","Social Scientists and Related Workers","240","250","10","4.2","50","140","0.00","200","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","19-3031","Clinical, Counseling, and School Psychologists","160","170","10","6.3","40","80","54.06","130","112431","Doctoral or professional degree","None","Internship/residency"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","19-3051","Urban and Regional Planners","50","50","0","0.0","10","40","46.06","50","95802","Master's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","19-4000","Life, Physical, and Social Science Technicians","450","460","10","2.2","100","420","0.00","530","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","19-4011","Agricultural and Food Science Technicians","100","110","10","10.0","20","110","0.00","140","0","Associate's degree","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","19-4021","Biological Technicians","110","110","0","0.0","20","100","14.96","120","31134","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","19-4093","Forest and Conservation Technicians","130","130","0","0.0","40","120","0.00","160","0","Associate's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","2","21-0000","Community and Social Service Occupations","3790","3760","-30","-0.8","1270","2670","21.30","3910","44300","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","21-1000","Counselors, Social Workers, and Other Community and Social Service Specialists","3580","3520","-60","-1.7","1170","2520","0.00","3630","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","21-1012","Educational, Guidance, School, and Vocational Counselors","310","350","40","12.9","110","230","35.41","380","73657","Master's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","21-1013","Marriage and Family Therapists","210","280","70","33.3","80","170","18.92","320","39346","Master's degree","None","Internship/residency"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","21-1015","Rehabilitation Counselors","650","510","-140","-21.5","190","410","15.88","460","33044","Master's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","21-1018","Substance Abuse, Behavioral Disorder, and Mental Health Counselors","530","590","60","11.3","180","390","20.22","630","42063","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","21-1021","Child, Family, and School Social Workers","380","380","0","0.0","110","260","26.44","370","54985","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","21-1022","Healthcare Social Workers","80","100","20","25.0","30","60","34.44","110","71644","Master's degree","None","Internship/residency"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","21-1023","Mental Health and Substance Abuse Social Workers","100","100","0","0.0","30","70","21.27","100","44229","Master's degree","None","Internship/residency"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","21-1091","Health Educators","60","70","10","16.7","20","50","26.22","80","54545","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","21-1092","Probation Officers and Correctional Treatment Specialists","160","150","-10","-6.3","30","100","31.16","120","64821","Bachelor's degree","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","21-1093","Social and Human Service Assistants","530","520","-10","-1.9","210","420","19.17","620","39888","High school diploma or equivalent","None","Short-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","21-1099","Community and Social Service Specialists, All Other","70","70","0","0.0","30","50","0.00","80","0","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","21-2000","Religious Workers","210","230","20","9.5","100","150","0.00","270","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","21-2011","Clergy","120","140","20","16.7","60","90","22.60","170","47028","Bachelor's degree","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","21-2021","Directors, Religious Activities and Education","50","50","0","0.0","30","40","16.42","70","34157","Bachelor's degree","<5 years","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","2","23-0000","Legal Occupations","590","560","-30","-5.1","140","240","27.34","350","56864","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","23-1000","Lawyers, Judges, and Related Workers","380","360","-20","-5.3","70","110","0.00","160","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","23-1011","Lawyers","200","190","-10","-5.0","40","50","48.91","80","101726","Doctoral or professional degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","23-1012","Judicial Law Clerks","150","140","-10","-6.7","20","50","18.51","60","38488","Doctoral or professional degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","23-2000","Legal Support Workers","210","200","-10","-4.8","70","140","0.00","200","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","23-2011","Paralegals and Legal Assistants","150","140","-10","-6.7","50","110","22.87","150","47559","Associate's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","2","25-0000","Education, Training, and Library Occupations","12350","13290","940","7.6","5980","6550","24.32","13470","50582","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","25-1000","Postsecondary Teachers","430","480","50","11.6","170","210","0.00","430","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","25-1194","Vocational Education Teachers, Postsecondary","70","80","10","14.3","30","30","0.00","70","0","Bachelor's degree","<5 years","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","25-2000","Preschool, Primary, Secondary, and Special Education School Teachers","4330","4680","350","8.1","1410","2010","0.00","3770","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","25-2011","Preschool Teachers, Except Special Education","280","280","0","0.0","110","170","17.72","280","36874","Associate's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","25-2012","Kindergarten Teachers, Except Special Education","260","280","20","7.7","110","170","0.00","300","81951","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","25-2021","Elementary School Teachers, Except Special Education","2050","2230","180","8.8","670","910","0.00","1760","83749","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","25-2031","Secondary School Teachers, Except Special and Career/Technical Education","1120","1220","100","8.9","330","490","0.00","920","79489","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","25-3000","Other Teachers and Instructors","4720","5030","310","6.6","2820","2740","0.00","5870","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","25-3011","Adult Basic and Secondary Education and Literacy Teachers and Instructors","310","290","-20","-6.5","170","170","0.00","320","0","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","25-3097","Teachers and Instructors, All Other, Except Substitute Teachers","570","650","80","14.0","350","340","0.00","770","30981","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","25-3098","Substitute Teachers","3580","3860","280","7.8","2150","2090","0.00","4520","0","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","25-4000","Librarians, Curators, and Archivists","210","220","10","4.8","160","130","0.00","300","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","25-4031","Library Technicians","140","130","-10","-7.1","120","90","21.50","200","44729","Postsecondary non-degree award","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","25-9000","Other Education, Training, and Library Occupations","2670","2890","220","8.2","1430","1450","0.00","3100","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","25-9031","Instructional Coordinators","220","240","20","9.1","100","120","42.82","240","89070","Master's degree","≥5 years","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","25-9041","Teacher Assistants","2270","2440","170","7.5","1250","1230","0.00","2650","0","Some college, no degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","25-9099","Education, Training, and Library Workers, All Other","160","180","20","12.5","70","90","23.93","180","49785","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","2","27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","760","770","10","1.3","310","540","21.86","860","45475","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","27-1000","Art and Design Workers","130","130","0","0.0","50","90","0.00","140","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","27-1024","Graphic Designers","60","60","0","0.0","20","40","18.99","60","39499","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","27-2000","Entertainers and Performers, Sports and Related Workers","190","210","20","10.5","110","160","0.00","290","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","27-3000","Media and Communication Workers","370","360","-10","-2.7","140","240","0.00","370","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","27-3031","Public Relations Specialists","120","130","10","8.3","40","90","19.91","140","41420","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","27-3043","Writers and Authors","90","70","-20","-22.2","30","50","0.00","60","0","Bachelor's degree","None","Long-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","27-4000","Media and Communication Equipment Workers","70","70","0","0.0","20","50","0.00","70","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","2","29-0000","Healthcare Practitioners and Technical Occupations","7340","8690","1350","18.4","2120","2540","37.47","6010","77926","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","29-1000","Health Diagnosing and Treating Practitioners","4280","5160","880","20.6","1160","1130","0.00","3170","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-1021","Dentists, General","190","200","10","5.3","40","20","57.52","70","119642","Doctoral or professional degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-1031","Dietitians and Nutritionists","90","100","10","11.1","30","30","38.77","70","80654","Bachelor's degree","None","Internship/residency"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-1051","Pharmacists","220","230","10","4.5","50","50","72.50","110","150807","Doctoral or professional degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-1069","Physicians and Surgeons, All Other","310","350","40","12.9","50","40","0.00","130","0","Doctoral or professional degree","None","Internship/residency"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-1071","Physician Assistants","90","120","30","33.3","20","40","60.44","90","125710","Master's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-1122","Occupational Therapists","70","90","20","28.6","20","30","54.10","70","112523","Master's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-1123","Physical Therapists","190","240","50","26.3","40","50","54.38","140","113115","Doctoral or professional degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-1126","Respiratory Therapists","130","170","40","30.8","40","40","34.13","120","70970","Associate's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-1127","Speech-Language Pathologists","90","110","20","22.2","20","30","37.19","70","77354","Master's degree","None","Internship/residency"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-1131","Veterinarians","90","90","0","0.0","20","20","48.50","40","100868","Doctoral or professional degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-1141","Registered Nurses","2370","2960","590","24.9","740","680","44.46","2010","92482","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-1171","Nurse Practitioners","140","190","50","35.7","30","60","63.27","140","131593","Master's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","3","29-2000","Health Technologists and Technicians","3000","3460","460","15.3","940","1380","0.00","2780","0","N/A","N/A","N/A"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-2010","Clinical Laboratory Technologists and Technicians","90","110","20","22.2","30","40","21.44","90","44596","Bachelor's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-2021","Dental Hygienists","180","190","10","5.6","80","50","0.00","140","0","Associate's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-2031","Cardiovascular Technologists and Technicians","60","70","10","16.7","20","20","0.00","50","0","Associate's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-2032","Diagnostic Medical Sonographers","70","100","30","42.9","20","30","40.36","80","83953","Associate's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-2034","Radiologic Technologists","170","190","20","11.8","40","50","39.51","110","82186","Associate's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-2041","Emergency Medical Technicians and Paramedics","300","310","10","3.3","50","150","0.00","210","0","Postsecondary non-degree award","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-2051","Dietetic Technicians","80","90","10","12.5","30","40","14.98","80","31164","Associate's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-2052","Pharmacy Technicians","460","510","50","10.9","140","250","18.35","440","38151","High school diploma or equivalent","None","Moderate-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-2055","Surgical Technologists","80","90","10","12.5","30","40","26.13","80","54341","Postsecondary non-degree award","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-2056","Veterinary Technologists and Technicians","80","90","10","12.5","20","40","14.60","70","30357","Associate's degree","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-2061","Licensed Practical and Licensed Vocational Nurses","620","730","110","17.7","230","290","23.34","630","48539","Postsecondary non-degree award","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-2071","Medical Records and Health Information Technicians","160","190","30","18.8","50","60","0.00","140","0","Postsecondary non-degree award","None","None"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-2081","Opticians, Dispensing","50","50","0","0.0","20","20","23.19","40","48233","High school diploma or equivalent","None","Long-term on-the-job training"
"Metropolitan Area","Visalia MSA (Tulare County)","2018-2028","4","29-2099","Health Technologists and Technicians, All Other","320","390","70","21.9","100","140","0.00","310","0","Postsecondary non-degree award","None","None"
