"area_type","area_name","year","month","date","series_code","industry_title","seasonally_adjusted","current_employment"
"Metropolitan Area","El Centro MSA","2021","April","2021-04-01T00:00:00.000","40000000","Trade, Transportation and Utilities","N","11600"
"Metropolitan Area","El Centro MSA","2021","April","2021-04-01T00:00:00.000","41000000","Wholesale Trade","N","1700"
"Metropolitan Area","El Centro MSA","2021","April","2021-04-01T00:00:00.000","42000000","Retail Trade","N","7600"
"Metropolitan Area","El Centro MSA","2021","April","2021-04-01T00:00:00.000","43000000","Transportation, Warehousing and Utilitie","N","2300"
"Metropolitan Area","El Centro MSA","2021","April","2021-04-01T00:00:00.000","50000000","Information","N","200"
"Metropolitan Area","El Centro MSA","2021","April","2021-04-01T00:00:00.000","55000000","Financial Activities","N","1200"
"Metropolitan Area","El Centro MSA","2021","April","2021-04-01T00:00:00.000","60000000","Professional and Business Services","N","2800"
"Metropolitan Area","El Centro MSA","2021","April","2021-04-01T00:00:00.000","65000000","Educational and Health Services","N","9600"
"Metropolitan Area","El Centro MSA","2021","April","2021-04-01T00:00:00.000","70000000","Leisure and Hospitality","N","3900"
"Metropolitan Area","El Centro MSA","2021","April","2021-04-01T00:00:00.000","80000000","Other Services","N","900"
"Metropolitan Area","El Centro MSA","2021","April","2021-04-01T00:00:00.000","90000000","Government","N","18500"
"Metropolitan Area","El Centro MSA","2021","April","2021-04-01T00:00:00.000","90910000","Federal Government","N","2400"
"Metropolitan Area","El Centro MSA","2021","April","2021-04-01T00:00:00.000","90920000","State Government","N","2700"
"Metropolitan Area","El Centro MSA","2021","April","2021-04-01T00:00:00.000","90930000","Local Government","N","13400"
"Metropolitan Area","El Centro MSA","2021","April","2021-04-01T00:00:00.000","90932000","Local Government Excluding Education","N","7300"
"Metropolitan Area","El Centro MSA","2021","April","2021-04-01T00:00:00.000","90932994","Special Districts plus Indian Tribes","N","3000"
"Metropolitan Area","El Centro MSA","2021","April","2021-04-01T00:00:00.000","90940000","State and Local Government","N","16100"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","0","Total Nonfarm","Y","51600"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","0","Total Nonfarm","N","51800"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","1000000","Total Wage and Salary","N","63300"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","5000000","Total Private","N","33700"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","6000000","Goods Producing","N","4000"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","7000000","Service Providing","N","47800"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","8000000","Private Service Providing","N","29700"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","11000000","Total Farm","N","11500"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","15000000","Natural Resources, Mining and Constructi","N","1900"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","30000000","Manufacturing","N","2100"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","31000000","Durable Goods","N","700"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","32000000","Nondurable Goods","N","1400"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","40000000","Trade, Transportation and Utilities","N","11500"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","41000000","Wholesale Trade","N","1700"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","42000000","Retail Trade","N","7500"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","43000000","Transportation, Warehousing and Utilitie","N","2300"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","50000000","Information","N","200"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","55000000","Financial Activities","N","1100"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","60000000","Professional and Business Services","N","2800"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","65000000","Educational and Health Services","N","9500"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","70000000","Leisure and Hospitality","N","3700"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","80000000","Other Services","N","900"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","90000000","Government","N","18100"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","90910000","Federal Government","N","2300"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","90920000","State Government","N","2700"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","90930000","Local Government","N","13100"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","90932000","Local Government Excluding Education","N","7200"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","90932994","Special Districts plus Indian Tribes","N","2900"
"Metropolitan Area","El Centro MSA","2021","March","2021-03-01T00:00:00.000","90940000","State and Local Government","N","15800"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","0","Total Nonfarm","N","51500"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","0","Total Nonfarm","Y","51500"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","1000000","Total Wage and Salary","N","63600"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","5000000","Total Private","N","33500"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","6000000","Goods Producing","N","3900"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","7000000","Service Providing","N","47600"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","8000000","Private Service Providing","N","29600"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","11000000","Total Farm","N","12100"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","15000000","Natural Resources, Mining and Constructi","N","1900"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","30000000","Manufacturing","N","2000"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","31000000","Durable Goods","N","700"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","32000000","Nondurable Goods","N","1300"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","40000000","Trade, Transportation and Utilities","N","11600"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","41000000","Wholesale Trade","N","1700"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","42000000","Retail Trade","N","7600"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","43000000","Transportation, Warehousing and Utilitie","N","2300"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","50000000","Information","N","200"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","55000000","Financial Activities","N","1100"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","60000000","Professional and Business Services","N","2800"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","65000000","Educational and Health Services","N","9500"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","70000000","Leisure and Hospitality","N","3500"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","80000000","Other Services","N","900"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","90000000","Government","N","18000"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","90910000","Federal Government","N","2300"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","90920000","State Government","N","2800"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","90930000","Local Government","N","12900"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","90932000","Local Government Excluding Education","N","7100"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","90932994","Special Districts plus Indian Tribes","N","2900"
"Metropolitan Area","El Centro MSA","2021","February","2021-02-01T00:00:00.000","90940000","State and Local Government","N","15700"
"Metropolitan Area","El Centro MSA","2021","January","2021-01-01T00:00:00.000","0","Total Nonfarm","N","51100"
"Metropolitan Area","El Centro MSA","2021","January","2021-01-01T00:00:00.000","0","Total Nonfarm","Y","51200"
"Metropolitan Area","El Centro MSA","2021","January","2021-01-01T00:00:00.000","1000000","Total Wage and Salary","N","63100"
