"month","year","alameda","alpine","amador","butte","calaveras","colusa","contra_costa","del_norte","el_dorado","fresno","glenn","humboldt","imperial","inyo","kern","kings","lake","lassen","los_angeles","madera","marin","mariposa","mendocino","merced","modoc","mono","monterey","napa","nevada","orange","placer","plumas","riverside","sacramento","san_benito","san_bernardino","san_diego","san_francisco","san_joaquin","san_luis_obispo","san_mateo","santa_barbara","santa_clara","santa_cruz","shasta","sierra","siskiyou","solano","sonoma","stanislaus","sutter","tehama","trinity","tulare","tuolumne","ventura","yolo","yuba","total_all_counties"
"January","2000","11028","20","418","3500","625","1278","7096","437","1599","27223","707","2428","6848","238","15796","3430","1066","603","82394","3186","1212","476","1879","6682","218","225","17284","1043","925","19537","1988","689","15548","12753","1243","14677","20938","6394","11846","2013","3536","5053","11498","6872","3204","95","1275","4384","3808","10511","2534","966","414","13368","958","9112","2918","1238","389234"
"February","2000","11357","18","461","3839","698","1376","7437","467","1833","30478","809","2450","5971","241","17078","3983","1158","656","83073","3305","1250","445","1972","7872","254","171","18028","987","1022","19995","2222","782","16580","13605","1447","15291","21244","6014","13191","2068","3416","5292","11837","7354","3533","99","1314","4641","4018","11973","3189","1078","487","14191","999","8049","3122","1480","407200"
"March","2000","10573","18","444","3621","653","1256","7043","474","1737","32031","787","2349","6292","224","18886","3980","1082","627","80547","3821","1155","401","1899","7685","232","152","15923","983","964","19012","2029","718","15352","12736","1393","14788","20548","5770","12132","2030","3093","5011","10466","6470","3260","106","1197","4446","3664","11683","3242","1087","452","16081","943","7064","2809","1481","394902"
"April","2000","9423","14","340","2955","551","614","6080","376","1429","26777","574","1955","9704","176","14399","3267","918","447","77533","3064","1019","290","1479","6177","165","141","9695","708","736","17464","1655","479","14539","11025","1159","13897","19391","5350","10104","1619","2777","3368","9093","5011","2425","77","798","3737","2971","10254","2606","839","345","11288","732","6108","1845","1138","343100"
"May","2000","9382","20","316","2664","480","417","5865","413","1430","22757","529","1897","8307","140","11968","2853","846","309","80508","2481","1000","204","1353","5065","136","264","5849","619","753","16904","1540","328","13949","10238","1013","13918","18888","5316","8599","1531","2765","2715","8462","2541","2046","51","586","3533","2810","9827","2258","784","271","9092","606","5929","1457","975","317757"
"June","2000","9206","21","257","2569","376","367","5590","304","1176","18889","485","1364","8667","153","12017","2361","682","215","83109","1965","1024","149","819","4148","72","210","3706","535","626","16793","1386","182","13851","10035","658","13565","18822","5735","7309","1393","2854","2276","7739","1793","1696","26","462","3122","2711","7862","1727","660","171","8278","455","6022","1326","767","300738"
"July","2000","9460","16","226","2524","330","317","5553","309","1131","16243","488","1241","11116","140","9041","1682","631","184","86686","1913","1069","131","763","3246","64","176","3413","693","608","17265","1331","149","18038","9990","427","13949","19334","5790","6446","1424","2972","2392","7435","2057","1644","18","426","3001","2680","6070","1229","632","167","8044","368","8978","1268","695","303613"
"August","2000","9727","14","223","2037","308","260","5693","288","1067","14626","449","1220","12861","133","8664","1553","584","173","85060","1611","1069","129","804","2501","69","157","3115","641","580","17449","1381","134","18925","9500","380","14205","19803","6243","5674","1490","3089","2741","7224","1687","1610","18","416","2918","2766","4640","732","658","145","7134","331","9362","1166","602","298039"
"September","2000","8549","12","183","1678","304","254","5102","282","1005","13567","289","1035","12561","132","8055","1555","572","144","77403","1200","894","121","650","2182","62","152","2760","490","468","16130","1340","119","16576","9145","317","12706","17774","5415","5134","1284","2652","2500","6280","1514","1432","16","413","2580","2294","4676","848","475","109","6822","330","8633","1028","530","270733"
"October","2000","8052","12","187","1885","310","401","4922","287","1105","18695","288","1059","11551","143","10144","2145","615","180","74177","1853","913","163","721","3335","76","173","3388","551","502","15874","1437","191","15897","9723","515","12330","17433","5507","6776","1212","2563","2718","6004","2112","1565","14","429","2563","2226","6941","1245","491","142","8925","363","7957","1318","614","282918"
"November","2000","8732","12","259","2803","431","957","5478","473","1212","24615","549","1620","10874","196","15018","2634","909","371","76165","3043","1045","281","1288","5535","149","205","8651","1050","685","16477","1620","420","15710","10478","764","13483","18007","6128","10460","1740","2655","4190","6435","4388","2235","60","885","3055","2569","8992","2401","747","314","12823","568","9098","2076","941","334959"
"December","2000","8834","17","281","3129","447","1187","5705","447","1275","26629","641","1723","9169","195","16400","3362","978","439","77750","3295","1102","335","1524","6245","176","175","14373","1081","736","16908","1706","571","15624","10845","942","13831","18392","6499","11168","1757","2730","4511","6862","5804","2673","80","1066","3274","2680","9876","2541","806","376","13934","661","8929","2410","1159","356265"
"January","2001","10130","17","378","3840","552","1288","6519","480","1551","28578","831","2130","6094","221","16016","3671","1035","560","82646","3374","1278","373","1952","6902","214","167","16610","1103","888","18304","2077","713","15433","12580","1128","15326","19602","7841","12068","2020","3322","4658","7915","6407","3206","124","1175","3875","3381","10793","2542","1011","425","14309","821","8974","2921","1318","383667"
"February","2001","11462","22","383","4111","633","1318","7079","534","1677","32025","861","2424","5525","241","17865","4236","1056","659","89055","3728","1424","371","1791","7849","220","158","17225","931","961","20775","2167","798","17473","13126","1375","16563","20595","9179","12740","2184","3957","4926","10276","7000","3436","151","1271","4057","3427","12199","3084","1111","474","15958","915","8226","2833","1475","417575"
"March","2001","12674","21","382","3780","574","1158","7201","525","1598","32014","726","2259","5262","207","18788","4216","986","603","91045","4038","1505","358","1958","7451","208","166","15784","909","924","21089","2062","745","16030","12713","1399","16552","20892","10042","12180","2122","4224","5120","14014","6621","3211","117","1160","4013","3392","12097","3021","1041","418","16334","846","7257","2704","1451","420187"
"April","2001","14676","12","357","3331","516","649","7660","487","1487","27457","546","2197","8604","182","15231","3552","893","532","92965","3589","1615","275","1708","6394","179","139","10468","833","846","23208","1986","568","15939","11805","1315","16402","22117","11362","10858","1747","5036","3718","19037","5681","2753","94","1018","3772","3366","11332","2590","862","338","13586","746","6780","2062","1234","408692"
"May","2001","17474","19","306","2963","424","492","8240","396","1493","23823","519","1759","8541","150","12701","3206","734","412","100022","2861","1838","196","1365","5165","123","262","5988","791","841","24552","2061","379","15126","11804","1189","16264","23060","13238","9808","1518","6122","2865","24423","3568","2348","70","763","3787","3436","10473","2331","744","258","11366","570","7065","1595","1083","404970"
"June","2001","19280","19","274","3175","384","381","8894","319","1296","20492","519","1490","8187","162","11852","2547","648","280","106558","2342","1941","151","1106","4334","75","215","4009","766","772","25861","2138","202","15327","11644","867","16345","24795","14322","8549","1620","6781","2571","28278","2894","1926","37","541","3805","3734","8816","1985","719","175","10108","476","7664","1545","955","407148"
"July","2001","21264","15","260","2881","380","315","9590","324","1295","17651","500","1497","10536","173","9990","1910","599","226","114613","2253","2151","135","1006","3401","59","152","3820","856","761","27946","2117","183","19089","12034","766","16519","25854","15156","8582","1706","7557","2612","32353","3036","1880","32","536","3847","4024","7747","1391","687","149","9643","465","10234","1421","843","427022"
"August","2001","23275","14","236","2487","362","230","9801","300","1335","15051","386","1413","12150","152","9317","1754","571","204","112650","1719","2274","126","977","2746","41","151","3771","880","773","28966","2141","178","20557","12094","686","16878","26719","16055","7539","1652","7581","2894","37503","3116","1778","32","500","3961","4228","5808","872","582","124","8946","459","11241","1409","723","430368"
"September","2001","22888","14","241","2110","361","232","9429","244","1307","14021","246","1216","11699","132","8736","1741","598","172","106283","1544","2263","122","903","2717","32","162","3823","812","799","28069","2252","164","19226","11754","642","15509","25861","15613","7280","1555","7539","2956","38586","3182","1834","19","478","3667","3781","6056","1068","474","116","8597","433","10846","1260","724","414388"
"October","2001","24705","18","267","2261","368","375","10073","283","1361","19155","271","1340","10734","155","10983","2550","735","191","112904","2217","2413","157","970","3393","50","206","4364","955","830","30896","2422","214","19925","12598","908","16381","28327","17472","8795","1626","8696","3195","42294","3977","1935","24","485","3930","4129","8191","1294","462","123","10524","478","10740","1421","750","456496"
"November","2001","25880","20","316","3217","446","1093","11108","489","1681","25486","601","1970","9449","215","15381","3189","1046","330","118633","3341","2593","257","1685","6171","131","252","9569","1650","1032","32255","2671","438","19669","13835","1263","17881","29295","17902","12984","2006","9302","4599","43178","6258","2863","65","905","4646","5389","11017","2662","805","259","13986","647","11957","2419","1179","519566"
"December","2001","25431","18","363","3740","540","1263","11268","512","1821","27386","703","2200","7705","219","17525","3438","1201","426","116313","3799","2500","315","1967","7121","178","198","16709","1693","1145","31586","2861","624","19394","14879","1551","18340","29497","17039","14014","2177","9275","5344","41787","7804","3257","89","1157","5025","5488","11951","2807","959","328","15479","778","12012","2814","1334","537347"
"January","2002","27779","22","430","4300","646","1370","12951","505","2203","29545","782","2482","6319","273","17876","4091","1278","584","122047","4055","2787","400","2227","7481","238","187","17705","1691","1350","33661","3363","823","20065","17080","1622","20046","31331","18761","15140","2246","10360","5460","43898","8574","3959","122","1344","5749","6499","13094","2818","1111","406","15291","950","11748","3308","1584","574017"
"February","2002","29109","25","446","4305","648","1312","13776","505","2246","32742","785","2489","5700","282","20000","4362","1306","641","126139","4171","2978","394","2233","8330","229","200","18539","1475","1382","35541","3454","852","21635","17793","1765","21183","32804","19295","16129","2354","10966","5761","46712","9279","3991","124","1326","5910","7070","14268","3292","1113","441","16613","982","10523","3382","1689","602996"
"March","2002","33446","24","486","4437","730","1138","15796","561","2440","34909","784","2741","5765","285","22261","4478","1412","702","143799","4437","3502","400","2288","8456","242","209","17852","1606","1473","41042","3824","866","22616","19690","1839","23507","36434","21819","16901","2622","12413","6211","55155","9140","4169","137","1346","6528","7802","15252","3470","1219","441","17445","1062","11337","3297","1739","665982"
"April","2002","34514","23","473","4192","733","669","16066","529","2398","32148","658","2556","10224","250","19824","4187","1305","606","150069","4139","3603","331","2108","7676","235","199","13192","1477","1430","42420","3762","675","23478","19407","1708","24790","37819","22438","15865","2508","12645","5220","57332","8377","3676","121","1132","6445","7630","14483","3275","1104","406","14728","992","11172","2852","1596","663870"
"May","2002","35878","38","476","4006","686","616","16645","434","2430","27950","644","2295","10218","234","16936","3809","1101","417","161761","3481","3731","285","1617","6458","152","309","8100","1346","1447","44003","3878","425","24186","19675","1604","25839","39120","23018","14106","2401","12956","4340","59574","5949","3230","74","869","6467","7567","13934","2925","1053","302","11704","838","11505","2451","1389","658882"
"June","2002","35874","32","410","3933","649","567","16710","436","2158","25216","671","2121","9740","228","16750","3516","1068","356","164461","2950","3716","241","1422","5858","115","271","6281","1364","1410","44075","3776","320","24491","19653","1342","26050","39254","23300","13144","2585","12995","4213","58383","5279","3061","57","726","6368","7295","12366","2481","965","267","11509","742","11656","2378","1305","648560"
"July","2002","37169","28","412","4002","648","484","17769","447","2145","23683","646","2080","12593","250","14834","2980","1114","344","171378","3012","3837","246","1416","4781","113","217","6280","1445","1353","45924","3836","316","29601","21289","1120","27401","41360","23762","13155","2679","13622","4287","60460","5235","2996","47","722","6713","7337","11122","2017","1030","250","11286","766","13292","2457","1212","671000"
"August","2002","35442","19","404","3432","618","418","17105","378","2140","20652","556","1994","12704","232","13274","2563","1028","318","160121","2536","3655","218","1304","3837","104","187","5832","1494","1251","44055","3696","255","29697","20598","1026","26730","40718","22732","11674","2681","13193","4670","58449","4926","2925","43","717","6482","7247","9144","1422","863","222","10174","754","14819","2155","1064","636947"
"September","2002","31478","18","343","2838","600","336","15619","345","2012","18908","376","1689","12215","198","12261","2162","974","271","142055","2069","3180","186","1147","3194","89","180","5510","1281","1100","39191","3410","228","26886","18849","902","24187","37127","19807","10449","2443","11699","4602","50657","4653","2672","37","620","5909","6362","8201","1377","717","180","9221","678","13602","1968","975","570243"
"October","2002","30464","17","346","2919","578","578","15035","344","2061","24082","330","1697","11639","240","13974","2967","1055","258","137155","2464","3046","238","1211","3789","121","226","5803","1259","1102","37433","3345","274","25973","18768","1103","23890","36729","18219","11206","2425","11203","4542","48938","4848","2598","41","611","5763","6379","10450","1618","690","182","11216","658","12554","2025","1000","569679"
"November","2002","29444","15","395","3747","712","1181","15001","494","2174","29993","575","2254","10482","275","17495","3408","1343","448","132881","3724","2883","323","1766","6446","185","276","10980","1891","1189","35847","3352","509","24530","18873","1421","23076","36182","17128","14673","2661","10748","5522","47827","7088","3226","82","1057","6199","6633","12788","2770","902","305","14329","787","13602","3034","1289","598420"
"December","2002","29331","15","419","4113","770","1266","15259","495","2212","32133","666","2364","8392","282","20816","3996","1412","487","131508","4047","2849","390","1901","7375","203","222","17366","1954","1257","35273","3463","580","24285","18978","1552","23356","36363","17104","15469","2728","10824","5977","47427","8348","3415","96","1175","6462","6724","13468","2854","1011","350","16009","900","13479","3207","1410","615787"
"January","2003","31268","22","523","4901","948","1491","16775","474","2718","35614","898","2807","6470","338","20775","4661","1643","655","137560","4340","3017","475","2347","8491","284","204","19362","1927","1499","36264","3990","1084","24138","21160","1892","24443","37863","18391","16867","2780","11458","5832","48572","9571","4424","140","1686","7727","8037","14540","3125","1409","479","16474","1163","12914","3865","1802","654577"
"February","2003","32566","22","539","4708","990","1496","16977","481","2692","36851","859","2719","6186","334","22378","4921","1572","647","140590","4362","3071","451","2308","9073","270","231","19275","1889","1555","38028","4047","1077","25770","21256","1889","25278","39181","18771","17149","2778","11862","5992","49427","9805","4278","134","1535","7828","8040","15155","3511","1301","507","17546","1134","12579","3846","1833","671550"
"March","2003","32763","26","554","4601","959","1319","17310","539","2701","36226","801","2946","6484","317","23079","4809","1556","630","140446","4568","3096","418","2344","8854","260","219","17728","1819","1562","37793","4031","1010","24795","20717","1893","25066","39743","19159","16455","2773","12315","5816","49354","9500","4257","133","1458","7721","8074","15187","3487","1292","455","17406","1105","11668","3569","1789","666955"
"April","2003","33455","25","507","4378","949","864","17715","531","2653","33188","708","2756","9888","321","20377","4295","1483","552","144953","4499","3130","379","2184","8173","239","203","12199","1855","1575","37793","4046","840","25274","20380","1743","25999","40193","19087","15852","2762","12566","4579","49675","8234","4053","129","1227","7864","8383","14877","3319","1212","416","14770","1147","11287","3154","1716","656611"
"May","2003","32689","44","510","3985","821","623","17389","479","2606","26400","711","2346","9126","273","17744","3541","1362","446","150559","3588","3159","301","1847","6594","187","282","8218","1562","1557","37124","3966","554","23709","20292","1541","26056","39403","18974","14129","2491","12559","4303","47962","5955","3543","90","993","7530","7955","13535","2728","1134","305","12045","962","11049","2651","1512","623999"
"June","2003","32189","35","460","3807","722","510","16949","426","2210","22420","660","1952","9406","255","15567","3150","1165","316","151252","3014","3076","218","1514","5823","144","265","6330","1484","1332","36637","3690","368","24164","19819","1313","25801","38871","18931","12991","2429","12286","3965","46270","4913","3105","50","821","7182","7756","12003","2200","1133","219","9928","814","10673","2480","1282","598745"
"July","2003","32532","26","418","3834","673","502","17262","458","2186","21557","707","1979","12034","251","16123","2797","1152","327","158275","2842","3134","201","1539","5207","135","246","5853","1521","1304","38063","3746","340","28252","20706","1205","26891","39768","18662","13277","2646","12280","4185","45833","4894","3107","46","748","7323","7902","10907","1957","1027","206","12112","768","12250","2551","1326","618053"
"August","2003","30586","23","399","3303","652","393","16168","390","2087","18588","559","1784","12449","233","13983","2186","1068","303","149247","2392","3044","184","1420","3959","120","233","5616","1546","1231","36406","3685","346","28663","20402","1013","26202","38515","17736","12016","2517","11637","4271","42427","4431","2976","37","744","6887","7683","8493","1402","926","207","9995","789","13284","2189","1178","581203"
"September","2003","28224","20","389","2769","611","314","15200","351","2093","17911","409","1611","12016","224","13368","2133","993","257","141715","2034","2772","179","1226","3333","118","237","5176","1420","1157","34786","3595","306","26967","19929","953","24674","36549","16139","11178","2310","10816","4170","39750","4342","2748","26","668","6622","7080","7943","1359","734","175","9674","773","12982","2036","1136","548680"
"October","2003","27564","20","388","2854","624","584","14594","367","2145","23699","353","1680","11329","238","15974","2840","1136","268","141114","2552","2672","228","1237","4392","133","281","6055","1440","1241","35093","3564","363","27140","19822","1097","24931","36354","15271","12203","2525","10351","4926","38034","4889","2912","32","717","6322","6809","10098","1750","756","202","11580","766","13707","2474","1141","563831"
"November","2003","26594","18","438","3735","675","1014","14399","449","2333","27294","537","1986","10343","289","18750","3299","1436","372","133726","3323","2650","306","1596","6251","182","298","9895","2025","1337","34001","3584","657","25224","20086","1240","24493","35871","14563","14584","2567","9955","5520","35609","6421","3397","76","1011","6583","7025","11922","2595","904","308","14212","912","13374","3074","1385","576703"
"December","2003","25599","22","488","4408","819","1333","14418","415","2543","28963","768","2268","8019","296","21273","3849","1657","515","128625","3809","2573","385","2043","7275","241","245","16830","2152","1463","32763","3732","881","23716","20764","1486","23753","34274","14197","15684","2662","9573","5954","33618","7875","4139","118","1284","6896","7523","12691","2815","1102","425","15903","1045","13171","3475","1658","586471"
"January","2004","24913","22","530","4666","827","1435","14188","463","2630","29604","849","2606","6354","287","20185","4066","1648","614","122942","3786","2522","435","2033","7818","298","213","17644","1972","1525","31100","3902","1065","21900","21038","1609","22554","33070","13944","15736","2527","9140","5410","31443","8208","4566","136","1492","6974","7533","13111","2837","1227","497","15066","1075","11872","3762","1724","571593"
"February","2004","23096","22","474","4327","780","1331","13110","454","2516","29044","789","2381","5642","266","20087","4059","1542","601","112922","3639","2368","432","1898","8260","283","213","17118","1757","1450","28986","3618","1079","20994","19439","1610","20976","30879","12790","15351","2328","8428","5094","28553","7979","4358","130","1425","6553","7098","13259","3058","1140","466","14920","1032","10113","3435","1626","537578"
"March","2004","21016","18","456","4050","693","1161","12069","445","2364","27212","738","2222","5051","249","19944","3931","1406","550","104918","3693","2128","399","1836","7794","266","194","15042","1564","1323","26512","3364","1036","19033","18058","1559","19567","28824","11525","13878","2216","7611","4757","25322","7288","3991","129","1359","6146","6477","12463","2918","1070","426","14553","1004","8880","3174","1482","497354"
"April","2004","19261","19","394","3508","545","579","11081","432","2072","21818","545","2070","7876","237","15632","3255","1234","419","101508","3055","2011","285","1548","6225","205","180","8198","1253","1241","24815","2970","710","17937","15695","1288","19069","28049","11162","11699","2096","7047","3344","22800","5358","3207","102","999","5480","5853","11206","2412","907","315","10196","894","7899","2269","1220","443684"
"May","2004","18151","26","352","3072","500","430","10453","363","1927","17750","495","1645","6709","198","12581","2559","974","349","103597","2474","1944","217","1159","4686","134","310","5256","1059","1075","23960","2949","436","16927","15190","1057","18314","27298","10425","9673","2051","6591","2987","21046","3269","2706","79","738","5092","5113","9565","2082","782","228","8030","757","7824","1923","996","408533"
"June","2004","17789","22","292","2969","470","373","10164","322","1646","15805","465","1519","7350","176","13803","2445","898","278","102909","2200","1891","163","1046","4058","102","272","4219","1013","1017","23163","2778","299","17169","14434","776","17850","26427","10455","9709","1967","6333","2872","19570","2737","2550","47","603","4801","4806","8404","1801","799","195","9428","688","7897","1650","901","396785"
"July","2004","18116","16","272","2700","461","283","10372","313","1518","13935","448","1496","10131","182","10297","1790","803","253","106611","1910","1954","167","1040","3211","86","216","4131","1155","934","23991","2655","286","21449","14906","648","18418","26738","10921","9233","2133","6294","2929","19465","2924","2405","36","558","4964","4885","6400","1183","754","193","8232","651","9723","1556","756","400087"
"August","2004","17640","18","254","2476","417","234","10005","316","1414","12747","341","1417","10470","183","10395","1594","749","212","102616","1506","1862","166","962","2742","69","206","3840","1099","859","22949","2495","253","21492","14320","643","18189","25866","10955","8450","1979","6137","3007","18951","2821","2215","32","534","4788","4741","5681","1032","671","171","8017","581","9675","1438","698","385590"
"September","2004","15504","15","262","2040","395","202","8842","282","1312","13331","247","1212","9852","158","9900","1505","750","215","91255","1365","1637","147","786","2422","69","203","3356","917","714","20744","2282","199","19406","13024","688","16182","23851","9343","7915","1656","5388","2959","17367","2832","2026","27","460","4082","4101","6128","1027","607","160","7970","514","9048","1286","664","350831"
"October","2004","15332","12","264","2203","376","433","8997","270","1329","17070","248","1187","9249","185","11219","2118","813","229","87636","1810","1593","200","910","3246","76","228","4158","1192","745","20270","2241","204","18124","13048","746","15752","23289","10532","8712","1620","5646","3313","17345","3116","2108","38","506","4129","4139","7415","1531","600","158","9164","547","8516","1630","747","358514"
"November","2004","15474","16","374","2943","555","1011","9386","340","1650","20458","463","1550","8285","219","15098","2470","1069","381","86695","2525","1626","304","1267","4943","141","256","7423","1632","945","20078","2543","432","17219","13836","897","15585","23248","10873","11161","1852","5696","4055","17680","5110","2778","80","852","4677","4534","9123","2116","781","268","11765","787","9075","2431","993","390024"
"December","2004","15323","13","423","3394","617","1229","9341","320","1814","21891","618","1823","6639","235","16354","2713","1164","537","85731","2800","1544","373","1460","5985","197","201","14015","1756","1018","19948","2596","630","17042","14490","1183","16125","23203","9388","12160","2052","5328","4696","17736","6337","3308","94","1149","4996","4758","10276","2380","912","335","12307","873","9255","2701","1208","406994"
"January","2005","16988","21","521","4035","768","1416","10430","342","2203","24219","748","2106","5433","267","16551","3384","1263","734","91604","3096","1732","447","1675","7112","261","200","15153","1765","1236","21550","3030","853","18692","16172","1381","18086","26687","10342","13108","2535","5807","5123","19762","7096","3929","120","1426","5683","5432","11682","2469","1110","407","12442","1040","9812","3213","1475","446174"
"February","2005","16989","17","495","3808","683","1335","10299","336","2018","23853","704","2112","4785","220","16048","3453","1179","767","87869","2934","1708","440","1608","7315","242","186","14609","1521","1145","20556","2851","879","17449","15137","1393","16610","24713","10085","12817","2156","5930","4561","19768","7020","3782","108","1357","5380","5295","11894","2701","1053","419","11533","971","7548","3025","1324","426993"
"March","2005","16420","19","454","3619","648","1181","9976","331","1911","23279","664","2009","4509","202","16818","3264","1096","710","84814","2999","1624","403","1609","7014","227","172","13026","1407","1081","20109","2730","788","16431","14566","1410","16614","24589","9893","12122","2098","5746","4202","19365","6805","3612","96","1203","5309","5198","11544","2623","1031","379","11607","927","7072","2813","1290","413658"
"April","2005","16078","20","429","3275","576","680","9914","357","1779","19459","512","2058","7118","189","13688","2705","1053","536","84784","2659","1568","298","1347","5875","171","162","7552","1298","1001","19428","2616","572","15483","13333","1211","16385","24177","9740","10842","1873","5701","2889","18867","5190","3358","88","902","5155","4910","10714","2314","924","350","8390","891","6369","2160","1158","383131"
"May","2005","15646","39","349","3004","561","448","9616","323","1776","16561","487","1740","6759","179","11806","2240","887","408","89587","2274","1582","236","1076","4710","122","283","4747","1155","986","18985","2545","373","15239","12806","1036","16281","23718","9487","9156","1813","5550","2540","18325","3288","2928","61","727","4951","4519","9607","2056","807","229","6889","703","6626","1784","1024","363640"
"June","2005","15359","30","334","2745","482","355","9417","291","1414","13636","420","1364","7246","149","10542","1921","728","277","88673","1784","1534","159","960","3890","61","254","3463","980","855","19053","2372","192","15593","12198","721","16231","23595","9565","8964","1672","5480","2371","17089","2444","2426","38","535","4623","4201","7753","1626","665","147","6751","514","6397","1545","928","345012"
"July","2005","15641","22","289","2559","453","283","9077","288","1300","12227","410","1309","9189","135","9143","1446","698","242","89710","1716","1550","149","878","3281","63","225","3279","981","782","19685","2258","173","17681","12333","609","16407","23344","9394","8137","1604","5435","2417","16798","2401","2245","30","509","4597","4084","6499","1312","630","128","6684","517","7865","1483","804","343388"
"August","2005","15056","22","273","2256","427","206","8719","287","1262","10990","363","1220","10023","133","8527","1163","660","222","85003","1407","1503","134","858","2738","67","203","3185","991","734","19028","2193","150","18818","11758","495","16142","22958","9125","7381","1548","5206","2417","16019","2211","2060","26","517","4264","3990","5321","916","585","132","6108","474","8173","1326","716","328689"
"September","2005","13171","22","261","1851","398","174","7738","218","1162","10485","225","1052","9316","117","7561","1094","603","194","74716","1111","1343","125","645","2322","58","190","2780","858","634","17017","2039","149","16789","10752","474","14231","21030","7918","6698","1432","4602","2580","14579","2089","1856","21","450","3785","3371","5299","925","507","117","5755","419","7533","1162","685","294688"
"October","2005","12907","19","264","1908","379","361","7388","253","1204","13852","207","1110","8775","147","8199","1621","626","230","72682","1369","1297","136","666","2617","58","217","3078","768","652","16708","2065","190","15889","10676","561","14024","20823","7861","7036","1357","4464","2620","14223","2437","1859","24","479","3641","3336","6264","1057","493","133","6523","409","7157","1324","747","297370"
"November","2005","12388","18","298","2454","411","776","7307","346","1367","16093","335","1480","7807","170","10871","1997","891","368","70892","1833","1243","223","951","4143","129","250","6237","1145","785","16660","2206","343","14806","11068","667","13763","20881","7587","8683","1458","4394","3324","14214","3952","2398","44","791","3881","3616","7620","1828","595","255","7581","564","7532","1916","888","316723"
