"pd_id","energy_star_partner","brand_name","model_name","model_number","additional_model_information","upc","indoor_outdoor","product_type","ceiling_fan_size_diameters_in_inches","ceiling_fan_efficiency_cfm_w","fan_power_consumption_low_speed_w","fan_power_consumption_high_speed_w","fan_power_consumption_standby_w","ceiling_fan_features","ceiling_fan_components_warranty_years","shipped_with_energy_star_lamp_s_formula","energy_star_lamp_pd_id","energy_star_lamp_alternate_pd_ids","lamp_manufacturer","lamp_model_number","lighting_technology","light_output_lumens","total_input_power_watts","energy_efficiency_measured_outside_the_fixture_lm_w","lighting_efficiency_measured_at_the_source_lm_w","power_factor","correlated_color_temperature_kelvin","color_quality_cri","light_source_life_hours","light_sources_per_light_kit","light_source_connection_base_type","light_kit_dimmability","special_features_dimming_motion_sensing_etc","light_kit_warranty","connected_functionality","communication_standard_media_network_layer","notes","date_available_on_market","date_qualified","markets","energy_star_model_identifier","meets_most_efficient_criteria"
"2320998","Big Ass Fans","Big Ass Fans","Haiku","S3150-S0-AB-04-02-C-01-F258","S3150-S0-AB-04-02-C-01-F421
S3150-S0-AB-04-02-C-01-F523,S3150-S0-AB-04-02-C-01-F531
S3150-S0-AO-04-02-C-01-F471
S3150-S0-AS-04-02-C-01-F470
S3150-S0-AW-04-02-C-01-F259
S3150-S0-AW-04-02-C-01-F421
S3150-S0-AB-04-02-C-01-F523
S3150-S0-AW-04-02-C-01-F531
S3150-S0-A*-04-02-C-01-F,SenseME","","Indoor Ceiling Fan","Low-Mount HSSD Fan Only","60","340",,"18.4","1.4","Occupancy sensor","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2014-08-14T00:00:00.000","2018-06-05T00:00:00.000","United States, Canada","ES_1113298_S3150-S0-AB-04-02-C-01-F258_0605201804094370185421","Yes"
"2320999","Big Ass Fans","Big Ass Fans","Haiku","S3150-S0-BC-04-02-C-01",",S3150-S0-BCO-04-02-C-01
S3150-S0-BCS-04-02-C-01
S3150-S0-BCW-04-02-C-01
S3150-S0-BW-04-02-C-01
S3150-S0-BWO-04-02-C-01
S3150-S0-BWS-04-02-C-01
S3150-S0-BWW-04-02-C-01
S3150-S0-B*-04-02-C-01,SenseME","","Indoor Ceiling Fan","Low-Mount HSSD Fan Only","60","362",,"15.5","1.3","Occupancy sensor","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2014-08-14T00:00:00.000","2018-06-05T00:00:00.000","United States, Canada","ES_1113298_S3150-S0-BC-04-02-C-01_0605201804094370185423","Yes"
"2321000","Big Ass Fans","Big Ass Fans","Haiku","S3150-X2-AB-04-02-C-01-F258","S3150-X2-AB-04-02-C-01-F531
S3150-X2-AO-04-02-C-01-F471,S3150-X2-AB-04-02-C-01-F421
S3150-X2-AB-04-02-C-01-F523
S3150-X2-AS-04-02-C-01-F470
S3150-X2-AW-04-02-C-01-F259
S3150-X2-AW-04-02-C-01-F421
S3150-X2-AW-04-02-C-01-F523
S3150-X2-AW-04-02-C-01-F531
S3150-X2-A*-04-02-C-01-F,SenseME","","Indoor Ceiling Fan","Low-Mount HSSD Fan Only","60","307",,"26.8","1.3","Occupancy sensor","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2014-08-14T00:00:00.000","2018-06-05T00:00:00.000","United States, Canada","ES_1113298_S3150-X2-AB-04-02-C-01-F258_0605201804094370185424","Yes"
"2321001","Big Ass Fans","Big Ass Fans","Haiku","S3150-X2-BC-04-02-C-01",",S3150-X2-BCO-04-02-C-01
S3150-X2-BCS-04-02-C-01
S3150-X2-BCW-04-02-C-01
S3150-X2-BW-04-02-C-01
S3150-X2-BWO-04-02-C-01
S3150-X2-BWS-04-02-C-01
S3150-X2-BWW-04-02-C-01
S3150-X2-B*-04-02-C-01,SenseME","","Indoor Ceiling Fan","Low-Mount HSSD Fan Only","60","338",,"21.4","1.3","Occupancy sensor","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2014-08-14T00:00:00.000","2018-06-05T00:00:00.000","United States, Canada","ES_1113298_S3150-X2-BC-04-02-C-01_0605201804094370185425","Yes"
"2356296","Big Ass Fans","Big Ass Fans","i6","MK-I61-051800",",,SenseME","","Indoor Ceiling Fan","Standard Fan with Light Kit","60","248","3.4","23.6","1.8","Occupancy sensor","5","No",,"","Delta T LLC dba Big Ass Fans","","","1770","25.5",,,"0.97","4000/4100K","93","48,000","","","Yes","","","No","","","2019-02-14T00:00:00.000","2020-03-09T00:00:00.000","United States, Canada","ES_1113298_MK-I61-051800_03122020030215_80013882","No"
"2356295","Big Ass Fans","Big Ass Fans","i6","MK-I61-051806",",,SenseME","","Indoor Ceiling Fan","Low-Mount HSSD Fan with Light Kit","60","260",,"35.4","1.8","Occupancy sensor","5","No",,"","Delta T LLC dba Big Ass Fans","","","1770","25.5",,,"0.97","4000/4100K","93","48,000","","","Yes","","","No","","","2019-02-14T00:00:00.000","2020-03-09T00:00:00.000","United States, Canada","ES_1113298_MK-I61-051806_03122020030215_80013882","No"
"2356300","Big Ass Fans","Big Ass Fans","i6","MK-I61-051900",",,SenseME","","Outdoor Ceiling Fan","Standard Fan with Light Kit","60","247","3.5","23.8","1.8","Occupancy sensor","3","No",,"","Delta T LLC dba Big Ass Fans","","","1770","25.5",,,"0.97","4000/4100K","93","48,000","","","Yes","","","No","","","2019-02-14T00:00:00.000","2020-03-09T00:00:00.000","United States, Canada","ES_1113298_MK-I61-051900_03122020030215_80013882","No"
"2356299","Big Ass Fans","Big Ass Fans","i6","MK-I61-051906",",,SenseME","","Outdoor Ceiling Fan","Low-Mount HSSD Fan with Light Kit","60","257",,"36.1","1.9","Occupancy sensor","3","No",,"","Delta T LLC dba Big Ass Fans","","","1770","25.5",,,"0.97","4000/4100K","93","48,000","","","Yes","","","No","","","2019-02-14T00:00:00.000","2020-03-09T00:00:00.000","United States, Canada","ES_1113298_MK-I61-051906_03122020030215_80013882","No"
"2353860","Big Ass Fans","Big Ass Fans","i6","MK-I61-061806","MK-I61-061806A727I**V**
MK-I61-061806A728I**V**
MK-I61-061806A729I**V**
MK-I61-061806A730I**V**
MK-I61-061806A***I12V**
MK-I61-061806A***I24V**,MK-I61-061806A***I00V**
MK-I61-061806A***I06V**
MK-I61-061806A***I**V55
MK-I61-061806A***I**V57
MK-I61-061806A***I**V58
MK-I61-061806A***I**V**,SenseME","","Indoor Ceiling Fan","Low-Mount HSSD Fan Only","72","197",,"65.3","1.8","Occupancy sensor","5","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2019-02-14T00:00:00.000","2019-09-30T00:00:00.000","United States, Canada","ES_1113298_MK-I61-061806_01202020044002_80013882","No"
"2356297","Big Ass Fans","Big Ass Fans","i6","MK-I61-061806",",,SenseME","","Indoor Ceiling Fan","Low-Mount HSSD Fan with Light Kit","72","312",,"41.6","1.9","Occupancy sensor","5","No",,"","Delta T LLC dba Big Ass Fans","","","1770","25.5",,,"0.97","4000/4100K","93","48,000","","","Yes","","","No","","","2019-02-14T00:00:00.000","2020-03-09T00:00:00.000","United States, Canada","ES_1113298_MK-I61-061806_03122020030215_80013882","No"
"2353859","Big Ass Fans","Big Ass Fans","i6","MK-I61-061906","MK-I61-061900A727I**V**
MK-I61-061900A728I**V**
MK-I61-061900A729I**V**
MK-I61-061900A730I**V**
MK-I61-061900A***I12V**
MK-I61-061900A***I24V**,MK-I61-061900A***I00V**
MK-I61-061900A***I06V**
MK-I61-061900A***I**V55
MK-I61-061900A***I**V57
MK-I61-061900A***I**V58
MK-I61-061900A***I**V**,SenseME","","Outdoor Ceiling Fan","Low-Mount HSSD Fan Only","72","201",,"67.2","1.8","Occupancy sensor","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2019-02-14T00:00:00.000","2019-09-30T00:00:00.000","United States, Canada","ES_1113298_MK-I61-061906_01202020044002_80013882","No"
"2356301","Big Ass Fans","Big Ass Fans","i6","MK-I61-061906",",,SenseME","","Outdoor Ceiling Fan","Low-Mount HSSD Fan with Light Kit","72","318",,"42.2","1.7","Occupancy sensor","3","No",,"","Delta T LLC dba Big Ass Fans","","","1770","25.5",,,"0.97","4000/4100K","93","48,000","","","Yes","","","No","","","2019-02-14T00:00:00.000","2020-03-09T00:00:00.000","United States, Canada","ES_1113298_MK-I61-061906_03122020030215_80013882","No"
"2356298","Big Ass Fans","Big Ass Fans","i6","MK-I61-071806",",,SenseME","","Indoor Ceiling Fan","Low-Mount HSSD Fan with Light Kit","84","370",,"40.2","1.9","Occupancy sensor","5","No",,"","Delta T LLC dba Big Ass Fans","","","1770","25.5",,,"0.97","4000/4100K","93","48,000","","","Yes","","","No","","","2019-02-14T00:00:00.000","2020-03-09T00:00:00.000","United States, Canada","ES_1113298_MK-I61-071806_03122020030215_80013882","No"
"2356302","Big Ass Fans","Big Ass Fans","i6","MK-I61-071906",",,SenseME","","Outdoor Ceiling Fan","Low-Mount HSSD Fan with Light Kit","84","369",,"41","1.9","Occupancy sensor","3","No",,"","Delta T LLC dba Big Ass Fans","","","1770","25.5",,,"0.97","4000/4100K","93","48,000","","","Yes","","","No","","","2019-02-14T00:00:00.000","2020-03-09T00:00:00.000","United States, Canada","ES_1113298_MK-I61-071906_03122020030215_80013882","No"
"2383402","Carro USA Inc.","CARRO","CES-523F","CES-523F","","811300030990","Indoor Ceiling Fan","Standard Fan Only","52","199.9","2.5","26.8","1.7","None","3 year","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2021-07-20T00:00:00.000","2021-08-13T00:00:00.000","United States","ES_1145460_CES-523F_07222021153146_2460595","No"
"2383311","Carro USA Inc.","CARRO","CES-523FL","CES-523FL","","751433779185","Indoor Ceiling Fan","Standard Fan with Light Kit","52","199.9","2.5","26.8","1.7","None","3 year","No",,"","Edison Opto Corporation","","","3360","40",,,"0.96","2700K,4000/4100K,3500K","93","50,000","","","Yes","","","No","","","2021-07-20T00:00:00.000","2021-08-11T00:00:00.000","United States","ES_1145460_CES-523FL_07222021145541_2349359","No"
"2371604","Carro USA Inc.","CARRO","CES-563F","CES-563F","","","Indoor Ceiling Fan","Standard Fan Only","56","190.4","2.5","32.3","1.7","None","3 year","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2020-11-01T00:00:00.000","2021-01-04T00:00:00.000","United States","ES_1145460_CES-563F_11162020113537_3454423","No"
"2370886","Carro USA Inc.","CARRO","CES-563FL","CES-563FL","","","Indoor Ceiling Fan","Standard Fan with Light Kit","56","190.4","2.5","32.3","1.7","None","3 year","No",,"","Edison Opto Corporation","","","3360","40",,,"0.96","2700K,4000/4100K,3500K","93","50,000","","","Yes","","","No","","","2020-11-01T00:00:00.000","2020-12-14T00:00:00.000","United States","ES_1145460_CES-563FL_11132020105535_459234","No"
"2371610","Carro USA Inc.","CARRO","CES-603F","CES-603F","","","Indoor Ceiling Fan","Standard Fan Only","60","212.7","2.6","28","1.7","None","3 year","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2020-11-01T00:00:00.000","2021-01-04T00:00:00.000","United States","ES_1145460_CES-603F_11162020115242_4555790","No"
"2371597","Carro USA Inc.","CARRO","CES-603FL","CES-603FL","","","Indoor Ceiling Fan","Standard Fan with Light Kit","60","212.7","2.6","28","1.7","None","3 year","No",,"","Edison Opto Corporation","","","3360","40",,,"0.96","2700K,4000/4100K,3500K","93","50,000","","","Yes","","","No","","","2020-11-01T00:00:00.000","2021-01-04T00:00:00.000","United States","ES_1145460_CES-603FL_11162020111343_9875643","No"
"2383405","Carro USA Inc.","CE","CES-523F","CES-523F","","811300030990","Indoor Ceiling Fan","Standard Fan Only","52","199.9","2.5","26.8","1.7","None","3 year","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2021-07-20T00:00:00.000","2021-08-13T00:00:00.000","United States","ES_1145460_CES-523F_07222021153146_8574163","No"
"2383323","Carro USA Inc.","CE","CES-523FL","CES-523FL","","811300030990","Indoor Ceiling Fan","Standard Fan with Light Kit","52","199.9","2.5","26.8","1.7","None","3 year","No",,"","Edison Opto Corporation","","","3360","40",,,"0.96","2700K,4000/4100K,3500K","93","50,000","","","Yes","","","No","","","2021-07-20T00:00:00.000","2021-08-11T00:00:00.000","United States","ES_1145460_CES-523FL_07222021145541_9248994","No"
"2371605","Carro USA Inc.","CE","CES-563F","CES-563F","","","Indoor Ceiling Fan","Standard Fan Only","56","190.4","2.5","32.3","1.7","None","3 year","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2021-12-01T00:00:00.000","2021-01-04T00:00:00.000","United States","ES_1145460_CES-563F_11162020113537_0967341","No"
"2370887","Carro USA Inc.","CE","CES-563FL","CES-563FL","","","Indoor Ceiling Fan","Standard Fan with Light Kit","56","190.4","2.5","32.3","1.7","None","3 year","No",,"","Edison Opto Corporation","","","3360","40",,,"0.96","2700K,4000/4100K,3500K","93","50,000","","","Yes","","","No","","","2021-12-01T00:00:00.000","2020-12-14T00:00:00.000","United States","ES_1145460_CES-563FL_11132020105535_265489","No"
"2338206","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE2+43","","","Indoor Ceiling Fan","Standard Fan Only","43","316","2.6","10.6","1.2","None","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2019-05-07T00:00:00.000","2020-06-04T00:00:00.000","United States, Canada","ES_1122596_AE2+43_05152019023903_7943377","Yes"
"2338215","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE2+43LED","","","Indoor Ceiling Fan","Standard Fan with Light Kit","43","316","2.6","10.6","1.2","None","3","No",,"","Shenzhen MTC Lighting Co., Ltd.","","","850","10",,,"0.96","3000K","91","54,000","","","Yes","","","No","","","2019-05-07T00:00:00.000","2020-06-03T00:00:00.000","United States, Canada","ES_1122596_AE2+43LED_05152019074714_6434079","Yes"
"2338207","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE2+50","","","Indoor Ceiling Fan","Standard Fan Only","50","357","2.7","14.9","1.2","None","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2019-05-07T00:00:00.000","2020-06-04T00:00:00.000","United States, Canada","ES_1122596_AE2+50_05152019024519_8319451","Yes"
"2338216","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE2+50LED","","","Indoor Ceiling Fan","Standard Fan with Light Kit","50","357","2.7","14.9","1.2","None","3","No",,"","Shenzhen MTC Lighting Co., Ltd.","","","850","10",,,"0.96","3000K","91","54,000","","","Yes","","","No","","","2019-05-07T00:00:00.000","2020-06-03T00:00:00.000","United States, Canada","ES_1122596_AE2+50LED_05152019075717_7037917","Yes"
"2338208","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE2+60","","","Indoor Ceiling Fan","Standard Fan Only","60","409","3.7","18.7","1.2","None","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2019-05-07T00:00:00.000","2019-05-14T00:00:00.000","United States, Canada","ES_1122596_AE2+60_05152019025206_8726785","Yes"
"2338482","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE2+60LED","","","Indoor Ceiling Fan","Standard Fan with Light Kit","60","409","3.7","18.7","1.2","None","3","No",,"","Shenzhen MTC Lighting Co., Ltd.","","","850","10",,,"0.96","3000K","91","54,000","","","Yes","","","No","","","2019-05-07T00:00:00.000","2019-05-14T00:00:00.000","United States, Canada","ES_1122596_AE2+60LED_05152019080412_7452957","Yes"
"2386171","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE+2WI43***",",,Each * to represent a letter or blank.","850021862015;850021862022;850021862039;850021862046;850021862053;850021862060","Indoor Ceiling Fan","Standard Fan Only","43","338","2.6","10.5","0.5","None","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2022-01-01T00:00:00.000","2021-10-15T00:00:00.000","United States, Canada","ES_1122596_AE+2WI43***_100420210342964_9719599","Yes"
"2385543","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE+2WI43L***",",,Each * to represent a letter or blank.","850021862015;850021862022;850021862039;850021862046;850021862053;850021862060","Indoor Ceiling Fan","Standard Fan with Light Kit","43","338","2.6","10.5","0.5","None","3","No",,"","Shenzhen MTC Lighting Co., Ltd.","","","900","13",,,"0.94","3000K","92","54,000","","","Yes","","","No","","","2022-01-01T00:00:00.000","2021-10-08T00:00:00.000","United States, Canada","ES_1122596_AE+2WI43L***_100320212129901_3011261","Yes"
"2386170","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE+2WI50***",",,Each * to represent a letter or blank.","850021862077;850021862084;850021862091;850021862107;850021862114;850021862121","Indoor Ceiling Fan","Standard Fan Only","50","377","2.7","14","0.5","None","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2022-01-01T00:00:00.000","2021-10-15T00:00:00.000","United States, Canada","ES_1122596_AE+2WI50***_100420210346105_2817234","Yes"
"2385542","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE+2WI50L***",",,Each * to represent a letter or blank.","850021862077;850021862084;850021862091;850021862107;850021862114;850021862121","Indoor Ceiling Fan","Standard Fan with Light Kit","50","377","2.7","14","0.5","None","3","No",,"","Shenzhen MTC Lighting Co., Ltd.","","","900","13",,,"0.94","3000K","92","54,000","","","Yes","","","No","","","2022-01-01T00:00:00.000","2021-10-08T00:00:00.000","United States, Canada","ES_1122596_AE+2WI50L***_100420210330214_5893703","Yes"
"2386169","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE+2WI60***",",,Each * to represent a letter or blank.","850021862138;850021862145;850021862152;850021862169;850021862176;850021862183","Indoor Ceiling Fan","Standard Fan Only","60","483","2.9","16.2","0.5","None","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2022-01-01T00:00:00.000","2021-10-15T00:00:00.000","United States, Canada","ES_1122596_AE+2WI60***_100420210346643_5493174","Yes"
"2385541","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE+2WI60L***",",,Each * to represent a letter or blank.","850021862138;850021862145;850021862152;850021862169;850021862176;850021862183","Indoor Ceiling Fan","Standard Fan with Light Kit","60","483","2.9","16.2","0.5","None","3","No",,"","Shenzhen MTC Lighting Co., Ltd.","","","900","13",,,"0.94","3000K","92","54,000","","","Yes","","","No","","","2022-01-01T00:00:00.000","2021-10-08T00:00:00.000","United States, Canada","ES_1122596_AE+2WI60L***_10042021033087_5159747","Yes"
"2338209","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE3+43","","","Indoor Ceiling Fan","Standard Fan Only","43","294","2.6","14.5","1.2","None","3","No",,"","","","",,,,,,"",,"","","","Yes","","","No","","","2019-05-07T00:00:00.000","2020-06-04T00:00:00.000","United States, Canada","ES_1122596_AE3+43_05152019025614_8974508","Yes"
"2338483","Aeratron Pty Ltd","AERATRON","Ceiling Fan","AE3+43LED","","","Indoor Ceiling Fan","Standard Fan with Light Kit","43","294","2.6","14.5","1.2","None","3","No",,"","Shenzhen MTC Lighting Co., Ltd.","","","850","10",,,"0.96","3000K","91","54,000","","","Yes","","","No","","","2019-05-07T00:00:00.000","2020-06-03T00:00:00.000","United States, Canada","ES_1122596_AE3+43LED_05152019080839_7719015","Yes"
