"pd_id","energy_star_partner","product_category","product_type","brand_name","model_name","model_number","additional_model_information","upc","energy_star_model_identifier"
"2262689","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18827 D010TE LAR15SP 4LSQA1H",",LDSQA4A 18827 D010TE LAR15SP 4LSQA0H,","","ES_1018926_LDSQA4A 18827 D010TE LAR15SP 4LSQA1H_03142016203610_7770138"
"2262690","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18827 D010TE LAR15SP 4LSQAL1H",",LDSQA4A 18827 D010TE LAR15SP 4LSQAL0H,","","ES_1018926_LDSQA4A 18827 D010TE LAR15SP 4LSQAL1H_03142016203540_7740954"
"2262693","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18827 DLT LAR15SP 4LSQA1H","","","ES_1018926_LDSQA4A 18827 DLT LAR15SP 4LSQA1H_03142016204044_8044503"
"2262694","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18827 DLT LAR15SP 4LSQAL1H",",LDSQA4A 18827 DLT LAR15SP 4LSQAL0H,","","ES_1018926_LDSQA4A 18827 DLT LAR15SP 4LSQAL1H_03142016203849_7929948"
"2262695","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18827 DMX LAR15SP 4LSQA1H","","","ES_1018926_LDSQA4A 18827 DMX LAR15SP 4LSQA1H_03142016185654_1814512"
"2262696","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18827 DMX LAR15SP 4LSQAL1H",",LDSQA4A 18827 DMX LAR15SP 4LSQAL0H,","","ES_1018926_LDSQA4A 18827 DMX LAR15SP 4LSQAL1H_03142016184059_0859640"
"2262697","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18830 D010TE LAR15SP 4LSQA1H",",LDSQA4A 18830 D010TE LAR15SP 4LSQA0H,","","ES_1018926_LDSQA4A 18830 D010TE LAR15SP 4LSQA1H_03142016204629_8389015"
"2262698","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18830 D010TE LAR15SP 4LSQAL1H",",LDSQA4A 18830 D010TE LAR15SP 4LSQAL0H,","","ES_1018926_LDSQA4A 18830 D010TE LAR15SP 4LSQAL1H_03142016204530_8330411"
"2262701","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18830 DLT LAR15SP 4LSQA1H",",LDSQA4A 18830 DLT LAR15SP 4LSQA0H,","","ES_1018926_LDSQA4A 18830 DLT LAR15SP 4LSQA1H_03142016204919_8559938"
"2262702","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18830 DLT LAR15SP 4LSQAL1H",",LDSQA4A 18830 DLT LAR15SP 4LSQAL0H,","","ES_1018926_LDSQA4A 18830 DLT LAR15SP 4LSQAL1H_03142016204848_8528256"
"2262703","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18830 DMX LAR15SP 4LSQA1H",",LDSQA4A 18830 DMX LAR15SP 4LSQA0H,","","ES_1018926_LDSQA4A 18830 DMX LAR15SP 4LSQA1H_03142016204504_8304217"
"2262704","Cooper Lighting Solutions (formerly Eaton)","Light Fixtures","Directional Luminaire","PORTFOLIO","4"" Square LED Adjustable Downlight","LDSQA4A 18830 DMX LAR15SP 4LSQAL1H",",LDSQA4A 18830 DMX LAR15SP 4LSQAL0H,","","ES_1018926_LDSQA4A 18830 DMX LAR15SP 4LSQAL1H_03142016204425_8265336"
