"pd_id","energy_star_partner","brand_name","model_name","model_number","additional_model_information","upc","product_type","fuel_type","efficiency_afue","date_available_on_market","date_qualified","markets","energy_star_model_identifier","can_integrate_hot_water_heating","meets_most_efficient_criteria"
"2313269","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPC-0083","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1092003_DMPC-0083_03232018155301_9698021","Yes","No"
"2313219","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPC-0103","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1092003_DMPC-0103_03232018155123_5727468","Yes","No"
"2313251","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPC-0103","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1092003_DMPC-0103_03232018155231_5168427","Yes","No"
"2313242","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPC-0153","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1092003_DMPC-0153_03232018155209_5971503","Yes","No"
"2313277","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPC-0153","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1092003_DMPC-0153_03232018155318_0082606","Yes","No"
"2313240","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPC-0203","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1092003_DMPC-0203_03232018155205_1380887","Yes","No"
"2313275","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPC-0203","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1092003_DMPC-0203_03232018155314_7530140","Yes","No"
"2313243","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPC-0213","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1092003_DMPC-0213_03232018155211_5829016","Yes","No"
"2313278","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPC-0213","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1092003_DMPC-0213_03232018155319_3921044","Yes","No"
"2313217","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPC-0253","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2018-03-23T00:00:00.000","United States, Canada","ES_1092003_DMPC-0253_03232018155119_2183628","Yes","No"
"2313249","Camus Hydronics Ltd.","CAMUS HYDRONICS LTD.","DynaMax","DMPC-0253","","","Boiler","Propane Gas","90","2007-09-01T00:00:00.000","2021-11-08T00:00:00.000","United States, Canada","ES_1092003_DMPC-0253_03232018155227_3139350","Yes","No"
