"case_number","status","case_request","case_subrequest","additional_subrequest","date_time_opened","date_time_closed","case_origin","oem_id","contact_type","preferred_language","state_issue","parent_case","closed_when_created","incident_address","incident_city","incident_council_district","incident_zip_code","latitude","longitude","mapped_location"
"164453","Closed","Property Violations","Junk and Debris","Junk and Debris","2019-04-04T15:21:00.000","2019-04-19T07:15:00.000","Phone",,,,"FALSE",,"FALSE","1110 Lawrence Ave","NASHVILLE","17","37204","36.1293333","-86.7884958","(36.1293333, -86.7884958)"
"159659","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-03-26T16:32:00.000","2019-03-26T16:32:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"165692","Closed","Property Violations","Cars Parked on Lawn","Cars Parked on Lawn","2019-04-07T21:30:00.000","2019-09-05T07:19:00.000","hubNashville Community",,,,"FALSE",,"FALSE","2832 Creekbend Dr","NASHVILLE","3","37207","36.2356933","-86.7960186","(36.2356933, -86.7960186)"
"160429","Closed","Trash, Recycling & Litter","Missed Pickup - Trash Cart Service","Trash - Backdoor","2019-03-27T18:48:00.000","2019-03-29T10:20:00.000","Phone",,"Resident",,"FALSE",,"FALSE","1913 Overhill Dr","NASHVILLE","25","37215","36.0978358","-86.8103094","(36.0978358, -86.8103094)"
"164857","Closed","Trash, Recycling & Litter","Cart Service","Trash - Moved to Home with No Cart","2019-04-04T20:45:00.000","2019-05-02T21:11:00.000","Phone",,,,"FALSE",,"FALSE","2424 Scott Valley Dr","NASHVILLE","29","37217","36.0817296","-86.6459649","(36.0817296, -86.6459649)"
"160813","Closed","Trash, Recycling & Litter","Missed Pickup - Recycle Cart Service","Recycle - Curbside/Alley Missed Pickup","2019-03-28T14:22:00.000","2019-03-29T21:28:00.000","Phone",,,,"FALSE",,"FALSE","1709 Seifried St","NASHVILLE","21","37208","36.1819268","-86.8127568","(36.1819268, -86.8127568)"
"172866","Closed","Property Violations","Tall Grass and Weeds","Tall Grass and Weeds","2019-04-22T16:32:00.000","2019-05-09T07:04:00.000","Phone",,,,"FALSE",,"FALSE","808 N 6th St","NASHVILLE","5","37207","36.1847942","-86.7623531","(36.1847942, -86.7623531)"
"160727","Closed","Trash, Recycling & Litter","File a Trash or Recycling Complaint","Recycling Collection Complaint","2019-03-28T13:24:00.000","2019-04-04T21:27:00.000","Phone",,,,"FALSE",,"FALSE","2312 Seifried St","NASHVILLE","21","37208","36.18247","-86.81558","(36.18247, -86.81558)"
"163885","Closed","Transit","State Routes","State Routes","2019-04-03T17:20:00.000","2019-04-04T19:59:00.000","hubNashville Community",,,,"FALSE",,"FALSE","Briley parkway south of Lebanon Pike","NASHVILLE","15","37214","36.16511","-86.68874","(36.16511, -86.68874)"
"158251","Closed","Trash, Recycling & Litter","Backdoor Trash or Recycle Waivers","Request Trash Disability Waiver","2019-03-22T15:26:00.000","2019-07-09T09:29:00.000","Phone",,,,"FALSE",,"FALSE","3209 Louise Dr","NASHVILLE","16","37211","36.1024851","-86.7480954","(36.1024851, -86.7480954)"
"166159","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-04-08T19:22:00.000","2019-04-08T19:22:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"171190","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-04-17T21:40:00.000","2019-04-17T21:40:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"170003","Closed","Streets, Roads & Sidewalks","Roadwork Complaint","Roadwork Complaint","2019-04-16T13:54:00.000","2019-04-17T20:10:00.000","Phone",,,,"FALSE",,"FALSE","2208 Elliott Ave","NASHVILLE","17","37204","36.1290817","-86.7797521","(36.1290817, -86.7797521)"
"167576","Closed","Streets, Roads & Sidewalks","Obstruction of right of way","Roadway","2019-04-10T20:36:00.000","2019-04-23T17:05:00.000","Phone",,,,"FALSE",,"FALSE","Crutcher St & S 5th St","NASHVILLE","6","37213","36.1624291","-86.7592958","(36.1624291, -86.7592958)"
"171407","Closed","Trash, Recycling & Litter","File a Trash or Recycling Complaint","Trash in Recycling Cart","2019-04-18T14:29:00.000","2019-04-18T14:29:00.000","Phone",,"Resident",,"FALSE",,"FALSE","104 Glendale Garden Dr","NASHVILLE","25","37204","36.0942055","-86.799781","(36.0942055, -86.799781)"
"161830","Closed","Trash, Recycling & Litter","Missed Pickup - Trash Cart Service","Trash - Curbside/Alley Missed Pickup","2019-03-29T20:00:00.000","2019-04-03T21:26:00.000","Phone",,,,"FALSE",,"FALSE","2005 Farley Pl","NASHVILLE","15","37210","36.16079","-86.70266","(36.16079, -86.70266)"
"168396","Closed","Trash, Recycling & Litter","Missed Pickup - Trash Cart Service","Trash - Curbside/Alley Missed Pickup","2019-04-11T22:31:00.000","2019-04-16T09:04:00.000","hubNashville Community",,,,"FALSE",,"FALSE","4611 Michigan Ave","NASHVILLE","20","37209","36.15848","-86.84331","(36.15848, -86.84331)"
"172195","Closed","Streets, Roads & Sidewalks","Tree Maintenance on right of way","Tree is dead and needs removal","2019-04-19T16:02:00.000","2019-04-23T20:18:00.000","Phone",,,,"FALSE",,"FALSE","351 Brewer Dr","NASHVILLE","27","37211","36.0544603","-86.7087817","(36.0544603, -86.7087817)"
"163989","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-04-03T19:15:00.000","2019-04-03T19:15:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"157986","Closed","Trash, Recycling & Litter","Missed Pickup - Recycle Cart Service","Recycle - Curbside/Alley Missed Pickup","2019-03-22T00:38:00.000","2019-03-26T17:31:00.000","hubNashville Community",,,,"FALSE",,"FALSE","5064 Meta Dr","NASHVILLE","27","37211","36.05675543","-86.73328037","(36.05675543, -86.73328037)"
"165451","Closed","Trash, Recycling & Litter","Illegal Dumping","Roadway","2019-04-05T20:44:00.000","2019-04-11T16:31:00.000","hubNashville Community",,,,"FALSE",,"FALSE","69 Lutie St","NASHVILLE","16","37210","36.1166468","-86.7384683","(36.1166468, -86.7384683)"
"170437","Closed","Trash, Recycling & Litter","Missed Pickup - Recycle Cart Service","Recycle - Curbside/Alley Missed Pickup","2019-04-16T21:22:00.000","2019-04-18T09:07:00.000","Phone",,,,"FALSE",,"FALSE","3819 Whites Creek Pike","NASHVILLE","3","37207","36.247243","-86.824024","(36.247243, -86.824024)"
"163699","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-04-03T14:53:00.000","2019-04-03T14:53:00.000","Phone",,,,"FALSE",,"TRUE","1913 Overhill Dr","NASHVILLE","25","37215","36.0978358","-86.8103094","(36.0978358, -86.8103094)"
"162422","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-04-01T15:32:00.000","2019-04-01T15:32:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"160513","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-03-27T19:59:00.000","2019-03-27T19:59:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"173989","Closed","Property Violations","Cars Parked on Lawn","Cars Parked on Lawn","2019-04-24T14:08:00.000","2019-06-08T07:02:00.000","hubNashville Community",,,,"FALSE",,"FALSE","2423 Robbie Ct","NASHVILLE","15","37214","36.20716065","-86.687284","(36.20716065, -86.687284)"
"163090","Closed","Trash, Recycling & Litter","Extra Cart Pickup Request","Extra Trash Cart Pickup","2019-04-02T15:58:00.000","2019-04-03T17:35:00.000","Phone",,,,"FALSE",,"FALSE","1412 18th Ave S","NASHVILLE","17","37212","36.1398936","-86.7960097","(36.1398936, -86.7960097)"
"160542","Closed","Trash, Recycling & Litter","File a Trash or Recycling Complaint","Trash Collection Complaint","2019-03-27T20:30:00.000","2019-03-29T10:27:00.000","Phone",,,,"FALSE",,"FALSE","3919 Parks Retreat Dr","ANTIOCH","33","37013","36.034734","-86.592561","(36.034734, -86.592561)"
"162127","Closed","Public Safety","Abandoned Vehicles","Abandoned Vehicles","2019-03-31T16:26:00.000","2019-04-03T08:11:00.000","hubNashville Community",,,,"FALSE",,"FALSE","1906 19th Ave S","NASHVILLE","18","37212","36.13479743","-86.79821653","(36.13479743, -86.79821653)"
"170963","Closed","Trash, Recycling & Litter","File a Trash or Recycling Complaint","Trash in Recycling Cart","2019-04-17T18:04:00.000","2019-04-17T18:04:00.000","Phone",,"Resident",,"FALSE",,"FALSE","4124 Sneed Rd","NASHVILLE","34","37215","36.103704","-86.835562","(36.103704, -86.835562)"
"169409","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-04-15T14:41:00.000","2019-04-15T14:41:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"167921","Closed","Trash, Recycling & Litter","Cart Service","Recycling - Moved to Home with No Cart","2019-04-11T14:59:00.000","2019-04-12T20:38:00.000","Phone",,,,"FALSE",,"FALSE","1013 Pewter Ct","MADISON","8","37115","36.2722257","-86.7191002","(36.2722257, -86.7191002)"
"158386","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-03-22T17:28:00.000","2019-03-22T17:28:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"159654","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-03-26T16:26:00.000","2019-03-26T16:26:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"171740","Closed","Trash, Recycling & Litter","Missed Pickup - Trash Cart Service","Trash - Backdoor","2019-04-18T18:33:00.000","2019-04-20T09:02:00.000","hubNashville Community",,,,"FALSE",,"FALSE","505 Close Ln","NASHVILLE","23","37205","36.11579","-86.86308","(36.11579, -86.86308)"
"163106","Closed","Trash, Recycling & Litter","File a Trash or Recycling Complaint","Trash Collection Complaint","2019-04-02T16:05:00.000","2019-04-04T10:24:00.000","Phone",,,,"FALSE",,"FALSE","283 Cathy Jo Dr","NASHVILLE","26","37211","36.09109553","-86.72113187","(36.09109553, -86.72113187)"
"160461","Closed","Streets, Roads & Sidewalks","Paving Request","Request Road to be Paved","2019-03-27T19:20:00.000","2019-04-04T17:25:00.000","Mayor's Office",,,,"FALSE","160051","FALSE","Fesslers Ln","NASHVILLE","19","37210","36.1547","-86.74333","(36.1547, -86.74333)"
"160114","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-03-27T14:37:00.000","2019-03-27T14:37:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"172604","Closed","Streets, Roads & Sidewalks","Remove debris in roadway","Remove debris in roadway","2019-04-22T12:02:00.000","2019-04-22T17:33:00.000","Phone","OE-00012388_4/21/2019 15:37",,,"FALSE",,"FALSE","MURFREESBORO PKE / BELL RD","NASHVILLE","29","37217","36.07187446","-86.63618326","(36.07187446, -86.63618326)"
"162793","New","Electric & Water General","Blocked Drain","Blocked Drain","2019-04-02T01:27:00.000",,"Mobile App",,,,"FALSE",,"FALSE","433 N 14th St","NASHVILLE","6","37206","36.18131029","-86.745192","(36.18131029, -86.745192)"
"166735","Closed","Trash, Recycling & Litter","File a Trash or Recycling Complaint","Trash in Recycling Cart","2019-04-09T19:08:00.000","2019-04-09T19:08:00.000","Phone",,"Resident",,"FALSE",,"FALSE","143 Oak Park Dr","NASHVILLE","2","37207","36.2327425","-86.7647532","(36.2327425, -86.7647532)"
"162292","Closed","Trash, Recycling & Litter","Cart Service","Recycling - Report a Stolen Cart","2019-04-01T13:38:00.000","2019-04-05T21:26:00.000","Phone",,,,"FALSE",,"FALSE","229 Oceanfront Cir S","ANTIOCH","33","37013","36.0518392","-86.5831546","(36.0518392, -86.5831546)"
"172408","New","Electric & Water General","Water Outage","Water Outage","2019-04-19T20:09:00.000",,"hubNashville Community",,,,"FALSE",,"FALSE","45 Lindsley Ave","NASHVILLE","19","37210","36.15364","-86.76496","(36.15364, -86.76496)"
"168763","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-04-12T16:48:00.000","2019-04-12T16:48:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"163233","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-04-02T17:54:00.000","2019-04-02T17:54:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"161435","Closed","Trash, Recycling & Litter","Missed Pickup - Trash Cart Service","Trash - Curbside/Alley Missed Pickup","2019-03-29T13:45:00.000","2019-04-02T17:32:00.000","Phone",,,,"FALSE",,"FALSE","1607 Linden Ave","NASHVILLE","18","37212","36.1278682","-86.7933736","(36.1278682, -86.7933736)"
"158560","Closed","Trash, Recycling & Litter","File a Trash or Recycling Complaint","Trash Collection Complaint","2019-03-22T19:58:00.000","2019-03-27T10:24:00.000","Phone",,,,"FALSE",,"FALSE","335 Bell Rd","NASHVILLE","29","37217","36.07878","-86.63424","(36.07878, -86.63424)"
"159708","Closed","Trash, Recycling & Litter","Cart Service","Trash - Report a Stolen Cart","2019-03-26T17:15:00.000","2019-03-26T17:28:00.000","Phone",,,,"FALSE",,"FALSE","99 Scott Ave","NASHVILLE","6","37206","36.1829899","-86.734611","(36.1829899, -86.734611)"
"165231","Closed","Trash, Recycling & Litter","File a Trash or Recycling Complaint","Trash in Recycling Cart","2019-04-05T16:39:00.000","2019-04-05T16:39:00.000","Phone",,"Resident",,"FALSE",,"FALSE","916 Deervale Dr","NASHVILLE","16","37217","36.1278927","-86.7216551","(36.1278927, -86.7216551)"
"159128","Closed","Trash, Recycling & Litter","Extra Cart Pickup Request","Extra Recycle Cart Pickup","2019-03-25T16:54:00.000","2019-03-28T21:24:00.000","Phone",,,,"FALSE",,"FALSE","715 Brooks Ave","MADISON","9","37115","36.27037","-86.70688","(36.27037, -86.70688)"
"168360","Closed","Trash, Recycling & Litter","Missed Pickup - Trash Cart Service","Trash - Backdoor","2019-04-11T21:38:00.000","2019-04-13T09:01:00.000","Phone",,,,"FALSE",,"FALSE","5024 Montclair Dr","NASHVILLE","26","37211","36.0691181","-86.7534029","(36.0691181, -86.7534029)"
"170692","Closed","Property Violations","Tall Grass and Weeds","Tall Grass and Weeds","2019-04-17T14:54:00.000","2019-05-17T07:00:00.000","Phone",,,,"FALSE",,"FALSE","924 Goodbar Dr","NASHVILLE","13","37217","36.1276018","-86.7001799","(36.1276018, -86.7001799)"
"161731","Closed","Trash, Recycling & Litter","Unwanted Recycling or Trash","Unwanted Recycling","2019-03-29T17:56:00.000","2019-04-02T17:40:00.000","Phone",,,,"FALSE",,"FALSE","807 Oneida Ave","NASHVILLE","5","37207","36.19963","-86.75526","(36.19963, -86.75526)"
"169538","Closed","Streets, Roads & Sidewalks","Overgrowth on right of way","Roadway","2019-04-15T16:10:00.000","2019-05-29T16:01:00.000","hubNashville Community",,,,"FALSE",,"FALSE","375 Blackman Rd","NASHVILLE","26","37211","36.07424","-86.751","(36.07424, -86.751)"
"169839","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-04-15T21:40:00.000","2019-04-15T21:40:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"173221","Closed","Property Violations","Tall Grass and Weeds","Tall Grass and Weeds","2019-04-23T03:04:00.000","2019-04-23T13:24:00.000","hubNashville Community",,,,"FALSE",,"FALSE",,,,,"36.13204041","-86.7855585","(36.13204041, -86.7855585)"
"157848","Closed","Streets, Roads & Sidewalks","Potholes","Roadway","2019-03-21T19:23:00.000","2019-03-25T17:44:00.000","Phone",,,,"FALSE",,"FALSE","3262 McGavock Pk","NASHVILLE","15","37214","36.178139","-86.6776832","(36.178139, -86.6776832)"
"172557","Closed","Streets, Roads & Sidewalks","Damaged Sign","Damaged Sign","2019-04-21T16:00:00.000","2019-04-22T11:31:00.000","Phone","OE-00012328_4/20/2019 20:01",,,"FALSE",,"FALSE","2701 HYDES FERRY RD","NASHVILLE","1","37218","36.17883345","-86.83468848","(36.17883345, -86.83468848)"
"161754","Closed","Trash, Recycling & Litter","Cart Service","Trash - Report a Damaged Cart","2019-03-29T18:27:00.000","2019-04-03T17:37:00.000","Phone",,,,"FALSE",,"FALSE","1445 Bell Trace Dr","ANTIOCH","32","37013","36.0405039","-86.6707292","(36.0405039, -86.6707292)"
"158961","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-03-25T14:10:00.000","2019-03-25T14:10:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"159176","Closed","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","Resolved by hubNashville on First Call","2019-03-25T17:47:00.000","2019-03-25T17:47:00.000","Phone",,,,"FALSE",,"TRUE",,,,,,,
"162101","Closed","Other Metro Services and Forms","Mayor's Office Case","Mayor's Office Case","2019-03-31T01:26:00.000","2019-04-01T21:11:00.000","hubNashville Community",,,,"FALSE",,"FALSE",,,,,,,
"166952","Closed","Trash, Recycling & Litter","Cart Service","Trash - Report a Damaged Cart","2019-04-10T00:54:00.000","2019-04-12T20:45:00.000","hubNashville Community",,,,"FALSE",,"FALSE","600 Village Trace Ct","NASHVILLE","27","37211","36.0458268","-86.7371976","(36.0458268, -86.7371976)"
"169651","Closed","Trash, Recycling & Litter","Missed Pickup - Trash Cart Service","Trash - Curbside/Alley Missed Pickup","2019-04-15T17:58:00.000","2019-04-17T09:06:00.000","Phone",,,,"FALSE",,"FALSE","1919 Nashboro Blvd","NASHVILLE","29","37217","36.0889169","-86.6339867","(36.0889169, -86.6339867)"
"166301","Closed","Transit","State Routes","State Routes","2019-04-08T23:32:00.000","2019-04-10T20:29:00.000","hubNashville Community",,,,"FALSE",,"FALSE","96 White Bridge Pike","NASHVILLE","24","37205","36.1289889","-86.85353477","(36.1289889, -86.85353477)"
