"company_name","project_industry","location_1","application_number","tax_year","status","actual_jobs_created","actual_jobs_retained","capital_investment_reported"
"Brose North America, Inc.","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","187","2009","Approved","172","-","$840,891"
"Shape Corporation","Automotive - Manufacturing","
Grand Haven,  
(43.058798, -86.227994)","21","2009","Approved","288","-","$164,469"
"Paragon Metals, Inc.","Automotive - Manufacturing","
Quincy,  
(39.93553, -91.388754)","408","2009","Approved","52","-","$488,737"
"Asama Coldwater Manufacturing, Inc.","Automotive - Manufacturing","
Coldwater,  
(41.940611, -85.000721)","19","2000","Approved","272","-","-"
"Magnesium Products of America, Inc.","Automotive - Manufacturing","
Eaton Rapids,  
(42.514738, -84.65645)","76","2003","Approved","91","-","-"
"BASF Corporation","Chemicals","
Wyandotte,  
(42.201008, -83.150254)","338","2007","Approved","62","-","-"
"ECD Ovonics","Electronics","
Rochester Hills,  
(42.652398, -83.132561)","128","2002","Approved","22","-","-"
"Axle Alliance","Automotive - Manufacturing","
Redford Township,  
(42.403049, -83.294395)","173","2008","Approved","-","-","-"
"Webasto Roof Systems Inc.","Automotive - Manufacturing","
Rochester Hills,  
(42.652398, -83.132561)","557","2011","Approved","-","149","-"
"Global Engine Manufacturing Alliance LLC","Automotive - Manufacturing","
Dundee,  
(41.957261, -83.659798)","593","2011","Approved","193","-","$113,346,165"
"Global Engine Manufacturing Alliance LLC","Automotive - Manufacturing","
Dundee,  
(41.957261, -83.659798)","200","2007","Approved","195","-","-"
"Federal-Mogul Products, Inc.","Automotive - Manufacturing","
Southfield,  
(42.477952, -83.240756)","265","2008","Approved","-","1,599","-"
"Quicken Loans, Inc.","Financial Services","
Livonia,  
(42.39709, -83.36961)","275","2005","Approved","294","-","-"
"Toyoda Gosei North America Corporation","Automotive - Manufacturing","
Troy,  
(42.727684, -73.691059)","234","2006","Did Not Qualify","22","-","-"
"Grupo Antolin Michigan","Automotive - Manufacturing","
Marlette,  
(43.327797, -83.079846)","203","2011","Approved","197","-","-"
"Advanced Integrated Tooling Solutions, LP","Aerospace","
Chesterfield Township,  
(42.674198, -82.780296)","616","2012","Approved","234","-","$1,060,540"
"Chrysler Group LLC","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","356","2008","Approved","227","-","-"
"Chrysler Group LLC","Financial Services","
Auburn Hills,  
(42.672504, -83.225448)","91","2007.2","Approved","377","-","-"
"Morley Companies, Incorporated","Call Center","
Saginaw,  
(43.419547, -83.946359)","476","2012.2","Approved","346","-","$4,732,422"
"Grupo Antolin Michigan","Automotive - Manufacturing","
Marlette,  
(43.327797, -83.079846)","203","2006","Approved","186","-","-"
"Continental Automotive Systems","Automotive - R&D Testing","
Auburn Hills,  
(42.672504, -83.225448)","564","2012","Approved","-","224","-"
"Continental Automotive Systems","Automotive - R&D Testing","
Auburn Hills,  
(42.672504, -83.225448)","564","2011","Approved","83","-","-"
"Tower Automotive Plymouth, Inc.","Automotive - Manufacturing","
Plymouth,  
(41.95575, -70.664394)","6","1996","Approved","149","-","-"
"Fiat Chrysler Automobiles US LLC","Automotive - Manufacturing","
Sterling Heights,  
(42.58968, -83.011059)","692","2012","Approved","-","18,034","$1,803,442,255"
"Magna Holdings of America, Inc.","Alt. Energy - Advanced Energy Storage","
Auburn Hills,  
(42.672504, -83.225448)","642","2015","Approved","640","-","-"
"Continental Automotive Systems","Automotive - R&D Testing","
Auburn Hills,  
(42.672504, -83.225448)","564","2010","Approved","-","119","$64,485,631"
"Magna Holdings of America, Inc.","Alt. Energy - Advanced Energy Storage","
Auburn Hills,  
(42.672504, -83.225448)","642","2013","Approved","472","-","-"
"Reino Linen Service of Michigan","Business Services","
Brownstown,  
(38.877686, -86.047127)","480","2011","Approved","83","-","$10,651,137"
"Metalloid Corporation","Chemicals","
Sturgis,  
(44.41272, -103.513282)","734","2015","Approved","20","-","-"
"Fiat Chrysler Automobiles US LLC","Automotive - Manufacturing","
Sterling Heights,  
(42.58968, -83.011059)","692","2013","Approved","-","20,000","$747,153,353"
"Advanced Photonix, Inc.","Electronics","
Ann Arbor,  
(42.281419, -83.748478)","308","2011","Approved","42","-","$1,090,542"
"Ford Motor Company","Automotive - Manufacturing","
Wayne,  
(40.927178, -74.231046)","538","2013","Approved","-","8,595","$73,399,669"
"Auto Alliance International, Inc","Automotive - Manufacturing","
Flat Rock,  
(42.089873, -83.286219)","180","2006","Approved","1,121","-","-"
"Venchurs Inc.","Automotive - Manufacturing","
Adrian,  
(41.895299, -84.039815)","425","2009","Did Not Qualify","-","-","-"
"Recticel N.A., L.L.C.","Automotive - Manufacturing","
Clarkston,  
(42.73582, -83.422142)","156","2005","Approved","151","-","-"
"Hi-Lex Controls, Incorporated","Automotive - Manufacturing","
Hudson,  
(42.251775, -73.787882)","142","2006","Approved","132","-","-"
"General Motors LLC","Automotive - Manufacturing","
Lake Orion,  
(42.784602, -83.242443)","186","2008","Approved","-","2,288","-"
"Webasto-Edscha Cabrio USA, Inc.","Automotive - Manufacturing","
Plymouth,  
(41.95575, -70.664394)","222","2009","Did Not Qualify","-","-","-"
"ADCO Products","Chemicals","
Michigan Center,  
(42.233077, -84.326975)","625","2013.1","Approved","97","-","$1,135,766"
"Cascade Engineering, Inc.","Alt. Energy - Wind","
Grand Rapids,  
(42.965446, -85.670209)","664","2014","Approved","96","-","$1,127,227"
"Waltonen Engineering","Defense/Military","
Warren,  
(42.52144, -83.020184)","667","2010","Approved","20","-","$2,526,338"
"Gentex Corporation","Automotive - Manufacturing","
Zeeland,  
(42.807091, -86.018872)","193","2012","Approved","618","-","-"
"Cascade Engineering, Inc.","Alt. Energy - Wind","
Grand Rapids,  
(42.965446, -85.670209)","664","2012.2","Approved","71","-","$491,736"
"Gemini Group, Inc.","Automotive - Manufacturing","
Bad Axe,  
(43.802035, -83.000495)","735","2015","Approved","151","-","-"
"Coca-Cola Refreshments","Food Processing","
Paw Paw,  
(39.532025, -78.455725)","68","2004","Approved","121","-","-"
"Paragon Metals, Inc.","Automotive - Manufacturing","
Quincy,  
(39.93553, -91.388754)","408","2010","Approved","51","-","$1,129,905"
"Hagerty Insurance Agency, Inc.","Financial Services","
Traverse City,  
(44.759092, -85.605469)","479","2011","Approved","41","-","$7,261,166"
"Hemlock Semiconductor Corporation","Alt. Energy - Other","
Hemlock,  
(44.823601, -90.611702)","306","2014","Approved","150","-","-"
"Bosal","Automotive - Manufacturing","
Warren,  
(42.52144, -83.020184)","40","2000","Approved","110","-","-"
"Cobasys LLC","Alt. Energy - Other","
Orion Township,  
(42.76982, -83.283404)","241","2006","Approved","62","-","-"
"Chrysler Group LLC","Automotive - Manufacturing","
Detroit,  
(42.332916, -83.047853)","394","2010","Approved","-","243","$319,030,210"
"Cobasys LLC","Alt. Energy - Other","
Orion Township,  
(42.76982, -83.283404)","241","2005.1","Approved","24","-","-"
"General Motors LLC","Automotive - Manufacturing","
Lansing,  
(42.733625, -84.553927)","112","2007","Approved","-","2,800","-"
"Johnson Technology, Inc.","Aerospace","
Muskegon,  
(43.234221, -86.246388)","549","2010","Did Not Qualify","40","-","-"
"Cascade Engineering, Inc.","Alt. Energy - Wind","
Grand Rapids,  
(42.965446, -85.670209)","664","2011","Approved","19","-","$645,202"
"Yanfeng (USA) Automotive Trim Systems, Inc. - Harrison Twp.","Automotive - Manufacturing","
Harrison Township,  
(40.640704, -79.710807)","694","2012","Approved","69","-","$4,748,357"
"Cascade Engineering, Inc.","Alt. Energy - Wind","
Grand Rapids,  
(42.965446, -85.670209)","664","2015","Approved","127","-","$871,507"
"Spicer Heavy Axle & Brake Inc.","Automotive - Manufacturing","
Kalamazoo,  
(42.289777, -85.584682)","55","2004","Approved","155","-","-"
"Grupo Antolin Michigan","Automotive - Manufacturing","
Marlette,  
(43.327797, -83.079846)","203","2012","Approved","275","-","-"
"AT&T Inc. Michigan","Call Center","
Detroit,  
(42.332916, -83.047853)","279","2007","Approved","-","1,008","-"
"Brembo North America Homer, Incorporated","Automotive - Manufacturing","
Homer,  
(59.641779, -151.551418)","433","2010","Approved","68","-","-"
"Gentex Corporation","Automotive - Manufacturing","
Zeeland,  
(42.807091, -86.018872)","193","2009","Approved","284","-","-"
"Hyundai-Kia America Technical Center, Inc.","Automotive - Manufacturing","
Superior Township,  
(42.303179, -83.603236)","213","2007","Approved","86","-","-"
"FEV North America, Inc.","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","351","2011","Approved","31","-","-"
"JAC Products, Inc.","Automotive - Manufacturing","
Saline,  
(42.166685, -83.781318)","682","2014","Approved","100","-","-"
"General Motors LLC","Automotive - Manufacturing","
Warren,  
(42.52144, -83.020184)","227","2009.2","Approved","-","570","-"
"Danotek Motion Technologies, LLC","Alt. Energy - Wind","
Canton,  
(40.797388, -81.377036)","456","2009","Approved","8","-","$2,580,252"
"General Motors LLC","Automotive - Manufacturing","
Lake Orion,  
(42.784602, -83.242443)","186","2009.1","Approved","-","1,602","-"
"Robert Bosch LLC","Automotive - Manufacturing","
Farmington Hills,  
(42.485645, -83.357869)","56","2006","Approved","140","-","-"
"Kostal of America, Inc.","Automotive - Manufacturing","
Troy,  
(42.727684, -73.691059)","358","2015","Approved","93","-","-"
"Danotek Motion Technologies, LLC","Alt. Energy - Wind","
Canton,  
(40.797388, -81.377036)","456","2011","Approved","37","-","$921,746"
"Gemini Group, Inc.","Automotive - Manufacturing","
Bad Axe,  
(43.802035, -83.000495)","735","2013","Approved","-","559","$13,022,018"
"Gibbs Technologies, Limited","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","434","2012.2","Approved","66","-","$410,533"
"Shape Corporation","Automotive - Manufacturing","
Grand Haven,  
(43.058798, -86.227994)","21","2008","Approved","436","-","$4,658,824"
"Hemlock Semiconductor Corporation","Alt. Energy - Other","
Hemlock,  
(44.823601, -90.611702)","306","2012","Approved","150","-","-"
"Nexient","Call Center","
Ann Arbor,  
(42.281419, -83.748478)","578","2012","Approved","67","-","$290,238"
"Chemetall US, Inc.","Chemicals","
Romulus,  
(42.220519, -83.385307)","725","2014","Approved","-","86","$968,994"
"US Farathane Corporation - HQ","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","607","2015","Approved","1,109","-","-"
"Skilled Aerospace Division","Aerospace","
Traverse City,  
(44.759092, -85.605469)","604","2010","Approved","16","-","$3,377,224"
"Metalloid Corporation","Chemicals","
Sturgis,  
(44.41272, -103.513282)","734","2012","Approved","16","-","$23,362"
"XALT Energy, LLC","Alt. Energy - Advanced Energy Storage","
Midland,  
(31.997433, -102.078043)","568","2014","Approved","101","-","-"
"JAC Products, Inc.","Automotive - Manufacturing","
Saline,  
(42.166685, -83.781318)","682","2012","Approved","97","-","-"
"Kelly Services, Inc.","Business Services","
Troy,  
(42.727684, -73.691059)","450","2010","Did Not Qualify","-","-","-"
"TRW Automotive Inc","Automotive - Manufacturing","
Livonia,  
(42.39709, -83.36961)","190","2006","Approved","165","-","-"
"Magnesium Products of America, Inc.","Automotive - Manufacturing","
Eaton Rapids,  
(42.514738, -84.65645)","76","2007","Approved","81","-","-"
"Magna Holdings of America, Inc.","Alt. Energy - Advanced Energy Storage","
Auburn Hills,  
(42.672504, -83.225448)","642","2011","Approved","259","-","-"
"Martinrea Jonesville LLC","Automotive - Manufacturing","
Jonesville,  
(36.689005, -83.110991)","572","2013","Approved","-","104","-"
"Asama Coldwater Manufacturing, Inc.","Automotive - Manufacturing","
Coldwater,  
(41.940611, -85.000721)","19","2003","Approved","300","-","-"
"Delphi Corporation","Automotive - Manufacturing","
Troy,  
(42.727684, -73.691059)","364","2012","Approved","-","1,085","-"
"Flagstar Bank, Fsb","Financial Services","
Troy,  
(42.727684, -73.691059)","81","2006","Approved","675","-","-"
"MBtech Autodie LLC","Automotive - Manufacturing","
Grand Rapids,  
(42.965446, -85.670209)","363","2012","Approved","-","257","$13,848,702"
"Danotek Motion Technologies, LLC","Alt. Energy - Wind","
Canton,  
(40.797388, -81.377036)","456","2010","Approved","14","-","$2,371,909"
"General Motors LLC","Automotive - Manufacturing","
Lansing,  
(42.733625, -84.553927)","83","2008","Approved","-","2,041","-"
"Magna Holdings of America, Inc.","Alt. Energy - Advanced Energy Storage","
Auburn Hills,  
(42.672504, -83.225448)","642","2012","Approved","442","-","-"
"Petri, Inc.","Automotive - Manufacturing","
Port Huron,  
(42.975041, -82.424522)","26","1997","Approved","90","-","-"
"Johnson Controls, Inc","Automotive - Manufacturing","
Rockwood,  
(44.168098, -87.705597)","89","2003","Approved","115","-","-"
"Continental Automotive Systems","Automotive - R&D Testing","
Auburn Hills,  
(42.672504, -83.225448)","564","2010","Approved","72","-","-"
"Ventower Industries, LLC","Alt. Energy - Wind","
Monroe,  
(32.500759, -92.111225)","509","2015","Approved","142","-","-"
"General Motors LLC","Automotive - Manufacturing","
Ypsilanti,  
(42.239806, -83.614543)","191","2008","Approved","-","850","-"
"Detroit Diesel Corporation","Automotive - Manufacturing","
Detroit,  
(42.332916, -83.047853)","657","2011","Approved","-","1,013","$74,720,834"
"Ford Motor Company","Automotive - Manufacturing","
Dearborn,  
(42.322141, -83.17594)","129","2007","Approved","-","3,018","-"
"Coca-Cola Refreshments","Food Processing","
Paw Paw,  
(39.532025, -78.455725)","68","2005","Approved","121","-","-"
"The Minacs Group (USA) Inc.","Call Center","
Farmington Hills,  
(42.485645, -83.357869)","633","2012.2","Approved","108","-","$702,120"
"General Motors LLC","Automotive - Manufacturing","
Warren,  
(42.52144, -83.020184)","227","2008","Approved","-","1,145","-"
"Morley Companies, Incorporated","Call Center","
Saginaw,  
(43.419547, -83.946359)","600","2011","Approved","147","-","$7,814,686"
"BASF Corporation","Chemicals","
Wyandotte,  
(42.201008, -83.150254)","338","2013","Approved","81","-","-"
"General Motors LLC","Automotive - Manufacturing","
Lake Orion,  
(42.784602, -83.242443)","186","2009.2","Approved","-","1,334","-"
"Spicer Heavy Axle & Brake Inc.","Automotive - Manufacturing","
Kalamazoo,  
(42.289777, -85.584682)","55","2007","Approved","123","-","-"
"Federal-Mogul Products, Inc.","Automotive - Manufacturing","
Southfield,  
(42.477952, -83.240756)","265","2006","Approved","-","1,866","-"
"Kostal of America, Inc.","Automotive - Manufacturing","
Troy,  
(42.727684, -73.691059)","358","2014","Approved","75","-","-"
"SoundOff Signal","Electronics","
Hudsonville,  
(42.869026, -85.861291)","525","2010","Approved","8","-","$2,358,636"
"Advanced Integrated Tooling Solutions, LP","Aerospace","
Chesterfield Township,  
(42.674198, -82.780296)","616","2010","Approved","131","-","$4,973,953"
"Gentex Corporation","Automotive - Manufacturing","
Zeeland,  
(42.807091, -86.018872)","193","2008","Approved","611","-","-"
"General Motors LLC","Automotive - Manufacturing","
Detroit,  
(42.332916, -83.047853)","595","2013","Approved","-","32,412","$959,406,796"
"Toyota Motor Engineering & Manufacturing, N.A. Inc","Automotive - Manufacturing","
Ann Arbor,  
(42.281419, -83.748478)","282","2011","Approved","308","-","$3,009,288"
"Global Futures & Forex, Ltd.","Financial Services","
Ada,  
(34.774512, -96.678643)","530","2011","Approved","-","135","-"
"The Dow Chemical Company","Alt. Energy - Solar","
Midland,  
(31.997433, -102.078043)","623","2011","Approved","481","-","$111,677,336"
"Consolidated Resource Imaging, LLC","Defense/Military","
Grand Rapids,  
(42.965446, -85.670209)","591","2010","Approved","9","-","$2,454,712"
"Hi-Lex Controls, Inc.","Automotive - Manufacturing","
Litchfield,  
(41.746861, -73.189234)","28","2006","Approved","196","-","-"
"Magnesium Products of America, Inc.","Automotive - Manufacturing","
Eaton Rapids,  
(42.514738, -84.65645)","76","2004","Approved","89","-","-"
"Faurecia Interior Systems Inc.","Automotive - Manufacturing","
Fraser,  
(42.542226, -82.94983)","277","2011","Approved","445","-","$5,940,069"
"American Axle & Manufacturing, Inc.","Automotive - Manufacturing","
Three Rivers,  
(36.457312, -118.885141)","107","2002","Approved","233","-","-"
"Gibbs Technologies, Limited","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","434","2011","Approved","56","-","$501,378"
"Dokka Fasteners, Incorporated","Alt. Energy - Wind","
Auburn Hills,  
(42.672504, -83.225448)","698","2012","Approved","35","-","$12,204,008"
"Brose North America, Inc.","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","187","2008","Approved","191","-","-"
"Brose North America, Inc.","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","187","2006","Approved","119","-","-"
"FEV North America, Inc.","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","351","2008","Approved","59",,
"Webasto-Edscha Cabrio USA, Inc.","Automotive - Manufacturing","
Plymouth,  
(41.95575, -70.664394)","222","2008","Approved","144","-","-"
"ArvinMeritor Automotive, Inc.","Automotive - Manufacturing","
Detroit,  
(42.332916, -83.047853)","92","2006.2","Approved","172","-","-"
"Molex, LLC","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","7","2000","Approved","207","-","-"
"Hemlock Semiconductor Corporation","Alt. Energy - Other","
Hemlock,  
(44.823601, -90.611702)","306","2010","Approved","150","-","-"
"Dow Corning Corporation","Electronics","
Auburn,  
(47.307522, -122.22575)","216","2012","Approved","97","-","$28,532,946"
"ADCO Products","Chemicals","
Michigan Center,  
(42.233077, -84.326975)","625","2015.1","Approved","51","-","-"
"Neapco Holdings, LLC","Automotive - Manufacturing","
Belleville,  
(38.512629, -89.984229)","392","2011","Approved","175","-","$3,418,732"
"Gemini Group, Inc.","Automotive - Manufacturing","
Bad Axe,  
(43.802035, -83.000495)","735","2014","Approved","-","555","$19,793,006"
"Hagerty Insurance Agency, Inc.","Financial Services","
Traverse City,  
(44.759092, -85.605469)","479","2010","Approved","28","-","$424,123"
"Wacker Chemical Corporation","Chemicals","
Adrian,  
(41.895299, -84.039815)","606","2011","Approved","-","148","$10,436,995"
"Detroit Manufacturing Systems, LLC","Automotive - Manufacturing","
Detroit,  
(42.332916, -83.047853)","775","2013","Approved","564","-","$21,597,053"
"Behr America, Inc","Automotive - Manufacturing","
Troy,  
(42.727684, -73.691059)","95","2006","Approved","105","-","-"
"Global Engine Manufacturing Alliance LLC","Automotive - Manufacturing","
Dundee,  
(41.957261, -83.659798)","593","2010","Approved","65","-","-"
"Lear Corporation","Automotive - Manufacturing","
Roscommon,  
(44.304574, -84.753305)","605","2014","Approved","-","662","$3,248,822"
"Global Engine Manufacturing Alliance LLC","Automotive - Manufacturing","
Dundee,  
(41.957261, -83.659798)","200","2005","Approved","156","-","-"
"Venchurs Inc.","Automotive - Manufacturing","
Adrian,  
(41.895299, -84.039815)","425","2011","Did Not Qualify","6","-","-"
"Chrysler LLC","Automotive - Manufacturing","
Sterling Heights,  
(42.58968, -83.011059)","273","2007","Approved","-","5,123","$487,253,000"
"Kelly Services, Inc.","Business Services","
Troy,  
(42.727684, -73.691059)","450","2011","Did Not Qualify","-","-","-"
"Spartan Motors, Inc.","Automotive - Manufacturing","
Charlotte,  
(35.222936, -80.840161)","240","2014","Approved","117","-","$1,313,364"
"ArvinMeritor Automotive, Inc.","Automotive - Manufacturing","
Detroit,  
(42.332916, -83.047853)","92","2005","Approved","166","-","-"
"Auto Alliance International, Inc","Automotive - Manufacturing","
Flat Rock,  
(42.089873, -83.286219)","180","2005","Approved","1,389","-","-"
"Metalloid Corporation","Chemicals","
Sturgis,  
(44.41272, -103.513282)","734","2013","Approved","19","-","$78,423"
"Quicken Loans, Inc.","Financial Services","
Livonia,  
(42.39709, -83.36961)","275","2004","Approved","172","-","-"
"AVL Powertrain Engineering, Inc.","Automotive - R&D Testing","
Plymouth,  
(41.95575, -70.664394)","321","2009","Approved","73","-","$2,695,299"
"Century Incorporated","Defense/Military","
Traverse City,  
(44.759092, -85.605469)","686","2011","Approved","19","-","$4,691,345"
"Detroit Diesel Corporation","Automotive - Manufacturing","
Detroit,  
(42.332916, -83.047853)","657","2013","Approved","-","1,697","$45,982,886"
"Kostal of America, Inc.","Automotive - Manufacturing","
Troy,  
(42.727684, -73.691059)","358","2010","Approved","25","-","-"
"Ford Motor Company","Automotive - Manufacturing","
Wayne,  
(40.927178, -74.231046)","221","2006","Approved","-","2,216","-"
"Kostal of America, Inc.","Automotive - Manufacturing","
Troy,  
(42.727684, -73.691059)","358","2011","Approved","26","-","-"
"Magna Electronics","Alt. Energy - Advanced Energy Storage","
Holly,  
(42.791893, -83.627648)","598","2011","Approved","115","-","-"
"Hyundai-Kia America Technical Center, Inc.","Automotive - Manufacturing","
Superior Township,  
(42.303179, -83.603236)","213","2010","Approved","94","-","$28,780,817"
"Asama Coldwater Manufacturing, Inc.","Automotive - Manufacturing","
Coldwater,  
(41.940611, -85.000721)","19","1999","Approved","216","-","-"
"Ford Motor Company","Automotive - Manufacturing","
Dearborn,  
(42.322141, -83.17594)","129","2004","Approved","-","2315","-"
"Hyundai-Kia America Technical Center, Inc.","Automotive - Manufacturing","
Superior Township,  
(42.303179, -83.603236)","213","2008","Approved","100","-","-"
"Webasto Roof Systems Inc.","Automotive - Manufacturing","
Rochester Hills,  
(42.652398, -83.132561)","557","2010","Did Not Qualify","-","-","-"
"BASF Corporation","Chemicals","
Wyandotte,  
(42.201008, -83.150254)","338","2008","Approved","83","-","-"
"Dokka Fasteners, Incorporated","Alt. Energy - Wind","
Auburn Hills,  
(42.672504, -83.225448)","698","2013","Approved","29","-","$79,196"
"General Motors LLC","Automotive - Manufacturing","
Ypsilanti,  
(42.239806, -83.614543)","191","2009.2","Approved","-","516","-"
"Consolidated Resource Imaging, LLC","Defense/Military","
Grand Rapids,  
(42.965446, -85.670209)","591","2012","Approved","20","-","$18,772"
"Faurecia Interior Systems Usa-Fountain Inn, Inc","Automotive - Manufacturing","
Auburn Hills,  
(42.672504, -83.225448)","195","2008","Approved","181","-","-"
"Chrysler Group LLC","Financial Services","
Auburn Hills,  
(42.672504, -83.225448)","91","2006","Approved","389","-","-"
"Federal-Mogul Products, Inc.","Automotive - Manufacturing","
Southfield,  
(42.477952, -83.240756)","265","2005","Approved","-","1,866","$9,073,133"
"Comcast Corporation","Call Center","
Sterling Heights,  
(42.58968, -83.011059)","299","2008","Approved","190","-","-"
"Engineered Machined Products, Inc.","Automotive - Manufacturing","
Escanaba,  
(45.745727, -87.071273)","53","2010","Approved","82","-","$992,582"
"Kostal Kontakt Systeme, Inc.","Alt. Energy - Solar","
Rochester Hills,  
(42.652398, -83.132561)","680","2012","Approved","71","-","-"
"BASF Corporation","Chemicals","
Wyandotte,  
(42.201008, -83.150254)","338","2012","Approved","70","-","-"
