"project_industry","company_name","application_number","tax_year","status","actual_jobs_created","actual_jobs_retained","capital_investment_reported","city"
"Alternative Energy - Other","United Solar Ovonic Corporation","288","2010","Approved","138",,,"Auburn Hills"
"Alternative Energy - Other","United Solar Ovonic Corporation","288","2011","Approved","121",,,"Auburn Hills"
"Alternative Energy - Other","United Solar Ovonic, LLC","312","2008","Approved","171",,"209327205","Greenville"
"Alternative Energy - Other","United Solar Ovonic, LLC","312","2009","Approved","277",,,"Greenville"
"Alternative Energy - Other","United Solar Ovonic, LLC","312","2010","Approved","123",,,"Greenville"
"Alternative Energy - Other","United Solar Ovonic, LLC","312","2011","Approved","258",,,"Greenville"
"Alternate Energy - Solar","Hemlock Semiconductor Corporation","365","2008","Approved","76",,,"Hemlock"
"Alternate Energy - Solar","Hemlock Semiconductor Corporation","365","2009","Approved","225",,,"Hemlock"
"Alternate Energy - Solar","Hemlock Semiconductor Corporation","365","2010","Approved","270",,,"Hemlock"
"Alternate Energy - Solar","Hemlock Semiconductor Corporation","365","2011","Approved","269",,,"Hemlock"
"Alternate Energy - Solar","Hemlock Semiconductor Corporation","365","2012","Approved","269",,,"Hemlock"
"Alternate Energy - Solar","Hemlock Semiconductor Corporation","365","2013","Approved","225",,,"Hemlock"
"Alternate Energy - Solar","Hemlock Semiconductor Corporation","365","2014","Approved","270",,,"Hemlock"
"Alternate Energy - Solar","Hemlock Semiconductor Corporation","495","2011","Approved","137",,,"Hemlock"
"Alternate Energy - Solar","Hemlock Semiconductor Corporation","495","2012","Approved","152",,,"Hemlock"
"Alternate Energy - Solar","Hemlock Semiconductor Corporation","495","2013","Did Not Qualify",,,,"Hemlock"
"Alternate Energy - Solar","Hemlock Semiconductor Corporation","495","2014","Approved","7",,,"Hemlock"
"Alternate Energy - Solar","The Dow Chemical Company","623","2011","Approved","481",,"111677336","Midland"
"Alternate Energy - Solar","The Dow Chemical Company","623","2012","Approved","678",,"123182080","Midland"
"Alternate Energy - Solar","The Dow Chemical Company","623","2013","Approved","356",,"167585203","Midland"
"Alternate Energy - Wind","Cascade Engineering, Inc.","664","2011","Approved","19",,"645202","Grand Rapids"
"Other","Rec Boat Holdings, LLC","140","2003","Approved","697",,,"Cadillac"
"Alternate Energy - Wind","Cascade Engineering, Inc.","664","2012.1","Approved","50",,"61503","Grand Rapids"
"Alternate Energy - Wind","Cascade Engineering, Inc.","664","2012.2","Approved","71",,"491736","Grand Rapids"
"Alternate Energy - Wind","Cascade Engineering, Inc.","664","2013","Approved","72",,"1198441","Grand Rapids"
"Alternate Energy - Wind","Danotek Motion Technologies, LLC","456","2009","Approved","8",,"2580252","Canton"
"Alternate Energy - Wind","Danotek Motion Technologies, LLC","456","2010","Approved","14",,"2371909","Canton"
"Alternate Energy - Wind","Danotek Motion Technologies, LLC","456","2011","Approved","37",,"921746","Canton"
"Alternate Energy - Wind","Dokka Fasteners, Incorporated","698","2011","Approved","27",,"8328170","Auburn Hills"
"Alternate Energy - Wind","Dokka Fasteners, Incorporated","698","2012","Approved","35",,"12204008","Auburn Hills"
"Alternate Energy - Wind","Dokka Fasteners, Incorporated","698","2013","Approved","29",,"79196","Auburn Hills"
"Alternate Energy - Wind","Dokka Fasteners, Incorporated","698","2014","Approved","33",,"74131","Auburn Hills"
"Alternate Energy - Wind","Energetx Composites, LLC","553","2011","Approved","24",,,"Holland"
"Alternate Energy - Wind","Energetx Composites, LLC","553","2012.1","Approved","32",,,"Holland"
"Alternate Energy - Wind","Energetx Composites, LLC","553","2012.2","Approved","53",,,"Holland"
"Automotive - Manufacturing","Acument Global Technologies","714","2011","Approved","50",,"5285595","Sterling Heights"
"Automotive - Manufacturing","Acument Global Technologies","714","2012","Approved","93",,"2289722","Sterling Heights"
"Automotive - Manufacturing","Acument Global Technologies","714","2013","Approved","112",,,"Sterling Heights"
"Automotive - Manufacturing","Acument Global Technologies","714","2014","Approved","97",,,"Sterling Heights"
"Automotive - Manufacturing","Affinia Group Inc.","266","2007","Approved","65",,,"Ann Arbor"
"Automotive - Manufacturing","Akebono Brake Corporation","589","2010","Approved","59",,"1157883","Farmington Hills"
"Automotive - Manufacturing","Akebono Brake Corporation","589","2011","Approved","83",,"3401931","Farmington Hills"
"Automotive - Manufacturing","Alphi Manufacturing, Inc.","246","2005","Approved","26",,,"Jonesville"
"Automotive - Manufacturing","Alphi Manufacturing, Inc.","246","2006","Approved","72",,,"Jonesville"
"Automotive - Manufacturing","Alphi Manufacturing, Inc.","246","2007","Approved","60",,,"Jonesville"
"Automotive - Manufacturing","American Axle & Manufacturing, Inc.","107","2002","Approved","233",,,"Three Rivers"
"Automotive - Manufacturing","American Axle & Manufacturing, Inc.","107","2003","Approved","233",,,"Three Rivers"
"Automotive - Manufacturing","American Axle & Manufacturing, Inc.","107","2004","Approved","205",,,"Three Rivers"
"Automotive - Manufacturing","ArvinMeritor Automotive, Inc.","92","2001","Approved","166",,,"Detroit"
"Automotive - Manufacturing","ArvinMeritor Automotive, Inc.","92","2002","Approved","157",,,"Detroit"
"Automotive - Manufacturing","ArvinMeritor Automotive, Inc.","92","2003","Approved","166",,,"Detroit"
"Automotive - Manufacturing","ArvinMeritor Automotive, Inc.","92","2004","Approved","166",,,"Detroit"
"Automotive - Manufacturing","ArvinMeritor Automotive, Inc.","92","2005","Approved","166",,,"Detroit"
"Automotive - Manufacturing","ArvinMeritor Automotive, Inc.","92","2006.1","Approved","157",,,"Detroit"
"Automotive - Manufacturing","ArvinMeritor Automotive, Inc.","92","2006.2","Approved","172",,,"Detroit"
"Automotive - Manufacturing","ArvinMeritor Automotive, Inc.","92","2007.1","Approved","123",,,"Detroit"
"Automotive - Manufacturing","ArvinMeritor Automotive, Inc.","92","2007.2","Approved","125",,,"Detroit"
"Automotive - Manufacturing","Asama Coldwater Manufacturing, Inc.","19","1998","Approved","164",,,"Coldwater"
"Automotive - Manufacturing","Asama Coldwater Manufacturing, Inc.","19","1999","Approved","216",,,"Coldwater"
"Automotive - Manufacturing","Asama Coldwater Manufacturing, Inc.","19","2000","Approved","272",,,"Coldwater"
"Automotive - Manufacturing","Asama Coldwater Manufacturing, Inc.","19","2001","Approved","293",,,"Coldwater"
"Automotive - Manufacturing","Asama Coldwater Manufacturing, Inc.","19","2002","Approved","300",,,"Coldwater"
"Automotive - Manufacturing","Asama Coldwater Manufacturing, Inc.","19","2003","Approved","300",,,"Coldwater"
"Automotive - Manufacturing","Asama Coldwater Manufacturing, Inc.","19","2004","Approved","300",,,"Coldwater"
"Automotive - Manufacturing","Asama Coldwater Manufacturing, Inc.","19","2005","Approved","288",,,"Coldwater"
"Automotive - Manufacturing","Asama Coldwater Manufacturing, Inc.","19","2006","Approved","300",,,"Coldwater"
"Automotive - Manufacturing","ASIMCO Camshaft Specialties","34","1998","Approved","98",,,"Grand Haven"
"Automotive - Manufacturing","ASIMCO Camshaft Specialties","34","1999","Approved","140",,,"Grand Haven"
"Automotive - Manufacturing","ASIMCO Camshaft Specialties","34","2000","Approved","146",,,"Grand Haven"
"Automotive - Manufacturing","ASIMCO Camshaft Specialties","34","2001","Approved","117",,,"Grand Haven"
"Automotive - Manufacturing","Auto Alliance International, Inc","180","2004","Approved","1389",,,"Flat Rock"
"Automotive - Manufacturing","Auto Alliance International, Inc","180","2004","Approved",,"1961","547000000","Flat Rock"
"Automotive - Manufacturing","Auto Alliance International, Inc","180","2005","Approved","1389",,,"Flat Rock"
"Automotive - Manufacturing","Auto Alliance International, Inc","180","2005","Approved",,"1961",,"Flat Rock"
"Automotive - Manufacturing","Auto Alliance International, Inc","180","2006","Approved","1121",,,"Flat Rock"
"Automotive - Manufacturing","Auto Alliance International, Inc","180","2006","Approved",,"1961",,"Flat Rock"
"Automotive - Manufacturing","Auto Alliance International, Inc","180","2007","Approved","1073",,,"Flat Rock"
"Automotive - Manufacturing","Auto Alliance International, Inc","180","2007","Approved",,"1961",,"Flat Rock"
"Automotive - Manufacturing","Auto Alliance International, Inc","180","2008","Approved","972",,,"Flat Rock"
"Automotive - Manufacturing","Auto Alliance International, Inc","180","2008","Approved",,"1961",,"Flat Rock"
"Automotive - Manufacturing","Auto Alliance International, Inc","180","2009","Approved","88",,,"Flat Rock"
"Automotive - Manufacturing","Auto Alliance International, Inc","180","2009","Approved",,"1961",,"Flat Rock"
"Automotive - Manufacturing","Auto Alliance International, Inc","180","2010","Approved","75",,,"Flat Rock"
"Automotive - Manufacturing","Auto Alliance International, Inc","180","2010","Approved",,"2165",,"Flat Rock"
"Automotive - Manufacturing","Avon Automotive","328","2007","Approved",,"414","283377","Cadillac"
"Automotive - Manufacturing","Axle Alliance","173","2004","Approved","126",,,"Redford Township"
"Automotive - Manufacturing","Axle Alliance","173","2008","Approved","78",,,"Redford Township"
"Automotive - Manufacturing","Axle Alliance","173","2011","Approved","85",,,"Redford Township"
"Automotive - Manufacturing","Axle Alliance","173","2012","Approved","108",,,"Redford Township"
"Automotive - Manufacturing","Axle Alliance","173","2013","Approved","177",,,"Redford Township"
"Automotive - Manufacturing","Behr America, Inc","95","2002","Approved","83",,,"Troy"
"Automotive - Manufacturing","Behr America, Inc","95","2003","Approved","92",,,"Troy"
"Automotive - Manufacturing","Behr America, Inc","95","2004","Approved","105",,,"Troy"
"Automotive - Manufacturing","Behr America, Inc","95","2005","Approved","105",,,"Troy"
"Automotive - Manufacturing","Behr America, Inc","95","2006","Approved","105",,,"Troy"
"Automotive - Manufacturing","Behr America, Inc","95","2007","Approved","105",,,"Troy"
"Automotive - Manufacturing","Behr America, Inc","95","2008","Approved","105",,,"Troy"
"Automotive - Manufacturing","Behr America, Inc","95","2009","Approved","105",,,"Troy"
"Automotive - Manufacturing","Behr America, Inc","95","2010","Approved","105",,"931466","Troy"
"Automotive - Manufacturing","Behr America, Inc","95","2011","Approved","142",,"51437","Troy"
"Automotive - Manufacturing","Behr-Hella Thermocontrol, Inc.","406","2009","Approved","7",,,"Wixom"
"Automotive - Manufacturing","Behr-Hella Thermocontrol, Inc.","406","2010","Approved","22",,,"Wixom"
"Automotive - Manufacturing","Benteler Automotive Corporation","737","2012","Approved","234",,"427974","Auburn Hills"
"Automotive - Manufacturing","Benteler Automotive Corporation","737","2013","Approved","201",,"340257","Auburn Hills"
"Automotive - Manufacturing","Benteler Automotive Corporation","737","2014","Approved","312",,"11571993","Auburn Hills"
"Automotive - Manufacturing","BMW Hybrid Technology Corporation","357","2006","Approved","51",,,"Troy"
"Automotive - Manufacturing","BMW Hybrid Technology Corporation","357","2007","Approved","59",,,"Troy"
"Automotive - Manufacturing","BMW Hybrid Technology Corporation","357","2008","Approved","55",,,"Troy"
"Automotive - Manufacturing","BorgWarner, Inc.","214","2005","Approved","90",,,"Auburn Hills"
"Automotive - Manufacturing","BorgWarner, Inc.","214","2006","Approved","85",,,"Auburn Hills"
"Automotive - Manufacturing","BorgWarner, Inc.","214","2007","Did Not Qualify","69",,,"Auburn Hills"
"Automotive - Manufacturing","Bosal","40","1999","Approved","110",,,"Warren"
"Automotive - Manufacturing","Bosal","40","2000","Approved","110",,,"Warren"
"Automotive - Manufacturing","Bosal","40","2001","Approved","110",,,"Warren"
"Automotive - Manufacturing","Bosal","40","2002","Approved","110",,,"Warren"
"Automotive - Manufacturing","Bosal","40","2003","Approved","110",,,"Warren"
"Automotive - Manufacturing","Brembo North America Homer, Inc","433","2009","Approved",,"101","11309183","Homer"
"Automotive - Manufacturing","Brembo North America Homer, Inc","433","2010","Approved","68",,,"Homer"
"Automotive - Manufacturing","Brembo North America Homer, Inc","433","2010","Approved",,"105","5470961","Homer"
"Automotive - Manufacturing","Brembo North America Homer, Inc","433","2011","Approved","110",,,"Homer"
"Automotive - Manufacturing","Brembo North America Homer, Inc","433","2011","Approved",,"106","10828084","Homer"
"Automotive - Manufacturing","Brembo North America Homer, Inc","433","2012","Approved","144",,,"Homer"
"Automotive - Manufacturing","Brembo North America Homer, Inc","433","2012","Approved",,"107","11223567","Homer"
"Automotive - Manufacturing","Brembo North America Homer, Inc","433","2013","Approved","239",,,"Homer"
"Automotive - Manufacturing","Brembo North America Homer, Inc","433","2013","Approved",,"104","50119768","Homer"
"Automotive - Manufacturing","Brembo North America Homer, Inc","433","2014","Approved","337",,,"Homer"
"Automotive - Manufacturing","Brose North America, Inc.","187","2005","Approved","138",,,"Auburn Hills"
"Automotive - Manufacturing","Brose North America, Inc.","187","2006","Approved","119",,,"Auburn Hills"
"Automotive - Manufacturing","Brose North America, Inc.","187","2007","Approved","157",,,"Auburn Hills"
"Automotive - Manufacturing","Brose North America, Inc.","187","2008","Approved","191",,,"Auburn Hills"
"Automotive - Manufacturing","Brose North America, Inc.","187","2009","Approved","172",,"840891","Auburn Hills"
"Automotive - Manufacturing","Brose North America, Inc.","187","2010","Approved","192",,"1959192","Auburn Hills"
"Automotive - Manufacturing","Brose North America, Inc.","187","2011","Approved","232",,"1741701","Auburn Hills"
"Automotive - Manufacturing","Brose North America, Inc.","187","2012","Approved","248",,"1274902","Auburn Hills"
"Automotive - Manufacturing","Brose North America, Inc.","187","2013","Approved","277",,,"Auburn Hills"
"Automotive - Manufacturing","Caparo Vehicle Components, Inc.","608","2010","Approved",,"131","8184288","Novi"
"Automotive - Manufacturing","Caparo Vehicle Components, Inc.","608","2011","Approved",,"133","131402","Novi"
"Automotive - Manufacturing","Changan US R&D Center, Inc","726","2012","Approved","18",,"224386","Plymouth"
"Automotive - Manufacturing","Changan US R&D Center, Inc","726","2013","Approved","20",,"141026","Plymouth"
"Automotive - Manufacturing","Changan US R&D Center, Inc","726","2014","Approved","29",,"1852709","Plymouth"
"Automotive - Manufacturing","Chrysler Group LLC","356","2006","Approved","204",,,"Auburn Hills"
"Automotive - Manufacturing","Chrysler Group LLC","356","2007.1","Approved","219",,,"Auburn Hills"
"Automotive - Manufacturing","Chrysler Group LLC","356","2007.2","Approved","246",,,"Auburn Hills"
"Automotive - Manufacturing","Chrysler Group LLC","356","2008","Approved","227",,,"Auburn Hills"
"Automotive - Manufacturing","Chrysler Group LLC","356","2009","Approved","45",,,"Auburn Hills"
"Automotive - Manufacturing","Chrysler Group LLC","366","2010","Did Not Qualify",,"328",,"Trenton"
"Automotive - Manufacturing","Chrysler Group LLC","366","2011","Approved",,"484","55821956","Trenton"
"Automotive - Manufacturing","Chrysler Group LLC","394","2010","Approved",,"243","319030210","Detroit"
"Automotive - Manufacturing","Chrysler Group LLC","394","2011","Approved",,"356","20559274","Detroit"
"Automotive - Manufacturing","Chrysler LLC","273","2007","Approved",,"5123","487253000","Sterling Heights"
"Automotive - Manufacturing","Chrysler LLC","273","2008.1","Approved",,"4567",,"Sterling Heights"
"Automotive - Manufacturing","Chrysler LLC","273","2008.2","Approved",,"3420",,"Sterling Heights"
"Automotive - Manufacturing","Chrysler LLC","273","2010","Approved",,"2692",,"Sterling Heights"
"Automotive - Manufacturing","Chrysler LLC","273","2011","Approved",,"3870","101587233","Sterling Heights"
"Automotive - Manufacturing","Delphi Corporation","106","2002","Approved","600",,,"Troy"
"Automotive - Manufacturing","Delphi Corporation","106","2003","Approved","600",,,"Troy"
"Automotive - Manufacturing","Delphi Corporation","106","2004","Approved","600",,,"Troy"
"Automotive - Manufacturing","Delphi Corporation","106","2005","Approved","600",,,"Troy"
"Automotive - Manufacturing","Delphi Corporation","106","2006","Approved","500",,,"Troy"
"Automotive - Manufacturing","Delphi Corporation","106","2007","Approved","456",,,"Troy"
"Automotive - Manufacturing","Delphi Corporation","106","2008","Approved","387",,,"Troy"
"Automotive - Manufacturing","Delphi Corporation","106","2009","Approved","239",,,"Troy"
"Automotive - Manufacturing","Delphi Corporation","364","2010","Approved",,"925","21800000","Troy"
"Automotive - Manufacturing","Delphi Corporation","364","2011","Approved",,"896",,"Troy"
"Automotive - Manufacturing","Delphi Corporation","364","2012","Approved",,"1085",,"Troy"
"Automotive - Manufacturing","Delphi Corporation","364","2013","Approved",,"1090",,"Troy"
"Automotive - Manufacturing","Detroit Chassis, LLC","69","2000","Approved","226",,,"Detroit"
"Automotive - Manufacturing","Detroit Chassis, LLC","69","2001.1","Approved","88",,,"Detroit"
"Automotive - Manufacturing","Detroit Chassis, LLC","69","2001.2","Approved","78",,,"Detroit"
"Automotive - Manufacturing","Detroit Diesel Corporation","657","2011","Approved",,"1013","74720834","Detroit"
"Automotive - Manufacturing","Detroit Diesel Corporation","657","2012","Approved",,"1522","50827848","Detroit"
"Automotive - Manufacturing","Detroit Diesel Corporation","657","2013","Approved",,"1697","45982886","Detroit"
"Automotive - Manufacturing","Detroit Manufacturing Systems, LLC","775","2013","Approved","564",,"21597053","Detroit"
"Automotive - Manufacturing","EcoMotors International","421","2010","Approved","6",,"317042","Allen Park"
"Automotive - Manufacturing","EcoMotors International","421","2011","Approved","21",,"374721","Allen Park"
"Automotive - Manufacturing","EcoMotors International","421","2012","Approved","32",,"63668","Allen Park"
"Automotive - Manufacturing","EcoMotors International","421","2013","Approved","22",,"16816","Allen Park"
"Automotive - Manufacturing","EcoMotors International","421","2014","Approved","32",,,"Allen Park"
"Automotive - Manufacturing","Engineered Machined Products, Inc.","53","1999","Approved","78",,,"Escanaba"
"Automotive - Manufacturing","Engineered Machined Products, Inc.","53","2000","Approved","98",,,"Escanaba"
