"item","nombre_del_establecimiento","nombre_del_representante","fecha_de_apertura_del","direcci_n"
"26","ATENAS S&M CONFECCIONES FORTUL","ARCINIEGAS BLANCO YOHANA","1995-01-01T00:00:00.000","K 20 6 26 BR CENTRO"
"27","SISTEM LINE COMPUTO","ARDILA DIAZ DARWIN","2014-01-01T00:00:00.000","C 8 19 BR RAMIREZ"
"28","COOTRANAL","ARDILA GARCIA CLIMACO","2010-01-01T00:00:00.000","C 7 14 57  BR RAMIREZ"
"29","TALLER MIRANDA MOTOS","ARDILA MIRANDA JULIO","2016-06-21T00:00:00.000","C 12 7 05 BR RAMIREZ"
"30","FERRETERIA LA GRAN ESQUINA","AREVALO LOPEZ ZAMIR ALFONSO","2005-04-29T00:00:00.000","CALL 7 - 25 - 06"
"31","CERAMICAS Y ACABADOS FORTUL","AREVALO SALAMANCA MAIRA YURIANI","2017-01-01T00:00:00.000","K 26 8 35 BR 12 OCTUBRE"
"32","MULTISERVICIOS","ARGUELLO CUESTA NIDIAN","2015-01-01T00:00:00.000","K 25 6 06 02 BR CENTRO"
"33","TALLER MOTO MICHELL","ARGUELLO ORDOÑEZ CRISOSTOMO","2016-01-01T00:00:00.000","C 6 24 02 BR CENTRO"
"34","INTERCOMUNICATE KIL","ARIAS BARRETO LOYDA","2010-02-05T00:00:00.000","C 7 23 37 BR CENTRO"
"35","TALLER MOTO ÉXITO","ARIAS GALVIS YEISON","2004-03-17T00:00:00.000","CLL 7 Nº 13-79"
"36","VIVERES NUEVO IDEAL","ARIAS MURILLO ANGELICA KATHERINE","2017-11-30T00:00:00.000","C 7 2516 BR CENTRO"
"37","CENTRO ODONTOLOGICO INGRID LORENAS","ARIAS SIACHOQUE INGRID LORENA","2017-10-01T00:00:00.000","C 7 15 65 BR RAMIREZ"
"38","SERVIOBRAS Y SUMINISTROS LTDA","ARIAS TORRES WALTER",,"K 15 6 28 BR RAMIREZ"
"39","SALA DE BELLEZA MADY LUD","ARIZA ASCANIO MADY","2013-06-26T00:00:00.000","C 7 13 27 BR RAMIREZ"
"40","CANTINA LILIANA","ARIZA HERREÑO AGUSTINA","2013-09-24T00:00:00.000","CARANAL"
"41","CENTRO DE BELLEZA JLA","ARIZA HERREÑO JORGE LEONARDO","2016-01-01T00:00:00.000","C 7 22 57 BR CENTRO"
"42","SALA DE BELLEZA YURANY FASHION","ARIZA QUIROGA YURANY","2011-05-12T00:00:00.000","CLL 7 Nº 21-32 B, CENTRO"
"43","FRUTAS Y VERDURAS GUADALUPE","ARTETA DEL JAI GUADALUPE ESTHER","2016-07-01T00:00:00.000","C 7 14 65 BR RAMIREZ"
"44","MONTALLANTAS EL DESVARE","ASCANIO REINEL","1990-01-01T00:00:00.000","CLL 7 Nº 13-13 B. RAMIREZ"
"45","ASOCIACION FORTUL JOVEN","ASOCIACION FORTUL JOVEN","2014-05-14T00:00:00.000","C 7 24 15 BR CENTRO"
"46","ASOMAVICFOR","ASOMAVICFOR","2014-04-09T00:00:00.000","K 19 A 9-22 ADAN"
"47","ASOVIDESFOR","ASOVIDESFOR",,"C 12 18 10 BR RECREO"
"48","SERVICIOS MEDICOS Y DROGUERIA","ASSALUD",,"K 16A  7 49 BR RAMIREZ"
"49","SANTY PAULA UÑAS","ASTROZA GONZALEZ SLENDY BRIGITH","2017-01-01T00:00:00.000","C 7 22 36 SEGUNDO PISO"
"50","TIENDA LWINLLY","ATENZA ROSAURA","2011-03-23T00:00:00.000","C 9 17 15 R MILTON BASTOS"
"51","CONSTRUCTORA JEMHA","ATUESTA JOSE MAURICIO","2016-01-01T00:00:00.000","BR EL ROBLE"
"52","MULTISERVICIOS SERVI FORTUL","ATUESTA SUAREZ LUISA","2017-01-01T00:00:00.000","K 24 6 37 BR CENTRO"
"53","ALMACEN Y BICICLETERIA FORTIN","ATUESTA SUAREZ VALENTIN","2013-03-18T00:00:00.000","C 7 23 53 BR CENTRO"
"54","AVANTEL S.AS.","AVANTEL S.A.S","2018-03-22T00:00:00.000","K 11 93 92  BOGOTA"
"55","AVIDTEL","MENDEZ CASTELLANOS DAVID","2016-06-24T00:00:00.000","K 17 20 16 SARAVENA"
"56","ALMACEN Y CONFECCIONES LA GRAN VIDA","AYALA MORENO OSCAR","2015-05-28T00:00:00.000","C 9 18012 BR EL ROBLE"
"57","SUPER DROGAS CASTILLO","BACCA RENGIFO HECTOR ELIECER","1989-01-01T00:00:00.000","CLL 7 Nº 24-02-08 B. CENTRO"
"58","FRESQUERIA Y BILLARES DEL LLANO","BALAGUERA DELMIRA","1992-09-01T00:00:00.000","BARRIO RAMIREZ"
"59","BILLARES EL CACIQUE","BALMASEDA GARCIA DIANA ESMERALDA","2016-08-01T00:00:00.000","2DO PISO EL REGALAZO"
"60","BANCO AGRARIO DE COLOMBIA","BANCO AGRARIO DE COLOMBIA","1998-11-06T00:00:00.000","CLL 7 Nº 25-35 B. CENTRO"
"61","BANSERVICIOS","BANSERIVICIOS -MONTEJO MADARIAGA EUNICE ESTELA","2014-03-20T00:00:00.000","C 7 24 12 BR CENTRO"
"62","FRESQUERIA DAMIAN","BARBOSA  CARMEN CECILIA","2018-01-01T00:00:00.000","C 7 23 74 B CENTRO"
"63","RESTAURANTE Y PIQUETEADERO SANTANDER","BARON ORTEGA ELENID","2017-01-01T00:00:00.000","C 720 10 BR CENTRO"
"64","PAPELERIA Y VARIEDADES BARRERA","BARRERA MACHUCA  AURELIANO","2015-01-01T00:00:00.000","C 7 17 04 BR RAMIREZ"
"65","RESTAURANTE SANTANERO","BARRETO ARENAS MARIELA","2004-08-01T00:00:00.000","C 7 17 62 BR RAMIREZ"
"66","TIENDA Y FRESQUERIA EL PORTAL DEL LLANO","BARRETO ARENAS MARTHA","2006-01-12T00:00:00.000","CLL 7 Nº 17-69-73 B. RAMIREZ"
"67","PACHAMAMA CAFÉ J&A","BARROSO VALENCIA ANGIE DANIELA","2018-10-01T00:00:00.000","K 19 6 43 BR RAMIREZ"
"68","LACTEOS EL CEBU","BASTO NUÑEZ NAHUN","2008-01-25T00:00:00.000","K 17 1 04 URB NUEVO MILENIO"
"69","HOTEL EL MARACANA DE FORTUL","BASTOS NUÑEZ ANA AIDEE","1997-03-25T00:00:00.000","K 26 6-49 B. 12 DE OCTUBRE"
"70","ESTADERO DILAN","BAUTISTA GELVER LUIS ERNESTO","2017-01-01T00:00:00.000","BR EL CENTRO"
"71","REFRESCOS NOHORA","BAUTISTA GUERRERO  ELIDO","2010-07-13T00:00:00.000","C 7  16A 26 BR RAMIREZ"
"72","MERCA TODO VILLA DIEGO","BAUTISTA MARYOLI","2017-01-01T00:00:00.000","K 26 11 04 BR VILLA LUCIA"
"73","CALZADO MONTERITO","BAUTISTA MONTERREY NELLY","2005-05-13T00:00:00.000","CLL 7 Nº 22-24 B. CENTRO"
"74","FERRETERIA FERRE FORTUL","BAUTISTA MONTERREY WILMER ARLEY","2014-01-01T00:00:00.000","C 8 14 39 BR RAMIREZ"
"75","EXPENDIO DE BEBIDAS ALCOHOLICAS","BAUTISTA NELSON","2017-01-01T00:00:00.000","C 10 16A 60 BR EL ROBLE"
"76","ALMACEN Y TALLER MOVIL MOTO","BAUTISTA RAMON EDGAR","2003-07-21T00:00:00.000","C 7 14 780 BR RAMIREZ"
"77","TIENDA SUPER JANETH","BAUTISTA VILLAMIZAR ADOLFO","2014-01-01T00:00:00.000","C 9 18 04 BR EL ROBLE"
"78","VARIEDADES CLAUDIA","BAUTISTA VILLAMIZAR ARGELIDA","2017-01-01T00:00:00.000","C 7 27 76 BR CENTRO"
"79","VERDURAS SURTIFRUVER LA VILLA","BAUTISTA VILLAMIZAR EULICER","2017-01-01T00:00:00.000","C 7 24  17 BR CENTRO"
"80","VIVERES LA OCTAVA","BAUTISTA VILLAMIZAR ROSALBA","2005-05-06T00:00:00.000","KRA 27 -7 - 74"
"81","VERDURAS EL CHURCO","BECERRA VALENCIA JANETH","2016-01-01T00:00:00.000","K 19 7 BR RAMIREZ"
"82","FERRETERIA EL OLIVO","BELLO BLANCA LUCIA","2008-01-01T00:00:00.000","C 8 4 66 CARANAL"
"83","ASADERO DE POLLOS LOS DOS ARBOLITOS","BELLO GORDILLO RUBIELA","1989-05-01T00:00:00.000","CALL 7 - 22 - 03 CENTRO"
"84","COINSAC","BELLO ORTEGA YONI",,"K 20 5 17 BR UNIDOS"
"85","FABRICA DE AGUA LA CEIBA","BELTRAN JORGE","2014-01-01T00:00:00.000","C 7 28 52 BR DOCE DE OCT"
"86","SUPERMERCADO EL NULA","BENITEZ ANA RITA","2007-04-24T00:00:00.000","CARANAL"
"87","TALLER MELKO.COM","BERNAL  MELQUESIDEC","2018-06-01T00:00:00.000","C 6 14 51 BR RAMIREZ"
"88","METALICAS IBERCRUZ","BERNAL CRUZ JOSE IGNACIO","2013-07-30T00:00:00.000","CRA 19A # 9 - 68 ADAN MENDEZ"
"89","SALGADO Y MELENDEZ ASOCIADOS INGENIEROS CONSULTORES S.A","BERNAL LATORRE CARLOS EDUARDO","2017-01-01T00:00:00.000","C 85 9 82"
"90","LA TIENDA DE ESNEIDER","BERNAL PINZON ADRIANO","2010-01-29T00:00:00.000","LA INVASION"
"91","SALA DE BELLEZA SAMAY","BERNAL PINZON LEIDY","2007-09-29T00:00:00.000","C 7 17 63 BR RAMIREZ"
"92","BERU INTERNET","BERU INTERNET - ARIZA JUAN MANUEL","2012-01-01T00:00:00.000","FORTUL"
"93","ALMACEN LOS BLANCOS","BLANCO CAMARON EDUARDO","2017-11-01T00:00:00.000","C 7 15 BR RAMIREZ"
"94","CANTINA LA ESQUINA","BLANCO LEGUIZAMON MILENA","2017-01-01T00:00:00.000","CARANAL"
"95","TALLER EL MONO","BOLIVAR PARADA RIQUELMER","2015-01-01T00:00:00.000","K 24 6 66 BR CENTRO"
"96","AGROVETERINARIA LOS POTRILLOS","BONILLA ANGARITA EDGAR EDUARDO","2016-12-01T00:00:00.000","C 7 25 48 BR CENTRO"
"97","TECNOTOP","BOTERO OCAMPO GERSON","2013-09-03T00:00:00.000","CALLE 7 24 15 CENTRO"
"98","ASOCIACION FORTUL JOVEN","BOTERO OCAMPO GERSON","2014-05-14T00:00:00.000","C 7 24 15 BR CENTRO"
"99","CHANO CEL","BUENO QUINTERO GRACILIANO","2004-01-09T00:00:00.000","C 7 17 66 BR RAMIREZ"
"100","TALLER DE MECANICA MOTOS ROBLE","BUITRAGO SEGUNDO","2012-01-01T00:00:00.000","K 18 9 12 BR EL ROBLE"
"101","BUREAU VERITAS COLOMBIA LTDA","BUREAU VERITAS COLOMBIA LTDA","2017-01-01T00:00:00.000","C 72 82 PISO 3"
"102","TALLER EL BUEN PASTOR","BURGOS CARRILLO FACUNDO","2006-08-01T00:00:00.000","LA INVASION"
"103","RESTAURANTE CASERO","BUSTAMANTE YENNY LORENA","2016-07-01T00:00:00.000","C 7 19 61 BR RAMIREZ"
"104","BUSTOS DIAZ S EN CS","BUSTOS DIAZ S EN CS","2017-01-01T00:00:00.000","K 19 20 16 BUCARAMANGA"
"105","RESTAURANTE","CABALLERO NANCY","2018-05-15T00:00:00.000","C 7 23 48 BR CENTRO"
"106","CARPINTERIA & EBANISTERIA MAC GYVER","CACERES CARLOS","2017-01-01T00:00:00.000","C 10 16A 04 BR  RECREO"
"107","MICRO MERCADO FERCHOS","CACERES GUERRERO ULFRIDO","2005-12-30T00:00:00.000","K 26 Nº 11-66 B. 12 DE OCT"
"108","MEGAMERCA SHAYULAND","CACERES OVIEDO ZORAIDA","2017-01-01T00:00:00.000","C 9A 18 04 BR EL ROBLE"
"109","COMRCIALIZADORA FACE COLOR´S YANDY","CACUA GUARIN YANINA","2016-03-06T00:00:00.000","C 7 18 27 BR RAMIREZ"
"110","AUTOSERVICIO KARLY","CALDERON PABON MARIA GRISELA","2017-01-01T00:00:00.000","K 24 8 58 BR CENTRO"
"111","TIENDA LOS TURPIALES DE FORTUL","CALDERON VARGAS HERMENCIA","1997-08-27T00:00:00.000","C 8  28-05 B. MILTON BASTOS"
"112","ESTADERO EL MIXTO","CALLE LUIS DARIO","2007-09-10T00:00:00.000","MILAGRO"
"113","TALLER PITER MOTOS","CALLEJAS PEDRO HELI","2017-01-01T00:00:00.000","C 7 18 29 BR RAMIREZ"
"114","TABERNA BAR LA BARRA.COM","CALVO GOMEZ WILLIGYAMI HERNANDO","2000-12-06T00:00:00.000","CRA 25 Nº 6-22 B. EL CENTRO"
"115","ALMACEN  TODO A CINCO MIL","CAMACHO YEINY","2017-09-22T00:00:00.000","CARANAL"
"116","DEPOSITO BAVARIA","CAMARGO CAMARGO YESSICA VIVIANA","2001-06-29T00:00:00.000","C 7 17 44 BR RAMIREZ"
"117","ESTANCO IDEAL","CAMARGO PEÑA EDUARDO","2013-09-05T00:00:00.000","K 22 6 36 BR CENTRO"
"118","APOLO 13","CAMARGO PEÑA EDUARDO",,
"119","CONSTRUCCIONES Y SUMINISTROS C&T SAS","CAMARGO QUIÑONEZ CRISTIAN EDUARDO","2016-03-09T00:00:00.000","C 6 22 03 BR UNIDOS"
"120","MUEBLES ROMANCE DE LUNA","CAMARGO RUEDA VLADIMIR","2011-11-30T00:00:00.000","C 7 14 57 BR RAMIREZ"
"121","ESTADERO MI LLANURA","CAMARGO VALDERRAMA ANA OTILIA","1992-08-27T00:00:00.000","C 7 20 68 BR CENTRO"
"122","SKY MOVIL","CAMPO  BARRETO YENIFER TATIANA","2012-01-01T00:00:00.000","C 7 15 15 BR RAMIREZ"
"123","TODO A 5000","CAMPOS BLANCA","2016-06-01T00:00:00.000","C 7 20 16 BR CENTRO"
"124","ALMACEN DE ROPA Y ZAPATOS","CAMPOS MILENA",,"C 7 16 71 BR RAMIREZ"
"125","SURTIVIVERES JANETH","CANO PASTORA","2016-01-01T00:00:00.000","CASERIO PALMARITO"
"126","ALMACEN Y GASOLINERA ORIENTAL","CANO SIERVO TULIO","1996-07-08T00:00:00.000","K 14 6 49 B. RAMIREZ"
"127","CANTINA RECUERDOS DE ELLA","CARDENAS HECTOR","2018-03-01T00:00:00.000","C 7 21 66 BR CENTRO"
"128","RESTAURANTE ANSADY","CARDENAS CEPEDA OMAR","2019-01-22T00:00:00.000","C 7 20 52 BR CENTRO"
"129","COMERCIALIZADORA  YULITZA","CARDONA TANGARIFE CIELO","1989-02-11T00:00:00.000","CLL 7  24 20 B. EL CENTRO"
"130","COFLONORTE LTDA","CARO ESPINDOLA EDINSON HARVEY","2017-01-01T00:00:00.000","C 7 22 04 BR CENTRO"
"131","FLOTA SUGAMUXI","CARO ESPINDOLA EDINSON HARVEY","2010-01-01T00:00:00.000","C 7 22 04 BR CENTRO"
"132","PAPELERIA Y VARIEDADES DARY","CARREÑO BARON LUZ DARY","2016-01-01T00:00:00.000","C 7 17 66 BR RAMIREZ"
"133","CARREÑO CONSTRUYE SAS","CARREÑO TRUJILLO WILSON","2017-01-01T00:00:00.000","K 16A 24 27 BR RAMIREZ"
"134","TOPO SISTEMAS","CARRILLO GOMEZ ALEX LEONARDO","2013-05-08T00:00:00.000","K 23 06 04 BR CENTRO"
"135","SERVICIOS Y CONSTRUCCIONES INDERAU","CARVAJAL SUAREZ HISPLEYDER","2016-01-01T00:00:00.000","C 8A 13 109 URB. EL PRADO 1"
"136","SALA DE BELLEZA LAUDY SOFIA","CASTAÑEDA MARIA LIGIA","2017-01-01T00:00:00.000",
"137","ASADERO DE POLLOS DON BELAR","CASTAÑEDA MONROY MARIA GRACIELA","2001-06-29T00:00:00.000","C 7 22 25 BR CENTRO"
"138","CENTRO ODONTOLOGICO SARA DENT II","CASTELLANOS CONTRERAS NANCY","2011-01-04T00:00:00.000","C 7 16A 46 BR RAMIREZ"
"139","INTERNET JHULY","CASTELLANOS RODRIGUEZ  MARIO ARBEY","2009-03-18T00:00:00.000","C 7  12-05 B. RAMIREZ"
"140","BODEGA LA Y","CASTELLANOS TORRES BENEDICTO","1989-02-03T00:00:00.000","C 7 12 05 B. RAMIREZ"
"141","MISELANEA LA AMISTAD","CASTILLO VARGAS EFRAIN","2001-05-21T00:00:00.000","K 5  5 43 CARANAL"
"142","TALLER Y REPUESTOS EL CONDOR","CASTILLO BARRERA ELICEO","2015-01-01T00:00:00.000","K 4 6 55 CARANAL"
"143","ALMACEN EVA CASTILLO","CASTILLO NANCY","2017-02-07T00:00:00.000","C 7 22 EST"
"144","TALLER DE ROPA","CASTILLO NUBIA","2017-01-01T00:00:00.000","CARANAL"
"145","METALICAS SAN CARLOS","CASTRO JUAN CARLOS","2010-02-26T00:00:00.000","K 26 Nº 7-55 B. 12 DE OCT"
"146","FERROS ACEROS HENRY","CASTRO RUIZ JHON HENRY","2019-03-26T00:00:00.000","K 16 6 36 BR RAMIREZ"
"147","ALMACEN Y VETERINARIA EL BUFALO","CASTRO LINARES WILMER","2010-01-01T00:00:00.000","K 15 5 50CARANAL"
"148","CARNES LA LLANERITA","CELIS GARCIA BERNARDO","2012-01-30T00:00:00.000","C 7 12 46 B. RAMIREZ"
"149","TOMA´S DESTALLES","CELIS GARCIA LUCY OMAIRA","2016-01-01T00:00:00.000","C 7 22 12 BR CENTRO"
"150","ASADERO CON SABOR A LLANO","CELIS MOISES ANTONIO","2015-01-01T00:00:00.000","C 7 12 87 BR RAMIREZ"
"151","VIVERES Y ROPA","CELIS SANTANA ROSALBA","2017-01-01T00:00:00.000","CARANAL"
"152","JF FRIAS POR CAJA","CELON RUBIO JHON FREDY","2016-11-01T00:00:00.000","C 5 22 25 BR UNIDOS"
"153","CIDEC INGENIERIA SAS","CIDEC INGENIERIA SAS","2017-11-30T00:00:00.000","C 12 18 48 YOPAL"
"154","PUL DON PACHO","CHACON ACERO OMAR","2014-11-11T00:00:00.000","K 24 8 63 BR CENTRO"
"155","SUPERMERCADO MACRO FORTUL","CHACON VANEGAS DIOMAR","1988-11-24T00:00:00.000","CLL 7 Nº 25-10 B. CENTRO"
"156","LICORERA EL BARRIL","CHACON VANEGAS DIOMAR","2016-01-01T00:00:00.000","C 7 25 16 BR CENTRO"
"157","AGUA LA CORDILLERA","CHACON VANEGAS JAVIER","2013-01-01T00:00:00.000","C 7 25 16 BR CENTRO"
"158","CERVECERIA LA Y SITIO NUEVO","CHONA PEREZ MARIA ANGELICA","2017-02-24T00:00:00.000","C 7 12 51 BR RAMIREZ"
"159","ALMACEN DE ROPA PAKARI","CHUMA TOCAGON ISABEL","2013-01-01T00:00:00.000","C 7 22 17"
"160","COLMEDICINAS","COLMEDICINAS","2006-02-15T00:00:00.000","K 16A 7 19 B. RAMIREZ"
"161","CANTINA LILIANA","COLMENARES MARTHA LILIA","2017-02-22T00:00:00.000","C 7 17 47 BR RAMIREZ"
"162","COLOMBIA TELECOMUNICACIONES","COLOMBIA TELECOMUNICACIONES","1905-06-25T00:00:00.000","BOGOTA"
"163","COMCEL","COMCEL","2017-11-10T00:00:00.000","K 68A 24B 10"
"164","COMERCIAL ELECTROMUEBLES","COMERCIAL ELECTROMUEBLES","2007-03-18T00:00:00.000","AVEN RONDON 19-29 ARAUCA"
"165","SERVICIOS MEDICOS","COMPARTA",,
"166","CONSULTORIAS, PROYECTOS OLEODUCTO","CONSORCIO ETSA CONCOL","2014-01-01T00:00:00.000","K 13 35 43 PISO 3 BOGOTA"
"167","COINSAC","CONSORCIO INTEGRAL",,
"168","CONTRATACION","CONSUCONAS","2017-12-21T00:00:00.000","MZ E LOTE 12 BRISAS DEL LLANO"
"169","COOTRANSARARE MIREYA CAMACHO","COOTRANSARARE LTDA","2014-02-21T00:00:00.000","C 7 25 32 BR CENTRO"
"170","COOTRANSFORTUL","COOTRANSFORTUL","2005-06-28T00:00:00.000","CALL 7 No. 18 - 75 b. CENTRO"
"171","COOTRANSTAME","COOTRANSTAME","2005-01-01T00:00:00.000","C 7 18 - 75 BR. CENTRO"
"172","CONSTRUCCIONES Y SUMINISTROS Y SALUD","CORDERO TOSCANO YOBANI","2016-01-01T00:00:00.000","K 24 7 73 BR CENTRO"
"173","LACTEOS BOABITANO","CORDOBA JHON JAIRO","2018-04-10T00:00:00.000","CARANAL"
"174","ALMACEN Y TALLER AGROREPUESTOS","CORONADO LOZANO PEDRO PABLO","2017-01-01T00:00:00.000","K 4 5 73 CARANAL"
"175","APOYO A LA EDUCACION","CORPORIENTE","2015-01-01T00:00:00.000","C 7 27 19 BR DOCE DE OCTUBRE"
"176","MINIMERCADO DONDE DIANA","CORREA  MONTERREY MARIA ELIZABETH","1988-05-14T00:00:00.000","CALL 7. 16- 42 B. RAMIREZ"
"177","DROGUERIA DROHOSPI","CORREA FUENTES DAVID ANTONIO","2016-01-01T00:00:00.000","C 7 18 74 BR RAMIREZ"
"178","DROGUERIA MAFER.K","CORREA MECHE FELSOMINA","2017-04-01T00:00:00.000","K 16 7 19 BR RAMIREZ"
"179","ASESORIA, SERVICIOS INTEGRALES JEHOVA YIRETH","CORREA MECHE CAROLINA","2016-12-02T00:00:00.000","K 24 6 27 BR RAMIREZ"
"180","SERVICIOS MEDICOS","CORREA RICARDO","2017-01-01T00:00:00.000","C 7 16 21 BR RAMIREZ"
"181","CANTINA","CORREDOR MARIA","2017-05-12T00:00:00.000","C 7 20 18 BR CENTRO"
"182","CACHARRERIA CORZO","CORZO FUENTES GUSTAVO","2017-08-26T00:00:00.000","PALMARITO"
"183","MUEBLES FUENTES","CORZO FUENTES JESUS","2017-08-26T00:00:00.000","PALMARITO"
"184","DISTRIBUCIONES E&M TECNOLOGY","CRISTANCHO DURAN EDUIN RENE","2018-10-18T00:00:00.000","C 7 24 15 BR CENTRO"
"185","VARIEDADES LAS CHAVAS","CRISTANCHO TOBO FRANCELINA","2011-02-05T00:00:00.000","K 24 6 58 BR CENTRO"
"186","ASERRIO SAN JOSE Y ALMIDONERA","CRUZ JOSE JOAQUIN","2002-01-01T00:00:00.000","BARRIO RAMIREZ"
"187","SPORT  BAR EL FARO","CRUZ LIZCANO LIDA ROCIO","2018-06-01T00:00:00.000","C 4 26 19 BR LA PISTA"
"188","MOTOSTIVEN LAVADO Y MANTENIMIENTO","CUADROS NUÑEZ ROSA CONSUELO","2018-01-01T00:00:00.000","VIA PALO DE AGUA"
"189","SUMINISTROS Y CONSTRUCCIONES A & A S.A.S","CUELLAR ACOSTA DIEGO ALEJANDRO","2016-01-01T00:00:00.000","C 8 27 39"
"190","ALMACEN MUNDO BEBE","CUELLAR MARIA CRISTINA","2012-09-02T00:00:00.000","CALL 7  24 - 67  CENTRO"
"191","COMERCIALIZADORA Y DISTRIBUIDAORA  LOS PAISAS","CUELLAR RUBEN ARTURO","1990-04-20T00:00:00.000","C 7 24 50 BR EL CENTRO"
"192","CENTRO DE BELLEZA JUDITH","DAZA BOHORQUEZ NELSIN YUBIT","2013-09-05T00:00:00.000","C 7 21- 32 BR CENTRO"
"193","FUENTE DE SODA EL PALENQUE","DAZA WILLINTON ORLEY","2008-08-22T00:00:00.000","VEREDA EL PROGRESO"
"194","FRIAS POR CAJAS JJ","DELGADO GONZALEZ RAMON ALEXIS","2019-02-21T00:00:00.000","C4 28 33 BR EL BOSQUE"
"196","SALA DE BELLEZA ZHARIK SOFIA","DIAZ ARIAS LILIANA","2014-01-01T00:00:00.000","C 7 16 71 BR RAMIREZ"
"197","TIENDA EL GAVAN PIONIO","DIAZ VARGAS EZEQUIEL","2017-06-01T00:00:00.000","K 186-24 BR RAMIREZ"
"198","TALABARTERIA ARTES Y ARTES","DIAZ GOMEZ DAVINSON","2015-01-01T00:00:00.000","CARANAL"
"200","DIRECTV","DIRECTV","2017-01-01T00:00:00.000","AK 45 103-60 BOGOTA"
"201","RESTAURANTE Y CAFETERIA NIETOS","DUARTE ALIX LEONOR","2011-01-21T00:00:00.000","C 7 24 47 B. CENTRO"
"202","EXPENDIO DE CARNE EL SANTANDEREANO","DUARTE CARLOS ARTURO","2012-01-30T00:00:00.000","K 24 7 736 B.EL CENTRO"
"203","AGROFUTURO LA Y","DUARTE CUADROS ANDRES","2017-08-01T00:00:00.000","K 12 6 58 BR RAMIREZ"
"204","ALMACEN DE REPUESTOS FUMI MOTOS","DUARTE GAMBOA MANUEL ANTONIO","2017-01-01T00:00:00.000","C 7 14 42 BR RAMIREZ"
"205","TECNISERVICIOS A&A","DUARTE LUNA CARLOS GABRIEL","2018-07-19T00:00:00.000","K 15 5 43 BR RAMIREZ"
