"the_geom","id","ubicacion","longitud_m","estado","barrio","programa"
"MULTILINESTRING ((-74.84325913895944 10.973583989475404, -74.84316182955776 10.97372320133151, -74.84294106846247 10.974069077478244, -74.84279437860226 10.974311621006835, -74.84267237870881 10.974505368874658, -74.8423717353319 10.974978974622024))","0","CALLE 117 ENTRE CRA 20-23","183","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.84353220493824 10.973813604473909, -74.84340439578305 10.974001612238096, -74.84322865805431 10.974264248863154))","0","CL 117B ENTRE CRA 20 Y 22","58,5","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.84320484032845 10.974343278180118, -74.84311479193258 10.974450438243368, -74.84303442672234 10.974567165632362, -74.8429492213758 10.974732688047066, -74.84284852371198 10.974917346128656, -74.84272071458176 10.975138361914185, -74.84265293700261 10.975257959139249))","0","CL 117B ENTRE CRA 22 Y 24","110","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.84344498190006 10.974476261142726, -74.84336268297868 10.974683881157008, -74.84326489243699 10.974933599170544, -74.84307512097021 10.975443559316803))","0","CL 118 ENTRE CRA 22 Y 24","84,1-24","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.83623845182632 10.977409826536277, -74.83646067805181 10.977398343909666, -74.83697920587849 10.977375377534699))","0","CRA 30 DE CL 110 A 111","81","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.83708959260333 10.977355284535973, -74.83756599861601 10.977297874079644))","0","CRA 30 DE CL 111 A 112","53,6","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.83765459861375 10.97729787312555, -74.83821379443967 10.97723041473135))","0","CRA 30 DE CL 112 A 114","63,59","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.83834451554368 10.97721749673864, -74.83875410805334 10.977162955584884))","0","CRA 30 DE CL 114 A 115","43,7","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.82100395772474 10.942235507560902, -74.82090083642845 10.942432118245115, -74.82078755027042 10.94260002549278, -74.82096762615737 10.942779426851777, -74.82119417375456 10.943000449379468))","0","TRANS1F ENTRE CL81 Y DIAG88, CL81 TRANS1E TRANS1F","120,5","TERMINADO","STO DOMINGO","MODULO IV"
"MULTILINESTRING ((-74.84095452588308 10.974625700098281, -74.84115642146551 10.974869670195043, -74.84133652947139 10.975063410601702), (-74.8414062488903 10.975143777076594, -74.84153987703517 10.975262890927636, -74.84163138276858 10.975321729667781, -74.84174903263109 10.975380567744548, -74.84186232431809 10.975404962418533, -74.84198578254443 10.975404959340686, -74.8421223120286 10.975374817846877, -74.84227191406643 10.9753647679725, -74.84264083664651 10.975379109574138, -74.8427396033406 10.975383412296535, -74.84307512097018 10.975443559316803, -74.84334527774398 10.97547954964528, -74.84374906113905 10.975551294644648, -74.84431842517772 10.97565460689895))","0","CR 25 ENTRE CL 115 Y CL 120","401,33","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.84237473911905 10.975055204629733, -74.84265293700261 10.975257959139249))","0","CRA 24 ENTRE CALLE 117 Y CALLE 117 B","61,37","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.84267237870881 10.974505368874658, -74.84234557263149 10.974287235690305))","0","CRA 24 ENTRE CL 117 BOCACALLE","4,8","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.84396515728619 10.974672333703081, -74.84389690145862 10.97495649444947, -74.84383300133418 10.975193295274916, -74.84374906113905 10.975551294644648))","0","CALLE 119 ENTRE CRA 22 Y 25","98,1","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.84400146787958 10.974655110819212, -74.84419609807846 10.974728296943647, -74.84439218096553 10.974805788328574, -74.8445069259313 10.974854579426845))","0","CRA 22 ENTRE CALLE 119 Y 120","60","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.84366189512642 10.973917532896975, -74.84362316640681 10.974016080669887, -74.84353215351732 10.97423805244648, -74.84346340955406 10.974402617747593))","0","CALLE 118 ENTRE CRA 20 Y 22","57,2","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.83876716750657 10.974150136917228, -74.8389453327044 10.974071679704352, -74.83908089284893 10.973995136580264, -74.83923388191782 10.973899457855206))","0","TRASVERSAL 28 ENTRE DIAGONAL 113 Y CRA 26","55,3","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.8438335670453 10.975196563955198, -74.84378652238314 10.975174639844399, -74.8435396031451 10.975078492735594))","0","CRA 23 ENTRE CALLE 118A Y CALLE 119","39,4","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.83819781309471 10.974417799123543, -74.83838057795549 10.974335275941131, -74.83867106493685 10.97420371702948))","0","TRANSVERSAL 28 ENTRE DIAGONAL 112 Y 113","57,7","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.84498756244898 10.97591312746454, -74.84494399431304 10.976065254282211, -74.84485976159678 10.976335064331591, -74.84479876766329 10.976594827545382, -74.8447566554611 10.97685171980836))","0","CALLE 121 ENTRE CARRERA 25 Y 26","105","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.84481219354042 10.97690222700557, -74.84544038495656 10.977002664831828))","0","CARRERA 26 ENTRE 121 Y 122","70","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.84544038495656 10.977002664831828, -74.84606751953794 10.977113196363215))","0","CARRERA 26 ENTRE 122 Y 123","70","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.84152241156285 10.974135505347299, -74.84187877576132 10.974527411859025))","0","CARRERA 24 ENTRE 115 Y 116","60","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.84567027415333 10.975999709480888, -74.84563712629254 10.976173242424014, -74.84560414287705 10.976345914270775, -74.84550149748114 10.976690478862873, -74.84544038495656 10.977002664831828))","0","CALLE 122 ENTRE CRA 25 Y 26","100","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.8457582916862 10.978369587998436, -74.84587834641314 10.977966786359676, -74.8459674175056 10.97762808895415, -74.84601485699292 10.977435777820832, -74.84606751953794 10.977113196363215, -74.84613199894162 10.97685310476224, -74.8462201030987 10.976564158963413, -74.84626366635389 10.976304874530486, -74.84630626535454 10.976147963750853))","0","CALLE 123  ENTRE CARRERA 25 Y 31","240","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.84438378663407 10.975808382456991, -74.84480596868676 10.975886822785345, -74.84498756244898 10.975913127464585, -74.84526881864468 10.975938471709593, -74.84544892337553 10.975955686919761, -74.84567027415333 10.975999709480888, -74.84586335979901 10.97604178016671, -74.84615385264463 10.976099174799993, -74.84630626535454 10.976147963750853))","0","CARRERA 25 ENTRE CALLES 120 Y 123","202","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.84543819045567 10.977011331588248, -74.84577371040135 10.977069801292172, -74.84606644360899 10.977119786912718, -74.84621392281473 10.977120845732589, -74.84653366563413 10.977163851073323))","0","CARRERA 26 ENTRE CALLES 122 Y 123A","160","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.84601485699292 10.977435777820832, -74.8462672935025 10.97750691049652, -74.84652351433837 10.977583376318274))","0","CARRERA 26A CON CALLE 123","53,3","TERMINADO","LA PRADERA","MODULO IV"
"MULTILINESTRING ((-74.81453417734373 10.957194223182587, -74.81423595100279 10.957316669475466, -74.81420400202657 10.957272656225106, -74.8141217100649 10.957147314699641, -74.81406458180045 10.957177927357924, -74.81377215825708 10.95739413645428, -74.81337418946384 10.957702187375208))","0","CL 64C ENTRE KR 9K1 Y 9L","123,6","TERMINADO","EL BOSQUE","MODULO IV"
"MULTILINESTRING ((-74.81369773696952 10.960128881596434, -74.81323293776295 10.960681859273107, -74.8130160308573 10.960940170408849, -74.81252024287143 10.96152184770949, -74.81241759859157 10.96164813316196))","0","CALLE 65 C ENTRE CRA 10 Y CRA 13","277,16-65","TERMINADO","EL BOSQUE","MODULO IV"
"MULTILINESTRING ((-74.81377133018289 10.960038950767057, -74.81412186672385 10.9595950357734, -74.81442785595713 10.959254447957889))","0","CALLE 65 C ENTRE CRA 10 Y 9L","115-3","TERMINADO","EL BOSQUE","MODULO IV"
"MULTILINESTRING ((-74.80933798694046 10.958596208483012, -74.80961973195794 10.958768448938686, -74.8099072830124 10.958986614263663, -74.81020064257508 10.959222001524308))","0","CARERA 12 ENTRE CL63  Y CL 63C","70","TERMINADO","VILLATE","MODULO IV"
"MULTILINESTRING ((-74.77331055927462 10.971370636895282, -74.77368819359974 10.971357317615826, -74.77443765282527 10.971328762984852))","0","CARRERA 33B ENTRE CALLES 10 Y 17","126","TERMINADO","REBOLO","MODULO IV"
"MULTILINESTRING ((-74.77518629628001 10.974184606438474, -74.77526618135741 10.974181034079772, -74.77539399605541 10.974182493980917, -74.77550438058728 10.97418825589411, -74.77567721904275 10.974199770374854, -74.77582681672787 10.97421989115752, -74.77600836424557 10.974260109999072, -74.77615505316683 10.974300322076875, -74.77637000055275 10.97437355538769, -74.77688412412817 10.974588924353998, -74.77737791530633 10.974798548076762, -74.77756671822608 10.974877516229286, -74.77784411477853 10.974986638727135))","0","CARRERA 36 ENTRE CALLES 17 Y 30","315","TERMINADO","REBOLO","MODULO IV"
"MULTILINESTRING ((-74.7784583800935 10.96208863100082, -74.77841888073112 10.962961670275138))","0","CALLE 23 ENTRE CARRERA 24 Y 25","95","TERMINADO","REBOLO","MODULO IV"
"MULTILINESTRING ((-74.77840977971582 10.963087243785559, -74.77837031603623 10.963768930357961))","0","CALLE 23 ENTRE CARRERA 25 Y 26","98,7","TERMINADO","REBOLO","MODULO IV"
"MULTILINESTRING ((-74.80981798011501 10.94003037633027, -74.81015682035348 10.940331784319854, -74.81044241617964 10.940568606131107, -74.81067476728123 10.940740841915689))","0","CARRERA 3C ENTRE CALLES 52 Y 52B","120","TERMINADO","LAS AMERICAS","MODULO IV"
"MULTILINESTRING ((-74.81948581796898 10.939451677796082, -74.8196920398039 10.93947465011013, -74.81994328308312 10.939478967488185, -74.82016983795825 10.939477901712353, -74.82041236667988 10.939501951581724, -74.82065199179608 10.939506267847479, -74.82086257155558 10.939507712350839))","0","CARRERA 3B ENTRE CALLES 73D Y 80","110","TERMINADO","LAS AMERICAS","MODULO IV"
"MULTILINESTRING ((-74.81402546549073 10.939845303745113, -74.81410170902076 10.939859660279376, -74.81428178641418 10.939932147105619, -74.81452721493267 10.94002616528311, -74.81465719056587 10.940074251126198, -74.81504856953164 10.940225684152951, -74.81529254639297 10.940317548901579, -74.81559606472624 10.940443143080792, -74.81593734148392 10.940586678578379))","0","CRA 3 ENTRE CALLE 53B Y 54 E","225","TERMINADO","LAS AMERICAS","MODULO IV"
"MULTILINESTRING ((-74.809625248735 10.939422472143512, -74.80973997448928 10.9394698412711, -74.80985179561307 10.939518645270455, -74.80997813747211 10.939592565470067, -74.81012480775547 10.939709541656994))","0","CARRERA 3C ENTRE CALLES 51c Y 52","66,9","TERMINADO","LAS AMERICAS","MODULO IV"
"MULTILINESTRING ((-74.81613237768512 10.940271639482397, -74.81603312942265 10.940422324052756, -74.81593734148392 10.940586678578379, -74.81576684625755 10.940936569201403))","0","CALLE 54E ENTRE CRA 3A Y 2G","131","TERMINADO","LAS AMERICAS","MODULO IV"
"MULTILINESTRING ((-74.82259104864647 10.942686591688915, -74.8223896593954 10.942811920089857, -74.82193169177947 10.943098931321485))","0","CARRERA 5A ENTRE CALLES 80 Y 88","110","TERMINADO","STO DOMINGO","MODULO IV"
"MULTILINESTRING ((-74.81626131795186 10.935439504352555, -74.81644285152558 10.93541081206998, -74.81661131451803 10.935386424366222, -74.81682770314251 10.935340512096722, -74.81720819707587 10.935283127726983))","0","CRA 1F ENTRE CALLE 62 Y 66","101,2","TERMINADO","STO DOMINGO","MODULO IV"
"MULTILINESTRING ((-74.81950959565604 10.941385831389095, -74.81975357666822 10.941440378735793, -74.81995398847924 10.94151071046277, -74.82016601770877 10.941601134662255))","0","TRANVERSAL 1E ENTRE CALLE 74 Y 80","63,2","TERMINADO","STO DOMINGO","MODULO IV"
"MULTILINESTRING ((-74.82126781121438 10.941751874256427, -74.8214401456307 10.941832249838066, -74.8215660075494 10.941899228673709, -74.82168993265593 10.941977688556957, -74.82187581975887 10.94211164329173))","0","CRA 4C ENTRE CALLE 81 Y 88","51,4","TERMINADO","STO DOMINGO","MODULO IV"
"MULTILINESTRING ((-74.81988141803033 10.940607042454792, -74.81976426174397 10.940723762229181, -74.81968970603523 10.940831873116858, -74.81962289407622 10.940974427900198))","0","CALLE 74 ENTRE CRA 1B Y TRANVERSAL 1D","42,4","TERMINADO","STO DOMINGO","MODULO IV"
"MULTILINESTRING ((-74.81932574728461 10.933630602110034, -74.81893848204187 10.93362340711317))","0","CRA 1B ENTRE CALLE 76 Y 78","40","TERMINADO","STO DOMINGO","MODULO IV"
"MULTILINESTRING ((-74.81897210297436 10.938769132015324, -74.81906068475129 10.938901170050066, -74.81917105156661 10.939015987366778, -74.8192639920628 10.939113582011052, -74.81936564273178 10.939281499292157, -74.81942808217893 10.939447979479887))","0","CALLE 72 ENTRE CRA 3 Y 3B","198","TERMINADO","STO DOMINGO","MODULO IV"
"MULTILINESTRING ((-74.81387517021159 10.937532991645261, -74.8139615892606 10.937397017158334, -74.81411263979007 10.937175057651354, -74.81425013294376 10.936993281316923, -74.81432953059692 10.93688421528263, -74.81440699184363 10.93677514910059, -74.81449219600763 10.936702440481891, -74.81455173316225 10.936669625330214))","0","CALLE 53 ENTRE CRA 2A Y 1E","117,3","TERMINADO","STO DOMINGO","MODULO IV"
"MULTILINESTRING ((-74.78199605582421 10.95520196674115, -74.78210604344841 10.955735422560947))","0","CALLE 27 ENTRE CRA 18 Y 19","65,4","TERMINADO","LAS NIEVES","MODULO IV"
"MULTILINESTRING ((-74.78185452258573 10.9544844107097, -74.78197302836189 10.95506805701082))","0","CALLE 27 ENTRE CRA 17 B Y 18","67,7","TERMINADO","LAS NIEVES","MODULO IV"
"MULTILINESTRING ((-74.81506367510816 10.951533107896964, -74.81557924237259 10.951708227887634, -74.81583049099467 10.951791481720349, -74.81607302671547 10.951858948213065, -74.81627635141125 10.951894838972228, -74.8164840341929 10.951913508092508, -74.81663217211234 10.951917822158928))","0","Carrera 8 entre calle 72 Y 60B","175","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.81500461434975 10.951520905417107, -74.81487874953822 10.951458707737025, -74.81475530737592 10.951365415318133, -74.8146294464771 10.951245811672289, -74.81453504999547 10.951169264413602, -74.81442613025199 10.951092716178557, -74.81431236737374 10.951047262429611, -74.81397107911093 10.950908509016871))","0","Carrera 8 entre calle 60B y 60","126","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.81397107911093 10.950908509016871, -74.81371208834614 10.950791287991498, -74.81343131234745 10.950681240987995, -74.81321831086898 10.950585549887531, -74.81308760317485 10.95055922979699, -74.81284797157176 10.95052333435937))","0","Carrera 8 entre calle 60 y 58","124","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.8137629512427 10.950336828323648, -74.81372300885047 10.95038585980671, -74.81370000770336 10.950471967051461, -74.81368547473079 10.950611892865394, -74.81364441864288 10.950764765641393))","0","Calle 59  entre carrera 7 y 8","80","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.8152791492705 10.9508332482727, -74.81546504457482 10.95087918451138, -74.81565529647767 10.95093229663642, -74.8158135959287 10.951005498758477, -74.81597770451641 10.95108300658734, -74.81606048579971 10.951108844192703, -74.81621878727587 10.951151908025722, -74.81637854208039 10.951179185249513, -74.81661672410048 10.951184939752741))","0","Carrera 7e entre carrera 72 y 60B","60-90","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.81408339772274 10.950505653257782, -74.81420008889785 10.950527492779788, -74.8143307967093 10.950553334011891, -74.81448038462322 10.95058204670977, -74.81463577950998 10.950646638374854, -74.81485217013234 10.950744242231755, -74.8149915903033 10.950797351522423, -74.81518910473226 10.950834677785455))","0","Carrera 7e entre calles 60B y 60","126","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.8145977807045 10.954244607894896, -74.814459795992 10.954421600314843, -74.81431939503364 10.954531619019521, -74.8140531197134 10.954701427079403, -74.81380621204478 10.954823398000373, -74.8135762505881 10.954911883128311, -74.81327367064642 10.955012322630775, -74.81294204383242 10.9551079759766, -74.81256200195836 10.955246679895911, -74.8121867991264 10.955409302793905, -74.81186242877618 10.955564753245019, -74.81158404782295 10.95573934206307, -74.81148479430142 10.95586132206689, -74.81143152936106 10.956016792234921))","0","Calle 63a entre carrera 9 y 9m","110-340","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.81411399480328 10.949386605268552, -74.81415269653023 10.949783665089932))","0","Calle 60 entre carrera 6a y 6e","37","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.82006382360233 10.946322902641253, -74.82030100484403 10.946940026861094))","0","Calle 75a entre carrera 6 y 6B","73,9","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.8203518309012 10.947042881394863, -74.82045105770044 10.947353834437049, -74.82049461742861 10.947561932724707, -74.82056480597247 10.947705450592865))","0","Calle 75a entre carrera 6B y 6E","74,4","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.82057206312976 10.947801127382757, -74.82067855845568 10.947970957883621, -74.82076811031693 10.94813839568181, -74.82081409318744 10.94829626388012, -74.82085281440729 10.94845652366091, -74.82086974904726 10.948657444969607))","0","Calle 75a entre carrera 6E y 6F","98","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.82146762138693 10.948635943544364, -74.8212594541791 10.948669421462048, -74.82104402660678 10.948674195984653, -74.82086974904726 10.94865744496964))","0","Carrera 6F entre calle 75B y 75A","80","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.82086974904726 10.94865744496964, -74.82062285434093 10.94866700162867, -74.82027671847652 10.948662202066776, -74.8200467678166 10.94866458330522))","0","Carrera 6F entre calle 75 Ay 75","70","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.8200467678166 10.94866458330522, -74.81959654672326 10.948707616312491, -74.81941016429045 10.948736310196566, -74.81909307084561 10.948808051875336))","0","Carrera 6F entre calle 75 y 74","100","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.81895512154833 10.948399028105449, -74.81876392741393 10.947868014064772), (-74.81897690052728 10.948511449039474, -74.81909307084561 10.948808051875336, -74.81914146469055 10.94913813805542, -74.81918742680227 10.949690671848407))","0","Calle 74 entre carrera 6B y 7","210","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.81712207651819 10.950109744836151, -74.81711964644411 10.950274786568619, -74.81710269246629 10.950450591079862, -74.81707484537928 10.950637158572313))","0","Calle  72A entre carrera 7 Y 7B","58","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.81719264058272 10.95212373787507, -74.81716648208344 10.952409330557774, -74.81713887202268 10.952680571686557, -74.81711272038798 10.952845612053874, -74.81709528957347 10.952892970902408, -74.81704881145284 10.952948938984726, -74.8170197611491 10.953009213488187, -74.81700959276414 10.95304365642534, -74.81701103968257 10.953136941024674, -74.81704153184909 10.95325749505209))","0","Calle 72A entre carrera 8 Y 8B","122","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.81661905542728 10.950649809592331, -74.816547890969 10.950655546041032, -74.81644187173316 10.950642623525892, -74.81627340254235 10.950626826992421, -74.81612381399337 10.950605290906253))","0","Carrera 7B entre calle  71 Y 72","48","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.81612381399337 10.950605290906253, -74.8160947546873 10.95081338543357, -74.81606048579971 10.951108844192703))","0","Calle 71 entre carrera 7B Y 7E","56","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.8144680263595 10.952600041333913, -74.81476283804523 10.952798110588514, -74.8149458254274 10.952911498834789, -74.81507943652595 10.952976088881757, -74.81528711750828 10.953033507769394, -74.81551658350136 10.953093798152333, -74.81567779171247 10.953119640684186, -74.81586659594346 10.953121087313022, -74.8160089272078 10.953090957817292, -74.81617304556447 10.953027821184653, -74.8163705694922 10.952934548356343, -74.81659423481076 10.952851322944957))","0","Carrera 8A1 entre calle 60B Y 72","221","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.79667214870263 10.929897762940374, -74.79661980471238 10.930402928705085, -74.79656164834444 10.930933926394392))","0","CALLE 42 ENTRE CARRERAS 1 Y 1B","137,8","TERMINADO","VILLA BLANCA","CONSORCIO MÓDULO 6"
"MULTILINESTRING ((-74.81570740510233 10.953736755435004, -74.8157674449746 10.953581763287065, -74.81583910768 10.95335979833235, -74.81587784545322 10.953220113095266, -74.81589586289451 10.953110878238727))","0","Calle 63 entre carrera 8A1 Y 8G","68","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.82251427121047 10.948337116513844, -74.8225336283277 10.94851698900589, -74.82254911223828 10.948706428990892, -74.82256266019448 10.948884387723409))","0","Calle 77 entre carrera 6F Y 7","32","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.82183649746405 10.948945591797766, -74.82208242446414 10.948928380002265, -74.82233803388041 10.948903514272597, -74.82256266019446 10.948884387723409, -74.8228492539123 10.948819338646574, -74.82312229273728 10.948748548215487, -74.82325397078735 10.948719850084586, -74.8238310318819 10.948545739323706))","0","Carrera 7 entre calle 76 Y 88","210","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.81996207309962 10.948168616489337, -74.8200467678166 10.94866458330522, -74.82009952154722 10.94895508340859, -74.82018664235495 10.949343533860493, -74.8202485955513 10.949609517261054, -74.82034539604206 10.950059201024944))","0","Calle 75 entre carrera 6B Y 7B","205","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.81785629520034 10.959827878163887, -74.81775898241246 10.959895324743734, -74.81751206975878 10.960056047553884, -74.81725934552654 10.960248343043345, -74.81698338235668 10.960450683019541, -74.81685266070589 10.960582708961805, -74.81676986885083 10.960690340133626))","0","Calle 69D entre carrera 9K1 Y 9J2","150","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.81676986885083 10.960690340133626, -74.81669345545424 10.96068223521073, -74.81638714280268 10.960573323725008))","0","Carrera 9K1 entre calle 69D Y 69C","34","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.8162842099817 10.960838347208659, -74.81638714280268 10.960573323725008, -74.8164852261024 10.96030139911971, -74.81656511799588 10.960113399691416, -74.81665662869601 10.959926836059033, -74.81671908825237 10.959800546843674, -74.81678445047199 10.959708701280512, -74.81686869231699 10.959636948825535, -74.81706476762504 10.959550851240463, -74.81724341369863 10.95947623371922, -74.81750432214774 10.959323437173781))","0","Calle 69C entre carrera 9L Y 9J2","216","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.82030223293441 10.956845169226552, -74.8206798453185 10.956866713549305, -74.82089043783776 10.956857155259785, -74.82113250066851 10.956790192344338, -74.82129226338814 10.956716049999356, -74.8214326595961 10.956680177315052, -74.82149089261323 10.956678825822728))","0","Carrera 9c entre  calle 75 y 80","140","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.81433311011686 10.955756517204826, -74.81408861805198 10.955940678168636, -74.81384654890923 10.956086568533479, -74.81351249547363 10.956253979632761, -74.8132123318582 10.956395081700258, -74.81305014790713 10.95645247627299, -74.81285165789012 10.956469205733198, -74.81265316802516 10.956483543154093, -74.81242321092626 10.956490702457396, -74.81221988125596 10.956485903967893, -74.81203591904143 10.956445228107423, -74.81185679951072 10.956385417211889, -74.81170327691625 10.956306864502173))","0","Calle 63d entre calle 9 y 9m","308","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.81436935917608 10.956648702074585, -74.81454845093747 10.957136663395154, -74.81459443585511 10.957234734684855, -74.81474448972 10.957591138945155))","0","Calle 9k1 entre diagonal 64b y 63e","101","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.82262838227047 10.95801251944569, -74.82297211143975 10.957938383229598, -74.82326984828657 10.957880988331407, -74.82356032285341 10.957833160525995, -74.82376365457056 10.957811640447629, -74.82392825764458 10.957759024084908, -74.82412916990785 10.957701625029578, -74.82426230547563 10.95763465597181, -74.82442448943009 10.957531809149296))","0","Carrera 9d entre calle 80 y 87","195","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
"MULTILINESTRING ((-74.82451163181011 10.957512676686266, -74.82466655263855 10.957445708151576, -74.8247782650084 10.957398292052824, -74.82492894811533 10.957380357408628, -74.8250657122174 10.957379165638235, -74.82519339869063 10.957389933085192, -74.82525693970146 10.957383955206643, -74.82533258397719 10.957369605986806, -74.82544514320412 10.95732954479211, -74.82554765701991 10.957285476817193))","0","Carrera 9d entre calle 87y 94","117","EJECUTADA","EL BOSQUE","LISTADO Y AVANCE DE OBRA MODULO V DONADO ARCE"
