"objectid","pppcodigo","ppptelefon","pppcodloc","pppnomloc","pppcodupz","pppnomupz","pppcodsec","pppnomsec","pppnombre","pppdirecci","pppanio","pppestado","tipo","descrip","point_x","point_y"
"18","18","3201511 Ext: 105","18","Rafael Uribe Uribe","UPZ39","Quiroga","2202","Quiroga","Quiroga","KR 23  CL 31D SUR","2016","Activo","PPP","PPP Quiroga","-74,11380367400","4,58101435000"
"19","19","3201511 Ext: 105","4","San Cristóbal","UPZ51","Los Libertadores","2625","Arrayanes V","Entrenubes","KR 3A ESTE 50 00 SUR","2016","Activo","PPP","PPP Entrenubes","-74,09689278300","4,53774548900"
"20","20","3201511 Ext: 105","4","San Cristóbal","UPZ32","San Blas","1308","Santa Ines Sur","Gaitán Cortés","DG 31C SUR 5A 20 ESTE","2016","Activo","PPP","PPP Gaitán Cortés","-74,08893237700","4,55828857400"
"21","21","3201511 Ext: 105","3","Santa Fe","UPZ95","Las Cruces","3202","Las Cruces","Cruces","CL 1C 5 15","2016","Activo","PPP","PPP Cruces","-74,07879638700","4,58587646500"
"22","22","3201511 Ext: 105","13","Teusaquillo","UPZ107","Quinta Paredes","6210","Centro Nariño","Centro Nariño","CL 25 35 39","2016","Activo","PPP","PPP Centro Nariño","-74,08892822300","4,62792968700"
"23","23","3201511 Ext: 105","13","Teusaquillo","UPZ106","La Esmeralda","5113","Paulo VI","Paulo VI","KR 57B 56 36","2016","Activo","PPP","PPP Paulo VI","-74,08880615200","4,65087890600"
"24","24","3201511 Ext: 105","6","Tunjuelito","UPZ42","Venecia","2409","Nuevo Muzu","Nuevo Muzu","KR 59 52A 50 SUR","2016","Activo","PPP","PPP Nuevo Muzu","-74,14739990200","4,58587646500"
"25","25","3201511 Ext: 105","5","Usme","UPZ57","Gran Yomasa","2524","La Andrea","La Andrea","CL 80 SUR 1H 54","2016","Activo","PPP","PPP La Andrea","-74,11120605500","4,51007080100"
"26","26","3201511 Ext: 105","5","Usme","UPZ58","Comuneros","2529","La Marichuela","Valles de Cafam","DG 91B SUR  KR 2D","2016","Activo","PPP","PPP Valles de Cafam","-74,11809887300","4,50877561600"
"27","27","3201511 Ext: 105","19","Ciudad Bolívar","UPZ67","Lucero","2514","Meissen","Meissen","AC 61 SUR  KR 16","2016","Activo","PPP","PPP Meissen","-74,13598632800","4,55767822300"
"28","28","3201511 Ext: 105","19","Ciudad Bolívar","UPZ70","Jerusalem","2569","Arborizadora Alta","Arborizadora Alta","CL 72B SUR 42 03","2016","Activo","PPP","PPP Arborizadora Alta","-74,16528320300","4,56567382800"
"29","29","3201511 Ext: 105","19","Ciudad Bolívar","UPR3","Rio Tunjuelo","204106","Nueva Esperanza","Ilimani","CL 71P SUR 27B 10","2016","Activo","PPP","PPP Ilimani","-74,16120109900","4,54806465800"
"30","30","3201511 Ext: 105","10","Engativá","UPZ74","Engativá","5636","EngativáZona Urbana","Parque Fundacional de Engativá Pueblo","KR 123  CL 62","2016","Activo","PPP","PPP Parque Fundacional de Engativá Pueblo","-74,14178466800","4,71527099600"
"31","31","3201511 Ext: 105","14","Los Mártires","UPZ102","La Sabana","4101","Ricaurte","Ricaurte","KR 29 8 98","2016","Activo","PPP","PPP Ricaurte","-74,09411621100","4,60913085900"
"32","32","3201511 Ext: 105","4","San Cristóbal","UPZ34","20 de Jullio","1430","Villa de Los Alpes I","Villa de Los Alpes","KR 3B 35 22 SUR","2016","Activo","PPP","PPP Villa de Los Alpes","-74,09850764500","4,56199207800"
"33","33","3201511 Ext: 105","11","Suba","UPZ71","Tibabuyes","9257","Tibabuyes","Gaitana","CL 132  KR 116","2016","Activo","PPP","PPP Gaitana","-74,11010742200","4,74011230500"
"34","34","3201511 Ext: 105","13","Teusaquillo","UPZ104","Parque Simón Bolívar - CAN","5114","Campo Eucaristico","Simón Bolívar","AC 63 y 53 AK 68 a 49","2016","Activo","PPP","PPP Simón Bolívar","-74,09297512700","4,65864276000"
"35","35","3201511 Ext: 105","1","Usaquén","UPZ11","San Cristóbal Norte","8506","Barrancas Norte","Alta Blanca","CL 156B 8 40","2016","Activo","PPP","PPP Alta Blanca","-74,02862548800","4,73431396500"
"36","36","3201511 Ext: 105","1","Usaquén","UPZ13","Los Cedros","8515","Los Cedros","Nueva Autopista","TRV 34A DG 138 01","2016","Activo","PPP","PPP Nueva Autopista","-74,04846093100","4,72127313900"
"37","37","3201511 Ext: 105","1","Usaquén","UPZ15","Country Club","8403","La Carolina","El Country","CL 127 KR 1 1D","2016","Activo","PPP","PPP El Country","-74,03808593800","4,70587158200"
"38","38","3201511 Ext: 105","12","Barrios Unidos","UPZ98","Los ALcazares","7309","Benjamin Herrera","Gimnasio Distrital de Norte","CL 63B 29 70","2016","Activo","PPP","PPP Gimnasio Distrital de Norte","-74,07519531300","4,65393066400"
"39","39","3201511 Ext: 105","19","Ciudad Bolívar","UPZ69","Ismael Perdomo","2418","La Estancia","Estancia","CL 58D 74J 51 SUR","2016","Activo","PPP","PPP Estancia","-74,17419433600","4,59332275400"
"40","40","3201511 Ext: 105","16","Puente Aranda","UPZ40","Ciudad Montes","4204","Montes","Jazmín","CL 2 45A 10","2016","Activo","PPP","PPP Jazmín","-74,11578369100","4,60949707000"
"41","41","3201511 Ext: 105","4","San Cristóbal","UPZ33","Sosiego","1112","Primero de Mayo","Velódromo 1 de Mayo","CL 18B SUR 5 13","2016","Activo","PPP","PPP Velódromo 1 de Mayo","-74,08917863100","4,57304246500"
"42","42","3201511 Ext: 105","13","Teusaquillo","UPZ104","Parque Simón Bolívar - CAN","5110","El Salitre","Salitre El Greco","CL 46 55A  55B","2016","Activo","PPP","PPP Salitre El Greco","-74,10028076200","4,65588378900"
"43","43","3201511 Ext: 105","12","Barrios Unidos","UPZ98","Los ALcazares","7302","Alcázares","Parque Los Alcázares","KR 24  71 25","2016","Activo","PPP","PPP Parque Los Alcázares","-74,06903919000","4,66256746900"
"44","44","3201511 Ext: 105","16","Puente Aranda","UPZ40","Ciudad Montes","4402","Remanso","Ciudad Montes","CL 10 SUR 39 29","2016","Activo","PPP","PPP Ciudad Montes","-74,11565529600","4,60256934300"
"45","45","3201511 Ext: 105","13","Teusaquillo","UPZ106","La Esmeralda","5106","Nicolas de Federman","Nicolas de Federman","KR 36A  CL 58A","2016","Activo","PPP","PPP Nicolas de Federman","-74,08195398800","4,64921671100"
"46","46","3201511 Ext: 105","4","San Cristóbal","UPZ33","Sosiego","1108","San Cristóbal Sur","San Cristóbal","CL 17A SUR 2A  60 ESTE","2016","Activo","PPP","PPP San Cristóbal","-74,08488118500","4,57389219600"
"47","47","3201511 Ext: 105","13","Teusaquilo","UPZ107","Quinta Paredes","5107","Acevedo Tejada","Acevedo Tejada","Kra 32A  27A  16","2016","Activo","PPP","PPP Acevedo Tejada","-74,08117468300","4,63065875600"
"48","48","3201511 Ext: 105","15","Antonio Nariño","UPZ38","Restrepo","2309","Villa Mayor Oriental","Villa Mayor","AK 30 hasta 35 CL 34 hasta 30A SUR","2016","Activo","PPP","PPP Villa Mayor","-74,11982035600","4,59214180600"
"49","49","3201511 Ext: 105","18","Rafael Uribe Uribe","UPZ36","San José","1402","Gustavo Restrepo","Bosque de San Carlos","KR 12C 27A 70 SUR","2016","Activo","PPP","PPP Bosque de San Carlos","-74,10400105800","4,57341984300"
"50","50","3201511 Ext: 105","19","Ciudad Bolívar","UPZ66","San Francisco","2545","El Salitre","Candelaria La Nueva","CL 64 22h 27 SUR","2016","Activo","PPP","PPP Candelaria La Nueva","-74,14732479700","4,56719839600"
"51","51","3201511 Ext: 105","9","Fontibón","UPZ75","Fontibón","6408","El Carmen Fontibón","Carmen de la Laguna","DG 16B 104  23","2016","Activo","PPP","PPP Carmen de la Laguna","-74,15128736200","4,67219797100"
"52","52","3201511 Ext: 105","8","Kennedy","UPZ82","Patio Bonito","4613","Providencia Occidental","Cayetano Cañizares","KR 86 40  55 SUR","2016","Activo","PPP","PPP Cayetano Cañizares","-74,16108316200","4,62601018100"
"53","53","3201511 Ext: 105","14","Los Mártires","UPZ102","La Sabana","6103","Santa Fé","El Renacimiento","CL 26 KR 22","2016","Activo","PPP","PPP El Renacimiento","-74,07738308900","4,61980406900"
"54","54","3201511 Ext: 105","11","Suba","UPZ71","Tibabuyes","9248","Tibabuyes II","Fontanar del Río","DG 145 KR 122","2016","Activo","PPP","PPP Fontanar del Río","-74,11174444200","4,75508286600"
"55","55","3201511 Ext: 105","15","Antonio Nariño","UPZ38","Restrepo","2107","La Fragua","Fragua","KR 31  14 BIS 59","2016","Activo","PPP","PPP Fragua","-74,10784081400","4,59634128400"
"56","56","3201511 Ext: 105","10","Engativá","UPZ30","Boyaca Real","5602","Santa María","Humedal Santa María del Lago","KR 73 a  77 01","2016","Activo","PPP","PPP Humedal Santa María del Lago","-74,09259532200","4,69389907400"
"57","57","3201511 Ext: 105","5","Usme","UPZ57","Gran Yomasa","2503","La Aurora","La Aurora","KR 3A CL 71F SUR","2016","Activo","PPP","PPP La Aurora","-74,12096500300","4,51991688100"
"58","58","3201511 Ext: 105","2","Chapinero","UPZ99","Chapinero","8213","Chapinero Central","Parque de los Hippies","CL 60 KR 7 a 8","2016","Activo","PPP","PPP Parque de los Hippies","-74,06190711300","4,64549585600"
"59","59","3201511 Ext: 105","2","Chapinero","UPZ97","Chico Lago","8314","Antiguo Country","Parque El Virrey Norte","CL 87 Autopista a AV 15","2016","Activo","PPP","PPP Parque El Virrey Norte","-74,05605435500","4,67399547700"
"60","60","3201511 Ext: 105","5","Usme","UPZ58","Comuneros","2548","El Virrey","Virrey Sur","CL 93 SUR  3A  00 ESTE","2016","Activo","PPP","PPP Virrey Sur","-74,11176956900","4,50118788000"
"61","61","3201511 Ext: 105","12","Barrios Unidos","UPZ103","Parque Salitre","5104","El Rosario","Los Novios","AC 63  45  10","2017","Activo","PPP","PPP Los Novios","-74,08134133300","4,65403470800"
"62","62","3201511 Ext: 105","10","Engativá",,,,,"La Florida","KM 4 vía Engativá Cota","2017","Activo","PPP","PPP La Florida","-74,14556951400","4,73240111900"
"63","63","3201511 Ext: 105","11","Suba","UPZ27","Suba","9231","Suba Cerros","Parque Mirador los Nevados","CL 145  KR 87","2017","Activo","PPP","PPP Parque Mirador los Nevados","-74,08046368400","4,74225254900"
"64","64","3201511 Ext: 105","5","Usme",,,"102312","Ciudad Londres Rural","San Cayetano","CL 74A SUR 13 80","2017","Activo","PPP","PPP San Cayetano","-74,08989208100","4,51764055200"
"65","65","3201511 Ext: 105","11","Suba","UPZ19","El Prado","9130","Canódromo","Parque Urbanizacion Atabanza","CL 127 con 50A","2017","Activo","PPP","PPP Parque Urbanizacion Atabanza","-74,05809533500","4,70874944000"
"66","66","3201511 Ext: 105","5","Usme","UPZ58","Comuneros","2615","La Esperanza de Usme","Villa Alemana","AV Villa Vicencio 102  05 SUR","2017","Activo","PPP","PPP Villa Alemana","-74,11062664100","4,49222019900"
"67","67","3201511 Ext: 105","18","Rafael Uribe Uribe","UPZ36","San José","1426","San Luis","Pijaos","KR 10D CL 34 SUR hasta 33 SUR","2017","Activo","PPP","PPP Pijaos","-74,10328707800","4,56752351900"
"68","68","3201511 Ext: 105","6","Tunjuelito","UPZ42","Venecia","2410","Parque el Tunal","El Tunal","CL 47 SUR KR 24B","2017","Activo","PPP","PPP El Tunal","-74,13004007500","4,57131253200"
"69","69","3201511 Ext: 105","7","Bosa","UPZ49","Apogeo","4538","Olarte","Pavco","KR 75  57H SUR 94","2017","Activo","PPP","PPP Pavco","-74,16421984900","4,59653221100"
"70","70","3201511 Ext: 105","8","Kennedy","UPZ45","Carvajal","4505","Provincia Occidental","Urbanización Carimagua - Parque Lucerna","KR 72  38C  03 SUR","2017","Activo","PPP","PPP Urbanización Carimagua - Parque Lucerna","-74,14685493200","4,61277732400"
"71","71","3201511 Ext: 105","11","Suba","UPZ25","La Floresta","5403","Julio Flores","Urbanización La Floresta II","CL 103 69B  42","2018","Activo","PPP","PPP Floresta II","-74,07225359900","4,69178909000"
"72","72","3201511 Ext: 105","10","Engativá","UPZ73","Garcés Navas","5643","Alamos","El Carmelo","Entre KR 101A y 104A CL 71B y Canal del Jaboque","2018","Activo","PPP","PPP El Carmelo","-74,11937923000","4,70416796900"
"73","73","3201511 Ext: 105","7","Bosa","UPZ86","El Porvenir","4630","Parcela el Porvenir","El Porvenir","CL 52 SUR 100","2018","Activo","PPP","PPP El Porvenir","-74,18812824600","4,63989591500"
"74","74","3201511 Ext: 105","9","Fontibón","UPZ77","Zona Franca","105104","El Tintal","Zona Franca","DG 12C Entre KR 109 y KR 112C (1)","2018","Activo","PPP","PPP Zona Franca","-74,16502785500","4,66883630800"
"75","75","3201511 Ext: 105","4","San Cristóbal","UPZ50","La Gloria","1355","Las Guacamayas I","La Victoria","TV 1F ESTE Con DG 39 SUR Costado Nororiental","2018","Activo","PPP","PPP La Victoria","-74,09574148900","4,55496080300"
"76","76","3201511 Ext: 105","1","Usaquén","UPZ14","Usaquén","8408","Santa Ana","Santa Ana","KR 8 entre CL 110 y 112","2018","Activo","PPP","PPP Santa Ana","-74,02768286500","4,68355227100"
"77","77","3201511 Ext: 105","10","Engativá","UPZ105","Jardín Botánico","5506","Jardín Botánico","Simon Bolivar Sector Unidad Deportiva El Salitre","KR 66A 53 96","2018","Activo","PPP","PPP Simon Bolivar Sector Unidad Deportiva El Salitre","-74,09751381500","4,66401682600"
"78","78","3201511 Ext: 105","18","Rafael Uribe Uribe","UPZ39","Quiroga","2201","Olaya","Parque Estadio Olaya Herrera","KR 21  25  35 SUR","2018","Activo","PPP","PPP Parque Estadio Olaya Herrera","-74,10775268500","4,58355425600"
"79","79","3201511 Ext: 105","19","Ciudad Bolívar","UPZ65","Arbolizadora","2416","El Ensueño","Parque El Taller - El Ensueño","AC 68 SUR 70D 11","2018","Activo","PPP","PPP Parque El Taller - El Ensueño","-74,15792820200","4,58537245500"
"80","80","3201511 Ext: 105","17","Candelaria","UPZ94","La Candelaria","3110","La Catedral","Universidad El Rosario","CL 12 KR 6","2018","Activo","PPP","PPP Universidad El Rosario","-74,07294304000","4,60067347700"
"81","81","3201511 Ext: 105","7","Bosa","UPZ87","Tintal Sur","4638","Ciudadela el Recreo II","Recreo","CL 69A SUR 93D 45","2019","Activo","PPP","PPP Recreo","-74,20219776900","4,63461091700"
"82","82","3201511 Ext: 105","2","Chapinero","UPZ90","Pardo Rubio","8203","Las Acacias","Gustavo Uribe Botero","KR 4 con CL 70","2019","Activo","PPP","PPP Gustavo Uribe Botero","-74,05307054700","4,65151964900"
"83","83","3201511 Ext: 105","19","Ciudad Bolívar","UPZ69","Ismael Perdomo","2442","Santa Viviana","Altos de la estancia","DG 75C SUR TV 75","2019","Activo","PPP","PPP Altos de la estancia","-74,17595888800","4,57808750900"
"84","84","3201511 Ext: 105","8","Kennedy","UPZ81","Gran Britália","4568","Jorge Uribe Botero","Gilma Jiménez","CL 51A 85  00 SUR","2019","Activo","PPP","PPP Gilma Jiménez","-74,17408863400","4,62250800800"
"85","85","3201511 Ext: 105","7","Bosa","UPZ85","Bosa Central","4513","San Diego Bosa","La Esperanza","KR 77 78  50 SUR","2019","Activo","PPP","PPP La Esperanza","-74,20393874700","4,60978860100"
"86","86","3201511 Ext: 105","16","Puente Aranda","UPZ111","Puente Aranda","6215","Puente Aranda","Puente Aranda","Entre KR 55 y KR 56 con CL 15 y CL 16","2019","Activo","PPP","PPP Puente Aranda","-74,10843242500","4,63164525200"
"87","87","3201511 Ext: 105","11","Suba","UPZ23","Casa Blanca Suba","9231","Suba Cerros","Casablanca","KR 68 entre CL 140 y 141","2019","Activo","PPP","PPP Casablanca","-74,07625925000","4,73683968600"
"88","88","3201511 Ext: 105","11","Suba","UPZ17","San José de Baviera","9133","Mirandela","Mirandela","De la CL 188 a la KR 46 costado SUR","2019","Activo","PPP","PPP Mirandela","-74,04611325600","4,76732041500"
"89","89","3201511 Ext: 105","11","Suba","UPZ18","Britalia","9103","Cantagallo","Parque Urbanización Cantalejo","CL 160 con KR 52A","2019","Activo","PPP","PPP Parque Urbanización Cantalejo","-74,05734925300","4,74143388600"
"90","90","3201511 Ext: 105","20","Sumapaz","UPR4","Upr Rio Blanco","103201","Betania","Belén Betania","Corregimiento Betania  Vereda El Raizal","2019","Activo","PPP","PPP Belén, Betania","-74,14961511200","4,21669395000"
"91","91","3201511 Ext: 105","20","Sumapaz","UPR4","Upr Rio Blanco","203106","Nazareth Urbano","Nazareth","Corregimiento Nazareth  Centro poblado","2019","Activo","PPP","PPP Nazareth","-74,14678600200","4,17245542700"
"92","92","3201511 Ext: 105","9","Fontibón","UPZ112","Granjas de Techo","6320","Ciudad Hayuelos","Urbanización Hayuelos",,"2020","Activo","PPP","PPP Urbanización Hayuelos","-74,13009397700","4,65984446200"
"93","93","3201511 Ext: 105","13","Teusaquilo","UPZ100","Galerías","7202","San Luis","San Luis","Entre CL 60 y 61 Con KR 18 y 19A","2020","Activo","PPP","PPP San Luis","-74,06900976400","4,64819019600"
"94","94","3201511 Ext: 105","10","Engativá","UPZ30","Boyaca Real","5619","Paris","Los Tronquitos",,"2020","Activo","PPP","PPP Los Tronquitos","-74,10648440500","4,70271019200"
"95","95","3201511 Ext: 105","5","Usme","UPZ56","Danubio","2589","Porvenir","Nuevo Milenio","CL 67A SUR KR 11 Costado Oriental","2020","Activo","PPP","PPP Nuevo Milenio","-74,11720732400","4,53098968400"
