"numero","ano","lugar_de_nacimiento","edad","sexo","municipio_residencia","caracterizacion","rea","programa","municipio_eps","eps","estado","regimen","tipo_afiliado","grupo_etario","curso_de_vida","sisbenizado","puntaje_sisben","estrato","comuna_o_corregimiento"
"32","2021","Colombia","30","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Bucaramanga","Nueva eps","1","Técnica","Estudiante","29 a 59 años","adultez","Sí","49.14","1","Comuna 14 Morrorico"
"33","2021","Colombia","25","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Bucaramanga","Sanitas","3","Profesional","Desempleado","18 a 28 años","jovenes","No",,"3","Comuna 13 Oriental"
"34","2021","Colombia","18","Femenino","Floridablanca","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Floridablanca","SANIDAD DE LA POLICIA NACIONAL","2","Media","Desempleado","18 a 28 años","jovenes","No",,"2",
"35","2021","Colombia","28","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas tercer año","Bucaramanga","SURA","4","Profesional","Independiente","18 a 28 años","jovenes","No",,"4","Comuna 16 Lagos del Cacique"
"36","2021","Colombia","20","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas tercer año","Bucaramanga","Ninguna","4","Media","Estudiante","18 a 28 años","jovenes","Sí","4.13","4","Comuna 13 Oriental"
"37","2021","Colombia","54","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","Nueva eps","3","Profesional","Independiente","29 a 59 años","adultez","No",,"3","Comuna 5 García Rovira"
"38","2021","Colombia","30","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","Sanitas","5","Profesional","Estudiante","29 a 59 años","adultez","No",,"5","Comuna 13 Oriental"
"39","2021","Colombia","55","Femenino","Bucaramanga","Víctima del conflicto","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas tercer año","Bucaramanga","Sanitas","4","Tecnológica","Ama de casa","29 a 59 años","adultez","No",,"4","Comuna 12 Cabecera del llano"
"40","2021","Colombia","22","Femenino","Floridablanca","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Floridablanca","Nueva eps","2","Media","Estudiante","18 a 28 años","jovenes","Sí","11.75","2",
"41","2021","Colombia","19","Masculino","Floridablanca","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Floridablanca","coomeva","2","Técnica","Independiente","18 a 28 años","jovenes","No",,"2",
"42","2021","Colombia","41","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas tercer año","Bucaramanga","Famisanar","4","Especialización","Empleado","29 a 59 años","adultez","No",,"4","Comuna 7 La Ciudadela"
"43","2021","Colombia","9","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Programa integral artes infantil","Bucaramanga","Sanitas","3","Primaria","Estudiante","8 a 12 años","infancia","Sí","25","3","Comuna 17 Mutis"
"44","2021","Colombia","25","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas primer año","Bucaramanga","Nueva eps","1","Técnica","Estudiante","18 a 28 años","jovenes","Sí","28.49","1","Comuna 1 Norte"
"45","2021","Colombia","7","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Programa integral artes infantil","Bucaramanga","SURA","3","Primaria","Estudiante","0 a 7 años","primera infancia","No",,"3","Comuna 3 San Francisco"
"46","2021","Colombia","41","Femenino","Floridablanca","Persona con discapacidad","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Floridablanca","SURA","2","Media","Independiente","29 a 59 años","adultez","Sí","42","2",
"47","2021","Colombia","31","Femenino","Girón","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Girón","Avanzar","3","Especialización","Empleado","29 a 59 años","adultez","No",,"3",
"48","2021","Colombia","35","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Bucaramanga","SaludTotal","2","Profesional","Empleado","29 a 59 años","adultez","No",,"2","Comuna 2 Nororiental"
"49","2021","Colombia","8","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Programa integral artes infantil","Bucaramanga","Sanitas","4","Primaria","Estudiante","8 a 12 años","infancia","No",,"4","Comuna 13 Oriental"
"50","2021","Colombia","12","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Programa integral artes Adolescentes","Bucaramanga","Sanitas","4","Primaria","Estudiante","8 a 12 años","infancia","No",,"4","Comuna 13 Oriental"
"51","2021","Colombia","48","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Bucaramanga","Nueva eps","1","Tecnológica","Independiente","29 a 59 años","adultez","No",,"1","Comuna 14 Morrorico"
"52","2021","Colombia","43","Femenino","Bucaramanga","Comunidad Indígena","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas primer año","Bucaramanga","Asmed salud","3","Profesional","Independiente","29 a 59 años","adultez","Sí","26.99","3","Comuna 10 Provenza"
"53","2021","Colombia","19","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","Nueva eps","2","Tecnológica","Desempleado","18 a 28 años","jovenes","Sí","38.05","2","Comuna 4 Occidental"
"54","2021","Colombia","21","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Bucaramanga","comparta","4","Básica","Independiente","18 a 28 años","jovenes","No",,"4","Comuna 13 Oriental"
"55","2021","Colombia","45","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Bucaramanga","SaludTotal","4","Especialización","Empleado","29 a 59 años","adultez","No",,"4","Comuna 13 Oriental"
"56","2021","Colombia","42","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","coomeva","1","Media","Independiente","29 a 59 años","adultez","No",,"1","Comuna 1 Norte"
"57","2021","Colombia","23","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","coomeva","1","Tecnológica","Estudiante","18 a 28 años","jovenes","No",,"1","Comuna 1 Norte"
"58","2021","Colombia","19","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","SURA","4","Media","Estudiante","18 a 28 años","jovenes","No",,"4","Comuna 10 Provenza"
"59","2021","Colombia","62","Masculino","Floridablanca","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Floridablanca","Asmed salud","3","Técnica","Independiente","60 y mas años","persona mayor","Sí","2004","3",
"60","2021","Colombia","29","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","Coosalud","3","Profesional","Empleado","29 a 59 años","adultez","No",,"3","Comuna 5 García Rovira"
"61","2021","Colombia","8","Femenino","Bucaramanga","Persona con discapacidad","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Programa integral artes infantil","Bucaramanga","Sanitas","2","Primaria","Estudiante","8 a 12 años","infancia","Sí","16.25","2","Comuna 11 Sur"
"62","2021","Colombia","60","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","Sanitas","3","Básica","Independiente","60 y mas años","persona mayor","No",,"3","Comuna 17 Mutis"
"63","2021","Colombia","8","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Programa integral artes infantil","Bucaramanga","SaludTotal","3","Primaria","Estudiante","8 a 12 años","infancia","No",,"3","Comuna 1 Norte"
"64","2021","Colombia","60","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas primer año","Bucaramanga","SaludTotal","3","Especialización","Desempleado","60 y mas años","persona mayor","Sí","46","3","Comuna 3 San Francisco"
"65","2021","Colombia","27","Femenino","Floridablanca","Víctima del conflicto","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Floridablanca","Famisanar","2","Profesional","Independiente","18 a 28 años","jovenes","Sí","42.62","2",
"66","2021","Colombia","18","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Bucaramanga","Nueva eps","4","Media","Desempleado","18 a 28 años","jovenes","No",,"4","Comuna 13 Oriental"
"67","2021","Colombia","18","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas primer año","Bucaramanga","Nueva eps","2","Media","Estudiante","18 a 28 años","jovenes","Sí","26.98","2","Comuna 11 Sur"
"68","2021","Colombia","37","Femenino","Bucaramanga","En situación de discapacidad","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","SaludTotal","3","Profesional","Empleado","29 a 59 años","adultez","No",,"3","Comuna 1 Norte"
"69","2021","Colombia","18","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","Avanzar","4","Media","Estudiante","18 a 28 años","jovenes","No",,"4","Comuna 12 Cabecera del llano"
"70","2021","Colombia","24","Femenino","Floridablanca","Afrocolombiano, palenquero o raizal","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Floridablanca","coomeva","3","Media","Independiente","18 a 28 años","jovenes","No",,"3",
"71","2021","Colombia","23","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","Nueva eps","4","Técnica","Empleado","18 a 28 años","jovenes","No",,"4","Comuna 3 San Francisco"
"72","2021","Colombia","46","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","Sanitas","3","Profesional","Independiente","29 a 59 años","adultez","No",,"3","Comuna 7 La Ciudadela"
"73","2021","Colombia","14","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas tercer año","Bucaramanga","Coosalud","2","Media","Estudiante","13 a 17 años","adolescente","Sí","2","2","Comuna 11 Sur"
"74","2021","Colombia","19","Masculino","Otro","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Otro","La nueva eps","5","Media","Estudiante","18 a 28 años","jovenes","No",,"5",
"75","2021","Colombia","36","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","Nueva eps","4","Especialización","Independiente","29 a 59 años","adultez","No",,"4","Comuna 15 Centro"
"76","2021","Colombia","31","Femenino","Floridablanca","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Floridablanca","Sanitas","2","Técnica","Empleado","29 a 59 años","adultez","Sí","77.11","2",
"77","2021","Colombia","41","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","SURA","3","Profesional","Independiente","29 a 59 años","adultez","No",,"3","Comuna 9 La Pedregosa"
"78","2021","Colombia","57","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","Nueva eps","3","Tecnológica","Independiente","29 a 59 años","adultez","No",,"3","Comuna 11 Sur"
"79","2021","Colombia","46","Femenino","Otro","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Otro","SaludTotal","1","Básica","Ama de casa","29 a 59 años","adultez","Sí","36","1",
"80","2021","Colombia","8","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Programa integral artes infantil","Bucaramanga","Nueva eps","4","Primaria","Estudiante","8 a 12 años","infancia","No",,"4","Comuna 13 Oriental"
"81","2021","Colombia","12","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Programa integral artes Adolescentes","Bucaramanga","Nueva eps","4","Básica","Estudiante","8 a 12 años","infancia","No",,"4","Comuna 13 Oriental"
"82","2021","Colombia","40","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","Sanitas","4","Profesional","Desempleado","29 a 59 años","adultez","No",,"4","Comuna 3 San Francisco"
"83","2021","Colombia","12","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Programa integral artes Adolescentes","Bucaramanga","Sanitas","3","Preescolar","Estudiante","8 a 12 años","infancia","No",,"3","Comuna 13 Oriental"
"84","2021","Colombia","64","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","Nueva eps","3","Primaria","Pensionado","60 y mas años","persona mayor","No",,"3","Comuna 7 La Ciudadela"
"85","2021","Colombia","15","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Programa integral artes Adolescentes","Bucaramanga","Sanitas","4","Básica","Estudiante","13 a 17 años","adolescente","Sí","41","4","Comuna 13 Oriental"
"86","2021","Colombia","8","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Programa integral artes infantil","Bucaramanga","Coosalud","2","Primaria","Estudiante","8 a 12 años","infancia","Sí","31.59","2","Comuna 1 Norte"
"87","2021","Colombia","13","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Programa integral artes Adolescentes","Bucaramanga","Sanitas","3","Primaria","Estudiante","13 a 17 años","adolescente","No",,"3","Comuna 13 Oriental"
"88","2021","Colombia","13","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Programa integral artes Adolescentes","Bucaramanga","SaludTotal","2","Media","Estudiante","13 a 17 años","adolescente","Sí","24.1","2","Comuna 6 La Concordia"
"89","2021","Colombia","15","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Bucaramanga","Comparta","2","Media","Estudiante","13 a 17 años","adolescente","Sí","1","2","Comuna 5 García Rovira"
"90","2021","Colombia","12","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Programa integral artes Adolescentes","Bucaramanga","Coosalud","3","Básica","Ama de casa","8 a 12 años","infancia","Sí","27.71","3","Comuna 3 San Francisco"
"91","2021","Colombia","10","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","Nueva eps","3","Media","Estudiante","8 a 12 años","infancia","Sí","55","3","Comuna 3 San Francisco"
"92","2021","Colombia","9","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Programa integral artes infantil","Bucaramanga","Asmed salud","2","Media","Independiente","8 a 12 años","infancia","Sí","41.17","2","Comuna 10 Provenza"
"93","2021","Colombia","59","Masculino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas tercer año","Bucaramanga","Nueva eps","3","Media","Independiente","29 a 59 años","adultez","Sí","19.76","3","Comuna 15 Centro"
"94","2021","Colombia","46","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","Sanitas","4","Profesional","Independiente","29 a 59 años","adultez","No",,"4","Comuna 7 La Ciudadela"
"95","2021","Colombia","11","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Programa integral artes infantil","Bucaramanga","Sanitas","3","Primaria","Estudiante","8 a 12 años","infancia","No",,"3","Comuna 12 Cabecera del llano"
"96","2021","Colombia","25","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas primer año","Bucaramanga","Ninguna","2","Tecnológica","Independiente","18 a 28 años","jovenes","Sí","38.78","2","Comuna 4 Occidental"
"97","2021","Colombia","47","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas tercer año","Bucaramanga","SaludTotal","6","Profesional","Estudiante","29 a 59 años","adultez","No",,"6","Comuna 12 Cabecera del llano"
"98","2021","Colombia","54","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas tercer año","Bucaramanga","Sanitas","4","Media","Independiente","29 a 59 años","adultez","No",,"4","Comuna 13 Oriental"
"99","2021","Colombia","70","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Bucaramanga","Nueva eps","4","Media","Ama de casa","60 y mas años","persona mayor","No",,"4","Comuna 7 La Ciudadela"
"100","2021","Colombia","24","Femenino","Bucaramanga","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas segundo año","Bucaramanga","Coosalud","3","Tecnológica","Empleado","18 a 28 años","jovenes","Sí","23.53","3","Comuna 5 García Rovira"
"101","2021","Colombia","45","Femenino","Floridablanca","Ninguno de los anteriores","Artes Plásticas","Técnico laboral en artes plásticas y aplicadas semillero-Estudio libre dibujo y pintura","Floridablanca","Nueva eps","3","Media","Independiente","29 a 59 años","adultez","No",,"3",
