"dog_name","breed","age","gender","color"
"JAX","JACK RUSSEL TERRIER MIX",,"Male Neutered","BLACK  AND WHITE"
"PRINCE","CHIHUAHUA MIX","0","Male","TAN"
"NOODLE","MIX","0","Female Spayed","BLACK"
"JELLYBEAN","MIX","0","Female Spayed","GRAY"
"BANJO WHITE MCGUFFIN","LABRADOR RETRIEVER  MIX","0","Male","BEIGE"
"KIMA","BULL MASTIFF","0","Female",
"ROSIE","LABRADOR RETRIEVER","0","Female","YELLOW"
"CLEO","CANE CORSO","0","Female","GRAY"
"BLANCHE","BASSET HOUND","0","Female","TRI COLOR"
"KUJO","SHEPHERD MIX","0","Male","BLACK AND TAN"
"ZEPPELIN","MIX","0","Male","MERLE"
"RUBY CHOPIN","MALTESE","0","Female","WHITE"
"CHANEL BEETHOVEN","MALTESE","0","Female",
"ANGEL","COCKER SPANIEL","0","Female Spayed","(NOT GIVEN)"
"MUSYA","YORKSHIRE TERRIER MIX","0","Female Spayed","WHITE AND TAN"
"MR. BOB","LABRADOODLE","0","Male Neutered","GOLD"
"PENNY","MIX","0","Female","BLACK AND  BROWN"
"BISCUIT","SHELTIE","0","Male",
"LUCY","SHIH TZU","0","Female Spayed","TRI COLOR"
"OZZY","RETRIEVER  MIX","0","Male Neutered","BLACK"
"Siena","MIX","0","Female Spayed","BLACK"
"MURPHY","LABRADOODLE","1","Male",
"ODIN","GERMAN SHEPHERD","1","Male","BLACK AND  BROWN"
"HOLLY","SHEPHERD MIX","1","Female","BLACK"
"FERRIS","BICHON FRISE MIX","1","Male","APRICOT"
"FREYA","RHODESIAN RIDGEBACK","1","Female","RED"
"MAPLE","LABRADOR RETRIEVER  MIX","1","Female","BLACK"
"VIXEN","OLD ENGLISH BULLDOG","1","Female","BLUE"
"JOSEPHINE","FRENCH BULLDOG","1","Female","FAWN"
"TUCKER","HOUND MIX","1","Male Neutered","BLONDE"
"CHARLIE","JACK RUSSEL TERRIER","1","Female","WHITE AND BROWN"
"BRADY","SIBERIAN HUSKY","1","Male","TRI COLOR"
"OLLIE","GOLDEN DOODLE","1","Male","RED AND WHITE"
"COAL","LABRADOR RETRIEVER","1","Male Neutered","UNKNOWN"
"SADIE","ENGLISH SPRINGER SPANIEL","1","Female","BLACK  AND WHITE"
"BENI","BULL MASTIFF","1","Male","FAWN"
"ARTHUR","LABRADOR RETRIEVER  MIX","1","Male Neutered","BLACK  AND WHITE"
"JUNI","GERMAN SHEPHERD MIX","1","Female Spayed","BLACK"
"ELLIE","HOUND MIX","1","Female Spayed","TRI COLOR"
"SADIE","ALASKAN MALAMUTE","1","Female","BLACK"
"MILO","SHORKIE","1","Male Neutered","BROWN"
"DUKE","LABRADOR RETRIEVER","1","Male","YELLOW"
"BOOMER","LABRADOR RETRIEVER  MIX","1","Male","BLACK"
"CUTIE","MALTESE","1","Male Neutered","WHITE"
"TOBY","MALTESE (MIX)","1","Male Neutered","(NOT GIVEN)"
"BENTLY","LABRADOR RETRIEVER","1","Male","BROWN"
"OREO","BICHON FRISE","1","Male Neutered","WHITE AND BLACK"
"BUDDY","MORKIE","1","Male","BROWN"
"FINN","PEMB WELSH CORGI","1","Male","TRI COLOR"
"BELLA","LABRADOR RETRIEVER  MIX","1","Female Spayed","BLACK"
"PEBBLES","POODLE, MIX","1","Female Spayed","CREAM"
"KODA","AUSTRALIAN LABRADOODLE","1","Female Spayed","BLACK"
"SEBASTIAN","ENGLISH COCKER SPANIEL","1","Male","BLACK"
"APOLLO","GERMAN SHEPHERD","1","Male","TRI COLOR"
"BUDDY","BEAGLE MIX","1","Male Neutered","BLACK AND TAN"
"ELLIE","GOLDEN RETIREVER","1","Female Spayed","GOLD"
"COMPY","ENGLISH BULLDOG","1","Male","(NOT GIVEN)"
"SADIE","BEAGLE","1","Female Spayed","TRI COLOR"
"PEACHES","ENGLISH BULLDOG","1","Female","TAN AND WHITE"
"COCO","BULL DOG","1","Female","RED"
"ACE","LABRADOR RETRIEVER","1","Male Neutered","BLACK  AND WHITE"
"CHICO","CHIHUAHUA","1","Male Neutered","TAN"
"GIZMO","PUGGLE","1","Male Neutered","TAN AND WHITE"
"SAM","TERRIER MIX","1","Female Spayed","(NOT GIVEN)"
"HUDSON","GOLDEN RETRIEVER","1","Male","GOLDEN"
"BORI","SHI-TZU","1","Male","BRINDLE AND WHITE"
"ARTHUR","PEMB WELSH CORGI","1","Male","TRI COLOR"
"DUKE","LABRADOR RETRIEVER","1","Male","YELLOW"
"TRIS","AUSTRALIAN SHEPHERD","1","Female","BLUE"
"BUDDY","CHIHUAHUA MIX","1","Male Neutered","FAWN"
"LILLY","SHIH TZU X","1","Female Spayed","(NOT GIVEN)"
"SADIE","DACHSHUND MIX","1","Female Spayed","TAN AND WHITE"
"LICORICE","COCKAPOO","1","Male","BLACK"
"REESE","LABRADOODLE MIX","1","Female Spayed","BLACK  AND WHITE"
"ROCKY","GOLDEN RETREIVER","1","Male Neutered","GOLD"
"WILLOW","MINATURE PINSCHER","1","Female Spayed","BLACK AND  BROWN"
"BREWSTER","AIREDALE TERRIER","1","Male","BLACK AND TAN"
"COLE","GERMAN SHEPHERD","1","Female","BLACK"
"BEAR","SHIHTZU MIX","1","Male Neutered","WHITE"
"JERSEY","LABRADOR RETRIEVER","1","Female Spayed","BLACK"
"OLIVER","BEAGLE","1","Male Neutered","TRI COLOR"
"VINCE","NEPOLITAN MASTIFF","1","Male Neutered","GRAY"
"LOYAL","GERMAN SHEPHERD","1","Female Spayed","BLACK AND RED"
"KAIUS","GERMAN SHEPHERD","1","Male Neutered","TRI COLOR"
"KONEEKO","PITBULL MIX","1","Female","TAN"
"OSCAR","LABRADOR RETRIEVER  MIX","1","Male Neutered","(NOT GIVEN)"
"MAX","SHIH-TZU","1","Male Neutered","WHITE AND TAN"
"STITCH","CHIHUAHUA MIX","1","Male Neutered","TAN"
"WALLY","BEAGLE MIX","1","Male Neutered","TRI COLOR"
"CARDI","LABRADOR RETRIEVER","1","Male","BLACK"
"BAILEY","HUSKY","1","Female","BLACK  AND WHITE"
"DOT","LABRADOR RETRIEVER","1","Female Spayed","BROWN"
"ELAINE BENES","WEIMARANER","1","Female Spayed","TAN"
"BEN","MORKIE","1","Male Neutered","BROWN"
"FAITHFUL","HUSKY MIX","1","Female","BLACK AND  BROWN"
"HANZ","GERMAN SHEPHERD","1","Male","BLACK AND RED"
"SUNNY","SAINT BERNARD","1","Male","BLACK  AND WHITE"
"COOKIE","YORKSHIRE TERRIER","1","Male","WHITE"
"REX","BULL MASTIFF","1","Male","FAWN"
"WILLOW","GERMAN SHEPHERD","1","Female Spayed","OTHER"
"MARCUS","DACHSHUND","1","Male Neutered","RED AND BROWN"
"GABRIEL","YORKSHIRE TERRIER MIX","1","Male Neutered","SILVER AND TAN"
"DEXTER","BELGIAN MALINOIS","1","Male Neutered","FAWN"
"JACKIE","BOUVIER DES FLANDRES","1","Female Spayed","BLACK"
"POKEY","SCHNAUZER","1","Male Neutered","WHITE AND BLACK"
"COCO","MIX BREED","1","Female","(NOT GIVEN)"
"BAILEY","MALTESE","1","Male Neutered","WHITE"
"FRENCH FRY","DACHSHUND","1","Female Spayed","BLACK"
"LINDA","CHIHUAHUA","1","Female Spayed","TAN"
"KING","HUSKY","1","Male","WHITE AND BLACK"
"HUMBERT","OTHER","1","Male","WHITE AND BROWN"
"NYLO","TERRIER","1","Male","BLONDE"
"DARSY","CHIHUAHUA MIX","1","Female","APRICOT"
"COOPER","MALTI POO","1","Male Neutered","BLACK  AND WHITE"
"LOUIE","BICHON FRISE MIX","1","Male Neutered","TAN"
"LOLA","PIT BULL MIX","1","Female Spayed","BRINDLE"
"LILY","LABRADOR RETRIEVER","1","Female Spayed","BLACK  AND WHITE"
"SCOUT","HAVANESE MIX","1","Male","BLACK  AND WHITE"
"PEPPER","SHIH TZU","1","Female","BLACK AND  BROWN"
"RUBY","LABRADOR RETRIEVER","1","Female","BLACK"
"BUDDY","BEAGLE MIX","1","Male Neutered","BROWN AND WHITE"
"JAKZ","TERRIER MIX","1","Male Neutered","TAN"
"BABBET","MALTESE","1","Female Spayed","WHITE"
"MAEVE","LHASA APSO","1","Female","WHITE AND BROWN"
"DEBBIE","MIXED","1","Female Spayed","BLACK AND  BROWN"
"KATIE","SALUKI MIX","1","Female Spayed","CREAM"
"BOOGIE","MIX","1","Male Neutered","BLACK  AND WHITE"
"POP","MIXED","1","Male","WHITE"
"ANGELO","MIXED","1","Male",
"BABS","HAVANESE","1","Female","WHITE"
"ZEUS","BORDER COLLIE","1","Male",
"NICO","GERMAN SHEPHERD","1","Male","SABLE"
"NOVA","LABRADOR RETRIEVER  MIX","1","Female Spayed","BLACK AND  BROWN"
"RYDER","LABRADOR RETRIEVER  MIX","1","Male Neutered","BEIGE"
"ZANDER","HAVANESE","1","Male","BROWN"
"BEAN","BORDER COLLIE MIX","1","Female Spayed","WHITE"
"MAGIC","RHODESIAN RIDGEBACK","1","Male","WHEAT"
"SUGGIE","HOUND MIX","1","Male","BRINDLE AND WHITE"
"MILA","MINIATURE DACHSHUND","1","Female","BLUE AND TAN"
"ARCHIE","GOLDEN RETRIEVER","1","Male","GOLD"
"BLACKY","GERMAN SHEPHERD","1","Male","BLACK  AND WHITE"
"JAMESON","MIX","1","Female Spayed","YELLOW"
"TATE","LABRADOR RETRIEVER  MIX","1","Female Spayed","FAWN AND WHITE"
"GRIFFIN","GOLDEN DOODLE","1","Male","CREAM"
"FINN","CAVALIER KING CHARLES SPANIEL","1","Male","TAN AND WHITE"
"BETTSY","LABRADOR RETRIEVER","1","Female","BLACK"
"WILLA","LABRADOODLE","1","Female","RED AND WHITE"
"FRANKLIN","RHODESIAN RIDGEBACK","1","Male Neutered","BROWN"
"SCOOBY","COCKER SPANIEL","1","Male Neutered","BLACK  AND WHITE"
"BOOTS","YORKSHIRE TERRIER","1","Male Neutered","BLACK AND TAN"
"PHILLIPS","JACK RUSSEL TERRIER","1","Male Neutered","TRI COLOR"
"GIZMO","PEMBROKE W. CORGI","1","Male Neutered","RED AND WHITE"
"PRECIOUS","YORKSHIRE TERRIER","1","Female Spayed","TAN AND BLACK"
"ODIE","GOLDEN RETRIEVER MIX","1","Male Neutered","GOLD"
"MILO","SCHNAUZER MIX","1","Male Neutered","(NOT GIVEN)"
"SASHA","HUSKY MIX","1","Female Spayed","(NOT GIVEN)"
"NICKY","SHIH TZU","1","Male","WHITE"
"ZOEY","BEAGLE MIX","1","Female Spayed","BROWN AND WHITE"
"FREDDIE","GERMAN SHEPHERD","1","Male","BLACK AND  BROWN"
"LADY","SPANIEL","1","Female","BLACK"
"GUS","TERR JACK RUSSELL","1","Male Neutered","TRI COLOR"
"MOLLY","GOLDEN RETREIVER","1","Female Spayed","GOLD"
"LUNA","HUSKY MIX","1","Female","BLACK AND BEIGE"
"BUDDY","HUSKY MIX","1","Male Neutered","WHITE AND TAN"
"PRINCE","LABRADOR RETRIEVER","1","Male","YELLOW"
"RANGER","LABRADOR RETRIEVER","1","Male","YELLOW"
"JAKE","BICHON FRISE","10","Male Neutered","WHITE"
"MAVERICK","BOSTON TERRIER","10","Male Neutered","BROWN AND WHITE"
"JOSIE","BOSTON TERRIER","10","Female Spayed","WHITE AND BROWN"
"SAMMIE","PITBULL","10","Female Spayed","TAN AND WHITE"
"TEDDY","TOUGH COAT COLLIE","10","Male Neutered","SABLE"
"ROSY","BEAGLE","10","Female Spayed","TRI COLOR"
"MADDY","LABRADOR RETRIEVER","10","Female Spayed","BLACK"
"BOOKIE","LABRADOR RETRIEVER","10","Female Spayed","BLACK"
"LILI MAY","MIXED","10","Female Spayed","GRAY AND WHITE"
"DARWIN","STANDARD POODLE","10","Female Spayed","BLACK"
"LILY","PAPILLON","10","Female Spayed","TRI COLOR"
"BROWNEY","GOLDEN RETR","10","Female Spayed","BLONDE"
"SUZIE","YORKSHIRE TERRIER","10","Female","BLACK AND  BROWN"
"TAWNY","LABRADOR RETRIEVER  MIX","10","Female Spayed","YELLOW"
"SHELBY","LABRADOR RETRIEVER  MIX","10","Female Spayed","BROWN"
"LAYLA","PIT BULL MIX","10","Female Spayed","BLACK  AND WHITE"
"JASPER","CHIHUAHUA","10","Male Neutered","TRI COLOR"
"NICO BLUE","CHIHUAHUA","10","Female Spayed","YELLOW"
"LADY BUG","YORKSHIRE TERRIER","10","Female","BLACK AND TAN"
"BISCUIT","YORKSHIRE TERRIER","10","Male","BLONDE"
"SOPHIE","POM","10","Female Spayed","SABLE"
"MADDIE","BEAGLE","10","Female Spayed","TRI COLOR"
"WELKER","PUG","10","Male Neutered","FAWN"
"NICO","PORTUGESE WATER DOG","10","Male Neutered","BLACK  AND WHITE"
"DAISY","PEKENESE MIX","10","Female Spayed","TAN AND BLACK"
"DR PEPPER","SHIH TZU","10","Male Neutered","WHITE AND BROWN"
"COOPER","SCHNOODLE","10","Male Neutered","BLACK AND SILVER"
"ROSIE","YORKSHIRE TERRIER","10","Female Spayed","TAN AND BLACK"
"PENNY","BEAGLE MIX","10","Female Spayed","BLACK AND TAN"
"BUDDY","PUG","10","Male Neutered","FAWN"
"MAGGIE","LABRADOR RETRIEVER  MIX","10","Female Spayed","BLACK AND TAN"
"ZULU","GERMAN SHORTHAIR POINTER","10","Female Spayed","LIVER AND WHITE"
"BENTLEY","PUGGLE","10","Male Neutered","FAWN"
"PEACHES","GERMAN SHEPHERD","10","Female","BLACK AND  BROWN"
"BELLA","HUSKY MIX","10","Female Spayed","TAN AND BLACK"
"MAX","GERMAN SHEPHERD","10","Male Neutered","BLACK AND TAN"
"ROSEY","BOXER MIX","10","Female","FAWN"
"COOKIE","BOSTON TERRIER","10","Female Spayed","BLACK  AND WHITE"
"SUMMER CARNEIRO","SHIH TZU","10","Female Spayed","GOLD AND WHITE"
"DRESDEN","ROTTWEILER","10","Male","BLACK AND TAN"
"QUE QUE","YORKSHIRE TERRIER MIX","10","Male Neutered","GRAY AND WHITE"
"CODY","COCKAPOO","10","Male Neutered","BUFF"
"MURPHY","LABRADOR RETRIEVER","10","Female Spayed","YELLOW"
"SWEET PEA","LABRADOR RETRIEVER  MIX","10","Female Spayed","BLACK"
"STEFFI","MIN SCHNAUZER","10","Female Spayed","WHITE AND BLACK"
"GABY","SCHNAUZER/ MINATURE","10","Female Spayed","WHITE AND BLACK"
"DAISY","SHIH TZU","10","Female Spayed","BLACK  AND WHITE"
"SUGAR","ROTTWEILLER MIX","10","Female Spayed","BLACK AND  BROWN"
"ABBEY","GOLDEN RETRIEVER","10","Female Spayed","APRICOT"
"CHIQUITA","CHIHUAHUA","10","Female Spayed","TAN AND BROWN"
"DAISY","PUGGLE","10","Female Spayed","TAN"
"SAMMY","SATO","10","Male Neutered","BLACK  AND WHITE"
"SPARROW","TERRIER MIX","10","Female Spayed","ORANGE"
"MEL","SHIH TZU","10","Female Spayed","BLACK  AND WHITE"
"DIESEL","MIX","10","Male Neutered","TAN"
"FITZ","JACK RUSSELL TERRIER","10","Male Neutered","TRI COLOR"
"RUDY","LABRADOR RETRIEVER  MIX","10","Female Spayed","BLACK"
"HUNTER","LABRADOR RETRIEVER","10","Male Neutered","BROWN"
"JAYDEN","SHIH TZU","10","Male","BLACK"
"GUCCI","CHIHUAHUA MIX","10","Male","GRAY"
"MAMBO","MIX","10","Male Neutered","FAWN"
"D'OGIE","GOLDEN RETRIEVER","10","Male","GOLD"
"HOLLY","MALTESE","10","Female Spayed","WHITE"
"TONY","DACHSHUND SHORT HAIR","10","Male Neutered","BLACK"
"LOGAN","CHOW CHOW","10","Male Neutered","CREAM"
"GOLDY","GOLDEN RETRIEVER","10","Male Neutered","GOLDEN"
"FROSTY","MALTI POO","10","Female Spayed","CREAM"
"PAIGE","GERMAN SHEPHERD","10","Female Spayed","BLACK AND TAN"
"MEATBALL","PUG MIX","10","Male Neutered","BRINDLE"
"HONEY","LABRADOR RETRIEVER","10","Female Spayed","YELLOW"
"BAILEY","BEAGLE","10","Female Spayed","TRI COLOR"
"NELSON","LABRADOR RETRIEVER","10","Male Neutered","YELLOW"
"NICKY","MALTESE/POODLE","10","Female Spayed","WHITE"
"ZOE","LABRADOODLE","10","Female Spayed","APRICOT"
"ROCKY","SHIH TZU","10","Male Neutered","WHITE AND BLACK"
"OMIE","LABRADOODLE","10","Female Spayed","BLACK"
"MARLEY","TOY POODLE","10","Female","WHITE"
"DIXIE LU","BOSTON TERRIER","10","Female Spayed","BROWN AND WHITE"
"JUNA","AUSTRALIAN CATTLE DOG","10","Female Spayed","BLUE"
"BILLIE","BEAGLE","10","Male Neutered","TRI COLOR"
"CALLI","LABRADOR RETRIEVER  MIX","10","Female Spayed","BLACK"
"BONNIE","CHIHUAHUA","10","Female Spayed","BROWN"
"MITSY","MINATURE PINCHER","10","Female Spayed","GRAY AND BLACK"
"SADIE","COCKAPOO","10","Female Spayed","BUFF"
"MIKEY","BEAGLE MIX","10","Male Neutered","TRI COLOR"
"COCO","TOY POODLE","10","Female Spayed","BROWN"
"HUNTER","PITBULL MIX","10","Male Neutered","BROWN AND BLACK"
"DORA","CHIHUAHUA","10","Female Spayed","BLACK"
"NALA","MORKIE","10","Female","WHITE"
"PIPER","MORKIE","10","Female","TAN"
"ZERA","ALASKAN MALAMUTE","10","Female Spayed","GRAY AND WHITE"
"BONNIE","GREYHOUND","10","Female Spayed","FAWN"
"SAMPSON","GERMAN SHEPHERD","10","Male Neutered","BLACK AND TAN"
"PIPER","COCKER SPANIEL","10","Female Spayed","WHITE AND GRAY"
"SUGAR","POODLE","10","Male Neutered","APRICOT"
"BUCKSHOT","BORDER COLLIE MIX","10","Male Neutered","BLACK  AND WHITE"
"AURA","HUSKY","10","Female Spayed","WHITE AND GRAY"
"CLANCY","CAVALIER KING CHARLES SPANIEL","10","Male Neutered","RED"
"BOSTON","CHIHUAHUA","10","Male Neutered","TAN"
"BOBBY","JACK RUSSEL TERRIER","10","Male Neutered","TRI COLOR"
"PACO","LABRADOR RETRIEVER  MIX","10","Male Neutered","WHITE AND BROWN"
"GAMBIT","BEAGLE","10","Male Neutered","TRI COLOR"
"TANNER","MASTIFF MIX","10","Male","BRINDLE"
"LUCY","BOXER MIX","10","Female","TAN"
"PRIINCY","YORKSHIRE TERRIER","10","Female Spayed","BLUE AND GOLD"
"MINDY","SHEPHERD MIX","10","Female Spayed","RED AND WHITE"
"SAMMY","SHIH TZU","10","Male Neutered","WHITE AND GOLD"
"CARSON","SAINT BERNARD","10","Male Neutered","TRI COLOR"
"JACK","MIX","10","Male Neutered","TAN AND WHITE"
"LILY","SHI-POO","10","Female Spayed","WHITE AND BLACK"
"MARCUS","LABRADOR RETRIEVER","10","Male Neutered","YELLOW"
"DAISY","MIXED BREED","10","Female Spayed","BLACK AND  BROWN"
"LUCY","LABRADOR RETRIEVER","10","Female Spayed","BROWN"
"ROSIE","WIRE HAIRD TERR MIX","10","Female Spayed","WHITE AND BEIGE"
"ROO","SHEPHERD MIX","10","Female Spayed","BLACK AND TAN"
"BARBIE","SHIH TZU","10","Female Spayed","BLACK  AND WHITE"
"RAMESES","SHIH TZU","10","Male Neutered","CREAM"
"TOBY","HOUND MIX","10","Male Neutered","RED"
"BAILEY","JACK RUSSELL TERR","10","Female Spayed","WHITE AND BROWN"
"DAISY","BEAGLE MIX","10","Female Spayed","WHITE AND BROWN"
"MOLLY","GOLDEN RETRIEVER","10","Female Spayed","TAN"
"HAILEY","MIXED BREED","10","Female Spayed","TAN AND WHITE"
"TESSIE","TERRIER MIX","10","Female Spayed","TAN"
"CLANCY","ROTTWEILER X","10","Female Spayed","BLACK AND TAN"
"LUKE","MIXED","10","Male Neutered","TAN"
"LEO","LABRADOR RETRIEVER","10","Male Neutered","BLACK"
"GUINESS","FRENCH BULL DOG","10","Male Neutered","BLACK  AND WHITE"
"EMILY","BEAGLE","10","Female Spayed","TRI COLOR"
"BOOF","SHIH TZU","10","Male Neutered","TRI COLOR"
"SCOTCH","LABRADOR RETRIEVER","10","Female Spayed","YELLOW"
"DAVE FROM ACCOUNTING","GREYHOUND","10","Male Neutered","BRINDLE"
"BARTHOLOMEW","BOSTON TERRIER","10","Male Neutered","BLACK"
"OLIVER","AUSTRALIAN SHEPHERD MIX","10","Male Neutered","RED MERLE"
"HYACINTH","AUSTRALIAN CATTLE DOG","10","Female Spayed","WHITE AND BLACK"
"EMMA SUE","PAPILLON","10","Female Spayed","TRI COLOR"
"TIPPY","WELSH TERRIER","10","Female Spayed","BLACK AND TAN"
"AUGGY","LABRADOR RETRIEVER","10","Male Neutered","BLACK"
"ALPHA","SIBERIAN HUSKY","10","Male Neutered","WHITE AND BLACK"
"NELLIE","CORGI MIX","10","Female Spayed","TRI COLOR"
"MORGAN","LABRADOR RETRIEVER  MIX","10","Male Neutered","BLACK"
"CHARKY","S. HUSKY","10","Male","BLACK  AND WHITE"
"FENWAY","LABRADOR RETRIEVER","10","Male Neutered","BLACK"
"SOPHIE","COCKER SPANIEL","10","Female Spayed","BLONDE"
"LEO","COLLIE MIX","10","Male","BLACK AND  BROWN"
"CORKIE","SILKY TERRIER","10","Male","BLACK AND  BROWN"
"HARVEY","LHASA APSO MIX","10","Male Neutered","BLACK  AND WHITE"
"COOPER","AUSTRALIAN CATTLE DOG","10","Male Neutered","TRI COLOR"
"CHARLIE","ALASKAN MALAMUTE MIX","10","Male Neutered","TRI COLOR"
"GRACIE","LABRADOR RETRIEVER","10","Female Spayed","BROWN"
"MERRY","TIBETAN SPANIEL","10","Female Spayed","BLONDE"
"BELLA","LABRADOR RETRIEVER  MIX","10","Female Spayed","YELLOW"
"JOPLIN","LABRADOR RETRIEVER","10","Female Spayed","YELLOW"
"BOOTY","BEAGLE MIX","10","Female Spayed","TAN"
"CHLOE","MIX","10","Female Spayed","GOLD"
"PEPE","PUGGLE","10","Male Neutered","BROWN"
"SUNNY","POMERANIAN","10","Male","WHITE"
"ARCHIE FRECKLES","COCKER SPANIEL","10","Male Neutered","WHITE AND CREAM"
"BEAU","BICHON FRISE","10","Male Neutered","WHITE"
"MAY","TERRIER MIX","10","Female Spayed","WHITE"
"BANDIT","YORKSHIRE TERRIER","10","Male Neutered","BROWN AND TAN"
"HARLEY","MALTESE","10","Male Neutered","WHITE"
"ROXIE","BOXER MIX","10","Female Spayed","BROWN AND TAN"
"ROSCOE","LABRADOR RETRIEVER","10","Male Neutered","YELLOW"
"COLE","MINIATURE SCHNAUZER","10","Male","CHARCOAL"
"PUNKIN","BEAGLE MIX","10","Female Spayed","TRI COLOR"
"BENTLEY","YORKSHIRE TERRIER","10","Male Neutered","BLACK AND TAN"
"ROCKY","BICHON FRISE","10","Male Neutered","WHITE"
"JO JO","COCKER SPANIEL","10","Male Neutered","TAN AND WHITE"
"MAGGIE","POODLE","10","Female Spayed","WHITE"
"MANDY","CAIRN TERRIER","10","Female Spayed","CREAM"
"JACK","LABRADOR RETRIEVER  MIX","10","Male Neutered","BLACK"
"ROCKY","AUSTRALIAN SHEPHERD MIX","10","Male Neutered","TAN AND WHITE"
"JACKSON","MIX","10","Male Neutered","BLACK  AND WHITE"
