"census_year","county_fips_code","economic_development_region","workforce_development_area","county_name","county_code","age_range","gender","total_population","no_high_school_diploma","high_school_diploma_or","some_college_no_degree","associate_s_degree","bachelor_s_degree","graduate_or_professional","total_post_secondary","geocoded_column"
"2010-01-01T00:00:00.000","42029","Southeast","Chester County WDA","Chester","15","25 to 34 Years","Male","26794","2184","6277","4425","1574","9267","3067","13908","(39.9748705566, -75.7562649818)"
"2013-01-01T00:00:00.000","42049","Northwest","Northwest WDA","Erie","25","25 to 34 Years","Male","17166","1371","5982","3296","1456","3769","1292","6517","(41.9941378702, -80.0407591036)"
"2010-01-01T00:00:00.000","42071","Southeast","Lancaster County WDA","Lancaster","36","45 to 64 Years","Female","67714","8858","29659","10427","4084","9370","5316","18770","(40.0459079619, -76.2513876838)"
"2015-01-01T00:00:00.000","42017","Southeast","Bucks County WDA","Bucks","09","25 to 34 Years","Female","34094","1548","6605","6914","3589","10244","5194","19027","(40.335011331, -75.1129124111)"
"2012-01-01T00:00:00.000","42065","Northwest","North Central WDA","Jefferson","33","25 to 34 Years","Male","2451","271","1118","331","355","332","44","731","(41.1313909115, -79.0010181419)"
"2010-01-01T00:00:00.000","42007","Southwest","Southwest Corner WDA","Beaver","04","45 to 64 Years","Female","26328","1802","11272","5011","3088","3407","1748","8243","(40.6834924548, -80.3510735648)"
"2011-01-01T00:00:00.000","42057","Central","Southern Alleghenies WDA","Fulton","29","25 to 34 Years","Male","811","90","482","104","59","48","28","135","(39.9248751086, -78.1148504535)"
"2015-01-01T00:00:00.000","42057","Central","Southern Alleghenies WDA","Fulton","29","45 to 64 Years","Female","2105","221","1167","337","123","150","107","380","(39.9248751086, -78.1148504535)"
"2010-01-01T00:00:00.000","42037","Northeast","Central WDA","Columbia","19","45 to 64 Years","Female","9083","919","4314","1410","658","1045","737","2440","(41.0491208559, -76.4100217975)"
"2010-01-01T00:00:00.000","42005","Southwest","Tri-County WDA","Armstrong","03","25 to 34 Years","Female","3603","149","1265","737","544","635","273","1452","(40.8150952555, -79.4731689893)"
"2012-01-01T00:00:00.000","42069","Northeast","Lackawanna County WDA","Lackawanna","35","25 to 34 Years","Male","12279","1197","3880","2561","991","2857","793","4641","(41.4391006428, -75.6121834524)"
"2014-01-01T00:00:00.000","42079","Northeast","Luzerne-Schuylkill Counties WDA","Luzerne","40","45 to 64 Years","Male","45591","4092","18569","8730","3814","6461","3925","14200","(41.1783643884, -75.991996098)"
"2015-01-01T00:00:00.000","42085","Northwest","West Central WDA","Mercer","43","35 to 44 Years","Female","6467","480","2014","1119","922","1286","646","2854","(41.302377765, -80.2600941079)"
"2012-01-01T00:00:00.000","42023","Northwest","North Central WDA","Cameron","12","45 to 64 Years","Male","857","98","498","69","74","107","11","192","(41.4388026531, -78.2091693241)"
"2013-01-01T00:00:00.000","42075","Lehigh Valley","South Central WDA","Lebanon","38","35 to 44 Years","Female","8393","600","3140","1500","819","1465","869","3153","(40.3675970024, -76.4618257486)"
"2012-01-01T00:00:00.000","42053","Northwest","Northwest WDA","Forest","27","35 to 44 Years","Female","275","79","120","34","22","13","7","42","(41.5135787577, -79.2378099483)"
"2012-01-01T00:00:00.000","42017","Southeast","Bucks County WDA","Bucks","09","45 to 64 Years","Female","97531","4108","32206","17498","9729","20054","13936","43719","(40.335011331, -75.1129124111)"
"2010-01-01T00:00:00.000","42083","Northwest","North Central WDA","McKean","42","35 to 44 Years","Female","2774","233","1105","496","339","410","191","940","(41.810370736, -78.5712201998)"
"2011-01-01T00:00:00.000","42059","Southwest","Southwest Corner WDA","Greene","30","25 to 34 Years","Female","2005","115","812","340","340","289","109","738","(39.8548039342, -80.2294381655)"
"2013-01-01T00:00:00.000","42041","Central","South Central WDA","Cumberland","21","35 to 44 Years","Male","15472","1031","5060","2493","1173","3529","2186","6888","(40.167598388, -77.268662705)"
"2012-01-01T00:00:00.000","42043","Central","South Central WDA","Dauphin","22","25 to 34 Years","Male","17139","1748","5143","3442","1407","3804","1595","6806","(40.4197463597, -76.7796056802)"
"2013-01-01T00:00:00.000","42015","Northeast","Northern Tier WDA","Bradford","08","25 to 34 Years","Male","3208","340","1723","388","234","479","44","757","(41.7911781401, -76.5182562384)"
"2011-01-01T00:00:00.000","42029","Southeast","Chester County WDA","Chester","15","25 to 34 Years","Male","27107","2249","6580","4643","1623","8726","3286","13635","(39.9748705566, -75.7562649818)"
"2014-01-01T00:00:00.000","42049","Northwest","Northwest WDA","Erie","25","25 to 34 Years","Male","17545","1357","6348","3288","1426","3968","1158","6552","(41.9941378702, -80.0407591036)"
"2010-01-01T00:00:00.000","42011","Lehigh Valley","Berks County WDA","Berks","06","25 to 34 Years","Male","22764","3659","8331","4017","1752","4022","983","6757","(40.4193963513, -75.9307732705)"
"2011-01-01T00:00:00.000","42043","Central","South Central WDA","Dauphin","22","25 to 34 Years","Female","17572","1307","4384","3485","1776","4667","1953","8396","(40.4197463597, -76.7796056802)"
"2010-01-01T00:00:00.000","42063","Southwest","Tri-County WDA","Indiana","32","35 to 44 Years","Female","4992","343","1965","919","572","777","416","1765","(40.6529549748, -79.0933349286)"
"2015-01-01T00:00:00.000","42025","Northeast","Pocono Counties WDA","Carbon","13","35 to 44 Years","Female","3979","169","1442","1050","445","513","360","1318","(40.9193670081, -75.7110703866)"
"2010-01-01T00:00:00.000","42053","Northwest","Northwest WDA","Forest","27","45 to 64 Years","Female","871","85","509","109","56","50","62","168","(41.5135787577, -79.2378099483)"
"2010-01-01T00:00:00.000","42047","Northwest","North Central WDA","Elk","24","45 to 64 Years","Male","4946","278","2664","638","610","479","277","1366","(41.4281941606, -78.6494771322)"
"2010-01-01T00:00:00.000","42023","Northwest","North Central WDA","Cameron","12","45 to 64 Years","Female","796","55","452","88","35","134","32","201","(41.4388026531, -78.2091693241)"
"2012-01-01T00:00:00.000","42011","Lehigh Valley","Berks County WDA","Berks","06","25 to 34 Years","Female","23305","2836","5542","5035","2351","5436","2105","9892","(40.4193963513, -75.9307732705)"
"2014-01-01T00:00:00.000","42045","Southeast","Delaware County WDA","Delaware","23","25 to 34 Years","Female","35461","2014","7265","6913","3323","10690","5256","19269","(39.9165786652, -75.4062771212)"
"2014-01-01T00:00:00.000","42001","Central","South Central WDA","Adams","01","45 to 64 Years","Female","15241","1269","6564","2495","1237","2127","1549","4913","(39.8720956503, -77.2222427076)"
"2015-01-01T00:00:00.000","42057","Central","Southern Alleghenies WDA","Fulton","29","25 to 34 Years","Female","755","68","205","172","132","108","70","310","(39.9248751086, -78.1148504535)"
"2011-01-01T00:00:00.000","42037","Northeast","Central WDA","Columbia","19","25 to 34 Years","Female","3212","242","1146","688","311","535","290","1136","(41.0491208559, -76.4100217975)"
"2015-01-01T00:00:00.000","42027","Northwest","Central WDA","Centre","14","45 to 64 Years","Female","17111","993","5600","2448","1607","3535","2928","8070","(40.9193135008, -77.8250011212)"
"2014-01-01T00:00:00.000","42031","Northwest","Northwest WDA","Clarion","16","35 to 44 Years","Male","2182","221","959","277","218","401","106","725","(41.1927912877, -79.4248360769)"
"2012-01-01T00:00:00.000","42087","Central","Central WDA","Mifflin","44","35 to 44 Years","Male","2909","373","1463","381","375","217","100","692","(40.6127492804, -77.6200308901)"
"2013-01-01T00:00:00.000","42063","Southwest","Tri-County WDA","Indiana","32","45 to 64 Years","Female","11791","775","5605","1736","1004","1551","1120","3675","(40.6529549748, -79.0933349286)"
"2013-01-01T00:00:00.000","42005","Southwest","Tri-County WDA","Armstrong","03","45 to 64 Years","Female","10448","744","5454","1805","998","1016","431","2445","(40.8150952555, -79.4731689893)"
"2014-01-01T00:00:00.000","42075","Lehigh Valley","South Central WDA","Lebanon","38","45 to 64 Years","Female","18796","1822","9029","2753","1393","2459","1340","5192","(40.3675970024, -76.4618257486)"
"2011-01-01T00:00:00.000","42075","Lehigh Valley","South Central WDA","Lebanon","38","45 to 64 Years","Female","18557","2375","9021","2612","1211","2296","1042","4549","(40.3675970024, -76.4618257486)"
"2014-01-01T00:00:00.000","42053","Northwest","Northwest WDA","Forest","27","25 to 34 Years","Male","1244","290","653","263","6","30","2","38","(41.5135787577, -79.2378099483)"
"2013-01-01T00:00:00.000","42081","Northeast","Central WDA","Lycoming","41","35 to 44 Years","Female","7091","500","2421","1169","1194","1189","618","3001","(41.3445979226, -77.069424568)"
"2011-01-01T00:00:00.000","42023","Northwest","North Central WDA","Cameron","12","35 to 44 Years","Male","290","18","179","49","19","15","10","44","(41.4388026531, -78.2091693241)"
"2014-01-01T00:00:00.000","42017","Southeast","Bucks County WDA","Bucks","09","35 to 44 Years","Female","39966","1012","8885","7428","3507","11606","7528","22641","(40.335011331, -75.1129124111)"
"2010-01-01T00:00:00.000","42057","Central","Southern Alleghenies WDA","Fulton","29","35 to 44 Years","Male","1108","68","713","167","81","62","17","160","(39.9248751086, -78.1148504535)"
"2015-01-01T00:00:00.000","42083","Northwest","North Central WDA","McKean","42","25 to 34 Years","Male","2638","295","1276","532","203","278","54","535","(41.810370736, -78.5712201998)"
"2011-01-01T00:00:00.000","42019","Southwest","Tri-County WDA","Butler","10","35 to 44 Years","Male","12579","661","4002","1942","1311","3394","1269","5974","(40.9108318483, -79.9171177889)"
"2014-01-01T00:00:00.000","42047","Northwest","North Central WDA","Elk","24","25 to 34 Years","Female","1433","68","628","295","142","220","80","442","(41.4281941606, -78.6494771322)"
"2010-01-01T00:00:00.000","42009","Southwest","Southern Alleghenies WDA","Bedford","05","45 to 64 Years","Female","7148","681","3792","1038","618","667","352","1637","(40.0073753643, -78.4911647381)"
"2010-01-01T00:00:00.000","42059","Southwest","Southwest Corner WDA","Greene","30","45 to 64 Years","Female","5376","667","2670","798","416","492","333","1241","(39.8548039342, -80.2294381655)"
"2013-01-01T00:00:00.000","42025","Northeast","Pocono Counties WDA","Carbon","13","25 to 34 Years","Female","3302","171","996","720","460","645","310","1415","(40.9193670081, -75.7110703866)"
"2014-01-01T00:00:00.000","42055","Central","South Central WDA","Franklin","28","25 to 34 Years","Male","8728","1159","3645","1548","807","1223","346","2376","(39.9278619704, -77.7239884483)"
"2013-01-01T00:00:00.000","42027","Northwest","Central WDA","Centre","14","35 to 44 Years","Male","8612","542","2677","1263","623","1894","1613","4130","(40.9193135008, -77.8250011212)"
"2014-01-01T00:00:00.000","42037","Northeast","Central WDA","Columbia","19","45 to 64 Years","Male","8983","703","4325","1383","642","1212","718","2572","(41.0491208559, -76.4100217975)"
"2013-01-01T00:00:00.000","42049","Northwest","Northwest WDA","Erie","25","45 to 64 Years","Male","38101","3579","16579","6102","2673","5524","3644","11841","(41.9941378702, -80.0407591036)"
"2012-01-01T00:00:00.000","42077","Lehigh Valley","Lehigh Valley WDA","Lehigh","39","45 to 64 Years","Female","48959","5103","16822","8935","4853","8110","5136","18099","(40.6146479416, -75.6009948118)"
"2015-01-01T00:00:00.000","42067","Central","South Central WDA","Juniata","34","35 to 44 Years","Male","1470","349","788","139","65","81","48","194","(40.5343300836, -77.405775001)"
"2011-01-01T00:00:00.000","42005","Southwest","Tri-County WDA","Armstrong","03","35 to 44 Years","Male","4443","245","2329","728","481","511","149","1141","(40.8150952555, -79.4731689893)"
"2016-01-01T00:00:00.000","42033","Northwest","North Central WDA","Clearfield","17","45 to 64 Years","Male","12611","1548","6893","1500","1192","1057","421","2670","(41.0004290024, -78.4755834299)"
"2014-01-01T00:00:00.000","42035","Northeast","Central WDA","Clinton","18","35 to 44 Years","Female","2187","205","672","448","381","308","173","862","(41.2328627374, -77.6428376046)"
"2014-01-01T00:00:00.000","42063","Southwest","Tri-County WDA","Indiana","32","45 to 64 Years","Male","12052","1201","5656","1663","946","1315","1271","3532","(40.6529549748, -79.0933349286)"
"2010-01-01T00:00:00.000","42011","Lehigh Valley","Berks County WDA","Berks","06","45 to 64 Years","Male","53656","7408","21811","8532","3570","7621","4714","15905","(40.4193963513, -75.9307732705)"
"2011-01-01T00:00:00.000","42013","Southwest","Southern Alleghenies WDA","Blair","07","25 to 34 Years","Female","7243","438","2257","1461","851","1769","467","3087","(40.4855502384, -78.349076871)"
"2010-01-01T00:00:00.000","42051","Southwest","Westmoreland-Fayette Counties WDA","Fayette","26","35 to 44 Years","Female","9396","879","4243","1745","1022","1139","368","2529","(39.919447803, -79.6518963464)"
"2014-01-01T00:00:00.000","42073","Northwest","West Central WDA","Lawrence","37","35 to 44 Years","Female","5293","344","1769","1153","519","1101","407","2027","(40.9932503514, -80.3375411446)"
"2012-01-01T00:00:00.000","42069","Northeast","Lackawanna County WDA","Lackawanna","35","35 to 44 Years","Male","12902","907","5007","2162","1179","2410","1237","4826","(41.4391006428, -75.6121834524)"
"2012-01-01T00:00:00.000","42087","Central","Central WDA","Mifflin","44","35 to 44 Years","Female","3005","356","1299","427","418","344","161","923","(40.6127492804, -77.6200308901)"
"2015-01-01T00:00:00.000","42077","Lehigh Valley","Lehigh Valley WDA","Lehigh","39","25 to 34 Years","Male","22312","2532","6890","4010","2108","4943","1829","8880","(40.6146479416, -75.6009948118)"
"2012-01-01T00:00:00.000","42047","Northwest","North Central WDA","Elk","24","25 to 34 Years","Male","1547","54","716","269","216","286","6","508","(41.4281941606, -78.6494771322)"
"2011-01-01T00:00:00.000","42067","Central","South Central WDA","Juniata","34","25 to 34 Years","Female","1360","143","541","274","179","164","59","402","(40.5343300836, -77.405775001)"
"2012-01-01T00:00:00.000","42069","Northeast","Lackawanna County WDA","Lackawanna","35","45 to 64 Years","Male","29558","2846","10614","4615","3212","5205","3066","11483","(41.4391006428, -75.6121834524)"
"2010-01-01T00:00:00.000","42015","Northeast","Northern Tier WDA","Bradford","08","35 to 44 Years","Female","4120","343","1753","672","491","601","260","1352","(41.7911781401, -76.5182562384)"
"2016-01-01T00:00:00.000","42075","Lehigh Valley","South Central WDA","Lebanon","38","35 to 44 Years","Male","8121","1014","3147","1567","652","1260","481","2393","(40.3675970024, -76.4618257486)"
"2013-01-01T00:00:00.000","42035","Northeast","Central WDA","Clinton","18","25 to 34 Years","Female","1941","169","595","430","245","376","126","747","(41.2328627374, -77.6428376046)"
"2016-01-01T00:00:00.000","42051","Southwest","Westmoreland-Fayette Counties WDA","Fayette","26","35 to 44 Years","Male","8117","853","3971","1344","718","957","274","1949","(39.919447803, -79.6518963464)"
"2016-01-01T00:00:00.000","42075","Lehigh Valley","South Central WDA","Lebanon","38","45 to 64 Years","Female","18788","1834","8693","2861","1519","2408","1473","5400","(40.3675970024, -76.4618257486)"
"2016-01-01T00:00:00.000","42001","Central","South Central WDA","Adams","01","45 to 64 Years","Male","14775","1754","6807","2125","1088","1684","1317","4089","(39.8720956503, -77.2222427076)"
"2011-01-01T00:00:00.000","42083","Northwest","North Central WDA","McKean","42","35 to 44 Years","Female","2699","214","1065","559","362","305","194","861","(41.810370736, -78.5712201998)"
"2012-01-01T00:00:00.000","42043","Central","South Central WDA","Dauphin","22","45 to 64 Years","Male","36900","3636","13486","5982","2843","6536","4417","13796","(40.4197463597, -76.7796056802)"
"2016-01-01T00:00:00.000","42059","Southwest","Southwest Corner WDA","Greene","30","45 to 64 Years","Female","5207","534","2379","820","396","636","442","1474","(39.8548039342, -80.2294381655)"
"2015-01-01T00:00:00.000","42021","Southwest","Southern Alleghenies WDA","Cambria","11","25 to 34 Years","Female","7056","418","1835","1431","1189","1560","623","3372","(40.4912749067, -78.7189417385)"
"2014-01-01T00:00:00.000","42005","Southwest","Tri-County WDA","Armstrong","03","25 to 34 Years","Male","3621","303","1642","612","386","563","115","1064","(40.8150952555, -79.4731689893)"
"2013-01-01T00:00:00.000","42011","Lehigh Valley","Berks County WDA","Berks","06","25 to 34 Years","Male","23305","3559","8459","4237","2151","3801","1098","7050","(40.4193963513, -75.9307732705)"
"2016-01-01T00:00:00.000","42077","Lehigh Valley","Lehigh Valley WDA","Lehigh","39","45 to 64 Years","Male","47150","4896","16491","7902","4309","7952","5600","17861","(40.6146479416, -75.6009948118)"
"2012-01-01T00:00:00.000","42055","Central","South Central WDA","Franklin","28","35 to 44 Years","Female","9917","636","3602","1852","1344","1726","757","3827","(39.9278619704, -77.7239884483)"
"2015-01-01T00:00:00.000","42019","Southwest","Tri-County WDA","Butler","10","45 to 64 Years","Male","28033","1588","10467","4453","2596","5696","3233","11525","(40.9108318483, -79.9171177889)"
"2011-01-01T00:00:00.000","42061","Central","Southern Alleghenies WDA","Huntingdon","31","35 to 44 Years","Female","2656","181","1238","475","265","355","142","762","(40.4161050032, -77.9827661036)"
"2014-01-01T00:00:00.000","42043","Central","South Central WDA","Dauphin","22","45 to 64 Years","Female","39957","3434","14980","7383","3927","6008","4225","14160","(40.4197463597, -76.7796056802)"
"2010-01-01T00:00:00.000","42021","Southwest","Southern Alleghenies WDA","Cambria","11","35 to 44 Years","Female","8617","383","3227","1587","1395","1277","748","3420","(40.4912749067, -78.7189417385)"
"2012-01-01T00:00:00.000","42031","Northwest","Northwest WDA","Clarion","16","25 to 34 Years","Female","1899","201","500","415","232","384","167","783","(41.1927912877, -79.4248360769)"
"2014-01-01T00:00:00.000","42025","Northeast","Pocono Counties WDA","Carbon","13","45 to 64 Years","Male","10125","1239","4630","1576","1017","1122","541","2680","(40.9193670081, -75.7110703866)"
"2011-01-01T00:00:00.000","42087","Central","Central WDA","Mifflin","44","45 to 64 Years","Female","6601","1029","3605","896","333","438","300","1071","(40.6127492804, -77.6200308901)"
"2012-01-01T00:00:00.000","42073","Northwest","West Central WDA","Lawrence","37","25 to 34 Years","Male","4686","423","1786","801","516","910","250","1676","(40.9932503514, -80.3375411446)"
"2010-01-01T00:00:00.000","42029","Southeast","Chester County WDA","Chester","15","35 to 44 Years","Male","35490","2001","7087","5117","2002","11986","7297","21285","(39.9748705566, -75.7562649818)"
"2012-01-01T00:00:00.000","42081","Northeast","Central WDA","Lycoming","41","25 to 34 Years","Female","6627","641","1991","1389","880","1272","454","2606","(41.3445979226, -77.069424568)"
"2011-01-01T00:00:00.000","42013","Southwest","Southern Alleghenies WDA","Blair","07","35 to 44 Years","Female","7939","404","3145","1438","1192","1123","637","2952","(40.4855502384, -78.349076871)"
"2013-01-01T00:00:00.000","42033","Northwest","North Central WDA","Clearfield","17","45 to 64 Years","Female","11485","802","6464","1428","1190","1058","543","2791","(41.0004290024, -78.4755834299)"
"2013-01-01T00:00:00.000","42063","Southwest","Tri-County WDA","Indiana","32","35 to 44 Years","Female","4662","337","1649","738","533","869","536","1938","(40.6529549748, -79.0933349286)"
"2010-01-01T00:00:00.000","42009","Southwest","Southern Alleghenies WDA","Bedford","05","35 to 44 Years","Female","3284","196","1507","674","449","380","78","907","(40.0073753643, -78.4911647381)"
"2014-01-01T00:00:00.000","42029","Southeast","Chester County WDA","Chester","15","45 to 64 Years","Female","74862","3430","17788","11571","5684","22369","14020","42073","(39.9748705566, -75.7562649818)"
"2015-01-01T00:00:00.000","42069","Northeast","Lackawanna County WDA","Lackawanna","35","25 to 34 Years","Female","12765","1061","2838","2500","1301","3339","1726","6366","(41.4391006428, -75.6121834524)"
"2012-01-01T00:00:00.000","42051","Southwest","Westmoreland-Fayette Counties WDA","Fayette","26","45 to 64 Years","Female","20504","2430","10401","2760","1881","1984","1048","4913","(39.919447803, -79.6518963464)"
"2012-01-01T00:00:00.000","42041","Central","South Central WDA","Cumberland","21","25 to 34 Years","Female","13534","547","2819","2865","1589","4101","1613","7303","(40.167598388, -77.268662705)"
"2016-01-01T00:00:00.000","42057","Central","Southern Alleghenies WDA","Fulton","29","45 to 64 Years","Male","2136","261","1244","298","94","155","84","333","(39.9248751086, -78.1148504535)"
"2016-01-01T00:00:00.000","42071","Southeast","Lancaster County WDA","Lancaster","36","35 to 44 Years","Male","30187","4426","10516","4489","2563","5742","2451","10756","(40.0459079619, -76.2513876838)"
"2011-01-01T00:00:00.000","42071","Southeast","Lancaster County WDA","Lancaster","36","25 to 34 Years","Male","29965","4876","10519","4948","2554","5751","1317","9622","(40.0459079619, -76.2513876838)"
"2011-01-01T00:00:00.000","42001","Central","South Central WDA","Adams","01","45 to 64 Years","Female","14562","1391","6699","2419","1126","1810","1117","4053","(39.8720956503, -77.2222427076)"
"2014-01-01T00:00:00.000","42081","Northeast","Central WDA","Lycoming","41","25 to 34 Years","Male","6919","811","2580","1267","713","1339","209","2261","(41.3445979226, -77.069424568)"
"2015-01-01T00:00:00.000","42051","Southwest","Westmoreland-Fayette Counties WDA","Fayette","26","25 to 34 Years","Male","8125","786","4108","1330","616","1097","188","1901","(39.919447803, -79.6518963464)"
"2013-01-01T00:00:00.000","42085","Northwest","West Central WDA","Mercer","43","25 to 34 Years","Male","5844","648","2280","976","535","1100","305","1940","(41.302377765, -80.2600941079)"
"2014-01-01T00:00:00.000","42069","Northeast","Lackawanna County WDA","Lackawanna","35","45 to 64 Years","Male","29448","2450","10765","4974","3230","5213","2816","11259","(41.4391006428, -75.6121834524)"
"2015-01-01T00:00:00.000","42081","Northeast","Central WDA","Lycoming","41","45 to 64 Years","Male","16149","1739","6703","2738","1763","1875","1331","4969","(41.3445979226, -77.069424568)"
"2015-01-01T00:00:00.000","42077","Lehigh Valley","Lehigh Valley WDA","Lehigh","39","35 to 44 Years","Male","22231","2449","6950","3834","1906","4270","2822","8998","(40.6146479416, -75.6009948118)"
"2013-01-01T00:00:00.000","42019","Southwest","Tri-County WDA","Butler","10","45 to 64 Years","Female","27580","1321","10269","4872","3236","5076","2806","11118","(40.9108318483, -79.9171177889)"
"2013-01-01T00:00:00.000","42019","Southwest","Tri-County WDA","Butler","10","45 to 64 Years","Male","27527","1421","10549","4861","2347","5536","2813","10696","(40.9108318483, -79.9171177889)"
"2016-01-01T00:00:00.000","42003","Southwest","Three Rivers WDA","Allegheny","02","25 to 34 Years","Female","89871","3327","12459","14025","9331","31146","19583","60060","(40.4673554298, -79.9861984282)"
"2011-01-01T00:00:00.000","42079","Northeast","Luzerne-Schuylkill Counties WDA","Luzerne","40","35 to 44 Years","Male","21731","2085","8461","4562","2164","3001","1458","6623","(41.1783643884, -75.991996098)"
"2014-01-01T00:00:00.000","42055","Central","South Central WDA","Franklin","28","35 to 44 Years","Female","9616","679","3146","1950","1527","1368","946","3841","(39.9278619704, -77.7239884483)"
"2015-01-01T00:00:00.000","42085","Northwest","West Central WDA","Mercer","43","45 to 64 Years","Male","16531","1477","7663","2681","1374","2226","1110","4710","(41.302377765, -80.2600941079)"
"2011-01-01T00:00:00.000","42063","Southwest","Tri-County WDA","Indiana","32","35 to 44 Years","Female","4918","325","1845","875","480","935","458","1873","(40.6529549748, -79.0933349286)"
"2011-01-01T00:00:00.000","42025","Northeast","Pocono Counties WDA","Carbon","13","25 to 34 Years","Female","3342","71","1160","776","476","601","258","1335","(40.9193670081, -75.7110703866)"
"2015-01-01T00:00:00.000","42027","Northwest","Central WDA","Centre","14","45 to 64 Years","Male","17776","953","6905","2002","1068","3328","3520","7916","(40.9193135008, -77.8250011212)"
"2014-01-01T00:00:00.000","42007","Southwest","Southwest Corner WDA","Beaver","04","35 to 44 Years","Female","9802","329","2846","1889","1829","1812","1097","4738","(40.6834924548, -80.3510735648)"
"2011-01-01T00:00:00.000","42083","Northwest","North Central WDA","McKean","42","35 to 44 Years","Male","3199","358","1604","629","244","221","143","608","(41.810370736, -78.5712201998)"
"2010-01-01T00:00:00.000","42023","Northwest","North Central WDA","Cameron","12","25 to 34 Years","Male","245","43","109","43","15","35","0","50","(41.4388026531, -78.2091693241)"
"2012-01-01T00:00:00.000","42057","Central","Southern Alleghenies WDA","Fulton","29","45 to 64 Years","Female","2108","247","1132","330","153","126","120","399","(39.9248751086, -78.1148504535)"
"2011-01-01T00:00:00.000","42039","Northwest","Northwest WDA","Crawford","20","45 to 64 Years","Male","12373","1441","6014","2005","742","1332","839","2913","(41.6854690692, -80.1132108295)"
"2015-01-01T00:00:00.000","42035","Northeast","Central WDA","Clinton","18","45 to 64 Years","Female","5116","455","2472","799","488","493","409","1390","(41.2328627374, -77.6428376046)"
"2010-01-01T00:00:00.000","42061","Central","Southern Alleghenies WDA","Huntingdon","31","35 to 44 Years","Female","2703","162","1387","431","297","309","117","723","(40.4161050032, -77.9827661036)"
"2011-01-01T00:00:00.000","42023","Northwest","North Central WDA","Cameron","12","45 to 64 Years","Male","860","93","489","113","68","77","20","165","(41.4388026531, -78.2091693241)"
"2011-01-01T00:00:00.000","42059","Southwest","Southwest Corner WDA","Greene","30","25 to 34 Years","Male","2542","330","1240","440","170","248","114","532","(39.8548039342, -80.2294381655)"
"2013-01-01T00:00:00.000","42039","Northwest","Northwest WDA","Crawford","20","25 to 34 Years","Female","4588","633","1234","1033","390","978","320","1688","(41.6854690692, -80.1132108295)"
"2011-01-01T00:00:00.000","42063","Southwest","Tri-County WDA","Indiana","32","35 to 44 Years","Male","4926","447","2166","821","445","734","313","1492","(40.6529549748, -79.0933349286)"
"2016-01-01T00:00:00.000","42061","Central","Southern Alleghenies WDA","Huntingdon","31","45 to 64 Years","Male","6911","688","3930","1066","469","467","291","1227","(40.4161050032, -77.9827661036)"
