"county","state_fips_code","county_fips_code","year","delinquency_dispositions","delinquent_juveniles","dispositions_per_juvenile","percentage_of_statewide","age_10_17_population","dispositions_as_a_percentage","longitude","latitude","geocoded_column"
"WASHINGTON","42","125","2018","325","291","0.0112","0.015","18862","0.017","-80.25180082760","40.19109663450","POINT (-80.2518008276 40.1910966345)"
"BLAIR","42","013","2018","324","250","0.013","0.015","11758","0.028","-78.34907687100","40.48555023840","POINT (-78.349076871 40.4855502384)"
"WESTMORELAND","42","129","2018","560","494","0.0113","0.025","31359","0.018","-79.47134117600","40.31031499850","POINT (-79.471341176 40.3103149985)"
"MONTOUR","42","093","2018","20","18","0.0111","0.001","1666","0.012","-76.66470526680","41.02801824380","POINT (-76.6647052668 41.0280182438)"
"BEAVER","42","007","2018","313","258","0.0121","0.014","14804","0.021","-80.35107356480","40.68349245480","POINT (-80.3510735648 40.6834924548)"
"BRADFORD","42","015","2018","115","107","0.0107","0.005","6103","0.019","-76.51825623840","41.79117814010","POINT (-76.5182562384 41.7911781401)"
"MCKEAN","42","083","2018","101","85","0.0119","0.005","3936","0.026","-78.57122019980","41.81037073600","POINT (-78.57122019980001 41.810370736)"
"FOREST","42","053","2018","7","6","0.0117","0.0","438","0.016","-79.23780994830","41.51357875770","POINT (-79.2378099483 41.5135787577)"
"BUTLER","42","019","2018","246","229","0.0107","0.011","18020","0.014","-79.91711778890","40.91083184830","POINT (-79.9171177889 40.9108318483)"
"POTTER","42","105","2018","26","24","0.0108","0.001","1653","0.016","-77.89879229390","41.74420643820","POINT (-77.8987922939 41.7442064382)"
"BUCKS","42","017","2018","625","547","0.0114","0.028","64348","0.01","-75.11291241110","40.33501133100","POINT (-75.1129124111 40.335011331)"
"FRANKLIN","42","055","2018","368","270","0.0136","0.017","15833","0.023","-77.72398844830","39.92786197040","POINT (-77.7239884483 39.9278619704)"
"MONTGOMERY","42","091","2018","960","853","0.0113","0.044","83601","0.011","-75.37252000720","40.20989873900","POINT (-75.3725200072 40.209898739)"
"INDIANA","42","063","2018","101","89","0.0113","0.005","7227","0.014","-79.09333492860","40.65295497480","POINT (-79.0933349286 40.6529549748)"
"LEHIGH","42","077","2018","709","606","0.0117","0.032","38800","0.018","-75.60099481180","40.61464794160","POINT (-75.6009948118 40.6146479416)"
"MERCER","42","085","2018","276","227","0.0122","0.013","10752","0.026","-80.26009410790","41.30237776500","POINT (-80.26009410790002 41.302377765)"
"COLUMBIA","42","037","2018","105","92","0.0114","0.005","5502","0.019","-76.41002179750","41.04912085590","POINT (-76.4100217975 41.0491208559)"
"ALLEGHENY","42","003","2018","2207","1786","0.0124","0.1","103050","0.021","-79.98619842820","40.46735542980","POINT (-79.9861984282 40.4673554298)"
"PIKE","42","103","2018","69","64","0.0108","0.003","5555","0.012","-75.03270924480","41.33257199500","POINT (-75.0327092448 41.332571995)"
