"county","age","count"
"Chester","50-59","74"
"Fulton","60-69","10"
"Butler","100+","6.0"
"Cambria","0-9","0.0"
"Cambria","10-19","0.0"
"Cambria","20-29",
"Cumberland","50-59","66"
"Elk","80-89","34"
"Westmoreland","90-99","275"
"Fulton","80-89","14"
"Bucks","80-89","567"
"Cameron","0-9","0.0"
"Cameron","10-19","0.0"
"Cameron","20-29","0.0"
"Cameron","30-39","0.0"
"Cameron","40-49","0.0"
"Cameron","50-59","0.0"
"Union","50-59","14"
"Cameron","80-89",
"Cameron","90-99",
"Cameron","100+","0.0"
"Carbon","0-9","0.0"
"Carbon","20-29","0.0"
"Carbon","30-39",
"Delaware","40-49","46"
"Huntingdon","80-89","61"
"Jefferson","50-59","24"
"Centre","0-9","0.0"
"Centre","10-19","0.0"
"Centre","20-29","0.0"
"Centre","30-39",
"Centre","40-49",
"Bradford","60-69","43"
"Monroe","80-89","138"
"Mercer","80-89","113"
"Lycoming","80-89","155"
"Centre","100+","5.0"
"Chester","10-19",
"Chester","20-29",
"Tioga","60-69","34"
"Armstrong","30-39",
"Columbia","90-99","39"
"Franklin","70-79","196"
"Northampton","40-49","21"
"Adams","30-39",
"Clarion","0-9","0.0"
"Clarion","10-19","0.0"
"Clarion","30-39","0.0"
"Clarion","40-49",
"Wayne","90-99","33"
"Lackawanna","60-69","116"
"Lycoming","100+","7"
"Clarion","100+",
"Clearfield","0-9","0.0"
"Clearfield","10-19","0.0"
"Clearfield","20-29",
"Clearfield","30-39","0.0"
"Clearfield","40-49",
"Jefferson","20-29",
"Lebanon","70-79","126"
"Schuylkill","60-69","129"
"Clearfield","100+",
"Clinton","0-9","0.0"
"Clinton","10-19","0.0"
"Clinton","20-29","0.0"
"Clinton","30-39","0.0"
"Luzerne","70-79","350"
"Columbia","80-89","53"
"Bedford","40-49","9"
"Columbia","0-9","0.0"
"Columbia","10-19","0.0"
"Clarion","70-79","60"
"Somerset","70-79","96"
"Columbia","20-29",
"Tioga","90-99","30"
"Delaware","50-59","135"
"Luzerne","80-89","413"
"Warren","40-49","6"
"Columbia","100+",
"Crawford","0-9","0.0"
"Crawford","10-19","0.0"
"Clinton","70-79","30"
"Lawrence","70-79","102"
"Greene","80-89","32"
"Allegheny","60-69","540"
"Union","80-89","49"
"Crawford","100+","0.0"
"Cumberland","0-9","0.0"
"Cumberland","10-19","0.0"
"Monroe","90-99","74"
"Butler","50-59","38"
"Centre","70-79","94"
"Lawrence","90-99","81"
"Chester","30-39","13"
"Delaware","30-39","14"
"Dauphin","0-9","0.0"
"Dauphin","10-19","0.0"
"Potter","80-89","26"
"Lancaster","60-69","272"
"York","100+","12"
"Luzerne","30-39","13"
"Delaware","0-9","0.0"
"Delaware","10-19",
"Delaware","20-29",
"Delaware","60-69","325"
"Lancaster","90-99","408"
"Berks","90-99","312"
"York","20-29",
"Mercer","50-59","34"
"Elk","0-9","0.0"
"Elk","10-19","0.0"
"Elk","20-29",
"Elk","30-39",
"Northumberland","40-49","7"
"Montgomery","30-39","20"
"Dauphin","30-39","10"
"Somerset","50-59","37"
"Elk","100+",
"Perry","60-69","33"
"Philadelphia","10-19","5"
"Susquehanna","80-89","34"
"Mifflin","60-69","35"
"Cambria","50-59","44"
"Fayette","0-9","0.0"
"Fayette","10-19","0.0"
"Huntingdon","90-99","42"
"Wyoming","90-99","16"
"Fayette","100+",
"Forest","0-9","0.0"
"Forest","10-19","0.0"
"Forest","20-29","0.0"
"Forest","30-39","0.0"
"Forest","40-49","0.0"
"Forest","70-79","9.0"
"Forest","80-89",
"Bradford","80-89","56"
"Forest","100+","0.0"
"Franklin","0-9","0.0"
"Franklin","10-19","0.0"
"Franklin","20-29",
"Wyoming","60-69","25"
"Clearfield","50-59","45"
"Luzerne","100+","16"
"Fayette","50-59","66"
"Bedford","90-99","40"
"Clinton","80-89","32"
"Juniata","60-69","23"
"Bucks","30-39","18"
"Franklin","100+","0.0"
"Fulton","0-9","0.0"
"Fulton","10-19","0.0"
"Fulton","20-29","0.0"
"Fulton","30-39",
"Mifflin","70-79","77"
"Indiana","100+","5"
"Fayette","30-39","13"
"Montgomery","20-29","5"
"Fulton","100+","0.0"
"Greene","0-9","0.0"
"Greene","10-19","0.0"
"Greene","20-29","0.0"
"Greene","30-39","0.0"
"Allegheny","50-59","205"
"Carbon","80-89","96"
"Chester","70-79","258"
"Berks","80-89","458"
"Greene","100+","0.0"
"Huntingdon","0-9","0.0"
"Huntingdon","10-19","0.0"
"Huntingdon","20-29","0.0"
"Huntingdon","30-39",
"Potter","60-69","22"
"McKean","70-79","42"
"Venango","60-69","62"
"Huntingdon","100+",
"Indiana","0-9","0.0"
"Indiana","10-19","0.0"
"Indiana","20-29",
"Indiana","30-39",
"Sullivan","80-89","9"
"Perry","70-79","54"
"Berks","60-69","269"
"Union","40-49",
"Wyoming","70-79","27"
"Beaver","10-19",
"Northampton","100+","17"
"Jefferson","10-19","0.0"
"Armstrong","40-49","12"
"Jefferson","30-39",
"Carbon","40-49","8"
"Philadelphia","20-29","28"
"Berks","40-49","46"
"Erie","60-69","137"
"Juniata","0-9","0.0"
"Juniata","10-19","0.0"
"Juniata","20-29",
"Juniata","30-39",
"Philadelphia","100+","54"
"Mifflin","40-49","7"
"Franklin","60-69","131"
"Lackawanna","0-9","0.0"
"Lackawanna","10-19","0.0"
"Lackawanna","20-29",
"Elk","60-69","17"
"Lehigh","100+","18"
"Centre","90-99","93"
"Lancaster","50-59","123"
"Armstrong","60-69","73"
"Lancaster","0-9","0.0"
"Lancaster","10-19",
"Clearfield","60-69","73"
"York","50-59","120"
"Cameron","70-79","6"
"Crawford","80-89","100"
"Schuylkill","100+","11"
"Lawrence","0-9","0.0"
"Lawrence","10-19","0.0"
"Lawrence","20-29",
"Fayette","40-49","15"
"Armstrong","50-59","26"
"Armstrong","90-99","48"
"Blair","80-89","190"
"Cameron","60-69","10"
"Fulton","70-79","24"
"Columbia","50-59","23"
"Lebanon","0-9","0.0"
"Lebanon","10-19","0.0"
"Lebanon","20-29","0.0"
"Pennsylvania","40-49","1221"
"Centre","50-59","22"
"Pike","70-79","32"
"Tioga","40-49","5"
"Fayette","80-89","183"
"Lebanon","100+","8.0"
"Lehigh","0-9","0.0"
"Philadelphia","90-99","675"
"Venango","80-89","61"
"Fayette","60-69","126"
"Mercer","100+","11"
"Bradford","70-79","52"
"Luzerne","0-9",
"Luzerne","10-19",
"Luzerne","20-29",
"Washington","100+","6"
"Clarion","60-69","43"
"Mifflin","20-29",
"Clinton","100+",
"Monroe","30-39","5"
"Lycoming","10-19",
"Lycoming","20-29",
"Crawford","50-59","28"
"Lehigh","20-29","7"
"Jefferson","0-9",
"Perry","80-89","49"
"McKean","0-9","0.0"
"McKean","10-19","0.0"
"McKean","20-29",
"McKean","30-39",
"Fayette","20-29","5"
"Wayne","50-59","14"
"Pike","30-39",
"McKean","100+",
"Mercer","0-9","0.0"
"Mercer","10-19",
"Mercer","20-29",
"McKean","50-59","8"
"Dauphin","100+","10"
"Indiana","50-59","25"
"Lebanon","80-89","165"
"Mifflin","0-9","0.0"
"Mifflin","10-19","0.0"
"Mifflin","30-39","0.0"
"Adams","40-49","6"
"Bradford","50-59","23"
"Erie","10-19",
"Lancaster","30-39","20"
"Huntingdon","70-79","85"
"Monroe","10-19","0.0"
"Wayne","70-79","47"
"Pennsylvania","0-9","19"
"Lebanon","50-59","35"
"Montgomery","0-9","0.0"
"Lackawanna","50-59","45"
"Montour","20-29",
"Crawford","70-79","91"
"Cumberland","40-49","23"
"Greene","70-79","27"
"Cambria","90-99","135"
"Warren","100+","5"
"Montour","0-9","0.0"
"Montour","10-19","0.0"
"Schuylkill","80-89","187"
"Lawrence","40-49","9"
"Montour","50-59",
"Mifflin","50-59","21"
"Columbia","70-79","84"
"Lackawanna","70-79","185"
"Cumberland","90-99","165"
"Montour","100+",
"Northampton","0-9","0.0"
"Northampton","20-29",
"Jefferson","90-99","40"
"Pennsylvania","100+","525"
"Cumberland","20-29",
"Montgomery","90-99","543"
"Butler","80-89","240"
"York","90-99","252"
"Bradford","90-99","29"
"Dauphin","50-59","94"
"Philadelphia","70-79","1258"
"Northumberland","10-19","0.0"
"Northumberland","20-29",
"Northumberland","30-39",
"Tioga","70-79","52"
"Blair","70-79","155"
"Lycoming","70-79","142"
"Columbia","40-49","7"
"McKean","60-69","28"
"Chester","90-99","336"
"Northumberland","100+","9.0"
"Perry","0-9",
"Perry","10-19","0.0"
"Perry","20-29","0.0"
"Perry","40-49",
"Carbon","100+","5"
"Allegheny","70-79","800"
"Indiana","80-89","103"
"Butler","40-49","19"
"Juniata","100+","5"
"Perry","100+",
"Philadelphia","0-9",
"Perry","90-99","29"
"Susquehanna","60-69","22"
"Northumberland","50-59","37"
"Luzerne","50-59","98"
"Northampton","10-19",
"Erie","70-79","212"
"Indiana","70-79","99"
"Washington","40-49","12"
"Northampton","30-39","11"
"Chester","80-89","340"
"Pike","0-9","0.0"
"Pike","10-19","0.0"
"Pike","20-29",
"Juniata","70-79","50"
"Pike","40-49",
"Monroe","100+","6"
"Somerset","80-89","127"
"Snyder","0-9",
"Clarion","80-89","54"
"Pike","100+",
"Potter","0-9","0.0"
"Potter","10-19","0.0"
"Potter","20-29","0.0"
"Potter","30-39",
"Potter","40-49","0.0"
"Lehigh","90-99","281"
"Armstrong","80-89","97"
"Wayne","40-49",
"Westmoreland","80-89","426"
"Potter","100+","0.0"
"Schuylkill","0-9","0.0"
"Schuylkill","10-19",
"Schuylkill","20-29",
"Mercer","60-69","94"
"Pennsylvania","90-99","8674"
"Indiana","60-69","64"
"Westmoreland","50-59","104"
"Jefferson","60-69","36"
"Snyder","10-19","0.0"
"Snyder","20-29","0.0"
"Snyder","30-39",
"Snyder","40-49",
"Union","90-99","29"
"Carbon","90-99","62"
"Erie","40-49","20"
"Lawrence","50-59","35"
"Lackawanna","90-99","190"
"Cumberland","70-79","206"
"Snyder","100+",
"Somerset","0-9","0.0"
"Somerset","10-19","0.0"
"Somerset","20-29",
"Somerset","30-39",
"Cumberland","30-39","9"
"Northumberland","90-99","124"
"Snyder","80-89","48"
"Crawford","90-99","43"
"Pennsylvania","80-89","13154"
"Potter","90-99","11"
"Somerset","100+",
"Sullivan","0-9","0.0"
"Sullivan","10-19","0.0"
"Sullivan","20-29","0.0"
"Sullivan","30-39","0.0"
"Westmoreland","70-79","351"
"Sullivan","50-59",
"Columbia","60-69","47"
"Dauphin","70-79","261"
"Potter","70-79","23"
"Monroe","70-79","163"
"Sullivan","100+","0.0"
"Susquehanna","0-9","0.0"
"Susquehanna","10-19","0.0"
"Susquehanna","20-29","0.0"
"Berks","30-39","17"
"Susquehanna","40-49",
"Somerset","90-99","80"
"Lackawanna","40-49","15"
"Armstrong","70-79","104"
"Warren","80-89","66"
"Lebanon","90-99","114"
"Susquehanna","100+",
"Tioga","0-9","0.0"
"Tioga","10-19","0.0"
"Tioga","20-29","0.0"
"Tioga","30-39",
"Juniata","50-59","13"
"Montgomery","80-89","731"
"Beaver","70-79","177"
"Butler","90-99","157"
"Beaver","90-99","143"
"Bedford","50-59","27"
"Tioga","100+",
"Union","0-9","0.0"
"Union","10-19","0.0"
"Union","20-29","0.0"
"Union","30-39",
"Westmoreland","60-69","229"
"Allegheny","80-89","1039"
"Erie","80-89","226"
"York","70-79","396"
"Lycoming","0-9",
"Somerset","60-69","60"
"Union","100+","6.0"
"Venango","0-9","0.0"
"Venango","10-19","0.0"
"Venango","20-29",
"Washington","70-79","184"
"Lehigh","80-89","361"
"Northampton","70-79","248"
"Mifflin","80-89","90"
"Clearfield","80-89","84"
"Venango","100+","0.0"
"Warren","0-9","0.0"
"Warren","10-19","0.0"
"Warren","20-29","0.0"
"Warren","30-39","0.0"
"Erie","100+","7"
"Bucks","60-69","327"
"Schuylkill","50-59","53"
"Fayette","90-99","104"
"Bedford","70-79","70"
"Washington","10-19","0.0"
"Washington","20-29",
"Franklin","50-59","51"
"Bradford","40-49","7"
"Allegheny","100+","46"
"Lebanon","60-69","73"
"Pennsylvania","10-19","31"
"Wayne","0-9","0.0"
"Wayne","10-19",
"Wayne","20-29","0.0"
"Wayne","30-39",
"Schuylkill","40-49","12"
"Indiana","90-99","63"
"Mercer","90-99","94"
"Union","70-79","36"
"Montgomery","60-69","348"
"Pennsylvania","20-29","150"
"Luzerne","40-49","40"
"Adams","50-59","24"
"Wayne","100+","0.0"
"Westmoreland","0-9","0.0"
"Westmoreland","10-19",
"Westmoreland","20-29",
"Dauphin","80-89","244"
"Mercer","30-39","6"
"Cambria","40-49","18"
"Cumberland","60-69","137"
"Northumberland","80-89","173"
"Jefferson","80-89","68"
"Wyoming","0-9","0.0"
"Wyoming","10-19","0.0"
"Wyoming","20-29","0.0"
"Wyoming","30-39",
"Wyoming","40-49","0.0"
"Cambria","30-39","7"
"Dauphin","60-69","172"
"Clinton","40-49","8"
"Wyoming","100+","0.0"
"York","0-9","0.0"
"York","10-19",
"Erie","20-29","5"
"Philadelphia","60-69","1158"
"Montour","80-89","31"
"Franklin","90-99","98"
"Lebanon","40-49","8"
"Allegheny","90-99","753"
"Philadelphia","50-59","507"
"McKean","90-99","27"
"Philadelphia","80-89","1278"
"York","80-89","446"
"Fayette","70-79","188"
"Lehigh","60-69","182"
"Dauphin","20-29",
"Warren","50-59","18"
"Lehigh","70-79","311"
"Berks","50-59","117"
"Snyder","60-69","26"
"Pike","50-59","7"
"Sullivan","40-49",
"McKean","80-89","37"
"Elk","40-49",
"Chester","100+","13"
"Lawrence","100+","6"
"Philadelphia","40-49","222"
"Franklin","40-49","12"
"Adams","90-99","75"
"Northampton","80-89","334"
"Adams","70-79","105"
"Pennsylvania","50-59","3436"
"Elk","50-59","7"
"Delaware","90-99","364"
"Bucks","50-59","141"
"York","40-49","42"
"Erie","0-9",
"Dauphin","90-99","183"
"Carbon","10-19",
"Chester","0-9",
"Washington","0-9",
"Blair","50-59","55"
"Huntingdon","50-59","21"
"Adams","100+",
"Blair","40-49","24"
"Huntingdon","60-69","38"
"Lancaster","80-89","617"
"Monroe","50-59","54"
"Somerset","40-49","11"
"Lackawanna","100+","10"
"Lycoming","30-39","9"
"Beaver","60-69","140"
"Chester","60-69","149"
"Susquehanna","70-79","25"
"Sullivan","70-79","13"
"Delaware","80-89","543"
"Susquehanna","50-59","8"
"Lancaster","70-79","444"
"Sullivan","90-99","7"
"Fulton","90-99","5"
"Erie","90-99","144"
"Lawrence","60-69","69"
"Greene","90-99","18"
"Allegheny","20-29","9"
"Schuylkill","30-39","6"
"Pennsylvania","60-69","7780"
"Forest","60-69","12"
"McKean","40-49","7"
"Snyder","70-79","38"
"Pennsylvania","70-79","11386"
"Franklin","80-89","234"
"Butler","60-69","105"
"Allegheny","30-39","25"
"Lawrence","30-39","5"
"Union","60-69","20"
"Montgomery","40-49","50"
"Philadelphia","30-39","78"
"Montgomery","70-79","554"
"York","60-69","271"
"Washington","80-89","177"
"Warren","70-79","48"
"Warren","90-99","34"
"Chester","40-49","28"
"Crawford","30-39","5"
"Butler","70-79","209"
"Clearfield","90-99","68"
"Pennsylvania","30-39","455"
"Beaver","30-39","8"
"Franklin","30-39","7"
"Clinton","60-69","26"
"Washington","30-39","5"
"Jefferson","100+",
"Northampton","60-69","165"
"Wyoming","80-89","37"
"Centre","60-69","42"
"Cumberland","80-89","303"
"Centre","80-89","107"
"Luzerne","60-69","234"
"Pike","90-99","22"
"Washington","50-59","59"
"Northampton","50-59","75"
"Lehigh","30-39","11"
"Fulton","50-59","6"
"Carbon","50-59","16"
"Lehigh","10-19",
"Venango","90-99","35"
"Cambria","70-79","193"
"Fulton","40-49","6"
"Susquehanna","30-39",
"Cumberland","100+","12"
"Bucks","100+","26"
"Carbon","70-79","72"
"Venango","70-79","60"
"Juniata","80-89","51"
"Mifflin","90-99","49"
"Westmoreland","40-49","34"
"Carbon","60-69","52"
"Northumberland","60-69","71"
"Montgomery","10-19",
"Venango","50-59","22"
"Monroe","0-9",
"Schuylkill","70-79","173"
"Monroe","20-29",
"Bedford","60-69","58"
"Potter","50-59","11"
"Montour","40-49",
"Perry","50-59","18"
"Tioga","50-59","15"
"Huntingdon","40-49","9"
"Monroe","40-49","12"
"Bucks","20-29","15"
"Crawford","20-29",
"Snyder","50-59","16"
"Adams","80-89","120"
"Northampton","90-99","282"
"Bucks","0-9",
"Montgomery","50-59","136"
"Cambria","60-69","119"
"Bucks","90-99","414"
"Lawrence","80-89","130"
"Pike","80-89","20"
"Erie","50-59","50"
"Lycoming","50-59","42"
"Columbia","30-39",
"Forest","90-99","6"
"Venango","40-49","8"
"Wayne","80-89","46"
"Northumberland","70-79","132"
"Monroe","60-69","101"
"Erie","30-39","10"
"Lycoming","90-99","111"
"Crawford","40-49","11"
"Montour","70-79","24"
"Lebanon","30-39","5"
"Lancaster","20-29","8"
"Indiana","40-49","11"
"Perry","30-39",
"Dauphin","40-49","31"
"Greene","40-49","6"
"Beaver","50-59","51"
"Westmoreland","30-39","12"
"Mercer","40-49","19"
"Montour","30-39",
"Clarion","50-59","21"
"Cambria","100+","9"
"Clarion","90-99","27"
"Wayne","60-69","32"
"Blair","0-9",
"Northumberland","0-9",
"Mifflin","100+","6"
"York","30-39","22"
"Wyoming","50-59","8"
"Westmoreland","100+","13"
