"age","income","race","sex","year","id","name","demographic_group_number","demographic_group_moe","uninsured_number","uninsured_moe_1","uninsured","uninsured_moe_2","insured_number","insured_moe_1","insured","insured_moe_2"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49051","Wasatch County, UT","6993","0","1236","154","17.7","2.2000000000000002","5757","154","82.3","2.2000000000000002"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49053","Washington County, UT","34841","0","7015","759","20.100000000000001","2.2000000000000002","27826","759","79.900000000000006","2.2000000000000002"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49055","Wayne County, UT","876","0","208","28","23.7","3.2","669","28","76.3","3.2"
"40 to 64 years","All Incomes","All Races","Both Sexes","2011","49057","Weber County, UT","64030","0","9618","1004","15","1.6","54413","1004","85","1.6"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49000","Utah","699810","0","99649","4616","14.2","0.7","600161","4616","85.8","0.7"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49001","Beaver County, UT","1817","0","345","49","19","2.7","1472","49","81","2.7"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49003","Box Elder County, UT","13373","0","1776","245","13.3","1.8","11598","245","86.7","1.8"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49005","Cache County, UT","23755","0","3237","429","13.6","1.8","20518","429","86.4","1.8"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49007","Carbon County, UT","6410","0","734","122","11.4","1.9","5677","122","88.6","1.9"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49009","Daggett County, UT","342","0","52","8","15.2","2.4","290","8","84.8","2.4"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49011","Davis County, UT","79255","0","7259","998","9.1999999999999993","1.3","71995","998","90.8","1.3"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49013","Duchesne County, UT","4761","0","767","109","16.100000000000001","2.2999999999999998","3994","109","83.9","2.2999999999999998"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49015","Emery County, UT","3245","0","414","67","12.8","2.1","2831","67","87.2","2.1"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49017","Garfield County, UT","1660","0","272","44","16.399999999999999","2.6","1389","44","83.6","2.6"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49019","Grand County, UT","3351","0","659","96","19.7","2.9","2692","96","80.3","2.9"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49021","Iron County, UT","10784","0","2056","269","19.100000000000001","2.5","8728","269","80.900000000000006","2.5"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49023","Juab County, UT","2588","0","353","57","13.6","2.2000000000000002","2235","57","86.4","2.2000000000000002"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49025","Kane County, UT","2451","0","403","63","16.399999999999999","2.6","2049","63","83.6","2.6"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49027","Millard County, UT","3624","0","696","93","19.2","2.6","2927","93","80.8","2.6"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49029","Morgan County, UT","2780","0","268","45","9.6","1.6","2512","45","90.4","1.6"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49031","Piute County, UT","456","0","105","15","23.1","3.4","351","15","76.900000000000006","3.4"
"40 to 64 years","All Incomes","All Races","Both Sexes","2010","49033","Rich County, UT","658","0","116","18","17.600000000000001","2.7","542","18","82.4","2.7"
