"incident_id","case_number","incident_datetime","incident_type_primary","incident_description","clearance_type","address_1","address_2","city","state","zip","country","latitude","longitude","created_at","updated_at","location","hour_of_day","day_of_week","parent_incident_type"
"651464278","14OR54002","2014-12-31T18:12:17.000","CITIZEN ASSIST","Description: Citizen Assist",,"500 Block W 300 SOUTH",,"OREM","UT",,,"40.2917","-111.708","2015-01-03T09:03:26.000","2015-01-12T09:01:22.000","POINT (-111.708 40.2917)","18","Wednesday","Community Policing"
"765989302","16OR35019","2016-07-22T20:07:11.000","TRAFFIC ACCIDENT-NON REPORTABL","Description: Traffic Accident-Non Reportabl",,"200 Block UNIVERSITY PKWY",,"OREM","UT",,,"40.2736","-111.702","2016-07-25T08:00:54.000","2016-08-04T10:10:23.000","POINT (-111.702 40.2736)","20","Friday","Traffic"
"665477941","15OR01803","2015-01-14T16:01:41.000","CITIZEN ASSIST","Description: Citizen Assist",,"300 Block STATE ST",,"OREM","UT",,,"40.2898","-111.692","2015-01-17T09:03:55.000","2015-01-25T09:02:16.000","POINT (-111.692 40.2898)","16","Wednesday","Community Policing"
"757953522","16OR19287","2016-04-23T23:04:23.000","ASSAULT-SIMPLE","Description: Assault-Simple",,"700 Block W 800 NORTH",,"OREM","UT",,,"40.3121","-111.714","2016-04-26T05:42:08.000","2016-05-06T08:02:17.000","POINT (-111.714 40.3121)","23","Saturday","Assault"
"653626794","15OR00324","2015-01-03T19:01:06.000","TRAFFIC ACCIDENT-REPORTABLE","Description: Traffic Accident-Reportable",,"1 Block UNIVERSITY PKWY",,"OREM","UT",,,"40.2735","-111.694","2015-01-06T09:03:56.000","2015-01-15T09:14:35.000","POINT (-111.694 40.2735)","19","Saturday","Traffic"
"659787697","15OR01050","2015-01-09T07:01:03.000","THEFT-PROPERTY-OTHER","Description: Theft-Property-Other",,"1 Block CENTER ST",,"OREM","UT",,,"40.2971","-111.697","2015-01-12T09:03:33.000","2015-01-21T09:02:25.000","POINT (-111.697 40.2971)","7","Friday","Theft"
"652155371","15OR00100","2015-01-01T20:01:29.000","CITIZEN ASSIST","Description: Citizen Assist",,"400 Block BEVERLY AVE",,"OREM","UT",,,"40.3064","-111.714","2015-01-04T09:03:33.000","2015-01-13T09:03:30.000","POINT (-111.714 40.3064)","20","Thursday","Community Policing"
"644825238","14OR52832","2014-12-22T17:12:24.000","TRAFFIC ACCIDENT-REPORTABLE","Description: Traffic Accident-Reportable",,"1000 Block W 400 NORTH",,"OREM","UT",,,"40.3045","-111.72","2014-12-25T09:03:33.000","2015-01-03T09:01:20.000","POINT (-111.72 40.3045)","17","Monday","Traffic"
"665478096","15OR01802","2015-01-14T16:01:30.000","THEFT-PROPERTY-FROM MOTOR VEHI","Description: Theft-Property-From Motor Vehi",,"1100 Block S 50 EAST",,"OREM","UT",,,"40.2763","-111.694","2015-01-17T09:03:57.000","2015-01-25T09:03:46.000","POINT (-111.694 40.2763)","16","Wednesday","Theft"
"651465354","14OR54020","2014-12-31T21:12:34.000","CITIZEN ASSIST","Description: Citizen Assist",,"1800 Block SPRINGWATER DR",,"OREM","UT",,,"40.2802","-111.739","2015-01-03T09:03:30.000","2015-01-12T09:01:22.000","POINT (-111.739 40.2802)","21","Wednesday","Community Policing"
