"fiscal_year","employer","initial_approvals","initial_denials","continuing_approvals","continuing_denials","naics","tax_id","state","city","zip"
"2019","GLOBAL UPRISING PBC","0","0","1","0","Ag Manufacturing","2130","UT","SALT LAKE CITY","84101"
"2017","GLOBAL UPRISING PBC DBA COTOPAXI","0","0","1","0","Ag Manufacturing","2130","UT","SALT LAKE CITY","84101"
"2018","GRIP6 LLC","1","0","0","0","Ag Manufacturing","3811","UT","DRAPER","84020"
"2017","HZO INC","0","0","1","0","Ag Manufacturing","2778","UT","DRAPER","84020"
"2018","JMH INTERNATIONAL LLC DBA JMH PREM","0","0","1","0","Ag Manufacturing","7219","UT","SALT LAKE CITY","84104"
"2017","NICHOLAS & COMPANY INC","0","0","1","0","Ag Manufacturing","5565","UT","SALT LAKE CITY","84121"
"2016","NICHOLAS & COMPANY INC","0","0","0","1","Ag Manufacturing","5565","UT","SALT LAKE CITY","84121"
"2018","NICHOLAS AND COMPANY INC","2","0","0","0","Ag Manufacturing","5565","UT","SALT LAKE CITY","84116"
"2017","NICHOLAS AND COMPANY INC","0","0","1","0","Ag Manufacturing","5565","UT","SALT LAKE CITY","84116"
"2016","SWIRE COCA COLA USA","0","0","3","0","Ag Manufacturing","4812","UT","DRAPER","84020"
"2017","SWIRE PACIFIC HOLDINGS INC","0","0","1","0","Ag Manufacturing","4812","UT","DRAPER","84020"
"2018","SWIRE PACIFIC HOLDINGS INC DBA SWI","0","0","2","0","Ag Manufacturing","4812","UT","DRAPER","84020"
"2019","SWIRE PACIFIC HOLDINGS INC DBA SWI","0","0","1","0","Ag Manufacturing","4812","UT","DRAPER","84020"
"2018","UINTA BREWING","1","0","0","0","Ag Manufacturing","6090","UT","SALT LAKE CITY","84104"
"2017","UINTA BREWING COMPANY","0","0","1","0","Ag Manufacturing","6090","UT","SALT LAKE CITY","84104"
"2016","UINTA BREWING COMPANY","0","0","1","0","Ag Manufacturing","6090","UT","SALT LAKE CITY","84104"
"2019","UNICITY INTERNATIONAL INC","1","0","0","0","Ag Manufacturing","2526","UT","OREM","84097"
"2016","4LIFE RESEARCH USA LLC","0","0","0","1","Wood, Pharm, Chem Manufacturing","9794","UT","SANDY","84070"
"2019","AMERICAN OXYGEN LLC","1","0","0","0","Wood, Pharm, Chem Manufacturing","9127","UT","WEST VALLEY CITY","84119"
"2017","ASEA LLC","0","0","1","0","Wood, Pharm, Chem Manufacturing","1950","UT","SALT LAKE CITY","84121"
"2016","ASEA LLC","1","0","0","0","Wood, Pharm, Chem Manufacturing","1950","UT","SALT LAKE CITY","84121"
"2018","DOTERRA INTERNATIONAL LLC","2","0","10","0","Wood, Pharm, Chem Manufacturing","8940","UT","PLEASANT GROVE","84062"
"2016","DOTERRA INTL INC","2","0","2","0","Wood, Pharm, Chem Manufacturing","8940","UT","PLEASANT GROVE","84062"
"2019","DOTERRA INTL LLC","2","0","2","0","Wood, Pharm, Chem Manufacturing","8940","UT","PLEASANT GROVE","84062"
"2017","DOTERRA INTL LLC","8","1","3","0","Wood, Pharm, Chem Manufacturing","8940","UT","PLEASANT GROVE","84062"
"2018","DYNO NOBEL INC","0","0","2","0","Wood, Pharm, Chem Manufacturing","9179","UT","SALT LAKE CITY","84121"
"2019","DYNO NOBEL INC","1","0","2","0","Wood, Pharm, Chem Manufacturing","9179","UT","SALT LAKE CITY","84121"
"2017","DYNO NOBEL INC","0","0","1","0","Wood, Pharm, Chem Manufacturing","9179","UT","SALT LAKE CITY","84121"
"2017","DYNO NOBEL LOUISIANA AMMONIA LLC","1","0","0","0","Wood, Pharm, Chem Manufacturing","2328","UT","SALT LAKE CITY","84121"
"2016","ELITE MFG & PACKAGING LLC","0","0","0","1","Wood, Pharm, Chem Manufacturing","7227","UT","LINDON","84042"
"2019","ELITE MFG & PKGING","1","0","0","0","Wood, Pharm, Chem Manufacturing","7227","UT","LINDON","84042"
"2018","GLASS IMAGES CREATIONS INC","0","0","1","0","Wood, Pharm, Chem Manufacturing","2503","UT","OREM","84097"
"2019","PHARMATECH LABS INC","0","0","1","0","Wood, Pharm, Chem Manufacturing","2120","UT","LINDON","84042"
"2017","UNICITY INTERNATIONAL INC","1","0","0","0","Wood, Pharm, Chem Manufacturing","2526","UT","OREM","84097"
"2016","US SYNTHETIC CORPORATION","1","0","0","0","Wood, Pharm, Chem Manufacturing","2600","UT","OREM","84058"
"2017","AG ACQUISITITON CORP DBA ASTRO GAM","0","0","1","0","Industrial, Mining, Metal Manufacturing","6530","UT","PARK CITY","84098"
"2017","AMC USA LLC","1","0","0","0","Industrial, Mining, Metal Manufacturing","2355","UT","SALT LAKE CITY","84116"
"2017","AMERICAN CRAFTS LC","1","0","0","0","Industrial, Mining, Metal Manufacturing","3741","UT","LINDON","84042"
"2018","APPLIED BIOSENSORS LLC","1","0","0","0","Industrial, Mining, Metal Manufacturing","1284","UT","SALT LAKE CITY","84115"
"2018","ASAHI REFINING USA INC","0","0","1","0","Industrial, Mining, Metal Manufacturing","8691","UT","SALT LAKE CITY","84120"
"2018","AXCEND LLC","1","0","0","0","Industrial, Mining, Metal Manufacturing","9124","UT","SALT LAKE CITY","84121"
"2019","AXCEND LLC","0","0","1","0","Industrial, Mining, Metal Manufacturing","9124","UT","PROVO","84604"
"2017","BARD ACCESS SYSTEMS","0","0","1","0","Industrial, Mining, Metal Manufacturing","5835","UT","SALT LAKE CITY","84116"
"2017","BEIJER ELECTRONICS INC","1","0","0","0","Industrial, Mining, Metal Manufacturing","6688","UT","SALT LAKE CITY","84117"
"2019","CAO GROUP INC","0","0","1","0","Industrial, Mining, Metal Manufacturing","4790","UT","WEST JORDAN","84084"
"2016","CAO GROUP INC","0","0","1","0","Industrial, Mining, Metal Manufacturing","4790","UT","WEST JORDAN","84084"
"2018","CHRISTENSEN INDUSTRIES FKA MICRO","0","0","1","0","Industrial, Mining, Metal Manufacturing","4454","UT","SALT LAKE CITY","84115"
"2017","CLEARONE INC","0","0","1","0","Industrial, Mining, Metal Manufacturing","8877","UT","SALT LAKE CITY","84101"
"2018","CODE CORPORATION","6","0","1","0","Industrial, Mining, Metal Manufacturing","2670","UT","DRAPER","84020"
"2016","CODE CORPORATION","0","0","1","0","Industrial, Mining, Metal Manufacturing","2670","UT","DRAPER","84020"
"2018","COORSTEK MEDICAL","0","0","1","0","Industrial, Mining, Metal Manufacturing","126","UT","PROVIDENCE","84332"
"2016","DEMATIC CORP","1","0","0","0","Industrial, Mining, Metal Manufacturing","4872","UT","SALT LAKE CITY","84104"
"2018","EASTON TECHNICAL PRODUCTS INC","1","0","0","0","Industrial, Mining, Metal Manufacturing","174","UT","SALT LAKE CITY","84116"
"2019","ELECTRIC POWER SYSTEMS","1","0","0","0","Industrial, Mining, Metal Manufacturing","3497","UT","HYDE PARK","84318"
"2019","ESL VISION LLC","1","0","0","0","Industrial, Mining, Metal Manufacturing","8747","UT","SALT LAKE CITY","84104"
"2018","EVELYN MANUFACTURING","1","0","0","0","Industrial, Mining, Metal Manufacturing","5967","UT","SALT LAKE CITY","84121"
"2018","HANDI QUILTER INC","1","0","0","0","Industrial, Mining, Metal Manufacturing","1600","UT","NORTH SALT LAKE","84054"
"2018","HEALTH LINE INTERNATIONAL CORP","0","0","1","0","Industrial, Mining, Metal Manufacturing","9805","UT","SALT LAKE CITY","84104"
"2018","HIGH PROTECTION COMPANY","1","0","0","0","Industrial, Mining, Metal Manufacturing","6699","UT","MIDVALE","84047"
"2018","ICON HEALTH & FITNESS INC","2","1","0","0","Industrial, Mining, Metal Manufacturing","1206","UT","LOGAN","84321"
"2019","ICON HEALTH & FITNESS INC","1","0","1","0","Industrial, Mining, Metal Manufacturing","1206","UT","LOGAN","84321"
"2016","ICON HEALTH & FITNESS INC","1","0","0","0","Industrial, Mining, Metal Manufacturing","1206","UT","LOGAN","84321"
"2017","ICON HLTH & FITNESS INC","0","0","1","0","Industrial, Mining, Metal Manufacturing","1206","UT","LOGAN","84321"
"2018","ICU MEDICAL INC","1","0","0","0","Industrial, Mining, Metal Manufacturing","2692","UT","SALT LAKE CITY","84123"
"2016","ICU MEDICAL INC","0","0","1","0","Industrial, Mining, Metal Manufacturing","2692","UT","SALT LAKE CITY","84123"
"2019","IM FLASH TECHNOLOGIED LLC","1","0","0","0","Industrial, Mining, Metal Manufacturing","7350","UT","LEHI","84043"
"2018","IM FLASH TECHNOLOGIES LLC","6","0","9","0","Industrial, Mining, Metal Manufacturing","2582","UT","LEHI","84043"
"2019","IM FLASH TECHNOLOGIES LLC","0","0","0","1","Industrial, Mining, Metal Manufacturing","2582","UT","DRAPER","84020"
"2017","IM FLASH TECHNOLOGIES LLC","1","0","1","0","Industrial, Mining, Metal Manufacturing","2582","UT","LEHI","84043"
"2019","IM FLASH TECHNOLOGIES, LLC","4","0","28","3","Industrial, Mining, Metal Manufacturing","2582","UT","LEHI","84043"
"2019","INTEGRATED PROCESS SYSTEMS INC","0","0","1","0","Industrial, Mining, Metal Manufacturing","1203","UT","CEDAR CITY","84721"
"2017","INTEGRATED PROCESS SYSTEMS INC","1","0","0","0","Industrial, Mining, Metal Manufacturing","1203","UT","CEDAR CITY","84720"
"2019","IVANTI INC","0","0","1","0","Industrial, Mining, Metal Manufacturing","335","UT","SOUTH JORDAN","84095"
"2017","K TEC INC DBA BLENDTEC","0","0","1","0","Industrial, Mining, Metal Manufacturing","1667","UT","OREM","84058"
"2016","LANDESK SOFTWARE INC","0","0","1","0","Industrial, Mining, Metal Manufacturing","335","UT","SOUTH JORDAN","84095"
"2017","LANDESK SOFTWARE INC D/B/A IVANTI","0","0","2","0","Industrial, Mining, Metal Manufacturing","335","UT","SOUTH JORDAN","84095"
"2017","LIFETIME PRODUCTS INC","0","0","1","0","Industrial, Mining, Metal Manufacturing","3254","UT","CLEARFIELD","84016"
"2016","LIFETIME PRODUCTS INC","0","0","1","0","Industrial, Mining, Metal Manufacturing","3254","UT","CLEARFIELD","84016"
"2016","LISTEN TECHNOLOGIES","0","0","1","0","Industrial, Mining, Metal Manufacturing","5484","UT","BLUFFDALE","84065"
"2018","LISTEN TECHNOLOGIES CORPORATION","0","0","1","0","Industrial, Mining, Metal Manufacturing","5484","UT","BLUFFDALE","84065"
"2016","LITHIUM STORAGE INC","1","0","0","0","Industrial, Mining, Metal Manufacturing","4933","UT","SALT LAKE CITY","84165"
"2018","LUMENIS INC","1","0","0","0","Industrial, Mining, Metal Manufacturing","5703","UT","SALT LAKE CITY","84104"
"2016","MANA STEEL LLC","0","1","0","0","Industrial, Mining, Metal Manufacturing","2793","UT","LOGAN","84321"
"2017","MAXWELL PRODUCTS INC","1","0","0","0","Industrial, Mining, Metal Manufacturing","9315","UT","SALT LAKE CITY","84101"
"2018","MERIT MEDICAL SYSTEMS INC","0","0","1","0","Industrial, Mining, Metal Manufacturing","7695","UT","SOUTH JORDAN","84095"
"2019","MERIT MEDICAL SYSTEMS INC","2","0","1","1","Industrial, Mining, Metal Manufacturing","7695","UT","SOUTH JORDAN","84095"
"2016","MERIT MEDICAL SYSTEMS INC","1","0","2","0","Industrial, Mining, Metal Manufacturing","7695","UT","SOUTH JORDAN","84095"
"2016","MOBILE PRODUCTIVITY LLC D B A AUTO","0","0","2","0","Industrial, Mining, Metal Manufacturing","6860","UT","SOUTH JORDAN","84095"
"2018","NEXUS SPINE LLC","0","0","0","1","Industrial, Mining, Metal Manufacturing","1542","UT","SALT LAKE CITY","84121"
"2017","NEXUS SPINE LLC","0","0","1","0","Industrial, Mining, Metal Manufacturing","1542","UT","SALT LAKE CITY","84121"
"2018","NORMET AMERICAS INC","0","0","1","0","Industrial, Mining, Metal Manufacturing","1852","UT","SALT LAKE CITY","84104"
"2016","NORMET AMERICAS INC","1","0","0","0","Industrial, Mining, Metal Manufacturing","1852","UT","SALT LAKE CITY","84104"
"2017","NUCOR CORP","0","0","1","0","Industrial, Mining, Metal Manufacturing","817","UT","PLYMOUTH","84330"
"2019","NUCOR CORPORATION","1","0","1","0","Industrial, Mining, Metal Manufacturing","817","UT","PLYMOUTH","84330"
"2016","O C TANNER CO","1","0","8","0","Industrial, Mining, Metal Manufacturing","228","UT","SALT LAKE CITY","84115"
"2018","O C TANNER COMPANY","0","0","5","1","Industrial, Mining, Metal Manufacturing","2665","UT","SALT LAKE CITY","84115"
"2019","O C TANNER COMPANY","0","0","6","0","Industrial, Mining, Metal Manufacturing","2665","UT","SALT LAKE CITY","84115"
"2017","O C TANNER COMPANY","0","0","7","0","Industrial, Mining, Metal Manufacturing","2665","UT","SALT LAKE CITY","84115"
"2017","O C TANNER COMPANY","0","0","1","0","Industrial, Mining, Metal Manufacturing","228","UT","SALT LAKE CITY","84115"
"2016","O C TANNER MANUFACTURING","0","0","1","0","Industrial, Mining, Metal Manufacturing","5412","UT","SALT LAKE CITY","84115"
"2018","OPENAG INC","1","0","0","0","Industrial, Mining, Metal Manufacturing","2063","UT","SALT LAKE CITY","84115"
"2019","ORTHOGRID SYSTEMS INC","0","1","0","0","Industrial, Mining, Metal Manufacturing","4819","UT","SALT LAKE CITY","84101"
"2018","OVIVO USA LLC","0","0","1","0","Industrial, Mining, Metal Manufacturing","2644","UT","SALT LAKE CITY","84123"
"2019","OVIVO USA LLC","1","0","0","0","Industrial, Mining, Metal Manufacturing","2644","UT","SALT LAKE CITY","84123"
"2018","OWLET BABY CARE INC","2","0","3","0","Industrial, Mining, Metal Manufacturing","945","UT","LEHI","84043"
"2019","OWLET BABY CARE INC","3","0","3","0","Industrial, Mining, Metal Manufacturing","945","UT","LEHI","84043"
"2016","OWLET BABY CARE INC","1","0","1","0","Industrial, Mining, Metal Manufacturing","945","UT","PROVO","84601"
"2016","POWER INNOVATIONS INTL INC","1","0","0","0","Industrial, Mining, Metal Manufacturing","8829","UT","AMERICAN FORK","84003"
"2016","PRECISION ASSEMBLY INC","1","0","0","0","Industrial, Mining, Metal Manufacturing","3688","UT","OREM","84058"
"2018","PRO MARK INC DBA ORBIT IRRIGATION","0","0","1","0","Industrial, Mining, Metal Manufacturing","790","UT","NORTH SALT LAKE","84054"
"2016","PRO MARK INC DBA ORBIT IRRIGATION","0","0","1","0","Industrial, Mining, Metal Manufacturing","790","UT","NORTH SALT LAKE","84054"
"2018","PROVO CRAFT & NOVELTY INC","0","0","1","0","Industrial, Mining, Metal Manufacturing","2025","UT","SOUTH JORDAN","84095"
"2019","PROVO CRAFT & NOVELTY INC","4","0","2","0","Industrial, Mining, Metal Manufacturing","2025","UT","SOUTH JORDAN","84095"
"2016","PROVO CRAFT & NOVELTY INC","1","1","1","0","Industrial, Mining, Metal Manufacturing","2025","UT","SOUTH JORDAN","84095"
"2017","PROVO CRAFT NOVELTY INC","0","0","1","0","Industrial, Mining, Metal Manufacturing","2025","UT","SOUTH JORDAN","84095"
"2019","PURPLE INNOVATION LLC","3","0","0","0","Industrial, Mining, Metal Manufacturing","7854","UT","ALPINE","84004"
"2017","QNERGY INC","0","0","2","0","Industrial, Mining, Metal Manufacturing","6754","UT","OGDEN","84404"
"2016","QNERGY INC","0","0","1","0","Industrial, Mining, Metal Manufacturing","6754","UT","OGDEN","84404"
"2017","QUANTRONIX INC DBA CUBISCAN","1","0","0","0","Industrial, Mining, Metal Manufacturing","4098","UT","FARMINGTON","84025"
"2018","REGENCY MINT LLC","0","0","1","0","Industrial, Mining, Metal Manufacturing","3926","UT","OREM","84058"
"2016","REGENCY MINT LLC","1","0","0","0","Industrial, Mining, Metal Manufacturing","3926","UT","OREM","84058"
"2017","RELIANCE MEDICAL SYSTEMS LLC","0","0","1","0","Industrial, Mining, Metal Manufacturing","3192","UT","BOUNTIFUL","84010"
"2017","RUBY S VINTAGE JEWELRY LLC","0","1","0","0","Industrial, Mining, Metal Manufacturing","9038","UT","SMITHFIELD","84335"
"2016","SEAT COMFORT SYSTEMS INC","1","0","0","0","Industrial, Mining, Metal Manufacturing","6639","UT","PARK CITY","84098"
"2019","SIGNS COM","1","0","0","0","Industrial, Mining, Metal Manufacturing","3511","UT","SALT LAKE CITY","84104"
"2017","SILEX TECH AMERICA INC","0","0","1","0","Industrial, Mining, Metal Manufacturing","342","UT","MIDVALE","84047"
"2016","SILEX TECHNOLOGY AMERICA INC","0","0","1","0","Industrial, Mining, Metal Manufacturing","342","UT","MIDVALE","84047"
"2016","SNUGZ USA INC","0","1","0","0","Industrial, Mining, Metal Manufacturing","1430","UT","WEST JORDAN","84081"
"2018","SOLUTIONREACH INC","1","1","1","0","Industrial, Mining, Metal Manufacturing","9593","UT","LEHI","84043"
"2018","T D WILLIAMSON INC","0","0","1","0","Industrial, Mining, Metal Manufacturing","9110","UT","SALT LAKE CITY","84116"
"2018","THE SKIER S EDGE CO","0","0","0","1","Industrial, Mining, Metal Manufacturing","1252","UT","SALT LAKE CITY","84120"
"2018","TOYO PUMPS NORTH AMERICA LLC","0","0","1","0","Industrial, Mining, Metal Manufacturing","5271","UT","WEST VALLEY CITY","84119"
"2018","TURBO PERFORMANCE LLC","0","0","1","0","Industrial, Mining, Metal Manufacturing","2722","UT","WEST HAVEN","84401"
"2016","TURBO PERFORMANCE LLC","1","0","0","0","Industrial, Mining, Metal Manufacturing","2722","UT","SANDY","84094"
"2018","ULTRADENT PRODUCTS INC","0","0","1","0","Industrial, Mining, Metal Manufacturing","6957","UT","SOUTH JORDAN","84095"
"2019","ULTRADENT PRODUCTS INC","0","0","2","0","Industrial, Mining, Metal Manufacturing","6957","UT","SOUTH JORDAN","84095"
"2017","VANDERHALL MOTOR WORKS INC","1","0","0","0","Industrial, Mining, Metal Manufacturing","6323","UT","PROVO","84606"
"2018","VAREX IMAGING CORP","1","0","0","0","Industrial, Mining, Metal Manufacturing","4516","UT","SALT LAKE CITY","84104"
"2018","VAREX IMAGING CORPORATION","1","0","5","0","Industrial, Mining, Metal Manufacturing","4516","UT","SALT LAKE CITY","84104"
"2019","VAREX IMAGING CORPORATION","2","0","1","0","Industrial, Mining, Metal Manufacturing","4516","UT","SALT LAKE CITY","84104"
"2019","VIA MOTORS INTERNATIONAL INC","0","0","1","0","Industrial, Mining, Metal Manufacturing","185","UT","OREM","84058"
"2017","VIA MOTORS INTERNATIONAL INC","0","0","1","0","Industrial, Mining, Metal Manufacturing","185","UT","OREM","84058"
"2018","VIVINT SOLAR DEVELOPER LLC","0","0","1","0","Industrial, Mining, Metal Manufacturing","6438","UT","LEHI","84043"
"2017","OCEAN MART INC","1","0","0","0","Retail Trade","5281","UT","SANDY","84070"
"2019","VIVINT SOLAR DEVELOPER LLC","0","0","1","0","Industrial, Mining, Metal Manufacturing","6439","UT","LEHI","84043"
"2018","WAVETRONIX LLC","0","0","1","0","Industrial, Mining, Metal Manufacturing","5153","UT","PROVO","84606"
"2017","WAVETRONIX LLC","1","0","1","0","Industrial, Mining, Metal Manufacturing","5153","UT","PROVO","84606"
"2016","WAVETRONIX LLC","0","0","1","0","Industrial, Mining, Metal Manufacturing","5153","UT","PROVO","84606"
"2019","WILSON ELECTRONICS LLC","0","0","1","0","Industrial, Mining, Metal Manufacturing","7635","UT","COTTONWOOD HEIGHTS","84121"
"2018","ZAGG INC","0","0","2","0","Industrial, Mining, Metal Manufacturing","9624","UT","MIDVALE","84047"
"2019","1 800 CONTACTS INC","1","0","0","0","Wholesale Trade","1643","UT","DRAPER","84020"
"2016","ALL ABOUT NATURALS INC","0","0","1","0","Wholesale Trade","1107","UT","WEST VALLEY CITY","84119"
"2017","BAILEY FARMS INTERNATIONAL LLC","0","0","1","0","Wholesale Trade","8413","UT","EPHRAIM","84627"
"2019","CONTROL4 CORPORTATION","2","1","1","0","Wholesale Trade","3209","UT","DRAPER","84020"
"2016","GGI ENERGY INC","0","0","1","0","Wholesale Trade","267","UT","OREM","84058"
"2017","HOJ ENGINEERING & SALES CO INC","0","0","1","0","Wholesale Trade","164","UT","WEST VALLEY CITY","84119"
"2017","HOJ ENGINEERING AND SALES CO INC","1","0","0","0","Wholesale Trade","164","UT","SALT LAKE CITY","84119"
"2016","IDAHO MATERIAL HANDLING INC","1","0","0","0","Wholesale Trade","4779","UT","SALT LAKE CITY","84123"
"2018","INSTRUCTURE INC","1","0","2","0","Wholesale Trade","5687","UT","SALT LAKE CITY","84121"
"2019","INSTRUCTURE INC","1","0","1","1","Wholesale Trade","5687","UT","SALT LAKE CITY","84121"
"2017","INSTRUCTURE INC","0","0","2","0","Wholesale Trade","5687","UT","SALT LAKE CITY","84121"
"2016","INSTRUCTURE INC","2","0","2","0","Wholesale Trade","5687","UT","SALT LAKE CITY","84121"
"2016","JIVE COMMUNICATIONS","1","0","0","0","Wholesale Trade","3048","UT","OREM","84057"
"2018","JIVE COMMUNICATIONS INC","0","0","1","0","Wholesale Trade","3048","UT","OREM","84057"
"2017","JIVE COMMUNICATIONS INC","0","0","1","0","Wholesale Trade","3048","UT","OREM","84057"
"2019","LOVELAND INNOVATIONS LLC","1","0","0","0","Wholesale Trade","3536","UT","ALPINE","84004"
"2019","PARKER INTERNATIONAL INC","0","1","0","0","Wholesale Trade","9720","UT","SALT LAKE CITY","84101"
"2018","PARKER INTL INC","0","0","1","0","Wholesale Trade","9720","UT","SALT LAKE CITY","84101"
"2019","PROMETHEUS DEVELOPMENT INC DBD TOR","0","1","0","0","Wholesale Trade","2097","UT","LEHI","84043"
"2017","RC WILLEY HOME FURNISHINGS","0","1","0","0","Wholesale Trade","2145","UT","SALT LAKE CITY","84115"
"2017","SNAPRAYS LLC DBA SNAPPOWER","1","0","0","0","Wholesale Trade","2865","UT","PROVO","84604"
"2019","STADLER US INC","0","1","0","0","Wholesale Trade","6733","UT","SALT LAKE CITY","84116"
"2019","THATCHER GROUP INC","0","0","1","0","Wholesale Trade","2619","UT","SALT LAKE CITY","84104"
"2019","ZAGG INC","1","0","0","0","Wholesale Trade","9624","UT","MIDVALE","84047"
"2018","CD PHARMACY LLC","0","0","1","0","Retail Trade","4784","UT","SALT LAKE CITY","84102"
"2019","CD PHARMACY LLC BDA RED ROCK PHARM","0","0","1","0","Retail Trade","4784","UT","SALT LAKE CITY","84102"
"2016","CD PHARMACY LLC DBA RED ROCK PHARM","1","0","0","0","Retail Trade","4784","UT","SALT LAKE CITY","84102"
"2018","CORNERSTONE RESEARCH & DEVELOPMENT","1","0","0","0","Retail Trade","3752","UT","OGDEN","84404"
"2016","INTERMOUNTAIN WOOD PRODUCTS INC","0","0","1","0","Retail Trade","2510","UT","SALT LAKE CITY","84115"
"2019","NATURE S SUNSHINE PRODUCTS INC","0","1","1","0","Retail Trade","7982","UT","LEHI","84043"
"2016","NATURE S SUNSHINE PRODUCTS INC","0","0","2","0","Retail Trade","7982","UT","LEHI","84043"
"2018","NATURES SUNSHINE PRODUCTS INC","3","0","1","0","Retail Trade","7982","UT","LEHI","84043"
"2017","NATURES SUNSHINE PRODUCTS INC","0","0","2","0","Retail Trade","7982","UT","LEHI","84043"
"2019","NSE PRODUCTS INC DBA NUSKIN","0","0","1","0","Retail Trade","669","UT","PROVO","84601"
