"unnamed_column","address_1","case_number","city","clearance_type","country","created_at","day_of_week","hour_of_day","incident_datetime","incident_description","incident_id","incident_type_primary","latitude","location","longitude","parent_incident_type","state","updated_at","zip"
"357","800 Block N 650 EAST ST","12NE00802","NEPHI",,"null","2012-05-17T08:00:30.000","Tuesday","9","2012-05-08T09:05:00.000","Description: Theft-Property-Other","112142591","THEFT-PROPERTY-OTHER","39.7179355","{'type': 'Point', 'coordinates': [-111.820936, 39.717936]}","-111.8209361","Theft","UT","2012-05-21T15:45:16.000","84648"
"358","100 Block E 1450 NORTH ST","12NE00741","NEPHI",,"null","2012-05-17T08:00:30.000","Tuesday","9","2012-05-08T09:05:53.000","Description: Citizen Assist","112142592","CITIZEN ASSIST","39.7296041","{'type': 'Point', 'coordinates': [-111.82959, 39.729604]}","-111.8295902","Community Policing","UT","2012-05-21T15:45:16.000","84648"
"359","800 Block N 650 EAST ST","12NE00797","NEPHI",,"null","2012-05-17T08:00:30.000","Tuesday","14","2012-05-08T14:05:00.000","Description: Theft-Property-Other","112142593","THEFT-PROPERTY-OTHER","39.7179355","{'type': 'Point', 'coordinates': [-111.820936, 39.717936]}","-111.8209361","Theft","UT","2012-05-21T15:45:16.000","84648"
"360","1 Block E 900 NORTH ST","12NE00743","NEPHI",,"null","2012-05-17T08:00:30.000","Tuesday","13","2012-05-08T13:05:20.000","Description: Animal Problem","112142594","ANIMAL PROBLEM","39.7216424","{'type': 'Point', 'coordinates': [-111.836072, 39.721642]}","-111.8360721","Community Policing","UT","2012-05-21T15:45:16.000","84648"
"361","800 Block N 100 EAST ST","12NE00748","NEPHI",,"null","2012-05-18T08:00:31.000","Wednesday","1","2012-05-09T01:05:42.000","Description: Citizen Assist","112222347","CITIZEN ASSIST","39.7201938","{'type': 'Point', 'coordinates': [-111.834131, 39.720194]}","-111.8341314","Community Policing","UT","2012-05-21T15:48:17.000","84648"
"362","400 Block E CENTER ST","12NE00757","NEPHI",,"null","2012-05-19T08:00:35.000","Thursday","15","2012-05-10T15:05:16.000","Description: Traffic Offense","112293422","TRAFFIC OFFENSE","39.7085229","{'type': 'Point', 'coordinates': [-111.828531, 39.708523]}","-111.8285306","Traffic","UT","2012-05-22T08:00:27.000","84648"
"363","300 Block N 200 WEST ST","12NE00758","NEPHI",,"null","2012-05-19T08:00:35.000","Thursday","15","2012-05-10T15:05:20.000","Description: Animal Problem","112293423","ANIMAL PROBLEM","39.7129083","{'type': 'Point', 'coordinates': [-111.839919, 39.712908]}","-111.8399195","Community Policing","UT","2012-05-22T08:00:27.000","84648"
"364","100 Block N MAIN ST","12NE00774","NEPHI",,"null","2012-05-21T08:00:27.000","Saturday","21","2012-05-12T21:05:39.000","Description: Criminal Mischief","112394376","CRIMINAL MISCHIEF","39.7100479","{'type': 'Point', 'coordinates': [-111.836115, 39.710048]}","-111.8361153","Other","UT","2012-05-24T08:00:48.000","84648"
"365","900 Block E 200 NORTH ST","12NE00789","NEPHI",,"null","2012-05-21T15:48:17.000","Tuesday","10","2012-05-15T10:05:38.000","Description: Fraud","112421627","FRAUD","39.7114536","{'type': 'Point', 'coordinates': [-111.819097, 39.711454]}","-111.8190969","Theft","UT","2012-05-27T08:01:27.000","84648"
"366","1300 Block N 475 EAST ST","12NE00800","NEPHI",,"null","2012-05-21T15:48:17.000","Wednesday","10","2012-05-16T10:05:04.000","Description: Animal Problem","112421628","ANIMAL PROBLEM","39.727431","{'type': 'Point', 'coordinates': [-111.827183, 39.727431]}","-111.8271833","Community Policing","UT","2012-05-28T08:00:28.000","84648"
"367","100 Block S 800 EAST ST","12NE00778","NEPHI",,"null","2012-05-21T15:48:17.000","Sunday","16","2012-05-13T16:05:14.000","Description: Animal Problem","112421629","ANIMAL PROBLEM","39.7070502","{'type': 'Point', 'coordinates': [-111.821021, 39.70705]}","-111.821021","Community Policing","UT","2012-05-25T08:00:40.000","84648"
"368","300 Block S 100 EAST ST","12NE00801","NEPHI",,"null","2012-05-21T15:48:17.000","Wednesday","12","2012-05-16T12:05:41.000","Description: Animal Problem","112421630","ANIMAL PROBLEM","39.7039374","{'type': 'Point', 'coordinates': [-111.834195, 39.703937]}","-111.834195","Community Policing","UT","2012-05-28T08:00:28.000","84648"
"369","2100 Block S MAIN ST","12NE00781","NEPHI",,"null","2012-05-21T15:48:17.000","Sunday","21","2012-05-13T21:05:28.000","Description: Citizen Assist","112421632","CITIZEN ASSIST","39.6780929","{'type': 'Point', 'coordinates': [-111.841097, 39.678093]}","-111.841097","Community Policing","UT","2012-05-25T08:00:40.000","84648"
"370","1 Block N 300 EAST ST","12NE00814","NEPHI",,"null","2012-05-21T15:48:17.000","Friday","9","2012-05-18T09:05:26.000","Description: Animal Problem","112421633","ANIMAL PROBLEM","39.7085501","{'type': 'Point', 'coordinates': [-111.830416, 39.70855]}","-111.8304165","Community Policing","UT","2012-05-30T08:00:39.000","84648"
"371","800 Block N 650 EAST ST","12NE00803","NEPHI",,"null","2012-05-21T15:48:17.000","Tuesday","15","2012-05-15T15:05:00.000","Description: Theft-Property-Other","112421634","THEFT-PROPERTY-OTHER","39.7179355","{'type': 'Point', 'coordinates': [-111.820936, 39.717936]}","-111.8209361","Theft","UT","2012-05-27T08:01:27.000","84648"
"372","1900 Block S MAIN ST","12NE00805","NEPHI",,"null","2012-05-21T15:48:17.000","Wednesday","19","2012-05-16T19:05:13.000","Description: Theft-Property-From Motor Vehi","112421635","THEFT-PROPERTY-FROM MOTOR VEHI","39.6779968","{'type': 'Point', 'coordinates': [-111.840288, 39.677997]}","-111.8402878","Theft","UT","2012-05-28T08:00:28.000","84648"
"373","800 Block N 650 EAST ST","12NE00795","NEPHI",,"null","2012-05-21T15:48:17.000","Wednesday","9","2012-05-16T09:05:55.000","Description: Theft-Property-Other","112421636","THEFT-PROPERTY-OTHER","39.7179355","{'type': 'Point', 'coordinates': [-111.820936, 39.717936]}","-111.8209361","Theft","UT","2012-05-28T08:00:28.000","84648"
"374","800 Block N 650 EAST ST","12NE00796","NEPHI",,"null","2012-05-21T15:48:17.000","Wednesday","9","2012-05-16T09:05:58.000","Description: Criminal Mischief","112421637","CRIMINAL MISCHIEF","39.7179355","{'type': 'Point', 'coordinates': [-111.820936, 39.717936]}","-111.8209361","Other","UT","2012-05-28T08:00:28.000","84648"
"375","500 Block E 600 NORTH ST","12NE00818","NEPHI",,"null","2012-05-21T15:48:17.000","Friday","20","2012-05-18T20:05:19.000","Description: Assault-Simple","112421638","ASSAULT-SIMPLE","39.7172142","{'type': 'Point', 'coordinates': [-111.826636, 39.717214]}","-111.8266364","Assault","UT","2012-05-30T08:00:39.000","84648"
