"the_geom","height"
"MULTIPOLYGON (((-111.89308580699998 40.76889348200007, -111.89310731299997 40.768893924000054, -111.89310726399998 40.76916593000004, -111.89288221299995 40.76916860600005, -111.89288347999998 40.76885308400006, -111.89308251799997 40.76885318600006, -111.89308454899998 40.76885896600004, -111.89308507799996 40.76885938700008, -111.89308501499994 40.768859391000035, -111.89308580699998 40.76889348200007)))","46.0"
"MULTIPOLYGON (((-111.89336657099994 40.76912220400004, -111.89335558499994 40.76911854700006, -111.89335852499994 40.769096716000035, -111.89336372099996 40.76909417000007, -111.89336388899994 40.769017477000034, -111.89335109899997 40.76901494700007, -111.89335047799995 40.768947009000044, -111.89333565499999 40.76894384900004, -111.89333974899995 40.76890985700004, -111.89335748999997 40.76890728500007, -111.89335584299995 40.768869057000074, -111.89333626999996 40.768866657000046, -111.89333974899995 40.768837164000054, -111.89335505899999 40.768834155000036, -111.89335852499994 40.76880571600003, -111.89355961199999 40.76880571600003, -111.89355977399998 40.76881030200008, -111.89369613999997 40.76880977900004, -111.89370247599999 40.768811810000045, -111.89371794099998 40.76881990600003, -111.89372390899996 40.76882806100008, -111.89372866999997 40.76885133200006, -111.89373539799999 40.76885243800007, -111.89373403399998 40.76887925600005, -111.89372168399996 40.76888087700007, -111.89372598699998 40.76892325000006, -111.89373266699994 40.768923536000045, -111.89373135199999 40.76895480100006, -111.89372020599995 40.768956038000056, -111.89371794099998 40.769029130000035, -111.89369569699994 40.76902916700004, -111.89369916499999 40.769107093000066, -111.89371591299995 40.76910839000004, -111.89371525899998 40.76914227000003, -111.89369614199995 40.76914292300006, -111.89369380099998 40.76916020500005, -111.89355056299996 40.76915714300003, -111.89354896199995 40.76914814500003, -111.89336660199996 40.76914495400007, -111.89336657099994 40.76912220400004)))","108.87"
"MULTIPOLYGON (((-111.89324095699999 40.764770129000055, -111.89323070399996 40.76477001300003, -111.89323827499999 40.76446959300006, -111.89372241899997 40.764475839000056, -111.89371570799995 40.76477549400005, -111.89324095699999 40.764770129000055)))","25.84"
"MULTIPOLYGON (((-111.89243926199998 40.766597784000055, -111.89245955599995 40.766597956000055, -111.89245267299998 40.76638469400007, -111.89259006099996 40.76638262300003, -111.89259214799996 40.76667471600007, -111.89266135599996 40.76667514600007, -111.89266262699999 40.766675905000056, -111.89266377399997 40.76700317500007, -111.89243261699995 40.767000180000025, -111.89243926199998 40.766597784000055)))","29.57"
"MULTIPOLYGON (((-111.89266993399998 40.76659627100003, -111.89286912399996 40.766601491000074, -111.89286914499996 40.766600700000026, -111.89288204099995 40.76660117200004, -111.89288106099997 40.76668117000003, -111.89266559400001 40.76667972700005, -111.89266993399998 40.76659627100003)))","16.52"
"MULTIPOLYGON (((-111.89288316499994 40.76654420600005, -111.89287073099996 40.766544089000035, -111.89287503799996 40.76642954600005, -111.89312695799998 40.76643694300003, -111.89312716199998 40.76653656500008, -111.89312417399998 40.766538307000076, -111.89312498999999 40.766546352000034, -111.89288316499994 40.76654420600005)))","16.73"
"MULTIPOLYGON (((-111.89288316499994 40.766680732000054, -111.89288316499994 40.76654420600005, -111.89327511899995 40.76654928800008, -111.89326932199998 40.76668376900005, -111.89288316499994 40.766680732000054)))","20.88"
"MULTIPOLYGON (((-111.89325344399998 40.76654825600008, -111.89325352099998 40.76636136300005, -111.89325494999997 40.76635834600006, -111.89372032399996 40.76636339400005, -111.89371897199999 40.76654544000007, -111.89327511899995 40.76654928800008, -111.89325344399998 40.76654825600008)))","19.31"
"MULTIPOLYGON (((-111.89289213299998 40.766832253000075, -111.89312116699995 40.76683669300007, -111.89312548599997 40.766725620000045, -111.89330187799999 40.76673105900006, -111.89330251099996 40.766786125000074, -111.89330798399999 40.76678626000006, -111.89330625899998 40.76700241500004, -111.89288633899999 40.767000481000025, -111.89289213299998 40.766832253000075)))","21.04"
"MULTIPOLYGON (((-111.89352139899995 40.76700340600007, -111.89341382899994 40.767002911000084, -111.89330625899998 40.76700241500004, -111.89330798399999 40.76678626000006, -111.89341681499997 40.76678894600008, -111.89352564699999 40.766791631000046, -111.89352139899995 40.76700340600007)))","18.3"
"MULTIPOLYGON (((-111.89354390999995 40.766706760000034, -111.893722278 40.766712776000084, -111.89371557199996 40.76700430100004, -111.89352139899995 40.76700340600007, -111.89352564699999 40.766791631000046, -111.89354068399996 40.76679200200005, -111.89354390999995 40.766706760000034)))","13.59"
"MULTIPOLYGON (((-111.89169917099998 40.766363574000025, -111.89169753299996 40.76643458600006, -111.89169532699998 40.76643597100008, -111.89169539399997 40.76643869800006, -111.89132503599996 40.76643992500004, -111.89132737499995 40.766356372000075, -111.89169917099998 40.766363574000025)))","22.2"
"MULTIPOLYGON (((-111.89132364099999 40.76648974600005, -111.891324339 40.76646483500008, -111.89132503599996 40.76643992500004, -111.89169539399997 40.76643869800006, -111.89169532699998 40.76643597100008, -111.89169753299996 40.76643458600006, -111.89169751899999 40.76643517000008, -111.89174311699998 40.766436706000036, -111.89186246599996 40.76644076900004, -111.89186067799994 40.76648951800007, -111.89132364099999 40.76648974600005)))","22.02"
"MULTIPOLYGON (((-111.89185845199995 40.76655022400007, -111.89178749599995 40.76654843500006, -111.89178748799998 40.766548690000036, -111.89132203299994 40.76654722200004, -111.89132283699996 40.76651848400007, -111.89132364099999 40.76648974600005, -111.89186067799994 40.76648951800007, -111.89185845199995 40.76655022400007)))","12.55"
"MULTIPOLYGON (((-111.89132203299994 40.76654722200004, -111.89178748799998 40.766548690000036, -111.89178603199997 40.76659822000005, -111.89132072299998 40.76659399400006, -111.89132203299994 40.76654722200004)))","12.41"
"MULTIPOLYGON (((-111.89357262599998 40.77047784800004, -111.89356122299996 40.77050919700008, -111.89353953999995 40.77054342900005, -111.89351003599995 40.77057434900007, -111.89347784999995 40.77059856100004, -111.89343761599997 40.77061974800006, -111.89339201899998 40.77063554000006, -111.89334373899999 40.770644935000064, -111.893300824 40.77064773400008, -111.89328472999995 40.77065033000008, -111.89295213699995 40.77065153500007, -111.89292531399997 40.77065051000006, -111.89287971699997 40.770648779000055, -111.89283059299999 40.77063629100007, -111.89278047499994 40.770615011000075, -111.89274024199995 40.77059188800007, -111.89270269099995 40.77055910100006, -111.89268130099998 40.77053269400005, -111.89267002099997 40.770506287000046, -111.89265219199996 40.77045753500005, -111.89264859299999 40.770423003000076, -111.89265292599998 40.77038847000006, -111.89266450799994 40.770355969000036, -111.89268659799997 40.77032167100003, -111.89271163299998 40.77029502900007, -111.89274429499994 40.77027065300007, -111.89278362999994 40.77025034000008, -111.89282450699994 40.770236121000046, -111.89287971699997 40.770222011000044, -111.89293604299996 40.77021712700009, -111.89329277699994 40.77021795500008, -111.89335714999999 40.77022290100007, -111.89340711799997 40.770236121000046, -111.89344029899996 40.77025192200006, -111.89348321399996 40.77027557200006, -111.89351808299995 40.770303709000075, -111.89354429099996 40.770333624000045, -111.89356367999994 40.77036712400008, -111.89357513999994 40.770402689000036, -111.89357815999995 40.77044128500006, -111.89357262599998 40.77047784800004)))","25.88"
"MULTIPOLYGON (((-111.89310115499995 40.76979668000007, -111.89307592899996 40.76979464900006, -111.89307589799995 40.76977800000003, -111.89306013299996 40.76977636600004, -111.89306248699995 40.76972946300003, -111.89307627899996 40.76972961700005, -111.893079092 40.76972761400003, -111.89308126199995 40.76970737500005, -111.89310666699998 40.76970730100004, -111.89310808399995 40.76965990400004, -111.89324061599996 40.76966058000005, -111.89324219499997 40.76963507500005, -111.89334518799996 40.76963823500006, -111.89334680099995 40.76966022800008, -111.89353999999997 40.76966261100006, -111.89353991999997 40.769709771000066, -111.89357610599995 40.769711363000056, -111.89357210699995 40.769795061000025, -111.89354112999996 40.76979464900006, -111.89353991999997 40.76985012200004, -111.89335631899996 40.769849495000074, -111.89335484799996 40.769868780000024, -111.89322554399996 40.76986574500006, -111.89322341899998 40.769853863000044, -111.89310122299997 40.76985253400005, -111.89310115499995 40.76979668000007)))","24.96"
"MULTIPOLYGON (((-111.89221398099994 40.770511272000086, -111.89223556099995 40.77051284100003, -111.89223275699999 40.77059565500008, -111.89214370899998 40.770594094000046, -111.89214156199995 40.77067027100003, -111.89168277999994 40.770663159000044, -111.89168402499996 40.770593940000026, -111.89158384199999 40.77059206200005, -111.89158634499995 40.77050808300004, -111.89162820399997 40.77050877800008, -111.89162657799994 40.77047404500007, -111.89158097999996 40.77047221500004, -111.89158366199996 40.770385178000026, -111.89162839999996 40.770384868000065, -111.89162657799994 40.77035220300007, -111.89158817699996 40.770350335000046, -111.89159170899995 40.77027312300004, -111.89169933999995 40.77027517600004, -111.89169899699999 40.770303453000054, -111.89213411699997 40.77030158300005, -111.89213619699996 40.77027885500007, -111.89223761599999 40.770281270000055, -111.89223543899999 40.770359202000066, -111.89220959399995 40.770360492000066, -111.892210708 40.77039096200008, -111.89224746899998 40.77039299300003, -111.89224348599998 40.77048172700006, -111.89221268699998 40.77048237100007, -111.89221398099994 40.770511272000086)))","32.99"
"MULTIPOLYGON (((-111.88864208199999 40.769930758000044, -111.88847613499998 40.769925819000036, -111.88848094999997 40.76959184000003, -111.888675945 40.76959677900004, -111.88867523999994 40.76972481900004, -111.88864679899996 40.76972397900005, -111.88864208199999 40.769930758000044)))","19.3"
"MULTIPOLYGON (((-111.88888197199998 40.76971727800003, -111.88869514599999 40.76971532300007, -111.88869497599995 40.76956639800005, -111.888882062 40.76956840500003, -111.88888197199998 40.76971727800003)))","15.2"
"MULTIPOLYGON (((-111.89187312099996 40.76563529400005, -111.891872665 40.76569377900006, -111.89187081499995 40.76569573300003, -111.89133682499994 40.76569493900008, -111.89133700199996 40.76563230900007, -111.89187312099996 40.76563529400005)))","13.38"
"MULTIPOLYGON (((-111.89133643999998 40.765830495000046, -111.89188886799997 40.76583066300003, -111.89188886699998 40.76583097300005, -111.89188820899994 40.76604148300004, -111.89188491699997 40.766341916000044, -111.891359681 40.76634290000004, -111.89135920399997 40.766354087000025, -111.89131559499998 40.76635305700006, -111.89132165299998 40.76602718200007, -111.89133588399994 40.766026053000076, -111.89133643999998 40.765830495000046)))","54.09"
"MULTIPOLYGON (((-111.89188886799997 40.76583066300003, -111.89133643999998 40.765830495000046, -111.89133682499994 40.76569493900008, -111.89187081499995 40.76569573300003, -111.891872665 40.76569377900006, -111.89187265499999 40.765695046000076, -111.89188917299998 40.765694425000056, -111.89188945099994 40.76569482600007, -111.89188917999996 40.76569486400007, -111.89188886799997 40.76583066300003)))","14.36"
"MULTIPOLYGON (((-111.89253035599997 40.76578651500006, -111.89252998899997 40.765710355000074, -111.89253132899995 40.76570938000003, -111.89253132899995 40.76570941700004, -111.89256853399996 40.765709085000026, -111.89257156299999 40.76517053200007, -111.89268223999994 40.765170744000045, -111.89268421499997 40.765153257000065, -111.89276718399998 40.76515652300003, -111.89277004599995 40.76516935400008, -111.89291756799997 40.765170744000045, -111.89313406899998 40.76517277500005, -111.89313750899998 40.76526890400004, -111.89316559399998 40.76527028600003, -111.89316164899999 40.76534748200004, -111.89314282199996 40.76534748200004, -111.89314287299999 40.765351545000044, -111.89314823799998 40.76565276600007, -111.89311723699996 40.765654235000056, -111.89311714799999 40.76566918200007, -111.89289307199999 40.765670843000066, -111.89289297099998 40.76585534900005, -111.89289279199994 40.76585535000004, -111.89289074499999 40.76586627000006, -111.89262431699996 40.76586550700006, -111.89262520699998 40.76591710200006, -111.89253099899997 40.76592016400008, -111.89253035599997 40.76578651500006)))","30.41"
"MULTIPOLYGON (((-111.89311605099999 40.76585420300006, -111.89289297099998 40.76585534900005, -111.89289307199999 40.765670843000066, -111.89311714799999 40.76566918200007, -111.89311605099999 40.76585420300006)))","27.06"
"MULTIPOLYGON (((-111.89193319699997 40.76582074100003, -111.89232023299996 40.765816752000035, -111.89231995899996 40.76578822800008, -111.89253035599997 40.76578651500006, -111.89253099899997 40.76592016400008, -111.89252507799995 40.76592035700003, -111.89251523599995 40.76629927700004, -111.89206465499997 40.76629211300008, -111.89206462499999 40.76606865300005, -111.89206252399998 40.766048847000036, -111.89206201699994 40.76604427600006, -111.89192680999997 40.76604021300005, -111.89193319699997 40.76582074100003)))","25.26"
"MULTIPOLYGON (((-111.89231943499999 40.76573352300005, -111.89192406399997 40.76573752500008, -111.89191978599996 40.765690515000074, -111.89188945099994 40.76569482600007, -111.89188917299998 40.765694425000056, -111.89187265499999 40.765695046000076, -111.891872665 40.76569377900006, -111.89187312099996 40.76563529400005, -111.89133700199996 40.76563230900007, -111.89133763799998 40.76540842700007, -111.89133774599999 40.76533653700005, -111.89134579299997 40.76531563700007, -111.89136920299995 40.76528857000005, -111.89143138099996 40.76524184600004, -111.89148794999994 40.76520621100008, -111.89152550099999 40.765190430000075, -111.89154695899998 40.76518785300004, -111.89187725699998 40.765189027000076, -111.89187955299997 40.76520496900008, -111.89252571699996 40.76520934200005, -111.89253132899995 40.76570938000003, -111.89252998899997 40.765710355000074, -111.89253035599997 40.76578651500006, -111.89231995899996 40.76578822800008, -111.89231943499999 40.76573352300005)))","70.27"
"MULTIPOLYGON (((-111.88569217799994 40.771321397000065, -111.88569203399999 40.771366045000036, -111.88567352299998 40.77136584200008, -111.88567211299994 40.77150454900004, -111.88552454799998 40.77150686900006, -111.88552454799998 40.77135404300003, -111.88554874999996 40.77135408000004, -111.88554878499997 40.77133601700007, -111.88558980899997 40.77133608200006, -111.88558992399999 40.771321088000036, -111.88569217799994 40.771321397000065)))","19.16"
"MULTIPOLYGON (((-111.88510879199998 40.766083071000025, -111.88491483499996 40.76608331400007, -111.88491545399995 40.766039498000055, -111.88487732799996 40.76603907600003, -111.88487778199999 40.76599123600005, -111.88510982199995 40.76599032300004, -111.88510879199998 40.766083071000025)))","17.12"
"MULTIPOLYGON (((-111.88524874199999 40.771880656000064, -111.88561217199998 40.77188746300005, -111.88560279399996 40.77223987800005, -111.88524139299994 40.772236176000035, -111.88524874199999 40.771880656000064)))","36.56"
"MULTIPOLYGON (((-111.88656193899999 40.76880558500005, -111.88654249799998 40.76880532100006, -111.88654247299998 40.768809729000054, -111.88650843599999 40.768809333000036, -111.88650717599995 40.76880931800008, -111.88650745599995 40.76880484700007, -111.88651097699994 40.76874875000004, -111.88679665199999 40.76874641200005, -111.88679501099995 40.76916525300004, -111.88659003999999 40.76916487300008, -111.88659098299996 40.76897392500007, -111.88659165599995 40.76883782300007, -111.88656193899999 40.76880558500005)))","15.22"
"MULTIPOLYGON (((-111.88642782799997 40.76881261600005, -111.88650717199994 40.768809384000065, -111.88650717599995 40.76880931800008, -111.88650843599999 40.768809333000036, -111.88654247299998 40.768809729000054, -111.88654048099995 40.76916588300003, -111.88642450199995 40.76916487300008, -111.88642782799997 40.76881261600005)))","15.44"
"MULTIPOLYGON (((-111.91427086399995 40.754906736000066, -111.91426990499997 40.75483255000006, -111.91445862199998 40.75483015300006, -111.91445862199998 40.75490433900006, -111.91427086399995 40.754906736000066)))","10.61"
"MULTIPOLYGON (((-111.91482530499997 40.755064969000045, -111.91473380299999 40.755065158000036, -111.91473380299999 40.75493830000005, -111.91491697099997 40.75493671300006, -111.91491752799999 40.75502893200007, -111.91482497499999 40.755029199000035, -111.91482530499997 40.755064969000045)))","13.53"
"MULTIPOLYGON (((-111.91519565099998 40.75488711500003, -111.91529293199994 40.754888297000036, -111.91529397199997 40.75505795300006, -111.91519669099995 40.755056772000046, -111.91519565099998 40.75488711500003)))","9.76"
"MULTIPOLYGON (((-111.91566482999997 40.75493237800004, -111.91576879499996 40.754934872000035, -111.91576677199998 40.75506096500004, -111.91566280699999 40.75505847100004, -111.91566482999997 40.75493237800004)))","10.8"
"MULTIPOLYGON (((-111.91565631199995 40.75507371100008, -111.91560932399994 40.75507273000005, -111.91560956599994 40.755059792000054, -111.91556252499998 40.755058785000074, -111.91556446699997 40.754928660000076, -111.91565907999995 40.75493083200007, -111.91565631199995 40.75507371100008)))","9.86"
"MULTIPOLYGON (((-111.91607856599995 40.75450634900005, -111.91596383499996 40.754503267000075, -111.91596684999996 40.754340736000074, -111.91608158099996 40.75434381800005, -111.91607856599995 40.75450634900005)))","12.09"
"MULTIPOLYGON (((-111.91595534999999 40.75453061200005, -111.91585472299994 40.75452777400005, -111.91585720499995 40.754364219000024, -111.91595783199995 40.754367057000024, -111.91595534999999 40.75453061200005)))","10.2"
"MULTIPOLYGON (((-111.91546433499998 40.754416664000075, -111.91546185099998 40.75449423300007, -111.915360567 40.75449148300004, -111.91536305099999 40.75435230800008, -111.91546433499998 40.754355059000034, -111.91546433499998 40.754416664000075)))","10.51"
"MULTIPOLYGON (((-111.91534255399996 40.754500101000076, -111.91524529199995 40.754498804000036, -111.91524765499997 40.75435558400005, -111.91534491699998 40.75435558400005, -111.91534255399996 40.754500101000076)))","10.16"
