"occupation_code","title","level","employment","employment_rse","per_1_000_jobs","location","median_hourly_wage","mean_hourly_wage","annual_wage","mean_wage"
"9032-11-01T00:00:00.000","Education Administrators, Elementary and Secondary School","detail","2200","0.035","1.513","0.83","-4","-4","93590","0.023"
"9033-11-01T00:00:00.000","Education Administrators, Postsecondary","detail","1390","0.179","0.951","0.96","38.33","45.71","95070","0.052"
"9039-11-01T00:00:00.000","Education Administrators, All Other","detail","390","0.165","0.265","0.93","25.01","32.78","68180","0.054"
"9041-11-01T00:00:00.000","Architectural and Engineering Managers","detail","2230","0.032","1.532","1.18","60.24","62.01","128980","0.019"
"9051-11-01T00:00:00.000","Food Service Managers","detail","1870","0.091","1.283","0.85","21.20","22.13","46030","0.027"
"9061-11-01T00:00:00.000","Funeral Service Managers","detail","70","0.491","0.047","0.8","-8","-8","-8","-8"
"9081-11-01T00:00:00.000","Lodging Managers","detail","490","0.152","0.335","1.31","25.85","26.93","56010","0.068"
"9111-11-01T00:00:00.000","Medical and Health Services Managers","detail","3560","0.039","2.443","0.95","43.22","50.37","104770","0.034"
"9121-11-01T00:00:00.000","Natural Sciences Managers","detail","1200","0.117","0.825","1.98","41.77","47.99","99810","0.044"
"9131-11-01T00:00:00.000","Postmasters and Mail Superintendents","detail","110","0.00","0.075","0.79","37.33","37.35","77680","0.01"
"9141-11-01T00:00:00.000","Property, Real Estate, and Community Association Managers","detail","2770","0.071","1.905","1.36","19.88","23.00","47850","0.054"
"9151-11-01T00:00:00.000","Social and Community Service Managers","detail","1200","0.053","0.825","0.8","29.04","30.92","64320","0.017"
"9161-11-01T00:00:00.000","Emergency Management Directors","detail","130","0.045","0.086","1.31","27.03","29.24","60820","0.024"
"9199-11-01T00:00:00.000","Managers, All Other","detail","3310","0.042","2.273","0.71","44.27","49.18","102290","0.03"
"13-0000","Business and Financial Operations Occupations","major","76290","0.012","52.403","0.98","27.82","31.09","64670","0.014"
"13-1020","Buyers and Purchasing Agents","broad","4100","0.045","2.817","1","28.29","29.61","61580","0.014"
"13-1031","Claims Adjusters, Examiners, and Investigators","detail","1600","0.079","1.098","0.55","27.75","28.52","59330","0.034"
"13-1041","Compliance Officers","detail","3030","0.037","2.08","1","25.69","28.59","59470","0.013"
"13-1051","Cost Estimators","detail","2680","0.061","1.843","1.26","30.65","31.70","65940","0.015"
"13-1071","Human Resources Specialists","detail","6030","0.032","4.139","1.01","24.33","27.39","56960","0.018"
"13-1075","Labor Relations Specialists","detail","250","0.272","0.174","0.33","21.06","22.72","47250","0.082"
"13-1081","Logisticians","detail","2510","0.044","1.724","1.47","35.28","35.51","73860","0.029"
"13-1111","Management Analysts","detail","4650","0.045","3.191","0.67","34.77","37.46","77920","0.03"
"13-1121","Meeting, Convention, and Event Planners","detail","1200","0.06","0.824","1.08","20.04","21.70","45130","0.019"
"13-1131","Fundraisers","detail","500","0.106","0.34","0.65","23.30","24.96","51920","0.032"
"13-1141","Compensation, Benefits, and Job Analysis Specialists","detail","770","0.116","0.526","0.91","23.26","36.19","75270","0.23"
"13-1151","Training and Development Specialists","detail","4790","0.042","3.291","1.63","24.03","26.19","54480","0.018"
"13-1161","Market Research Analysts and Marketing Specialists","detail","7860","0.043","5.398","1.22","24.04","27.72","57660","0.024"
"13-1199","Business Operations Specialists, All Other","detail","10210","0.029","7.016","0.96","32.15","34.66","72100","0.034"
"13-2011","Accountants and Auditors","detail","9580","0.03","6.583","0.76","30.49","34.12","70980","0.02"
"13-2021","Appraisers and Assessors of Real Estate","detail","650","0.193","0.445","1.11","22.60","25.13","52280","0.054"
"13-2031","Budget Analysts","detail","320","0.048","0.217","0.59","35.87","36.35","75610","0.016"
"13-2041","Credit Analysts","detail","660","0.13","0.454","0.88","28.49","33.14","68920","0.072"
"13-2051","Financial Analysts","detail","2900","0.079","1.989","0.94","34.65","37.74","78510","0.033"
"13-2052","Personal Financial Advisors","detail","1460","0.126","1.005","0.73","33.53","42.52","88440","0.094"
"13-2053","Insurance Underwriters","detail","500","0.114","0.344","0.52","26.81","28.87","60040","0.029"
"13-2061","Financial Examiners","detail","570","0.098","0.391","0.97","29.15","34.24","71220","0.089"
"13-2071","Credit Counselors","detail","520","0.106","0.354","1.43","17.44","18.30","38070","0.048"
"13-2072","Loan Officers","detail","5220","0.064","3.589","1.7","21.86","27.71","57640","0.041"
"13-2081","Tax Examiners and Collectors, and Revenue Agents","detail","1840","0.00","1.266","3.36","23.26","23.89","49680","0.025"
"13-2082","Tax Preparers","detail","700","0.194","0.478","1.02","17.90","22.34","46470","0.095"
"13-2099","Financial Specialists, All Other","detail","1170","0.062","0.802","0.9","31.24","33.34","69340","0.042"
"15-0000","Computer and Mathematical Occupations","major","52430","0.02","36.012","1.19","36.99","39.30","81740","0.011"
"15-1111","Computer and Information Research Scientists","detail","770","0.028","0.532","2.56","46.02","47.21","98210","0.072"
"15-1121","Computer Systems Analysts","detail","3850","0.07","2.647","0.65","37.52","40.79","84840","0.03"
"15-1122","Information Security Analysts","detail","700","0.104","0.483","0.65","40.43","41.73","86790","0.024"
"15-1131","Computer Programmers","detail","3400","0.095","2.332","1.46","38.34","40.24","83700","0.022"
"15-1132","Software Developers, Applications","detail","11040","0.037","7.585","1.22","46.74","47.63","99070","0.013"
"15-1133","Software Developers, Systems Software","detail","5690","0.099","3.909","1.4","49.35","50.98","106040","0.024"
"15-1134","Web Developers","detail","1980","0.059","1.362","1.55","32.04","33.63","69940","0.018"
"15-1141","Database Administrators","detail","1050","0.041","0.724","0.95","45.96","45.30","94230","0.014"
"15-1142","Network and Computer Systems Administrators","detail","3400","0.128","2.337","0.92","37.29","39.15","81430","0.014"
"15-1143","Computer Network Architects","detail","910","0.088","0.627","0.59","50.18","55.24","114900","0.06"
"15-1151","Computer User Support Specialists","detail","9440","0.043","6.486","1.49","22.06","24.04","50000","0.016"
"15-1152","Computer Network Support Specialists","detail","1650","0.122","1.137","0.91","27.99","29.00","60330","0.025"
"15-1199","Computer Occupations, All Other","detail","6470","0.042","4.442","1.69","35.28","36.97","76890","0.018"
"15-2011","Actuaries","detail","140","0.057","0.096","0.67","25.40","35.66","74180","0.054"
"15-2031","Operations Research Analysts","detail","1410","0.129","0.967","1.34","33.28","35.19","73200","0.046"
"15-2041","Statisticians","detail","450","0.066","0.312","1.13","33.80","36.06","75000","0.034"
"15-2090","Miscellaneous Mathematical Science Occupations","broad","50","0.00","0.032","2.34","18.33","26.96","56070","0.071"
"17-0000","Architecture and Engineering Occupations","major","28290","0.02","19.429","1.1","35.32","37.48","77960","0.015"
"17-1011","Architects, Except Landscape and Naval","detail","1090","0.099","0.748","1.04","31.37","32.47","67540","0.05"
"17-1012","Landscape Architects","detail","130","0.328","0.086","0.67","32.33","34.13","70990","0.037"
"17-1021","Cartographers and Photogrammetrists","detail","160","0.10","0.112","1.46","27.89","27.55","57310","0.025"
"17-1022","Surveyors","detail","540","0.143","0.368","1.18","32.99","33.24","69150","0.035"
"17-2011","Aerospace Engineers","detail","900","0.082","0.618","1.4","49.07","50.63","105320","0.02"
"17-2031","Biomedical Engineers","detail","590","0.221","0.406","3.1","33.56","34.13","70980","0.028"
"17-2041","Chemical Engineers","detail","130","0.125","0.091","0.41","43.34","45.67","95000","0.043"
"17-2051","Civil Engineers","detail","2910","0.072","2","0.95","37.03","38.79","80690","0.018"
"17-2071","Electrical Engineers","detail","1860","0.10","1.28","0.99","43.97","45.29","94200","0.023"
"17-2072","Electronics Engineers, Except Computer","detail","1350","0.055","0.926","1","45.02","43.66","90810","0.019"
"17-2081","Environmental Engineers","detail","500","0.133","0.342","0.93","35.47","36.79","76530","0.034"
"17-2111","Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","detail","340","0.135","0.235","1.3","36.57","38.49","80070","0.026"
"17-2112","Industrial Engineers","detail","2240","0.091","1.54","0.8","39.32","43.19","89830","0.041"
"17-2131","Materials Engineers","detail","420","0.114","0.288","1.55","41.43","42.35","88100","0.015"
"17-2141","Mechanical Engineers","detail","3600","0.045","2.474","1.18","41.92","42.38","88150","0.013"
"17-2151","Mining and Geological Engineers, Including Mining Safety Engineers","detail","340","0.172","0.234","5.86","40.61","44.99","93580","0.109"
"17-2171","Petroleum Engineers","detail","200","0.312","0.135","0.6","-8","-8","-8","-8"
"17-2199","Engineers, All Other","detail","1160","0.128","0.797","0.81","43.12","43.18","89810","0.043"
"17-3011","Architectural and Civil Drafters","detail","1710","0.083","1.177","1.74","24.29","24.83","51640","0.019"
"17-3012","Electrical and Electronics Drafters","detail","310","0.194","0.215","1.25","29.14","29.64","61660","0.04"
"17-3013","Mechanical Drafters","detail","500","0.11","0.345","0.89","27.98","29.06","60450","0.019"
"17-3019","Drafters, All Other","detail","60","0.171","0.038","0.38","21.61","24.42","50790","0.065"
"17-3021","Aerospace Engineering and Operations Technicians","detail","160","0.067","0.112","1.61","28.98","29.84","62060","0.024"
"17-3022","Civil Engineering Technicians","detail","430","0.105","0.293","0.6","25.15","25.56","53170","0.027"
"17-3023","Electrical and Electronics Engineering Technicians","detail","1570","0.079","1.081","1.23","28.76","29.08","60490","0.024"
"17-3024","Electro-Mechanical Technicians","detail","130","0.104","0.092","0.99","28.70","30.18","62780","0.05"
"17-3025","Environmental Engineering Technicians","detail","280","0.24","0.19","1.59","21.02","20.96","43600","0.038"
"17-3026","Industrial Engineering Technicians","detail","870","0.107","0.6","1.3","28.51","28.26","58780","0.034"
"17-3027","Mechanical Engineering Technicians","detail","970","0.054","0.663","2.31","25.95","25.99","54060","0.023"
"17-3029","Engineering Technicians, Except Drafters, All Other","detail","1230","0.034","0.847","1.47","26.80","27.15","56480","0.026"
"17-3031","Surveying and Mapping Technicians","detail","350","0.208","0.24","0.66","24.47","24.56","51090","0.029"
"19-0000","Life, Physical, and Social Science Occupations","major","12660","0.028","8.698","1.07","25.95","29.47","61290","0.018"
"19-1012","Food Scientists and Technologists","detail","160","0.222","0.109","1.18","25.77","28.79","59890","0.078"
"19-1013","Soil and Plant Scientists","detail","50","0.04","0.036","0.35","29.34","28.65","59590","0.019"
"19-1021","Biochemists and Biophysicists","detail","100","0.211","0.069","0.35","30.63","32.31","67210","0.05"
"19-1022","Microbiologists","detail","130","0.038","0.089","0.64","27.87","30.17","62750","0.048"
"19-1023","Zoologists and Wildlife Biologists","detail","260","0.042","0.178","1.44","25.11","28.42","59110","0.041"
"19-1029","Biological Scientists, All Other","detail","270","0.011","0.185","0.63","36.21","35.72","74290","0.01"
"19-1031","Conservation Scientists","detail","260","0.033","0.175","1.14","30.42","30.64","63720","0.011"
"19-1042","Medical Scientists, Except Epidemiologists","detail","890","0.195","0.611","0.73","28.62","36.84","76620","0.073"
"19-2012","Physicists","detail","60","0.279","0.042","0.35","66.39","62.25","129480","0.059"
"19-2021","Atmospheric and Space Scientists","detail","290","0.215","0.201","3.12","41.94","41.89","87130","0.082"
"19-2031","Chemists","detail","730","0.067","0.5","0.86","31.61","33.87","70450","0.022"
"19-2032","Materials Scientists","detail","60","0.196","0.041","0.77","42.43","43.94","91390","0.036"
"19-2041","Environmental Scientists and Specialists, Including Health","detail","830","0.207","0.572","1.03","31.98","32.92","68480","0.067"
"19-2042","Geoscientists, Except Hydrologists and Geographers","detail","260","0.161","0.177","0.88","34.58","38.93","80970","0.062"
"19-2043","Hydrologists","detail","70","0.152","0.05","1.16","40.43","41.47","86270","0.026"
"19-3011","Economists","detail","90","0.22","0.063","0.49","32.65","42.44","88280","0.094"
"19-3022","Survey Researchers","detail","260","0.263","0.178","2.2","22.41","25.49","53020","0.082"
"19-3031","Clinical, Counseling, and School Psychologists","detail","1330","0.067","0.914","1.2","34.01","38.90","80920","0.069"
"19-3039","Psychologists, All Other","detail","70","0.038","0.047","0.5","46.15","41.51","86340","0.029"
"19-3041","Sociologists","detail","60","0.146","0.042","2.23","34.33","34.89","72570","0.023"
"19-3051","Urban and Regional Planners","detail","330","0.05","0.226","0.86","31.18","32.53","67660","0.015"
"19-3091","Anthropologists and Archeologists","detail","110","0.207","0.073","1.75","31.39","31.93","66410","0.023"
"19-3093","Historians","detail","240","0.411","0.163","7.73","30.32","33.80","70310","0.138"
"19-3099","Social Scientists and Related Workers, All Other","detail","150","0.143","0.106","0.43","30.82","32.37","67320","0.022"
"19-4011","Agricultural and Food Science Technicians","detail","100","0.08","0.069","0.47","16.57","17.76","36940","0.038"
"19-4021","Biological Technicians","detail","850","0.038","0.581","1.09","18.92","22.25","46290","0.038"
"19-4031","Chemical Technicians","detail","990","0.07","0.683","1.51","20.68","22.18","46130","0.022"
"19-4041","Geological and Petroleum Technicians","detail","210","0.194","0.146","1.4","23.35","24.71","51400","0.05"
"19-4061","Social Science Research Assistants","detail","-8","-8","-8","-8","18.81","21.91","45560","0.036"
"19-4091","Environmental Science and Protection Technicians, Including Health","detail","200","0.152","0.14","0.62","26.54","29.17","60670","0.075"
"19-4093","Forest and Conservation Technicians","detail","1350","0.005","0.926","4.43","14.35","16.23","33750","0.007"
"19-4099","Life, Physical, and Social Science Technicians, All Other","detail","790","0.077","0.541","1.2","22.13","24.51","50980","0.029"
"21-0000","Community and Social Service Occupations","major","20320","0.035","13.955","0.93","19.04","22.12","46020","0.025"
"21-1012","Educational, Guidance, School, and Vocational Counselors","detail","3400","0.097","2.335","1.18","22.51","25.10","52200","0.035"
"21-1013","Marriage and Family Therapists","detail","520","0.292","0.355","1.06","29.02","34.11","70960","0.073"
"21-1015","Rehabilitation Counselors","detail","540","0.13","0.372","0.5","18.84","21.59","44900","0.052"
"21-1018","Substance Abuse, Behavioral Disorder, and Mental Health Counselors","detail","2540","0.093","1.744","0.94","28.03","31.89","66330","0.055"
"21-1019","Counselors, All Other","detail","500","0.009","0.344","1.88","18.22","18.86","39220","0.016"
"21-1021","Child, Family, and School Social Workers","detail","2340","0.101","1.608","0.73","18.92","21.23","44160","0.039"
"21-1022","Healthcare Social Workers","detail","1040","0.086","0.714","0.61","29.83","30.39","63200","0.012"
"21-1023","Mental Health and Substance Abuse Social Workers","detail","600","0.217","0.41","0.51","20.65","22.04","45830","0.037"
"21-1029","Social Workers, All Other","detail","500","0.008","0.34","0.86","21.04","24.47","50900","0.036"
"21-1091","Health Educators","detail","340","0.063","0.235","0.58","23.30","25.30","52630","0.019"
"21-1092","Probation Officers and Correctional Treatment Specialists","detail","720","0.035","0.492","0.81","24.60","24.59","51150","0.015"
"21-1093","Social and Human Service Assistants","detail","6220","0.053","4.272","1.58","12.65","13.87","28840","0.019"
"21-1094","Community Health Workers","detail","550","0.078","0.38","0.98","23.22","22.99","47830","0.019"
"21-1099","Community and Social Service Specialists, All Other","detail","210","0.293","0.142","0.21","18.36","24.31","50560","0.063"
"23-0000","Legal Occupations","major","9800","0.035","6.73","0.86","30.37","39.39","81930","0.03"
"23-1011","Lawyers","detail","4970","0.063","3.413","0.77","46.64","54.03","112380","0.037"
"23-1012","Judicial Law Clerks","detail","480","0.004","0.327","2.9","17.74","18.67","38820","0.016"
"23-1021","Administrative Law Judges, Adjudicators, and Hearing Officers","detail","170","0.013","0.118","1.2","39.99","40.39","84010","0.013"
"23-1022","Arbitrators, Mediators, and Conciliators","detail","110","0.166","0.078","1.81","21.82","25.81","53690","0.079"
"23-1023","Judges, Magistrate Judges, and Magistrates","detail","130","0.042","0.088","0.45","50.87","49.20","102340","0.041"
"23-2011","Paralegals and Legal Assistants","detail","2760","0.096","1.894","0.88","21.78","23.63","49140","0.041"
"23-2093","Title Examiners, Abstractors, and Searchers","detail","1000","0.217","0.69","1.91","19.37","22.44","46670","0.056"
"23-2099","Legal Support Workers, All Other","detail","170","0.118","0.114","0.38","20.13","27.40","57000","0.071"
"25-0000","Education, Training, and Library Occupations","major","89670","0.035","61.594","1.02","21.70","25.42","52870","0.053"
"25-1011","Business Teachers, Postsecondary","detail","770","0.196","0.532","0.91","-4","-4","96460","0.062"
"25-1021","Computer Science Teachers, Postsecondary","detail","400","0.215","0.278","1.24","-4","-4","105560","0.062"
"25-1022","Mathematical Science Teachers, Postsecondary","detail","630","0.28","0.435","1.23","-4","-4","84680","0.051"
"25-1031","Architecture Teachers, Postsecondary","detail","80","0.074","0.052","1.1","-4","-4","83080","0.05"
"25-1032","Engineering Teachers, Postsecondary","detail","320","0.076","0.219","0.85","-4","-4","120110","0.051"
"25-1042","Biological Science Teachers, Postsecondary","detail","550","0.168","0.375","1.05","-4","-4","117940","0.076"
"25-1051","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","detail","180","0.204","0.122","1.61","-4","-4","107950","0.058"
"25-1052","Chemistry Teachers, Postsecondary","detail","230","0.148","0.159","1.08","-4","-4","94160","0.046"
"25-1053","Environmental Science Teachers, Postsecondary","detail","100","0.038","0.067","1.61","-4","-4","90680","0.049"
"25-1054","Physics Teachers, Postsecondary","detail","170","0.22","0.119","1.26","-4","-4","93800","0.03"
"25-1062","Area, Ethnic, and Cultural Studies Teachers, Postsecondary","detail","30","0.06","0.021","0.32","-4","-4","87380","0.058"
"25-1063","Economics Teachers, Postsecondary","detail","160","0.218","0.109","1.23","-4","-4","117380","0.045"
"25-1064","Geography Teachers, Postsecondary","detail","60","0.071","0.039","1.42","-4","-4","73890","0.063"
"25-1065","Political Science Teachers, Postsecondary","detail","70","0.048","0.05","0.45","-4","-4","83350","0.045"
"25-1066","Psychology Teachers, Postsecondary","detail","240","0.10","0.167","0.64","-4","-4","76470","0.033"
"25-1067","Sociology Teachers, Postsecondary","detail","270","0.331","0.184","1.92","-4","-4","92950","0.037"
"25-1069","Social Sciences Teachers, Postsecondary, All Other","detail","90","0.07","0.064","0.52","-4","-4","77640","0.034"
"25-1071","Health Specialties Teachers, Postsecondary","detail","2120","0.046","1.456","1.06","-4","-4","141550","0.108"
"25-1072","Nursing Instructors and Teachers, Postsecondary","detail","240","0.205","0.165","0.43","-4","-4","78360","0.044"
"25-1081","Education Teachers, Postsecondary","detail","850","0.09","0.585","1.39","-4","-4","92070","0.065"
"25-1082","Library Science Teachers, Postsecondary","detail","30","0.00","0.022","0.7","-4","-4","70430","0.021"
"25-1111","Criminal Justice and Law Enforcement Teachers, Postsecondary","detail","470","0.413","0.32","3.11","-4","-4","71760","0.052"
"25-1112","Law Teachers, Postsecondary","detail","110","0.162","0.075","0.64","-4","-4","160920","0.088"
"25-1113","Social Work Teachers, Postsecondary","detail","120","0.121","0.085","0.98","-4","-4","81790","0.029"
"25-1121","Art, Drama, and Music Teachers, Postsecondary","detail","1280","0.25","0.881","1.35","-4","-4","80850","0.059"
"25-1122","Communications Teachers, Postsecondary","detail","430","0.247","0.295","1.47","-4","-4","74270","0.033"
"25-1123","English Language and Literature Teachers, Postsecondary","detail","830","0.271","0.568","1.2","-4","-4","75410","0.029"
"25-1124","Foreign Language and Literature Teachers, Postsecondary","detail","320","0.319","0.218","1.24","-4","-4","85810","0.028"
"25-1125","History Teachers, Postsecondary","detail","250","0.258","0.172","1.21","-4","-4","86170","0.065"
"25-1126","Philosophy and Religion Teachers, Postsecondary","detail","180","0.408","0.122","0.77","-4","-4","88740","0.033"
"25-1191","Graduate Teaching Assistants","detail","2140","0.017","1.467","1.61","-4","-4","51750","0.036"
"25-1192","Home Economics Teachers, Postsecondary","detail","50","0.041","0.031","2.18","-4","-4","65650","0.065"
"25-1193","Recreation and Fitness Studies Teachers, Postsecondary","detail","590","0.116","0.403","3.54","-4","-4","46130","0.107"
"25-1194","Vocational Education Teachers, Postsecondary","detail","2870","0.072","1.969","2.58","22.46","25.26","52530","0.04"
"25-2011","Preschool Teachers, Except Special Education","detail","1550","0.188","1.063","0.36","13.56","14.28","29700","0.035"
"25-2012","Kindergarten Teachers, Except Special Education","detail","680","0.224","0.466","0.51","-4","-4","48320","0.049"
"25-2021","Elementary School Teachers, Except Special Education","detail","11990","0.103","8.238","0.85","-4","-4","59880","0.029"
"25-2022","Middle School Teachers, Except Special and Career/Technical Education","detail","6540","0.176","4.489","1.07","-4","-4","61880","0.034"
"25-2031","Secondary School Teachers, Except Special and Career/Technical Education","detail","10170","0.102","6.985","0.96","-4","-4","59070","0.028"
"25-2032","Career/Technical Education Teachers, Secondary School","detail","-8","-8","-8","-8","-4","-4","59740","0.032"
"25-2051","Special Education Teachers, Preschool","detail","270","0.313","0.183","1.13","-4","-4","48260","0.046"
"25-2052","Special Education Teachers, Kindergarten and Elementary School","detail","1490","0.184","1.026","0.8","-4","-4","46320","0.049"
"25-2053","Special Education Teachers, Middle School","detail","630","0.164","0.431","0.71","-4","-4","50620","0.117"
"25-2054","Special Education Teachers, Secondary School","detail","1170","0.169","0.806","0.82","-4","-4","46820","0.077"
"25-2059","Special Education Teachers, All Other","detail","80","0.041","0.057","0.22","-4","-4","72290","0.051"
"25-3011","Adult Basic and Secondary Education and Literacy Teachers and Instructors","detail","-8","-8","-8","-8","20.02","20.51","42670","0.043"
"25-3021","Self-Enrichment Education Teachers","detail","4560","0.106","3.133","1.87","15.08","16.93","35220","0.041"
"25-3097","Teachers and Instructors, All Other, Except Substitute Teachers","detail","2730","0.081","1.875","0.86","-4","-4","36740","0.049"
"25-3098","Substitute Teachers","detail","5030","0.031","3.456","0.85","14.20","16.17","33630","0.12"
"25-4011","Archivists","detail","120","0.09","0.083","1.88","14.04","16.54","34400","0.111"
"25-4012","Curators","detail","90","0.219","0.063","0.75","23.56","23.23","48320","0.043"
"25-4021","Librarians","detail","1020","0.049","0.702","0.81","22.10","24.42","50790","0.036"
"25-4031","Library Technicians","detail","420","0.034","0.29","0.47","13.48","14.51","30180","0.038"
"25-9011","Audio-Visual and Multimedia Collections Specialists","detail","460","0.108","0.313","4.75","16.24","18.39","38250","0.039"
"25-9031","Instructional Coordinators","detail","3210","0.109","2.208","1.95","23.98","27.66","57530","0.048"
"25-9041","Teacher Assistants","detail","17830","0.055","12.245","1.33","-4","-4","26230","0.015"
"25-9099","Education, Training, and Library Workers, All Other","detail","150","0.061","0.104","0.14","21.48","24.99","51990","0.075"
"27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","major","23000","0.044","15.799","1.17","19.79","23.90","49710","0.018"
"27-1011","Art Directors","detail","500","0.116","0.346","1.24","45.77","49.79","103570","0.037"
"27-1012","Craft Artists","detail","120","0.317","0.082","2.97","14.19","14.91","31020","0.076"
"27-1013","Fine Artists, Including Painters, Sculptors, and Illustrators","detail","230","0.179","0.158","1.97","20.74","21.28","44260","0.06"
"27-1014","Multimedia Artists and Animators","detail","310","0.218","0.21","1.07","28.71","35.80","74450","0.067"
"27-1021","Commercial and Industrial Designers","detail","660","0.225","0.452","1.97","23.09","25.74","53540","0.065"
"27-1022","Fashion Designers","detail","80","0.132","0.054","0.4","17.63","20.96","43610","0.054"
"27-1023","Floral Designers","detail","580","0.092","0.395","1.32","12.09","12.62","26250","0.021"
"27-1024","Graphic Designers","detail","3370","0.059","2.313","1.54","21.91","23.14","48130","0.016"
"27-1025","Interior Designers","detail","490","0.157","0.335","0.85","23.70","29.91","62220","0.098"
"27-1026","Merchandise Displayers and Window Trimmers","detail","990","0.186","0.681","0.76","14.06","15.59","32430","0.042"
"27-1027","Set and Exhibit Designers","detail","100","0.176","0.069","0.94","22.11","26.68","55500","0.098"
"27-2012","Producers and Directors","detail","950","0.103","0.651","0.79","26.89","32.60","67800","0.085"
"27-2021","Athletes and Sports Competitors","detail","180","0.217","0.12","1.61","-4","-4","69660","0.193"
"27-2022","Coaches and Scouts","detail","2120","0.116","1.454","0.89","-4","-4","37230","0.066"
"27-2023","Umpires, Referees, and Other Sports Officials","detail","1180","0.019","0.813","6.17","-4","-4","21980","0.017"
"27-2031","Dancers","detail","220","0.113","0.152","2.26","15.42","19.64","-4","0.11"
"27-2041","Music Directors and Composers","detail","50","0.37","0.031","0.37","20.88","27.78","57780","0.176"
"27-2042","Musicians and Singers","detail","380","0.08","0.26","0.9","31.87","31.59","-4","0.093"
"27-2099","Entertainers and Performers, Sports and Related Workers, All Other","detail","260","0.064","0.181","1.91","16.90","16.60","-4","0.046"
"27-3011","Radio and Television Announcers","detail","200","0.175","0.136","0.71","17.59","26.58","55280","0.145"
"27-3021","Broadcast News Analysts","detail","140","0.115","0.094","2.31","29.08","37.03","77020","0.107"
"27-3022","Reporters and Correspondents","detail","190","0.124","0.13","0.51","19.69","24.10","50120","0.048"
"27-3031","Public Relations Specialists","detail","2090","0.086","1.432","0.87","24.05","30.86","64180","0.069"
"27-3041","Editors","detail","960","0.087","0.662","1","25.30","29.32","60990","0.059"
"27-3042","Technical Writers","detail","750","0.054","0.512","1.47","31.08","32.18","66940","0.02"
"27-3043","Writers and Authors","detail","660","0.094","0.45","1.44","23.30","26.28","54660","0.067"
"27-3091","Interpreters and Translators","detail","1560","0.499","1.074","2.72","20.02","21.07","43830","0.036"
"27-3099","Media and Communication Workers, All Other","detail","-8","-8","-8","-8","21.45","23.58","49040","0.084"
"27-4011","Audio and Video Equipment Technicians","detail","1630","0.191","1.119","2.13","17.53","21.23","44150","0.057"
"27-4012","Broadcast Technicians","detail","230","0.06","0.157","0.72","13.82","19.11","39740","0.054"
"27-4014","Sound Engineering Technicians","detail","240","0.061","0.166","1.78","10.13","14.54","30240","0.128"
"27-4021","Photographers","detail","510","0.132","0.353","1.03","-8","-8","-8","-8"
"27-4031","Camera Operators, Television, Video, and Motion Picture","detail","120","0.118","0.08","0.55","25.21","24.43","50810","0.051"
