Location 1,County,geoid,unemployment_rate,Median household income,Gini Index,below poverty level,below poverty level - Male,below poverty level - Male - Under 5 years,below poverty level - Male - 5 years,below poverty level - Male - 6 to 11 years,below poverty level - Male - 12 to 14 years,below poverty level - Male - 15 years,below poverty level - Male - 16 and 17 years,below poverty level - Male - 18 to 24 years,below poverty level - Male - 25 to 34 years,below poverty level - Male - 35 to 44 years,below poverty level - Male - 45 to 54 years,below poverty level - Male - 55 to 64 years,below poverty level - Male - 65 to 74 years,below poverty level - Male - 75 years and over,below poverty level - Female,below poverty level - Female - Under 5 years,below poverty level - Female - 5 years,below poverty level - Female - 6 to 11 years,below poverty level - Female - 12 to 14 years,below poverty level - Female - 15 years,below poverty level - Female - 16 and 17 years,below poverty level - Female - 18 to 24 years,below poverty level - Female - 25 to 34 years,below poverty level - Female - 35 to 44 years,below poverty level - Female - 45 to 54 years,below poverty level - Female - 55 to 64 years,below poverty level - Female - 65 to 74 years,below poverty level - Female - 75 years and over,at or above poverty level,at or above poverty level - Male,at or above poverty level - Male - Under 5 years,at or above poverty level - Male - 5 years,at or above poverty level - Male - 6 to 11 years,at or above poverty level - Male - 12 to 14 years,at or above poverty level - Male - 15 years,at or above poverty level - Male - 16 and 17 years,at or above poverty level - Male - 18 to 24 years,at or above poverty level - Male - 25 to 34 years,at or above poverty level - Male - 35 to 44 years,at or above poverty level - Male - 45 to 54 years,at or above poverty level - Male - 55 to 64 years,at or above poverty level - Male - 65 to 74 years,at or above poverty level - Male - 75 years and over,at or above poverty level - Female,at or above poverty level - Female - Under 5 years,at or above poverty level - Female - 5 years,at or above poverty level - Female - 6 to 11 years,at or above poverty level - Female - 12 to 14 years,at or above poverty level - Female - 15 years,at or above poverty level - Female - 16 and 17 years,at or above poverty level - Female - 18 to 24 years,at or above poverty level - Female - 25 to 34 years,at or above poverty level - Female - 35 to 44 years,at or above poverty level - Female - 45 to 54 years,at or above poverty level - Female - 55 to 64 years,at or above poverty level - Female - 65 to 74 years,at or above poverty level - Female - 75 years and over,Utah Senate Districts,Utah House Districts,School Districts,Municipalities,Counties (New),Census Tract Boundaries
"Lehi, Utah
(40.387876, -111.849167)",Utah,16000US4944320,3.9,74566,0.3531,2639,1300,282,42,176,74,52,54,183,281,112,15,29,0,0,1339,167,20,329,0,0,54,121,395,105,60,30,16,42,48989,25117,3194,697,4185,1405,344,736,2494,3748,3761,1895,1396,840,422,23872,3567,767,3491,1365,293,944,1730,3793,3452,1815,1436,665,554,5,56,30,198,5,192
"Saratoga Springs, Utah
(40.346408, -111.910081)",Utah,16000US4967825,,73896,0.2874,624,290,65,13,110,13,22,0,0,22,23,22,0,0,0,334,14,12,13,42,0,87,92,0,21,38,15,0,0,20344,10222,1542,193,2049,723,266,369,325,1633,1823,696,236,224,143,10122,1659,160,1740,694,246,294,625,1909,1631,483,318,277,86,5,56,30,186,5,
"Lake Shore, Utah
(40.121324, -111.730498)",Utah,16000US4942230,,72625,0.2966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663,337,23,6,47,0,0,0,31,47,29,78,23,22,31,326,6,7,10,12,6,0,80,26,30,74,23,10,42,27,63,32,,5,
"Highland, Utah
(40.431963, -111.785106)",Utah,16000US4935190,,105944,0.3981,749,421,34,9,80,97,14,54,31,0,76,17,9,0,0,328,16,14,70,17,0,37,64,0,60,34,9,0,7,15248,8058,831,323,1243,637,310,421,855,511,1187,666,727,251,96,7190,594,164,1208,618,137,334,522,780,1093,770,638,219,113,6,20,30,188,5,
"Fairfield, Utah
(40.263263, -112.094379)",Utah,16000US4924410,,81932,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,43,2,0,1,4,2,2,2,3,4,5,16,2,0,41,0,2,3,0,0,0,10,2,4,13,5,2,0,5,64,30,185,5,42
"Spanish Fork, Utah
(40.115007, -111.654713)",Utah,16000US4971290,4.2,62073,0.3416,2427,838,133,0,206,0,0,13,76,215,61,45,67,22,0,1589,186,18,206,7,21,24,146,499,277,133,30,24,18,32544,16738,1827,735,2968,1050,237,469,1697,2584,2068,1502,727,458,416,15806,1687,403,2258,1068,291,560,1416,2696,1903,1426,962,706,430,27,63,32,203,5,41
"Palmyra, Utah
(40.140341, -111.698977)",Utah,16000US4957630,,57949,0.2484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563,297,34,0,18,10,0,0,14,72,18,58,30,35,8,266,16,6,22,17,0,0,7,67,18,44,42,20,7,27,63,32,,5,
"Goshen, Utah
(39.952862, -111.900257)",Utah,16000US4930130,,49417,0.3395,110,53,3,7,22,1,0,0,2,6,7,2,3,0,0,57,2,0,12,0,2,0,18,11,9,0,3,0,0,801,429,43,6,58,32,5,12,42,33,65,42,46,34,11,372,35,0,47,25,0,9,18,55,47,49,41,25,21,17,64,32,226,5,168
"Elberta, Utah
(39.960977, -111.956428)",Utah,16000US4922210,,50823,0.2501,37,19,0,0,0,0,0,0,2,0,0,0,0,17,0,18,0,0,0,0,0,0,0,0,0,0,18,0,0,333,162,0,0,17,0,0,7,9,9,29,26,15,17,33,171,21,0,28,21,0,14,8,0,20,0,6,23,30,17,64,32,,5,168
"Spring Lake, Utah
(39.999623, -111.748505)",Utah,16000US4972170,,38264,0.4022,186,94,60,15,0,0,0,0,19,0,0,0,0,0,0,92,4,0,36,0,0,0,20,28,4,0,0,0,0,369,178,46,0,30,0,12,0,0,18,31,27,8,4,2,191,19,0,34,13,0,0,28,23,41,11,11,4,7,27,64,32,,5,
"Elk Ridge, Utah
(40.01468, -111.679785)",Utah,16000US4922370,,79474,0.3241,179,78,0,0,24,19,3,7,0,7,8,6,4,0,0,101,6,3,17,12,6,9,13,4,21,10,0,0,0,2398,1219,117,34,187,111,35,58,59,103,143,138,117,90,27,1179,80,57,215,75,23,40,89,108,168,97,125,83,19,27,64,32,196,5,146
"American Fork, Utah
(40.376761, -111.795867)",Utah,16000US4901310,4.9,63611,0.3818,3515,1716,275,27,275,126,93,80,327,78,189,74,84,28,60,1799,69,9,239,76,0,13,397,242,209,222,161,37,125,23638,11893,997,253,1448,885,229,403,1492,1363,1797,1250,748,582,446,11745,981,248,1513,894,158,341,867,1399,1575,1189,1052,798,730,6,52,30,231,5,
"Payson, Utah
(40.042535, -111.733844)",Utah,16000US4958730,,59250,0.356,2096,932,178,38,122,107,40,27,130,121,112,15,34,8,0,1164,155,12,122,71,12,58,143,151,224,62,52,17,85,16405,8460,924,146,1324,470,124,259,927,1281,1252,744,518,330,161,7945,970,165,1170,339,128,201,662,1397,965,793,533,386,236,27,64,32,228,5,
"West Mountain, Utah
(40.055566, -111.787414)",Utah,16000US4983252,,72813,0.307,96,44,10,11,6,0,0,6,0,11,0,0,0,0,0,52,12,0,6,12,0,0,0,16,0,6,0,0,0,825,434,0,0,48,23,0,46,69,83,6,95,25,14,25,391,29,0,16,30,10,38,30,26,32,119,20,22,19,27,64,32,,5,
"Vineyard, Utah
(40.29263, -111.744768)",Utah,16000US4980420,,65179,0.3618,23,17,4,2,4,2,0,0,1,0,2,2,0,0,0,6,0,0,2,0,0,0,0,0,2,2,0,0,0,154,74,2,5,6,5,0,2,9,14,3,6,14,8,0,80,10,0,6,2,1,2,14,13,3,7,15,4,3,27,55,30,191,5,
"Cedar Hills, Utah
(40.413898, -111.758417)",Utah,16000US4911440,,95929,0.3466,527,262,18,0,51,18,17,36,7,0,25,53,0,10,27,265,30,0,36,0,49,0,0,31,90,17,12,0,0,9312,4395,342,157,770,288,114,143,375,407,756,494,283,105,161,4917,457,139,776,459,171,257,419,358,845,593,191,91,161,6,20,30,189,5,
