"fiscal_year","cig_tax_collections","cig_real_tax_collections","cig_real_per_capita","cig_tax_rate_per_pack","cig_packs_sold","tobacco_tax_collections","tobacco_real_tax_collections","tobacco_real_per_capita","tobacco_tax_rate","taxable_sales","notes"
"1969","5238619","15057109","29.01","0.08","65482738","182860","525586","0.51","25","731440",
"1970","5294104","14431905","27.81","0.08","66176300","190836","520225","0.5","25","763344","6"
"1971","5596549","14408622","27.76","0.08","69956863","214843","553125","0.52","25","859372",
"1972","6057789","14963662","28.83","0.08","75722363","223404","551842","0.5","25","893616",
"1973","6291683","15048873","29","0.08","78646038","228956","547632","0.48","25","915824",
"1974","6702487","15087196","29.07","0.08","83781088","238302","536414","0.46","25","953208",
"1975","6862185","13914535","26.81","0.08","85777313","267705","542829","0.45","25","1070820",
"1976","7268563","13504065","26.02","0.08","90857038","264266","490973","0.4","25","1057064",
"1977","7482565","13142679","25.32","0.08","93532063","302307","530984","0.42","25","1209228",
"1978","7775024","12826545","24.71","0.08","97187800","314188","518319","0.39","25","1256752","7"
"1979","7908215","12121418","23.36","0.08","98852688","334527","512751","0.38","25","1338108",
"1980","9853608","13575579","26.16","0.098299999999999998","100209580","417634","575386","0.41","25","1670536",
"1981","10794895","13103251","25.25","0.1","107948950","498475","605068","0.41","25","1993900","8"
"1982","10612198","11670306","22.49","0.1","106121980","552768","607883","0.4","25","2211072",
"1983","12689134","13144821","25.33","0.1183","107235139","602210","623836","0.4","25","2408840",
"1984","12195759","12246787","23.6","0.12","101631325","668036","670831","0.42","25","2672144",
"1985","12486660","12014105","23.15","0.12","104055500","697269","670881","0.41","25","2789076",
"1986","12249017","11383845","21.93","0.12","102075142","885456","822914","0.5","25","3541824","9"
"1987","14821945","13512371","26.04","0.12920000000000001","114751134","1135228","1034926","0.62","34.200000000000003","3322683","10"
"1988","20349552","17910710","34.51","0.23","88476313","1281198","1127650","0.67","35","3660566",
"1989","21619249","18278799","35.22","0.23","93996735","1472450","1244938","0.74","35","4207000",
"1990","20547525","16578384","31.94","0.23","89337065","1708732","1378658","0.81","35","4882091",
"1991","21400323","16378843","31.56","0.23","93044883","1898597","1453101","0.84","35","5424563","11"
"1992","24280511","17831465","34.36","0.2621","92645417","1819802","1336452","0.75","35","5199434",
"1993","23458288","16719098","32.21","0.26500000000000001","88521842","2308298","1645161","0.9","35","6595137",
"1994","25133853","17396680","33.520000000000003","0.26500000000000001","94844728","2517841","1742752","0.92","35","7193831",
"1995","25330565","17089266","32.93","0.26500000000000001","95587038","3160297","2132094","1.1000000000000001","35","9029420",
"1996","25278089","16588487","31.96","0.26500000000000001","95389015","3415608","2241458","1.1200000000000001","35","9758880",
"1997","28026713","17867532","34.43","0.26500000000000001","105761181","3695886","2356194","1.1499999999999999","35","10559674",
"1998","39641568","24694950","47.58","0.49419999999999997","80219026","4129735","2572643","1.23","35","11799243","12"
"1999","46201563","28343068","54.61","0.51500000000000001","89711773","4007879","2458696","1.1499999999999999","35","11451083",
"2000","44091793","26468310","51","0.51500000000000001","85615132","4161937","2498411","1.1399999999999999","35","11891249",
"2001","42859511","24890584","47.96","0.51500000000000001","83222351","4729248","2746502","1.22","35","13512137",
"2002","45939385","25948346","50","0.53920000000000001","85194295","5055002","2855261","1.24","35","14442863","13"
"2003","46514400","25860489","49.83","0.69499999999999995","66927194","5318467","2956894","1.25","35","15195620","14"
"2004","56066382","30470860","58.71","0.69499999999999995","80671053","5790075","3146780","1.3","35","16543071",
"2005","54923019","29073900","56.02","0.69499999999999995","79025927","6510897","3446591","1.4","35","18602563",
"2006","53536256","27416997","52.83","0.69499999999999995","77030584","6763963","3463962","1.36","35","19325609",
"2007","55158637","27367223","52.73","0.69499999999999995","79364945","7314289","3629020","1.39","35","20897969",
"2008","54406720","26240920","50.56","0.69499999999999995","78283050","7857435","3789722","1.4","35","22449814",
"2009","51678125","24008755","46.26","0.69499999999999995","74357014","8252165","3833812","1.39","35","23577614",
