"fmid","marketname","website","county","season1date","season1time","x","y","location","credit","wic","wiccash","sfmnp","snap","bakedgoods","cheese","crafts","flowers","eggs","seafood","herbs","vegetables","honey","jams","maple","meat","nursery","nuts","plants","poultry","prepared","soap","trees","location_1"
"1002615","Murray Farmers Market","http://www.utfb.fb.org","Salt Lake","07/26/2013 to 10/26/2013","Fri: 9:00 AM-2:00 PM;Sat: 9:00 AM-2:00 PM;","-111.88233700000001","40.659230000000001","Local government building grounds","Y","N","N","N","Y","Y","Y","N","Y","N","N","Y","Y","Y","Y","N","N","N","N","Y","N","Y","Y","N","150 East 5200 South
Murray, Utah 84107
(40.6616583280005, -111.88116851399968)"
"1006513","Wasatch Front Farmers Market","http://www.wasatchfrontfarmersmarket.org","Salt Lake","May to October","sun:9:00 AM - 2:00 PM;","-111.8625","40.635359999999999","Local government building grounds","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","6351 South 900 East
Murray, Utah 84121
(40.63556106700048, -111.86592476399971)"
"1007191","Gunnison Farmers Market",,"Sanpete County",,,"-111.818","39.143300000000004",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","
Gunnison, Utah 
(39.151711718000456, -111.8183456759997)"
"1003301","West Jordan Farmers Market",,"Salt Lake",,,"-111.93899999999999","40.606299999999997",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","West Jordan Veterans Memorial Park
West Jordan, Utah 84084
(40.62101949200047, -111.9589093519997)"
"1000942","Lehi Farmers Market","http://www.lehifarmersmarket.com","Utah","08/17/2013 to 10/19/2013","Sat: 10:00 AM-2:00 PM;","-111.8663","40.410260000000001","Local government building grounds","Y","N","N","N","N","Y","N","Y","N","N","N","N","Y","Y","Y","N","N","N","N","N","N","N","Y","N","1870 North & State Street.
Lehi, Utah 84043
(40.40481636400045, -111.86183758399972)"
"1000047","Escalante Farmer's Market",,"Garfield",,,"-111.61","37.770699999999998",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","
Escalante, Utah 84726
(37.77042649300046, -111.60476967799968)"
"1005529","Heber Valley Farmers Market and Concert in the Park","http://www.ci.heber.ut.us","Wasatch","June to August","Thu:4:00 pm - 9:00 pm;","-111.4144","40.504269999999998","Other","Y","N","N","N","N","Y","Y","Y","N","Y","N","N","Y","N","Y","N","N","Y","N","N","N","Y","Y","N","City Park 250 South Main
Heber City, Utah 84032
(40.50436050200045, -111.4135338429997)"
"20303","Schmidt's Farm and Greenhouses","http://www.schmidtsfarm.com/",,,,"-111.958","40.594900000000003",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","2200 W. 9000 S. West Jordan
West Jordan, Utah 84088
(40.58779639700049, -111.94834693199971)"
"1005625","Saratoga Springs Community Market",,"Utah","August to October","Sat:7:00 AM - 3:00 PM;","-111.909442","40.384540000000001","Private business parking lot","Y","N","N","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","Y","Y","N","1242 n riverside dr
Saratoga springs, Utah 84045
(40.384743580000475, -111.90962965899968)"
"1000186","Sugar House Farmers Market","http://www.sugarhousefarmersmarket.com","Salt Lake","07/05/2013 to 10/11/2013","Fri: 4:00 PM-8:00 PM;","-111.85054100000001","40.722811","Other","Y","N","N","N","Y","Y","Y","Y","N","Y","N","Y","Y","Y","Y","N","N","N","N","Y","N","Y","N","N","2100 South 1400 East
Salt Lake City, Utah 84106
(40.707388197000455, -111.85051938699968)"
"1003759","Downtown Farmers Market at Ancestor Square","http://www.ancestorsquare.com","Washington","05/11/2013 to 10/26/2013","Sat: 8:00 AM-12:00 PM;","-113.5837604","37.109904100000001","Other","Y","N","N","N","N","Y","Y","Y","N","Y","N","Y","Y","Y","Y","N","Y","N","N","Y","N","Y","Y","N","2 W St. George Blvd
St. George, Utah 84770
(37.10997855400046, -113.58360015399967)"
"1005960","The Paradise Market","http://www.paradisemarket.org","Cache","June to September","Wed:6:00 PM - 8:30 PM;","-111.835778","41.568348999999998","Other","Y","N","N","N","N","N","N","N","Y","Y","N","Y","N","Y","Y","N","N","N","Y","Y","N","N","Y","N","9000 South 100 West
Paradise, Utah 84328
(41.568563190000475, -111.83553453599967)"
"1005083","Spanish Fork Farmers Market","http://www.spanishfork.org","Utah",,,"-111.652","40.108400000000003",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","City Center 40 South Main St. parking lot
Spanish Fork, Utah 84660
(40.10942112400045, -111.65482673599968)"
"1008268","Moab Farmers' Market","http://www.youthgardenproject.org/farmersmarket","Grand",,"Thu: 5:00 PM-8:00 PM;","-109.55272600000001","38.577435000000001","Local government building grounds","Y","N","N","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","Y","N","Y","Y","N","100 West and Park Drive
Moab, Utah 84532
(38.57745181500047, -109.55268783799971)"
"20042","Cache Valley Gardeners' Market","http://www.gardenersmarket.org/",,,,"-111.82899999999999","41.730499999999999",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","Merlin Olsen Park - Southwest Corner
Logan, Utah 84321
(41.728396284000496, -111.83498979599972)"
"1000986","SLC People's Market","http://www.slcpeoplesmarket.org","Salt Lake","05/12/2013 to 10/20/2013","Sun: 9:00 AM-2:00 PM;","-111.91753","40.746884999999999","Local government building grounds","Y","N","N","N","Y","Y","N","Y","Y","Y","N","Y","Y","Y","Y","N","N","N","N","N","N","Y","Y","N","1000 South 900 West
SALT LAKE CITY, Utah 84110
(40.7475767790005, -111.9168833119997)"
"1002868","Zion Canyon Farmers Market","http://www.zionharvest.org","Washington","04/27/2013 to 10/19/2013","Sat: 9:00 AM-12:00 PM;","-113.003","37.184199999999997","Other","Y","N","N","N","Y","Y","Y","N","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","Y","N","Y","Y","N","1212 Zion Park Blvd.
Springdale, Utah 84767
(37.18351833200046, -113.00347695999972)"
"1000690","Cedar City's Downtown Farmer's Market","http://www.extension.usu.edu/ironmg","Iron","07/31/2013 to 10/16/2013","Wed: 4:00 PM-7:00 PM;","-113.06329100000001","37.679456000000002","Other","Y","N","N","N","Y","Y","Y","N","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","Y","Y","Y","Y","N","Hoover & 100 West
Cedar City, Utah 84720
(37.66373922800045, -113.0970487829997)"
"1005013","Downtown Clearfield Farmers Market","http://www.clearfieldcity.org","Davis",,,"-112.018","41.107300000000002",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","140 East Center Street (approximately)
Clearfield, Utah 84015
(41.11381474500047, -112.02258967399968)"
"1005438","Boulder Community Market",,"Garfield",,,"-111.425","37.901200000000003",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Corner of Highway 12 and Burr Trail
Boulder, Utah 84716
(37.9086063580005, -111.42317886399968)"
"1002154","Provo's Farmers Market","http://www.provosfarmersmarket.blogspot.com","Utah",,,"-111.66800000000001","40.232500000000002",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","500 West 100 South
Provo, Utah 84601
(40.23238759800046, -111.66760745699969)"
"1000624","Tuacahn Saturday Market","http://www.tuacahn.org","Washington","March to December","Sat:9:00 AM - 1:00 PM;","-113.65807100000001","37.189261999999999","Private business parking lot","Y","N","N","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","N","N","N","Y","Y","Y","N","Y","Y","N","1100 Tuacahn Drive
Ivins, Utah 84738
(37.188251496000476, -113.65798971299967)"
"1004695","Duchesne County Farmers Market",,"Duchesne","January to December","Sat:8:00 am - 1:00 pm;","-110.40300000000001","40.163200000000003","Local government building grounds","Y","N","N","N","N","Y","N","Y","Y","N","N","Y","Y","Y","Y","Y","N","N","N","N","N","Y","Y","N","Highway 40 and 100 West
Duchesne, Utah 84021
(40.1633525740005, -110.40303716299968)"
"20381","Year-Round Cedar City Farmer's Market",,,,,"-113.069","37.661900000000003",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","905 South Main Street at IFA
Cedar City, Utah 84720
(37.66189560400045, -113.06936770799967)"
"1000836","Ashley Valley Farmers' Market (Vernal)","http://www.avfarmersmarket.com","Uintah","July to September","Sat:8:00 AM - 12:00 PM;","-109.524091666667","40.4557472222222","Local government building grounds","Y","N","N","N","N","Y","Y","Y","Y","Y","N","Y","Y","Y","Y","N","Y","N","N","N","Y","Y","Y","N","Old Dinosaur Gardens on Main Street (~240East)
Vernal, Utah 
(40.45571190800047, -109.52895609399968)"
"1006265","Kamas Farmers Market",,"Summit",,,"-111.28100000000001","40.643000000000001",,"Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Kamas Rodeo Grounds
Kamas, Utah 84036
(40.616948222000474, -111.28951780499972)"
"1005543","Benson Mill Harvest Days","http://www.bensonmill.org","Tooele","August to October","Sat:9:00 AM - 1:00 PM;","-112.29730000000001","40.650620000000004","Local government building grounds","Y","N","N","N","N","N","N","Y","N","Y","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","325 State Road #138
Stansbury Park, Utah 84074
(40.55690893500048, -112.29860622699971)"
