"data_items","gender","american_indian_alaska_native_1","american_indian_alaska_native_2","asian_pacific_islander_1","asian_pacific_islander_2","hispanic_1","hispanic_2","black_non_hispanic_1","black_non_hispanic_2","white_non_hispanic_1","white_non_hispanic_2","total_1","total_2","disabled_idea_1","disabled_idea_2","lep_1","lep_2","_21_time_1","_21_time_2","_21_60_time_1","_21_60_time_2","_60_time_1","_60_time_2"
"Mental Retardation","Male","57","1.59","36","1.01","209","5.85","32","0.9","1730","48.39","2064","57.73",,,"119","3.33","433","12.11","354","9.9","1277","35.72"
,"Female","39","1.0900000000000001","33","0.92","155","4.34","22","0.62","1262","35.299999999999997","1511","42.27",,,"90","2.52","298","8.34","250","6.99","963","26.94"
,"Total","96","2.69","69","1.93","364","10.18","54","1.51","2992","83.69","3575","100",,,"209","5.85","731","20.45","604","16.899999999999999","2240","62.66"
"Emotional Disturbance","Male","50","1.44","40","1.1499999999999999","240","6.91","86","2.4700000000000002","2356","67.8","2772","79.77",,,"102","2.94","1156","33.270000000000003","508","14.62","1108","31.88"
,"Female","12","0.35","12","0.35","41","1.18","30","0.86","608","17.5","703","20.23",,,"15","0.43","341","9.81","166","4.78","196","5.64"
,"Total","62","1.78","52","1.5","281","8.09","116","3.34","2964","85.29","3475","100",,,"117","3.37","1497","43.08","674","19.399999999999999","1304","37.53"
"Specific Learning Disability","Male","529","1.91","318","1.1499999999999999","1880","6.78","253","0.91","15239","54.98","18219","65.73",,,"1322","4.7699999999999996","9426","34.01","6052","21.83","2741","9.89"
,"Female","305","1.1000000000000001","145","0.52","1101","3.97","167","0.6","7781","28.07","9498","34.270000000000003",,,"713","2.57","5164","18.63","3196","11.53","1139","4.1100000000000003"
,"Total","834","3.01","463","1.67","2981","10.76","420","1.52","23020","83.05","27717","100",,,"2035","7.34","14590","52.64","9248","33.369999999999997","3880","14"
"HS Diploma","Male","157","0.5","319","1.02","635","2.0299999999999998","85","0.27","14416","46.16","15611","49.98","863","2.76","246","0.79",,,,,,
,"Female","174","0.56000000000000005","355","1.1399999999999999","630","2.02","77","0.25","14386","46.06","15622","50.02","460","1.47","236","0.76",,,,,,
,"Total","331","1.06","674","2.16","1265","4.05","162","0.52","28802","92.22","31233","100","1323","4.24","482","1.54",,,,,,
"HS Certificate of Attendance/Completion","Male","1","0.54","1","0.54","12","6.45","1","0.54","99","53.23","114","61.29","70","37.630000000000003","3","1.61",,,,,,
,"Female","3","1.61","6","3.23","1","0.54","1","0.54","61","32.799999999999997","72","38.71","35","18.82","2","1.08",,,,,,
,"Total","4","2.15","7","3.76","13","6.99","2","1.08","160","86.02","186","100","105","56.45","5","2.69",,,,,,
"In Need of LEP","Male","1636","4.9000000000000004","2849","8.5299999999999994","11382","34.08","212","0.63","1483","4.4400000000000004","17561","52.58","1921","5.75",,,,,,,,
,"Female","1458","4.37","2535","7.59","10284","30.79","178","0.53","1382","4.1399999999999997","15837","47.42","1056","3.16",,,,,,,,
,"Total","3094","9.26","5384","16.12","21666","64.87","390","1.17","2865","8.58","33398","100","2977","8.91",,,,,,,,
"Enrolled in LEP","Male","1583","4.9000000000000004","2796","8.66","10951","33.93","209","0.65","1425","4.41","16963","52.55","1853","5.74",,,,,,,,
,"Female","1422","4.41","2488","7.71","9919","30.73","175","0.54","1310","4.0599999999999996","15314","47.45","1018","3.15",,,,,,,,
,"Total","3005","9.31","5284","16.37","20870","64.66","384","1.19","2735","8.4700000000000006","32277","100","2871","8.89",,,,,,,,
"Gifted and Talented","Male","43","0.31","351","2.56","387","2.82","60","0.44","5714","41.69","6555","47.82","93","0.68","195","1.42",,,,,,
,"Female","59","0.43","444","3.24","395","2.88","67","0.49","6187","45.14","7152","52.18","45","0.33","183","1.34",,,,,,
,"Total","102","0.74","795","5.8","782","5.71","127","0.93","11901","86.82","13707","100","138","1.01","378","2.76",,,,,,
"AP Mathematics","Male","6","0.11","101","1.84","47","0.85","3","0.05","3199","58.18","3356","61.04","4","0.070000000000000007","18","0.33",,,,,,
,"Female","9","0.16","89","1.62","48","0.87","6","0.11","1990","36.19","2142","38.96","5","0.09","20","0.36",,,,,,
,"Total","15","0.27","190","3.46","95","1.73","9","0.16","5189","94.38","5498","100","9","0.16","38","0.69",,,,,,
"AP Science","Male","6","0.14000000000000001","95","2.29","29","0.7","2","0.05","2212","53.33","2344","56.51","3","0.070000000000000007","20","0.48",,,,,,
,"Female","9","0.22","84","2.0299999999999998","41","0.99","7","0.17","1663","40.090000000000003","1804","43.49","3","0.070000000000000007","26","0.63",,,,,,
,"Total","15","0.36","179","4.32","70","1.69","9","0.22","3875","93.42","4148","100","6","0.14000000000000001","46","1.1100000000000001",,,,,,
