"city","country","county","countyfips","id","latitude","lines","longitude","max_infer","max_volt","min_infer","min_volt","naics_code","naics_desc","name","objectid","source","sourcedate","state","status","type","val_date","val_method","zip","point"
"MAGNA","USA","SALT LAKE","49035","209612","40.7139010610001","5","-112.124424184","Y","69","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN209612","57862","IMAGERY","2019-04-30T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2019-04-30T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-112.12442418399998 40.71390106100006)"
"LEHI","USA","UTAH","49049","205418","40.4187198060001","3","-111.868275885","Y","69","Y","46","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP205418","53714","IMAGERY","2015-08-26T00:00:00.000Z","UT","IN SERVICE","TAP","2015-08-26T00:00:00.000Z","IMAGERY","84043","POINT (-111.86827588499995 40.41871980600007)"
"CENTERVILLE","USA","DAVIS","49011","206383","40.908889947","1","-111.89007545","Y","69","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN206383","54654","IMAGERY","2015-09-22T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2015-09-22T00:00:00.000Z","IMAGERY","84014","POINT (-111.89007544999998 40.908889947000034)"
"SPRINGVILLE","USA","UTAH","49049","205492","40.189629768","3","-111.622756941","Y","115","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN205492","53785","IMAGERY","2015-08-29T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2015-08-29T00:00:00.000Z","IMAGERY","84606","POINT (-111.62275694099998 40.189629768000025)"
"SALT LAKE CITY","USA","SALT LAKE","49035","205210","40.7665269660001","3","-111.859738136","N","46","N","46","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP205210","53516","IMAGERY","2015-06-29T00:00:00.000Z","UT","IN SERVICE","TAP","2015-06-29T00:00:00.000Z","IMAGERY","84102","POINT (-111.85973813599998 40.766526966000065)"
"SALT LAKE CITY","USA","SALT LAKE","49035","206728","40.7768774","2","-111.949886401","Y","161","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP206728","54991","IMAGERY","2016-12-12T00:00:00.000Z","UT","IN SERVICE","TAP","2016-12-12T00:00:00.000Z","IMAGERY","84116","POINT (-111.94988640099996 40.77687740000004)"
"HARRISVILLE","USA","WEBER","49057","206682","41.283612356","3","-111.994903045","Y","230","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP206682","54945","IMAGERY","2016-11-21T00:00:00.000Z","UT","IN SERVICE","TAP","2016-11-21T00:00:00.000Z","IMAGERY","84404","POINT (-111.99490304499994 41.28361235600005)"
"NOT AVAILABLE","USA","CARBON","49007","207436","39.5279874280001","3","-110.982013989","Y","115","Y","115","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP207427","55697","IMAGERY","2017-06-22T00:00:00.000Z","UT","IN SERVICE","TAP","2017-06-22T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-110.98201398899995 39.527987428000074)"
"DRAPER","USA","SALT LAKE","49035","201673","40.5271449140001","2","-111.905705813","N","46","N","46","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","DRAPER","50056","Company Map","2014-12-05T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2014-12-05T00:00:00.000Z","IMAGERY/OTHER","84020","POINT (-111.90570581299994 40.527144914000075)"
"TOOELE","USA","TOOELE","49045","209689","40.2175068940001","2","-112.747651459","Y","69","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN209689","57939","IMAGERY","2019-04-30T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2019-04-30T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-112.74765145899994 40.21750689400005)"
"OREM","USA","UTAH","49049","205465","40.323898866","3","-111.670029128","Y","115","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN205465","53760","IMAGERY","2015-08-26T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2015-08-26T00:00:00.000Z","IMAGERY","84097","POINT (-111.67002912799997 40.323898866000015)"
"NOT AVAILABLE","USA","RICH","49033","207240","41.8159421170001","3","-111.085556015","Y","69","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP207245","55501","IMAGERY","2017-11-13T00:00:00.000Z","UT","IN SERVICE","TAP","2017-11-13T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-111.08555601499997 41.81594211700008)"
"WEST VALLEY CITY","USA","SALT LAKE","49035","205259","40.665944815","1","-112.028096177","N","138","N","138","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN205259","53564","IMAGERY","2015-06-29T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2015-06-29T00:00:00.000Z","IMAGERY","84118","POINT (-112.02809617699995 40.665944815000046)"
"NOT AVAILABLE","USA","BEAVER","49001","207455","38.282696118","1","-112.594955824","Y","138","Y","138","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP207444","55716","IMAGERY","2017-08-30T00:00:00.000Z","UT","IN SERVICE","TAP","2017-08-30T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-112.59495582399994 38.28269611800003)"
"NOT AVAILABLE","USA","TOOELE","49045","206815","40.680973583","2","-112.24968439","Y","115","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP206815","55078","IMAGERY","2017-03-30T00:00:00.000Z","UT","IN SERVICE","TAP","2017-03-30T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-112.24968438999997 40.680973583000025)"
"NOT AVAILABLE","USA","BOX ELDER","49003","201568","41.3400609290001","21","-112.047247788","N","345","N","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","BEN LOMOND","49952","Company Map","2014-12-05T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2014-12-05T00:00:00.000Z","IMAGERY/OTHER","84340","POINT (-112.04724778799999 41.34006092900005)"
"MAGNA","USA","SALT LAKE","49035","209604","40.7691061640001","3","-112.121547791","Y","69","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP209604","57854","IMAGERY","2019-04-30T00:00:00.000Z","UT","IN SERVICE","TAP","2019-04-30T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-112.12154779099994 40.76910616400004)"
"SPANISH FORK","USA","UTAH","49049","205502","40.130460219","3","-111.650245577","Y","115","Y","115","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP205502","53795","IMAGERY","2015-08-29T00:00:00.000Z","UT","IN SERVICE","TAP","2015-08-29T00:00:00.000Z","IMAGERY","84660","POINT (-111.65024557699996 40.13046021900004)"
"NOT AVAILABLE","USA","UINTAH","49047","201615","40.508418971","4","-109.57569768","N","138","N","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","ASHLEY","49998","IMAGERY","2014-12-05T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2014-12-05T00:00:00.000Z","IMAGERY/OTHER","84078","POINT (-109.57569767999996 40.50841897100002)"
"PLEASANT VIEW","USA","WEBER","49057","206378","41.3305274140001","3","-111.98783201","Y","69","Y","34.5","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP206378","54649","IMAGERY","2015-09-22T00:00:00.000Z","UT","IN SERVICE","TAP","2015-09-22T00:00:00.000Z","IMAGERY","84414","POINT (-111.98783200999998 41.330527414000066)"
"SPRINGVILLE","USA","UTAH","49049","205495","40.176354588","3","-111.618350339","Y","115","Y","115","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP205495","53788","IMAGERY","2015-08-29T00:00:00.000Z","UT","IN SERVICE","TAP","2015-08-29T00:00:00.000Z","IMAGERY","84663","POINT (-111.61835033899996 40.17635458800003)"
"NOT AVAILABLE","USA","SALT LAKE","49035","205218","40.752416297","1","-111.711723102","N","46","N","46","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN205218","53524","IMAGERY","2015-06-29T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2015-06-29T00:00:00.000Z","IMAGERY","84109","POINT (-111.71172310199994 40.75241629700002)"
"NOT AVAILABLE","USA","FRANKLIN","16041","208067","42.0121027540001","1","-111.913910968","Y","69","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN208020","56326","IMAGERY","2018-03-09T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2018-03-09T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-111.91391096799998 42.012102754000054)"
"HARRISVILLE","USA","WEBER","49057","206681","41.286757052","3","-111.996300265","Y","69","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP206681","54944","IMAGERY","2016-11-21T00:00:00.000Z","UT","IN SERVICE","TAP","2016-11-21T00:00:00.000Z","IMAGERY","84404","POINT (-111.99630026499995 41.28675705200005)"
"SPRINGVILLE","USA","UTAH","49049","201436","40.17633084","2","-111.618533257","Y","115","Y","46","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN201436","49821","IMAGERY","2014-12-05T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2014-12-05T00:00:00.000Z","IMAGERY","84663","POINT (-111.61853325699997 40.17633084000004)"
"THOMPSON SPRINGS","USA","GRAND","49019","209678","38.9739051190001","1","-109.717118358","Y","69","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN209678","57928","IMAGERY","2019-04-30T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2019-04-30T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-109.71711835800001 38.973905119000044)"
"NOT AVAILABLE","USA","RICH","49033","202186","41.535210555","3","-111.109484739","N","230","N","138","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","BIRCH CREEK","50550","https://www.openstreetmap.org/","2014-12-05T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2014-12-05T00:00:00.000Z","IMAGERY/OTHER","84086","POINT (-111.109484739 41.53521055500005)"
"NOT AVAILABLE","USA","DUCHESNE","49013","208091","40.4039079820001","2","-110.029300726","Y","69","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN208043","56349","IMAGERY","2017-03-27T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2017-03-27T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-110.02930072599997 40.40390798200007)"
"NOT AVAILABLE","USA","MILLARD","49027","208945","39.104626061","1","-112.848237412","Y","69","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN208849","57200","IMAGERY","2018-04-12T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2018-04-12T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-112.84823741199993 39.10462606100001)"
"GLENDALE","USA","KANE","49025","206650","37.322775688","3","-112.599210786","Y","69","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP206650","54914","IMAGERY","2017-05-31T00:00:00.000Z","UT","IN SERVICE","TAP","2017-05-31T00:00:00.000Z","IMAGERY","84729","POINT (-112.59921078599996 37.322775688000036)"
"SALT LAKE CITY","USA","SALT LAKE","49035","201714","40.7894477990001","4","-111.904801923","N","46","N","46","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN201714","50097","Company Map","2014-12-05T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2014-12-05T00:00:00.000Z","IMAGERY/OTHER","84116","POINT (-111.90480192299998 40.78944779900008)"
"CRESCENT JUNCTION","USA","GRAND","49019","209677","38.942761638","2","-109.820960725","Y","69","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP209677","57927","IMAGERY","2019-04-30T00:00:00.000Z","UT","IN SERVICE","TAP","2019-04-30T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-109.82096072499998 38.94276163800002)"
"NOT AVAILABLE","USA","WAYNE","49055","201833","38.3712575000001","1","-110.7235131","Y","115","Y","115","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN201833","50209","https://www.openstreetmap.org/","2014-12-05T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2014-12-05T00:00:00.000Z","UNVERIFIED","84734","POINT (-110.72351309999998 38.37125750000007)"
"PROVO","USA","UTAH","49049","209670","40.2155880990001","3","-111.640794957","Y","115","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP209670","57920","IMAGERY","2019-04-30T00:00:00.000Z","UT","IN SERVICE","TAP","2019-04-30T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-111.64079495699997 40.215588099000044)"
"SALT LAKE CITY","USA","SALT LAKE","49035","206726","40.7797264280001","0","-111.951557893","NOT AVAILABLE","-999999","NOT AVAILABLE","-999999","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN206726","54989","IMAGERY","2016-12-12T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2016-12-12T00:00:00.000Z","IMAGERY","84116","POINT (-111.95155789299997 40.77972642800005)"
"NOT AVAILABLE","USA","UTAH","49049","201627","40.4245427860001","3","-111.914098028","N","138","N","115","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN201627","50010","Company Map","2014-12-05T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2014-12-05T00:00:00.000Z","IMAGERY/OTHER","84043","POINT (-111.91409802799996 40.42454278600008)"
"OREM","USA","UTAH","49049","209668","40.323392041","1","-111.669602015","Y","69","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN209668","57918","IMAGERY","2019-04-30T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2019-04-30T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-111.66960201499994 40.32339204100004)"
"PROVO","USA","UTAH","49049","201634","40.2419418010001","3","-111.694392585","Y","115","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN201634","50017","IMAGERY","2014-12-05T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2014-12-05T00:00:00.000Z","IMAGERY","84601","POINT (-111.69439258499995 40.24194180100004)"
"NOT AVAILABLE","USA","UINTAH","49047","208087","40.407388451","3","-109.81749011","Y","69","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP208039","56345","IMAGERY","2018-03-22T00:00:00.000Z","UT","IN SERVICE","TAP","2018-03-22T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-109.81749010999994 40.407388451000024)"
"SALT LAKE CITY","USA","SALT LAKE","49035","205223","40.749897177","3","-111.908028452","N","46","N","46","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP205223","53529","IMAGERY","2015-06-29T00:00:00.000Z","UT","IN SERVICE","TAP","2015-06-29T00:00:00.000Z","IMAGERY","84101","POINT (-111.90802845199994 40.749897177000044)"
"PEOA","USA","SUMMIT","49043","209588","40.752401332","1","-111.367984998","Y","69","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN209588","57838","IMAGERY","2019-04-30T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2019-04-30T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-111.36798499799994 40.75240133200004)"
"NOT AVAILABLE","USA","SALT LAKE","49035","201664","40.574005867","8","-112.11115303","Y","138","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","BARNEYS","50047","Company Map","2014-12-05T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2014-12-05T00:00:00.000Z","IMAGERY/OTHER","84096","POINT (-112.11115302999997 40.57400586700004)"
"NOT AVAILABLE","USA","DAVIS","49011","206710","40.8310341420001","0","-111.933547238","NOT AVAILABLE","-999999","NOT AVAILABLE","-999999","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN206710","54973","IMAGERY","2016-12-05T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2016-12-05T00:00:00.000Z","IMAGERY","84054","POINT (-111.93354723799996 40.831034142000085)"
"SOUTH OGDEN","USA","WEBER","49057","206123","41.1811179850001","3","-111.968013232","Y","115","Y","115","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP206123","54404","IMAGERY","2015-09-15T00:00:00.000Z","UT","IN SERVICE","TAP","2015-09-15T00:00:00.000Z","IMAGERY","84403","POINT (-111.96801323199996 41.18111798500007)"
"NORTH LOGAN","USA","CACHE","49005","201913","41.7671530150001","7","-111.784128815","Y","230","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN201913","50284","https://www.openstreetmap.org/","2014-12-05T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2014-12-05T00:00:00.000Z","IMAGERY/OTHER","84341","POINT (-111.78412881499997 41.76715301500007)"
"LAYTON","USA","DAVIS","49011","201786","41.0735678610001","1","-111.958403027","Y","230","Y","230","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN201786","50165","https://www.openstreetmap.org/","2014-12-05T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2014-12-05T00:00:00.000Z","IMAGERY/OTHER","84041","POINT (-111.95840302699997 41.07356786100007)"
"NOT AVAILABLE","USA","SEVIER","49041","207491","38.845684062","1","-111.978547503","Y","138","Y","138","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN207475","55752","IMAGERY","2017-12-04T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2017-12-04T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-111.97854750299996 38.84568406200003)"
"NOT AVAILABLE","USA","TOOELE","49045","206163","40.3557376640001","1","-112.295101718","Y","115","Y","115","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN206163","54443","IMAGERY","2015-09-14T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2015-09-14T00:00:00.000Z","IMAGERY","84071","POINT (-112.29510171799996 40.35573766400006)"
"NOT AVAILABLE","USA","CARBON","49007","206738","39.744344729","0","-110.884443322","NOT AVAILABLE","-999999","NOT AVAILABLE","-999999","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN206738","55001","IMAGERY","2017-05-31T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2017-05-31T00:00:00.000Z","IMAGERY","84526","POINT (-110.884443322 39.74434472900003)"
"SALT LAKE CITY","USA","SALT LAKE","49035","205222","40.7498769580001","3","-111.911326717","N","46","N","46","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP205222","53528","IMAGERY","2015-06-29T00:00:00.000Z","UT","IN SERVICE","TAP","2015-06-29T00:00:00.000Z","IMAGERY","84104","POINT (-111.91132671699995 40.74987695800008)"
"BRIDGE HOLLOW","USA","SUMMIT","49043","209587","40.7891449690001","3","-111.410072905","Y","69","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP209587","57837","IMAGERY","2019-04-30T00:00:00.000Z","UT","IN SERVICE","TAP","2019-04-30T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-111.410072905 40.78914496900007)"
"ST GEORGE","USA","WASHINGTON","49053","206310","37.120924845","1","-113.623503729","Y","230","Y","230","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","SUNSET","54582","IMAGERY","2019-05-02T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2019-05-02T00:00:00.000Z","IMAGERY","84770","POINT (-113.62350372899999 37.12092484500005)"
"WEST VALLEY CITY","USA","SALT LAKE","49035","205258","40.6645035880001","5","-112.087134719","Y","115","N","46","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN205258","53563","IMAGERY","2015-06-29T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2015-06-29T00:00:00.000Z","IMAGERY","84118","POINT (-112.08713471899995 40.66450358800006)"
"AMERICAN FORK","USA","UTAH","49049","205423","40.374885292","2","-111.78280485","Y","115","Y","115","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN205423","53718","IMAGERY","2015-08-26T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2015-08-26T00:00:00.000Z","IMAGERY","84003","POINT (-111.78280484999999 40.374885292000045)"
"BLUFFDALE","USA","SALT LAKE","49035","201758","40.4688313030001","3","-111.946654738","Y","138","Y","138","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP201758","50140","Company Map","2014-12-05T00:00:00.000Z","UT","IN SERVICE","TAP","2014-12-05T00:00:00.000Z","IMAGERY/OTHER","84065","POINT (-111.94665473799995 40.46883130300005)"
"NOT AVAILABLE","USA","WASATCH","49051","206604","40.4936103590001","1","-111.312645908","Y","7.5","Y","7.5","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN206604","54870","IMAGERY","2017-05-31T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2017-05-31T00:00:00.000Z","IMAGERY","84032","POINT (-111.31264590799996 40.49361035900005)"
"NOT AVAILABLE","USA","CACHE","49005","208079","41.643435335","1","-111.86010924","Y","69","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN208032","56338","IMAGERY","2018-03-15T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2018-03-15T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-111.86010923999997 41.643435335000035)"
"NOT AVAILABLE","USA","SALT LAKE","49035","201576","40.6888461820001","8","-111.860977988","N","138","N","46","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","COTTONWOOD","49960","Company Map","2014-12-05T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2014-12-05T00:00:00.000Z","IMAGERY/OTHER","84106","POINT (-111.86097798799996 40.688846182000084)"
"SOUTH WEBER","USA","DAVIS","49011","209582","41.1454745830001","2","-111.964550024","Y","230","Y","115","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP209582","57832","IMAGERY","2019-04-30T00:00:00.000Z","UT","IN SERVICE","TAP","2019-04-30T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-111.96455002399995 41.145474583000066)"
"HARRISVILLE","USA","WEBER","49057","201984","41.286747534","1","-111.996619113","Y","69","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN201984","50351","https://www.openstreetmap.org/","2014-12-05T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2014-12-05T00:00:00.000Z","IMAGERY/OTHER","84404","POINT (-111.99661911299995 41.286747534000035)"
"CLINTON","USA","DAVIS","49011","201588","41.141153128","2","-112.057534336","Y","115","Y","115","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","UNKNOWN201588","49972","Company Map","2014-12-05T00:00:00.000Z","UT","IN SERVICE","SUBSTATION","2014-12-05T00:00:00.000Z","IMAGERY/OTHER","84015","POINT (-112.05753433599995 41.14115312800005)"
"TOOELE","USA","TOOELE","49045","209692","40.2129653760001","3","-112.773920178","Y","69","Y","69","221121","ELECTRIC BULK POWER TRANSMISSION AND CONTROL","TAP209692","57942","IMAGERY","2019-04-30T00:00:00.000Z","UT","IN SERVICE","TAP","2019-04-30T00:00:00.000Z","IMAGERY","NOT AVAILABLE","POINT (-112.77392017799995 40.21296537600006)"
