"licensenumber","licensetype","businessname","expirationstatus","expirationdate","location","lat_long","naicscode","naicsdesc","hyperlink","location_1"
"RNT2011-01959","Rental Dwelling",,"Active","2017-05-31T00:00:00.000","1341 E LAKE SPRINGS Ln
Salt Lake City, UT 84117
(40.672672, -111.85275)","
(40.672672, -111.85275)","53111","MULTI-UNIT RENTAL PROPERTY ","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00028&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02018","Rental Dwelling",,"Active","2017-08-31T00:00:00.000","4349 S LYNNE Ln
Salt Lake City, UT 84124
(40.676472, -111.828612)","(40.676472, -111.828612)","53111","MULTI UNIT RENTAL PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00031&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02024","Rental Dwelling",,"Active","2016-12-31T00:00:00.000","14 SUNWOOD Ln
Salt Lake City, UT 84092
(40.547998, -111.8276)","2
(40.547998, -111.8276)","53111","MULTI UNIT RENTAL PROPERTY ","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00033&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02030","Rental Dwelling",,"Active","2017-07-31T00:00:00.000","4129 W MISTY Dr
Salt Lake City, UT 84129
(40.63478, -111.98952)","9
(40.63478, -111.98952)","53111","RENTAL PROPERTIES ","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00035&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02032","Rental Dwelling",,"Active","2017-08-31T00:00:00.000","259 S 1200 E
Salt Lake City, UT 84102-2650
(40.763485, -111.85673)","
(40.763485, -111.85673)","53111","MULTI UNIT RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00036&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02033","Rental Dwelling",,"Active","2017-07-31T00:00:00.000","910 N CATHERINE St
Salt Lake City, UT 84116-2040
","ake City, UT 84116-2040
","53111","MULTI RENTAL UNIT PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00037&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02035","Rental Dwelling",,"Active","2017-12-31T00:00:00.000","12082 TUSCANY CREEK Way
Salt Lake City, UT 84020
(40.531682, -111.828379)","(40.531682, -111.828379)","53111","MULTI UNIT RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00038&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02038","Rental Dwelling",,"Active","2017-06-30T00:00:00.000","514 VIA DE FORTUNA Way
Salt Lake City, UT 89027
(36.815287, -114.083461)","(36.815287, -114.083461)","53111","MULTI UNIT RENTAL PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00039&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02045","Rental Dwelling",,"Active","2017-09-30T00:00:00.000","5114 S 2200 W
Salt Lake City, UT 84129
(40.658819, -111.948392)","(40.658819, -111.948392)","53111","MULTI UNIT RENTAL PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00040&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02055","Rental Dwelling",,"Active","2017-06-30T00:00:00.000",,,"53111","MULTI UNIT RENTAL PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00041&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02061","Rental Dwelling",,"Active","2018-07-31T00:00:00.000","210 CLUB HOUSE Ct
Salt Lake City, UT 84054
(40.837409, -111.884414)","(40.837409, -111.884414)","53111","MULTI UNIT RENTAL PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00042&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02650","Rental Dwelling",,"Active","2017-06-30T00:00:00.000","3135 METROPOLITAN Way
Salt Lake City, UT 84109
(40.702875, -111.804177)","(40.702875, -111.804177)","53111","MULTI UNIT RENTAL PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00044&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02653","Rental Dwelling",,"Active","2016-09-30T00:00:00.000","660 N COLUMBUS St
Salt Lake City, UT 84103-2117
(40.782908, -111.889943)","(40.782908, -111.889943)","53111","MULTI UNIT RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00046&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02654","Rental Dwelling",,"Active","2017-07-31T00:00:00.000","1037 3rd Ave
Salt Lake City, UT 84103
(40.772826, -111.858413)","(40.772826, -111.858413)","53111","APARTMENT HOUSE","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00047&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02664","Rental Dwelling",,"Active","2018-06-30T00:00:00.000","1600 NAVAJO St
Salt Lake City, UT 84104
(40.734507, -111.930128)","(40.734507, -111.930128)","53111","SINGLE FAMILY UNIT RENTAL PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00048&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02668","Rental Dwelling",,"Active","2018-05-31T00:00:00.000","415 SANDY WOODS Ln
Salt Lake City, UT 84047
(40.613518, -111.878812)","(40.613518, -111.878812)","53111","MULTI UNIT RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00049&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02691","Rental Dwelling",,"Active","2016-02-28T00:00:00.000","1542 E 3010 South
Salt Lake City, UT 84106
(40.705596, -111.846747)","(40.705596, -111.846747)","53111","MULTI UNIT RENTAL PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00051&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02724","Rental Dwelling",,"Active","2017-10-31T00:00:00.000","1213 ONTARIO Dr
Salt Lake City, UT 84104
(40.742207, -111.922393)","(40.742207, -111.922393)","53111","MULTI UNIT RENTAL PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00053&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02737","Rental Dwelling",,"Active","2017-03-31T00:00:00.000","8722 GRAND OAK Dr
Salt Lake City, UT 84121
(40.59238, -111.79653)","1
(40.59238, -111.79653)","53111","MULTI UNIT RENTAL PROPERTY ","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00055&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02739","Rental Dwelling",,"Active","2017-06-30T00:00:00.000","2509 S GLENMARE St
Salt Lake City, UT 84106
(40.716718, -111.845522)","(40.716718, -111.845522)","53111","APARTMENT HOUSE","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00056&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02741","Rental Dwelling",,"Active","2017-07-31T00:00:00.000","738 N HILL TOP Rd
Salt Lake City, UT 84103
","alt Lake City, UT 84103
","53111","MULTI UNIT PROPERTY & SINGLE FAMILY UNIT PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00057&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2012-03489","Rental Dwelling",,"Pending","2015-07-31T00:00:00.000",,,"53111","SINGLE UNIT RENTAL PROPERTY ","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=12RNT&capID2=00000&capID3=00639&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02749","Rental Dwelling",,"Pending","2014-11-30T00:00:00.000","8959 S PHILADELPHIAN Ct
Salt Lake City, UT 84081
(40.588586, -112.022489)","(40.588586, -112.022489)","53111","MULTI UNIT RENTAL PROPERTIES ","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00058&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02750","Rental Dwelling",,"Active","2017-06-30T00:00:00.000","952 MILLSTREAM Way
Salt Lake City, UT 84010
(40.874638, -111.861301)","(40.874638, -111.861301)","53111","SINGLE FAMILY UNIT RENTAL PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00059&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02767","Rental Dwelling",,"Active","2018-07-31T00:00:00.000","406 N MAIN St
Salt Lake City, UT 84010
(40.894271, -111.878991)","(40.894271, -111.878991)","53111","SINGLE FAMILY RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00060&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02768","Rental Dwelling",,"Active","2017-10-31T00:00:00.000","2639 SE BROOKLYN St
Salt Lake City, UT 97202
(45.501242, -122.639252)","(45.501242, -122.639252)","53111","SINGLE FAMILY UNIT RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00061&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02769","Rental Dwelling",,"Active","2018-08-31T00:00:00.000","1921 BERKELEY St
Salt Lake City, UT 84108
(40.728561, -111.827349)","(40.728561, -111.827349)","53111","MULTI-UNIT RENTAL PROPERTIES ","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00062&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02778","Rental Dwelling",,"Active","2017-06-30T00:00:00.000","48 APRICOT Ave
Salt Lake City, UT 84103
(40.777314, -111.891355)","(40.777314, -111.891355)","53111","MULTI UNIT RENTAL PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00064&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02837","Rental Dwelling",,"Active","2018-08-31T00:00:00.000","2080 W QUAILSTONE Dr
Salt Lake City, UT 84129
(40.664393, -111.946146)","(40.664393, -111.946146)","53111","SINGLE UNIT RENTAL PROPERTIES ","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00065&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02840","Rental Dwelling",,"Active","2017-09-30T00:00:00.000","1343 S 900 E
Salt Lake City, UT 84105
(40.740637, -111.865341)","(40.740637, -111.865341)","53111","MULTI-UNIT RENTAL PROPERTIES ","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00066&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02841","Rental Dwelling",,"Active","2017-07-31T00:00:00.000","1540 SPRING RUN DRIVE
Salt Lake City, UT 84117
(40.659649, -111.847915)","(40.659649, -111.847915)","53111","MULTI UNIT RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00067&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02949","Rental Dwelling",,"Active","2017-12-31T00:00:00.000","1129 E DEBORAH Dr
Salt Lake City, UT 84010
","alt Lake City, UT 84010
","53111","MULTI UNIT RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00069&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-02979","Rental Dwelling",,"Active","2017-06-30T00:00:00.000","11614 S 1300 West
Salt Lake City, UT 84095
(40.540323, -111.92919)","
(40.540323, -111.92919)","53111","APARTMENT HOUSE","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00071&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-03005","Rental Dwelling",,"Active","2017-06-30T00:00:00.000","545 S 1100 E
Salt Lake City, UT 84102-3802
(40.757303, -111.8596)","2
(40.757303, -111.8596)","53111","MULTI UNIT/ SINGLE FAMILY RENTAL PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00073&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-03006","Rental Dwelling",,"Active","2017-07-31T00:00:00.000","1283 BROCKWAY Cir
Salt Lake City, UT 84117
(40.650291, -111.855163)","(40.650291, -111.855163)","53111","SINGLE RENTAL PROPERTY ","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00074&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-03155","Rental Dwelling",,"Pending","2015-07-31T00:00:00.000","4539 S CREEK VIEW Dr
Salt Lake City, UT 84107
(40.672869, -111.879667)","(40.672869, -111.879667)","53111","MULTI UNIT RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00076&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-03165","Rental Dwelling",,"Pending","2014-08-31T00:00:00.000","3830 W 3500 South
Salt Lake City, UT 84120
(40.696629, -111.982601)","(40.696629, -111.982601)","53111","MULTI-UNIT RENTAL PROPERTY ","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00077&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-03170","Rental Dwelling",,"Active","2017-07-31T00:00:00.000","4959 MARILYN Dr
Salt Lake City, UT 84117
(40.661, -111.826885)","17
(40.661, -111.826885)","53111","SINGLE FAMILY UNIT RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00078&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-03172","Rental Dwelling",,"Active","2017-05-31T00:00:00.000","2238 S HANNIBAL St
Salt Lake City, UT 84106
(40.722294, -111.840701)","(40.722294, -111.840701)","53111","MULTI SINGLE FAMILY RENAL DWELLINGS","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00079&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-03175","Rental Dwelling",,"Active","2018-01-31T00:00:00.000","1211 HARVARD Ave
Salt Lake City, UT 84105
(40.744773, -111.856406)","(40.744773, -111.856406)","53111","SINGLE UNIT RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00080&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-03176","Rental Dwelling",,"Active","2017-05-31T00:00:00.000","2017 LAIRD Dr
Salt Lake City, UT 84108
(40.742568, -111.833136)","(40.742568, -111.833136)","53111","APARTMENT HOUSE","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00081&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-03181","Rental Dwelling",,"Active","2017-05-31T00:00:00.000","1228 E 700 South
Salt Lake City, UT 84102
(40.754128, -111.855679)","(40.754128, -111.855679)","53111","MULTI UNITS RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00082&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-03215","Rental Dwelling",,"Active","2017-06-30T00:00:00.000","8408 S STATE St
Salt Lake City, UT 84047
(40.598349, -111.890801)","(40.598349, -111.890801)","53111","SINGLE FAMILY UNIT RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00083&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-03230","Rental Dwelling",,"Active","2017-06-30T00:00:00.000","76 B St
Salt Lake City, UT 84103
(40.771247, -111.882032)","(40.771247, -111.882032)","53111","MULTI UNIT RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00084&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-03239","Rental Dwelling",,"Active","2017-06-30T00:00:00.000","1435 EL REY St
Salt Lake City, UT 84108
(40.738569, -111.832633)","(40.738569, -111.832633)","53111","MULTI UNIT RENTAL PROPERTY","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00085&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-03293","Rental Dwelling",,"Active","2017-06-30T00:00:00.000","1403 E THISTLEDOWNS Dr
Salt Lake City, UT 84092
","alt Lake City, UT 84092
","53111","MULTI UNIT RENTAL PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00086&agencyCode=SLCREF&IsToShowInspection=yes",
"RNT2011-03307","Rental Dwelling",,"Active","2017-07-31T00:00:00.000","2029 W 9270 S
Salt Lake City, UT 84088
","alt Lake City, UT 84088
","53111","MULTI UNIT RENTAL PROPERTIES","https://aca.slcgov.com/Citizen/Cap/CapDetail.aspx?Module=BusLic&TabName=BusLic&capID1=11RNT&capID2=00000&capID3=00087&agencyCode=SLCREF&IsToShowInspection=yes",
