"record_number","year","age_group_in_years","gender"
"262","2014","≤ 29","FEMALE"
"263","2014","≤ 29","MALE"
"264","2014","≤ 29","MALE"
"265","2014","≤ 29","FEMALE"
"266","2014","≤ 29","MALE"
"267","2014","≤ 29","MALE"
"268","2014","30-49","FEMALE"
"269","2014","30-49","MALE"
"270","2014","30-49","MALE"
"271","2014","30-49","FEMALE"
"272","2014","30-49","MALE"
"273","2014","30-49","MALE"
"274","2014","30-49","FEMALE"
"275","2014","30-49","MALE"
"276","2014","30-49","FEMALE"
"277","2014","30-49","MALE"
"278","2014","30-49","MALE"
"279","2014","30-49","FEMALE"
"280","2014","30-49","FEMALE"
"281","2014","30-49","MALE"
"282","2014","30-49","FEMALE"
"283","2014","30-49","MALE"
"284","2014","30-49","MALE"
"285","2014","30-49","MALE"
"286","2014","30-49","FEMALE"
"287","2014","30-49","MALE"
"288","2014","30-49","MALE"
"289","2014","30-49","MALE"
"290","2014","30-49","MALE"
"291","2014","30-49","MALE"
"292","2014","30-49","MALE"
"293","2014","30-49","MALE"
"294","2014","30-49","FEMALE"
"295","2014","30-49","MALE"
"296","2014","30-49","MALE"
"297","2014","30-49","MALE"
"298","2014","30-49","MALE"
"299","2014","30-49","FEMALE"
"300","2014","30-49","MALE"
"301","2014","30-49","FEMALE"
"302","2014","30-49","MALE"
"303","2014","30-49","FEMALE"
"304","2014","30-49","MALE"
"305","2014","30-49","MALE"
"306","2014","30-49","MALE"
"307","2014","30-49","FEMALE"
"308","2014","30-49","MALE"
"309","2014","30-49","MALE"
"310","2014","30-49","MALE"
"311","2014","30-49","MALE"
"312","2014","30-49","MALE"
"313","2014","30-49","MALE"
"314","2014","30-49","FEMALE"
"315","2014","30-49","MALE"
"316","2014","30-49","FEMALE"
"317","2014","50-69","FEMALE"
"318","2014","50-69","FEMALE"
"319","2014","50-69","FEMALE"
"320","2014","50-69","FEMALE"
"321","2014","50-69","MALE"
"322","2014","50-69","FEMALE"
"323","2014","50-69","MALE"
"324","2014","50-69","MALE"
"325","2014","50-69","MALE"
"326","2014","50-69","MALE"
"327","2014","50-69","MALE"
"328","2014","50-69","MALE"
"329","2014","50-69","MALE"
"330","2014","50-69","MALE"
"331","2014","50-69","MALE"
"332","2014","50-69","FEMALE"
"333","2014","50-69","MALE"
"334","2014","50-69","MALE"
"335","2014","50-69","MALE"
"336","2014","50-69","MALE"
"337","2014","50-69","MALE"
"338","2014","50-69","MALE"
"339","2014","50-69","MALE"
"340","2014","50-69","MALE"
"341","2014","50-69","MALE"
"342","2014","50-69","MALE"
"343","2014","50-69","MALE"
"344","2014","50-69","MALE"
"345","2014","50-69","FEMALE"
"346","2014","50-69","FEMALE"
"347","2014","50-69","MALE"
"348","2014","≥ 70","MALE"
"349","2014","≥ 70","MALE"
"350","2014","≥ 70","MALE"
"351","2014","≥ 70","MALE"
"352","2014","≥ 70","MALE"
"353","2014","≥ 70","FEMALE"
"354","2015","≤ 29","FEMALE"
"355","2015","≤ 29","MALE"
"356","2015","≤ 29","FEMALE"
"357","2015","≤ 29","MALE"
"358","2015","≤ 29","MALE"
"359","2015","≤ 29","MALE"
"360","2015","≤ 29","MALE"
"361","2015","≤ 29","MALE"
"362","2015","≤ 29","FEMALE"
"363","2015","≤ 29","MALE"
"364","2015","≤ 29","FEMALE"
"365","2015","≤ 29","MALE"
"366","2015","≤ 29","MALE"
"367","2015","≤ 29","MALE"
"368","2015","≤ 29","MALE"
"369","2015","≤ 29","MALE"
"370","2015","≤ 29","FEMALE"
"371","2015","≤ 29","MALE"
"372","2015","≤ 29","MALE"
"373","2015","≤ 29","MALE"
"374","2015","≤ 29","MALE"
"375","2015","≤ 29","FEMALE"
"376","2015","≤ 29","MALE"
"377","2015","≤ 29","MALE"
"378","2015","≤ 29","MALE"
"379","2015","≤ 29","MALE"
"380","2015","≤ 29","MALE"
"381","2015","≤ 29","MALE"
"382","2015","≤ 29","FEMALE"
"383","2015","≤ 29","MALE"
"384","2015","≤ 29","MALE"
"385","2015","≤ 29","MALE"
"386","2015","≤ 29","MALE"
"387","2015","≤ 29","MALE"
"388","2015","≤ 29","FEMALE"
"389","2015","≤ 29","MALE"
"390","2015","≤ 29","MALE"
"391","2015","≤ 29","MALE"
"392","2015","30-49","MALE"
"393","2015","30-49","FEMALE"
"394","2015","30-49","FEMALE"
"395","2015","30-49","MALE"
"396","2015","30-49","MALE"
"397","2015","30-49","MALE"
"398","2015","30-49","FEMALE"
"399","2015","30-49","MALE"
"400","2015","30-49","FEMALE"
"401","2015","30-49","MALE"
"402","2015","30-49","MALE"
"403","2015","30-49","MALE"
"404","2015","30-49","MALE"
"405","2015","30-49","MALE"
"406","2015","30-49","MALE"
"407","2015","30-49","MALE"
"408","2015","30-49","MALE"
"409","2015","30-49","FEMALE"
"410","2015","30-49","MALE"
"411","2015","30-49","FEMALE"
"412","2015","30-49","MALE"
"413","2015","30-49","MALE"
"414","2015","30-49","FEMALE"
"415","2015","30-49","MALE"
"416","2015","30-49","MALE"
"417","2015","30-49","MALE"
"418","2015","30-49","MALE"
"419","2015","30-49","MALE"
"420","2015","30-49","MALE"
"421","2015","30-49","FEMALE"
"422","2015","30-49","FEMALE"
"423","2015","30-49","MALE"
"424","2015","30-49","MALE"
"425","2015","30-49","MALE"
"426","2015","30-49","FEMALE"
"427","2015","30-49","FEMALE"
"428","2015","30-49","MALE"
"429","2015","30-49","MALE"
"430","2015","30-49","MALE"
"431","2015","30-49","MALE"
"432","2015","30-49","MALE"
"433","2015","30-49","FEMALE"
"434","2015","30-49","FEMALE"
"435","2015","30-49","MALE"
"436","2015","30-49","MALE"
"437","2015","30-49","MALE"
"438","2015","30-49","MALE"
"439","2015","30-49","MALE"
"440","2015","30-49","FEMALE"
"441","2015","30-49","MALE"
"442","2015","50-69","MALE"
"443","2015","50-69","MALE"
"444","2015","50-69","MALE"
"445","2015","50-69","FEMALE"
"446","2015","50-69","FEMALE"
"447","2015","50-69","MALE"
"448","2015","50-69","FEMALE"
"449","2015","50-69","MALE"
"450","2015","50-69","MALE"
"451","2015","50-69","MALE"
"452","2015","50-69","MALE"
"453","2015","50-69","MALE"
"454","2015","50-69","MALE"
"455","2015","50-69","MALE"
"456","2015","50-69","MALE"
"457","2015","50-69","FEMALE"
"458","2015","50-69","MALE"
"459","2015","50-69","MALE"
"460","2015","50-69","FEMALE"
"461","2015","50-69","MALE"
"462","2015","50-69","MALE"
"463","2015","50-69","MALE"
"464","2015","50-69","MALE"
"465","2015","50-69","MALE"
"466","2015","50-69","FEMALE"
"467","2015","50-69","FEMALE"
"468","2015","50-69","FEMALE"
"469","2015","50-69","MALE"
"470","2015","50-69","FEMALE"
"471","2015","50-69","MALE"
"472","2015","50-69","MALE"
"473","2015","50-69","FEMALE"
"474","2015","50-69","MALE"
"475","2015","50-69","FEMALE"
"476","2015","50-69","MALE"
"477","2015","50-69","FEMALE"
"478","2015","≥ 70","MALE"
"479","2015","≥ 70","MALE"
"480","2015","≥ 70","MALE"
"481","2015","≥ 70","MALE"
"482","2015","≥ 70","MALE"
"483","2015","≥ 70","MALE"
"484","2015","≥ 70","MALE"
"485","2015","≥ 70","MALE"
"486","2016","≤ 29","MALE"
"487","2016","≤ 29","MALE"
"488","2016","≤ 29","MALE"
"489","2016","≤ 29","MALE"
"490","2016","≤ 29","MALE"
"491","2016","≤ 29","MALE"
"492","2016","≤ 29","MALE"
"493","2016","≤ 29","MALE"
"494","2016","≤ 29","MALE"
"495","2016","≤ 29","MALE"
"496","2016","≤ 29","MALE"
"497","2016","≤ 29","MALE"
"498","2016","≤ 29","MALE"
"499","2016","≤ 29","MALE"
"500","2016","≤ 29","FEMALE"
"501","2016","≤ 29","MALE"
"502","2016","≤ 29","MALE"
"503","2016","≤ 29","MALE"
"504","2016","≤ 29","MALE"
"505","2016","≤ 29","MALE"
"506","2016","≤ 29","MALE"
"507","2016","≤ 29","MALE"
"508","2016","≤ 29","MALE"
"509","2016","≤ 29","MALE"
"510","2016","≤ 29","FEMALE"
"511","2016","≤ 29","MALE"
"512","2016","≤ 29","MALE"
"513","2016","≤ 29","MALE"
"514","2016","≤ 29","MALE"
"515","2016","≤ 29","MALE"
"516","2016","≤ 29","FEMALE"
"517","2016","≤ 29","MALE"
"518","2016","≤ 29","MALE"
"519","2016","≤ 29","MALE"
"520","2016","30-49","MALE"
"521","2016","30-49","MALE"
"522","2016","30-49","MALE"
"523","2016","30-49","MALE"
"524","2016","30-49","MALE"
"525","2016","30-49","MALE"
"526","2016","30-49","MALE"
"527","2016","30-49","MALE"
"528","2016","30-49","MALE"
"529","2016","30-49","MALE"
"530","2016","30-49","MALE"
"531","2016","30-49","MALE"
"532","2016","30-49","MALE"
"533","2016","30-49","MALE"
"534","2016","30-49","FEMALE"
"535","2016","30-49","FEMALE"
"536","2016","30-49","MALE"
"537","2016","30-49","FEMALE"
"538","2016","30-49","MALE"
"539","2016","30-49","MALE"
"540","2016","30-49","FEMALE"
"541","2016","30-49","MALE"
"542","2016","30-49","MALE"
"543","2016","30-49","FEMALE"
"544","2016","30-49","MALE"
"545","2016","30-49","MALE"
"546","2016","30-49","MALE"
"547","2016","30-49","MALE"
"548","2016","30-49","MALE"
"549","2016","30-49","FEMALE"
"550","2016","30-49","MALE"
"551","2016","30-49","MALE"
"552","2016","30-49","FEMALE"
"553","2016","30-49","MALE"
"554","2016","30-49","MALE"
"555","2016","30-49","MALE"
"556","2016","30-49","MALE"
"557","2016","30-49","MALE"
"558","2016","30-49","MALE"
"559","2016","30-49","MALE"
"560","2016","30-49","FEMALE"
"561","2016","30-49","FEMALE"
"562","2016","30-49","MALE"
"563","2016","30-49","MALE"
"564","2016","30-49","FEMALE"
"565","2016","30-49","FEMALE"
"566","2016","30-49","MALE"
"567","2016","30-49","MALE"
"568","2016","50-69","MALE"
"569","2016","50-69","MALE"
"570","2016","50-69","MALE"
"571","2016","50-69","FEMALE"
"572","2016","50-69","MALE"
"573","2016","50-69","MALE"
"574","2016","50-69","MALE"
"575","2016","50-69","MALE"
"576","2016","50-69","MALE"
"577","2016","50-69","FEMALE"
"578","2016","50-69","MALE"
"579","2016","50-69","MALE"
"580","2016","50-69","FEMALE"
"581","2016","50-69","MALE"
"582","2016","50-69","MALE"
"583","2016","50-69","MALE"
"584","2016","50-69","MALE"
"585","2016","50-69","MALE"
"586","2016","50-69","FEMALE"
"587","2016","50-69","MALE"
"588","2016","50-69","MALE"
"589","2016","50-69","FEMALE"
"590","2016","50-69","MALE"
"591","2016","50-69","FEMALE"
"592","2016","50-69","MALE"
"593","2016","50-69","MALE"
"594","2016","50-69","MALE"
"595","2016","50-69","FEMALE"
"596","2016","50-69","MALE"
"597","2016","50-69","FEMALE"
"598","2016","50-69","MALE"
"599","2016","50-69","FEMALE"
"600","2016","50-69","FEMALE"
"601","2016","50-69","FEMALE"
"602","2016","50-69","MALE"
"603","2016","≥ 70","MALE"
"604","2016","≥ 70","MALE"
"605","2016","≥ 70","MALE"
"606","2016","≥ 70","FEMALE"
"607","2016","≥ 70","MALE"
"608","2016","≥ 70","FEMALE"
"609","2016","≥ 70","MALE"
"610","2016","≥ 70","MALE"
"611","2016","≥ 70","FEMALE"
"612","2017","≤ 29","MALE"
"613","2017","≤ 29","FEMALE"
"614","2017","≤ 29","MALE"
"615","2017","≤ 29","FEMALE"
"616","2017","≤ 29","MALE"
"617","2017","≤ 29","MALE"
"618","2017","≤ 29","MALE"
"619","2017","≤ 29","MALE"
"620","2017","≤ 29","FEMALE"
"621","2017","≤ 29","MALE"
"622","2017","≤ 29","FEMALE"
"623","2017","≤ 29","FEMALE"
"624","2017","≤ 29","MALE"
"625","2017","≤ 29","MALE"
"626","2017","≤ 29","MALE"
"627","2017","≤ 29","MALE"
"628","2017","≤ 29","MALE"
"629","2017","≤ 29","MALE"
"630","2017","≤ 29","MALE"
"631","2017","≤ 29","MALE"
"632","2017","≤ 29","MALE"
"633","2017","≤ 29","MALE"
"634","2017","≤ 29","MALE"
"635","2017","≤ 29","MALE"
"636","2017","≤ 29","FEMALE"
"637","2017","≤ 29","MALE"
"638","2017","≤ 29","MALE"
"639","2017","≤ 29","FEMALE"
"640","2017","≤ 29","MALE"
"641","2017","30-49","MALE"
"642","2017","30-49","MALE"
"643","2017","30-49","MALE"
"644","2017","30-49","FEMALE"
"645","2017","30-49","MALE"
"646","2017","30-49","FEMALE"
"647","2017","30-49","MALE"
"648","2017","30-49","FEMALE"
"649","2017","30-49","MALE"
"650","2017","30-49","MALE"
"651","2017","30-49","MALE"
"652","2017","30-49","FEMALE"
"653","2017","30-49","MALE"
"654","2017","30-49","MALE"
"655","2017","30-49","MALE"
"656","2017","30-49","MALE"
"657","2017","30-49","FEMALE"
"658","2017","30-49","MALE"
"659","2017","30-49","MALE"
"660","2017","30-49","MALE"
"661","2017","30-49","MALE"
"662","2017","30-49","MALE"
"663","2017","30-49","FEMALE"
"664","2017","30-49","MALE"
"665","2017","30-49","FEMALE"
"666","2017","30-49","MALE"
"667","2017","30-49","MALE"
"668","2017","30-49","MALE"
"669","2017","30-49","MALE"
"670","2017","30-49","MALE"
"671","2017","30-49","MALE"
"672","2017","30-49","MALE"
"673","2017","30-49","MALE"
"674","2017","30-49","MALE"
"675","2017","30-49","MALE"
"676","2017","30-49","MALE"
"677","2017","30-49","MALE"
"678","2017","30-49","MALE"
"679","2017","30-49","FEMALE"
"680","2017","30-49","MALE"
"681","2017","30-49","MALE"
"682","2017","30-49","MALE"
"683","2017","30-49","FEMALE"
"684","2017","30-49","MALE"
"685","2017","30-49","MALE"
"686","2017","30-49","MALE"
"687","2017","30-49","MALE"
"688","2017","30-49","FEMALE"
"689","2017","30-49","FEMALE"
"690","2017","30-49","MALE"
"691","2017","30-49","MALE"
"692","2017","30-49","FEMALE"
"693","2017","30-49","FEMALE"
"694","2017","30-49","MALE"
"695","2017","30-49","FEMALE"
"696","2017","30-49","MALE"
"697","2017","30-49","MALE"
"698","2017","50-69","FEMALE"
"699","2017","50-69","MALE"
"700","2017","50-69","MALE"
"701","2017","50-69","FEMALE"
"702","2017","50-69","MALE"
"703","2017","50-69","MALE"
"704","2017","50-69","MALE"
"705","2017","50-69","MALE"
"706","2017","50-69","FEMALE"
"707","2017","50-69","FEMALE"
"708","2017","50-69","MALE"
"709","2017","50-69","FEMALE"
"710","2017","50-69","MALE"
"711","2017","50-69","MALE"
"712","2017","50-69","FEMALE"
"713","2017","50-69","FEMALE"
"714","2017","50-69","FEMALE"
"715","2017","50-69","MALE"
"716","2017","50-69","MALE"
"717","2017","50-69","FEMALE"
"718","2017","50-69","MALE"
"719","2017","50-69","MALE"
"720","2017","50-69","MALE"
"721","2017","50-69","MALE"
"722","2017","50-69","MALE"
"723","2017","50-69","MALE"
"724","2017","50-69","FEMALE"
"725","2017","50-69","MALE"
"726","2017","50-69","MALE"
"727","2017","50-69","MALE"
"728","2017","≥ 70","FEMALE"
"729","2017","≥ 70","MALE"
"730","2017","≥ 70","MALE"
"731","2017","≥ 70","MALE"
"732","2017","≥ 70","MALE"
"733","2017","≥ 70","MALE"
"734","2017","≥ 70","MALE"
"735","2017","≥ 70","MALE"
"736","2017","≥ 70","MALE"
"737","2017","≥ 70","MALE"
"738","2018","30-49","MALE"
"739","2018","≤ 29","MALE"
"740","2018","≤ 29","MALE"
"741","2018","≤ 29","MALE"
"742","2018","30-49","MALE"
"743","2018","30-49","FEMALE"
"744","2018","≥ 70","MALE"
"745","2018","≤ 29","MALE"
"746","2018","30-49","FEMALE"
"747","2018","≥ 70","MALE"
"748","2018","50-69","MALE"
"749","2018","≤ 29","MALE"
"750","2018","50-69","MALE"
"751","2018","30-49","MALE"
"752","2018","50-69","MALE"
"753","2018","≤ 29","MALE"
"754","2018","30-49","MALE"
"755","2018","50-69","MALE"
"756","2018","30-49","MALE"
"757","2018","50-69","MALE"
"758","2018","≤ 29","MALE"
"759","2018","≤ 29","MALE"
"760","2018","50-69","FEMALE"
"761","2018","30-49","MALE"
"762","2018","50-69","MALE"
"763","2018","≤ 29","MALE"
"764","2018","≤ 29","FEMALE"
"765","2018","≤ 29","MALE"
"766","2018","30-49","MALE"
"767","2018","50-69","MALE"
"768","2018","30-49","MALE"
"769","2018","50-69","MALE"
"770","2018","30-49","FEMALE"
"771","2018","≤ 29","MALE"
"772","2018","50-69","MALE"
"773","2018","30-49","FEMALE"
"774","2018","50-69","FEMALE"
"775","2018","30-49","MALE"
"776","2018","50-69","MALE"
"777","2018","≤ 29","FEMALE"
"778","2018","≤ 29","MALE"
"779","2018","30-49","MALE"
"780","2018","≤ 29","FEMALE"
"781","2018","30-49","MALE"
"782","2018","≥ 70","MALE"
"783","2018","50-69","MALE"
"784","2018","50-69","MALE"
"785","2018","50-69","MALE"
"786","2018","50-69","MALE"
"787","2018","50-69","MALE"
"788","2018","30-49","MALE"
"789","2018","50-69","MALE"
"790","2018","30-49","MALE"
"791","2018","30-49","FEMALE"
"792","2018","≤ 29","FEMALE"
"793","2018","30-49","MALE"
"794","2018","30-49","FEMALE"
"795","2018","50-69","FEMALE"
"796","2018","30-49","MALE"
"797","2018","30-49","MALE"
"798","2018","≤ 29","MALE"
"799","2018","30-49","MALE"
"800","2018","≥ 70","MALE"
"801","2018","≤ 29","MALE"
"802","2018","50-69","MALE"
"803","2018","30-49","MALE"
"804","2018","50-69","FEMALE"
"805","2018","≤ 29","MALE"
"806","2018","≥ 70","MALE"
"807","2018","≤ 29","MALE"
"808","2018","≥ 70","MALE"
"809","2018","≥ 70","MALE"
"810","2018","≤ 29","MALE"
"811","2018","30-49","MALE"
"812","2018","30-49","MALE"
"813","2018","30-49","FEMALE"
"814","2018","≤ 29","MALE"
"815","2018","30-49","MALE"
"816","2018","50-69","MALE"
"817","2018","≤ 29","FEMALE"
"818","2018","50-69","MALE"
"819","2018","50-69","MALE"
"820","2018","≤ 29","MALE"
"821","2018","50-69","MALE"
"822","2018","30-49","MALE"
"823","2018","30-49","MALE"
"824","2018","30-49","MALE"
"825","2018","30-49","MALE"
"826","2018","≤ 29","FEMALE"
"827","2018","≤ 29","MALE"
"828","2018","≤ 29","MALE"
"829","2018","30-49","FEMALE"
"830","2018","30-49","MALE"
"831","2018","≥ 70","FEMALE"
"832","2018","≤ 29","MALE"
"833","2018","30-49","FEMALE"
"834","2018","≥ 70","MALE"
"835","2018","50-69","MALE"
"836","2018","≤ 29","MALE"
"837","2018","50-69","FEMALE"
"838","2018","30-49","MALE"
"839","2018","50-69","FEMALE"
"840","2018","≤ 29","MALE"
"841","2018","30-49","MALE"
"842","2018","50-69","MALE"
"843","2018","30-49","MALE"
"844","2018","50-69","FEMALE"
"845","2018","≤ 29","FEMALE"
"846","2018","≤ 29","FEMALE"
"847","2018","50-69","MALE"
"848","2018","30-49","MALE"
"849","2018","50-69","FEMALE"
"850","2018","≤ 29","MALE"
"851","2018","≤ 29","FEMALE"
"852","2018","≤ 29","MALE"
"853","2018","30-49","MALE"
"854","2018","50-69","MALE"
"855","2018","30-49","MALE"
"856","2018","50-69","MALE"
"857","2018","30-49","MALE"
"858","2018","≤ 29","MALE"
"859","2018","50-69","FEMALE"
