"naics_code","cad_defined_sector","industry","sales_2016","jobs_2016","total_earnings","earnings_by_sector","earnings_per_job_2015","earnings_per_job_2016","change_of_earnings_per_job","national_lq_2016","white","black_or_african_american","amer_indian_or_ak_native","asian","hawaiian_or_other_pac_island","hispanic_or_latino","two_or_more_races","male","female","_0_24_age","_25_34_age","_35_44_age","_45_54_age","_55_64_age","_65_99_age"
"424920","Printing, Publishing,  and Related Activities","Book, periodical, and newspaper merchant wholesalers","31518267","290","8190817",,"32809","28244","-0.139","0.63","191","10","0","24","0","61","4","194","96","24","47","38","69","73","39"
"451211","Printing, Publishing,  and Related Activities","Book stores","65054678","829","21832450",,"25506","26323","0.032","1.20","551","41","1","30","0","190","17","352","477","221","217","134","105","103","50"
"511110","Printing, Publishing,  and Related Activities","Newspaper publishers","122039457","985","48735322",,"52035","49456","-0.05","0.68","728","49","2","15","1","180","11","493","493","91","192","189","162","257","95"
"511120","Printing, Publishing,  and Related Activities","Periodical publishers","124657678","948","37463659",,"40933","39485","-0.035","1.00","719","29","1","17","1","168","14","440","509","35","125","189","245","215","140"
"511130","Printing, Publishing,  and Related Activities","Book publishers","471661902","1028","87944630",,"82632","85475","0.034","1.84","741","43","3","24","1","202","14","469","560","53","204","250","238","195","89"
"511191","Printing, Publishing,  and Related Activities","Greeting card publishers","774512","3","120570",,"36343","36113","-0.006","0.09","3","0","0","0","0","0","0","1","2","0","1","0","1","1","1"
"511199","Printing, Publishing,  and Related Activities","All other publishers","79377551","360","17718449","247783148","50676","49183","-0.029","3.18","259","15","1","8","1","72","5","163","197","19","76","91","82","66","26"
"332323","Visual Arts & Design","Ornamental and architectural metal work manufacturing","61442974","284","16208179",,"55676","56902","0.022","0.93","171","10","1","8","0","93","2","231","54","22","56","62","70","52","23"
"337212","Visual Arts & Design","Custom architectural woodwork and millwork manufacturing","17661252","83","3698554",,"35984","44060","0.224","0.50","63","6","1","0","0","14","0","75","9","3","18","21","20","16","6"
"541420","Visual Arts & Design","Industrial design services","47328832","359","24497098",,"66494","68193","0.026","1.62","270","12","3","9","0","63","2","165","194","21","74","88","96","52","28"
"541490","Visual Arts & Design","Other specialized design services","25796400","362","13458777",,"35991","37105","0.031","1.40","275","12","4","7","0","64","1","155","208","19","77","87","99","51","30"
"327110","Visual Arts & Design","Pottery, ceramics, and plumbing fixture manufacturing","31619888","220","11422640",,"45450","51788","0.139","1.51","136","20","1","11","0","54","0","141","79","6","15","49","41","90","18"
"327212","Visual Arts & Design","Other pressed and blown glass and glassware manufacturing","6774058","31","1721797",,"42208","55482","0.314","0.25","22","2","0","1","0","5","1","19","12","1","2","8","5","15","1"
"339910","Visual Arts & Design","Jewelry and silverware manufacturing","133627605","419","39675018",,"82458","94606","0.147","1.40","274","16","1","21","1","102","4","264","155","30","89","88","88","81","44"
"423940","Visual Arts & Design","Jewelry, watch, precious stone, and precious metal merchant wholesalers","85790519","746","29856560",,"42652","39991","-0.062","1.03","547","13","6","65","0","113","4","501","245","46","151","96","138","198","118"
"451130","Visual Arts & Design","Sewing, needlework, and piece goods stores","33359545","560","11498830",,"19454","20506","0.054","1.00","267","31","1","6","0","251","6","337","224","118","76","80","145","97","44"
"453920","Visual Arts & Design","Art dealers","46766007","502","15556478",,"31375","30966","-0.013","1.04","296","40","0","20","0","136","10","281","221","49","166","95","73","74","45"
"541430","Visual Arts & Design","Graphic design services","169118400","2280","88215858",,"31752","38682","0.218","1.47","1705","79","31","44","0","416","4","957","1323","126","421","523","656","338","216"
"541921","Visual Arts & Design","Photography studios, portrait","103708138","2319","47988557",,"20166","20691","0.026","1.53","1453","23","17","75","0","686","65","949","1370","143","578","557","503","396","142"
"541922","Visual Arts & Design","Commercial photography","41739467","673","19505532",,"28507","28946","0.015","1.34","420","5","4","21","0","205","19","276","398","38","167","163","149","117","40"
"812921","Visual Arts & Design","Photofinishing laboratories (except one-hour)","4155624","109","2291018","325594895","23112","20954","-0.093","0.69","77","4","0","1","0","27","1","22","87","7","15","24","35","26","2"
"Total",,,"5522995378","46828","1733500175","1733500175","2026045","2132739",,,"32538","3351","107","1240","14","8593","1009","26122","20730","4604","11398","11198","9192","6788","3674"
