"fiscal_year","calendar_year","calendar_month","calendar_date_utc","dollars_dispersed","households_served"
"FY 2010","2009","Oct","2009-10-01T00:00:00.000","19792.25","122"
"FY 2010","2009","Nov","2009-11-01T00:00:00.000","13208.57","101"
"FY 2010","2009","Dec","2009-12-01T00:00:00.000","42605.29","235"
"FY 2010","2010","Jan","2010-01-01T00:00:00.000","16780.1","114"
"FY 2010","2010","Feb","2010-02-01T00:00:00.000","38378.35","185"
"FY 2010","2010","Mar","2010-03-01T00:00:00.000","8514.76","70"
"FY 2010","2010","Apr","2010-04-01T00:00:00.000","13015.98","111"
"FY 2010","2010","May","2010-05-01T00:00:00.000","22969.78","116"
"FY 2010","2010","Jun","2010-06-01T00:00:00.000","22981.12","140"
"FY 2010","2010","Jul","2010-07-01T00:00:00.000","27257.71","174"
"FY 2010","2010","Aug","2010-08-01T00:00:00.000","46199.29","235"
"FY 2010","2010","Sep","2010-09-01T00:00:00.000","40387.63","244"
"FY 2009","2008","Oct","2008-10-01T00:00:00.000","12590.78","67"
"FY 2009","2008","Nov","2008-11-01T00:00:00.000","8911.27","58"
"FY 2009","2008","Dec","2008-12-01T00:00:00.000","12728.92","85"
"FY 2009","2009","Jan","2009-01-01T00:00:00.000","16868.7","94"
"FY 2009","2009","Feb","2009-02-01T00:00:00.000","49025.48","211"
"FY 2009","2009","Mar","2009-03-01T00:00:00.000","21623.12","105"
"FY 2009","2009","Apr","2009-04-01T00:00:00.000","15769.71","98"
"FY 2009","2009","May","2009-05-01T00:00:00.000","22435.63","137"
"FY 2009","2009","Jun","2009-06-01T00:00:00.000","18360.12","110"
"FY 2009","2009","Jul","2009-07-01T00:00:00.000","69198.05","305"
"FY 2009","2009","Aug","2009-08-01T00:00:00.000","38462.7","216"
"FY 2009","2009","Sep","2009-09-01T00:00:00.000","26001.84","167"
"FY 2008","2007","Oct","2007-10-01T00:00:00.000","12694.08","65"
"FY 2008","2007","Nov","2007-11-01T00:00:00.000","32196.3","160"
"FY 2008","2007","Dec","2007-12-01T00:00:00.000","13768.36","68"
"FY 2008","2008","Jan","2008-01-01T00:00:00.000","6478.3","40"
"FY 2008","2008","Feb","2008-02-01T00:00:00.000","24482.87","109"
"FY 2008","2008","Mar","2008-03-01T00:00:00.000","11560.62","57"
"FY 2008","2008","Apr","2008-04-01T00:00:00.000","22798.92","118"
"FY 2008","2008","May","2008-05-01T00:00:00.000","21232.72","107"
"FY 2008","2008","Jun","2008-06-01T00:00:00.000","5478.68","40"
"FY 2008","2008","Jul","2008-07-01T00:00:00.000","17628.68","78"
"FY 2008","2008","Aug","2008-08-01T00:00:00.000","34284.98","154"
"FY 2008","2008","Sep","2008-09-01T00:00:00.000","15923.69","91"
"FY 2007","2006","Oct","2006-10-01T00:00:00.000","8985.78","61"
"FY 2007","2006","Nov","2006-11-01T00:00:00.000","6360.93","40"
"FY 2007","2006","Dec","2006-12-01T00:00:00.000","35328.37","133"
"FY 2007","2007","Jan","2007-01-01T00:00:00.000","10020.92","51"
"FY 2007","2007","Feb","2007-02-01T00:00:00.000","10520.17","59"
"FY 2007","2007","Mar","2007-03-01T00:00:00.000","42722.72","164"
"FY 2007","2007","Apr","2007-04-01T00:00:00.000","12660.35","58"
"FY 2007","2007","May","2007-05-01T00:00:00.000","27324.04","109"
"FY 2007","2007","Jun","2007-06-01T00:00:00.000","20782.04","88"
"FY 2007","2007","Jul","2007-07-01T00:00:00.000","35109.87","143"
"FY 2007","2007","Aug","2007-08-01T00:00:00.000","26998.46","125"
"FY 2007","2007","Sep","2007-09-01T00:00:00.000","31613.56","152"
"FY 2006","2005","Oct","2005-10-01T00:00:00.000","9458.44","55"
"FY 2006","2005","Nov","2005-11-01T00:00:00.000","11984.14","64"
"FY 2006","2005","Dec","2005-12-01T00:00:00.000","10914.29","46"
"FY 2006","2006","Jan","2006-01-01T00:00:00.000","8123.08","39"
"FY 2006","2006","Feb","2006-02-01T00:00:00.000","27803.94","84"
"FY 2006","2006","Mar","2006-03-01T00:00:00.000","17550.84","79"
"FY 2006","2006","Apr","2006-04-01T00:00:00.000",,
"FY 2006","2006","May","2006-05-01T00:00:00.000","40461.77","175"
"FY 2006","2006","Jun","2006-06-01T00:00:00.000","7207.32","42"
"FY 2006","2006","Jul","2006-07-01T00:00:00.000","10952.13","73"
"FY 2006","2006","Aug","2006-08-01T00:00:00.000","36534.13","154"
"FY 2006","2006","Sep","2006-09-01T00:00:00.000","17747.33","111"
