"the_geom","objectid","ancillaryrole","enabled","drainage_id","jtx_jobid","rotation","comments","date_built","year_built","year_source","year_abandoned","created_by","created_date","modified_by","modified_date","checked_by","watershed","map_index","mapsco","place_id","ownership","maintenance","dimen_source","elev_source","location_source","gps_x","gps_y","gps_source","gps_quality","top_elevation","surface_elevation","at_grade","material","sump","curb_op","height","depressed","depression_a","st_length","st_width","width","inlet_loc","grate_length","grate_width","depth_to_bottom","manhole","grate_open_percent","inlet_type","marked","globalid","edit_status","fme_date","status","observation","modeled","collected_by","last_date_visited","measured_by","photolink","gutter_break","gps_pdop","gps_satqual","marked_date","catch_basket","gps_date","gps_time","unit","dem_calculated_sump","maximo_asset_number","maximo_site_id"
"POINT (-97.736380180099 30.260252255098)","105951","0","1","106271","1964706","206",,"1931-09-01T00:00:00.000Z","1931","SSM","1955","RODAVILA","2009-06-16T00:00:00.000Z","MMARKOWSKI","2018-06-19T10:32:21.000Z","SJOHNSON","WLR","J21","615B","106400","OTHER","TXDOT","NO_SOURCE","NO_SOURCE","SSM",,,"NOGPS","NOGPS",,"479.5","N","NODATA",,,,"N",,,,,"NODATA",,,,"NODATA",,"NODATA","NODATA","e8675f85-eb87-4c50-ba52-a015bb0cd451","ENTERED","2022-02-08T14:52:57.000Z","REMOVED","0","N",,,,,,,,,"0",,,,,,
"POINT (-97.73088895419 30.295210030184)","105809","0","1","70949","1774946","119",,"1935-12-13T00:00:00.000Z","1935","APPLANEL",,"RODAVILA","2010-03-31T00:00:00.000Z","VVINCENT","2017-09-06T15:11:24.000Z","DDAVIS","WLR","J24","585B","131420","CITY","CITY","PHYS_INSP","APPLANEL","GPS_AERIAL","3117837.2375","10080719.991","DIG07","SUB-M","576.84997559","578.0300293","N","CONCRETE","572.5","72","8","T","8","58","28","20","SAG","60","18","36","NOTPRESENT","50","S3","FAIR","ba9cde63-07ee-49e9-b403-ac951d8b92a8","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","2","N","DDAVIS","2008-10-09T00:00:00.000Z",,"08022007_1_040.jpg","0",,,"2012-05-15T00:00:00.000Z","0",,,,,"1105043","WPD"
"POINT (-97.724378754178 30.277766933497)","106075","0","1","70978","1738530","65",,,,"NO_SOURCE",,"DWARDEN","2017-07-20T18:39:34.000Z","MAMARAL","2017-10-11T15:59:10.000Z","GDELANO","BOG","K23","585Q","993008","OTHER","OTHER","PHYS_INSP","DEM","GPS","3120047.9614","10074413.847","DIG07","SUB-M",,"571.77001953","N","CONCRETE","569.69000244","37","5","F","0","25","24","17","SAG","30","18","25","NOTPRESENT","50","S3","MARKED","38175448-405d-4111-920f-b2270495c92d","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","2","N","SJOHNSON","2008-10-16T00:00:00.000Z",,"08092007_1_074.jpg","0",,,,"0",,,,,"1104925","WPD"
"POINT (-97.734213199336 30.296711952602)","106060","0","1","70940","2115411","207","vegetation obstruction","1940-07-23T00:00:00.000Z","1940","PLANNOEL",,"GDELANO","2015-02-12T12:34:58.000Z","JAMARTINEZ","2019-07-16T10:01:19.000Z","DDAVIS","WLR","J24","585B","595448","CITY","CITY","PHYS_INSP","DEM","GPS_AERIAL","3116782.4739","10081231.218","DIG07","SUB-M",,"577.53997803","N","CONCRETE","573.36999512","27","8","T","8","29","27","21","GRADE","30","18","50","PRESENT","40","G3","MARKED","bcdc2ddf-97d4-490d-bbb7-ddc621c33277","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","3","N","DDAVIS","2008-10-09T00:00:00.000Z",,"08012007_1_045.jpg","0",,,,"0",,,,,"1105034","WPD"
"POINT (-97.731278526789 30.257738817772)","105853","0","1","62465","1105490","112",,"1931-08-19T00:00:00.000Z","1931","SSM","1960","GDELANO","2015-04-21T16:21:05.000Z","GDELANO","2015-04-21T16:21:05.000Z",,"LBL","J21","615B","107144","CITY","CITY","SSM","NO_SOURCE","PLANNOEL",,,"NOGPS","NOGPS",,"465","N","NODATA",,,,"N",,"36",,,"NODATA",,,,"NODATA",,"NODATA","NODATA","ff715aed-3794-45fb-a1c2-d6bb9325229c","ENTERED","2022-03-11T21:12:41.000Z","REMOVED","0","N",,,,,,,,,"0",,,,,,
"POINT (-97.73646064462 30.292828331625)","106023","0","1","739280","396107","129",,"1949-04-21T00:00:00.000Z","1949","PLANNOEL",,"JABAKER","2010-06-09T00:00:00.000Z","DDAVIS","2014-09-08T10:54:06.000Z","DLEWIS","WLR","J24","585B","465633","CITY","CITY","PHYS_INSP","DEM","GPS","3116115.4093","10079806.5966","FIELD","SUB-M",,"553.64001465","N","CONCRETE","550.14001465","51","6","T","3","34","26",,"SAG","36","30","42","NOTPRESENT","40","S3","GOOD","e6442d68-af28-4f4d-b28c-aa528c112f10","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","2","N","SBURZYNSKI","2014-06-19T14:51:38.000Z","DDAVIS","06192014_5_514.jpg","0","4.7","1","2015-05-15T00:00:00.000Z","0","2014-06-19T14:51:39.000Z","2:51:39 PM","5",,"401335657","WPD"
"POINT (-97.730405319472 30.305267768263)","105985","0","1","70869","25858","206",,"1929-03-01T00:00:00.000Z","1929","SSM",,"DLEWIS","2009-06-30T00:00:00.000Z","DLEWIS","2009-06-30T00:00:00.000Z","LPUGH","WLR","J25","555T","676124","CITY","CITY","PHYS_INSP","DEM","GPS","3117911.007","10084369.95","DIG07","SUB-M",,"621.38000488","N","CONCRETE","619.13000488","42","7","T","6","27","13","27","GRADE","30","18","27","NOTPRESENT","50","G3","GOOD","19cbaba0-d72a-47eb-a733-a934f3aec436","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","2","N","LPUGH","2008-10-22T00:00:00.000Z",,"06282007_2_047.jpg","0",,,"2012-05-15T00:00:00.000Z","0",,,,,"1104873","WPD"
"POINT (-97.741457292315 30.27294024253)","105810","0","1","211195",,"197",,,,"NO_SOURCE",,"JAMARTINEZ","2018-05-18T08:59:34.000Z","JAMARTINEZ","2018-05-18T08:59:37.000Z",,"LBL","J22","585S","3351299","CITY","CITY","PHYS_INSP","DEM","GPS","3114695.173","10072549.9908","DIG09","SUB-M","516.15002441","516.04998779","N","CONCRETE","511.97000122","20","6","T","5","22","22","18","SAG","22","17","49","NOTPRESENT","40","S3","GOOD","8568a8dd-ed27-4250-9e8e-e239472e06fe","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","2","N","CARRIE STEFANELLI","2009-08-20T00:00:00.000Z","MICHAEL CHISUM","08202009_5_021.jpg","0","3.9926","1","2016-11-15T00:00:00.000Z","0","2009-08-20T00:00:00.000Z","13:16","5",,"1105011","WPD"
"POINT (-97.737114029157 30.259430772192)","105856","0","1","106275","825509","278",,"1931-09-01T00:00:00.000Z","1931","SSM","1955","RODAVILA","2009-06-16T00:00:00.000Z","TBARRINGTON","2014-02-19T10:41:54.000Z","RODAVILA","TWN","J21","615B","1142680","CITY","CITY","NO_SOURCE","NO_SOURCE","SSM",,,"NOGPS","NOGPS",,"465.88000488","N","NODATA",,,,"N",,,,,"NODATA",,,,"NODATA",,"NODATA","NODATA","a6a3c3c1-f78e-4667-b474-329da6cd00d0","ENTERED","2022-03-11T21:12:41.000Z","REMOVED","0","N",,,,,,,,,"0",,,,,,
"POINT (-97.741791936721 30.283970476686)","105834","0","1","70864",,"269",,,,"NO_SOURCE",,"DDAVIS","2016-03-29T08:48:58.000Z","DDAVIS","2016-03-29T08:52:59.000Z",,"SHL","J23","585J","475028","CITY","CITY","PHYS_INSP","DEM","GPS","3114499.4263","10076541.483","DIG07","SUB-M",,"567.73999023","N","CONCRETE","565.98999023","19","6","T","0","22","21","16","GRADE","21","17","21","NOTPRESENT","60","G3","MARKED","35fa8f3b-5538-4c18-bb54-30c9c79db071","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","2","N","LPUGH","2008-10-30T00:00:00.000Z",,"08282007_5_017.jpg","0",,,,"0",,,,,"1104804","WPD"
"POINT (-97.731877328431 30.258783045472)","105831","0","1","62435","1105490","202",,"1931-08-18T00:00:00.000Z","1931","SSM","1948","GDELANO","2015-04-23T10:35:08.000Z","GDELANO","2015-04-23T12:55:04.000Z",,"LBL","J21","615B","252643","CITY","CITY","NO_SOURCE","NO_SOURCE","SSM",,,"NOGPS","NOGPS",,"464.92001343","N","NODATA",,,,"N",,,,,"NODATA",,,,"NODATA",,"NODATA","NODATA","4db69d0b-c3ca-4873-8c6e-f08dcf90f904","ENTERED","2022-03-11T21:12:41.000Z","REMOVED","0","N",,,,,,,,,"0",,,,,,
"POINT (-97.73240676539 30.307717774913)","106024","0","1","70873","1879592","208","box tapers","1930-02-01T00:00:00.000Z","1930","PLANNOEL",,"GDELANO","2018-09-20T13:26:54.000Z","GDELANO","2018-09-20T13:26:54.000Z",,"WLR","J25","555T","758048","CITY","CITY","PHYS_INSP","DEM","GPS","3117259.3744","10085247.882","DIG07","SUB-M",,"622.15997314","N","CONCRETE","619.83001709","37","6","T","4","27","12","21","GRADE","30","18","28","NOTPRESENT","50","G3","GOOD","e8c73014-ca48-4502-90f3-aa7044f3bbaa","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","3","N","LPUGH","2008-10-22T00:00:00.000Z",,"07022007_2_042.jpg","0",,,"2012-05-15T00:00:00.000Z","0",,,,,"1104877","WPD"
"POINT (-97.748688617717 30.271822282291)","105990","0","1","211191","2109330","196",,"1947-07-03T00:00:00.000Z","1947","PLANNOEL","2015","SBURZYNSKI","2016-01-25T11:06:49.000Z","GDELANO","2019-08-14T14:37:01.000Z","GDELANO","SHL","J22","585S","428162","CITY","CITY","PHYS_INSP","DEM","GPS","3112431.9016","10072069.1279","DIG09","SUB-M",,"490.82000732","N","CONCRETE","488.30999756","68","5","T","5","68","30","17","GRADE","60","18","29","NOTPRESENT","40","G3","MARKED","a3b68cf4-2d5f-4687-a570-dc196d3de843","ENTERED","2022-02-08T14:52:57.000Z","REMOVED","2","N","MICHAEL CHISUM","2009-08-05T00:00:00.000Z","PETER SORENSEN","08052009_1_048.jpg","0","3.2","2",,"0","2009-08-05T00:00:00.000Z","12:53","1",,"1105076","WPD"
"POINT (-97.739947647752 30.282551338602)","106062","0","1","71008","2065491","185",,"1931-11-30T00:00:00.000Z","1931","SSM",,"GDELANO","2017-09-26T10:57:53.000Z","DWARDEN","2019-03-07T16:54:24.000Z",,"WLR","J23","585J","641565","CITY","CITY","PHYS_INSP","DEM","GPS_AERIAL","3115093.3817","10076039.099","DIG07","SUB-M",,"547.21002197","N","CONCRETE","544.88000488","74","8","T","6","56","27","17","GRADE","60","18","28","NOTPRESENT","40","G3","MARKED","e6641862-06cd-413e-8143-77e8f25bf083","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","2","N","LPUGH","2008-10-30T00:00:00.000Z",,"08142007_1_056.jpg","0",,,,"0",,,,,"5000513770","WPD"
"POINT (-97.732230681433 30.257908962379)","105915","0","1","62464","1105490","23",,"1931-08-19T00:00:00.000Z","1931","SSM","1960","GDELANO","2015-04-21T16:21:03.000Z","GDELANO","2015-04-21T16:21:03.000Z",,"LBL","J21","615B","107270","CITY","CITY","SSM","NO_SOURCE","PLANNOEL",,,"NOGPS","NOGPS",,"464.92001343","N","NODATA",,,,"N",,"36",,,"NODATA",,,,"NODATA",,"NODATA","NODATA","d9c4f8e0-4cdb-4e79-bbc7-3a309c058f07","ENTERED","2022-03-11T21:12:41.000Z","REMOVED","0","N",,,,,,,,,"0",,,,,,
"POINT (-97.748848146026 30.252254728949)","106102","0","1","96724","2143698","105",,"1954-07-01T00:00:00.000Z","1954","SSM",,"JAMARTINEZ","2018-05-18T09:08:21.000Z","MAMARAL","2020-01-15T11:40:24.000Z","GDELANO","EBO","J21","615E","331298","CITY","CITY","PHYS_INSP","DEM","GPS","3112542.7558","10064957.884","DIG06","SUB-M",,"495.98999023","N","CONCRETE","493.16000366","60","4","T","6","60","27","18","GRADE","60","18","34","NOTPRESENT","50","G3","GOOD","61cb4e0d-591f-4b1d-80d6-fe83264ad442","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","2","N","LKAUFFMAN","2009-06-17T00:00:00.000Z",,"A_051906_0069.jpg","0",,,"2016-11-15T00:00:00.000Z","0",,,,,"1105062","WPD"
"POINT (-97.72427055957 30.3006891272)","105876","0","1","70852","125689","209",,"1935-08-15T00:00:00.000Z","1935","PLANNOEL",,"RODAVILA","2010-09-22T00:00:00.000Z","JABAKER","2010-10-18T00:00:00.000Z","DDAVIS","WLR","K25","555Y","153531","CITY","CITY","PHYS_INSP","DEM","GPS","3119886.2433","10082754.153","DIG07","SUB-M",,"578.51000977","N","CONCRETE","574.01000977","27","8","F","0","27","14","18","GRADE","30","18","54","NOTPRESENT","50","G3","FAIR","ab4b4ef8-9bd2-4942-adb5-2c5c384d3b92","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","3","N","DLEWIS","2008-10-09T00:00:00.000Z",,"06262007_2_061.jpg","0",,,,"0",,,,,"1104848","WPD"
"POINT (-97.735720355726 30.270867796696)","106109","0","1","96669","508722","286",,,,"NO_SOURCE",,"DDAVIS","2012-12-31T13:47:49.000Z","DDAVIS","2013-01-02T14:59:43.000Z",,"WLR","J22","585T","272816","OTHER","OTHER","PHYS_INSP","DEM","GPS","3116527.1137","10071820.107","DIG06","SUB-M",,"477.22000122","N","CONCRETE","474.04998779","33","5","T","3","36","24","18","GRADE","35","18","38","NOTPRESENT","50","G3","NOTMARKED","308a7d55-b253-4239-b904-e986ea8dabd2","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","2","N","LKAUFFMAN","2009-06-23T00:00:00.000Z",,"A_061206_0044.jpg","0",,,,"0",,,,,"1104816","WPD"
"POINT (-97.738247182423 30.298829014096)","105931","0","1","70878","1890770","214",,"1930-05-01T00:00:00.000Z","1930","SSM",,"RMOELLMER","2009-04-17T00:00:00.000Z","DWARDEN","2018-09-12T10:44:37.000Z","DWARDEN","WLR","J25","555X","632222","CITY","CITY","PHYS_INSP","DEM","GPS_AERIAL","3115489.5377","10081966.588","DIG07","SUB-M",,"577.13000488","N","CONCRETE","575.88000488","37","9","T","4","37","8","26","SAG","32","24","15","NOTPRESENT","80","S3","GOOD","52b4c2e7-ad6b-4874-84bc-e87556b8a83f","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","3","N","LPUGH","2008-10-22T00:00:00.000Z",,"07052007_2_044.jpg","0",,,"2013-01-15T00:00:00.000Z","0",,,,,"1104882","WPD"
"POINT (-97.751615731305 30.281023412006)","105995","0","1","70971","2034770","30","no gutter, atypical shape",,,"NO_SOURCE",,"MAMARAL","2018-11-14T14:35:41.000Z","GDELANO","2018-12-03T16:24:20.000Z","DWARDEN","SHL","H23","584M","393104","CITY","CITY","PHYS_INSP","DEM","GPS","3111421.7952","10075398.866","DIG07","SUB-M",,"477.92999268","N","CONCRETE","475.76000977","24","4","F","0","30","18",,"GRADE","30","18","26","NOTPRESENT","30","G3","GOOD","669493d5-3766-451d-98bb-cef320f2f996","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","2",,"JOSHUA BRIDGES","2007-08-08T00:00:00.000Z",,"08082007_2_053.jpg","0",,,"2010-08-01T00:00:00.000Z","0",,,,,"1104918","WPD"
"POINT (-97.723261344603 30.278294842859)","106143","0","1","70976","1738530","73",,,,"NO_SOURCE",,"DWARDEN","2017-07-21T10:21:41.000Z","DWARDEN","2017-07-21T16:43:43.000Z","GDELANO","BOG","K23","585Q","489824","OTHER","OTHER","PHYS_INSP","DEM","GPS","3120391.6767","10074614.482","DIG07","SUB-M",,"580.09997559","N","CONCRETE","578.17999268","68","6","F","0","57","23","17","SAG","188","60","23","NOTPRESENT","40","S3","NOTMARKED","b1db84cb-d292-4568-8250-1d5451c8e22e","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","3","N","SJOHNSON","2008-10-16T00:00:00.000Z",,"08092007_1_072.jpg","0",,,,"0",,,,,"1104923","WPD"
"POINT (-97.713873122335 30.260470069336)","106078","0","1","71013","2143251","291",,"1945-09-01T00:00:00.000Z","1945","APPLANEL","2010","GDELANO","2020-01-02T11:33:15.000Z","GDELANO","2020-01-02T11:33:48.000Z","GDELANO","LBL","K21","615D","879848","CITY","CITY","PHYS_INSP","APPLANEL","APPLANEL","3123586.2026","10068400.424","DIG07","SUB-M","467.39001465","-1","N","CONCRETE","463.23999023","71","9","T","11","56","28","23","GRADE","60","18","42","NOTPRESENT","40","G3","NOTMARKED","63dd455b-1a8e-4e2e-ba07-23f51896bfca","ENTERED","2022-02-08T14:52:57.000Z","REMOVED","2","N","DLEWIS","2008-10-16T00:00:00.000Z",,"08142007_3_040.jpg","0",,,,"0",,,,,"1104792","WPD"
"POINT (-97.736184526505 30.30082470086)","106086","0","1","70900","2014614","206",,,,"NO_SOURCE",,"MAMARAL","2018-10-03T10:37:35.000Z","DWARDEN","2022-01-05T08:31:21.000Z","DWARDEN","WLR","J25","555X","672050","CITY","CITY","PHYS_INSP","DEM","GPS","3116125.7464","10082709.509","DIG07","SUB-M",,"596.65997314","N","CONCRETE","594.83001709","39","10","T","7","27","11","22","SAG","30","18","22","NOTPRESENT","50","S3","GOOD","2e530b13-8a4e-4a07-8ed2-0b1bbdadcbcf","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","2","N","LPUGH","2008-10-21T00:00:00.000Z",,"07052007_2_002.jpg","0",,,"2021-10-15T00:00:00.000Z","0",,,,,"1104904","WPD"
"POINT (-97.826830393068 30.305514162337)","106140","0","1","106465","1258450","39",,"1985-11-26T00:00:00.000Z","1985","APPLANEL",,"MAMARAL","2016-02-22T15:23:34.000Z","MAMARAL","2016-02-22T17:05:05.000Z",,"BEE","E25","553S","194738","OTHER","OTHER","PHYS_INSP","DEM","GPS","3087488.6181","10083759.7163","DIG08","SUB-M",,"800.23999023","N","CONCRETE","798.15997314","32","5","T","3","32","33",,"GRADE","36","24","25","NOTPRESENT","70","G3","NOTMARKED","521d6bda-0dde-498a-8234-7d892704be14","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","2","N","DANIEL WHEAT",,,"12012008_5_008.jpg","0",,,,"0",,,,,"1105005","WPD"
"POINT (-97.744496019855 30.285158602622)","106095","0","1","703272","2198038","7","Chipping on gutter face",,,"NO_SOURCE","2019","JAMARTINEZ","2018-05-18T11:36:50.000Z","DWARDEN","2020-10-30T18:39:40.000Z",,"SHL","J23","585J","5712877","CITY","CITY","PHYS_INSP","DEM","GPS","3113642.2923","10076966.684","FIELD","SUB-M",,"577.86999512","N","CONCRETE","575.98999023","38","5","T","7","32","13",,"SAG","29","18","34","NOTPRESENT","60","S3","GOOD","54bfd541-ea63-4d48-a949-09ec7486b06e","ENTERED","2022-02-08T14:52:57.000Z","REMOVED","3","N","SJOHNSON","2014-05-29T14:29:50.000Z","DDAVIS","05292014_5_417.jpg","0","5.3","1","2016-05-15T00:00:00.000Z","0","2014-05-29T14:29:50.000Z","2:29:50 PM","5",,"401333799","WPD"
"POINT (-97.773525684903 30.26254588008)","105956","0","1","454325","1756690","267","Combo Inlet Based On Plan Callout","2006-07-17T00:00:00.000Z","2006","APPLANEL",,"JAMARTINEZ","2017-10-17T15:48:25.000Z","GDELANO","2017-10-18T10:28:42.000Z",,"BAR","G22","584X","5110038","OTHER","OTHER","APPLANEL","APPLANEL","APPLANEL",,,"NOGPS","NOGPS",,"484.86999512","N","NODATA","483",,,"N",,"300",,,"NODATA","300",,,"NODATA",,"G3","NODATA","6b2fa325-d5b4-4c56-9070-78854d1b6e22","ENTERED","2022-02-08T14:52:57.000Z","ACTIVE","0","N",,,,,,,,,"0",,,,,,
