"masterincidentnumber","calendaryear","month","dayofmonth","call_type","problem","battalion","jurisdiction","responsearea","prioritydescription","response_status","districts","location_1"
"14008618","2014","Jan","25","Fire","TRASH - Trash Fire","B3","AFD","00-2803","3F","Code 3","-","(30403737, 97680981)"
"14008627","2014","Jan","25","Fire","BOXL- Structure Fire","B3","AFD","00-3002","1F","Code 3","-","(30403976, 97698997)"
"14008649","2014","Jan","25","Fire","TRASH - Trash Fire","B2","AFD","00-1602","3F","Code 3","-","(30337827, 97712289)"
"14008680","2014","Jan","26","Fire","TRASH - Trash Fire","B1","AFD","00-0102","3F","Code 3","-","(30271803, 97748809)"
"14008697","2014","Jan","26","Fire","TRASH - Trash Fire","B4","AFD","00-2904","3F","Code 3","-","(30173724, 97823807)"
"14008759","2014","Jan","26","Fire","GRASS - Small Grass Fire","B5","AFD","00-2203","3F","Code 3","-","(30234103, 97722846)"
"14008807","2014","Jan","26","Fire","GRASS - Small Grass Fire","B4","AFD","00-2905","3F","Code 3","-","(30151497, 97849982)"
"14008812","2014","Jan","26","Fire","TRASH - Trash Fire","B3","AFD","00-1406","3F","Code 3","-","(30307563, 97713761)"
"14008844","2014","Jan","26","Fire","BBQ - Unsafe Cooking","B5","AFD","00-2201","4F","Code 1","-","(30230773, 97721155)"
"14008846","2014","Jan","26","Fire","ELEC - Electrical Fire","B5","AFD","00-0603","3F","Code 3","-","(30241433, 97756564)"
"14008856","2014","Jan","26","Fire","ELEC - Electrical Fire","B4","AFD","00-2903","3F","Code 3","-","(30186485, 97843171)"
"14008861","2014","Jan","26","Fire","TRASH - Trash Fire","B2","AFD","00-3102","3F","Code 1","-","(30376344, 97785334)"
"14009042","2014","Jan","27","Fire","GRASS - Small Grass Fire","B3","AFD","00-2803","3F","Code 3","-","(30413218, 97690618)"
"14009077","2014","Jan","27","Fire","AUTO - Auto Fire","B4","AFD","00-1702","2F","Code 3","-","(30212467, 97787625)"
"14009150","2014","Jan","27","Fire","TRASH - Trash Fire","B5","AFD","00-0502","3F","Code 3","-","(30283245, 97692809)"
"14009193","2014","Jan","27","Fire","ELEC - Electrical Fire","B5","AFD","00-2203","3F","Code 3","-","(30240419, 97711549)"
"14009235","2014","Jan","27","Fire","ELEC - Electrical Fire","B3","AFD","00-3005","3F","Code 3","-","(30366822, 97692606)"
"14000005","2014","Jan","1","Fire","TRASH - Trash Fire","B5","AFD","00-2205","3F","Code 3","-","(30228788, 97691029)"
"14000006","2014","Jan","1","Fire","GRASS - Small Grass Fire","B1","AFD","00-0903","3F","Code 3","-","(30318913, 97720415)"
"14000009","2014","Jan","1","Fire","GRASS - Small Grass Fire","B4","AFD","00-2902","3F","Code 3","-","(30192262, 97836142)"
"14000019","2014","Jan","1","Fire","GRASS - Small Grass Fire","B4","AFD","00-3701","3F","Code 3","-","(30250699, 97883962)"
"14000024","2014","Jan","1","Fire","AUTO - Auto Fire","B4","AFD","00-2002","2F","Code 3","-","(30202446, 97820993)"
"14000041","2014","Jan","1","Fire","TRASH - Trash Fire","B5","AFD","00-1503","3F","Code 3","-","(30255268, 97703256)"
"14000058","2014","Jan","1","Fire","TRASH - Trash Fire","B1","AFD","00-0101","3F","Code 3","-","(30261102, 97736105)"
"14000068","2014","Jan","1","Fire","TRASH - Trash Fire","B5","AFD","00-0501","3F","Code 3","-","(30268301, 97686957)"
"14000205","2014","Jan","1","Fire","GRASS - Small Grass Fire","B5","AFD","00-1504","3F","Code 3","-","(30265992, 97702194)"
