"fiscal_year","date","number_of_customers","customer_service_charge_savings","electric_bill_discount_10_savings","community_benefit_charge_discount_savings","totals","kwh_charge_savings","kwh"
"2015","2015-05-01T00:00:00.000","42843","414340","279213","52009","745561","81791","4811232"
"2015","2015-04-01T00:00:00.000","42554","412670","241704","46118","700492","55727","3278081"
"2015","2015-03-01T00:00:00.000","45659","443730","332318","59045","835093","51437","3025705"
"2015","2015-02-01T00:00:00.000","44831","437780","286172","52248","776200","46902","2758937"
"2015","2015-01-01T00:00:00.000","42720","416590","395830","66788","879209","56006","3294473"
"2015","2014-12-01T00:00:00.000","43474","426850","259927","48745","735522","57848","3402812"
"2015","2014-11-01T00:00:00.000","42683","421820","277742","52099","751661","50344","2961418"
"2015","2014-10-01T00:00:00.000","41584","410400","332188","61293","803881","69051","4061838"
"2016","2015-10-01T00:00:00.000","42488","411260","414931","70192","896383",,
"2016","2015-11-01T00:00:00.000","39369","380910","225853","44400","651163",,
"2016","2015-12-01T00:00:00.000","38956","377420","225773","43785","646979",,
"2016","2016-01-01T00:00:00.000","38054","368490","284755","51849","705094",,
"2016","2016-02-01T00:00:00.000","38453","373380","230886","43536","647803",,
"2016","2016-03-01T00:00:00.000","37971","367830","194449","37241","599521",,
"2016","2016-04-01T00:00:00.000","36842","357790","183651","38502","579942",,
"2016","2016-05-01T00:00:00.000","36852","357830","217834","44316","619980",,
"2016","2016-06-01T00:00:00.000","36008","349790","397632","60905","808326",,
"2016","2016-07-01T00:00:00.000","35749","346720","539038","77205","962962",,
"2016","2016-08-01T00:00:00.000","36032","349780","538785","77383","965948",,
"2016","2016-09-01T00:00:00.000","35962","349520","495446","72386","917353",,
"2017","2016-10-01T00:00:00.000","35855","348760","309153","57278","715191",,
"2017","2016-11-01T00:00:00.000","36141","351470","218727","44970","615166",,
"2017","2016-12-01T00:00:00.000","36526","355420","207960","42646","606026",,
"2017","2017-01-01T00:00:00.000","36764","358970","276110","49711","684790",,
"2017","2017-02-01T00:00:00.000","37490","367070","206351","39069","612491",,
"2017","2017-03-01T00:00:00.000","37141","362910","208244","39748","610902",,
"2017","2017-04-01T00:00:00.000","36837","359690","221279","41956","622925",,
"2017","2017-05-01T00:00:00.000","36941","360750","244592","45582","650924",,
"2017","2017-06-01T00:00:00.000","36292","354380","355487","60898","770766",,
"2017","2017-07-01T00:00:00.000","36285","353870","484033","78027","915930",,
"2017","2017-08-01T00:00:00.000","36512","357110","500313","80334","937757",,
"2017","2017-09-01T00:00:00.000","36828","360240","366538","71325","798103",,
"2018","2017-10-01T00:00:00.000","37005","361200","316364","56310","733874",,
"2018","2017-11-01T00:00:00.000","35904","349380","221005","40979","611365",,
"2018","2017-12-01T00:00:00.000","35094","342420","212057","38943","593419",,
"2018","2018-01-01T00:00:00.000","34713","338590","323533","53548","715670",,
"2018","2018-02-01T00:00:00.000","34784","341000","261709","45283","647992",,
"2018","2018-03-01T00:00:00.000","34349","336882","193175","35896","565953",,
"2018","2018-04-01T00:00:00.000","33824","329712","198368","36898","564978",,
"2018","2018-05-01T00:00:00.000","33569","329490","214194","40520","584204",,
"2018","2018-06-01T00:00:00.000","34496","338970","412625","67073","818668",,
"2018","2018-07-01T00:00:00.000","34560","338850","431246","69496","839592",,
"2018","2018-08-01T00:00:00.000","33853","331760","480863","75565","888188",,
"2018","2018-09-01T00:00:00.000","33447","327020","428517","68795","824332",,
"2019","2018-10-01T00:00:00.000","32411","318680","259066","45904","623650",,
"2019","2018-11-01T00:00:00.000","32869","321470","212429","35125","569025",,
"2019","2018-12-01T00:00:00.000","31633","308300","200797","32302","541398",,
"2019","2019-01-01T00:00:00.000","31762","312820","248488","38341","599649",,
"2019","2019-02-01T00:00:00.000","31680","308710","220150","34666","563526",,
"2019","2019-03-01T00:00:00.000","31435","306390","199751","32091","538232",,
"2019","2019-04-01T00:00:00.000","31154","303430","172870","28934","505234",,
"2019","2019-05-01T00:00:00.000","31568","308310","203800","33374","545484",,
"2019","2019-06-01T00:00:00.000","31668","310220","301339","45991","657550",,
"2019","2019-07-01T00:00:00.000","30819","301330","353654","51981","706965",,
"2019","2019-08-01T00:00:00.000","30423","297840","401141","57463","756444",,
"2019","2019-09-01T00:00:00.000","30446","297610","406278","58097","761985",,
"2020","2019-10-01T00:00:00.000","30909","303130","320281","48198","671609",,
"2020","2019-11-01T00:00:00.000","31099","303690","201154","32340","537184",,
"2020","2019-12-01T00:00:00.000","30348","297050","198019","31476","526545",,
