"incidentnumber","calendaryear","month","incdate","call_type","problem","responsearea","jurisdiction","prioritydescription","council_district","location"
"21075270","2021","May","2021-05-19T00:00:00.000","Fire","TRASH - Trash Fire","00-1804","AFD","3F","1","POINT (-97.706357 30.321739)"
"21048471","2021","Mar","2021-03-19T00:00:00.000","Fire","GRASS - Small Grass Fire","00-0805","AFD","3F","7","POINT (-97.726881 30.371589)"
"19081195","2019","Jul","2019-07-27T00:00:00.000","Fire","TRASH - Trash Fire","00-1705","AFD","3F","3","POINT (-97.777628 30.233463)"
"21054291","2021","Apr","2021-04-02T00:00:00.000","Fire","TRASH - Trash Fire","00-0803","AFD","3F","4","POINT (-97.707452 30.353697)"
"18005352","2018","Jan","2018-01-14T00:00:00.000","Fire","TRASH - Trash Fire","00-0903","AFD","3F","9","POINT (-97.719174 30.315384)"
"18015638","2018","Feb","2018-02-12T00:00:00.000","Fire","TRASH - Trash Fire","00-1902","AFD","3F","10","POINT (-97.780709 30.349138)"
"19085289","2019","Aug","2019-08-06T00:00:00.000","Fire","BOX -Structure Fire","00-1102","AFD","1F","5","POINT (-97.783976 30.24245)"
"18099500","2018","Sep","2018-09-26T00:00:00.000","Fire","TRASH - Trash Fire","00-1903","AFD","3F","10","POINT (-97.753882 30.341219)"
"18108148","2018","Oct","2018-10-19T00:00:00.000","Fire","BOX -Structure Fire","00-3404","AFD","1F","6","POINT (-97.800482 30.480162)"
"18020885","2018","Feb","2018-02-27T00:00:00.000","Fire","GRASS - Small Grass Fire","00-4212","AFD","3F","2","POINT (-97.623429 30.14614)"
"21080606","2021","May","2021-05-30T00:00:00.000","Fire","BOXS - Still Box Alarm","00-2304","AFD","1F","4","POINT (-97.686319 30.34846)"
"18017224","2018","Feb","2018-02-17T00:00:00.000","Fire","MIDRISE - Structure Fire","00-2805","AFD","1F","7","POINT (-97.721372 30.396847)"
"21015752","2021","Feb","2021-02-07T00:00:00.000","Fire","AUTO - Auto Fire","00-2006","AFD","2F","5","POINT (-97.80017 30.198804)"
"21131827","2021","Sep","2021-09-11T00:00:00.000","Fire","TRASH - Trash Fire","00-3503","AFD","3F","3","POINT (-97.724988 30.224966)"
"21106029","2021","Jul","2021-07-23T00:00:00.000","Fire","GRASS - Small Grass Fire","00-3802","AFD","3F","6","POINT (-97.791064 30.449081)"
"21181772","2021","Dec","2021-12-29T00:00:00.000","Fire","TRASH - Trash Fire","00-2203","AFD","3F","3","POINT (-97.714926 30.245966)"
"21135568","2021","Sep","2021-09-19T00:00:00.000","Fire","GRASS - Small Grass Fire","04-4802","AFD","3F","-","POINT (-97.613006 30.255157)"
"20087684","2020","Aug","2020-08-17T00:00:00.000","Fire","BOXS - Still Box Alarm","00-4608","AFD","1F","5","POINT (-97.835429 30.15501)"
"19010203","2019","Jan","2019-01-29T00:00:00.000","Fire","BOXL- Structure Fire","00-2301","AFD","1F","1","POINT (-97.676606 30.364647)"
"19119230","2019","Oct","2019-10-25T00:00:00.000","Fire","TRASH - Trash Fire","00-1603","AFD","3F","4","POINT (-97.707006 30.323355)"
"19028361","2019","Mar","2019-03-18T00:00:00.000","Fire","AUTO - Auto Fire","00-4005","AFD","2F","7","POINT (-97.664735 30.44383)"
"21054309","2021","Apr","2021-04-02T00:00:00.000","Fire","TRASH - Trash Fire","00-1104","AFD","3F","8","POINT (-97.772265 30.265876)"
"20060690","2020","Jun","2020-06-09T00:00:00.000","Fire","BOXS - Still Box Alarm","00-3400","AFD","1F","6","POINT (-97.78914 30.459556)"
"20124143","2020","Nov","2020-11-20T00:00:00.000","Fire","ELEC - Electrical Fire","00-0601","AFD","3F","9","POINT (-97.741742 30.237731)"
"18066627","2018","Jul","2018-07-01T00:00:00.000","Fire","BOXL- Structure Fire","00-2004","AFD","1F","5","POINT (-97.804162 30.216359)"
"19022650","2019","Mar","2019-03-04T00:00:00.000","Fire","ELEC - Electrical Fire","00-2101","AFD","3F","10","POINT (-97.749321 30.357938)"
"19132471","2019","Nov","2019-11-25T00:00:00.000","Fire","ELEC - Electrical Fire","00-2903","AFD","3F","5","POINT (-97.829203 30.176354)"
"19068823","2019","Jun","2019-06-26T00:00:00.000","Fire","TRASH - Trash Fire","00-1701","AFD","3F","3","POINT (-97.764093 30.223057)"
"21092621","2021","Jun","2021-06-24T00:00:00.000","Fire","DUMP - Dumpster Fire","00-2004","AFD","3F","5","POINT (-97.799735 30.214224)"
"20023945","2020","Feb","2020-02-29T00:00:00.000","Fire","TRASH - Trash Fire","00-2405","AFD","3F","2","POINT (-97.764765 30.151742)"
"21041799","2021","Mar","2021-03-04T00:00:00.000","Fire","TRASH - Trash Fire","00-2601","AFD","3F","1","POINT (-97.646447 30.302937)"
"21119085","2021","Aug","2021-08-18T00:00:00.000","Fire","BOXS - Still Box Alarm","00-3801","AFD","1F","6","POINT (-97.798571 30.431114)"
"19011541","2019","Feb","2019-02-01T00:00:00.000","Fire","BOX -Structure Fire","00-2101","AFD","1F","10","POINT (-97.753001 30.353664)"
"18024252","2018","Mar","2018-03-09T00:00:00.000","Fire","GRASS - Small Grass Fire","00-0401","AFD","3F","9","POINT (-97.755457 30.266418)"
"20133709","2020","Dec","2020-12-14T00:00:00.000","Fire","BOX -Structure Fire","00-2102","AFD","1F","10","POINT (-97.774117 30.374374)"
"18070300","2018","Jul","2018-07-11T00:00:00.000","Fire","BBQ - Unsafe Cooking","00-2202","AFD","4F","3","POINT (-97.730893 30.234396)"
"21019558","2021","Feb","2021-02-14T00:00:00.000","Fire","ELEC - Electrical Fire","00-0401","AFD","3F","9","POINT (-97.753713 30.268664)"
"19106825","2019","Sep","2019-09-25T00:00:00.000","Fire","GRASS - Small Grass Fire","00-3907","AFD","3F","6","POINT (-97.822216 30.438436)"
"19052696","2019","May","2019-05-18T00:00:00.000","Fire","GRASS - Small Grass Fire","00-1705","AFD","3F","5","POINT (-97.795964 30.234792)"
"21162079","2021","Nov","2021-11-15T00:00:00.000","Fire","DUMP - Dumpster Fire","00-1604","AFD","3F","4","POINT (-97.718999 30.337337)"
"19144912","2019","Dec","2019-12-26T00:00:00.000","Fire","TRASH - Trash Fire","00-0402","AFD","3F","9","POINT (-97.754404 30.28825)"
"21006006","2021","Jan","2021-01-14T00:00:00.000","Fire","TRASH - Trash Fire","00-1801","AFD","3F","1","POINT (-97.66796 30.310867)"
"18011388","2018","Jan","2018-01-30T00:00:00.000","Fire","GRASS - Small Grass Fire","00-1803","AFD","3F","9","POINT (-97.703504 30.306096)"
"18131997","2018","Dec","2018-12-21T00:00:00.000","Fire","AUTO - Auto Fire","00-3404","AFD","2F","6","POINT (-97.797639 30.473639)"
"20129438","2020","Dec","2020-12-04T00:00:00.000","Fire","TRASH - Trash Fire","00-3402","AFD","3F","6","POINT (-97.796276 30.465322)"
"18084286","2018","Aug","2018-08-16T00:00:00.000","Fire","ELEC - Electrical Fire","00-3301","AFD","3F","10","POINT (-97.775313 30.411915)"
"21114789","2021","Aug","2021-08-09T00:00:00.000","Fire","AUTO - Auto Fire","00-2903","AFD","2F","5","POINT (-97.83171 30.184414)"
"19141342","2019","Dec","2019-12-17T00:00:00.000","Fire","BOXL- Structure Fire","00-3005","AFD","1F","4","POINT (-97.684587 30.367913)"
"19135197","2019","Dec","2019-12-02T00:00:00.000","Fire","BOXL- Structure Fire","00-2803","AFD","1F","7","POINT (-97.679342 30.399553)"
"21006524","2021","Jan","2021-01-15T00:00:00.000","Fire","TRASH - Trash Fire","00-0604","AFD","3F","9","POINT (-97.750605 30.261381)"
"20110793","2020","Oct","2020-10-16T00:00:00.000","Fire","TRASH - Trash Fire","00-1604","AFD","3F","4","POINT (-97.718872 30.33763)"
"20061686","2020","Jun","2020-06-12T00:00:00.000","Fire","TRASH - Trash Fire","00-3206","AFD","3F","8","POINT (-97.820224 30.272781)"
"19007555","2019","Jan","2019-01-21T00:00:00.000","Fire","TRASH - Trash Fire","00-3001","AFD","3F","4","POINT (-97.697878 30.387177)"
"18069826","2018","Jul","2018-07-09T00:00:00.000","Fire","BOX -Structure Fire","00-0303","AFD","1F","9","POINT (-97.73597 30.293132)"
"21068181","2021","May","2021-05-03T00:00:00.000","Fire","BRSHL - Brush Alarm / Light","00-2306","AFD","2F","4","POINT (-97.691951 30.352645)"
"18009698","2018","Jan","2018-01-25T00:00:00.000","Fire","TRASH - Trash Fire","00-4101","AFD","3F","1","POINT (-97.621882 30.355918)"
"20038299","2020","Apr","2020-04-08T00:00:00.000","Fire","TRASH - Trash Fire","00-2801","AFD","3F","7","POINT (-97.693864 30.41845)"
"18007055","2018","Jan","2018-01-18T00:00:00.000","Fire","BOX -Structure Fire","00-0501","AFD","1F","1","POINT (-97.673219 30.283476)"
"20111555","2020","Oct","2020-10-18T00:00:00.000","Fire","ELEC - Electrical Fire","00-0801","AFD","3F","4","POINT (-97.715752 30.36629)"
"19115788","2019","Oct","2019-10-17T00:00:00.000","Fire","TRASH - Trash Fire","00-0806","AFD","3F","7","POINT (-97.726247 30.373482)"
"20107776","2020","Oct","2020-10-08T00:00:00.000","Fire","TRASH - Trash Fire","00-0807","AFD","3F","7","POINT (-97.739517 30.389959)"
"19088697","2019","Aug","2019-08-14T00:00:00.000","Fire","TRASH - Trash Fire","00-2904","AFD","3F","5","POINT (-97.82487 30.172799)"
"18122214","2018","Nov","2018-11-25T00:00:00.000","Fire","DUMP - Dumpster Fire","00-1707","AFD","3F","3","POINT (-97.755821 30.219201)"
"19105972","2019","Sep","2019-09-23T00:00:00.000","Fire","AUTO - Auto Fire","00-4001","AFD","2F","7","POINT (-97.646387 30.406481)"
"21077486","2021","May","2021-05-24T00:00:00.000","Fire","TRASH - Trash Fire","00-0101","AFD","3F","3","POINT (-97.734618 30.265759)"
"20049615","2020","May","2020-05-11T00:00:00.000","Fire","AUTO - Auto Fire","00-3901","AFD","2F","6","POINT (-97.848778 30.405075)"
"20018810","2020","Feb","2020-02-16T00:00:00.000","Fire","TRASH - Trash Fire","00-4107","AFD","3F","1","POINT (-97.588586 30.335091)"
"19120228","2019","Oct","2019-10-27T00:00:00.000","Fire","BBQ - Unsafe Cooking","00-4003","AFD","4F","1","POINT (-97.65421 30.379306)"
"18001900","2018","Jan","2018-01-05T00:00:00.000","Fire","GRASS - Small Grass Fire","00-3005","AFD","3F","1","POINT (-97.679789 30.372547)"
"19103769","2019","Sep","2019-09-18T00:00:00.000","Fire","GRASS - Small Grass Fire","00-0202","AFD","3F","9","POINT (-97.749232 30.279639)"
"19037944","2019","Apr","2019-04-12T00:00:00.000","Fire","AUTO - Auto Fire","00-0602","AFD","2F","3","POINT (-97.758461 30.232462)"
"18046195","2018","May","2018-05-10T00:00:00.000","Fire","ELEC - Electrical Fire","00-0803","AFD","3F","4","POINT (-97.714396 30.359376)"
"20120421","2020","Nov","2020-11-10T00:00:00.000","Fire","TRASH - Trash Fire","00-4202","AFD","3F","2","POINT (-97.621706 30.192855)"
"19140244","2019","Dec","2019-12-14T00:00:00.000","Fire","TRASH - Trash Fire","00-1101","AFD","3F","5","POINT (-97.783623 30.259973)"
"20095379","2020","Sep","2020-09-05T00:00:00.000","Fire","TRASH - Trash Fire","00-2806","AFD","3F","7","POINT (-97.71272 30.419145)"
"20099070","2020","Sep","2020-09-15T00:00:00.000","Fire","TRASH - Trash Fire","00-1705","AFD","3F","5","POINT (-97.791512 30.231994)"
"19127189","2019","Nov","2019-11-13T00:00:00.000","Fire","TRASH - Trash Fire","00-4902","AFD","3F","-","POINT (-97.784984 30.167032)"
"18050761","2018","May","2018-05-21T00:00:00.000","Fire","TRASH - Trash Fire","00-1402","AFD","3F","1","POINT (-97.698663 30.284562)"
"20002685","2020","Jan","2020-01-07T00:00:00.000","Fire","BOX -Structure Fire","00-2101","AFD","1F","10","POINT (-97.752871 30.353873)"
"19146869","2019","Dec","2019-12-31T00:00:00.000","Fire","GRASS - Small Grass Fire","00-0501","AFD","3F","1","POINT (-97.680097 30.277388)"
"19050497","2019","May","2019-05-12T00:00:00.000","Fire","ELEC - Electrical Fire","00-1702","AFD","3F","3","POINT (-97.786568 30.215628)"
"18083806","2018","Aug","2018-08-15T00:00:00.000","Fire","AUTO - Auto Fire","00-4001","AFD","2F","7","POINT (-97.663949 30.405249)"
"21160505","2021","Nov","2021-11-12T00:00:00.000","Fire","TRASH - Trash Fire","00-2402","AFD","3F","2","POINT (-97.746831 30.195934)"
"18081347","2018","Aug","2018-08-08T00:00:00.000","Fire","GRASS - Small Grass Fire","00-2804","AFD","3F","7","POINT (-97.71428 30.407375)"
"19072111","2019","Jul","2019-07-04T00:00:00.000","Fire","BBQ - Unsafe Cooking","00-2202","AFD","4F","3","POINT (-97.72909 30.232698)"
"20119383","2020","Nov","2020-11-07T00:00:00.000","Fire","TRASH - Trash Fire","00-3611","AFD","3F","2","POINT (-97.784098 30.169385)"
"20136445","2020","Dec","2020-12-21T00:00:00.000","Fire","TRASH - Trash Fire","00-3003","AFD","3F","7","POINT (-97.681071 30.393793)"
"18065945","2018","Jun","2018-06-29T00:00:00.000","Fire","GRASS - Small Grass Fire","00-3604","AFD","3F","5","POINT (-97.800709 30.163289)"
"18103950","2018","Oct","2018-10-08T00:00:00.000","Fire","ELEC - Electrical Fire","00-2808","AFD","3F","7","POINT (-97.708025 30.446135)"
"21157244","2021","Nov","2021-11-05T00:00:00.000","Fire","BOX -Structure Fire","00-0301","AFD","1F","9","POINT (-97.745137 30.296658)"
"20099631","2020","Sep","2020-09-17T00:00:00.000","Fire","BOX -Structure Fire","00-3002","AFD","1F","7","POINT (-97.704984 30.397588)"
"20023012","2020","Feb","2020-02-27T00:00:00.000","Fire","AUTO - Auto Fire","00-1903","AFD","2F","10","POINT (-97.769631 30.341323)"
"18058683","2018","Jun","2018-06-10T00:00:00.000","Fire","GRASS - Small Grass Fire","00-1712","AFD","3F","5","POINT (-97.79694 30.23272)"
"18060188","2018","Jun","2018-06-14T00:00:00.000","Fire","TRASH - Trash Fire","00-1402","AFD","3F","1","POINT (-97.698674 30.284583)"
"18004741","2018","Jan","2018-01-12T00:00:00.000","Fire","GRASS - Small Grass Fire","00-3610","AFD","3F","5","POINT (-97.786383 30.164472)"
