"start_time","title","waiver_1","waiver_2"
"2012-09-22T00:00:00.000","Austin Pride 5K","Deadline","Rule"
"2012-09-22T00:00:00.000","Stop Child Trafficking 5K Walk","Deadline",
"2012-09-23T00:00:00.000","Retail Me Not","Rule",
"2012-09-28T00:00:00.000","Mediteranian Festival","Rule",
"2012-10-06T00:00:00.000","NAMI Walks","Deadline",
"2012-10-07T00:00:00.000","IBM Uptown Classic","Rule",
"2012-10-14T00:00:00.000","October Jamaica","Deadline","Rule"
"2012-10-18T00:00:00.000","Austin Film Festival","Deadline",
"2012-10-20T00:00:00.000","Viva La Vida Festival","Deadline","Rule"
"2012-11-02T00:00:00.000","Fun Fun Fun Fest","Deadline",
"2012-11-11T00:00:00.000","Veteran's Day Parade","Deadline","Rule"
"2012-12-11T00:00:00.000","Ballet Austin Nutcracker - Children Concerts","Deadline",
"2012-12-15T00:00:00.000","Trail of Lights 5K","Deadline",
"2012-12-16T00:00:00.000","Trail of Lights ","Deadline","Rule"
"2013-01-01T00:00:00.000","Commitment Day 5K","Deadline",
"2013-01-21T00:00:00.000","MLK Community Celebration","Deadline",
"2013-02-09T00:00:00.000","Cupid's Undie Walk","Deadline",
"2013-03-12T00:00:00.000","The Fort","Rule",
"2013-03-14T00:00:00.000","Yard Dog Parties","Deadline",
"2013-03-23T00:00:00.000","The Rosedale Ride","Deadline",
"2013-03-29T00:00:00.000","Urban Fest","Deadline","Rule"
"2013-03-29T00:00:00.000","Stations of the Cross","Deadline",
"2013-04-07T00:00:00.000","Statesman Cap 10k","Deadline","Rule"
"2013-04-12T00:00:00.000","Art City Austin","Deadline","Rule"
"2013-04-20T00:00:00.000","TX Baseball/Softball Block Party","Deadline",
"2013-05-04T00:00:00.000","Chuy's Hot to Trot 5K & Kid K","Deadline",
"2013-05-04T00:00:00.000","March of Dimes","Deadline",
"2013-05-05T00:00:00.000","LaCondesa Cinco De Mayo","Deadline",
"2013-05-15T00:00:00.000","MALC 40th Anniversary","Deadline",
"2013-05-19T00:00:00.000","Viva Streets","Deadline","Rule"
"2013-05-24T00:00:00.000","MALC Sine Die Street Party","Deadline",
"2013-05-27T00:00:00.000","Life Time Tri CapTex ","Rule",
"2013-06-05T00:00:00.000","ESPN X Games Welcome Rally","Deadline","Rule"
"2013-06-13T00:00:00.000","Moonlight Margarita Run","Rule",
"2013-08-15T00:00:00.000","Univision - Premios Tejas","Deadline",
"2013-08-29T00:00:00.000","School of Rock - 10 Year Reunion","Deadline",
"2013-08-31T00:00:00.000","Bevo Blvd.","Deadline","Rule"
"2013-09-14T00:00:00.000","PurpleStride 5K & Kids K","Deadline",
"2013-09-14T00:00:00.000","Bevo Blvd","Rule",
"2013-09-21T00:00:00.000","Bevo Blvd","Rule",
"2013-09-21T00:00:00.000","CASA Superhero Run","Deadline","Rule"
"2013-09-21T00:00:00.000","The Contemporary Austin - Fall Exhibition Opening","Deadline",
"2013-09-24T00:00:00.000","Hot Schedules Trailer Park Lunch","Deadline",
"2013-09-26T00:00:00.000","New Belgium Clips Beer and Film Tour","Deadline",
"2013-09-28T00:00:00.000","Pecan St Fest Fall","Deadline",
"2013-10-06T00:00:00.000","IBM Uptown Classic","Rule",
"2013-10-19T00:00:00.000","Austin Heart Walk","Deadline",
"2013-10-20T00:00:00.000","Seton Breast Care Center Celebration","Deadline",
"2013-10-20T00:00:00.000","AIDS Walk","Deadline",
"2013-10-23T00:00:00.000","Austin Stone Worship Conference","Deadline",
"2013-10-24T00:00:00.000","Austin Film Fest","Deadline",
"2013-10-24T00:00:00.000","La Dolce Vita","Deadline",
"2013-10-27T00:00:00.000","Texas-Sized Pittie Pride Parade","Deadline",
"2013-11-02T00:00:00.000","Bevo Blvd","Rule",
"2013-11-09T00:00:00.000","WanderLust Yoga","Deadline",
"2013-11-11T00:00:00.000","Amber F1 Lounge","Deadline",
"2013-11-11T00:00:00.000","Veterans Day Parade","Deadline","Rule"
"2013-11-14T00:00:00.000","COTA Fan Fest","Deadline",
"2013-11-15T00:00:00.000","F1 Shuttles","Deadline",
"2013-11-16T00:00:00.000","Bevo Blvd","Rule",
"2013-11-20T00:00:00.000","A Christmas Affair","Deadline",
"2013-11-28T00:00:00.000","Bevo Blvd","Rule",
"2013-12-06T00:00:00.000","Lights of Love 5K","Rule",
"2013-12-07T00:00:00.000","Trail of Lights 5K","Deadline",
"2013-12-08T00:00:00.000","Trail of Lights","Deadline",
"2013-12-10T00:00:00.000","Nutcracker School Shows","Deadline",
"2014-04-06T00:00:00.000","Statesman Capitol 10K","Deadline","Rule"
"2014-04-10T00:00:00.000","Audi Concert Series: Jennifer Nettles","Deadline",
"2014-04-11T00:00:00.000","The Handbuilt Motorcycle Show","Deadline",
"2014-04-12T00:00:00.000","Art City Austin","Deadline",
"2014-04-18T00:00:00.000","Austin Reggae Fest","Deadline",
"2014-04-18T00:00:00.000","Stations of the Cross","Deadline",
"2014-04-25T00:00:00.000","Retail Me Not/AMH","Deadline",
"2014-05-04T00:00:00.000","La Condesa Cinco de Mayo","Deadline",
"2014-05-09T00:00:00.000","Gelato World Tour","Deadline",
"2014-05-26T00:00:00.000","Life Time Tri Cap Tex","Rule",
"2014-06-13T00:00:00.000","Over The Edge for Make A Wish","Deadline",
"2014-08-02T00:00:00.000","White Linen Night","Deadline",
"2014-09-01T00:00:00.000","Tri Rock Austin","Rule",
